period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1034c191,Y1038c218,Y1074c757,growth1074c757,Y1317c124,growth1317c124,Y1398c757,growth1398c757,Y1521c246,growth1521c246,Y1730c826,growth1730c826,Y1759c124,growth1759c124,Y1791c124,growth1791c124,Y1845c36,Y1965c484,growth1965c484,Y1969c124,growth1969c124,Y2038c372,growth2038c372,Y2073c620,growth2073c620,Y2091c484,growth2091c484,Y2161c300,growth2161c300,Y2858c208,growth2858c208,Y2932c752,growth2932c752,Y2936c124,growth2936c124,Y2938c344,Y3059c68,growth3059c68,Y3108c372,growth3108c372,Y3157c152,growth3157c152,Y3256c616,growth3256c616,Y3306c246,growth3306c246,Y3394c620,growth3394c620,Y342c352,growth342c352,Y3550c344,Y3709c124,growth3709c124,Y3755c826,growth3755c826,Y3952c68,growth3952c68,Y4063c586,growth4063c586,Y4219c191,growth4219c191,Y4262c826,growth4262c826,Y4263c600,growth4263c600,Y4348c222,growth4348c222,Y4475c208,growth4475c208,Y4480c152,growth4480c152,Y4522c792,growth4522c792,Y4666c124,growth4666c124,Y482c826,growth482c826,Y4997c348,growth4997c348,Y5005c616,growth5005c616,Y539c752,growth539c752,Y559c616,growth559c616,Y583c208,growth583c208,Y588c208,growth588c208,Y666c348,growth666c348,Y760c428,growth760c428,Y895c484,growth895c484,_merge,x,r2,s,sf
201001,292800,600,1268,568327,01,0,0,0,0,0,0,0,0,0,0,0,2088,695696,1310075,,645433,,69703,,561945,,31303692,,22672160,,3674145,,247699,2374552,,2663446,,56738,,200592,,10162287,,102471,,10203934,,3652070,,229681,,62077,8895,,900683,,83080,,8970867,,148406,,160848,,16447,,593698,5959122,,12291459,,1587963,,45065,,71885,,3232516,,16716,,16054,,3693809,,656144,,28108,,629100,,815684,,88173,,2640056,,1341033,,163132,,1048930,,47832,,2576070,,3991,,5039075,,matched (3),,.77977359,,
201002,292800,601,1268,874762,02,1,0,0,0,0,0,0,0,0,0,0,2216,503664,741746,-.5688333511352539,972706,.4101600646972656,101067,.3715400695800781,462242,-.1953153610229492,35498868,.1257648468017578,19675380,-.1417694091796875,4455517,.1928224563598633,253631,2704169,.1299858093261719,2755235,.0338811874389648,13355,-1.446553230285645,203951,.016606330871582,10690502,.0506725311279297,195904,.6480445861816406,10489988,.0276470184326172,2266271,-.4771585464477539,198007,-.1483898162841797,39015,12036,.3024129867553711,1125200,.2225627899169922,55241,-.4080991744995117,9541104,.0616264343261719,272961,.6093769073486328,200386,.2197856903076172,33967,.7252464294433594,373364,6861335,.1409788131713867,10227098,-.1838645935058594,103475,-2.730876922607422,62837,.3324384689331055,169530,.8579616546630859,3224305,-.0025434494018555,18787,.1167984008789063,18166,.1235942840576172,3329089,-.1039590835571289,520503,-.2315845489501953,71311,.9309959411621094,691155,.0940742492675781,1334725,.4924535751342773,95886,.0838584899902344,2598457,-.0158824920654297,1315581,-.0191612243652344,165963,.0172052383422852,1021382,-.0266141891479492,141851,1.087082862854004,2510672,-.0257148742675781,15486,1.355895042419434,5026264,-.0025463104248047,matched (3),3135754.5,.77977359,400869.38,667298.5
201003,292800,602,1268,1746970,03,0,1,0,0,0,0,0,0,0,0,0,7660,1300657,1360093,.6063022613525391,610514,-.4657802581787109,410267,1.40102481842041,605442,.2698698043823242,43394948,.2008419036865234,24825522,.2325038909912109,5584423,.2258386611938477,384502,3093295,.1344413757324219,3187747,.1458120346069336,16818,.2305583953857422,352994,.5485715866088867,15142556,.3481540679931641,226031,.1430473327636719,11172179,.0630054473876953,3057900,.2995929718017578,225917,.1318655014038086,208192,61643,1.633457183837891,1232412,.0910120010375977,153721,1.023434638977051,17582924,.6113185882568359,285662,.0454807281494141,524540,.962275505065918,63468,.6251468658447266,613626,6784017,-.0113325119018555,10385521,.0153732299804688,459337,1.490453720092773,73802,.1608409881591797,47965,-1.262557983398438,3500954,.0823183059692383,38918,.7282915115356445,28004,.432795524597168,3818528,.1371660232543945,863304,.5059709548950195,100328,.3413944244384766,799598,.1457452774047852,1475309,.1001424789428711,115021,.1819553375244141,3831333,.3882942199707031,1466139,.1083536148071289,198615,.1796035766601563,1461626,.3583927154541016,209625,.3905429840087891,3819385,.4195384979248047,41805,.9930791854858398,6376049,.2378721237182617,matched (3),2405629,.77977359,306701.47,615351
201004,292800,603,1268,734618,04,0,0,1,0,0,0,0,0,0,0,0,4790,224,1574567,.1464271545410156,850529,.3315572738647461,142559,-1.057052612304688,632669,.0439882278442383,40725944,-.0634784698486328,24630116,-.0079021453857422,4862769,-.1383733749389648,0,2965128,-.0423164367675781,3435556,.074864387512207,14244,-.1661138534545898,330787,-.064976692199707,11559733,-.2699813842773438,102113,-.7945919036865234,8816501,-.2368011474609375,3029966,-.0091772079467773,171050,-.2782115936279297,86532,20336,-1.108966827392578,1748065,.3495359420776367,80612,-.6454925537109375,19642172,.1107521057128906,639547,.8059501647949219,570810,.0845346450805664,49702,-.2444906234741211,515252,5380459,-.2317953109741211,11781453,.1261138916015625,729900,.4631233215332031,64440,-.135650634765625,128134,.98260498046875,3752802,.0694665908813477,15875,-.8967113494873047,18285,-.4262666702270508,3019991,-.2346115112304688,993765,.1407337188720703,103952,.0354843139648438,1132772,.3483133316040039,841119,-.5618896484375,171297,.3982839584350586,2149013,-.5782032012939453,1334602,-.093998908996582,148557,-.2903995513916016,1018932,-.3607940673828125,37166,-1.729926109313965,3080660,-.2149448394775391,25355,-.5000400543212891,5466774,-.1538600921630859,matched (3),1537057.5,.77977359,360066.66,643614.06
201005,292800,604,1268,1020831,05,0,0,0,1,0,0,0,0,0,0,0,8411,1210642,1279736,-.2073268890380859,847366,-.0037260055541992,258711,.5959558486938477,699274,.1000957489013672,43984208,.07696533203125,24325162,-.0124588012695313,7353686,.4135932922363281,0,2946312,-.0063657760620117,4214593,.2043743133544922,34378,.8810815811157227,415744,.2285957336425781,14623063,.2350711822509766,162938,.467289924621582,7385805,-.1770658493041992,3326964,.0935087203979492,268377,.4504365921020508,145123,44677,.7870664596557617,1175008,-.3972339630126953,173185,.7647132873535156,39416936,.6965160369873047,535206,-.1781082153320313,717545,.2287797927856445,41706,-.1754007339477539,477470,7493459,.3312568664550781,11826898,.0038490295410156,1447131,.6844310760498047,68534,.0615949630737305,77865,-.4981002807617188,2647659,-.3488264083862305,18299,.1421012878417969,27973,.4251585006713867,4107494,.3075599670410156,1130609,.1290111541748047,124919,.1837368011474609,1305072,.1415910720825195,614414,-.3140640258789063,132181,-.2592267990112305,2570698,.179168701171875,1961986,.3853235244750977,132558,-.113947868347168,928259,-.0931997299194336,53212,.3588895797729492,3064146,-.0053749084472656,29829,.1625051498413086,5243950,-.0416135787963867,matched (3),885950.69,.77977359,491725.91,725524.19
201006,292800,605,1268,406193,06,0,0,0,0,1,0,0,0,0,0,0,3767,577049,1470837,.1391782760620117,787389,-.0734100341796875,239573,-.0768527984619141,614725,-.1288681030273438,45083760,.0246925354003906,27605952,.1265201568603516,5212236,-.3441925048828125,0,3360346,.1314897537231445,3751746,-.1163320541381836,6818,-1.617851257324219,341126,-.1978178024291992,12532047,-.1543102264404297,80066,-.7105188369750977,6800673,-.0825376510620117,2641836,-.230586051940918,232568,-.1432094573974609,98259,4181,-2.368908882141113,1325391,.1204328536987305,112080,-.4351472854614258,18713912,-.7449283599853516,255299,-.7402162551879883,320778,-.8050861358642578,41279,-.0102910995483398,552512,6789932,-.0985898971557617,12384213,.0460472106933594,152036,-2.25322151184082,99689,.374725341796875,136308,.5599403381347656,3667452,.3258209228515625,14843,-.2093181610107422,28346,.0132465362548828,3295685,-.2201995849609375,1143854,.0116472244262695,56910,-.7861948013305664,1368192,.0472316741943359,665568,.0799713134765625,83704,-.4568853378295898,3345405,.2634096145629883,1424947,-.3198223114013672,198548,.4040098190307617,851360,-.0864753723144531,33570,-.4606513977050781,2906425,-.0528459548950195,15715,-.6408653259277344,5123995,-.0231409072875977,matched (3),1526727.3,.77977359,331849.94,628263.81
201007,292800,606,1268,588170,07,0,0,0,0,0,1,0,0,0,0,0,5533,793571,784783,-.6281805038452148,875658,.1062526702880859,177378,-.3005752563476563,688975,.1140308380126953,40087272,-.1174640655517578,28127960,.0187339782714844,4424792,-.1637859344482422,326185,3380942,.0061101913452148,3171280,-.168086051940918,21191,1.134010314941406,309092,-.0986127853393555,11347203,-.0993175506591797,93664,.1568622589111328,11440936,.5201759338378906,2883912,.0876741409301758,381384,.4946231842041016,216465,38205,2.212416648864746,1306825,-.0141077041625977,127931,.1322774887084961,16518622,-.1247787475585938,454393,.5765275955200195,256136,-.225041389465332,31770,-.2618312835693359,530966,7206345,.0595207214355469,12959829,.0454311370849609,2395544,2.757248878479004,112535,.1212091445922852,141177,.0350980758666992,2798809,-.2703027725219727,36984,.9129571914672852,22380,-.2363185882568359,3773466,.1353797912597656,1529057,.290247917175293,64859,.1307449340820313,930967,-.3850212097167969,638386,-.0416975021362305,110263,.2755813598632813,3397417,.0154275894165039,1555720,.087803840637207,248498,.2244043350219727,1061932,.2210102081298828,66894,.6894769668579102,3254544,.113128662109375,45731,1.068161010742188,6048803,.1659259796142578,matched (3),2068334.4,.77977359,324963.03,624653.5
201008,292800,607,1268,484398,08,0,0,0,0,0,0,1,0,0,0,0,831,4152,1371332,.558131217956543,563697,-.4404582977294922,69872,-.9316186904907227,597750,-.1420326232910156,38510836,-.0401191711425781,28220152,.0032711029052734,5170736,.155792236328125,498560,3529008,.0428628921508789,2922650,-.0816440582275391,8595,-.9023952484130859,345320,.1108322143554688,14878039,.2709140777587891,113579,.1927852630615234,12310703,.0732707977294922,2887765,.0013351440429688,195935,-.6660232543945313,149491,18810,-.7085781097412109,1496520,.1355419158935547,152625,.1764936447143555,19739530,.1781349182128906,240732,-.6352787017822266,441917,.5454139709472656,20059,-.4598445892333984,658911,7155975,-.007014274597168,12174759,-.0624904632568359,1626595,-.3871221542358398,35230,-1.16136646270752,11818,-2.480390548706055,2765085,-.0121231079101563,16570,-.802891731262207,13869,-.478510856628418,3659873,-.0305652618408203,1072174,-.3549633026123047,42739,-.4171037673950195,437889,-.7542591094970703,1193270,.6255092620849609,66864,-.5002069473266602,3539759,.0410432815551758,1620000,.0404872894287109,200771,-.2132701873779297,1079833,.0167160034179688,49423,-.3026933670043945,2215263,-.3846807479858398,70658,.4350748062133789,5127357,-.1652698516845703,matched (3),1760313,.77977359,388826.53,660134.19
201009,292800,608,1268,532232,09,0,0,0,0,0,0,0,1,0,0,0,9157,548245,1662656,.1926336288452148,392330,-.3624134063720703,273040,1.362954139709473,597479,-.0004539489746094,39990056,.0376911163330078,28860542,.0224399566650391,4875546,-.0587825775146484,241340,2923159,-.1883525848388672,3645377,.2209692001342773,19798,.8344001770019531,452624,.2705898284912109,14871731,-.0004234313964844,124742,.0937490463256836,10985279,-.1139125823974609,3318221,.1389455795288086,228428,.153437614440918,76237,5402,-1.24761962890625,1850295,.2122030258178711,119029,-.2486171722412109,26924236,.3104038238525391,316812,.2746248245239258,167993,-.9672002792358398,27043,.2987499237060547,632739,6917508,-.0338916778564453,11808395,-.0305538177490234,1209820,-.2960166931152344,51117,.3722190856933594,96649,2.101461410522461,3331782,.186436653137207,26590,.4729413986206055,26090,.6318960189819336,4603672,.229426383972168,1277050,.1748647689819336,93418,.7819719314575195,512781,.1578836441040039,686424,-.5529565811157227,75848,.1260700225830078,2953288,-.1811389923095703,1383961,-.1574764251708984,276645,.3205699920654297,1070732,-.0084638595581055,34444,-.3610811233520508,3108297,.3387041091918945,32104,-.7888708114624023,5285687,.0304126739501953,matched (3),696376.13,.77977359,393483.72,662888
201010,292800,609,1268,599208,10,0,0,0,0,0,0,0,0,1,0,0,5464,6611,1788634,.0730361938476563,539116,.3178272247314453,242971,-.1166763305664063,597946,.0007820129394531,38468368,-.0387935638427734,29003234,.0049324035644531,5609151,.140167236328125,479289,2796379,-.0443391799926758,3309718,-.0965967178344727,16236,-.1983499526977539,348171,-.2623672485351563,13195816,-.1195621490478516,149462,.1807947158813477,12018751,.0899124145507813,3433518,.0341567993164063,325917,.3554220199584961,56583,61773,2.436697006225586,1720401,-.0727882385253906,83315,-.3567380905151367,34616412,.2513008117675781,198838,-.4658184051513672,306935,.6027135848999023,57114,.7476215362548828,814787,8254129,.1766576766967773,12456340,.0534191131591797,1699660,.3399562835693359,34260,-.4001388549804688,94106,-.0266637802124023,3422623,.0268993377685547,40030,.4090938568115234,45323,.5522623062133789,4005366,-.1392192840576172,1917129,.406275749206543,72360,-.2554302215576172,681125,.2838973999023438,1058229,.432856559753418,96070,.2363462448120117,3049808,.0321588516235352,1078560,-.2493228912353516,220240,-.2280168533325195,1239043,.1459970474243164,47069,.3122797012329102,2907211,-.0668811798095703,73250,.8248977661132813,5532732,.0456790924072266,matched (3),1463323.6,.77977359,348956.25,637464.88
