period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1007c703,growth1007c703,Y1015c124,growth1015c124,Y1206c124,growth1206c124,Y1276c440,growth1276c440,Y1321c620,growth1321c620,Y1470c484,growth1470c484,Y1618c152,growth1618c152,Y1653c124,growth1653c124,Y1674c124,growth1674c124,Y1787c484,growth1787c484,Y1829c251,growth1829c251,Y2028c32,Y2124c428,growth2124c428,Y242c616,Y243c124,growth243c124,Y251c246,growth251c246,Y2627c620,growth2627c620,Y266c124,growth266c124,Y2857c344,Y2865c344,Y3041c152,growth3041c152,Y3083c826,growth3083c826,Y3142c792,growth3142c792,Y3294c792,growth3294c792,Y330c440,growth330c440,Y3377c124,growth3377c124,Y3788c152,growth3788c152,Y3858c586,growth3858c586,Y396c208,growth396c208,Y3998c152,Y4066c300,Y4175c484,growth4175c484,Y4183c36,Y4363c152,growth4363c152,Y4682c300,growth4682c300,Y4688c484,growth4688c484,Y4924c752,growth4924c752,Y4966c124,growth4966c124,Y4981c124,growth4981c124,Y4986c203,Y5004c222,growth5004c222,Y536c705,growth536c705,Y54c428,growth54c428,Y564c372,growth564c372,Y583c752,growth583c752,Y588c208,growth588c208,Y639c376,Y660c233,Y841c381,Y987c124,_merge,x,r2,s,sf
201001,293100,600,1276,33676288,01,0,0,0,0,0,0,0,0,0,0,0,75173,,6061516,,104661,,47077,,17847,,793328,,7289167,,26059648,,1512022,,1048442,,21368740,,3879386,17764,,19406600,9921421,,7820,,287672,,11948476,,11366807,7845302,1052220,,346682,,226423,,1470045,,3557582,,3387462,,807929,,3401000,,24715,,113253,14227,4245290,,339939,57017,,1125488,,1385837,,6231236,,3018428,,1496912,,25614,215256,,16142,,720898,,252089,,2676858,,47832,,2327000,125235,3394410496,712105,matched (3),,.88018906,,
201002,293100,601,1276,21156654,02,1,0,0,0,0,0,0,0,0,0,0,75017,-.0020780563354492,5575603,-.0835599899291992,164106,.4497852325439453,112433,.8705730438232422,2774,-1.861545085906982,404057,-.6746807098388672,5770608,-.233612060546875,23692628,-.0952243804931641,1256481,-.1851329803466797,1018796,-.0286836624145508,19378172,-.0977821350097656,2968940,4966,-1.274559020996094,19377174,9131444,-.0829715728759766,7239,-.0772008895874023,269277,-.0660800933837891,10547112,-.1247520446777344,9990778,6289328,890223,-.1671857833862305,415517,.1811151504516602,73370,-1.126890182495117,2553042,.5519924163818359,3313632,-.0710363388061523,2914489,-.150385856628418,315775,-.9394435882568359,2441722,-.3313665390014648,11344,-.778721809387207,23447,10578,4250359,.0011930465698242,146663,40961,-.3307294845581055,841844,-.2903776168823242,1967816,.3506193161010742,6577277,.0540456771850586,2291701,-.2754421234130859,1185530,-.2332143783569336,8101,324806,.4114007949829102,16554,.0252037048339844,493900,-.3781642913818359,231741,-.0841617584228516,1119266,-.8719711303710938,141851,1.087082862854004,1414000,112630,3263965696,659220,matched (3),27100394,.88018906,4454918.5,9100652
201003,293100,602,1276,29753448,03,0,1,0,0,0,0,0,0,0,0,0,1208668,2.779560089111328,5817025,.042388916015625,169297,.0311422348022461,119107,.0576648712158203,8975,1.174152851104736,1150401,1.046309471130371,7113484,.2092151641845703,31085854,.2715892791748047,1485288,.1672945022583008,1754786,.5437250137329102,20844306,.0729331970214844,4503592,19573,1.371536254882813,26777232,13496410,.3906993865966797,7952,.0939397811889648,410377,.4213352203369141,12648224,.1816654205322266,9406392,4747476,1998512,.8086862564086914,609288,.3827676773071289,181913,.9080142974853516,3729399,.3789615631103516,3726208,.1173458099365234,4014824,.3202991485595703,625777,.6839637756347656,5823763,.8692436218261719,19954,.5647411346435547,752333,22074,5522878,.2618951797485352,23388,42202,.0298471450805664,1023455,.1953449249267578,2302275,.1569738388061523,9503185,.3680057525634766,4080966,.5770397186279297,1840875,.4400510787963867,3955,135812,-.8719568252563477,12301,-.2969474792480469,653995,.280766487121582,361569,.4448328018188477,2204733,.6779336929321289,209625,.3905429840087891,1319000,183717,3947181312,676774,matched (3),29497184,.88018906,6612692,10329727
201004,293100,603,1276,31123208,04,0,0,1,0,0,0,0,0,0,0,0,133152,-2.205782890319824,6961984,.1796751022338867,271755,.4732465744018555,125355,.0511274337768555,7692,-.1542625427246094,977185,-.1631898880004883,5554303,-.2474193572998047,26841948,-.1467876434326172,1120790,-.2815752029418945,1595847,-.0949420928955078,17130456,-.1962223052978516,2621838,21745,.1052322387695313,20825282,15351625,.1287975311279297,6395,-.2179069519042969,218511,-.6302394866943359,13518580,.0665473937988281,10632737,6041669,2071769,.0360002517700195,923469,.4158458709716797,106656,-.5339202880859375,3805597,.0202255249023438,3738473,.0032863616943359,4154793,.0342683792114258,226565,-1.015962600708008,8581156,.3876218795776367,22324,.1122322082519531,52366,3379,4860114,-.1278371810913086,0,18425,-.8287591934204102,1045881,.0216751098632813,1584374,-.3737087249755859,10403745,.0905399322509766,3536457,-.1432085037231445,2373991,.2543315887451172,4331,358914,.9718112945556641,25990,.7480316162109375,758729,.1485452651977539,393513,.0846614837646484,3450646,.4479551315307617,37166,-1.729926109313965,1681000,318393,3604176640,850357,matched (3),60660268,.88018906,7443784.5,10880510
201005,293100,604,1276,44457344,05,0,0,0,1,0,0,0,0,0,0,0,135723,.0191249847412109,5362076,-.261113166809082,166842,-.48785400390625,164766,.27337646484375,8681,.1209564208984375,1328422,.3070716857910156,6740958,.193629264831543,23469944,-.1342449188232422,1449643,.2572832107543945,1494612,-.0655374526977539,17627218,.0285873413085938,4866400,27189,.2234287261962891,10802088,21607438,.3418159484863281,5137,-.2190465927124023,370721,.5286130905151367,21932380,.4839000701904297,6928279,3571758,2231597,.0743141174316406,274535,-1.213058471679688,115093,.0761318206787109,2067165,-.6102943420410156,2937436,-.2411403656005859,4343722,.044468879699707,569727,.9221258163452148,6922624,-.2147741317749023,12860,-.5515403747558594,236625,10060,6008834,.2121686935424805,0,133533,1.980640411376953,833603,-.2268571853637695,2168501,.313847541809082,10670898,.0253543853759766,4023013,.1289052963256836,1743055,-.3089332580566406,8816,465984,.2610683441162109,15991,-.4856863021850586,811816,.0676288604736328,310475,-.2370109558105469,1301619,-.9749526977539063,53212,.3588895797729492,545000,613183,3490120704,778044,matched (3),59367412,.88018906,9278372,12209167
201006,293100,605,1276,25995848,06,0,0,0,0,1,0,0,0,0,0,0,97474,-.3310308456420898,5523513,.0296630859375,115125,-.3710289001464844,154558,-.0639562606811523,8453,-.026616096496582,1003791,-.2802085876464844,7097282,.0515098571777344,24222948,.0315799713134766,1370138,-.0564060211181641,1242571,-.1846847534179688,21012424,.1756687164306641,3391831,20456,-.2845363616943359,8356773,19059868,-.1254520416259766,5005,-.0260324478149414,378149,.0198383331298828,17059308,-.2512683868408203,6266585,1802089,1045385,-.7583322525024414,252138,-.0851020812988281,96143,-.1799039840698242,6306764,1.115444183349609,1910790,-.4300203323364258,3921518,-.1022520065307617,532943,-.0667428970336914,13040729,.6332836151123047,23303,.5944604873657227,0,26526,6237650,.0373735427856445,0,107126,-.2203426361083984,592264,-.3418045043945313,2025995,-.0679759979248047,11398465,.0659580230712891,3274550,-.2058506011962891,1501988,-.1488494873046875,8398,265168,-.5637874603271484,6410,-.9141664505004883,743630,-.0877304077148438,428315,.3217554092407227,1628195,.2238626480102539,33570,-.4606513977050781,528000,599222,3769628672,842365,matched (3),57177380,.88018906,7878185,11182190
201007,293100,606,1276,23210758,07,0,0,0,0,0,1,0,0,0,0,0,89920,-.0806655883789063,5457041,-.0121078491210938,237604,.7245874404907227,24915,-1.825099945068359,3065,-1.014473915100098,782511,-.2490310668945313,7520486,.0579185485839844,22062910,-.0934028625488281,1153956,-.1717147827148438,1540053,.214634895324707,15063274,-.3328533172607422,2215032,13274,-.4324684143066406,6940990,16589845,-.1387939453125,3092,-.4816188812255859,326474,-.146937370300293,11767821,-.3713264465332031,8560076,1751149,1335575,.2449769973754883,267115,.0577030181884766,272969,1.043521881103516,2752040,-.829279899597168,1667698,-.1360721588134766,3335072,-.1619844436645508,1036965,.6656389236450195,3613241,-1.283473014831543,14375,-.4830913543701172,735421,2594,6867055,.0961313247680664,50370,44735,-.8732500076293945,917692,.4379091262817383,1883270,-.0730504989624023,7616651,-.403141975402832,2108302,-.4402971267700195,932809,-.4763450622558594,6875,354746,.2910385131835938,19424,1.108650207519531,681621,-.0870695114135742,358671,-.1774530410766602,1415837,-.1397504806518555,66894,.6894769668579102,99000,1069612,3770380800,632638,matched (3),29867440,.88018906,6071779.5,9992101
201008,293100,607,1276,13398352,08,0,0,0,0,0,0,1,0,0,0,0,210362,.849909782409668,6142933,.1183958053588867,144605,-.4965991973876953,91600,1.301960945129395,4972,.4837751388549805,1078496,.3208150863647461,7399966,-.0161552429199219,27850656,.2329578399658203,1272029,.097416877746582,1706700,.1027441024780273,15764637,.0455093383789063,3465494,10583,-.2265586853027344,2042464,8301515,-.6923532485961914,5362,.5505189895629883,82460,-1.37603759765625,6313093,-.6227436065673828,7403116,1705282,1016087,-.2734031677246094,359558,.2971963882446289,175296,-.4428825378417969,1940497,-.3493986129760742,2161966,.2595739364624023,3816130,.1347417831420898,347040,-1.094613075256348,1789238,-.702815055847168,13471,-.0649518966674805,45875,11563,6481261,-.0578203201293945,23014,67265,.4078836441040039,571866,-.4729576110839844,1777567,-.0577640533447266,3790687,-.697789192199707,1332596,-.4587545394897461,1246379,.2897977828979492,2282,485581,.3139438629150391,20971,.0766315460205078,853122,.2244291305541992,270683,-.2814579010009766,1513704,.066838264465332,49423,-.3026933670043945,155000,735873,3751747840,833492,matched (3),21402240,.88018906,4589174,9167120
201009,293100,608,1276,9070816,09,0,0,0,0,0,0,0,1,0,0,0,21012,-2.303735733032227,3882051,-.4589385986328125,111071,-.2638368606567383,100154,.0892782211303711,609,-2.099759101867676,679501,-.4619636535644531,5768995,-.2489776611328125,26491674,-.0500259399414063,1106524,-.1393899917602539,1134574,-.4083042144775391,14990891,-.0503273010253906,2374613,6416,-.5004539489746094,4005548,6490244,-.2461376190185547,5027,-.06451416015625,263234,1.160730361938477,6865661,.0839061737060547,6672406,1192185,741871,-.3145389556884766,165464,-.7761220932006836,143366,-.2010746002197266,2031268,.0457162857055664,2299233,.0615577697753906,3573760,-.0656185150146484,550008,.4604930877685547,2038297,.1303243637084961,15146,.1171979904174805,122900,12066,5468702,-.1698732376098633,18277,58788,-.1347017288208008,526388,-.0828657150268555,1395674,-.2418689727783203,2634349,-.3639116287231445,815142,-.4915218353271484,1161704,-.0703544616699219,2140,260872,-.6213159561157227,2609,-2.084174156188965,614836,-.3275470733642578,268392,-.0084991455078125,1326610,-.1319332122802734,34444,-.3610811233520508,116000,155280,3453398272,673536,matched (3),574503.75,.88018906,4760807,9254234
201010,293100,609,1276,17662900,10,0,0,0,0,0,0,0,0,1,0,0,294227,2.639257431030273,4835897,.2197027206420898,200790,.5920906066894531,32552,-1.123869895935059,10025,2.801018714904785,1208986,.5761785507202148,7711630,.2902317047119141,24455884,-.0799598693847656,1412719,.244293212890625,1252488,.0988750457763672,13744995,-.0867671966552734,3896212,88086,2.619519233703613,4807028,8395059,.2573432922363281,6379,.2381887435913086,126164,-.7354612350463867,11034695,.4745121002197266,6711218,1234581,1327404,.5818052291870117,200756,.1933364868164063,275127,.6518316268920898,3766532,.6174945831298828,2809108,.2002906799316406,3600689,.00750732421875,801685,.3767824172973633,2543784,.2215385437011719,16009,.0554141998291016,304140,14328,5435035,-.0061759948730469,31170,175666,1.094646453857422,908711,.5459890365600586,1399119,.0024652481079102,5978740,.8195743560791016,953435,.1567087173461914,1856622,.4688701629638672,9297,437966,.5181112289428711,17321,1.892952919006348,835689,.3069009780883789,329601,.2054338455200195,1406140,.0582218170166016,47069,.3122797012329102,102000,159524,3737670656,713040,matched (3),19486638,.88018906,4454697,9100544
