period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1048c608,Y1080c484,growth1080c484,Y1157c757,growth1157c757,Y1426c752,growth1426c752,Y1427c152,growth1427c152,Y1487c246,growth1487c246,Y1601c705,Y1651c818,Y1712c152,Y1811c484,growth1811c484,Y1988c268,growth1988c268,Y2010c792,growth2010c792,Y2081c372,growth2081c372,Y2156c703,growth2156c703,Y2289c826,growth2289c826,Y2651c752,growth2651c752,Y2685c36,Y2691c124,growth2691c124,Y269c124,growth269c124,Y2899c818,Y2915c484,growth2915c484,Y3002c428,growth3002c428,Y3095c372,growth3095c372,Y3234c124,growth3234c124,Y3344c428,growth3344c428,Y3379c752,growth3379c752,Y3491c586,growth3491c586,Y3550c484,growth3550c484,Y3778c608,Y3832c600,Y3894c792,growth3894c792,Y4351c818,Y4408c428,growth4408c428,Y4589c32,Y4633c620,growth4633c620,Y4763c428,growth4763c428,Y4803c268,growth4803c268,Y4815c152,growth4815c152,Y4824c152,growth4824c152,Y4958c300,growth4958c300,Y4964c152,growth4964c152,Y4973c124,Y4973c428,growth4973c428,Y657c818,Y716c752,growth716c752,Y724c705,growth724c705,Y83c498,Y956c818,Y963c703,Y980c300,growth980c300,_merge,x,r2,s,sf
201001,293299,600,1288,14935107,01,0,0,0,0,0,0,0,0,0,0,0,53796,2003846,,903777,,1471302,,73428,,1198692,,3077,17449100,501734,1570068,,10076,,103524,,217787,,2326,,317286,,2170793,,83856,359669,,774007,,865247,1452989,,380,,359071,,146384,,1031,,543451,,170936,,574040,,890947,438302,874557,,506512,303897,,1395977,425758,,82213,,889,,186236,,981542,,50829,,24060,,370488,1670,,693994,220240,,26026,,5366,114775,271,1009046,,matched (3),,.92032504,,
201002,293299,601,1288,21646408,02,1,0,0,0,0,0,0,0,0,0,0,85059,3441640,.5408792495727539,950877,.0508012771606445,685583,-.7636337280273438,87940,.1803493499755859,1269999,.0577850341796875,19775,19287608,808666,2061723,.2724237442016602,5277,-.6467990875244141,169360,.492222785949707,334078,.4278564453125,285742,4.810938835144043,241029,-.2748861312866211,2247441,.0347003936767578,141001,310901,-.1457090377807617,549373,-.342803955078125,1445819,1770977,.1979084014892578,2918,2.038482666015625,195562,-.6076421737670898,709252,1.577977180480957,3958,1.34520959854126,1117761,.7211427688598633,209104,.201542854309082,488004,-.1623754501342773,428587,531202,3300613,1.328145980834961,416288,579256,.6450557708740234,3033051,648243,.4203948974609375,30103,-1.00468921661377,2853,1.16602897644043,90632,-.7202081680297852,2181695,.7987327575683594,80573,.4606962203979492,15524,-.4381637573242188,275748,3543,.7521505355834961,806506,377044,.5376443862915039,32434,.2201118469238281,20861,48600,534,92588,-2.388601303100586,matched (3),44421516,.92032504,4372290,4704063
201003,293299,602,1288,13168440,03,0,1,0,0,0,0,0,0,0,0,0,199807,1967857,-.5590028762817383,133653,-1.962137222290039,1479459,.7691621780395508,33572,-.9629621505737305,1109007,-.1355504989624023,12092,23183884,422127,1417281,-.3748025894165039,6723,.2421770095825195,437199,.9483623504638672,248560,-.295689582824707,4064,-4.252921104431152,306325,.2397289276123047,2804493,.2214298248291016,108273,358227,.1416921615600586,726551,.2795314788818359,1031523,1895479,.0679397583007813,1521,-.6515307426452637,453116,.84027099609375,233011,-1.113124847412109,2601,-.4198427200317383,127811,-2.168530464172363,272738,.2656793594360352,502144,.0285634994506836,1125676,86385,2075235,-.4640340805053711,406562,406743,-.3535633087158203,4898124,939943,.3715534210205078,76746,.9358768463134766,623,-1.521579742431641,75420,-.1837348937988281,4014752,.6098737716674805,176622,.7848482131958008,6946,-.8042211532592773,695935,5407,.4227199554443359,875910,299459,-.2303848266601563,10336,-1.143574714660645,9931,217794,326,830114,2.193403244018555,matched (3),39164524,.92032504,4777838,5083210
201004,293299,603,1288,12634327,04,0,0,1,0,0,0,0,0,0,0,0,199113,4181000,.753605842590332,3306,-3.699507713317871,715194,-.7268772125244141,49641,.3911247253417969,1089416,-.0178232192993164,4950,18756268,132146,1368808,-.0347995758056641,6352,-.0567646026611328,161536,-.9956607818603516,140295,-.5719375610351563,1354,-1.099104881286621,300064,-.0206508636474609,2282715,-.2058572769165039,0,204580,-.5602083206176758,382397,-.6418495178222656,930575,1629481,-.151209831237793,1441,-.0540304183959961,418277,-.0800046920776367,477258,.7169713973999023,1317,-.680539608001709,65885,-.6626415252685547,265705,-.0261249542236328,392641,-.2459917068481445,732074,58814,995830,-.7342529296875,287274,495156,.1966915130615234,1607715,496688,-.6378574371337891,49849,-.4315032958984375,584,-.0646452903747559,79195,.0488414764404297,2051148,-.6715764999389648,75190,-.8539934158325195,131775,2.942929267883301,546475,5896,.0865802764892578,1068094,331304,.1010589599609375,23564,.8240871429443359,7551,125647,12778,846053,.0190191268920898,matched (3),36998940,.92032504,3869115.3,4240441.5
201005,293299,604,1288,16540844,05,0,0,0,1,0,0,0,0,0,0,0,126285,1909685,-.7836122512817383,21896,1.890564918518066,714118,-.0015058517456055,100432,.7046632766723633,1094663,.0048046112060547,3722,10832101,269850,1926154,.3415851593017578,2365,-.9879918098449707,413422,.9397411346435547,184012,.2712535858154297,13739,2.31717586517334,345342,.1405401229858398,2561819,.1153526306152344,0,446138,.7796697616577148,432365,.1228103637695313,663415,1912901,.1603593826293945,1531,.0605835914611816,301861,-.3261775970458984,393324,-.1934232711791992,3812,1.062798023223877,371213,1.728865623474121,326437,.2058506011962891,694125,.5697565078735352,870395,96054,2259596,.8193645477294922,1178891,476356,-.0387067794799805,2331373,596593,.1832733154296875,67090,.2970371246337891,1158,.6845483779907227,122998,.4402542114257813,4728653,.8352413177490234,54581,-.3203325271606445,192592,.3794784545898438,779618,4975,-.1698493957519531,95014,327659,-.0110626220703125,25136,.0645809173583984,7867,208503,7121,847154,.0013008117675781,matched (3),40162872,.92032504,3820272.3,4195923
201006,293299,605,1288,26011860,06,0,0,0,0,1,0,0,0,0,0,0,297800,2839499,.3966894149780273,101281,1.531594276428223,1956908,1.008072853088379,22724,-1.486059188842773,979022,-.1116476058959961,7298,16585948,473515,1493020,-.2547245025634766,5949,.9224448204040527,285833,-.3690614700317383,250159,.3070955276489258,14722,.0691041946411133,463833,.2949895858764648,2438002,-.0495386123657227,0,453986,.0174379348754883,521730,.1878805160522461,1234449,2530644,.2798528671264648,13471,2.174617767333984,198585,-.4187488555908203,346974,-.1253843307495117,13518,1.265868186950684,239076,-.4399948120117188,351639,.0743675231933594,705323,.0160045623779297,967402,140760,2525517,.1112604141235352,322973,558120,.1584081649780273,2760793,794809,.2868671417236328,86140,.24993896484375,2239,.6593351364135742,131911,.0699596405029297,5206074,.0961856842041016,186036,1.226254463195801,136641,-.3432168960571289,497210,36916,2.004220008850098,714450,262843,-.2204170227050781,46837,.6223726272583008,12736,297924,940,231654,-1.296638488769531,matched (3),43018432,.92032504,7013543.5,7225031.5
201007,293299,606,1288,19753016,07,0,0,0,0,0,1,0,0,0,0,0,70568,4313809,.4181938171386719,3889,-3.259746551513672,886347,-.7920122146606445,90990,1.387328147888184,1470528,.4068222045898438,32343,16975968,471924,1923109,.2531423568725586,29358,1.596342086791992,341015,.1765193939208984,257441,.0286941528320313,9852,-.4016685485839844,492932,.0608463287353516,2435780,-.0009126663208008,246492,353971,-.2488517761230469,379027,-.3195428848266602,1499028,1649918,-.4277477264404297,629,-3.064162731170654,206974,.0413761138916016,514033,.3930377960205078,1485,-2.20860767364502,158603,-.4103775024414063,337174,-.0420055389404297,797284,.1225547790527344,739919,80237,1455956,-.5507831573486328,626826,406700,-.316497802734375,4064262,552854,-.3630084991455078,91602,.0614786148071289,5153,.833549976348877,98478,-.2922945022583008,3781863,-.3196096420288086,88719,-.7404661178588867,86330,-.4591798782348633,434495,4600,-2.082589149475098,382649,327722,.2206087112426758,30624,-.4248895645141602,7021,171287,2837,1816626,2.059492111206055,matched (3),38340924,.92032504,3915757.8,4283042
201008,293299,607,1288,14014494,08,0,0,0,0,0,0,1,0,0,0,0,273422,2661906,-.4827795028686523,26573,1.921743392944336,1142275,.2536678314208984,77670,-.1582803726196289,1115320,-.2764797210693359,24124,19282912,249884,1608340,-.1787405014038086,12310,-.8691530227661133,267035,-.2445468902587891,291111,.1229143142700195,8791,-.1139459609985352,292578,-.5216398239135742,2390343,-.018829345703125,258160,228485,-.437744140625,555080,.381505012512207,1105838,1853224,.1162004470825195,1040,.5028448104858398,148741,-.3303871154785156,226177,-.8209695816040039,5326,1.277185440063477,425493,.9868440628051758,731370,.7743206024169922,754669,-.054931640625,482851,441439,1491588,.0241785049438477,408915,315192,-.2548942565917969,8193862,490248,-.1201820373535156,69522,-.2758092880249023,129,-3.687522411346436,125900,.2456550598144531,3589122,-.0523090362548828,37602,-.8584165573120117,54074,-.4678239822387695,535941,7499,.4887142181396484,549716,608875,.6194477081298828,25257,-.1926803588867188,13976,244796,645,1362614,-.2875766754150391,matched (3),33709360,.92032504,4406157.5,4735558.5
201009,293299,608,1288,9830050,09,0,0,0,0,0,0,0,1,0,0,0,143239,2106973,-.233790397644043,30327,.1321430206298828,1007581,-.1254692077636719,76610,-.0137414932250977,1425378,.245295524597168,23717,17090044,203575,1377226,-.1551313400268555,2977,-1.419495582580566,219198,-.1974048614501953,212896,-.3129005432128906,1560,-1.729042530059815,332010,.1264333724975586,2482807,.0379524230957031,219281,396483,.5511627197265625,420627,-.2773656845092773,814910,2256135,.1967267990112305,17289,2.810849666595459,752166,1.620750427246094,262444,.1487197875976563,4771,-.1100444793701172,392777,-.0800056457519531,251509,-1.067440986633301,615156,-.2044038772583008,408530,58452,1787220,.1808195114135742,287843,495506,.452397346496582,3969832,608140,.2154932022094727,49874,-.3321437835693359,29,-1.49251651763916,105111,-.1804714202880859,2709858,-.2810115814208984,131265,1.250160217285156,6597,-2.103737831115723,132325,7781,.0369148254394531,339641,142879,-1.449614524841309,17414,-.3718290328979492,14393,113296,1354,558524,-.8918619155883789,matched (3),44593044,.92032504,5294790,5571902
201010,293299,609,1288,12820179,10,0,0,0,0,0,0,0,0,1,0,0,142805,2439877,.1466960906982422,67800,.8045234680175781,1487855,.3897829055786133,11009,-1.940014839172363,1109467,-.2505569458007813,1499,19932928,328762,1276873,-.0756568908691406,5550,.6228818893432617,123790,-.5713882446289063,478692,.8102531433105469,7282,1.540719509124756,338378,.0189990997314453,2984047,.1838903427124023,191111,374638,-.0566730499267578,284359,-.3915090560913086,1098163,1820864,-.2143421173095703,10302,-.5177326202392578,153533,-1.589041709899902,216440,-.1927242279052734,3944,-.1903600692749023,690069,.5635490417480469,511741,.7103395462036133,451200,-.3099651336669922,703400,34734,1083382,-.5005731582641602,245500,602266,.1951198577880859,5105436,903923,.3963394165039063,131355,.9684038162231445,2939,4.618528842926025,176225,.5167446136474609,2448199,-.1015434265136719,75600,-.5517616271972656,27607,1.431453704833984,233468,5870,-.2818307876586914,919973,479613,1.210981369018555,23266,.2897186279296875,10877,166892,8866,1144154,.7171230316162109,matched (3),37479884,.92032504,4911873,5209394.5
