period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1162c826,growth1162c826,Y1199c484,growth1199c484,Y1485c376,Y1622c586,growth1622c586,Y1771c344,Y1888c826,growth1888c826,Y2049c68,growth2049c68,Y2108c620,growth2108c620,Y2160c752,growth2160c752,Y2224c344,Y2717c344,Y271c36,Y2789c208,growth2789c208,Y2871c344,Y2883c428,growth2883c428,Y2897c251,growth2897c251,Y2912c440,growth2912c440,Y3109c300,growth3109c300,Y3110c792,growth3110c792,Y3150c428,growth3150c428,Y3152c792,growth3152c792,Y3300c124,growth3300c124,Y3329c372,Y3487c124,growth3487c124,Y350c246,growth350c246,Y3674c124,growth3674c124,Y4194c442,Y4195c251,growth4195c251,Y4246c381,Y427c344,Y4299c688,growth4299c688,Y4342c600,growth4342c600,Y437c251,growth437c251,Y4389c428,growth4389c428,Y4437c600,Y4441c251,growth4441c251,Y4703c222,growth4703c222,Y4732c352,Y4755c428,growth4755c428,Y4808c268,growth4808c268,Y487c484,growth487c484,Y4925c484,growth4925c484,Y5024c124,growth5024c124,Y516c152,growth516c152,Y654c705,growth654c705,Y718c484,growth718c484,Y887c620,growth887c620,Y894c203,Y933c484,growth933c484,Y937c191,growth937c191,_merge,x,r2,s,sf
201001,293329,600,1292,465901,01,0,0,0,0,0,0,0,0,0,0,0,1454764,,376467,,528000,1150370,,7503546,1100910,,284068,,59429,,7249,,3770053,543521,548593,778047,,930819,30869,,12323385,,1677,,74859,,5275083,,288447,,854881,,4677088,,165826,237005,,58378,,309884,,2510729,145507888,,12843,33258,19480,,179238,,1753958,,40938,,2099431,28339736,,2338,,4629,1036932,,800,,5615441,,1175860,,136778,,1795178,,27118,,15163,,53078,,306130,192588,,97720,,matched (3),,.80747455,,
201002,293329,601,1292,1505972,02,1,0,0,0,0,0,0,0,0,0,0,1919759,.2773561477661133,571018,.4165897369384766,649000,886676,-.2603588104248047,3754386,913064,-.1870861053466797,662477,.8467721939086914,121031,.7112646102905273,7020,-.032099723815918,2242957,416254,316116,981903,.2327060699462891,824430,67314,.7796163558959961,19084288,.4373664855957031,12872,2.038047790527344,149610,.6924247741699219,5950631,.1205024719238281,812644,1.035781860351563,458318,-.6233987808227539,4007611,-.1544809341430664,144508,360674,.4198932647705078,173449,1.088944435119629,154410,-.6965866088867188,1667008,125195032,-.1503562927246094,122803,82607,137363,1.953238487243652,85370,-.7417201995849609,1394170,-.2295751571655273,102124,.9141292572021484,2779577,19957896,-.3506393432617188,3567,.4224295616149902,107740,1148764,.1024198532104492,7421,2.227457523345947,8049992,.3601503372192383,1237654,.0512180328369141,130472,-.0472011566162109,2040576,.1281280517578125,23094,-.1606254577636719,55868,1.304133415222168,66459,.224822998046875,330941,127220,-.4146347045898438,138887,.3515548706054688,matched (3),2232456.3,.80747455,272944.72,462965.97
201003,293329,602,1292,1019740,03,0,1,0,0,0,0,0,0,0,0,0,1662380,-.1439495086669922,814149,.3547229766845703,549000,1410478,.4642038345336914,7091932,1197641,.2713022232055664,1055075,.4653816223144531,75769,-.468358039855957,9365,.2882156372070313,3416546,297699,738192,841110,-.1547698974609375,1486095,49532,-.3067493438720703,16727815,-.1317920684814453,1292,-2.298862934112549,157674,.0524978637695313,4446974,-.2912731170654297,326232,-.912684440612793,943231,.7217483520507813,7067729,.5673437118530273,245079,369367,.0238161087036133,90581,-.6496391296386719,116582,-.2810163497924805,1562578,156913488,.2258205413818359,21789,57865,87421,-.4518918991088867,202677,.864619255065918,1383727,-.0075187683105469,131420,.2522106170654297,5357886,18475944,-.0771560668945313,8236,.8367891311645508,7582,1321186,.1398429870605469,34334,1.531822204589844,19450536,.8822031021118164,2029698,.4946689605712891,96143,-.3053216934204102,3307930,.4830904006958008,18150,-.2409019470214844,13122,-1.448701858520508,361053,1.692439079284668,237123,184996,.3744163513183594,56795,-.8942127227783203,matched (3),824232.13,.80747455,403052.84,549809.31
201004,293329,603,1292,951398,04,0,0,1,0,0,0,0,0,0,0,0,777539,-.7598714828491211,486839,-.5142097473144531,1238000,1383736,-.0191411972045898,7879171,975464,-.205195426940918,761912,-.325535774230957,151339,.69183349609375,6999,-.2912120819091797,2568190,238286,0,582886,-.3667306900024414,1052843,18178,-1.002407073974609,9427571,-.5734348297119141,6193,1.567227840423584,110359,-.3567905426025391,7806532,.5627365112304688,284274,-.1376705169677734,745380,-.235417366027832,4823792,-.3819789886474609,139452,230870,-.469935417175293,169152,.6245536804199219,171866,.3881196975708008,1628432,92578496,-.5276374816894531,4384,17326,24773,-1.260980606079102,114495,-.5710821151733398,2072884,.4041604995727539,23007,-1.742600440979004,3111083,23902188,.2575016021728516,4124,-.6916904449462891,131,750384,-.565699577331543,7358,-1.540348052978516,8238301,-.8590793609619141,1471959,-.3212928771972656,91311,-.0515651702880859,3318314,.0031337738037109,5310,-1.229079246520996,12007,-.0888004302978516,244173,-.3911476135253906,419741,330937,.5815935134887695,92146,.4839258193969727,matched (3),2244965,.80747455,423531.59,564993.5
201005,293329,604,1292,1197624,05,0,0,0,1,0,0,0,0,0,0,0,895769,.1415481567382813,13802,-3.563119888305664,867000,1065120,-.2616996765136719,7263738,1364627,.3357229232788086,791120,.0376186370849609,252634,.5124197006225586,22342,1.160701751708984,3433110,319183,0,669120,.1379709243774414,376757,13048,-.3315773010253906,12470235,.2797069549560547,3669,-.5235004425048828,86555,-.2429590225219727,3724439,-.7400445938110352,453390,.4668140411376953,851020,.1325416564941406,4271339,-.1216325759887695,149382,379473,.4969282150268555,103585,-.4904050827026367,442687,.9461479187011719,2020108,111850392,.1891059875488281,16465,54450,70139,1.040724754333496,231481,.7039661407470703,1795733,-.1435279846191406,22818,-.0082483291625977,3575297,15614155,-.4257926940917969,1133,-1.29195499420166,159990,970305,.2570257186889648,15685,.7569169998168945,4005158,-.7212114334106445,1547092,.0497827529907227,93261,.0211305618286133,3149950,-.0520696640014648,23485,1.486770629882813,75113,1.833503723144531,306006,.2257280349731445,486528,119374,-1.01966667175293,35790,-.9457054138183594,matched (3),1384185.4,.80747455,353419.66,514532.91
201006,293329,605,1292,1997266,06,0,0,0,0,1,0,0,0,0,0,0,1146466,.2467575073242188,577068,3.733146667480469,726000,1498251,.3412103652954102,9590442,1014056,-.2969226837158203,247465,-1.162180900573731,116387,-.7750215530395508,8582,-.9568014144897461,4295327,423647,0,731779,.0895156860351563,759417,826,-2.759795188903809,15905448,.243316650390625,4154,.1241531372070313,100709,.1514558792114258,5924225,.4641342163085938,306973,-.3899927139282227,1072692,.2314910888671875,4667889,.0887794494628906,226608,200455,-.6381931304931641,111353,.0723123550415039,339581,-.2651500701904297,1542721,154110272,.3205051422119141,366,21767,78462,.1121349334716797,300075,.2595348358154297,1983178,.0992870330810547,101671,1.494192123413086,3753569,31934604,.7155132293701172,2247,.6847271919250488,367360,912788,-.0611066818237305,19192,.2017879486083984,7443545,.6197643280029297,1228009,-.230982780456543,130390,.3351278305053711,3552059,.1201410293579102,13666,-.5414514541625977,34791,-.7696342468261719,492420,.4757270812988281,378774,210350,.5665111541748047,42941,.1821584701538086,matched (3),2814364.3,.80747455,512185.94,634171.19
201007,293329,606,1292,2207351,07,0,0,0,0,0,1,0,0,0,0,0,1390485,.1929683685302734,373385,-.4353504180908203,757000,1543176,.0295448303222656,10578220,1385706,.3122520446777344,707782,1.050867080688477,20243,-1.749111175537109,9763,.128931999206543,6412985,811373,524336,861838,.1635885238647461,1639929,30029,3.593323707580566,14704935,-.0784778594970703,4965,.1783418655395508,135104,.2938089370727539,3469009,-.5351810455322266,372682,.1939659118652344,1006736,-.0634584426879883,3471437,-.296137809753418,389817,427923,.7583532333374023,184849,.5068340301513672,612506,.5898456573486328,1975535,152412016,-.0110797882080078,48123,59932,86342,.0957021713256836,188594,-.4644355773925781,1369044,-.3705873489379883,104527,.0277032852172852,3876322,18845904,-.5273952484130859,7359,1.186327457427979,640423,1094167,.1812448501586914,56202,1.074459075927734,8710199,.1571474075317383,1435589,.1561813354492188,98860,-.276824951171875,3728249,.0484113693237305,12097,-.121953010559082,51606,.3942794799804688,504220,.0236806869506836,385914,224259,.0640287399291992,50836,.1687774658203125,matched (3),2566517.5,.80747455,578891.19,689168.81
201008,293329,607,1292,1160757,08,0,0,0,0,0,0,1,0,0,0,0,971977,-.3580760955810547,354899,-.050776481628418,646000,3045006,.6796598434448242,9691955,1043172,-.2839441299438477,455968,-.4397134780883789,96145,1.558048248291016,5169,-.635920524597168,3689034,878993,480643,1128856,.269892692565918,1230357,63560,.749821662902832,14762032,.0038738250732422,6655,.2929544448852539,79277,-.5330963134765625,5079496,.381342887878418,660567,.5723733901977539,902948,-.1088037490844727,5521748,.4641256332397461,147164,366525,-.154876708984375,81249,-.8220205307006836,423809,-.3682756423950195,1920390,114454888,-.286407470703125,26026,53889,25902,-1.203996658325195,93225,-.7045812606811523,1488323,.0835371017456055,43082,-.8863401412963867,3336483,22647288,.1837444305419922,5027,-.3811006546020508,1036068,933782,-.1585063934326172,10542,-1.673584938049316,9684905,.1060733795166016,1306804,-.0939912796020508,120938,.201573371887207,3552621,-.048253059387207,11626,-.0397138595581055,78559,.4202117919921875,124515,-1.398586273193359,289974,375373,.5151185989379883,23698,-.763214111328125,matched (3),2806917,.80747455,588542.19,697295.19
201009,293329,608,1292,556985,09,0,0,0,0,0,0,0,1,0,0,0,822717,-.1667194366455078,136455,-.9558382034301758,245000,1584075,-.6535024642944336,5890284,621598,-.5177278518676758,693292,.4190282821655273,26163,-1.301511764526367,7799,.4113168716430664,2556486,701710,512372,1249860,.1018266677856445,1353594,80542,.2367944717407227,13057159,-.1227207183837891,13149,.6809778213500977,62300,-.2409868240356445,3617530,-.3394203186035156,725896,.0943078994750977,895952,-.0077781677246094,3441745,-.4727163314819336,62397,282783,-.2593870162963867,62068,-.2692880630493164,138671,-1.117177963256836,1833675,156247904,.3112640380859375,22030,46345,107653,1.424592971801758,578530,1.825474739074707,1275460,-.1543426513671875,60732,.3433656692504883,3287309,20531528,-.0980777740478516,399,-2.53361701965332,175746,901580,-.0350933074951172,5281,-.6912517547607422,14496347,.4033279418945313,1459502,.1105108261108398,141441,.1566047668457031,3627286,.0207986831665039,10888,-.065582275390625,64799,-.1925601959228516,246025,.6810064315795898,126908,244418,-.4290399551391602,12014,-.6793174743652344,matched (3),1655395.8,.80747455,307936.16,484420.63
201010,293329,609,1292,685583,10,0,0,0,0,0,0,0,0,1,0,0,678229,-.1931276321411133,85566,-.4667072296142578,1054000,2630396,.5071344375610352,6611111,1649796,.9761133193969727,691981,-.0018930435180664,226043,2.156379699707031,9269,.1726799011230469,1357521,722177,522642,1324148,.0577383041381836,1085412,132079,.4946212768554688,10725677,-.1966972351074219,6383,-.7227077484130859,107160,.5423612594604492,2768689,-.2674179077148438,760073,.0460081100463867,902161,.0069065093994141,5093601,.3920068740844727,372021,805820,1.047181129455566,150671,.8868675231933594,443742,1.163138389587402,1837100,164171040,.0494651794433594,2849,66530,117295,.0857791900634766,196716,-1.078729629516602,1163346,-.0920066833496094,76164,.2264184951782227,2826232,16905144,-.1943435668945313,16546,3.72493839263916,772558,1117253,.2144794464111328,6054,.1366033554077148,12232899,-.1697673797607422,1299075,-.1164426803588867,97958,-.3673439025878906,4232017,.1541938781738281,9609,-.1249618530273438,49509,-.2691354751586914,1055227,1.45607852935791,171003,273166,.1111993789672852,50809,1.442000389099121,matched (3),3188126.5,.80747455,425957.25,566814.13
