period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1602c344,Y1619c792,growth1619c792,Y1679c208,growth1679c208,Y1771c600,growth1771c600,Y2011c428,growth2011c428,Y2057c222,growth2057c222,Y2115c251,growth2115c251,Y2129c586,growth2129c586,Y2136c428,growth2136c428,Y2222c124,growth2222c124,Y2318c300,growth2318c300,Y2554c688,growth2554c688,Y259c124,growth259c124,Y2714c554,Y2740c428,growth2740c428,Y2933c344,Y3004c688,growth3004c688,Y3012c642,Y3070c752,growth3070c752,Y3182c352,growth3182c352,Y319c688,Y3258c620,growth3258c620,Y3371c484,growth3371c484,Y343c208,Y3478c484,growth3478c484,Y3539c352,growth3539c352,Y3760c233,Y3829c705,growth3829c705,Y3889c152,Y3916c300,growth3916c300,Y4321c807,growth4321c807,Y4329c222,growth4329c222,Y4373c268,growth4373c268,Y4380c251,growth4380c251,Y4384c218,Y4459c124,growth4459c124,Y446c152,Y4503c152,growth4503c152,Y452c372,growth452c372,Y4545c807,Y4581c268,growth4581c268,Y4625c233,Y5039c208,growth5039c208,Y621c757,growth621c757,Y644c246,growth644c246,Y652c352,growth652c352,Y685c757,growth685c757,Y740c620,growth740c620,Y873c440,growth873c440,Y961c300,_merge,x,r2,s,sf
201001,293339,600,1296,20983688,01,0,0,0,0,0,0,0,0,0,0,0,59140,3233831,,1169767,,59068,,17097,,826049,,1293301,,47334,,19931,,107995,,5365,,11721,,6194184,,812961,4327,,1589387,29723,,100546,257627,,17366,,7922,183244,,394763,,1239047,516810,,5243,,73444,16515,,367750,550586,,4964,,874856,,283039,,14030481,,492444,507261,,167148,10393,,165279,,77,8500632,,83525,63957,,1043722,,931718,,5878,,187966,,12696,,128322,,9275,matched (3),,.819305,,
201002,293339,601,1296,12028657,02,1,0,0,0,0,0,0,0,0,0,0,10243,2640910,-.2025432586669922,1016880,-.1400651931762695,177675,1.101266860961914,2085,-2.10413408279419,2920402,1.262822151184082,1252839,-.0317850112915039,9665,-1.588717460632324,25876,.2610387802124023,71964,-.405919075012207,21471,1.386807441711426,11955,.0197668075561523,6177317,-.0027265548706055,613441,17671,1.407050132751465,617838,18823,-.4568424224853516,1617936,107258,-.8762750625610352,8289,-.7395849227905273,4780,174836,-.0469703674316406,177754,-.7978849411010742,1484445,490775,-.0516901016235352,3430,-.4243335723876953,45529,27545,.5115518569946289,8917,379479,-.3721837997436523,2989,-.5072727203369141,920945,.0513410568237305,121742,-.8436803817749023,13297199,-.0536785125732422,285557,499396,-.0156259536743164,41808,10145,-.0241518020629883,80970,-.7135562896728516,45,5195452,-.4923572540283203,956054,5501,-2.453281402587891,828002,-.2315330505371094,640439,-.3748760223388672,889,-1.888875007629395,143601,-.2692222595214844,15456,.1967105865478516,89089,-.3649063110351563,73266,matched (3),19646692,.819305,3599929,5449072
201003,293339,602,1296,15676158,03,0,1,0,0,0,0,0,0,0,0,0,43722,3529562,.2900495529174805,1137238,.1118631362915039,277750,.4467649459838867,36787,2.870375156402588,1655013,-.5679121017456055,982976,-.2425832748413086,64113,1.892135620117188,35952,.3288688659667969,84365,.1589870452880859,88950,1.421371459960938,105825,2.180637359619141,8574377,.3278942108154297,384732,20576,.1522006988525391,1306915,130698,1.937809944152832,253987,26234,-1.408181190490723,20569,.9088554382324219,10611,435385,.9123821258544922,410867,.8378686904907227,2073048,379850,-.2562093734741211,23049,1.905061721801758,14067,41132,.4009647369384766,5468,508159,.2919950485229492,5528,.6148872375488281,1137826,.2114744186401367,284172,.8476753234863281,12799214,-.0381698608398438,839210,533319,.0657205581665039,50332,15461,.4213399887084961,106385,.2729854583740234,115,12300736,.8618764877319336,527135,235668,3.75749397277832,921205,.1066665649414063,551832,-.1489105224609375,48039,3.989670753479004,294179,.7171497344970703,24596,.4645862579345703,134822,.4143190383911133,76839,matched (3),27292874,.819305,4063803.8,5766055.5
201004,293339,603,1296,14865443,04,0,0,1,0,0,0,0,0,0,0,0,259583,4889896,.3259973526000977,1569371,.3220729827880859,34010,-2.100066184997559,28647,-.2500953674316406,1638653,-.0099344253540039,862812,-.1303873062133789,16740,-1.342845916748047,59692,.5070133209228516,103486,.2042837142944336,13756,-1.866600036621094,93311,-.1258487701416016,7698865,-.1077051162719727,705233,14366,-.3592615127563477,1659274,263893,.7026548385620117,0,46967,.5823888778686523,7257,-1.041818618774414,6078,618875,.3516731262207031,346723,-.1697425842285156,1484621,201614,-.6334209442138672,8186,-1.035197257995606,78060,31246,-.2748947143554688,0,209401,-.8865432739257813,5121,-.0764760971069336,823188,-.3236894607543945,136193,-.7355070114135742,16471721,.2522602081298828,668503,405689,-.2735328674316406,26052,4636,-1.204468727111816,79815,-.2873525619506836,85,6742796,-.6011848449707031,1081760,2274965,2.267295837402344,915136,-.0066099166870117,933095,.525263786315918,11721,-1.410630226135254,88879,-1.19691276550293,19870,-.2133731842041016,120071,-.1158714294433594,75499,matched (3),39007372,.819305,6527998.5,7703743.5
201005,293339,604,1296,12083719,05,0,0,0,1,0,0,0,0,0,0,0,266519,3715984,-.2745275497436523,516368,-1.111610412597656,22771,-.4011669158935547,5284,-1.690365791320801,1199773,-.3117427825927734,994481,.142024040222168,54189,1.174676895141602,25631,-.8453950881958008,94473,-.0911226272583008,5827,-.8589725494384766,46154,-.7039546966552734,4092849,-.6318321228027344,533700,8406,-.5359182357788086,1515616,30801,-2.14799690246582,1849534,320199,1.919497489929199,19719,.9996156692504883,4949,268281,-.8358688354492188,467532,.2989416122436523,1695601,488346,.884669303894043,27868,1.225053787231445,105795,24920,-.2262201309204102,2986,322824,.4328556060791016,6015,.1609067916870117,806615,-.0203380584716797,165590,.1954421997070313,13895395,-.1700878143310547,584281,501494,.2120046615600586,56691,4262,-.0841140747070313,167056,.738616943359375,848,10328199,.4264030456542969,620317,5664,-5.995589256286621,443685,-.7239570617675781,648499,-.3638467788696289,43466,1.310596466064453,106310,.1790838241577148,3254,-1.809325218200684,140862,.1596965789794922,24866,matched (3),17023344,.819305,2662455.3,4880734
201006,293339,605,1296,9732980,06,0,0,0,0,1,0,0,0,0,0,0,182817,5160796,.3284473419189453,380105,-.3063726425170898,41796,.6073131561279297,17015,1.169412612915039,1031593,-.1510276794433594,1269514,.2441682815551758,30793,-.565190315246582,18266,-.3387613296508789,134439,.3527965545654297,6067,.0403623580932617,113536,.9001369476318359,3022300,-.30322265625,590142,7337,-.1360158920288086,1468128,62457,.7069311141967773,1056561,69275,-1.530858039855957,22183,.1177444458007813,4494,401012,.4019565582275391,562852,.1855487823486328,1276387,393071,-.2170343399047852,4206,-1.89096736907959,25232,34506,.3254623413085938,35611,458840,.3515949249267578,4363,-.3210964202880859,1248948,.4372100830078125,287103,.5503263473510742,13148097,-.0552787780761719,1187830,472635,-.0592679977416992,21352,25884,1.803887367248535,56823,-1.078387260437012,451,7094384,-.375575065612793,298927,157203,3.323407173156738,747319,.5213766098022461,795879,.2047863006591797,10798,-1.392618179321289,152529,.3609952926635742,34575,2.363245010375977,109641,-.2505683898925781,80201,matched (3),13375636,.819305,2089057.1,4593153
201007,293339,606,1296,7777026,07,0,0,0,0,0,1,0,0,0,0,0,214565,4558680,-.1240577697753906,532263,.3366899490356445,41512,-.0068187713623047,3807,-1.497254371643066,960624,-.0712766647338867,1223423,-.0369815826416016,17378,-.57208251953125,29465,.4781618118286133,63707,-.7468156814575195,13992,.8356208801269531,163749,.3662147521972656,6339219,.7407369613647461,365979,8750,.1761236190795898,1426300,9430,-1.890582084655762,565538,208655,1.102598190307617,10850,-.7151613235473633,3521,533813,.2860536575317383,575129,.0215778350830078,1216536,254464,-.4348306655883789,4023,-.0444841384887695,4843,31756,-.0830516815185547,45115,382362,-.1823339462280273,2136,-.7142252922058106,966010,-.2568826675415039,224706,-.2450485229492188,10991603,-.1791458129882813,659665,594475,.2293548583984375,124308,4251,-1.80647087097168,32646,-.5542192459106445,795,8007326,.1210536956787109,90866,17251,-2.209667205810547,433072,-.5455875396728516,713624,-.1090908050537109,50422,1.541067123413086,111604,-.3123979568481445,22615,-.4245166778564453,108427,-.0111351013183594,8894,matched (3),14746528,.819305,3000752.5,5073205
201008,293339,607,1296,10924934,08,0,0,0,0,0,0,1,0,0,0,0,298651,3326470,-.3151206970214844,667836,.2269048690795898,53494,.2535867691040039,23115,1.803640365600586,1054976,.0936908721923828,746830,-.4935703277587891,16664,-.0419540405273438,49000,.5086174011230469,75662,.1719818115234375,15069,.0741539001464844,78341,-.7372636795043945,6731047,.0599756240844727,391053,25933,1.08646297454834,1451816,25293,.9866313934326172,11099,419447,.6982545852661133,25122,.8395786285400391,4673,370293,-.3657503128051758,726637,.2338323593139648,1360177,170962,-.3977184295654297,8587,.7582216262817383,6948,36368,.1356077194213867,48817,144336,-.9742240905761719,3543,.5060391426086426,1233006,.2440357208251953,228234,.0155792236328125,11985409,.0865573883056641,539456,751240,.2340459823608398,127523,11959,1.034329414367676,35802,.0922813415527344,193,9715205,.1933355331420898,130453,280770,2.789665222167969,815249,.6325893402099609,936927,.2722492218017578,2725,-2.917959690093994,225570,.7036733627319336,6992,-1.173847198486328,116974,.0758752822875977,19980,matched (3),15295722,.819305,3116270.8,5142377
201009,293339,608,1296,15095397,09,0,0,0,0,0,0,0,1,0,0,0,299811,4166130,.2250757217407227,1140535,.5352106094360352,35639,-.4061288833618164,11200,-.7245674133300781,1449624,.3177852630615234,1468884,.6764202117919922,23796,.3562660217285156,16000,-1.119232177734375,91576,.1908931732177734,24918,.5029506683349609,155606,.6862564086914063,6123787,-.0945501327514648,302356,20804,-.2203712463378906,1908559,18659,-.30419921875,2481505,451313,.0732240676879883,24440,-.0275230407714844,5416,488440,.2769222259521484,871621,.1819276809692383,1574149,172664,.0099067687988281,12896,.4066677093505859,56255,42128,.1470232009887695,61665,150098,.0391445159912109,4115,.1496648788452148,1055069,-.155848503112793,302114,.2804327011108398,13256113,.10076904296875,676100,568976,-.2778863906860352,63119,50112,1.43277645111084,41934,.1580934524536133,1127,7554734,-.2515182495117188,58601,314028,.1119461059570313,834715,.0235967636108398,766243,-.201106071472168,47703,2.862526416778565,114174,-.6809062957763672,41052,1.770072937011719,169919,.3733701705932617,20212,matched (3),7874106,.819305,3963655.3,5695916
201010,293339,609,1296,13805099,10,0,0,0,0,0,0,0,0,1,0,0,171136,3555598,-.1584644317626953,987146,-.144434928894043,90647,.93353271484375,8017,-.3343496322631836,2392201,.5009098052978516,1775133,.1893730163574219,13329,-.5795745849609375,40071,.9180641174316406,121385,.2817974090576172,24375,-.0220317840576172,80828,-.6550045013427734,6151989,.0045948028564453,460329,15523,-.2928228378295898,1612677,21233,.1292285919189453,907141,429209,-.0502176284790039,10309,-.8632040023803711,3537,368287,-.2823543548583984,869072,-.0029287338256836,1360836,462019,.9842586517333984,4623,-1.025873184204102,66455,137033,1.179509162902832,56702,484046,1.170891761779785,2617,-.4526104927062988,911216,-.1465816497802734,255907,-.1659908294677734,11186946,-.1697101593017578,977008,542199,-.0482053756713867,67738,20265,-.905364990234375,16040,-.9610109329223633,629,5902688,-.2467660903930664,39926,441327,.3403043746948242,1048945,.228449821472168,980697,.2467641830444336,9780,-1.584654808044434,220107,.6563901901245117,34737,-.1670341491699219,164806,-.030552864074707,165680,matched (3),9299904,.819305,3266775,5234951.5
