period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1096c348,growth1096c348,Y1156c705,growth1156c705,Y1214c32,Y1330c251,growth1330c251,Y1363c705,growth1363c705,Y1470c616,growth1470c616,Y1514c344,Y1657c344,Y1844c208,growth1844c208,Y1909c376,Y1977c484,growth1977c484,Y1c32,Y2003c124,growth2003c124,Y2409c300,growth2409c300,Y2638c208,growth2638c208,Y2659c826,growth2659c826,Y2691c124,growth2691c124,Y2693c233,Y273c554,Y2742c152,growth2742c152,Y2768c152,growth2768c152,Y2797c620,growth2797c620,Y2861c381,Y2882c344,Y2939c826,growth2939c826,Y2984c124,growth2984c124,Y3059c300,growth3059c300,Y3337c826,growth3337c826,Y3362c752,growth3362c752,Y3466c124,growth3466c124,Y3571c300,growth3571c300,Y3642c826,growth3642c826,Y3705c152,growth3705c152,Y3984c600,growth3984c600,Y4208c705,growth4208c705,Y4316c826,growth4316c826,Y4319c608,Y4321c703,growth4321c703,Y4347c586,growth4347c586,Y4399c608,Y4605c348,growth4605c348,Y4626c752,growth4626c752,Y4789c208,growth4789c208,Y4803c372,growth4803c372,Y4836c191,growth4836c191,Y4918c124,growth4918c124,Y5015c826,growth5015c826,Y557c440,growth557c440,Y73c352,Y911c124,growth911c124,_merge,x,r2,s,sf
201001,293399,600,1310,20888836,01,0,0,0,0,0,0,0,0,0,0,0,12928,,9863,,141798,1603312,,2173106,,342390,,393623,1670055,457618,,1349000,225866,,269986,536670,,146708,,1777232,,585105,,359669,,9324,419734,471824,,7352577,,234095,,5531403,778355,13687120,,6192936,,178315,,1581276,,1301691,,4671906,,26345504,,186208,,66463,,372260,,190278,,8524698,,500591,274451,,104611,,126630,21002764,,277804,,1616483,,12099,,180598,,3056411,,201772,,533249,,26583,94017520,,matched (3),,.75881469,,
201002,293399,601,1310,8834561,02,1,0,0,0,0,0,0,0,0,0,0,1423,-2.206628322601318,6168,-.4694156646728516,150424,2195591,.3143796920776367,1018352,-.7579717636108398,400485,.1567258834838867,247162,1843869,303655,-.4101419448852539,896000,109308,-.7257719039916992,199137,396582,-.3025007247924805,126306,-.1497364044189453,1450659,-.2030391693115234,763479,.2660942077636719,310901,-.1457090377807617,12988,592832,455608,-.03497314453125,7230818,-.0166988372802734,174889,-.2915754318237305,4709041,549298,11172152,-.2030296325683594,4921958,-.2297029495239258,121667,-.38226318359375,1865917,.1655206680297852,980015,-.2838516235351563,4847323,.0368595123291016,15074556,-.55828857421875,84241,-.793182373046875,102370,.4319486618041992,410543,.0978879928588867,22014,-2.156807899475098,6414845,-.2843523025512695,299800,623635,.8207931518554688,75319,-.328516960144043,24214,21607140,.0283699035644531,243129,-.1333236694335938,1481339,-.087306022644043,14779,.2000846862792969,20416,-2.179954528808594,2193146,-.331904411315918,145529,-.3267631530761719,566258,.0600614547729492,22128,85810680,-.0913372039794922,matched (3),10320152,.75881469,2120714.5,3331511.5
201003,293399,602,1310,12317246,03,0,1,0,0,0,0,0,0,0,0,0,472873,5.80605936050415,15699,.9342222213745117,265322,3173383,.3683462142944336,1635543,.4737892150878906,754403,.6332502365112305,544615,2058792,471813,.4406900405883789,1198000,281832,.9471416473388672,211978,542868,.3139829635620117,211977,.5177698135375977,1833207,.2340488433837891,706262,-.0778989791870117,358227,.1416921615600586,35022,910125,502197,.0973596572875977,7685114,.0609331130981445,295052,.5229997634887695,3348088,435146,12771712,.1338081359863281,5010941,.0179176330566406,137081,.1192836761474609,1900652,.0184440612792969,1139780,.1510229110717773,6228423,.2506961822509766,20415732,.3032970428466797,130073,.4344139099121094,249452,.8906726837158203,297589,-.3217668533325195,27435,.2201414108276367,8351213,.2637920379638672,731709,637235,.0215730667114258,93309,.2141847610473633,66664,25877824,.1803627014160156,570019,.8520774841308594,2464230,.5089330673217773,37805,.9392337799072266,104524,1.633097648620606,2205644,.0056829452514648,419098,1.057729721069336,745594,.2751312255859375,30567,160358768,.6252689361572266,matched (3),7964556,.75881469,1682677.3,3071309.3
201004,293399,603,1310,5643099,04,0,0,1,0,0,0,0,0,0,0,0,220262,-.7640085220336914,7132,-.7890052795410156,155031,590328,-1.68187427520752,944734,-.5488271713256836,385927,-.6702785491943359,512379,1928133,352006,-.2929344177246094,813000,117974,-.8708467483520508,571497,436872,-.2172260284423828,243041,.1367530822753906,1528102,-.1820402145385742,625912,-.1207771301269531,204580,-.5602083206176758,6033,466642,325257,-.4343767166137695,3073271,-.9165420532226563,243521,-.1919479370117188,1960407,354836,9371862,-.3095207214355469,3910127,-.2480545043945313,72522,-.6366815567016602,1786777,-.0617837905883789,2200807,.6579885482788086,5131998,-.1936273574829102,14331276,-.3538608551025391,93130,-.3340997695922852,234259,-.0628395080566406,369689,.2169485092163086,27786,.0127124786376953,9027552,.0778732299804688,575960,425936,-.4028491973876953,113326,.1943521499633789,140670,21569824,-.1820907592773438,492572,-.1460285186767578,1524161,-.4804353713989258,9155,-1.41814136505127,53826,-.6636600494384766,2349005,.0629720687866211,235010,-.5784769058227539,639339,-.1537466049194336,32667,130107712,-.2090492248535156,matched (3),4863046,.75881469,1686335.3,3073314.8
201005,293399,604,1310,14034010,05,0,0,0,1,0,0,0,0,0,0,0,628,-5.86003303527832,26664,1.318722724914551,99276,1968039,1.204113960266113,1896156,.696681022644043,551582,.357142448425293,587039,1775675,331992,-.058537483215332,992000,137381,.1522932052612305,100629,589162,.2990608215332031,201971,-.1851062774658203,1633825,.0668973922729492,830589,.2829256057739258,446138,.7796697616577148,51491,577766,541923,.5105075836181641,3702463,.1862554550170898,156633,-.4412984848022461,2578724,767693,10426517,.1066398620605469,8064980,.7239618301391602,81029,.1109170913696289,1977144,.1012401580810547,2733222,.2166566848754883,5047196,-.01666259765625,25429524,.5734672546386719,94291,.0123891830444336,312262,.2874155044555664,325897,-.1260805130004883,40434,.3751392364501953,14726147,.4893436431884766,1261733,383609,-.1046657562255859,88597,-.2461709976196289,79081,18859852,-.1342601776123047,256400,-.6529016494750977,1709969,.1150312423706055,14262,.4432992935180664,87428,.4850587844848633,2898845,.2103204727172852,217933,-.0754404067993164,567463,-.1192588806152344,6122,81956544,-.4621753692626953,matched (3),5462077,.75881469,1574310.5,3013302.5
201006,293399,605,1310,19228934,06,0,0,0,0,1,0,0,0,0,0,0,20679,3.494334220886231,30446,.1326398849487305,423932,1987926,.0100545883178711,1135482,-.5127716064453125,763798,.3255128860473633,764997,3218897,305104,-.0844573974609375,1708000,671480,1.586726188659668,160949,730460,.2149734497070313,232448,.1405420303344727,1944603,.17413330078125,892583,.0719842910766602,453986,.0174379348754883,19104,618343,387584,-.3351907730102539,7093925,.6502408981323242,285284,.5995798110961914,4441248,1685262,12847838,.2088241577148438,6229500,-.258234977722168,79102,-.0240688323974609,2822562,.3559913635253906,1908604,-.3591089248657227,5464885,.0795106887817383,26041626,.0237846374511719,104297,.1008567810058594,138847,-.8104696273803711,553889,.5303831100463867,16874,-.8738975524902344,10468809,-.3412246704101563,1289144,411538,.070277214050293,111490,.2298364639282227,59475,20189092,.0681076049804688,182093,-.3422212600708008,1841710,.07421875,6930,-.7217388153076172,168846,.6581716537475586,3637498,.2269840240478516,177174,-.2070550918579102,606929,.0672359466552734,40218,137522896,.5176029205322266,matched (3),6855674.5,.75881469,2133222.8,3339487.5
201007,293399,606,1310,11773313,07,0,0,0,0,0,1,0,0,0,0,0,997,-3.032123565673828,38959,.2465553283691406,167898,2394405,.1860427856445313,648874,-.5595741271972656,493009,-.4377756118774414,563345,2447169,271307,-.1174020767211914,1195000,538904,-.2199468612670898,206056,687046,-.0612726211547852,136446,-.5327377319335938,2082693,.0686044692993164,787163,-.1256837844848633,353971,-.2488517761230469,25825,661634,450736,.1509485244750977,9219878,.2621231079101563,66746,-1.452590942382813,3812376,1154677,11370055,-.1221923828125,4773013,-.2663183212280273,35511,-.8008956909179688,2261805,-.2214813232421875,1615791,-.1665477752685547,5531667,.01214599609375,23925250,-.0847625732421875,74663,-.3342571258544922,188747,.3070344924926758,425750,-.2631120681762695,56339,1.205613136291504,9627581,-.0837669372558594,1041879,439097,.0648193359375,111887,.0035552978515625,160235,21343452,.0556011199951172,440861,.884211540222168,1330505,-.3251352310180664,5086,-.3093681335449219,162639,-.0374536514282227,3769667,.0356903076171875,294857,.5093584060668945,560055,-.0803766250610352,17141,112938680,-.1969451904296875,matched (3),6979494.5,.75881469,2115949.8,3328480.3
201008,293399,607,1310,9126422,08,0,0,0,0,0,0,1,0,0,0,0,240307,5.484921455383301,29537,-.2768659591674805,281696,995850,-.877293586730957,378897,-.5379743576049805,410836,-.1823339462280273,692060,2302582,407162,.4059600830078125,1362000,176924,-1.11381721496582,82358,618094,-.1057615280151367,86251,-.4586668014526367,1493273,-.3326911926269531,457075,-.5435886383056641,228485,-.437744140625,15469,821472,441800,-.020024299621582,6697142,-.3196811676025391,66924,.0026636123657227,3179002,1175338,8985779,-.2353401184082031,4226205,-.121673583984375,66580,.6285610198974609,1968794,-.1387424468994141,2335467,.3683872222900391,5819049,.0506477355957031,17079362,-.3370628356933594,32819,-.8219776153564453,176351,-.0679311752319336,188777,-.8132858276367188,50531,-.108799934387207,10027843,.0407333374023438,516193,382425,-.1381874084472656,82751,-.3016538619995117,158738,14983801,-.3537750244140625,236736,-.6217842102050781,1540349,.1464500427246094,7063,.3283777236938477,93140,-.557429313659668,4181969,.1037960052490234,410450,.3307638168334961,777574,.3281440734863281,36967,86619672,-.26531982421875,matched (3),5784570,.75881469,1898829,3194853.5
201009,293399,608,1310,11105025,09,0,0,0,0,0,0,0,1,0,0,0,10686,-3.112982749938965,32242,.0876264572143555,669610,1503237,.4117794036865234,1074006,1.041886329650879,445834,.0817527770996094,563677,565075,612162,.4077854156494141,786000,230090,.2627506256103516,71005,632742,.0234222412109375,115190,.2893209457397461,1777498,.1742362976074219,818450,.5825653076171875,396483,.5511627197265625,8160,578070,996415,.8133068084716797,2983220,-.8086776733398438,432456,1.865922927856445,1979803,1025537,10213906,.1281070709228516,3922749,-.0745115280151367,184258,1.017932891845703,2749861,.3341293334960938,4081216,.5581836700439453,5888002,.01177978515625,26246564,.4296646118164063,151000,1.526272773742676,218455,.2141036987304688,239405,.2375898361206055,101081,.6933355331420898,10920298,.0852565765380859,490120,470610,.2074966430664063,175829,.7536764144897461,287698,23032486,.4299354553222656,198838,-.1744546890258789,2355048,.4245519638061523,20770,1.078639984130859,195395,.7409191131591797,3659513,-.1334524154663086,354582,-.1463146209716797,929017,.177947998046875,11346,101123224,.1548137664794922,matched (3),13393392,.75881469,1798605.6,3136322.8
201010,293399,609,1310,9775143,10,0,0,0,0,0,0,0,0,1,0,0,12674,.1706180572509766,59030,.6047754287719727,345174,1243198,-.1899337768554688,1028122,-.0436611175537109,638275,.3588228225708008,561109,1843620,531671,-.1409721374511719,841000,125044,-.6098051071166992,321937,719998,.129185676574707,145891,.2362775802612305,2041164,.1383132934570313,525640,-.4427957534790039,374638,-.0566730499267578,2376,581179,697029,-.3573369979858398,2037702,-.3811807632446289,90079,-1.568793296813965,1943120,736548,10902141,.0652084350585938,3762534,-.0417003631591797,60855,-1.107842445373535,2627728,-.0454301834106445,2985340,-.3126811981201172,5949982,.0104713439941406,42815240,.4893589019775391,130701,-.1443681716918945,91373,-.8716297149658203,203657,-.1617193222045898,84330,-.1811847686767578,10558690,-.0336723327636719,1314016,396579,-.1711540222167969,83087,-.7496242523193359,202289,22669134,-.0159015655517578,140652,-.3462018966674805,1866228,-.2326412200927734,11434,-.5969181060791016,82130,-.8667192459106445,2887279,-.2370157241821289,196754,-.5889854431152344,557670,-.5103597640991211,23466,109886256,.0831050872802734,matched (3),9248333,.75881469,1638139.6,3047136.3
