period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1098c705,growth1098c705,Y1139c826,growth1139c826,Y1366c554,Y1425c440,growth1425c440,Y1478c484,growth1478c484,Y1694c826,growth1694c826,Y1759c233,Y1770c352,growth1770c352,Y1816c208,growth1816c208,Y1817c440,growth1817c440,Y2077c616,growth2077c616,Y2105c484,growth2105c484,Y212c381,Y2881c352,growth2881c352,Y2930c208,growth2930c208,Y3034c705,growth3034c705,Y3040c703,growth3040c703,Y3112c703,growth3112c703,Y3157c191,growth3157c191,Y3286c484,growth3286c484,Y3411c616,growth3411c616,Y3591c208,growth3591c208,Y3692c642,Y3755c620,growth3755c620,Y3812c484,growth3812c484,Y3842c484,growth3842c484,Y3858c233,Y3867c352,growth3867c352,Y3902c554,Y3923c191,growth3923c191,Y4008c826,growth4008c826,Y419c152,growth419c152,Y422c620,growth422c620,Y4260c348,growth4260c348,Y4261c352,growth4261c352,Y4320c484,growth4320c484,Y4338c348,growth4338c348,Y4376c208,growth4376c208,Y4377c208,growth4377c208,Y4528c703,growth4528c703,Y4688c826,growth4688c826,Y4723c826,growth4723c826,Y516c352,growth516c352,Y544c348,growth544c348,Y589c208,growth589c208,Y595c352,growth595c352,Y607c372,growth607c372,Y657c352,growth657c352,Y759c826,growth759c826,Y848c807,growth848c807,_merge,x,r2,s,sf
201001,293723,600,1332,556173,01,0,0,0,0,0,0,0,0,0,0,0,22380,,57638,,13553,32054,,15871972,,8588241,,880722,73064,,13870,,29918,,5210860,,4985910,,12612149,41358,,451425,,409303,,197437,,505365,,82784,,823573,,451254,,786765,,307261,1928892,,32787876,,23776972,,233039,133654,,997453,15222,,192074,,502965,,119216,,5775559,,32549,,1453567,,3111744,,218043,,358158,,8530429,,5163602,,895094,,68482,,60675,,669411,,710824,,27743,,469973,,301277,,1806016,,matched (3),,.88278431,,
201002,293723,601,1332,560309,02,1,0,0,0,0,0,0,0,0,0,0,39426,.566258430480957,123043,.7583522796630859,198467,44755,.3337812423706055,15974103,.0064144134521484,9485522,.0993728637695313,1119882,130576,.5806198120117188,107682,2.049454689025879,65110,.777618408203125,4501574,-.1463174819946289,5166627,.0356035232543945,10137138,47230,.1327638626098633,527325,.1554079055786133,435245,.0614538192749023,234631,.1725950241088867,609868,.1879615783691406,139487,.5217370986938477,926587,.1178560256958008,403892,-.1108827590942383,713732,-.0974216461181641,411241,2164914,.1154356002807617,45542504,.3285884857177734,27497108,.1453628540039063,216304,100034,-.2897443771362305,1143035,27397,.5876922607421875,268756,.3359231948852539,1282242,.9358444213867188,122436,.0266513824462891,7469835,.2572383880615234,41960,.2539701461791992,1681972,.1459465026855469,3343677,.0718879699707031,246974,.1245899200439453,179169,-.6926450729370117,10527332,.2103347778320313,4490509,-.1396684646606445,1151404,.2518081665039063,108822,.4631423950195313,49482,-.2039222717285156,550944,-.1947650909423828,799831,.1179752349853516,37041,.2890424728393555,707290,.4087657928466797,404137,.2937240600585938,1864344,.0317850112915039,matched (3),1325284,.88278431,118237.35,264720.81
201003,293723,602,1332,1014454,03,0,1,0,0,0,0,0,0,0,0,0,29135,-.302485466003418,200061,.486088752746582,1101065,93790,.7398548126220703,22613348,.3475723266601563,8369353,-.1251897811889648,1257622,182681,.3357858657836914,62866,-.538177490234375,66060,.0144853591918945,5846748,.2614583969116211,6706998,.2609319686889648,14776978,51095,.0786571502685547,551302,.0444660186767578,460457,.0563106536865234,739655,1.14816951751709,657406,.0750589370727539,203389,.3771486282348633,1788720,.6577472686767578,1202646,1.091131210327148,1082053,.4161081314086914,482722,2485491,.1380891799926758,53835836,.1672935485839844,32019016,.1522502899169922,574507,172029,.5421524047851563,1763796,72861,.9781198501586914,170765,-.4535160064697266,2700535,.7448406219482422,155283,.2376613616943359,8521949,.1317720413208008,35936,-.1549768447875977,2230490,.2822542190551758,4849187,.371739387512207,279641,.1242237091064453,502899,1.032059669494629,11405252,.0800991058349609,5288274,.1635265350341797,1508327,.27001953125,131789,.1914892196655273,54044,.0881891250610352,639912,.1496982574462891,947689,.1696262359619141,40114,.0796995162963867,1057676,.4023885726928711,1744507,1.462472915649414,2647232,.3506059646606445,matched (3),1835839.5,.88278431,203170.95,312050.44
201004,293723,603,1332,670806,04,0,0,1,0,0,0,0,0,0,0,0,59276,.7102642059326172,155932,-.2492027282714844,212918,162091,.5471000671386719,18151000,-.2198162078857422,11083127,.2808465957641602,1068312,120131,-.419158935546875,14319,-1.47941780090332,39906,-.5040369033813477,4492491,-.2634782791137695,7319349,.0873699188232422,10506837,20894,-.8942251205444336,603427,.0903415679931641,448297,-.026763916015625,361713,-.7153329849243164,474029,-.3270330429077148,101783,-.6922769546508789,1272094,-.3408355712890625,447482,-.988642692565918,789781,-.3148603439331055,0,1992615,-.2210226058959961,54786840,.0175094604492188,27468320,-.1532974243164063,175721,107204,-.4729290008544922,1810210,29661,-.8987207412719727,223573,.2694501876831055,767596,-1.257942199707031,116119,-.2906341552734375,7545384,-.121708869934082,54411,.4148263931274414,1870444,-.1760454177856445,4025622,-.186131477355957,259372,-.0752429962158203,490534,-.0248947143554688,11293614,-.0098361968994141,4376474,-.1892490386962891,695404,-.7742633819580078,108080,-.1983308792114258,77510,.3606090545654297,618055,-.0347537994384766,1002859,.0565834045410156,31465,-.2428493499755859,906459,-.1542835235595703,447616,-1.360291481018066,2064489,-.2486324310302734,matched (3),1092938.6,.88278431,173824.44,293789
201005,293723,604,1332,1014397,05,0,0,0,1,0,0,0,0,0,0,0,10332,-1.746958732604981,148194,-.0508975982666016,243580,67849,-.8708734512329102,18717916,.0307559967041016,10650842,-.0397834777832031,1331660,175142,.3770151138305664,57632,1.392490386962891,80715,.7043972015380859,4884745,.083709716796875,8565471,.1572170257568359,13207613,17182,-.1955995559692383,399583,-.4122028350830078,474389,.0565719604492188,243553,-.3955163955688477,535294,.1215476989746094,200634,.6786394119262695,1197259,-.0606298446655273,562659,.2290372848510742,771487,-.0234355926513672,338171,2365837,.1716842651367188,60166188,.0936603546142578,27842024,.0135135650634766,145607,126790,.1677980422973633,1373764,70210,.8616580963134766,383207,.5388374328613281,836847,.0863780975341797,679229,1.766343116760254,6989638,-.076507568359375,70296,.2561483383178711,1956455,.0449581146240234,3269885,-.2079248428344727,292168,.1190652847290039,629158,.2488880157470703,12165622,.0743770599365234,4252586,-.0287160873413086,1102361,.4607162475585938,134897,.2216396331787109,40552,-.647822380065918,498296,-.2153825759887695,1109946,.1014566421508789,30454,-.032658576965332,869314,-.0418415069580078,1058154,.8603448867797852,1762577,-.1581058502197266,matched (3),1958595,.88278431,157936.39,284676.91
201006,293723,605,1332,433102,06,0,0,0,0,1,0,0,0,0,0,0,22219,.7657022476196289,124805,-.1717700958251953,218240,105561,.4420042037963867,17348130,-.0759963989257813,9948213,-.0682468414306641,1165632,149913,-.1555423736572266,30286,-.6433925628662109,50507,-.4688119888305664,4515895,-.0785131454467773,6503670,-.2753715515136719,13010156,29228,.5312652587890625,347573,-.1394472122192383,415014,-.1337156295776367,193739,-.2288227081298828,501687,-.0648403167724609,105399,-.6437292098999023,1048918,-.1322755813598633,555435,-.0129222869873047,925457,.1819677352905273,423831,2215104,-.0658321380615234,60092832,-.0012187957763672,29257296,.0495815277099609,133619,136314,.0724296569824219,1641495,24543,-1.051064491271973,2243470,1.767203330993652,388240,-.7680177688598633,496160,-.3140602111816406,6844655,-.020960807800293,68192,-.0303878784179688,2130080,.0850257873535156,2513063,-.2632522583007813,276906,-.0536508560180664,499771,-.2302322387695313,12623411,.0369377136230469,4242260,-.0024309158325195,759074,-.3731098175048828,73628,-.6054859161376953,21106,-.6530275344848633,497329,-.0019426345825195,1185344,.0657215118408203,31372,.029698371887207,1070452,.2081317901611328,1077863,.0184545516967773,1662526,-.0584383010864258,matched (3),1879400.5,.88278431,152840.3,281881.53
201007,293723,606,1332,2260204,07,0,0,0,0,0,1,0,0,0,0,0,40393,.5977087020874023,105561,-.1674633026123047,359042,101971,-.0346002578735352,17308588,-.0022811889648438,11856470,.1754798889160156,1461762,224548,.4040346145629883,38360,.2363300323486328,93250,.6131715774536133,5131278,.127751350402832,6055738,-.0713605880737305,12223409,20756,-.3422918319702148,627077,.5900945663452148,427746,.030217170715332,329703,.5316810607910156,712934,.3514127731323242,262180,.9112777709960938,1160475,.1010704040527344,731143,.2748575210571289,811940,-.1308612823486328,529695,2852654,.2529497146606445,60313092,.0036582946777344,29215614,-.0014247894287109,276380,159959,.1599559783935547,1293533,20486,-.1806850433349609,634323,-1.26322078704834,3047810,2.060554504394531,897639,.592869758605957,8326569,.19598388671875,60632,-.1175041198730469,2245155,.0526142120361328,3086638,.2055797576904297,334827,.1899356842041016,859014,.5416355133056641,12023928,-.0486526489257813,5260606,.2151498794555664,1539466,.7070913314819336,120306,.4910135269165039,41401,.6737480163574219,534320,.0717430114746094,1081809,-.0913982391357422,45147,.3640079498291016,795981,-.2962608337402344,971169,-.1042346954345703,1308460,-.2394876480102539,matched (3),2002828.5,.88278431,155050.94,283086.25
201008,293723,607,1332,582695,08,0,0,0,0,0,0,1,0,0,0,0,16818,-.8762073516845703,77073,-.3145360946655273,314434,80560,-.2356863021850586,15481519,-.1115570068359375,10120565,-.1583042144775391,1210917,115992,-.6605682373046875,17402,-.7904300689697266,84437,-.0992774963378906,6661359,.2609682083129883,6034729,-.0034751892089844,10043827,43795,.7466840744018555,454651,-.3215389251708984,277286,-.4334802627563477,303174,-.0838861465454102,488631,-.3777809143066406,130930,-.6943683624267578,1013187,-.1357288360595703,241828,-1.106382369995117,983914,.1921119689941406,425300,2357983,-.1904430389404297,71466416,.169677734375,35145128,.1847820281982422,411996,184398,.1421794891357422,1374900,20147,-.0166864395141602,398410,-.4650764465332031,389868,-2.056369781494141,388180,-.8382987976074219,7125563,-.1557626724243164,33305,-.5991153717041016,2403049,.0679645538330078,2057366,-.4056558609008789,443127,.280242919921875,642261,-.2907905578613281,9099243,-.2787075042724609,4847239,-.0818367004394531,808434,-.6440916061401367,119611,-.005793571472168,2630,-2.756321430206299,565884,.0573940277099609,1022310,-.0565700531005859,34749,-.2617731094360352,951199,.1781473159790039,348807,-1.023982048034668,1230680,-.061284065246582,matched (3),1304334.4,.88278431,137425.19,273829.72
201009,293723,608,1332,1084207,09,0,0,0,0,0,0,0,1,0,0,0,4493,-1.319929122924805,179192,.8437051773071289,138253,68466,-.1626653671264648,18385580,.1719207763671875,10736426,.0590744018554688,1761771,191437,.50103759765625,32059,.610992431640625,126351,.4030580520629883,7957097,.1777410507202148,6136332,.0166959762573242,14273336,44439,.0145978927612305,379422,-.1808815002441406,573754,.7271518707275391,319738,.0531949996948242,451442,-.0791606903076172,236186,.5899562835693359,819536,-.2121181488037109,481051,.6877470016479492,1073916,.087529182434082,539949,2833238,.1836137771606445,74284528,.0386753082275391,36612556,.0409049987792969,428870,268920,.3773174285888672,1431801,233803,2.451423645019531,872964,.7844123840332031,271313,-.3625354766845703,921023,.8640155792236328,7460512,.0459346771240234,56578,.5299129486083984,2126680,-.1221771240234375,3002272,.3779430389404297,406002,-.087498664855957,906441,.3445310592651367,13081304,.3629913330078125,4990983,.0292234420776367,1880945,.8444299697875977,140413,.1603431701660156,71272,3.299520015716553,780487,.3215293884277344,1084347,.0589132308959961,35672,.0262155532836914,813378,-.1565265655517578,1805522,1.644086837768555,1728589,.3397388458251953,matched (3),1503145.6,.88278431,169552.44,291281.75
201010,293723,609,1332,592500,10,0,0,0,0,0,0,0,0,1,0,0,10160,.8159379959106445,134537,-.2866191864013672,277021,84416,.2094202041625977,18946760,.0300655364990234,10632011,-.0097732543945313,1331444,152510,-.2273292541503906,14147,-.8180751800537109,32492,-1.358070373535156,7100505,-.1138982772827148,5579683,-.0950956344604492,14514207,50654,.1309003829956055,418258,.0974493026733398,459120,-.2228899002075195,284722,-.1159877777099609,580075,.2507104873657227,159870,-.3902578353881836,539342,-.4183883666992188,432155,-.1071891784667969,1126699,.0479803085327148,524820,2412407,-.1607952117919922,72633440,-.0224761962890625,34169508,-.0690574645996094,160246,190926,-.3425283432006836,1392180,23112,-2.314126968383789,1167682,.2908821105957031,3667025,2.603862762451172,1191723,.2576704025268555,7716017,.0336742401123047,72959,.254277229309082,1945511,-.0890369415283203,3293019,.0924358367919922,603630,.3966035842895508,1254649,.3250846862792969,14540973,.1057872772216797,4462341,-.1119594573974609,897385,-.7400445938110352,104368,-.2966651916503906,19303,-1.306242942810059,821841,.0516281127929688,1063420,-.0194873809814453,30890,-.1439332962036133,992747,.19927978515625,1081117,-.5128555297851563,1865434,.0761880874633789,matched (3),1465130.1,.88278431,207698.31,315016.88
201011,293723,610,1332,686660,11,0,0,0,0,0,0,0,0,0,1,0,29150,1.053997039794922,160689,.1776323318481445,206527,83631,-.009343147277832,20317850,.0698680877685547,12325705,.1478176116943359,1482385,244015,.4700002670288086,16480,.1526451110839844,36435,.1145362854003906,7125104,.0034580230712891,5645007,.0116395950317383,16134964,42789,-.168736457824707,566884,.3040561676025391,520263,.1250228881835938,469629,.5004291534423828,694886,.1805896759033203,203265,.2401494979858398,968715,.5856208801269531,696006,.4765739440917969,1464758,.2623977661132813,547933,2182169,-.1003055572509766,81271328,.1123676300048828,38031560,.1070823669433594,221366,243234,.2421379089355469,1731829,23095,-.0007352828979492,255281,-1.520411491394043,444287,-2.110665321350098,489147,-.8904924392700195,8361424,.0803308486938477,56019,-.2642068862915039,2047938,.0513086318969727,3710748,.1194286346435547,511969,-.1646976470947266,1480842,.1657552719116211,13874802,-.0468959808349609,5542037,.2166891098022461,947573,.0544195175170898,128558,.2084569931030273,64937,1.213156700134277,928363,.1218767166137695,1335458,.2277841567993164,46041,.3990993499755859,990195,-.0025739669799805,1137686,.0510015487670898,1648552,-.12359619140625,matched (3),2621715.8,.88278431,229967.09,330124.06
201012,293723,611,1332,593498,12,0,0,0,0,0,0,0,0,0,0,1,10272,-1.043033599853516,154379,-.0400609970092773,182886,56265,-.3963413238525391,19351096,-.0487518310546875,8008481,-.4311866760253906,1570966,111728,-.781163215637207,12650,-.2644901275634766,73129,.6966953277587891,4097219,-.5533161163330078,4800510,-.1620492935180664,10985102,28009,-.4237556457519531,499659,-.1262283325195313,427974,-.1952714920043945,262110,-.5831785202026367,368122,-.6353330612182617,184255,-.0981903076171875,954231,-.0150642395019531,845363,.1944074630737305,1057837,-.3254642486572266,395934,2444717,.1136102676391602,275401024,1.220434188842773,34179296,-.1067962646484375,305493,163976,-.3943042755126953,1517195,9338,-.9055242538452148,254998,-.0011091232299805,1124650,.9287567138671875,1072269,.7848691940307617,6461890,-.2577066421508789,61963,.1008472442626953,2080460,.0157556533813477,1881733,-.6790409088134766,313979,-.4889373779296875,830135,-.5787773132324219,10173010,-.3103370666503906,3537033,-.4490737915039063,861595,-.0951194763183594,124742,-.0301322937011719,44639,-.3748102188110352,904516,-.0260229110717773,967459,-.3223562240600586,41470,-.1045618057250977,685507,-.3677434921264648,291693,-1.361049652099609,1378241,-.1790895462036133,matched (3),1977036.5,.88278431,152742.77,281828.66
