period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1083c372,growth1083c372,Y1383c68,growth1383c68,Y1437c752,growth1437c752,Y1479c344,Y1578c484,growth1578c484,Y1690c826,growth1690c826,Y1782c442,Y1826c32,Y1851c124,growth1851c124,Y1856c208,growth1856c208,Y2046c484,growth2046c484,Y2051c208,growth2051c208,Y2120c372,growth2120c372,Y2282c440,Y25c428,growth25c428,Y2723c251,growth2723c251,Y2723c348,growth2723c348,Y2739c344,Y2782c251,growth2782c251,Y2875c251,growth2875c251,Y2968c484,growth2968c484,Y2995c484,growth2995c484,Y3010c348,growth3010c348,Y3096c484,growth3096c484,Y3317c484,growth3317c484,Y3386c792,growth3386c792,Y3448c32,Y3526c705,growth3526c705,Y3578c554,Y3695c586,growth3695c586,Y3968c32,Y4112c208,Y4197c300,growth4197c300,Y4244c372,growth4244c372,Y4329c222,growth4329c222,Y4354c208,growth4354c208,Y440c752,growth440c752,Y4513c705,growth4513c705,Y451c300,growth451c300,Y4580c152,growth4580c152,Y4755c32,Y4807c32,Y488c428,growth488c428,Y4974c36,Y5040c792,growth5040c792,Y514c208,growth514c208,Y530c208,growth530c208,Y78c757,growth78c757,Y933c705,growth933c705,Y966c300,growth966c300,_merge,x,r2,s,sf
201001,293790,600,1338,1030311,01,0,0,0,0,0,0,0,0,0,0,0,62630,,518383,,1376251,,4660486,845640,,17196764,,285025,14180537,9669512,,7368083,,88817,,2786293,,5462478,,12023,159872,,2289304,,30566,,2895779,3105622,,1834511,,193446,,445642,,80881,,366362,,2222477,,15672,,946383,949563,,650688,128308,,213185,498630,8382494,,2608215,,874856,,2258010,,702217,,184186,,2199076,,137709088,,2175759,55977,403445,,1748447,1113524224,,1097704,,3576483,,95127,,6084,,605211,,matched (3),,.91889381,,
201002,293790,601,1338,858022,02,1,0,0,0,0,0,0,0,0,0,0,6185,-2.315117835998535,363068,-.3561239242553711,1240044,-.1042156219482422,3546072,916028,.0799531936645508,15396384,-.1105899810791016,41819,12064828,8129772,-.1734447479248047,6226890,-.1682806015014648,37612,-.8592548370361328,2381711,-.1568927764892578,5353724,-.0201101303100586,5268,189100,.1679019927978516,1236842,-.6156864166259766,2573,-2.474815368652344,1835890,3414917,.0949392318725586,1674671,-.0911617279052734,108126,-.5817012786865234,233973,-.6443099975585938,209890,.9536046981811523,314737,-.1518850326538086,2369369,.0640010833740234,603548,3.650950431823731,895805,946584,-.0031414031982422,627751,48384,-.9752645492553711,193862,0,7154480,-.1584072113037109,1999629,-.2657041549682617,920945,.0513410568237305,2184726,-.0329933166503906,1003169,.3566761016845703,247576,.295771598815918,2292804,.0417375564575195,111591888,-.2102947235107422,2631357,47436,425789,.0539035797119141,2657088,1007431104,-.1001262664794922,945777,-.1489696502685547,3107171,-.1406669616699219,61319,-.4391231536865234,17731,1.069651603698731,725350,.1810770034790039,matched (3),-1878637.3,.91889381,440770.91,1061268.6
201003,293790,602,1338,1508216,03,0,1,0,0,0,0,0,0,0,0,0,23953,1.35396671295166,734121,.7040834426879883,1623052,.2691612243652344,5568101,999945,.0876531600952148,19748692,.2489547729492188,454061,16471041,10210238,.2278575897216797,7896648,.2375612258911133,78892,.7407569885253906,2814239,.1668729782104492,5937181,.1034412384033203,41042,348294,.6107711791992188,1269155,.0257892608642578,11377,1.486520767211914,2254885,4391089,.2514238357543945,1506386,-.1059036254882813,128933,.1759958267211914,156785,-.4003305435180664,174515,-.1845731735229492,351765,.1112260818481445,3135353,.2801179885864258,315041,-.6501235961914063,1294927,1205890,.2421131134033203,717312,181561,1.322422981262207,322829,1536317,7394171,.0329532623291016,2688574,.2960491180419922,1137826,.2114744186401367,2273512,.0398349761962891,884090,-.1263599395751953,296723,.1810817718505859,2514006,.09210205078125,141183552,.2352123260498047,3070836,38943,580801,.3104639053344727,2006074,1107085824,.0943279266357422,1046345,.1010522842407227,4099433,.2771358489990234,184468,1.101387023925781,22331,.2306613922119141,756265,.0417375564575195,matched (3),-301711.34,.91889381,496472.06,1085585.9
201004,293790,603,1338,967003,04,0,0,1,0,0,0,0,0,0,0,0,29223,.1988620758056641,252563,-1.067012786865234,1045573,-.4397430419921875,6428734,966289,-.0342369079589844,19168144,-.0298366546630859,169004,14935076,9286366,-.0948429107666016,7296832,-.0789976119995117,33878,-.8453140258789063,2067105,-.3085432052612305,6101457,.0272932052612305,56157,356091,.0221395492553711,1047128,-.1922998428344727,8903,-.2452049255371094,2241343,3308484,-.2830867767333984,1382280,-.0859785079956055,181420,.341522216796875,229193,.3796892166137695,54972,-1.155186653137207,175111,-.6975431442260742,2620106,-.1795263290405273,2243062,1.962894439697266,1186661,759242,-.4626522064208984,1076389,66469,-1.004856109619141,427678,399201,4189222,-.56817626953125,1660671,-.4817895889282227,823188,-.3236894607543945,2085152,-.0864839553833008,320216,-1.015563011169434,207197,-.3591289520263672,2039472,-.2091865539550781,128691560,-.0926418304443359,2257212,26790,479958,-.190709114074707,0,1021056320,-.0808925628662109,912649,-.1367073059082031,3403706,-.1859836578369141,155482,-.1709461212158203,7299,-1.11823844909668,507709,-.3984832763671875,matched (3),1921231.4,.91889381,618278.69,1146420.9
201005,293790,604,1338,898383,05,0,0,0,1,0,0,0,0,0,0,0,28367,-.029728889465332,636990,.9250936508178711,1024371,-.0204868316650391,5327182,1091459,.1218070983886719,16853532,-.1286907196044922,24276,14929484,8356035,-.1055631637573242,5809060,-.2280216217041016,44451,.2716217041015625,2051480,-.0075874328613281,6248119,.0237531661987305,41538,293376,-.1937313079833984,986444,-.0597000122070313,2989,-1.091449737548828,3118627,2428420,-.3092498779296875,1005759,-.3179922103881836,127945,-.3492145538330078,132997,-.5442380905151367,13538,-1.401323318481445,92883,-.6340799331665039,2666598,.0175886154174805,106089,-3.051318168640137,1053828,881570,.149383544921875,837264,63347,-.0481081008911133,225883,90926,4300284,.0261659622192383,1474993,-.1185684204101563,806615,-.0203380584716797,2042287,-.0207710266113281,322786,.0079936981201172,309745,.4020795822143555,1255553,-.4851140975952148,139031088,.0772781372070313,2145555,14062,308201,-.4429464340209961,0,761591872,-.293182373046875,781773,-.1547870635986328,3616834,.0607337951660156,138359,-.1166782379150391,19042,.9589099884033203,935806,.6114997863769531,matched (3),-703586.88,.91889381,540281.69,1106307.6
201006,293790,605,1338,1458305,06,0,0,0,0,1,0,0,0,0,0,0,107634,1.33350944519043,881389,.3247451782226563,1145429,.1117010116577148,6498158,1199952,.0947666168212891,18148492,.0740280151367188,194471,20131236,8894229,.0624189376831055,6477722,.1089506149291992,73401,.5015497207641602,2215918,.0771055221557617,6595151,.0540542602539063,54685,241596,-.194188117980957,2167261,.7871131896972656,8044,.9899873733520508,2124810,3371723,.3281831741333008,1938280,.6560583114624023,83907,-.4218912124633789,396745,1.092967987060547,59534,1.481046676635742,162136,.5570955276489258,3027552,.1269502639770508,179289,.5247201919555664,1205746,941591,.0658664703369141,1023412,143262,.8160476684570313,353593,362563,3718185,-.1454458236694336,2393224,.4839887619018555,1248948,.4372100830078125,2510903,.2065715789794922,578348,.583186149597168,238640,-.2607936859130859,1493502,.1735467910766602,133817864,-.0382175445556641,3466684,65332,473071,.428492546081543,0,923539456,.1928024291992188,996905,.2430906295776367,4033201,.1089611053466797,245325,.5727319717407227,8793,-.7726917266845703,1163910,.2181320190429688,matched (3),1550549.3,.91889381,482868.22,1079432.3
201007,293790,606,1338,580073,07,0,0,0,0,0,1,0,0,0,0,0,42742,-.9235544204711914,825361,-.065678596496582,1213865,.0580301284790039,5908919,1158316,-.0353145599365234,19523480,.0730304718017578,168634,20565924,8220494,-.0787725448608398,6427665,-.0077581405639648,36392,-.7015886306762695,2037075,-.0841522216796875,5899639,-.1114435195922852,237,230955,-.0450439453125,3436224,.4609088897705078,15257,.6401119232177734,2534611,4202405,.2202329635620117,1565853,-.2133703231811523,136498,.4866008758544922,155975,-.933598518371582,172774,1.065437316894531,315974,.6672239303588867,2593008,-.1549348831176758,819538,1.519742012023926,1842387,828127,-.1284046173095703,743815,75159,-.6450700759887695,306929,258260,3965727,.0644540786743164,1775671,-.2984638214111328,966010,-.2568826675415039,1972801,-.2411880493164063,390336,-.3931674957275391,263756,.1000680923461914,1898381,.2398786544799805,128948848,-.0370635986328125,2641895,32030,294875,-.4726934432983398,1885318,918417984,-.0055618286132813,525810,-.6397151947021484,3174412,-.2394380569458008,214132,-.135991096496582,34111,1.355664253234863,665029,-.5597095489501953,matched (3),-459264.44,.91889381,448702.28,1064587.3
201008,293790,607,1338,1214569,08,0,0,0,0,0,0,1,0,0,0,0,144459,1.217813491821289,791660,-.0416889190673828,1253546,.0321664810180664,6255790,1515780,.2689628601074219,20461108,.0469074249267578,278592,21154856,9401586,.1342477798461914,5471325,-.1610898971557617,112462,1.128267288208008,2257183,.1026029586791992,6928749,.1607885360717773,5987,254459,.0969161987304688,4575944,.2864398956298828,33116,.7749786376953125,2674246,4296476,.0221385955810547,1700992,.0827817916870117,117504,-.1498374938964844,489460,1.143607139587402,255891,.3927669525146484,344183,.0855140686035156,2764529,.064051628112793,1327264,.4821338653564453,1449647,694698,-.1756887435913086,2104385,97824,.2635641098022461,599784,2219155,6238831,.4531030654907227,2155253,.193730354309082,1233006,.2440357208251953,2306038,.1560764312744141,569906,.3784627914428711,259347,-.0168571472167969,1450515,-.2690830230712891,136738208,.0586528778076172,4363520,59571,587685,.6896390914916992,1949262,999618688,.0847225189208984,1373455,.9601449966430664,3780027,.1746091842651367,220534,.0294589996337891,2781,-2.506809234619141,560496,-.1710090637207031,matched (3),2139753.3,.91889381,566872.06,1119533.9
201009,293790,608,1338,1074071,09,0,0,0,0,0,0,0,1,0,0,0,43330,-1.204150199890137,780307,-.0144443511962891,1383187,.098414421081543,6048866,874712,-.5497903823852539,20191062,-.0132846832275391,37563,21110940,10346746,.095794677734375,8896950,.4861869812011719,68598,-.4943523406982422,2533364,.1154308319091797,7879504,.1285848617553711,502,204456,-.2187862396240234,3010497,-.4187078475952148,100688,1.112010002136231,2499723,3812034,-.1196327209472656,1881963,.1011037826538086,194632,.5046377182006836,267947,-.602513313293457,174113,-.3850469589233398,383892,.109187126159668,2511752,-.0958900451660156,1312117,-.0114774703979492,1544004,1092329,.4525899887084961,820885,107292,.0923843383789063,386485,1918972,4739925,-.2747716903686523,1671533,-.2541675567626953,1055069,-.155848503112793,2174193,-.058873176574707,1256099,.7902956008911133,342068,.2768421173095703,1120580,-.2580728530883789,129379248,-.0553207397460938,3261878,45227,504676,-.1522741317749023,1816364,858898688,-.1517238616943359,852984,-.476344108581543,3991523,.0544414520263672,178027,-.2141170501708984,21464,2.043566703796387,318320,-.5657644271850586,matched (3),356994.66,.91889381,388443.16,1040624.9
201010,293790,609,1338,568016,10,0,0,0,0,0,0,0,0,1,0,0,132302,1.116242408752441,436877,-.5800361633300781,985659,-.3388357162475586,5494123,1340435,.426854133605957,19559056,-.0318031311035156,43484,22685638,8325925,-.2172985076904297,8371219,-.060908317565918,58336,-.1620445251464844,2337017,-.0806732177734375,7591539,-.0372304916381836,5107,194291,-.0509958267211914,2687193,-.1136083602905273,65788,-.4255895614624023,1990110,3611789,-.053959846496582,1095612,-.5410022735595703,162295,-.1816940307617188,497235,.6182737350463867,173518,-.0034236907958984,310592,-.2118806838989258,2560439,.0191984176635742,714370,-.6079959869384766,1333061,867325,-.2306537628173828,693731,95119,-.1204252243041992,260333,577281,5941454,.2259330749511719,2402893,.3629331588745117,911216,-.1465816497802734,2459352,.1232404708862305,965105,-.2635297775268555,265500,-.2533941268920898,1767518,.4557304382324219,145177040,.1152057647705078,2872928,59628,518769,.0275421142578125,1848092,1290502400,.4071369171142578,845355,-.0089845657348633,3948374,-.010869026184082,153665,-.1471595764160156,8439,-.9335136413574219,375094,.1641197204589844,matched (3),475012.47,.91889381,436494.66,1059499.8
