period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1177c705,growth1177c705,Y1185c616,growth1185c616,Y1197c586,growth1197c586,Y1380c376,Y1490c352,growth1490c352,Y1850c191,growth1850c191,Y1907c442,Y1974c68,growth1974c68,Y2051c376,Y2148c208,growth2148c208,Y2311c246,Y236c705,Y2408c251,growth2408c251,Y246c352,growth246c352,Y2481c124,growth2481c124,Y248c352,growth248c352,Y2567c152,growth2567c152,Y2724c381,Y2818c152,Y2879c484,growth2879c484,Y2923c752,growth2923c752,Y3208c376,Y3317c807,growth3317c807,Y3363c642,Y3453c352,growth3453c352,Y3547c757,growth3547c757,Y356c440,growth356c440,Y3614c246,growth3614c246,Y3713c554,Y3903c152,growth3903c152,Y4007c376,Y4025c757,growth4025c757,Y4142c642,Y4192c376,Y4268c191,growth4268c191,Y4271c68,growth4271c68,Y4272c376,Y4306c484,growth4306c484,Y4354c376,Y4442c554,Y4563c616,growth4563c616,Y4563c757,growth4563c757,Y465c826,growth465c826,Y4717c792,growth4717c792,Y4743c372,growth4743c372,Y4788c376,Y4833c600,growth4833c600,Y4989c246,growth4989c246,Y5016c222,growth5016c222,Y688c251,growth688c251,_merge,x,r2,s,sf
201001,300390,600,1376,2469837,01,0,0,0,0,0,0,0,0,0,0,0,31041,,63244,,49089,,293000,16262,,114188,,24844,94636,,533000,2294884,,36074,47269,3423439,,69648,,972192,,91642,,144218,,747923,31961,126045,,601115,,1113000,2135,,156069,44256,,593460,,22887,,100916,,96700,379754,,693000,6141,,223362,28250000,239132,,566251,,724000,38812360,,1869000,1599673,2814104,,8594108,,908012,,180990,,109337,,969000,246373,,587045,,21279,,316390,,matched (3),,.77614522,,
201002,300390,601,1376,1487185,02,1,0,0,0,0,0,0,0,0,0,0,10757,-1.059752464294434,26028,-.8878269195556641,21007,-.8487796783447266,939000,25826,.462550163269043,126837,.1050567626953125,33362,39326,-.8781518936157227,638000,1652160,-.3285980224609375,87922,33164,2531130,-.3019790649414063,74762,.0708560943603516,508480,-.648127555847168,72652,-.232208251953125,833,-5.154047966003418,726417,0,250214,.6856775283813477,464828,-.2571191787719727,1005000,49631,3.146149158477783,21734,7912,-1.721610069274902,601547,.0135345458984375,20577,-.1063947677612305,5186,-2.968326568603516,127737,172058,-.791691780090332,1966000,82581,2.59879207611084,168762,19873000,526385,.7890167236328125,251380,-.8120718002319336,828000,67134920,.5479660034179688,2208000,4052631,6230667,.7948389053344727,7746873,-.1037874221801758,409694,-.7958469390869141,75253,-.8775863647460938,95972,-.1303787231445313,976000,445670,.5927314758300781,752048,.2476987838745117,8683,-.8963537216186523,397419,.2280149459838867,matched (3),-589703.69,.77614522,1217826.6,1564832.6
201003,300390,602,1376,2379016,03,0,1,0,0,0,0,0,0,0,0,0,26516,.9021921157836914,41104,.4569320678710938,150832,1.971310615539551,429000,43317,.5171632766723633,177741,.3374242782592773,35218,83640,.7546358108520508,873000,2266811,.3162899017333984,37352,31629,4528850,.5818014144897461,90195,.1876640319824219,796188,.4484090805053711,135345,.6221456527709961,117186,4.946483612060547,410524,10428,664661,.9769601821899414,679018,.3789806365966797,1056000,9002,-1.707169532775879,20415,14186,.5838747024536133,656983,.0881538391113281,32397,.4538917541503906,62064,2.482203483581543,124334,308683,.5844831466674805,1099000,29202,-1.039542198181152,282498,39735000,851696,.481196403503418,243398,-.0322675704956055,860000,69996112,.0417346954345703,2138000,2262174,4009559,-.4408016204833984,8603012,.104823112487793,451610,.0974082946777344,331017,1.481313705444336,120739,.2295751571655273,1068000,810589,.5981826782226563,769396,.0228052139282227,10518,.1917209625244141,366212,-.0817785263061523,matched (3),-1233686.3,.77614522,824129.81,1282493.4
201004,300390,603,1376,2487849,04,0,0,1,0,0,0,0,0,0,0,0,29455,.1051149368286133,11544,-1.269939422607422,70170,-.7652454376220703,896000,25845,-.5164279937744141,176056,-.0095252990722656,43441,68077,-.2058820724487305,946000,1851697,-.2022714614868164,48978,47414,4396117,-.0297460556030273,55244,-.4902143478393555,718123,-.1031942367553711,139766,.0321426391601563,312,-5.928514003753662,310227,903,234151,-1.043310165405273,329937,-.721745491027832,973000,9180,.0195808410644531,0,58776,1.421478271484375,577669,-.128657341003418,52696,.4864730834960938,902526,2.677031517028809,295276,295153,-.0448207855224609,2346000,14092,-.7286300659179688,0,32167000,1690697,.6856670379638672,257160,.0550003051757813,949000,52537776,-.2869071960449219,2330000,3387900,4935763,.2078256607055664,7281011,-.1668424606323242,952148,.7459011077880859,371496,.1153688430786133,58432,-.7257671356201172,4947000,501563,-.4800319671630859,344766,-.8027400970458984,19685,.6267690658569336,477649,.2656641006469727,matched (3),3386073.5,.77614522,847759.06,1297803.8
201005,300390,604,1376,2393313,05,0,0,0,1,0,0,0,0,0,0,0,19335,-.4209470748901367,57193,1.600265502929688,303940,1.465909004211426,573000,18421,-.3386259078979492,442031,.9205780029296875,27265,26595,-.9399166107177734,873000,1614145,-.1372966766357422,106574,30536,3351806,-.2712221145629883,85934,.4418201446533203,781003,.0839385986328125,158189,.1238212585449219,24010,4.343222141265869,306384,1220,126211,-.618011474609375,171905,-.6519603729248047,1278000,76443,2.119518280029297,25733,27910,-.7447490692138672,522989,-.0994405746459961,12764,-1.417910575866699,86731,-2.342386245727539,129722,152762,-.6586132049560547,865000,51630,1.298495292663574,466836,18809000,255059,-1.891401290893555,274224,.0642471313476563,879000,58403300,.1058406829833984,2190000,2184070,3865297,-.2444686889648438,5817327,-.2244291305541992,1066343,.1132698059082031,359546,-.0326957702636719,73877,.2345371246337891,1013000,563940,.1172189712524414,530735,.4313974380493164,8203,-.8753566741943359,352865,-.302790641784668,matched (3),-1133868,.77614522,853002.88,1301235.3
201006,300390,605,1376,2200641,06,0,0,0,0,1,0,0,0,0,0,0,11908,-.484705924987793,11743,-1.583173751831055,223560,-.3071498870849609,580000,17256,-.0653305053710938,174264,-.9308080673217773,27136,101177,1.336148262023926,1437000,1716746,.0616245269775391,34094,30442,3161944,-.0583124160766602,58602,-.3828105926513672,875372,.114069938659668,96106,-.4983386993408203,27032,.1185512542724609,683207,503,97512,-.2579793930053711,421865,.8977432250976563,1233000,73736,-.0360546112060547,33631,18138,-.4309759140014648,779162,.3986587524414063,19601,.4289522171020508,36499,-.8655261993408203,96603,68298,-.8050003051757813,775000,76636,.3949642181396484,438040,28358000,1824635,1.967639923095703,172665,-.4625921249389648,951000,56471720,-.0336322784423828,1958000,2035600,3597017,-.0719337463378906,5645865,-.0299167633056641,834892,-.2446880340576172,658000,.6043624877929688,12324,-1.790852546691895,925000,724979,.251194953918457,572977,.0765829086303711,12041,.3838167190551758,495474,.3394289016723633,matched (3),-82073.992,.77614522,986430.19,1392351.9
201007,300390,606,1376,2310869,07,0,0,0,0,0,1,0,0,0,0,0,22215,.6235570907592773,40814,1.245767593383789,149193,-.4044389724731445,612000,25781,.4014778137207031,160083,-.0848789215087891,36788,54885,-.6116313934326172,1470000,2639708,.4302377700805664,50244,8919,3281672,.037165641784668,37762,-.4394655227661133,822272,-.0625782012939453,40476,-.8647432327270508,31169,.1424026489257813,1209265,1436,95598,-.0198240280151367,421681,-.0004358291625977,1405000,45095,-.4917192459106445,9980,18463,.0177602767944336,624010,-.2220525741577148,28160,.3623218536376953,40009,.0918197631835938,128336,346602,1.624297142028809,1133000,13823,-1.712733268737793,460526,33985000,311140,-1.768892288208008,1352991,2.058719635009766,1132000,69570560,.2086009979248047,2083000,2435430,3429413,-.0477161407470703,6540133,.14703369140625,451058,-.6157064437866211,392831,-.5158252716064453,66208,1.681252479553223,1153000,709868,-.0210638046264648,607501,.0585079193115234,105126,2.166842460632324,474212,-.0438604354858398,matched (3),2782913.3,.77614522,1010882.8,1409781.3
201008,300390,607,1376,3792638,08,0,0,0,0,0,0,1,0,0,0,0,1333,-2.81333589553833,46960,.1402711868286133,206827,.3266420364379883,873000,40591,.4539079666137695,89044,-.5865621566772461,36107,73973,.2984600067138672,2180000,4047610,.4274587631225586,57634,79174,2015304,-.4875831604003906,94,-5.995763778686523,783496,-.0483055114746094,12521,-1.173301696777344,189992,1.807558059692383,1239444,6716,193857,.7069692611694336,584202,.3259973526000977,1748000,65146,.36785888671875,77666,36552,.6829662322998047,644131,.0317354202270508,40461,.3624362945556641,122512,1.119104385375977,150661,623453,.5870962142944336,3823000,28779,.7333126068115234,286468,25930000,588340,.6370620727539063,327047,-1.41996955871582,1157000,62569784,-.1060581207275391,2226000,4158295,4523054,.276799201965332,5468053,-.1790351867675781,536777,.1739873886108398,835556,.7547178268432617,35845,-.6135969161987305,1192000,1163778,.4943475723266602,801538,.2771787643432617,18696,-1.726849555969238,537912,.1260404586791992,matched (3),5307828.5,.77614522,984855.38,1391236.6
201009,300390,608,1376,2096677,09,0,0,0,0,0,0,0,1,0,0,0,32698,3.199882030487061,5775,-2.095757484436035,170553,-.1928367614746094,1069000,35819,-.1250677108764648,74234,-.1819086074829102,31904,104750,.3478765487670898,1188000,2420197,-.514277458190918,34109,47431,4050394,.6980447769165039,127,.3008923530578613,836975,.0660285949707031,708,-2.872718334197998,6263,-3.412322998046875,622835,1430,223726,.1433010101318359,274415,-.7556047439575195,1147000,32694,-.6894388198852539,32355,126455,1.241150856018066,600513,-.0701179504394531,5239,-2.044208526611328,77318,-.4602823257446289,155502,107178,-1.760783195495606,281000,549,-3.959303379058838,120372,27589000,241595,-.8900423049926758,236011,-.3262252807617188,781000,61224592,-.0217342376708984,1700000,2855355,3333006,-.3053131103515625,8922537,.4896583557128906,488915,-.0933942794799805,203530,-1.412283897399902,39901,.1071968078613281,1071000,814460,-.3569011688232422,611659,-.2703580856323242,34728,.6192359924316406,514270,-.0449457168579102,matched (3),-826367.75,.77614522,855232.25,1302697.8
201010,300390,609,1376,3124827,10,0,0,0,0,0,0,0,0,1,0,0,14042,-.8452606201171875,60452,2.348311424255371,239277,.3385753631591797,381000,67852,.638850212097168,147713,.68804931640625,35521,111791,.0650548934936523,2277000,2612900,.0766115188598633,114386,36286,4884851,.1873245239257813,27186,5.366270542144775,977921,.155634880065918,24279,3.534923076629639,54105,2.156267166137695,713736,8562,153444,-.3770866394042969,299494,.0874528884887695,1418000,39384,.1861677169799805,34548,74584,-.5279598236083984,770794,.2496376037597656,62775,2.483426094055176,103630,.2929000854492188,175255,135154,.2319240570068359,2830000,35133,4.158797740936279,465383,34296000,350415,.3718557357788086,320050,.3045988082885742,979000,50575564,-.1910800933837891,2828000,3652551,3593292,.0751943588256836,5435905,-.4955549240112305,662790,.3042697906494141,173622,-.1589326858520508,74118,.6192569732666016,1407000,1038932,.2434225082397461,673768,.0967111587524414,113321,1.18267822265625,951069,.614837646484375,matched (3),4046078,.77614522,664936.94,1186482.4
