period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1171c616,growth1171c616,Y1330c251,growth1330c251,Y1384c807,growth1384c807,Y1397c620,growth1397c620,Y1454c807,growth1454c807,Y1483c222,growth1483c222,Y1503c807,growth1503c807,Y1624c152,Y1635c124,growth1635c124,Y1653c705,growth1653c705,Y1771c442,Y1818c152,growth1818c152,Y257c440,growth257c440,Y2630c300,growth2630c300,Y2654c246,growth2654c246,Y2739c68,Y2752c222,growth2752c222,Y2764c381,Y2826c620,growth2826c620,Y2826c757,growth2826c757,Y2927c752,growth2927c752,Y3032c554,Y3159c440,growth3159c440,Y3435c222,growth3435c222,Y3594c826,growth3594c826,Y3687c642,Y3695c348,growth3695c348,Y3882c246,growth3882c246,Y3896c381,Y4020c620,growth4020c620,Y4147c124,growth4147c124,Y4164c705,growth4164c705,Y4170c372,growth4170c372,Y4187c203,Y4235c68,growth4235c68,Y4265c818,Y4306c152,growth4306c152,Y4358c807,growth4358c807,Y4422c300,growth4422c300,Y4459c300,growth4459c300,Y4459c642,Y4494c246,growth4494c246,Y4532c372,growth4532c372,Y4724c484,growth4724c484,Y472c372,growth472c372,Y4745c300,growth4745c300,Y4819c251,growth4819c251,Y4819c440,growth4819c440,Y4892c152,growth4892c152,Y616c372,growth616c372,_merge,x,r2,s,sf
201001,300420,600,1378,2447866,01,0,0,0,0,0,0,0,0,0,0,0,1328219,,1603312,,4492729,,3553434,,16575,,465905,,102311,,50552,1522624,,234055,,887439,193636,,24917,,44879,,11701,,0,72,,30480436,833700,,2744426,,171623,,162818,195102,,70005,,22372112,,187018,281429,,93424,,842946,2251004,,386676,,332314,,347474,,42396,1589121,,212756,10426855,,8515,,963839,,30566,,268321,261095,,4882543,,180446,,173389,,171823,,32584260,,372867,,117940,,422579,,matched (3),,.8697713,,
201002,300420,601,1378,820518,02,1,0,0,0,0,0,0,0,0,0,0,1149194,-.1447782516479492,2195591,.3143796920776367,4666457,.0379390716552734,2735222,-.2617015838623047,15349,-.0768451690673828,652011,.3360795974731445,123553,.1886529922485352,95333,904786,-.5204916000366211,206602,-.1247625350952148,836289,204423,.0542106628417969,38195,.427154541015625,16271,-1.014585494995117,50550,1.463288307189941,8818,3111,3.76603364944458,29552122,649818,-.249180793762207,3699398,.2985982894897461,79588,-.768437385559082,182103,153532,-.2396135330200195,53099,-.2764081954956055,20959896,-.0652046203613281,246872,232031,-.1930084228515625,126977,.3068580627441406,963525,630199,-1.273096084594727,843533,.7800121307373047,1011848,1.113452911376953,285030,-.1980953216552734,54655,218072,-1.986110687255859,119929,2449912,-1.448331832885742,3855,-.7924585342407227,1161592,.1866226196289063,13807,-.7947120666503906,240247,93806,-1.023655891418457,4782410,-.020721435546875,179091,-.0075368881225586,141300,-.2046518325805664,162214,-.0575485229492188,36586140,.1158409118652344,258209,-.3674516677856445,8748,-2.601350784301758,543272,.2512331008911133,matched (3),378764.56,.8697713,445678.88,641311.13
201003,300420,602,1378,1886293,03,0,1,0,0,0,0,0,0,0,0,0,1400106,.1974868774414063,3173383,.3683462142944336,5431018,.1517267227172852,3921234,.360194206237793,5055,-1.110671997070313,634449,-.0273046493530273,140248,.1267423629760742,209360,1762855,.6669912338256836,257144,.2188425064086914,1118358,263417,.2535476684570313,34358,-.1058692932128906,17086,.0488748550415039,16393,-1.126108169555664,4259,5249,.5230932235717773,31367236,858916,.2789783477783203,2457824,-.4088945388793945,163465,.7197360992431641,203915,171578,.1111288070678711,75365,.3501853942871094,24739980,.1658096313476563,269224,367367,.4594898223876953,153066,.1868629455566406,1223130,315543,-.6917409896850586,1093061,.2591381072998047,1301663,.2518644332885742,422526,.3936567306518555,167869,2355,-4.528284549713135,165471,9669692,1.372943878173828,16666,1.463999748229981,1649911,.3509292602539063,16243,.1624860763549805,251649,175440,.626068115234375,4927120,.0298099517822266,270595,.4127292633056641,129005,-.091033935546875,190215,.1592388153076172,44458392,.1948833465576172,445021,.5443515777587891,76163,2.164051055908203,1191364,.7852439880371094,matched (3),948107.31,.8697713,375091.47,594427.38
201004,300420,603,1378,573166,04,0,0,1,0,0,0,0,0,0,0,0,1166135,-.1828527450561523,590328,-1.68187427520752,5784200,.0630035400390625,2588621,-.4152812957763672,17049,1.215713500976563,502773,-.2326173782348633,151053,.07421875,49642,890096,-.6833610534667969,186597,-.3206853866577148,943205,136180,-.6597614288330078,36300,.0549821853637695,39244,.8315391540527344,16518,.0075960159301758,2184,14887,1.042450904846191,22673198,780733,-.0954380035400391,1325981,-.6171236038208008,19709,-2.115523338317871,206768,114157,-.4074630737304688,111441,.3911514282226563,25291360,.0220413208007813,0,313566,-.158350944519043,140995,-.0821447372436523,1146372,254931,-.2133016586303711,552932,-.6815023422241211,1062616,-.2029085159301758,391006,-.0775279998779297,100102,625136,5.581428050994873,101771,1816812,-1.671913146972656,6735,-.9060525894165039,438673,-1.324722290039063,13247,-.2038908004760742,0,145286,-.1885929107666016,4699225,-.0473566055297852,272007,.0052042007446289,158199,.2040023803710938,132803,-.359288215637207,35213808,-.2331142425537109,687802,.4353799819946289,16274,-1.543307304382324,791512,-.4089088439941406,matched (3),-901057.31,.8697713,552522.88,719674.81
201005,300420,604,1378,1559254,05,0,0,0,1,0,0,0,0,0,0,0,941722,-.213740348815918,1968039,1.204113960266113,3738418,-.436467170715332,4449651,.5417003631591797,1326,-2.553924560546875,664956,.2795820236206055,90314,-.514338493347168,140585,2119597,.8676519393920898,225723,.1903572082519531,967203,157606,.1461210250854492,33821,-.0707359313964844,39296,.0013246536254883,21714,.2735061645507813,2335,10116,-.3863706588745117,20409318,540180,-.3683309555053711,1580031,.1752920150756836,65519,1.201264381408691,173599,283472,.9095382690429688,88491,-.2305936813354492,17972572,-.3416156768798828,352174,254504,-.2086935043334961,317926,.8130941390991211,1153450,3172539,2.521294593811035,1085276,.6743545532226563,818961,-.2604532241821289,412794,.0542259216308594,108056,324976,-.6542177200317383,240025,1844785,.0152797698974609,24816,1.304170608520508,979134,.8029146194458008,24289,.6062526702880859,1395609,176828,.1964731216430664,3933238,-.1779346466064453,307546,.1227970123291016,33720,-1.54576301574707,148332,.1105861663818359,32984746,-.0653934478759766,385689,-.5784702301025391,59771,1.300951957702637,909538,.1389913558959961,matched (3),1275493.1,.8697713,537850.19,708472.38
201006,300420,605,1378,807983,06,0,0,0,0,1,0,0,0,0,0,0,1124457,.1773452758789063,1987926,.0100545883178711,5995322,.4723167419433594,2754939,-.4794301986694336,2902,.7832331657409668,640572,-.0373592376708984,84983,-.0608415603637695,99204,1720450,-.2086400985717773,240117,.0618181228637695,1118122,287152,.5999135971069336,28416,-.1741294860839844,30371,-.2576351165771484,14295,-.4180469512939453,305,2311,-1.476437568664551,24690422,587883,.0846261978149414,1887726,.1779289245605469,74988,.1349878311157227,164440,161056,-.5653610229492188,72467,-.1997699737548828,24016920,.2899112701416016,178797,185206,-.3178482055664063,178260,-.5785751342773438,1184943,112288,-3.341220855712891,698852,-.440150260925293,808821,-.0124588012695313,388792,-.0599040985107422,62732,33951,-2.258832931518555,173292,950875,-.6627359390258789,6599,-1.324570655822754,578494,-.526240348815918,20422,-.1734113693237305,850200,171742,-.0291833877563477,4947665,.2294521331787109,166430,-.6140499114990234,140400,1.42640495300293,103419,-.3606643676757813,38317696,.1498661041259766,343565,-.1156549453735352,178357,1.093266487121582,851346,-.0661182403564453,matched (3),1107232.5,.8697713,402850.59,612322.56
201007,300420,606,1378,1477341,07,0,0,0,0,0,1,0,0,0,0,0,1149527,.0220499038696289,2394405,.1860427856445313,5323597,-.118830680847168,3373263,.2024850845336914,18090,1.829959392547607,647059,.010075569152832,181197,.7571334838867188,112803,1491974,-.1424856185913086,290482,.1904153823852539,1216344,480406,.5146198272705078,31394,.0996646881103516,15359,-.6817865371704102,17570,.2062826156616211,10544,1348,-.5390582084655762,32840844,817940,.3302602767944336,2385547,.2340555191040039,138988,.6170597076416016,214957,186649,.1474771499633789,174780,.880396842956543,23396476,-.0261726379394531,326828,277312,.4036750793457031,159459,-.1114568710327148,582507,184467,.496403694152832,1173471,.5182819366455078,1135110,.3389072418212891,390691,.0048723220825195,56582,18136,-.627018928527832,130007,2256969,.8643960952758789,10992,.5102500915527344,305386,-.6388521194458008,14631,-.333470344543457,757837,168941,-.016444206237793,3703512,-.2896337509155273,172841,.0377969741821289,177593,.2349987030029297,82943,-.2206354141235352,41647896,.0833396911621094,293662,-.1569461822509766,31380,-1.737616539001465,941994,.1011810302734375,matched (3),-54599.574,.8697713,321701.25,562265.06
201008,300420,607,1378,974549,08,0,0,0,0,0,0,1,0,0,0,0,1135920,-.0119075775146484,995850,-.877293586730957,5468750,.0269012451171875,2285356,-.3893585205078125,8159,-.7962379455566406,589971,-.0923643112182617,59609,-1.111778259277344,2203,1435954,-.0382709503173828,270722,-.0704488754272461,1076778,265494,-.5930395126342773,25914,-.19183349609375,8302,-.6152048110961914,26155,.3978481292724609,904,1344,-.0029721260070801,22968380,1417169,.5496282577514648,2154696,-.1017789840698242,81481,-.5340175628662109,150483,168808,-.1004676818847656,31771,-1.704974174499512,16757380,-.3337459564208984,202047,212218,-.2675294876098633,375052,.8552780151367188,485202,141650,-.2641115188598633,524247,-.8057584762573242,1000783,-.125946044921875,389304,-.0035562515258789,24879,65161,1.278962135314941,50692,1397725,-.4791774749755859,4698,-.8500308990478516,590493,.6593818664550781,219,-4.201825618743897,485241,134152,-.2305765151977539,3682520,-.0056838989257813,303465,.5628938674926758,76378,-.8437995910644531,105922,.2445497512817383,31697780,-.2730045318603516,844445,1.056249618530273,43382,.3238744735717773,807479,-.1540822982788086,matched (3),-624881.75,.8697713,276957.91,537918.25
201009,300420,608,1378,1229727,09,0,0,0,0,0,0,0,1,0,0,0,1178858,.0371036529541016,1503237,.4117794036865234,4897570,-.1103105545043945,2886365,.2334756851196289,20435,.9181270599365234,644513,.0884218215942383,121121,.7089834213256836,151077,2365548,.499180793762207,245577,-.0974826812744141,975548,413683,.4435081481933594,37003,.3562154769897461,40038,1.573332786560059,13870,-.634312629699707,2421,4633,1.237554550170898,21898268,793879,-.5794858932495117,2391599,.1043119430541992,47025,-.5496912002563477,291380,184933,.0912313461303711,116583,1.300049781799316,37580648,.8076496124267578,302310,282704,.2867860794067383,222621,-.5215940475463867,582990,655527,1.53208065032959,862891,.498326301574707,1373789,.3167896270751953,250401,-.4412975311279297,91317,219348,1.213798522949219,186505,1656732,.1700010299682617,7302,.4410114288330078,252501,-.8495426177978516,32446,4.998260974884033,640096,157484,.1603507995605469,4521033,.2051429748535156,244054,-.2178764343261719,171114,.8066349029541016,110434,.0417146682739258,39327792,.2156848907470703,535728,-.4550533294677734,92063,.7524280548095703,864073,.0677404403686523,matched (3),-722646.25,.8697713,463238.41,653636.13
201010,300420,609,1378,1927315,10,0,0,0,0,0,0,0,0,1,0,0,1377401,.1556520462036133,1243198,-.1899337768554688,7721705,.4552955627441406,4679893,.4832773208618164,21596,.0552597045898438,650531,.0092935562133789,148929,.2066802978515625,115611,1309978,-.5909996032714844,244365,-.0049476623535156,1048709,393434,-.0501871109008789,44630,.1874074935913086,67803,.5267772674560547,16760,.1892671585083008,10848,6174,.2871417999267578,22284312,854282,.0733299255371094,1750520,-.3120489120483398,53267,.1246376037597656,254650,233044,.2312335968017578,152566,.2689933776855469,26239884,-.3592090606689453,354832,301579,.064631462097168,826510,1.311741828918457,994289,294676,-.7995634078979492,2694889,1.138823509216309,1408713,.0251035690307617,661342,.9712076187133789,121710,243600,.1048679351806641,575117,6987177,1.439229965209961,28279,1.353971481323242,612330,.8858556747436523,2474,-2.573741436004639,608161,209595,.285853385925293,5713233,.234044075012207,249253,.0210790634155273,147985,-.1452188491821289,138678,.2277364730834961,48171228,.2028312683105469,658430,.2062320709228516,84747,-.0828027725219727,1127628,.2662143707275391,matched (3),576100.75,.8697713,312931.47,557293.88
