period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1036c484,growth1036c484,Y1312c484,growth1312c484,Y1323c484,growth1323c484,Y1384c752,growth1384c752,Y1451c484,growth1451c484,Y1749c554,Y1761c484,growth1761c484,Y1766c208,growth1766c208,Y1851c372,growth1851c372,Y2062c484,growth2062c484,Y2074c705,growth2074c705,Y2120c752,growth2120c752,Y2121c300,growth2121c300,Y2138c484,growth2138c484,Y2146c32,Y2293c300,growth2293c300,Y2443c752,growth2443c752,Y2540c484,growth2540c484,Y2732c251,growth2732c251,Y2883c208,growth2883c208,Y3120c208,growth3120c208,Y3227c124,growth3227c124,Y3275c484,growth3275c484,Y3534c705,growth3534c705,Y3603c208,growth3603c208,Y3703c233,Y3916c191,growth3916c191,Y3949c484,growth3949c484,Y3974c352,growth3974c352,Y3974c484,growth3974c484,Y408c191,growth408c191,Y4291c484,growth4291c484,Y4415c484,growth4415c484,Y4452c752,growth4452c752,Y4456c246,growth4456c246,Y4480c705,growth4480c705,Y4606c68,growth4606c68,Y4645c484,growth4645c484,Y4681c372,growth4681c372,Y4682c222,growth4682c222,Y4753c222,growth4753c222,Y4758c222,growth4758c222,Y4761c428,growth4761c428,Y4989c152,growth4989c152,Y5003c616,growth5003c616,Y630c233,Y644c826,growth644c826,Y647c600,growth647c600,Y699c705,growth699c705,Y946c203,_merge,x,r2,s,sf
201001,300490,600,1384,1655752,01,0,0,0,0,0,0,0,0,0,0,0,1580204,,928630,,3838638,,191467696,,3536149,,39350,8495124,,5354842,,921918,,1894132,,136207,,4165811,,2026811,,12430252,,299371,145523,,521319,,585614,,1264176,,69308,,780786,,2755915,,54124576,,126889,,99617,,224521,91296,,8942196,,111811,,10336134,,25132,,10022177,,10778472,,1082750,,337181,,918535,,129390,,4804763,,683419,,152455,,180620,,36769,,109072,,852740,,952195,,90285,7531083,,316704,,151223,,81024,matched (3),,.92451733,,
201002,300490,601,1384,1036956,02,1,0,0,0,0,0,0,0,0,0,0,1400343,-.1208372116088867,495823,-.6274909973144531,1320038,-1.06745719909668,184595904,-.0365505218505859,3512725,-.0066461563110352,50216,10109957,.1740293502807617,3602803,-.3962898254394531,739884,-.2199630737304688,1283281,-.3893404006958008,378769,1.022750854492188,3769792,-.0998907089233398,1716641,-.1660947799682617,16275253,.2695121765136719,155918,110118,-.2787809371948242,576068,.0998630523681641,820077,.3367366790771484,1310381,.0358972549438477,40273,-.5428791046142578,394039,-.6838512420654297,5096357,.614776611328125,41547880,-.2644424438476563,139350,.0936756134033203,132368,.2842531204223633,183161,47582,-.6516523361206055,7786894,-.1383399963378906,194120,.551666259765625,14523582,.3401260375976563,8114,-1.130550384521484,12711915,.2377376556396484,8828547,-.1995611190795898,1046507,-.0340461730957031,259933,-.2601966857910156,1021165,.1059188842773438,135124,.0433616638183594,5918362,.2084522247314453,380389,-.5859136581420898,177206,.1504430770874023,145744,-.2145442962646484,17574,-.7382345199584961,30337,-1.279640197753906,722785,-.1653432846069336,660965,-.3650693893432617,120879,6710319,-.115391731262207,320535,.01202392578125,306432,.7062406539916992,36592,matched (3),-11813664,.92451733,3516873.3,5160104.5
201003,300490,602,1384,1273760,03,0,1,0,0,0,0,0,0,0,0,0,2127740,.4183435440063477,518815,.0453281402587891,2332032,.5690793991088867,211751616,.1372451782226563,4455327,.2377090454101563,62245,12618907,.2216739654541016,4134475,.1376485824584961,944425,.2440824508666992,1650119,.2514266967773438,270244,-.3376016616821289,3743878,-.0068979263305664,2975638,.5500888824462891,17007438,.0440044403076172,66050,236348,.7637519836425781,770605,.2909507751464844,1200241,.3808794021606445,1651936,.2316293716430664,95203,.8603305816650391,551302,.3358335494995117,610014,-2.122798919677734,62562604,.4093227386474609,203248,.3774385452270508,222171,.5178613662719727,351281,212992,1.498799324035645,6526812,-.1765232086181641,307118,.4587554931640625,17526528,.1879425048828125,24958,1.123602867126465,16318740,.2497749328613281,15266264,.5476560592651367,1051265,.0045366287231445,327826,.2320594787597656,921489,-.1027078628540039,184325,.3105077743530273,7699373,.2630786895751953,570140,.4046878814697266,216626,.2008600234985352,171889,.1649980545043945,37701,.7632665634155273,71720,.8604011535644531,736661,.0190162658691406,836407,.2354145050048828,203731,8819862,.2733592987060547,594366,.6175041198730469,370098,.1887712478637695,80020,matched (3),-3285763,.92451733,3395784,5078349.5
201004,300490,603,1384,1148971,04,0,0,1,0,0,0,0,0,0,0,0,1492157,-.3548374176025391,1005537,.6617298126220703,2311385,-.0088930130004883,172689056,-.2039222717285156,3987950,-.1108236312866211,29929,11380832,-.1032657623291016,4116030,-.0044708251953125,811847,-.1512641906738281,1616685,-.0204696655273438,152771,-.5703849792480469,3320859,-.119898796081543,2077979,-.3590621948242188,15358294,-.1019935607910156,53761,67119,-1.258837699890137,588531,-.2695465087890625,845328,-.3505525588989258,1306419,-.2346582412719727,11008,-2.157389640808106,386128,-.356114387512207,3652120,1.789580345153809,51808496,-.1886138916015625,291123,.359318733215332,121112,-.6067323684692383,268221,231992,.0854482650756836,8909291,.3111763000488281,105195,-1.071415901184082,15239964,-.1397933959960938,28726,.1406087875366211,13019062,-.2258987426757813,13609985,-.1148433685302734,969283,-.0811929702758789,325566,-.0069179534912109,953751,.0344114303588867,169322,-.0848979949951172,6185708,-.218897819519043,166691,-1.229740142822266,192968,-.1156482696533203,190633,.1035013198852539,28020,-.2967681884765625,26827,-.9833602905273438,1226698,.509953498840332,712847,-.1598482131958008,172624,7334950,-.1843557357788086,337838,-.5649290084838867,357907,-.0334939956665039,21761,matched (3),4623820,.92451733,3202134.5,4950954
201005,300490,604,1384,1539283,05,0,0,0,1,0,0,0,0,0,0,0,1584823,.0602493286132813,1056642,.0495738983154297,2959685,.2472362518310547,182701200,.0563602447509766,4491197,.1188421249389648,117298,12724889,.1116294860839844,4121961,.001439094543457,645635,-.2290773391723633,2203753,.3097848892211914,244174,.4689416885375977,3975400,.1799020767211914,2248791,.0789966583251953,16658961,.0812911987304688,110774,103660,.4346494674682617,713943,.1931734085083008,866526,.0247669219970703,1405003,.0727500915527344,31271,1.044069290161133,521504,.3005485534667969,5214109,.3560609817504883,52217848,.0078697204589844,224617,-.2593488693237305,175045,.3683280944824219,309399,766695,1.19538688659668,16784420,.6333560943603516,122663,.15362548828125,15982871,.0475959777832031,19661,-.3791656494140625,17526820,.2973175048828125,13164236,-.0332984924316406,943681,-.026768684387207,339678,.0424327850341797,1080882,.1251296997070313,161293,-.048579216003418,8881372,.3617153167724609,305812,.6068286895751953,191724,-.0064678192138672,379168,.6876287460327148,147411,1.660305976867676,60022,.8053016662597656,1330864,.0815029144287109,900428,.2336034774780273,141827,7013261,-.0448474884033203,509280,.410430908203125,251044,-.354644775390625,35667,matched (3),5569568.5,.92451733,3142228.8,4912421.5
201006,300490,605,1384,1452653,06,0,0,0,0,1,0,0,0,0,0,0,1910000,.1866312026977539,744114,-.3506565093994141,2514113,-.1631631851196289,196498368,.0728015899658203,4296160,-.0443973541259766,76627,12786529,.0048332214355469,3877146,-.0612297058105469,821029,.2403240203857422,1501680,-.3835773468017578,271972,.1078176498413086,3126543,-.2401971817016602,1804270,-.2202367782592773,15634575,-.0634632110595703,68401,228920,.7922563552856445,515103,-.3264360427856445,805725,-.072749137878418,1652548,.1622791290283203,156019,1.60728645324707,446182,-.1559906005859375,3821698,-.310673713684082,64553360,.2120685577392578,426051,.640162467956543,106776,-.4943103790283203,278359,308046,-.9118404388427734,16191828,-.0359439849853516,171049,.3325090408325195,15405655,-.0367832183837891,21862,.1061124801635742,14949161,-.1590766906738281,20833140,.4590396881103516,935015,-.0092258453369141,218947,-.4391679763793945,1081728,.0007829666137695,146182,-.0983705520629883,9983582,.1169862747192383,279923,-.0884561538696289,289458,.4119539260864258,326939,-.1482057571411133,169464,.1394157409667969,19970,-1.100480079650879,1821643,.3139104843139648,850945,-.056523323059082,130946,7258281,.0343399047851563,754016,.3924160003662109,168219,-.4003620147705078,44446,matched (3),4474078.5,.92451733,2870056,4742942.5
201007,300490,606,1384,964705,07,0,0,0,0,0,1,0,0,0,0,0,1666175,-.1365728378295898,718679,-.0347795486450195,2531698,.0069704055786133,154283872,-.2418594360351563,4224906,-.0167245864868164,15342,11680177,-.0904998779296875,3405978,-.1295671463012695,1014980,.2120656967163086,1970046,.2714719772338867,102039,-.9803438186645508,3841919,.2060441970825195,2024310,.1150732040405273,16236878,.0378017425537109,66326,78854,-1.065774917602539,319251,-.4783897399902344,665811,-.1907367706298828,1864966,.1209239959716797,305131,.6707630157470703,514003,.1415023803710938,1828646,-.7371187210083008,49486364,-.2657966613769531,226223,-.6330385208129883,309744,1.065012931823731,215338,614448,.6904754638671875,11035572,-.3833827972412109,156821,-.0868453979492188,15525562,.0077533721923828,27108,.2150793075561523,12323066,-.1931838989257813,14609765,-.3548545837402344,1058648,.1241855621337891,200579,-.0876216888427734,1144927,.0567808151245117,235496,.476841926574707,9120847,-.0903797149658203,330134,.1649837493896484,208360,-.3287429809570313,284750,-.1381616592407227,44776,-1.330967903137207,11266,-.5724411010742188,1743495,-.0438470840454102,623883,-.3103837966918945,114199,6711698,-.0782909393310547,568072,-.2831649780273438,259346,.432896614074707,36929,matched (3),8664761,.92451733,3340959.3,5041854
201008,300490,607,1384,3018881,08,0,0,0,0,0,0,1,0,0,0,0,2734826,.4955368041992188,951737,.2808732986450195,3015735,.1749534606933594,209342272,.30517578125,4708054,.1082773208618164,111739,12519795,.0694179534912109,3964401,.1518230438232422,1076860,.0591802597045898,1343594,-.3827085494995117,245510,.8779821395874023,4244836,.0997304916381836,1484662,-.3100414276123047,16238378,.000091552734375,53818,108101,.3154678344726563,645419,.7039222717285156,1171600,.565119743347168,2392366,.2490406036376953,327331,.0702314376831055,438719,-.1583700180053711,5746524,1.14501953125,58379276,.1652641296386719,398339,.5657825469970703,134655,-.8330297470092773,308266,236865,-.9532337188720703,8536529,-.256770133972168,286355,.6021270751953125,18253916,.1618919372558594,19421,-.3334741592407227,14752509,.1799411773681641,16357212,.1129798889160156,2048871,.6602964401245117,304734,.4182310104370117,1174722,.025691032409668,287113,.19818115234375,11067921,.1934871673583984,208797,-.4581356048583984,119907,-.55255126953125,308061,.0786857604980469,31295,-.3582143783569336,160700,2.657749176025391,1385964,-.2294960021972656,743040,.1747865676879883,148306,7937206,.1677093505859375,724458,.2431755065917969,350400,.3009119033813477,81469,matched (3),-2054755.3,.92451733,2568224,4566624
201009,300490,608,1384,1836273,09,0,0,0,0,0,0,0,1,0,0,0,2623741,-.0414667129516602,677838,-.3393802642822266,2550481,-.1675615310668945,191747424,-.0877914428710938,4252182,-.101841926574707,103176,12503871,-.0012722015380859,5102718,.2524185180664063,914305,-.163640022277832,1688176,.2283000946044922,257724,.0485515594482422,3763101,-.1204595565795898,1918534,.256373405456543,15762694,-.0297317504882813,36272,71723,-.4102544784545898,629641,-.024749755859375,533280,-.787078857421875,1971514,-.1934814453125,32858,-2.298776626586914,669589,.4228048324584961,3739963,-.4295196533203125,55317040,-.0538787841796875,250841,-.4624843597412109,146244,.0825605392456055,372332,260922,.0967311859130859,10887853,.2432928085327148,166188,-.5441122055053711,16959712,-.0735397338867188,18249,-.0622444152832031,14023182,-.0507011413574219,14316292,-.133270263671875,1273462,-.4755496978759766,255401,-.1766042709350586,1455157,.2140817642211914,226916,-.235295295715332,9239752,-.1805343627929688,387454,.6182346343994141,186542,.4419403076171875,243347,-.235809326171875,46920,.4049854278564453,46572,-1.238539695739746,1424459,.0273962020874023,720636,-.0306158065795898,115229,8401655,.0568675994873047,568976,-.2415857315063477,281082,-.220428466796875,24247,matched (3),-199094.02,.92451733,1873299.5,4215155
201010,300490,609,1384,1495377,10,0,0,0,0,0,0,0,0,1,0,0,1586615,-.5029983520507813,869825,.2493839263916016,2739977,.0716667175292969,215459904,.1165962219238281,4879787,.1376686096191406,139156,11712205,-.0654067993164063,4323523,-.1657028198242188,1222256,.2902889251708984,1256668,-.2951850891113281,285412,.1020450592041016,4647740,.2111377716064453,1788363,-.0702600479125977,17199356,.0872268676757813,19657,30462,-.8563318252563477,356847,-.5678424835205078,705561,.2799463272094727,2190876,.105499267578125,40037,.1976079940795898,640165,-.0449380874633789,3414722,-.0909795761108398,51592480,-.0697059631347656,30283,-2.114232063293457,172114,.1628799438476563,368632,62409,-1.430512428283691,11733872,.0748329162597656,237261,.3560409545898438,18379774,.0804100036621094,29913,.4941825866699219,15329772,.0890846252441406,18888356,.2771472930908203,1358390,.0645608901977539,213124,-.1809606552124023,1385646,-.0489473342895508,217713,-.0414028167724609,9895134,.0685272216796875,379446,-.0208845138549805,257448,.3221616744995117,279859,.1397972106933594,95799,.7138090133666992,45781,-.0171298980712891,1278543,-.1080713272094727,939646,.2653694152832031,164666,7150187,-.161290168762207,576811,.013676643371582,321614,.1347055435180664,20790,matched (3),2525299.3,.92451733,2686034.3,4633903.5
