period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1071c152,growth1071c152,Y1079c792,growth1079c792,Y1201c152,growth1201c152,Y1447c32,Y1459c554,Y1498c600,growth1498c600,Y1606c608,Y1699c442,Y2011c620,growth2011c620,Y2108c554,Y2269c792,growth2269c792,Y2419c124,growth2419c124,Y2560c344,Y2565c484,growth2565c484,Y2602c376,Y2686c344,Y2717c124,growth2717c124,Y2717c752,growth2717c752,Y2757c68,growth2757c68,Y2775c344,Y2882c246,growth2882c246,Y2926c348,growth2926c348,Y2965c586,growth2965c586,Y2986c268,growth2986c268,Y3024c705,growth3024c705,Y313c376,Y319c344,Y3453c32,Y3473c152,growth3473c152,Y3501c600,growth3501c600,Y3689c218,Y3743c600,growth3743c600,Y3765c586,growth3765c586,Y3848c300,growth3848c300,Y3897c818,Y4225c484,growth4225c484,Y4376c344,Y4544c68,growth4544c68,Y4579c152,growth4579c152,Y4584c376,Y4745c152,growth4745c152,Y476c208,growth476c208,Y4777c246,growth4777c246,Y48c484,Y4927c826,growth4927c826,Y4994c484,growth4994c484,Y632c222,growth632c222,Y640c826,growth640c826,Y679c792,growth679c792,Y843c484,growth843c484,_merge,x,r2,s,sf
201001,300510,600,1385,5100525,01,0,0,0,0,0,0,0,0,0,0,0,16331,,115391,,1476587,,1617701,402190,127128,,59275,141656,17797,,36200,7964670,,222011,,37171,511921,,172000,5024847,1622,,27427,,10411,,599222,618282,,85733,,6864079,,49,,387261,,1626000,6206198,153692,121185,,48125,,110556,58273,,1611,,182254,,2022979,14300204,,4356174,5900,,49181600,,9277000,463607,,111147,,664288,,8937467,3324568,,2216237,,23964,,244058,,105149,,300263552,,matched (3),,.92444021,,
201002,300510,601,1385,3551338,02,1,0,0,0,0,0,0,0,0,0,0,896873,4.005849838256836,64988,-.5741233825683594,984463,-.4053926467895508,564682,685282,132820,.0438003540039063,21847,101743,16892,-.052189826965332,15037,9916014,.2191352844238281,247304,.1078920364379883,40125,271424,-.6344881057739258,168000,3651337,18683,2.443953990936279,80861,1.081203460693359,5244,-.6857776641845703,559931,213639,-1.062656402587891,66054,-.2607660293579102,5245454,-.2689399719238281,4107,4.428627967834473,402180,.0378017425537109,1696000,4168375,176317,68900,-.564661979675293,29705,-.4824867248535156,28843,177000,1.111011505126953,8643,1.67989444732666,177472,-.0265884399414063,1310864,8517194,-.5181865692138672,2015509,3350,-.5659923553466797,44284848,-.1048774719238281,4242000,291951,-.4624509811401367,69325,-.4720478057861328,615971,-.0755157470703125,7852502,2569586,-.2575950622558594,1895535,-.1563100814819336,111716,1.539407730102539,222791,-.0911712646484375,76012,-.3244867324829102,267448384,-.1157321929931641,matched (3),6310605,.92444021,420154.41,743953.44
201003,300510,602,1385,3627946,03,0,1,0,0,0,0,0,0,0,0,0,2467139,1.011899948120117,111898,.5433855056762695,1299849,.2779073715209961,1715306,724148,168569,.2383499145507813,38753,113226,19765,.1570730209350586,3121,12147221,.2029495239257813,292611,.1682252883911133,35750,516869,.6441068649291992,147000,7243533,24252,.2608852386474609,83160,.0280351638793945,9588,.6034269332885742,683115,102012,-.7391977310180664,67528,.0220699310302734,7522926,.3605928421020508,10230,.9126319885253906,636218,.4586410522460938,952000,4705618,171344,122838,.5782098770141602,94190,1.153999328613281,15463,176501,-.0028238296508789,30614,1.264708518981934,1424668,2.082881927490234,1512123,18975568,.8010654449462891,3573158,4756,.3504467010498047,39707472,-.1091041564941406,4959000,439151,.4082574844360352,129130,.622014045715332,656917,.0643577575683594,8819403,3033802,.166071891784668,2693304,.3512678146362305,97555,-.1355438232421875,207351,-.0718212127685547,220058,1.062999725341797,402839296,.4096107482910156,matched (3),8334752,.92444021,386015.78,725220.81
201004,300510,603,1385,4797261,04,0,0,1,0,0,0,0,0,0,0,0,614224,-1.39045524597168,72958,-.427703857421875,1603863,.2101669311523438,1571027,800188,219879,.2657327651977539,65009,232436,21223,.0711727142333984,37382,12437087,.0235824584960938,263794,-.1036758422851563,47656,265182,-.6673727035522461,184000,9494548,5478,-1.487758636474609,27942,-1.090635299682617,17707,.6134481430053711,600169,51553,-.6824798583984375,185214,1.008969306945801,8577407,.1311769485473633,11628,.1280918121337891,782828,.207371711730957,1359000,5457132,96029,222088,.5922079086303711,87554,-.07305908203125,57920,113101,-.4450445175170898,545,-4.028427124023438,870951,-.4921083450317383,1619404,20833524,.0934104919433594,4698664,3904,-.1974048614501953,34366760,-.1444492340087891,4117000,279793,-.4507932662963867,105331,-.2037115097045898,853615,.2619218826293945,10762284,2197589,-.3224563598632813,2275664,-.1684970855712891,91474,-.064361572265625,280529,.3022642135620117,332195,.4118309020996094,320214496,-.2295475006103516,matched (3),5713617,.92444021,369528.69,716581.13
201005,300510,604,1385,6212397,05,0,0,0,1,0,0,0,0,0,0,0,2249178,1.297961235046387,87849,.1857357025146484,1578246,-.0161008834838867,1706140,816745,168095,-.2685480117797852,34410,91529,118185,1.717164993286133,1320,12290978,-.0118179321289063,323014,.2025270462036133,53292,304360,.1377944946289063,211000,9294261,10178,.6194877624511719,24603,-.127263069152832,4502,-1.369438171386719,783407,199283,1.352115631103516,107051,-.5482063293457031,8840139,.0301704406738281,3152,-1.305378913879395,611783,-.2465353012084961,1075000,40860740,205147,327259,.3876781463623047,134666,.4305419921875,62126,130487,.1429920196533203,3504,1.860874176025391,1112145,.2444601058959961,631543,13606065,-.4260482788085938,3413932,10316,.9716939926147461,33402980,-.0284442901611328,4753000,430899,.43182373046875,179603,.5336408615112305,437787,-.6677474975585938,8565737,2252986,.0248956680297852,2212832,-.0279979705810547,112009,.2025241851806641,216690,-.258209228515625,380261,.1351356506347656,440891712,.3198089599609375,matched (3),7160902.5,.92444021,350698.44,707054.75
201006,300510,605,1385,6358308,06,0,0,0,0,1,0,0,0,0,0,0,286315,-2.061227798461914,23701,-1.310102462768555,1639423,.038029670715332,1631773,839799,204824,.1976213455200195,15371,121229,8196,-2.668604850769043,37368,11238580,-.0895118713378906,373163,.1443204879760742,61723,776663,.9367961883544922,110000,8321427,28643,1.03468132019043,4321,-1.739380836486816,6755,.4057607650756836,1939288,546719,1.009208679199219,77796,-.3192148208618164,10018108,.1250925064086914,4534,.3635673522949219,706427,.1438426971435547,703000,6702170,178971,400567,.2021293640136719,71052,-.6393852233886719,187512,228958,.5622653961181641,4437,.2360734939575195,1482699,.2875728607177734,1752300,20580564,.4138317108154297,4740914,1554,-1.892863750457764,43885420,.2729377746582031,5758000,542032,.2294511795043945,221583,.2100486755371094,594095,.3053064346313477,9776532,2525332,.1141166687011719,2552682,.1428709030151367,103640,-.0776557922363281,343337,.4602441787719727,313834,-.1919937133789063,402929536,-.0900382995605469,matched (3),4460872,.92444021,630600.56,880110.25
201007,300510,606,1385,6717804,07,0,0,0,0,0,1,0,0,0,0,0,1784809,1.829974174499512,57960,.8942356109619141,1501423,-.0879306793212891,1582553,738201,422477,.7239837646484375,24443,84681,10395,.2376794815063477,35,13996495,.2194538116455078,272176,-.3155670166015625,45783,381251,-.7115488052368164,44000,9352182,20461,-.3363885879516602,22490,1.64958381652832,27211,1.393338203430176,1813941,1061485,.6634893417358398,104832,.2982683181762695,9677380,-.0346031188964844,637,-1.96259069442749,718716,.0172462463378906,1181000,7548780,190212,368079,-.0845842361450195,35307,-.6993312835693359,283059,125892,-.5981149673461914,2135,-.7315115928649902,374606,-1.375743865966797,3520053,23339016,.1257801055908203,3900174,7807,1.614188671112061,62249972,.3495750427246094,4846000,623667,.1402912139892578,104078,-.7556571960449219,523191,-.1270923614501953,9270713,3335647,.2782936096191406,1969105,-.2595653533935547,128982,.21875,447416,.2647762298583984,471219,.406458854675293,631779776,.4497795104980469,matched (3),6527215.5,.92444021,659310.13,900903.38
201008,300510,607,1385,6641680,08,0,0,0,0,0,0,1,0,0,0,0,105034,-2.832782745361328,55873,-.0366716384887695,1839632,.2031526565551758,2023066,953873,420129,-.0055723190307617,94130,77369,44514,1.454478263854981,7956,10500562,-.2873783111572266,436322,.4719314575195313,42960,988310,.9525384902954102,166000,6423646,36199,.5705108642578125,38620,.5406990051269531,278692,2.326486587524414,739473,802801,-.2793169021606445,159637,.4205436706542969,11079982,.1353473663330078,10553,2.807396411895752,669133,-.0714836120605469,383000,5936086,121285,131814,-1.026905059814453,80024,.8182458877563477,42442,96858,-.2621784210205078,3068,.3625588417053223,105033,-1.271600723266602,1686786,26732842,.1357669830322266,4830474,29339,1.323896408081055,49940172,-.2203330993652344,3489000,527445,-.1675710678100586,164587,.4582986831665039,540206,.0320043563842773,8568850,2746574,-.1943120956420898,2512736,.2437934875488281,98872,-.2658472061157227,463030,.0343036651611328,248957,-.6380424499511719,536893952,-.1627407073974609,matched (3),15761581,.92444021,2060700.6,2150214.8
201009,300510,608,1385,5410179,09,0,0,0,0,0,0,0,1,0,0,0,1781484,2.830918312072754,34253,-.4893074035644531,1144442,-.4746484756469727,1505059,777159,201545,-.7345495223999023,35571,131020,14875,-1.096121788024902,4873,10408393,-.0088157653808594,324906,-.2948446273803711,31386,557516,-.572504997253418,88000,6081888,3193,-2.428071022033691,56126,.3738288879394531,17963,-2.741793632507324,505213,482779,-.5085477828979492,189376,.170832633972168,9544404,-.1491832733154297,4682,-.8126850128173828,658719,-.01568603515625,431000,2809478,238302,295099,.8059186935424805,47147,-.5290565490722656,295409,300374,1.131782531738281,621,-1.597449779510498,62958,-.5118064880371094,1623978,20386670,-.2710132598876953,4565160,1227,-3.174345016479492,41688488,-.1805992126464844,3079000,267983,-.6771211624145508,143846,-.1346960067749023,667372,.2113971710205078,9030247,2692137,-.0200185775756836,2278870,-.0976924896240234,97184,-.0172195434570313,369406,-.225895881652832,166140,-.404449462890625,384152768,-.3347606658935547,matched (3),6348756,.92444021,397833.34,731579.38
201010,300510,609,1385,6153983,10,0,0,0,0,0,0,0,0,1,0,0,172298,-2.335976600646973,64605,.6345176696777344,2298524,.6973495483398438,1884289,994121,188278,-.0680932998657227,143993,183288,219931,2.693632125854492,19956,8262554,-.2308788299560547,294079,-.0996875762939453,46244,570513,.0230445861816406,103000,4708450,206873,4.171144485473633,14272,-1.369298934936523,12947,-.3274497985839844,564074,135954,-1.267242431640625,124628,-.4184017181396484,10106509,.0572242736816406,49403,2.356285095214844,610982,-.0752296447753906,1095000,2254656,50571,259979,-.1267099380493164,86059,.6017627716064453,138296,302629,.0074796676635742,1161,.6257057189941406,170044,.9935894012451172,3625926,17620948,-.1457920074462891,4165753,3990,1.179219245910645,66596824,.4684314727783203,5287000,304784,.1286792755126953,66900,-.7655439376831055,690306,.0337867736816406,11731750,3356126,.2204513549804688,2301845,.0100307464599609,70464,-.3215045928955078,427583,.1462516784667969,283026,.5327081680297852,423809376,.0982437133789063,matched (3),9680048,.92444021,421498.13,744713.19
