period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1120c688,growth1120c688,Y1494c826,growth1494c826,Y1507c208,growth1507c208,Y1532c251,growth1532c251,Y1575c251,growth1575c251,Y1583c208,growth1583c208,Y1617c352,growth1617c352,Y1693c348,growth1693c348,Y1729c600,growth1729c600,Y1744c484,growth1744c484,Y1823c616,growth1823c616,Y1828c826,growth1828c826,Y1927c381,Y1993c616,growth1993c616,Y2090c222,growth2090c222,Y2093c826,growth2093c826,Y2659c705,growth2659c705,Y2665c124,growth2665c124,Y2745c251,growth2745c251,Y2871c251,growth2871c251,Y3030c826,growth3030c826,Y3031c616,growth3031c616,Y305c352,growth305c352,Y3119c705,growth3119c705,Y3132c616,growth3132c616,Y3158c372,growth3158c372,Y3173c757,growth3173c757,Y3248c484,growth3248c484,Y3306c757,growth3306c757,Y3439c222,Y3465c826,growth3465c826,Y3540c251,growth3540c251,Y3545c203,Y3842c705,growth3842c705,Y4030c826,growth4030c826,Y4206c36,Y4256c208,growth4256c208,Y4360c752,growth4360c752,Y4414c251,growth4414c251,Y4515c203,Y4630c251,growth4630c251,Y4755c616,growth4755c616,Y4762c251,growth4762c251,Y51c124,growth51c124,Y533c300,growth533c300,Y554c124,growth554c124,Y573c124,growth573c124,Y598c152,growth598c152,Y607c348,growth607c348,Y973c752,growth973c752,_merge,x,r2,s,sf
201001,300640,600,1390,106545,01,0,0,0,0,0,0,0,0,0,0,0,80267,,16978804,,1332671,,796911,,3812933,,9689,,12780,,112589,,217796,,2399268,,1193740,,1173689,,4609859,97991,,118370,,35374832,,67205,,129366,,3920456,,843217,,137538,,37901,,818,,125440,,27598,,542708,,708063,,1599119,,310751,,6847,657854,,3243697,,626116,757507,,1532107,,78768608,997502,,177388,,26447048,,380276,2997743,,9762484,,4498940,,382437,,263092,,328916,,12531052,,31778,,67896,,99389,,matched (3),,.82769138,,
201002,300640,601,1390,208779,02,1,0,0,0,0,0,0,0,0,0,0,137334,.5370578765869141,15539653,-.0885715484619141,1383975,.0377750396728516,1310518,.4974346160888672,2588714,-.387237548828125,93792,2.270088195800781,34233,.9853086471557617,152730,.3049278259277344,246412,.1234464645385742,2653671,.1007804870605469,1018933,-.1583347320556641,1254859,.0668716430664063,2928331,325974,1.20194149017334,228092,.6559333801269531,35454624,.0022525787353516,41887,-.4727725982666016,148632,.1388273239135742,3247503,-.1883220672607422,1115065,.2794437408447266,271527,.6801614761352539,52000,.3162660598754883,20002,3.196724891662598,145073,.1454095840454102,12521,-.7903356552124023,7249538,2.592122077941895,785425,.1036920547485352,1910943,.1781435012817383,665133,.7609949111938477,7209,821304,.2219104766845703,4342124,.2916498184204102,725309,792744,.0454673767089844,1462324,-.0466165542602539,67845392,1011325,.0137624740600586,298154,.5192708969116211,17317264,-.4234390258789063,473244,2982083,-.0052375793457031,10164903,.0403938293457031,4651759,.0334033966064453,338142,-.1230983734130859,390523,.3949832916259766,375013,.1311578750610352,12573019,.0033435821533203,32524,.0232038497924805,148146,.7802209854125977,84692,-.1600208282470703,matched (3),1810148,.82769138,623747.38,637399.81
201003,300640,602,1390,155244,03,0,1,0,0,0,0,0,0,0,0,0,129441,-.0591907501220703,19537136,.2289237976074219,1225577,-.1215486526489258,1063295,-.2090492248535156,3724970,.3638973236083984,69023,-.3066396713256836,19544,-.5605220794677734,43904,-1.246665954589844,250494,.0164299011230469,3770592,.351287841796875,1315832,.2557134628295898,1296571,.0326995849609375,2894612,606121,.6202621459960938,213568,-.0657939910888672,30338354,-.1558418273925781,23156,-.5927219390869141,126039,-.164881706237793,2948548,-.0965738296508789,1059244,-.0513572692871094,84823,-1.163495063781738,86082,.5040559768676758,2395,-2.122448921203613,132179,-.0930805206298828,106063,2.136626243591309,652967,-2.407166481018066,917457,.1553802490234375,3644957,.6457481384277344,275494,-.8814210891723633,124,762802,-.0738945007324219,3735287,-.1505393981933594,804002,845586,.0645294189453125,1483515,.0143871307373047,76971024,1626164,.4749622344970703,250077,-.1758413314819336,20855236,.1858997344970703,759269,2820424,-.0557346343994141,10064342,-.0099411010742188,4921473,.0563631057739258,674341,.6902704238891602,242587,-.4761266708374023,292486,-.2485437393188477,10279020,-.2014484405517578,16844,-.6579837799072266,65965,-.8090734481811523,63627,-.2859830856323242,matched (3),501505.69,.82769138,174507.63,218336.25
201004,300640,603,1390,221994,04,0,0,1,0,0,0,0,0,0,0,0,91782,-.3438091278076172,20291120,.0378646850585938,938177,-.2672281265258789,892081,-.1755714416503906,3904148,.0469808578491211,262523,1.335899353027344,35629,.6004915237426758,316435,1.975111961364746,348332,.3297204971313477,3332592,-.1234807968139648,1647525,.2248048782348633,1461855,.1199836730957031,3409082,841896,.3285770416259766,353003,.5025215148925781,39154280,.2550983428955078,28711,.21502685546875,134482,.0648393630981445,3209482,.0847969055175781,1126072,.0611801147460938,128526,.4155645370483398,113898,.280003547668457,18836,2.062386512756348,164821,.220703125,128084,.1886529922485352,1433054,.786036491394043,787940,-.1521835327148438,1406545,-.9522085189819336,298242,.0793390274047852,16253,864609,.1252784729003906,3815402,.0212211608886719,1152754,1410317,.5115394592285156,2244650,.4141359329223633,0,1354794,-.1825742721557617,350035,.3362636566162109,14195443,-.3846836090087891,614167,3153008,.1114692687988281,10026291,-.0037879943847656,4284538,-.1385955810546875,720047,.0655803680419922,348412,.362025260925293,460727,.4543886184692383,10679948,.0382633209228516,48929,1.066375732421875,78046,.1681737899780273,100343,.4555568695068359,matched (3),344929.66,.82769138,205725,244009.39
201005,300640,604,1390,176477,05,0,0,0,1,0,0,0,0,0,0,0,200436,.7810783386230469,18501600,-.0923252105712891,892742,-.0496406555175781,1246386,.334446907043457,3737712,-.0435657501220703,109023,-.8787803649902344,33015,-.076197624206543,118078,-.9857721328735352,165764,-.7425909042358398,3579382,.0714397430419922,984108,-.515294075012207,1263327,-.1459579467773438,5337050,1231981,.3807220458984375,158560,-.8003435134887695,37458756,-.0442695617675781,17788,-.4787559509277344,138117,.0266704559326172,2796229,-.1378374099731445,683362,-.4994659423828125,71384,-.5880575180053711,90047,-.2349720001220703,14254,-.2787322998046875,112088,-.3855752944946289,20948,-1.810643196105957,343983,-1.426971435546875,521187,-.4133129119873047,1188242,-.1686611175537109,324126,.0832271575927734,5599,847556,-.0199203491210938,2883814,-.2799320220947266,820868,1104269,-.2446308135986328,2010149,-.1103410720825195,0,1296847,-.0437135696411133,299151,-.1570844650268555,14704358,.0352230072021484,505077,2424954,-.2625436782836914,8051886,-.2193050384521484,4179744,-.0247621536254883,420269,-.538421630859375,148571,-.8523225784301758,367066,-.2272634506225586,10234202,-.042633056640625,27716,-.5683603286743164,19642,-1.37962818145752,83843,-.1796483993530273,matched (3),133252.66,.82769138,144559.03,195230.94
201006,300640,605,1390,187539,06,0,0,0,0,1,0,0,0,0,0,0,140914,-.3523454666137695,18634138,.0071372985839844,940215,.0518112182617188,1479891,.1717195510864258,4188134,.1137809753417969,117676,.0763769149780273,16408,-.699193000793457,61499,-.6523246765136719,404130,.8911714553833008,3609656,.0084218978881836,1158637,.163264274597168,2057202,.4875984191894531,12259737,2233118,.5947761535644531,62588,-.9295597076416016,40719688,.0834712982177734,46779,.9669103622436523,100780,-.3151617050170898,4110582,.3852930068969727,760026,.106328010559082,432229,1.800882339477539,68421,-.2746515274047852,3247,-1.479306221008301,152498,.3078670501708984,47779,.8245429992675781,592771,.5442161560058594,622181,.1771221160888672,2287972,.6551904678344727,180613,-.5847759246826172,6902,1166193,.3191432952880859,3931870,.3100013732910156,897478,1154425,.0444192886352539,2116894,.0517406463623047,0,1016876,-.2432003021240234,578763,.6599445343017578,16453559,.1123981475830078,513882,3172747,.2687845230102539,9397001,.1544837951660156,4588478,.0932979583740234,430613,.0243148803710938,204506,.3195343017578125,515103,.3388252258300781,11334605,.1021251678466797,22727,-.198455810546875,42151,.7635879516601563,88270,.0514545440673828,matched (3),64020.773,.82769138,160161.36,207049.42
201007,300640,606,1390,198839,07,0,0,0,0,0,1,0,0,0,0,0,166178,.1649103164672852,21885032,.1608085632324219,1150932,.2022180557250977,741378,-.6912126541137695,4209931,.0051908493041992,146093,.2163076400756836,29251,.5781450271606445,220846,1.278444290161133,546656,.3020830154418945,5133790,.3522319793701172,1330172,.1380634307861328,2478319,.1862335205078125,18558100,2868195,.2502832412719727,222253,1.267243385314941,42810520,.0500717163085938,47287,.0108003616333008,157884,.4489212036132813,3883129,-.0569238662719727,631908,-.1846094131469727,147000,-1.078523635864258,60466,-.1235990524291992,13260,1.407020568847656,94262,-.4810733795166016,63175,.279322624206543,2253758,1.335546493530273,636875,.0233421325683594,1709760,-.2913122177124023,221623,.2046213150024414,2047,1010308,-.1434898376464844,3586176,-.0920286178588867,741212,1209706,.0467748641967773,2735749,.2564554214477539,82821504,940731,-.0778331756591797,168391,-1.234603881835938,21750580,.2790985107421875,552657,3026248,-.0472736358642578,11930354,.2386951446533203,4766371,.0380373001098633,537716,.2221202850341797,294946,.3661947250366211,290353,-.5732698440551758,11901563,.0488109588623047,28970,.2427072525024414,74995,.5761632919311523,78944,-.1116619110107422,matched (3),1158946.8,.82769138,240969.45,274379.44
201008,300640,607,1390,139218,08,0,0,0,0,0,0,1,0,0,0,0,88959,-.6248836517333984,20485160,-.0661029815673828,1069830,-.0730724334716797,1071969,.3687419891357422,3923834,-.0703763961791992,46806,-1.13823127746582,11360,-.9458160400390625,35488,-1.82827091217041,193485,-1.038619041442871,5111529,-.0043458938598633,1248738,-.0631742477416992,2455646,-.009190559387207,11611698,2371497,-.1901607513427734,91264,-.8900604248046875,44794860,.0453090667724609,13627,-1.244181632995606,140085,-.1196117401123047,3269675,-.1719503402709961,766011,.1924533843994141,191232,.2630548477172852,46200,-.2691011428833008,13936,.0497236251831055,128196,.3074817657470703,43776,-.3668231964111328,435398,-1.644094467163086,374545,-.5308609008789063,1110794,-.4312782287597656,152774,-.3720178604125977,1233,616441,-.4940481185913086,1937986,-.6154375076293945,645162,850981,-.3517427444458008,3086358,.1205863952636719,82213728,784509,-.1815996170043945,115229,-.3793678283691406,14599674,-.3986415863037109,321711,2585468,-.1574172973632813,9943358,-.1821804046630859,3390292,-.3406696319580078,377724,-.3531665802001953,206005,-.358891487121582,321463,.1017847061157227,12692061,.0643062591552734,7790,-1.313420295715332,479492,1.855305671691895,137891,.5577249526977539,matched (3),401858.5,.82769138,186760.45,228248.27
201009,300640,608,1390,139292,09,0,0,0,0,0,0,0,1,0,0,0,143336,.477015495300293,18354604,-.1098194122314453,953002,-.1156377792358398,1085156,.0122261047363281,4264146,.0831727981567383,6793,-1.930119514465332,13157,.146855354309082,349361,2.286911010742188,377896,.6694183349609375,4130621,-.2130708694458008,1404792,.1177558898925781,1356413,-.5935459136962891,11789756,2022767,-.1590557098388672,274900,1.10265064239502,48657400,.0827102661132813,49032,1.28041934967041,97390,-.363525390625,3656831,.1119060516357422,1059066,.3239459991455078,72896,-.9644536972045898,81185,.5637502670288086,21821,.4483976364135742,177150,.3234367370605469,52658,.1847324371337891,1015370,.8467483520507813,720511,.6542482376098633,1580510,.3526725769042969,214672,.3401517868041992,1607,705928,.1355514526367188,3906071,.7008829116821289,1037423,1262324,.3943195343017578,3177752,.0291824340820313,75208992,1000530,.2432270050048828,495966,1.459586143493652,16618497,.1295166015625,590493,2970407,.1387920379638672,10335851,.0387134552001953,4988752,.3862695693969727,420721,.1078062057495117,310419,.4100227355957031,402054,.2237043380737305,13626969,.0710735321044922,58517,2.016476631164551,536816,.1129283905029297,195512,.3491582870483398,matched (3),562088.38,.82769138,152258.33,200998.5
201010,300640,609,1390,164117,10,0,0,0,0,0,0,0,0,1,0,0,234640,.4928607940673828,22209310,.1906299591064453,1047292,.0943460464477539,1488077,.3157615661621094,5095363,.1780891418457031,345243,3.928356170654297,42640,1.175839424133301,503558,.3655939102172852,307262,-.2069177627563477,2950910,-.3363142013549805,1710109,.1966676712036133,1965522,.3709135055541992,7920609,2562009,.2363252639770508,183717,-.403010368347168,45782848,-.0608940124511719,79427,.482365608215332,124786,.2478771209716797,5193392,.3507900238037109,785403,-.298945426940918,382167,1.656824111938477,87996,.080561637878418,61180,1.030947685241699,182028,.0271635055541992,48876,-.0745315551757813,719049,-.3450794219970703,818191,.1271352767944336,2524481,.468287467956543,326389,.4189786911010742,5210,600601,-.1615829467773438,3482394,-.114811897277832,1212082,1614734,.2462158203125,2623462,-.1916790008544922,79877168,1006476,.005925178527832,311307,-.4657278060913086,26302144,.4591350555419922,1175783,3214668,.0790252685546875,9783655,-.0549049377441406,5329736,.0661163330078125,231535,-.5972385406494141,481364,.4387006759643555,310998,-.2567996978759766,12457516,-.0897254943847656,4662,-2.529872894287109,528558,-.0155029296875,130104,-.40728759765625,matched (3),245363.84,.82769138,219109.95,255395.72
