period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1046c642,Y1107c484,Y1150c616,growth1150c616,Y1192c484,growth1192c484,Y1203c208,growth1203c208,Y1233c792,growth1233c792,Y1490c218,Y1496c826,growth1496c826,Y1525c600,growth1525c600,Y1603c703,growth1603c703,Y1731c124,growth1731c124,Y1751c372,growth1751c372,Y1789c124,growth1789c124,Y2135c124,growth2135c124,Y2299c246,growth2299c246,Y2378c381,Y2545c757,growth2545c757,Y2739c428,growth2739c428,Y2754c124,growth2754c124,Y2755c208,growth2755c208,Y2830c152,growth2830c152,Y3060c616,growth3060c616,Y3145c757,growth3145c757,Y3276c300,growth3276c300,Y3370c124,growth3370c124,Y3370c348,growth3370c348,Y3412c620,growth3412c620,Y3423c616,growth3423c616,Y3482c440,growth3482c440,Y3520c440,growth3520c440,Y3749c300,growth3749c300,Y3755c372,growth3755c372,Y3770c484,growth3770c484,Y3917c218,Y3955c600,growth3955c600,Y4256c372,growth4256c372,Y4279c251,growth4279c251,Y4493c191,growth4493c191,Y4604c208,growth4604c208,Y4611c826,growth4611c826,Y4755c152,growth4755c152,Y4845c826,growth4845c826,Y495c222,growth495c222,Y4990c381,Y576c152,growth576c152,Y581c246,growth581c246,Y679c792,growth679c792,Y821c372,growth821c372,Y868c608,Y954c826,growth954c826,_merge,x,r2,s,sf
201001,400912,600,1809,1471198,01,0,0,0,0,0,0,0,0,0,0,0,166943,183175,78127,,1134844,,55024,,62091,,251045,5885145,,193515,,209581,,19674836,,901452,,699413,,507741,,57379,,1388266,12914,,8405,,5250328,,2262962,,7748084,,322469,,1273893,,285125,,10109016,,1686091,,3771427,,2529622,,33292,,121840,,197608,,754824,,948121,,181744,502565,,578719,,19653452,,61168,,12724709,,29308048,,4264914,,1788736,,5061295,,836210,2992407,,989711,,105149,,19450,,933567,556477,,matched (3),,.78198528,,
201002,400912,601,1809,702336,02,1,0,0,0,0,0,0,0,0,0,0,165539,206617,66341,-.1635274887084961,290369,-1.36309814453125,72239,.2722110748291016,167624,.9931230545043945,207259,5735602,-.0257387161254883,240944,.2192096710205078,104726,-.6937627792358398,18105476,-.0831260681152344,784359,-.1391401290893555,667926,-.0460634231567383,454229,-.1113700866699219,42503,-.3001041412353516,1721882,42722,1.196401596069336,4251,-.6816720962524414,5085971,-.031804084777832,2098241,-.0755748748779297,7277957,-.0625953674316406,287398,-.1151390075683594,300995,-1.442739486694336,163281,-.5574550628662109,9878332,-.0230846405029297,4130469,.8959789276123047,3110566,-.1926488876342773,1338790,-.6363039016723633,61841,.6192493438720703,1921,-4.149862289428711,133614,-.3913297653198242,615554,-.2039613723754883,1180498,.2192096710205078,127703,757883,.4108037948608398,433569,-.2887659072875977,8524525,-.8353061676025391,41668,-.3838911056518555,9960843,-.2448844909667969,28101956,-.042022705078125,3174722,-.2952022552490234,1404702,-.2416839599609375,4948832,-.0224704742431641,912962,2201406,-.3069820404052734,1305250,.2767372131347656,76012,-.3244867324829102,10421,-.6240243911743164,532163,392280,-.3496503829956055,matched (3),1571444.8,.78198528,249901.92,341092.78
201003,400912,602,1809,1377865,03,0,1,0,0,0,0,0,0,0,0,0,238653,235419,101306,.4233369827270508,812995,1.029572486877441,119384,.5023651123046875,317466,.6386470794677734,333958,5893566,.0271682739257813,426789,.5717248916625977,123598,.1656866073608398,22865144,.2333984375,947611,.1890773773193359,624559,-.0671319961547852,668942,.3870964050292969,42558,.0012931823730469,1815618,47201,.0997018814086914,4777,.1166582107543945,3979505,-.2453289031982422,2119426,.0100460052490234,8590727,.1658334732055664,395150,.3183975219726563,362624,.1862726211547852,765100,1.544533729553223,11464603,.1489200592041016,5025116,.1960573196411133,5593945,.5868797302246094,1993219,.397984504699707,72449,.1583166122436523,55451,3.362653732299805,232896,.5556364059448242,865222,.3404626846313477,1532590,.2610225677490234,299050,1418938,.6271352767944336,552242,.2419357299804688,31157120,1.29609489440918,64514,.4371490478515625,12734662,.24566650390625,33585956,.1782684326171875,4632434,.3778619766235352,1296771,-.0799474716186523,5531130,.1112403869628906,1023822,1647966,-.2895545959472656,1451431,.1061553955078125,220058,1.062999725341797,26158,.9203319549560547,912501,502893,.2484016418457031,matched (3),2757786.3,.78198528,273044.5,358394.5
201004,400912,603,1809,670126,04,0,0,1,0,0,0,0,0,0,0,0,0,204449,79709,-.2397632598876953,693194,-.1594152450561523,60214,-.6844406127929688,163032,-.6664247512817383,161772,5873216,-.0034589767456055,197571,-.7701911926269531,102462,-.1875419616699219,21832076,-.0462322235107422,826437,-.1368207931518555,736252,.1645269393920898,507997,-.2752218246459961,25542,-.5105428695678711,1709616,42571,-.1032419204711914,9513,.6888465881347656,3808319,-.0439691543579102,1664030,-.2419033050537109,3858938,-.8002920150756836,277271,-.3542699813842773,259646,-.3340473175048828,1105277,.3678445816040039,12880318,.1164360046386719,3930239,-.2457485198974609,3911128,-.3578586578369141,1624517,-.2045402526855469,89971,.2166042327880859,13014,-1.449474334716797,217473,-.068516731262207,521098,-.5070476531982422,1304376,-.1612348556518555,164113,367980,-1.349636077880859,497915,-.1035566329956055,10059087,-1.130565643310547,28803,-.8064022064208984,12745950,.000885009765625,29556336,-.1278095245361328,4317623,-.0703773498535156,1156749,-.1142635345458984,4861734,-.1289968490600586,913775,2346912,.3535585403442383,1014105,-.3585433959960938,332195,.4118309020996094,13460,-.6644325256347656,758610,541550,.0740575790405273,matched (3),1882200.9,.78198528,255214.19,345003.75
201005,400912,604,1809,920778,05,0,0,0,1,0,0,0,0,0,0,0,102831,292186,141500,.5739173889160156,1097388,.4593782424926758,67164,.1092329025268555,267357,.4946384429931641,334204,5129278,-.13543701171875,116293,-.5299854278564453,181902,.5739755630493164,22890756,.0473518371582031,955445,.1450538635253906,655014,-.1169157028198242,624235,.2060508728027344,48728,.6459293365478516,1405443,69322,.4875888824462891,11174,.1609306335449219,5753565,.4126319885253906,2115907,.2402410507202148,5607002,.3736248016357422,348720,.229273796081543,264858,.0198745727539063,823091,-.2947845458984375,12569958,-.0243892669677734,4570775,.1509828567504883,2925830,-.290247917175293,1444664,-.1173334121704102,23361,-1.348419189453125,53509,1.413824081420898,212960,-.020970344543457,721306,.3251256942749023,1360170,.0418853759765625,184104,754918,.7185811996459961,498650,.0014743804931641,24052074,.8717441558837891,27581,-.0433530807495117,13240994,.0381050109863281,31955956,.0780601501464844,4499370,.0412321090698242,1317908,.13043212890625,5212526,.0696687698364258,910124,1507574,-.4425983428955078,1078500,.0615644454956055,380261,.1351356506347656,18935,.3412895202636719,1100896,461322,-.1603384017944336,matched (3),1710447,.78198528,183016.02,295614.91
201006,400912,605,1809,621318,06,0,0,0,0,1,0,0,0,0,0,0,190492,152347,17432,-2.093992233276367,1990813,.5956106185913086,35742,-.6308107376098633,322957,.188934326171875,262714,5040873,-.0173854827880859,93625,-.2168149948120117,152393,-.1770048141479492,22388432,-.0221881866455078,1267163,.2823581695556641,527143,-.2171850204467773,655611,.0490407943725586,21753,-.8065023422241211,1141315,54355,-.2432260513305664,5870,-.6437358856201172,6021338,.0454893112182617,2059069,-.0272293090820313,6809327,.1942768096923828,454519,.2649698257446289,321212,.1929073333740234,1296492,.454350471496582,15548433,.2126502990722656,4142492,-.0983858108520508,3272741,.1120500564575195,1455196,.00726318359375,23596,.0100088119506836,3280,-2.79200553894043,144044,-.3909854888916016,886222,.2059040069580078,1258315,-.0778360366821289,291942,2477895,1.188555717468262,389034,-.2482376098632813,11236684,-.7610378265380859,29602,.0707149505615234,15641238,.1665935516357422,32032212,.0023841857910156,3789208,-.1717796325683594,1795664,.3093290328979492,4533328,-.1396074295043945,1147382,1450975,-.0382661819458008,1070489,-.0074558258056641,313834,-.1919937133789063,23663,.222900390625,852193,375442,-.2059926986694336,matched (3),2109904.5,.78198528,220769.55,320363.09
201007,400912,606,1809,756533,07,0,0,0,0,0,1,0,0,0,0,0,201321,208915,82036,1.548851013183594,1015523,-.6731395721435547,39459,.0989351272583008,135947,-.8652534484863281,362612,7100565,.342595100402832,211646,.815617561340332,156737,.0281057357788086,20572414,-.0845928192138672,794855,-.4663763046264648,767352,.3754739761352539,772234,.1637201309204102,10938,-.6875085830688477,1188475,61471,.1230287551879883,8611,.3831863403320313,6220365,.0325193405151367,1896272,-.0823640823364258,10043300,.3886117935180664,510860,.116856575012207,473535,.3881244659423828,1885692,.3746328353881836,11799062,-.27593994140625,4582544,.100956916809082,3699120,.122467041015625,1411314,-.0306196212768555,61031,.9503049850463867,54628,2.812703132629395,185718,.2541103363037109,778321,-.1298284530639648,1382325,.0939931869506836,325301,1812968,-.3124446868896484,553428,.3524646759033203,70448336,1.835697174072266,113166,1.341013908386231,13763438,-.1278953552246094,32123156,.0028343200683594,5093979,.2959022521972656,1841326,.025111198425293,5039196,.1057901382446289,1315375,2477774,.5351247787475586,968996,-.0996103286743164,471219,.406458854675293,22142,-.0664358139038086,912737,582648,.439478874206543,matched (3),1733539.1,.78198528,330113.81,403569.63
201008,400912,607,1809,557785,08,0,0,0,0,0,0,1,0,0,0,0,120463,203294,95158,.1483802795410156,987928,-.0275497436523438,25949,-.4191293716430664,147681,.082789421081543,423785,6608082,-.0718812942504883,213380,.0081596374511719,118606,-.2787618637084961,21605272,.0489864349365234,757590,-.0480165481567383,603003,-.2410240173339844,985777,.2441425323486328,4383,-.9145097732543945,869896,24154,-.9341154098510742,4604,-.6261148452758789,7535918,.1918516159057617,2451186,.2566823959350586,12938209,.2532806396484375,338842,-.4105625152587891,900638,.6428775787353516,663956,-1.043833732604981,16692954,.3469657897949219,1543894,-1.087945938110352,2496186,-.3933315277099609,2129927,.4115667343139648,140538,.8340959548950195,535,-4.626035690307617,154326,-.1851625442504883,867833,.1088600158691406,1306680,-.0562772750854492,141302,1658979,-.0887632369995117,227914,-.8871631622314453,28129622,-.9180564880371094,14417,-2.060447692871094,15287491,.1050186157226563,29339676,-.09063720703125,4555670,-.1116867065429688,1794204,-.0259246826171875,4255438,-.1690492630004883,789549,1801190,-.3189125061035156,1160154,.1800479888916016,248957,-.6380424499511719,21587,-.0253849029541016,861809,506420,-.1402168273925781,matched (3),1399861.3,.78198528,202253.28,307895.59
201009,400912,608,1809,419340,09,0,0,0,0,0,0,0,1,0,0,0,88623,254057,46883,-.7078838348388672,2765110,1.029226303100586,46716,.5879535675048828,325907,.7915573120117188,386867,6406706,-.0309486389160156,136695,-.4453229904174805,178419,.4083280563354492,22421360,.0370750427246094,1064864,.3404598236083984,834205,.3245573043823242,642670,-.4277992248535156,16087,1.300278663635254,1396993,89221,1.306666374206543,2341,-.6763472557067871,6839147,-.0970172882080078,2348616,-.0427465438842773,12084803,-.0682373046875,323386,-.046687126159668,417203,-.7695302963256836,310960,-.7585515975952148,15462075,-.0765953063964844,4388231,1.044617652893066,5005876,.6958484649658203,1749667,-.1966619491577148,75064,-.6271371841430664,7652,2.660455703735352,275472,.5794191360473633,717602,-.1900844573974609,1199571,-.0855255126953125,157008,1394298,-.1738109588623047,600430,.9686784744262695,7696487,-1.296059608459473,137504,2.255245208740234,15000224,-.0189704895019531,34816456,.1711502075195313,4286745,-.0608453750610352,1590610,-.1204442977905273,5443466,.2462186813354492,1158092,2758329,.4261770248413086,893190,-.2615089416503906,166140,-.404449462890625,5893,-1.29832649230957,582822,534728,.0543918609619141,matched (3),1934143.1,.78198528,239494.78,333543.19
201010,400912,609,1809,752020,10,0,0,0,0,0,0,0,0,1,0,0,94986,307023,57117,.1974468231201172,1055374,-.9631853103637695,75544,.4806289672851563,96962,-1.212292671203613,489011,5975766,-.0696325302124023,233310,.5346164703369141,166472,-.0693082809448242,21112398,-.0601520538330078,1122937,.0531005859375,1067017,.2461433410644531,606694,-.0576066970825195,29225,.5970125198364258,1358362,88707,-.0057773590087891,12893,1.706105709075928,7654358,.1126117706298828,2655925,.1229667663574219,12305619,.0181083679199219,608605,.6323232650756836,955811,.8289871215820313,366283,.1637420654296875,16015925,.0351924896240234,5265309,.1822137832641602,3801781,-.2751426696777344,2388908,.3114109039306641,94820,.2336397171020508,91166,2.477714538574219,342783,.2186117172241211,860488,.181584358215332,1556912,.2607402801513672,361719,1337497,-.041590690612793,717833,.1785907745361328,45815936,1.783867835998535,140583,.0221452713012695,15416442,.0273704528808594,32947036,-.0551891326904297,5333261,.2184352874755859,1828136,.1391792297363281,5187454,-.0481729507446289,1543915,2329245,-.1690807342529297,1054532,.1660528182983398,283026,.5327081680297852,42112,1.966567993164063,715835,385044,-.3284006118774414,matched (3),2690499.5,.78198528,316188.28,392260.56
