period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1064c376,Y1246c372,growth1246c372,Y1257c152,growth1257c152,Y1266c705,growth1266c705,Y1421c620,growth1421c620,Y1511c124,growth1511c124,Y1640c124,growth1640c124,Y2154c208,growth2154c208,Y2208c300,growth2208c300,Y256c352,growth256c352,Y260c428,growth260c428,Y2797c124,growth2797c124,Y2832c68,growth2832c68,Y3083c344,Y3204c703,growth3204c703,Y3414c818,Y3422c152,growth3422c152,Y3429c352,growth3429c352,Y3545c124,growth3545c124,Y3612c246,Y3730c152,growth3730c152,Y3826c600,growth3826c600,Y3832c688,growth3832c688,Y3834c484,growth3834c484,Y3862c752,growth3862c752,Y3865c792,growth3865c792,Y3912c600,growth3912c600,Y3915c191,growth3915c191,Y3928c372,growth3928c372,Y4026c428,Y409c268,growth409c268,Y4144c152,Y4152c203,Y4392c586,growth4392c586,Y4405c372,growth4405c372,Y4431c372,growth4431c372,Y4490c124,growth4490c124,Y4536c268,Y4570c300,Y4739c152,growth4739c152,Y4757c300,growth4757c300,Y4805c705,growth4805c705,Y4818c376,Y4851c428,growth4851c428,Y4851c498,Y5021c124,growth5021c124,Y5029c428,growth5029c428,Y664c124,growth664c124,Y959c586,growth959c586,Y966c807,growth966c807,_merge,x,r2,s,sf
201001,400942,600,1815,1268916,01,0,0,0,0,0,0,0,0,0,0,0,0,12385202,,1233327,,114709,,43556,,1136108,,51520616,,6635,,210594,,3238,,98458,,437687,,3904,,448036,68395,,7792146,376082,,1143229,,369069,,92640,53598,,118365,,51827,,1189313,,702545,,1490799,,142355,,50128,,72543,,24597,1397,,517672,110477,8432068,,1398868,,1405768,,4974208,,0,56922,2233851,,4576739,,86840,,990000,12223,,1585,1806640,,54390,,356482,,387259,,360,,matched (3),,.86756533,,
201002,400942,601,1815,910727,02,1,0,0,0,0,0,0,0,0,0,0,739000,4437571,-1.026394844055176,841333,-.3824825286865234,103114,-.1065635681152344,26398,-.5007591247558594,770051,-.3889074325561523,44372452,-.1493625640869141,3380,-.6744823455810547,118506,-.5749683380126953,3946,.1977462768554688,121606,.2111568450927734,441898,.0095748901367188,8601,.7898769378662109,6705,76865,.1167507171630859,5575662,315616,-.1752805709838867,474817,-.8786830902099609,240724,-.427332878112793,28149,13505,-1.378451347351074,79604,-.3967084884643555,183477,1.264178276062012,608659,-.6698732376098633,385281,-.6007356643676758,321875,-1.532904624938965,49987,-1.046561241149902,135456,.9940671920776367,93992,.2590303421020508,54334,9331,1.899014472961426,11326,460354,8037315,-.0479469299316406,1048826,-.2879915237426758,1569056,.1098899841308594,3246339,-.4267387390136719,175912,67710,1993652,-.1137590408325195,2575372,-.5749931335449219,63477,-.313389778137207,1079000,8848,-.3231277465820313,925,1277570,-.3465089797973633,24249,-.807805061340332,268746,-.2825174331665039,303917,-.2423391342163086,26792,4.309754848480225,matched (3),442461.34,.86756533,315348.28,444011.75
201003,400942,602,1815,832192,03,0,1,0,0,0,0,0,0,0,0,0,363000,5086082,.1364011764526367,1218216,.3701553344726563,55793,-.6141872406005859,45787,.5507116317749023,1233853,.471440315246582,63012912,.3507213592529297,1645,-.7201356887817383,126234,.0631732940673828,5333,.3012113571166992,81320,-.4023942947387695,378175,-.1557226181030273,17279,.6976127624511719,6615,76390,-.0061979293823242,4058035,390960,.2140789031982422,1284916,.9955196380615234,422241,.5619258880615234,16828,4181,-1.172510147094727,150470,.6366996765136719,136845,-.2932405471801758,602232,-.010615348815918,372954,-.0325183868408203,226915,-.3495874404907227,25725,-.6642999649047852,78585,-.5444660186767578,84364,-.1080684661865234,79,20450,.7846412658691406,270354,53025,4332117,-.6180391311645508,733212,-.3579921722412109,1061434,-.3908529281616211,3460868,.0639915466308594,1442,36768,1527237,-.2665081024169922,2511627,-.0250625610351563,18320,-1.242684364318848,1120000,7813,-.1244029998779297,443,1491286,.1546783447265625,4682,-1.644649505615234,194532,-.3231697082519531,440766,.3717594146728516,12341,-.775177001953125,matched (3),285250.75,.86756533,343098.06,464131.66
201004,400942,603,1815,1032276,04,0,0,1,0,0,0,0,0,0,0,0,909000,5264965,.0345668792724609,1507827,.2132816314697266,135383,.8864593505859375,106686,.8458900451660156,862329,-.3582601547241211,56361640,-.1115512847900391,1958,.1741833686828613,69827,-.5921163558959961,4880,-.0887680053710938,92602,.129918098449707,298318,-.2371969223022461,6680,-.950373649597168,8157,34780,-.7868099212646484,1495916,589646,.4109163284301758,327568,-1.366753578186035,284439,-.3950576782226563,33063,18735,1.499843597412109,40980,-1.300680160522461,208280,.4200344085693359,464515,-.2596492767333984,1071007,1.054899215698242,1248302,1.704963684082031,48995,.6442556381225586,26007,-1.105814933776856,79746,-.0562944412231445,84643,19827,-.0309381484985352,908298,231377,9332418,.7674388885498047,942598,.2512054443359375,2218883,.7373828887939453,3112447,-.106109619140625,609122,123954,994335,-.4291410446166992,1773021,-.3482465744018555,28076,.4269218444824219,1002000,4896,-.4673700332641602,2522,2547083,.5353107452392578,21417,1.520459175109863,72698,-.984283447265625,540914,.2047462463378906,15527,.2296533584594727,matched (3),571617.88,.86756533,390623.97,500288.91
201005,400942,604,1815,1079088,05,0,0,0,1,0,0,0,0,0,0,0,1033000,5077981,-.0361614227294922,1843090,.2007741928100586,83875,-.4787797927856445,28568,-1.31760311126709,962625,.1100273132324219,54587600,-.031982421875,13425,1.925195217132568,92609,.2823657989501953,5794,.1716775894165039,94509,.0203847885131836,397369,.2867059707641602,5099,-.2700738906860352,31197,175107,1.616354942321777,2364983,227911,-.950566291809082,930851,1.044404029846191,362837,.2434349060058594,21337,70278,1.322065353393555,66505,.4841928482055664,91502,-.8225221633911133,637750,.3169527053833008,2922696,1.003907203674316,1914563,.4277057647705078,75069,.4266891479492188,68733,.97186279296875,110304,.3243932723999023,27931,19605,-.0112600326538086,76230,314259,18590336,.6891460418701172,1150298,.1991367340087891,3437552,.4377555847167969,3057646,-.0177640914916992,155794,17394,1367117,.318385124206543,2133841,.1852388381958008,27754,-.0115346908569336,1461000,6619,.3015260696411133,1347,2041517,-.2212562561035156,20800,-.0292320251464844,225198,1.130666732788086,360514,-.4057292938232422,21407,.3211383819580078,matched (3),566499.19,.86756533,362171.44,478403.66
201006,400942,605,1815,823922,06,0,0,0,0,1,0,0,0,0,0,0,1172000,738866,-1.927552223205566,1071090,-.5427665710449219,70841,-.1688899993896484,22849,-.2233791351318359,1072084,.1076955795288086,136474064,.9163284301757813,13062,-.0274114608764648,71412,-.2599210739135742,5498,-.0524387359619141,80502,-.1604127883911133,544698,.3153657913208008,5019,-.0158138275146484,22175,200001,.1329250335693359,2216822,400481,.5637102127075195,495306,-.6309232711791992,286650,-.235692024230957,106714,22072,-1.158149719238281,62036,-.0695619583129883,7195,-2.542974472045898,601263,-.0589141845703125,380080,-2.03987979888916,7743164,1.397320747375488,77677,.0341520309448242,56555,-.1950149536132813,45351,-.8888082504272461,177736,15933,-.207392692565918,68239,151222,21893668,.1635570526123047,1038010,-.1027164459228516,2114303,-.4860343933105469,3135345,.0250940322875977,518273,16248,1111769,-.206751823425293,3706076,.5520505905151367,8054,-1.237211227416992,1630000,12628,.6459722518920898,425,1729531,-.1658430099487305,26581,.245244026184082,71792,-1.143207550048828,78464,-1.524890899658203,16772,-.2440071105957031,matched (3),1627692.6,.86756533,312883.78,442264.81
201007,400942,606,1815,685481,07,0,0,0,0,0,1,0,0,0,0,0,639000,318187,-.8424768447875977,1495470,.3337631225585938,107287,.415069580078125,191816,2.127628326416016,995724,-.0738897323608398,55097928,-.9070224761962891,141,-4.528702735900879,284864,1.383545875549316,4492,-.2020864486694336,72302,-.1074304580688477,501671,-.0822868347167969,27861,1.713997840881348,6842,76439,-.9618291854858398,2678150,537618,.2944822311401367,332255,-.3992729187011719,204338,-.3384866714477539,14222,21019,-.0488824844360352,69465,.1131086349487305,32693,1.513774871826172,612463,.0184564590454102,371590,-.0225906372070313,586145,-2.580998420715332,30270,-.9424028396606445,45195,-.2242279052734375,46961,.0348854064941406,89140,15772,-.0101556777954102,345715,43714,18567916,-.1647624969482422,860361,-.1877079010009766,2702796,.2455615997314453,1821354,-.5431594848632813,137574,14887,2556398,.832646369934082,2004197,-.6147308349609375,71732,2.186768531799316,1413000,13548,.0703220367431641,2945,1664137,-.0385427474975586,7301,-1.292185783386231,107618,.4048147201538086,15240,-1.638716697692871,357,-3.849730968475342,matched (3),773897.5,.86756533,168941.94,355307.31
201008,400942,607,1815,1198113,08,0,0,0,0,0,0,1,0,0,0,0,1407000,346083,.0840387344360352,2153934,.3648557662963867,92473,-.148590087890625,234660,.2016019821166992,1003600,.0078792572021484,52997432,-.0388698577880859,1740,2.512880325317383,47721,-1.786640167236328,5115,.1298789978027344,90706,.226771354675293,666781,.2845172882080078,42053,.4117021560668945,2267,226797,1.087562561035156,3675059,764343,.3518686294555664,514240,.4367866516113281,324115,.4613227844238281,69442,73003,1.245073318481445,69391,-.0010662078857422,97975,1.097551345825195,1086227,.5729770660400391,448348,.1877784729003906,189736,-1.127933502197266,120946,1.385187149047852,33438,-.3012933731079102,65434,.3317251205444336,23238,17108,.0813093185424805,5238,1337980,14637729,-.2378330230712891,1073279,.2211208343505859,2704435,.0006065368652344,1834795,.0073528289794922,391015,59232,2514007,-.0167207717895508,825888,-.8865394592285156,4287,-2.817350387573242,2550000,8179,-.504669189453125,1102,1158048,-.3625717163085938,38032,1.650417327880859,205215,.6454706192016602,199199,2.570381164550781,14750,3.721262454986572,matched (3),1393740,.86756533,321967.91,448737.38
201009,400942,608,1815,1882431,09,0,0,0,0,0,0,0,1,0,0,0,1672000,1277608,1.306066513061523,1662342,-.259068489074707,173756,.6307353973388672,181551,-.2566013336181641,975471,-.0284280776977539,53593700,.0111885070800781,6226,1.274848937988281,99490,.7346858978271484,4710,-.082489013671875,85242,-.062129020690918,495383,-.2971305847167969,81497,.6616363525390625,21328,258431,.1305732727050781,1942967,819840,.0700922012329102,571592,.1057357788085938,236565,-.3148746490478516,114249,13017,-1.724244117736816,101150,.3768472671508789,172069,.5631828308105469,883846,-.2061824798583984,707307,.4558954238891602,5494879,3.365938186645508,198031,.4930791854858398,129040,1.350429534912109,75040,.1369791030883789,246860,2435,-1.949599266052246,228704,1435768,8744743,-.5151500701904297,1319417,.2064723968505859,2789944,.0311279296875,2130311,.1493349075317383,418196,24350,1423210,-.5689630508422852,1925456,.8464593887329102,42141,2.285433769226074,1566000,4597,-.5761661529541016,1979,1685614,.3753948211669922,112123,1.081168174743652,245074,.1775016784667969,920026,1.530097007751465,4094,-1.281720161437988,matched (3),1592054.9,.86756533,161827.27,351980.06
201010,400942,609,1815,1609778,10,0,0,0,0,0,0,0,0,1,0,0,175000,352307,-1.288242340087891,1362650,-.198796272277832,156214,-.1064252853393555,160084,-.1258382797241211,922680,-.055638313293457,51342120,-.0429191589355469,8769,.3424882888793945,43303,-.8318357467651367,3636,-.2588033676147461,87224,.0229854583740234,532990,.0731716156005859,28930,-1.035687446594238,9792,229606,-.1182641983032227,5349731,788215,-.0393381118774414,364335,-.4503517150878906,277759,.1605300903320313,19553,33189,.9359626770019531,43298,-.8484983444213867,253411,.3871173858642578,1438281,.4869203567504883,725813,.0258274078369141,1344021,-1.408150672912598,99244,-.6908416748046875,47117,-1.007488250732422,101980,.3067550659179688,0,10319,1.444040298461914,114979,1091429,7730508,-.1232776641845703,2346360,.5756750106811523,1177393,-.8627185821533203,2001651,-.0622949600219727,294326,91637,2372543,.51104736328125,2001835,.0389013290405273,39383,-.0676860809326172,1072000,11916,.9524784088134766,803,2553725,.4154224395751953,4884,-3.133631706237793,133536,-.6071891784667969,582699,-.456730842590332,43362,2.360060691833496,matched (3),1122391.5,.86756533,194244.88,368012.19
