period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1168c300,growth1168c300,Y1198c440,growth1198c440,Y1223c36,Y1377c348,growth1377c348,Y1428c792,growth1428c792,Y144c124,growth144c124,Y144c484,Y1693c440,growth1693c440,Y1759c124,growth1759c124,Y1825c218,Y183c440,growth183c440,Y1889c586,growth1889c586,Y1900c124,growth1900c124,Y1909c124,growth1909c124,Y1914c124,growth1914c124,Y1960c203,Y1982c484,growth1982c484,Y223c124,growth223c124,Y2617c218,Y2741c36,Y2768c251,growth2768c251,Y2805c381,Y2882c246,growth2882c246,Y3011c344,Y3199c208,growth3199c208,Y3477c616,growth3477c616,Y3513c124,Y3589c233,Y3748c124,growth3748c124,Y3754c124,growth3754c124,Y3754c36,Y3754c586,growth3754c586,Y3771c752,growth3771c752,Y3771c826,growth3771c826,Y3803c484,growth3803c484,Y3845c484,growth3845c484,Y4093c484,growth4093c484,Y4321c68,growth4321c68,Y4480c218,Y451c484,growth451c484,Y4584c376,Y4632c152,growth4632c152,Y4638c484,growth4638c484,Y4690c32,Y482c124,growth482c124,Y4918c124,growth4918c124,Y4944c484,growth4944c484,Y4952c752,growth4952c752,Y4961c124,growth4961c124,Y612c620,growth612c620,_merge,x,r2,s,sf
201001,401699,600,1859,15825639,01,0,0,0,0,0,0,0,0,0,0,0,8890,,2638,,250919,2090825,,245441,,20145132,,13507205,106691,,22672160,,297014,5940473,,78233,,6109990,,25894448,,2924499,,6807,9252379,,2297309,,38942,2753334,115470352,,7438661,618282,,15110367,42852,,23888,,82796,57531,3855903,,7475319,,7152681,258653,,286695,,2045318,,2430465,,398122,,827398,,2924,,640907,11585004,,9277000,124206,,2124061,,135965,750702,,3056411,,8388704,,3073344,,4835923,,426503,,matched (3),,.89543676,,
201002,401699,601,1859,14228661,02,1,0,0,0,0,0,0,0,0,0,0,121038,2.611178398132324,882,-1.095583915710449,239895,1765398,-.1691827774047852,713711,1.067421913146973,17823168,-.1224632263183594,16633996,81298,-.271815299987793,19675380,-.1417694091796875,103474,5001738,-.1720037460327148,54554,-.3605003356933594,6388817,.0446233749389648,24306430,-.0632877349853516,2658863,-.0952243804931641,7444,8229891,-.1171083450317383,1978860,-.1492176055908203,34634,2554985,91199784,-.2359600067138672,4630589,213639,-1.062656402587891,7164487,124513,1.066658020019531,34430,.3655519485473633,16576,37836,3160243,-.1989555358886719,7280653,-.0263862609863281,6227530,208937,-.2134542465209961,230047,-.2201356887817383,1685995,-.1931972503662109,2217051,-.0919046401977539,434894,.088343620300293,785178,-.0523757934570313,2110,-.3262643814086914,354569,12672949,.0897579193115234,4242000,108621,-.1340770721435547,1099813,-.6581897735595703,91352,385765,-.6657800674438477,2193146,-.331904411315918,8169392,-.0264911651611328,2501080,-.2060441970825195,3864452,-.2242517471313477,380210,-.1148958206176758,matched (3),25415294,.89543676,1443494.5,2137767.5
201003,401699,602,1859,17483704,03,0,1,0,0,0,0,0,0,0,0,0,28857,-1.433752059936523,12323,2.637030601501465,277623,1497877,-.1643266677856445,592717,-.1857614517211914,18828568,.0548744201660156,12891705,91404,.1171674728393555,24825522,.2325038909912109,355279,5596724,.112396240234375,28761,-.6401710510253906,5356861,-.1761703491210938,26762456,.0962581634521484,3073888,.1450443267822266,72748,8585010,.0422449111938477,2712001,.3151655197143555,91541,1497049,65872688,-.3253288269042969,2301499,102012,-.7391977310180664,7528586,35395,-1.257839202880859,46310,.2964296340942383,32060,86250,3477954,.095794677734375,8684559,.1763267517089844,6595365,96912,-.7682294845581055,264784,.1406307220458984,1798819,.0647745132446289,1650255,-.2952480316162109,251985,-.5457324981689453,300106,-.9617748260498047,18719,2.182851314544678,464372,11922110,-.0610752105712891,4959000,178944,.4992084503173828,1525125,.3269367218017578,69517,508622,.2764768600463867,2205644,.0056829452514648,7270471,-.1165733337402344,3666101,.3824062347412109,4036083,.0434541702270508,611818,.4757108688354492,matched (3),24130208,.89543676,1273168.9,2026655.5
201004,401699,603,1859,19399848,04,0,0,1,0,0,0,0,0,0,0,0,11692,-.9034481048583984,21185,.5418262481689453,0,839134,-.5794343948364258,425586,-.3312492370605469,12579167,-.4033317565917969,14763060,113277,.2145471572875977,24630116,-.0079021453857422,217586,5901663,.0530529022216797,64526,.8080482482910156,5215738,-.026698112487793,27697508,.0343418121337891,2654237,-.1467857360839844,17028,6648967,-.2555561065673828,3393234,.2240972518920898,84002,0,42117796,-.4472541809082031,2346817,51553,-.6824798583984375,10188245,74212,.7403545379638672,6757,-1.924778938293457,83362,73850,3706021,.0635147094726563,7759085,-.1126823425292969,0,153131,.4574899673461914,264172,-.0023136138916016,1853507,.0299491882324219,1436967,-.1383953094482422,380625,.412445068359375,639711,.7568807601928711,4127,-1.511988639831543,534058,12110502,.0156784057617188,4117000,19669,-2.208029747009277,1248214,-.2003631591796875,177077,676527,.2852668762207031,2349005,.0629720687866211,6781802,-.0695781707763672,3085822,-.1723108291625977,3820701,-.054840087890625,608541,-.0053701400756836,matched (3),21343550,.89543676,1087295.1,1915354.9
201005,401699,604,1859,25269832,05,0,0,0,1,0,0,0,0,0,0,0,22405,.6503791809082031,37076,.5596761703491211,0,515777,-.4866952896118164,428077,.0058355331420898,19956730,.4615230560302734,15518239,93305,-.1939620971679688,24325162,-.0124588012695313,295263,6155471,.0421066284179688,79400,.2074298858642578,6152146,.1651210784912109,34157292,.2096347808837891,3271267,.209019660949707,19504,14345738,.7689914703369141,3926378,.1459331512451172,67461,0,43429912,.0306777954101563,3565443,199283,1.352115631103516,10366185,30794,-.8796052932739258,452,-2.704652309417725,30628,96740,3769805,.0170650482177734,8373386,.0761938095092773,0,212090,.3257169723510742,255459,-.033538818359375,1888379,.0186386108398438,1817810,.2350978851318359,303814,-.2253990173339844,928938,.3730258941650391,43341,2.351548194885254,407186,22028804,.5982780456542969,4753000,105074,1.675621032714844,2131932,.5353155136108398,68111,782862,.1459846496582031,2898845,.2103204727172852,9206302,.3056449890136719,3094765,.002894401550293,5424494,.3504905700683594,786570,.2566165924072266,matched (3),23935904,.89543676,1773828.1,2373360.5
201006,401699,605,1859,33771116,06,0,0,0,0,1,0,0,0,0,0,0,24536,.0908575057983398,13967,-.9762725830078125,0,671329,.263585090637207,661175,.4347152709960938,22642914,.12628173828125,19510060,74828,-.2206821441650391,27605952,.1265201568603516,212684,6818620,.1023159027099609,84013,.0564737319946289,8308969,.3005342483520508,40390024,.1676063537597656,2913589,-.1157913208007813,21204,16551350,.1430149078369141,3736411,-.049591064453125,133516,0,96786960,.8013648986816406,6964199,546719,1.009208679199219,13508228,135938,1.484878540039063,5347,2.470608234405518,89594,111878,4015736,.063197135925293,9328118,.1079750061035156,0,160371,-.2795209884643555,232765,-.0930328369140625,2150391,.1299314498901367,4759618,.9625349044799805,318727,.0479192733764648,840324,-.100255012512207,2124,-3.01579761505127,495770,22389332,.0162334442138672,5758000,82797,-.2382726669311523,1592873,-.2914896011352539,232126,550149,-.3527679443359375,3637498,.2269840240478516,8719075,-.0543746948242188,3357807,.0815753936767578,8984547,.5045814514160156,996948,.2370176315307617,matched (3),22897358,.89543676,1534147.8,2199996.3
201007,401699,606,1859,34767720,07,0,0,0,0,0,1,0,0,0,0,0,26911,.0923938751220703,47654,1.227269172668457,293275,1584305,.8586416244506836,469202,-.3429851531982422,27523980,.1952095031738281,22989536,92357,.2104692459106445,28127960,.0187339782714844,385190,7343261,.0741262435913086,142928,.5313692092895508,8334008,.0030088424682617,40746216,.0087795257568359,3681188,.2338495254516602,85371,16004019,-.0336284637451172,3870903,.0353622436523438,329682,3043672,129261752,.2893257141113281,17438282,1061485,.6634893417358398,14746414,33211,-1.409317016601563,7130,.287775993347168,254436,51803,4082499,.0164880752563477,9862448,.0557003021240234,8734582,286842,.5814418792724609,489878,.7441272735595703,2085364,-.0307064056396484,3952281,-.1858749389648438,608994,.6474733352661133,636322,-.2780828475952148,6508,1.119730949401856,552414,28375516,.2369422912597656,4846000,238693,1.058786392211914,3122287,.6730270385742188,125805,308802,-.577488899230957,3769667,.0356903076171875,9156307,.0489292144775391,2399209,-.3361482620239258,14786375,.498199462890625,1027850,.0305252075195313,matched (3),28620826,.89543676,1534782.6,2200439
201008,401699,607,1859,32464436,08,0,0,0,0,0,0,1,0,0,0,0,75320,1.029210090637207,36644,-.2627172470092773,109670,2039022,.252324104309082,461125,-.0173635482788086,25268100,-.0855140686035156,18838578,111440,.1878252029418945,28220152,.0032711029052734,254515,7599812,.0343399047851563,84147,-.5297756195068359,8713180,.0444927215576172,33823432,-.1862087249755859,2843041,-.2583608627319336,627373,14299880,-.1125888824462891,3753502,-.0307989120483398,153522,3692163,128836176,-.0032978057861328,15000314,802801,-.2793169021606445,14549398,25407,-.2678565979003906,6871,-.0370016098022461,141035,59941,3986181,-.0238752365112305,8772285,-.1171360015869141,7416313,324364,.1229352951049805,291856,-.5178956985473633,2094761,.0044956207275391,3854283,-.0251073837280273,544436,-.1120586395263672,1017244,.4691476821899414,3121,-.7348785400390625,427694,19669616,-.3664512634277344,3489000,378354,.4606523513793945,3447714,.0991449356079102,41194,432131,.336029052734375,4181969,.1037960052490234,11030656,.1862354278564453,3228915,.2970066070556641,14603928,-.0124149322509766,507208,-.7063026428222656,matched (3),30541032,.89543676,1249563,2011909.9
201009,401699,608,1859,23907790,09,0,0,0,0,0,0,0,1,0,0,0,59516,-.2355003356933594,70774,.6582422256469727,107741,1642134,-.2164735794067383,428084,-.0743503570556641,25743006,.0186195373535156,15699646,132728,.1748151779174805,28860542,.0224399566650391,252096,7945055,.0444269180297852,57112,-.3875513076782227,8489851,-.025965690612793,30911208,-.0900344848632813,4021000,.3466558456420898,542230,14097133,-.0142803192138672,3615802,-.0373754501342773,150653,3192304,112604352,-.1346607208251953,22669756,482779,-.5085477828979492,13092099,130556,1.636776924133301,902,-2.030450344085693,82233,139554,3850852,-.0345392227172852,8621361,-.0173549652099609,8066293,311734,-.0397167205810547,206520,-.3458633422851563,1885817,-.1050777435302734,3563594,-.0784158706665039,321638,-.5263233184814453,512177,-.6861820220947266,2154,-.3708271980285645,582108,14385215,-.3128738403320313,3079000,168687,-.8077859878540039,2246022,-.4285507202148438,84091,394581,-.0909042358398438,3659513,-.1334524154663086,8658019,-.242192268371582,5345190,.5040512084960938,10569722,-.3232975006103516,411958,-.2080001831054688,matched (3),27737486,.89543676,849338.94,1791019.4
201010,401699,609,1859,22549280,10,0,0,0,0,0,0,0,0,1,0,0,83215,.3351821899414063,44452,-.4650812149047852,202531,2420482,.387969970703125,672795,.4521217346191406,25586618,-.0060920715332031,15535594,112539,-.1650018692016602,29003234,.0049324035644531,241906,8385124,.0539093017578125,80756,.3464183807373047,10331052,.1962833404541016,34094040,.0980033874511719,3714367,-.0793218612670898,697838,15087097,.0678691864013672,3131422,-.1438264846801758,132250,2438098,95187248,-.1680335998535156,11206833,135954,-1.267242431640625,13401077,44429,-1.077909469604492,5531,1.813509464263916,167371,88274,4181302,.0823278427124023,7534038,-.1348114013671875,7243693,166961,-.6243896484375,303441,.3847904205322266,2231247,.1681995391845703,2955088,-.1872406005859375,488348,.4176015853881836,602414,.1622753143310547,3689,.5380291938781738,746715,15423925,.0697174072265625,5287000,114644,-.3862133026123047,3110355,.3255767822265625,76313,451862,.1355524063110352,2887279,-.2370157241821289,7841798,-.0990171432495117,4151868,-.2526388168334961,7053683,-.4044437408447266,405948,-.0146961212158203,matched (3),23433240,.89543676,878300.31,1804933.5
