period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1306c124,Y1386c554,Y1436c705,growth1436c705,Y144c124,growth144c124,Y1507c124,growth1507c124,Y1537c208,growth1537c208,Y1686c752,growth1686c752,Y1723c440,growth1723c440,Y1764c222,growth1764c222,Y1765c752,growth1765c752,Y1773c124,growth1773c124,Y1794c32,Y2053c826,growth2053c826,Y212c124,growth212c124,Y2130c124,growth2130c124,Y2398c554,Y2481c752,growth2481c752,Y2631c251,growth2631c251,Y3028c124,growth3028c124,Y3080c36,Y3153c300,growth3153c300,Y3279c752,growth3279c752,Y3313c203,Y3429c124,growth3429c124,Y3499c484,growth3499c484,Y3547c372,growth3547c372,Y3592c124,growth3592c124,Y3705c300,growth3705c300,Y3712c826,growth3712c826,Y3745c554,Y3760c36,Y3771c826,growth3771c826,Y3848c208,growth3848c208,Y3873c752,growth3873c752,Y3973c428,growth3973c428,Y4302c124,growth4302c124,Y4333c442,Y4386c124,growth4386c124,Y4454c348,growth4454c348,Y4491c372,growth4491c372,Y4607c124,growth4607c124,Y4610c124,growth4610c124,Y4630c372,growth4630c372,Y4682c440,growth4682c440,Y4920c191,growth4920c191,Y4926c124,growth4926c124,Y5015c208,growth5015c208,Y638c124,growth638c124,Y810c191,growth810c191,Y913c251,growth913c251,_merge,x,r2,s,sf
201001,721710,600,3317,3176770,01,0,0,0,0,0,0,0,0,0,0,0,2519037,663824,318079,,20145132,,4415399,,268215,,1998971,,14738,,208386,,7226612,,3251475,,578274,47019624,,1666567,,3720251,,743670,450783,,1338193,,1806907,,6036483,234010,,4798434,,1097576,24457716,,569265,,18498,,1776052,,103056,,7926851,,47167,352311,2045318,,940266,,2642553,,527,,6860609,,79668,6022753,,18752400,,721544,,58638576,,30714234,,222988,,215193,,24060,,97129032,,83564,,247594,,231244,,230043,,matched (3),,.8631435,,
201002,721710,601,3317,3410728,02,1,0,0,0,0,0,0,0,0,0,0,2269516,1022835,363991,.1348285675048828,17823168,-.1224632263183594,4044166,-.0878229141235352,244525,-.0924711227416992,4465570,.8037643432617188,58135,1.37233829498291,113379,-.6086559295654297,6318069,-.1343564987182617,3475427,.0666084289550781,638644,50425720,.0699367523193359,1338042,-.2195587158203125,4099471,.0970668792724609,673056,484547,.0722284317016602,1235076,-.0801877975463867,2123179,.1612977981567383,6041510,267268,.1328878402709961,6067605,.2346744537353516,1548543,24084594,-.0153732299804688,771087,.3034553527832031,25494,.3207807540893555,2101209,.1681203842163086,113101,.0930089950561523,8585492,.0798187255859375,44681,366899,1685995,-.1931972503662109,632064,-.3971719741821289,3028021,.1361637115478516,881,.513857364654541,5102423,-.2960805892944336,108954,5708819,-.053532600402832,19151958,.0210838317871094,732737,.0153932571411133,63176796,.0745429992675781,32472316,.0556621551513672,225166,.0097198486328125,178106,-.1891555786132813,18129,-.2830381393432617,115210936,.1707248687744141,95886,.1375465393066406,329630,.2861804962158203,332834,.3641700744628906,419793,.6014957427978516,matched (3),6131486.5,.8631435,518235.72,756119.31
201003,721710,602,3317,4006505,03,0,1,0,0,0,0,0,0,0,0,0,3045510,1168705,378023,.0378265380859375,18828568,.0548744201660156,4509438,.1088972091674805,333685,.3108797073364258,6802988,.420964241027832,57950,-.0031871795654297,372343,1.189079284667969,7898429,.2232503890991211,3804372,.0904340744018555,817592,31453966,-.4719753265380859,1458565,.0862455368041992,4296922,.0470409393310547,792177,631526,.2649240493774414,1376251,.1082305908203125,2246906,.0566396713256836,4801139,335561,.2275524139404297,5638238,-.0733928680419922,2269665,38146936,.4598731994628906,2086840,.99560546875,33987,.2875347137451172,2476483,.1643266677856445,183351,.4831209182739258,15839280,.6124181747436523,45852,251451,1798819,.0647745132446289,809249,.2471160888671875,3239715,.0675764083862305,84632,4.565009593963623,6663750,.2669668197631836,171416,5780910,.0125484466552734,23811096,.2177467346191406,467948,-.448430061340332,74472784,.1644973754882813,39308640,.1910572052001953,137376,-.4941167831420898,224479,.2314023971557617,56741,1.140983581542969,136887296,.172393798828125,99675,.0387554168701172,449637,.3104705810546875,778199,.8493385314941406,720313,.5399236679077148,matched (3),7373080.5,.8631435,672227.25,868929
201004,721710,603,3317,3365317,04,0,0,1,0,0,0,0,0,0,0,0,1150605,1108439,292945,-.2549705505371094,12579167,-.4033317565917969,3815647,-.1670618057250977,402271,.1869287490844727,5060830,-.2958307266235352,28587,-.7066287994384766,184533,-.7019872665405273,6735787,-.1592292785644531,3627746,-.0475397109985352,737001,34615060,.09576416015625,1990255,.3108100891113281,3528714,-.1969661712646484,522615,368953,-.5374698638916016,1301539,-.0558156967163086,2076971,-.078643798828125,0,699024,.7338809967041016,5238630,-.0735111236572266,2123297,38144540,-.0000629425048828,1786401,-.1554479598999023,23333,-.3761091232299805,2304447,-.0719985961914063,61220,-1.096928596496582,12152029,-.2649955749511719,39690,0,1853507,.0299491882324219,617907,-.2697687149047852,2714563,-.1768550872802734,139019,.4962987899780273,5976243,-.1088895797729492,86855,5462131,-.0567216873168945,17692466,-.2970123291015625,266953,-.561284065246582,73973376,-.0067291259765625,38629388,-.0174312591552734,71476,-.6533594131469727,211854,-.0578842163085938,31864,-.5770196914672852,125128368,-.0898189544677734,74855,-.2863616943359375,279718,-.4746589660644531,703057,-.1015443801879883,340582,-.7490301132202148,matched (3),4738677.5,.8631435,418446.88,691553.31
201005,721710,604,3317,4493160,05,0,0,0,1,0,0,0,0,0,0,0,1171336,1394060,351180,.1813144683837891,19956730,.4615230560302734,3831357,.0041084289550781,181475,-.7960081100463867,4685839,-.0769853591918945,30895,.0776424407958984,237765,.2534542083740234,8129625,.188079833984375,3608081,-.0054359436035156,881346,24632152,-.3402366638183594,1078991,-.6122369766235352,3672391,.0399093627929688,700529,554998,.4082956314086914,1388149,.0644245147705078,2472166,.1741838455200195,0,455432,-.4284391403198242,9575432,.6031398773193359,1638949,36441280,-.0456809997558594,1983247,.1045322418212891,20063,-.1509914398193359,2495552,.0796689987182617,89670,.3816623687744141,8741653,-.3293972015380859,76518,0,1888379,.0186386108398438,1056019,.535923957824707,2890672,.0628585815429688,601906,1.465490341186523,7095957,.1717329025268555,167861,5885275,.0746145248413086,17915668,.0125370025634766,390608,.3806314468383789,72885488,-.0148143768310547,38821280,.0049552917480469,108845,.420562744140625,192763,-.0944356918334961,73132,.8307895660400391,126037688,.0072422027587891,87485,.155914306640625,768136,1.010185241699219,455602,-.4338178634643555,514371,.4122886657714844,matched (3),5322825,.8631435,405534.03,683817.25
201006,721710,605,3317,4881444,06,0,0,0,0,1,0,0,0,0,0,0,1522185,1498943,457440,.2643461227416992,22642914,.12628173828125,4498410,.1605052947998047,212147,.1561613082885742,6985440,.3992824554443359,36114,.1560869216918945,304740,.2481765747070313,8413390,.0343103408813477,3867465,.0694236755371094,1321200,33112492,.2958583831787109,1914857,.5736169815063477,4413234,.1837654113769531,848138,537308,-.0323934555053711,1770091,.2430591583251953,2392314,-.0328330993652344,0,435867,-.0439090728759766,13943072,.3757820129394531,2128296,42138220,.1452522277832031,2691313,.3052940368652344,33185,.5032205581665039,3003572,.1852922439575195,151722,.5259132385253906,6411633,-.3099851608276367,49051,0,2150391,.1299314498901367,770524,-.3151912689208984,2953361,.0214548110961914,25837,-3.148293495178223,7326578,.0319833755493164,152662,6040930,.0261049270629883,15459938,-.1474246978759766,316244,-.2111902236938477,79153080,.0824928283691406,40042964,.0309829711914063,70016,-.4412012100219727,160501,-.183161735534668,92273,.2324848175048828,130165616,.0322265625,115040,.2738122940063477,225471,-1.225775718688965,633535,.3296957015991211,539285,.0472993850708008,matched (3),5971442,.8631435,561517.44,786415.94
201007,721710,606,3317,5880097,07,0,0,0,0,0,1,0,0,0,0,0,1390122,1389692,752281,.4974651336669922,27523980,.1952095031738281,4703565,.0445966720581055,194190,-.0884428024291992,6118419,-.1325244903564453,83259,.8352756500244141,209333,-.3755331039428711,7281248,-.1445226669311523,3456578,-.1123199462890625,609920,21004038,-.4551963806152344,2041062,.0638275146484375,4672824,.0571556091308594,477662,260445,-.7241792678833008,1948100,.0958232879638672,2633903,.0962057113647461,6684219,274859,-.4610786437988281,18826684,.30029296875,2139965,44851528,.0624027252197266,3126917,.1500177383422852,39508,.1744050979614258,2561690,-.1591348648071289,163433,.0743532180786133,8720035,.3075084686279297,76548,588326,2085364,-.0307064056396484,556708,-.3250293731689453,2112581,-.3350334167480469,447117,2.851012229919434,15175503,.7281732559204102,119016,5024939,-.1841449737548828,16045484,.0371761322021484,401434,.2385292053222656,57000604,-.3283214569091797,29838350,-.2941570281982422,89895,.2499189376831055,182033,.1258878707885742,111534,.1895780563354492,88260800,-.3885116577148438,109420,-.0500860214233398,415797,.6120052337646484,865853,.3123998641967773,468717,-.1402444839477539,matched (3),5755322.5,.8631435,567664.81,790817
201008,721710,607,3317,5831705,08,0,0,0,0,0,0,1,0,0,0,0,1442835,1464820,505214,-.3981285095214844,25268100,-.0855140686035156,3389606,-.3276071548461914,273564,.3426990509033203,4735620,-.256190299987793,33376,-.9141197204589844,132380,-.4582490921020508,6817568,-.0657997131347656,4021872,.1514682769775391,810077,25645424,.1996498107910156,1728072,-.1664638519287109,4844414,.0360631942749023,619549,342581,.2741165161132813,1599865,-.196934700012207,2146332,-.2047061920166016,6382883,453607,.5009727478027344,11207036,-.5187339782714844,2034910,48664152,.0815849304199219,2494225,-.226069450378418,10535,-1.321799278259277,2515912,-.0180320739746094,51085,-1.162911415100098,6585743,-.2807159423828125,53531,1148360,2094761,.0044956207275391,459073,-.1928319931030273,5836400,1.016203880310059,60324,-2.003089904785156,12878814,-.1640987396240234,117975,5506548,.0915241241455078,15954992,-.0056571960449219,462912,.1424932479858398,80974912,.3510780334472656,38967464,.2669315338134766,86620,-.0371122360229492,299222,.4969978332519531,8366,-2.590153694152832,130431512,.3905525207519531,113386,.0356044769287109,470976,.1246099472045898,531311,-.488368034362793,549526,.1590566635131836,matched (3),5048329,.8631435,516183.66,754714.38
201009,721710,608,3317,4451541,09,0,0,0,0,0,0,0,1,0,0,0,950551,1248709,412586,-.2025375366210938,25743006,.0186195373535156,4484207,.2798480987548828,433472,.460291862487793,5777941,.1989345550537109,53697,.475520133972168,181945,.3180274963378906,7893855,.1465826034545898,3574739,-.1178550720214844,551252,28759586,.1146068572998047,1866977,.0773134231567383,5050189,.0415992736816406,565544,401130,.1577768325805664,1591332,-.0053482055664063,2373477,.1005954742431641,7726019,283567,-.469782829284668,15796231,.3432292938232422,2112731,49577224,.0185890197753906,2198750,-.1260890960693359,29523,1.030466079711914,2604582,.0346364974975586,57827,.1239643096923828,3498483,-.6325778961181641,72749,443050,1885817,-.1050777435302734,646373,.342167854309082,3939922,-.3929538726806641,44660,-.3006515502929688,11369793,-.1246223449707031,95416,6475868,.162144660949707,17312204,.0816402435302734,678536,.3824005126953125,75648728,-.0680389404296875,40129652,.029388427734375,189575,.7832546234130859,282431,-.0577516555786133,106759,2.546398162841797,121386920,-.0718650817871094,219927,.6624975204467773,401236,-.1602573394775391,918970,.5479059219360352,495167,-.104161262512207,matched (3),6864427.5,.8631435,810739.25,980023.63
201010,721710,609,3317,4259164,10,0,0,0,0,0,0,0,0,1,0,0,1674689,1183832,414946,.0057039260864258,25586618,-.0060920715332031,4230472,-.0582485198974609,368437,-.1625576019287109,4758236,-.1941709518432617,44218,-.1942253112792969,292531,.4748659133911133,7459798,-.0565567016601563,5100607,.3554668426513672,899266,28450564,-.01080322265625,1321951,-.3452119827270508,5366208,.0606956481933594,685129,453376,.1224365234375,1330193,-.1792469024658203,2004971,-.168726921081543,6226808,337294,.1735067367553711,12398695,-.2421798706054688,1823801,46527264,-.0634937286376953,2756544,.2260894775390625,67897,.8328218460083008,2825671,.0814743041992188,188763,1.183036804199219,4784348,.3130207061767578,65962,209176,2231247,.1681995391845703,708010,.0910816192626953,3876096,-.0163326263427734,6174,-1.978732109069824,8425814,-.2996606826782227,111482,5709063,-.1260271072387695,12956409,-.2898197174072266,629041,-.0757408142089844,72482296,-.0427589416503906,38202632,-.0492115020751953,132255,-.3600530624389648,266386,-.0584878921508789,21109,-1.620874404907227,120905648,-.0039730072021484,106743,-.7228717803955078,559761,.3329601287841797,431522,-.7559347152709961,376803,-.2731723785400391,matched (3),5014158,.8631435,636278.75,841426.69
