period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1093c826,growth1093c826,Y1194c620,growth1194c620,Y1288c300,growth1288c300,Y1442c348,growth1442c348,Y1514c620,growth1514c620,Y1527c826,growth1527c826,Y1694c616,growth1694c616,Y1714c705,growth1714c705,Y1733c616,growth1733c616,Y1733c705,growth1733c705,Y1737c616,growth1737c616,Y1755c251,growth1755c251,Y1769c203,Y1814c616,growth1814c616,Y1815c826,growth1815c826,Y1966c616,growth1966c616,Y1973c620,growth1973c620,Y2085c807,growth2085c807,Y2486c616,growth2486c616,Y2585c826,growth2585c826,Y2603c792,growth2603c792,Y2677c348,growth2677c348,Y2693c233,Y2696c300,growth2696c300,Y3042c152,growth3042c152,Y3251c620,growth3251c620,Y3303c757,growth3303c757,Y3435c352,growth3435c352,Y3439c642,Y3441c348,growth3441c348,Y3502c251,growth3502c251,Y3520c616,growth3520c616,Y3537c372,growth3537c372,Y3709c826,growth3709c826,Y3752c616,growth3752c616,Y3768c616,growth3768c616,Y3876c203,Y4180c233,Y4256c348,growth4256c348,Y4258c620,growth4258c620,Y4260c348,growth4260c348,Y4410c620,growth4410c620,Y442c616,Y4467c300,growth4467c300,Y4614c705,growth4614c705,Y4937c620,growth4937c620,Y4980c246,growth4980c246,Y5003c428,growth5003c428,Y648c620,growth648c620,Y651c616,growth651c616,_merge,x,r2,s,sf
201001,722220,600,3345,210184,01,0,0,0,0,0,0,0,0,0,0,0,1480809,,277227,,762849,,1348710,,66256,,4548808,,3279914,,1835510,,3089883,,241395,,780901,,12364582,,825822,882430,,3540059,,1242015,,2500577,,62538,,842717,,30332406,,28739,,153443,,9324,111747,,99455,,753224,,1553217,,364674,,138301,513028,,111529744,,8546126,,71908,,1383169,,7995255,,1127200,,4483214,123999,1491965,,13510100,,5775559,,11845656,,0,2312,,21053644,,596513,,99389,,119851,,835089,,1153984,,matched (3),,.81358963,,
201002,722220,601,3345,89757,02,1,0,0,0,0,0,0,0,0,0,0,1560214,.0522346496582031,270139,-.0258998870849609,554844,-.3183727264404297,1739959,.2547130584716797,73838,.1083478927612305,3554302,-.2467060089111328,3057196,-.0703182220458984,1811190,-.0133380889892578,3201757,.0355663299560547,325061,.2975778579711914,607118,-.2517251968383789,11397024,-.0814838409423828,799779,957354,.0814943313598633,3433668,-.0305137634277344,1776496,.3579082489013672,2047834,-.1997385025024414,203002,1.177441596984863,522138,-.47869873046875,32959070,.0830497741699219,4629,-1.82591438293457,106573,-.3644990921020508,12988,218607,.6710376739501953,75844,-.271026611328125,509889,-.3901691436767578,1707109,.0944738388061523,428515,.1613225936889648,104536,363441,-.3447132110595703,115282192,.0330905914306641,8949833,.0461559295654297,91447,.2403726577758789,390187,-1.265506744384766,7805757,-.02398681640625,861221,-.2691411972045898,6359477,111633,765349,-.6675176620483398,16714347,.2128314971923828,7469835,.2572383880615234,11735680,-.0093269348144531,33622,15340,1.892350673675537,19648680,-.0690650939941406,484439,-.2081098556518555,244155,.8987617492675781,118998,-.0071430206298828,681185,-.203704833984375,1037708,-.106205940246582,matched (3),440945.66,.81358963,99873.203,135332.84
201003,722220,602,3345,97014,03,0,1,0,0,0,0,0,0,0,0,0,2128507,.3105974197387695,278272,.0296621322631836,909291,.4939785003662109,1746459,.0037288665771484,126909,.5415964126586914,3705193,.0415763854980469,4005753,.270233154296875,2821869,.443415641784668,3656464,.1327972412109375,360643,.1038761138916016,936897,.4338502883911133,13640310,.1796760559082031,1190100,1157899,.1901893615722656,5109258,.3974246978759766,1996100,.1165523529052734,2553237,.2205791473388672,250774,.2113361358642578,723643,.3263654708862305,35357212,.0702362060546875,47248,2.323069572448731,114613,.0727310180664063,35022,270914,.2145261764526367,429762,1.734553337097168,96092,-1.668887138366699,2105586,.2097921371459961,556038,.2605104446411133,138367,740375,.7115392684936523,135671072,.1628513336181641,10835110,.1911582946777344,102948,.1184635162353516,585967,.4066381454467773,9339448,.1793851852416992,967548,.1164140701293945,5742167,263955,861567,.1184206008911133,19777016,.1682529449462891,8521949,.1317720413208008,13329419,.1273384094238281,408,17820,.1498575210571289,22743370,.1462650299072266,1075920,.7979402542114258,323341,.2809038162231445,141243,.1713752746582031,1188371,.5565052032470703,1206737,.1509056091308594,matched (3),660529.81,.81358963,68587.836,114213.01
201004,722220,603,3345,197572,04,0,0,1,0,0,0,0,0,0,0,0,2030113,-.0473289489746094,453751,.4889497756958008,1101416,.1916866302490234,1092969,-.4686927795410156,189715,.4020528793334961,4218465,.1297359466552734,4885538,.19854736328125,3144304,.1081933975219727,3697146,.0110645294189453,353208,-.0208311080932617,1201410,.2486772537231445,12477259,-.0891208648681641,1116794,1226684,.0577068328857422,4002306,-.2441835403442383,2284846,.1351032257080078,2396672,-.0632810592651367,206076,-.1963071823120117,1170144,.4805841445922852,36444676,.0302925109863281,10298,-1.523460388183594,195310,.5330266952514648,6033,205084,-.2783823013305664,368388,-.1540956497192383,374087,1.359182357788086,2307116,.091404914855957,485274,-.1361227035522461,0,894991,.1896572113037109,127817144,-.0596332550048828,14998497,.3251571655273438,72616,-.3490381240844727,920358,.4514989852905273,10186956,.0868625640869141,786630,-.2070074081420898,6063525,170841,878365,.0193099975585938,13101759,-.411773681640625,7545384,-.121708869934082,13765726,.0322093963623047,61675,36764,.7241983413696289,20863256,-.0862846374511719,571885,-.6319942474365234,408814,.234553337097168,259916,.6098766326904297,970443,-.2025861740112305,1238295,.0258159637451172,matched (3),845517,.81358963,89287.234,127720.52
201005,722220,604,3345,103032,05,0,0,0,1,0,0,0,0,0,0,0,772555,-.9661436080932617,236969,-.6496191024780273,463169,-.8662605285644531,962921,-.1266813278198242,142560,-.2857599258422852,3312748,-.2416934967041016,4176994,-.1566867828369141,3057867,-.0278749465942383,3147461,-.1609649658203125,330860,-.0653619766235352,1124364,-.0662784576416016,12067336,-.0334053039550781,1091146,918186,-.2896699905395508,3763609,-.0614919662475586,1711023,-.2892074584960938,2265782,-.0561609268188477,162979,-.2346229553222656,1082129,-.0781965255737305,35681448,-.0211658477783203,68146,1.889702796936035,157487,-.215245246887207,51491,43642,-1.547399520874023,485938,.2769451141357422,282635,-.2803325653076172,2039134,-.1234731674194336,438779,-.1007184982299805,137506,560524,-.4679412841796875,112218440,-.1301536560058594,10914815,-.3178291320800781,128777,.5728969573974609,595990,-.4345388412475586,6711146,-.4173393249511719,895832,.1299953460693359,5332492,226209,871003,-.0084171295166016,13671326,.0425529479980469,6989638,-.076507568359375,14349728,.0415496826171875,18914,26260,-.3364725112915039,22515970,.0762348175048828,822442,.3633403778076172,167786,-.8905706405639648,155462,-.5139570236206055,733086,-.2804899215698242,1026318,-.1877584457397461,matched (3),751964.94,.81358963,111716.53,144294.5
201006,722220,605,3345,344985,06,0,0,0,0,1,0,0,0,0,0,0,880596,.1308956146240234,269671,.1292734146118164,396987,-.1541881561279297,1939916,.7004280090332031,124450,-.135859489440918,3613863,.0869989395141602,5760445,.3214225769042969,3215578,.0502891540527344,3314765,.0517902374267578,465666,.3417730331420898,1590683,.3469457626342773,11710356,-.030029296875,1216315,873967,-.0493574142456055,5874850,.4453020095825195,2070519,.1907081604003906,2372439,.0459985733032227,137144,-.1725902557373047,1047638,-.0323915481567383,44225056,.21466064453125,97105,.3541402816772461,172413,.0905494689941406,19104,86744,.6869411468505859,529277,.0854301452636719,268278,-.0521326065063477,2706787,.2832365036010742,344476,-.2419710159301758,170350,628824,.1149787902832031,126201856,.1174354553222656,10548180,-.0341682434082031,107169,-.1836757659912109,699101,.1595706939697266,6255602,-.0702924728393555,939910,.0480308532714844,4702932,266042,789812,-.0978507995605469,15887676,.1502437591552734,6844655,-.020960807800293,14382028,.0022468566894531,10498,451113,2.843670845031738,18830632,-.1787395477294922,853111,.0366115570068359,197157,.1613101959228516,190480,.2031459808349609,1106254,.4114723205566406,982623,-.0435066223144531,matched (3),1111222,.81358963,104233.47,138581.88
201007,722220,606,3345,425131,07,0,0,0,0,0,1,0,0,0,0,0,803135,-.092076301574707,12,-10.02005195617676,1007267,.9310922622680664,382017,-1.624935150146484,169086,.3065042495727539,4123014,.1318073272705078,6516473,.1233186721801758,3391622,.0533008575439453,4365276,.2752952575683594,427791,-.084834098815918,1819769,.1345462799072266,10704835,-.0897769927978516,2025869,1268300,.3723907470703125,3331801,-.5671672821044922,2325339,.1160659790039063,2208076,-.0717973709106445,206276,.4081830978393555,1004712,-.0418376922607422,39008216,-.125518798828125,65895,-.387730598449707,173157,.0043058395385742,25825,146157,.5217208862304688,198493,-.9807577133178711,975644,1.291074752807617,2761634,.0200605392456055,347473,.008662223815918,319442,810406,.2536840438842773,123418104,-.0223045349121094,10661133,.0106525421142578,140377,.2699251174926758,814061,.1522407531738281,7848038,.2267866134643555,999281,.0612525939941406,4072157,146477,1125133,.3538618087768555,14931778,-.0620517730712891,8326569,.19598388671875,13578465,-.0574932098388672,66779,222047,-.7088289260864258,15712744,-.1810131072998047,959120,.11712646484375,104628,-.6335887908935547,252870,.2833280563354492,559536,-.6816272735595703,1071899,.0869607925415039,matched (3),870221.13,.81358963,98496.977,134320.42
201008,722220,607,3345,190826,08,0,0,0,0,0,0,1,0,0,0,0,782627,-.0258665084838867,128372,9.277780532836914,82642,-2.50047779083252,199907,-.6476125717163086,151796,-.1078701019287109,4100680,-.0054311752319336,5111987,-.2427453994750977,2879582,-.1636629104614258,3556027,-.2050380706787109,226724,-.6349010467529297,1984366,.0865898132324219,9318396,-.1387062072753906,1273656,528218,-.8759241104125977,3591218,.0749778747558594,2132247,-.0866889953613281,1258199,-.5624399185180664,178343,-.1455059051513672,1319907,.2728605270385742,33345932,-.1568355560302734,33948,-.6632328033447266,41572,-1.42677116394043,15469,77008,-.640772819519043,99330,-.6923065185546875,21866,-3.798165321350098,1811614,-.4216041564941406,283794,-.2024383544921875,175828,633135,-.246851921081543,109693256,-.117889404296875,5237876,-.710688591003418,117471,-.1781406402587891,505776,-.4759416580200195,6775557,-.146942138671875,877270,-.1302213668823242,4172636,135068,719772,-.4467220306396484,13619262,-.0920066833496094,7125563,-.1557626724243164,11243850,-.1886634826660156,361,8392,-3.275609970092773,15163471,-.03558349609375,793556,-.1894922256469727,102467,-.0208702087402344,250195,-.0106353759765625,807579,.3669328689575195,988554,-.0809431076049805,matched (3),309689,.81358963,94495.008,131413.95
201009,722220,608,3345,263179,09,0,0,0,0,0,0,0,1,0,0,0,1189184,.4183664321899414,577482,1.503745079040527,1951057,3.161608695983887,404687,.7052621841430664,165041,.0836563110351563,4066469,-.0083780288696289,8037921,.4525823593139648,3320338,.1424217224121094,4012161,.1206865310668945,340917,.4079055786132813,2366637,.1761713027954102,10926988,.1592464447021484,1347751,1114715,.7468452453613281,4239873,.1660423278808594,2356518,.1000089645385742,2218247,.5670356750488281,177606,-.0041408538818359,1520833,.1416969299316406,46625892,.3352203369140625,44724,.2756805419921875,124691,1.098411560058594,8160,167165,.7750720977783203,134170,.3006601333618164,155332,1.96063232421875,3011347,.5081691741943359,259543,-.0893259048461914,428664,925158,.3792810440063477,128067128,.1548671722412109,13957271,.9800844192504883,215967,.6089344024658203,431655,-.1584672927856445,8232234,.1947355270385742,1258290,.3606939315795898,6035972,182260,983308,.3119878768920898,21207764,.4428825378417969,7460512,.0459346771240234,13655993,.1943569183349609,50248,207938,3.2099609375,20779952,.3150997161865234,739636,-.0703659057617188,139567,.3090038299560547,577675,.8367710113525391,802373,-.0064668655395508,1274751,.2542629241943359,matched (3),954787.19,.81358963,104022.06,138422.94
201010,722220,609,3345,159677,10,0,0,0,0,0,0,0,0,1,0,0,926777,-.2493095397949219,580586,.0053606033325195,1442481,-.302006721496582,508797,.2289352416992188,91944,-.5850143432617188,3800162,-.0677309036254883,7493054,-.0701942443847656,3793431,.133204460144043,5110650,.2419967651367188,436767,.2477607727050781,2526697,.0654420852661133,11098895,.0156097412109375,1250827,986854,-.1218318939208984,3953794,-.0698575973510742,2053893,-.1374483108520508,2580806,.1513853073120117,154236,-.1410837173461914,972304,-.4473447799682617,46414604,-.0045433044433594,2690,-2.81096887588501,138873,.1077213287353516,2376,144821,-.1434822082519531,77770,-.5453519821166992,57660,-.9910011291503906,2708746,-.1059017181396484,361698,.3318872451782227,218642,645585,-.359807014465332,129723392,.0128498077392578,12483008,-.11163330078125,85788,-.9232463836669922,201423,-.7622194290161133,10124395,.2068910598754883,1068235,-.1637458801269531,4463022,165694,928347,-.0575170516967773,18991458,-.1103782653808594,7716017,.0336742401123047,13597495,-.0042934417724609,55532,134203,-.4378862380981445,22190852,.0656909942626953,736365,-.0044317245483398,80769,-.5469512939453125,293168,-.6782655715942383,1046265,.2654075622558594,1170947,-.0849380493164063,matched (3),372567.41,.81358963,84718.719,124569.59
