period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1209c372,growth1209c372,Y1323c208,growth1323c208,Y1427c586,growth1427c586,Y1430c152,growth1430c152,Y1661c152,growth1661c152,Y1682c372,growth1682c372,Y1734c222,growth1734c222,Y1848c440,growth1848c440,Y1901c484,growth1901c484,Y1904c616,growth1904c616,Y1905c352,growth1905c352,Y2043c757,growth2043c757,Y2120c152,growth2120c152,Y2203c554,Y2419c208,growth2419c208,Y2433c203,Y2498c233,Y2521c381,Y2690c124,growth2690c124,Y2829c208,growth2829c208,Y2967c792,growth2967c792,Y3140c152,growth3140c152,Y3421c554,Y3439c372,growth3439c372,Y3482c372,growth3482c372,Y3489c152,growth3489c152,Y3521c124,growth3521c124,Y3568c251,growth3568c251,Y3571c344,Y3738c381,Y3850c818,Y3949c68,growth3949c68,Y4002c620,growth4002c620,Y4019c608,Y4089c191,growth4089c191,Y4142c222,growth4142c222,Y4197c688,growth4197c688,Y4272c600,growth4272c600,Y4276c554,Y4311c68,growth4311c68,Y4375c428,growth4375c428,Y4378c440,growth4378c440,Y4419c32,Y4450c440,growth4450c440,Y4524c554,Y4730c442,Y4763c554,Y4992c251,growth4992c251,Y543c348,growth543c348,Y651c251,growth651c251,_merge,x,r2,s,sf
201001,722240,600,3347,45965,01,0,0,0,0,0,0,0,0,0,0,0,67409,,573817,,702258,,40431,,166454,,1171803,,54648,,239139,,96102,,450911,,6149,,954494,,816943,,25469,145224,,187962,50859,42624,645216,,402194,,280913,,132359,,151551,74289,,588890,,1812457,,416378,,108764,,10031525,681568,280666,19052,,99034,,175505,30636,,365139,,3568277,,148788,,266372,43465,,110992,,4324,,227770,15287,,3847,6207,532465,3193396,,619195,,4319040,,matched (3),,.85648978,,
201002,722240,601,3347,51488,02,1,0,0,0,0,0,0,0,0,0,0,82301,.1996040344238281,716195,.2216415405273438,497031,-.3456487655639648,62159,.4300985336303711,328432,.6796112060546875,992572,-.1659994125366211,49645,-.0960149765014648,114859,-.7333393096923828,93862,-.0235843658447266,418890,-.0736608505249023,6144,-.0008134841918945,982382,.0287981033325195,705032,-.1473255157470703,37169,69680,-.7343645095825195,113662,78657,181769,567391,-.1285362243652344,540160,.2949304580688477,258984,-.0812788009643555,76147,-.552851676940918,222806,74792,.0067481994628906,856759,.3749170303344727,2627073,.3711862564086914,337149,-.2110691070556641,162241,.3999032974243164,4955331,330818,380777,66387,1.248329162597656,128374,.2594842910766602,218730,33702,.0953807830810547,32870,-2.407717704772949,2065219,-.5468463897705078,171782,.1437044143676758,110485,65141,.4045982360839844,245105,.7922286987304688,553,-2.056577682495117,1671744,14848,-.0291376113891602,41331,19185,690120,3709321,.1497631072998047,664250,.0702381134033203,3433514,-.2294483184814453,matched (3),166313.27,.85648978,40359.836,71719.648
201003,722240,602,3347,188416,03,0,1,0,0,0,0,0,0,0,0,0,115019,.3347148895263672,793713,.1027698516845703,564214,.1267814636230469,188443,1.109100341796875,506023,.4322519302368164,1633519,.4981918334960938,204717,1.416730880737305,102703,-.1118640899658203,133865,.355006217956543,670441,.4703273773193359,13262,.7694263458251953,1277780,.2628993988037109,729224,.0337371826171875,11872,79000,.1255350112915039,110589,187444,44176,798333,.3414773941040039,921578,.5342226028442383,598660,.8379278182983398,165969,.7791347503662109,237961,263937,1.26099967956543,841101,-.0184440612792969,2118791,-.2150239944458008,593737,.5659112930297852,188964,.1524734497070313,8593407,293247,304377,367305,1.710691452026367,570801,1.492093086242676,208837,42328,.2278919219970703,26595,-.2118368148803711,2120447,.0263910293579102,301588,.562835693359375,151802,167658,.9453716278076172,87652,-1.028312683105469,21709,3.670124053955078,3642511,17663,.1736068725585938,59124,75887,888147,3960802,.0655984878540039,1088183,.4936056137084961,4732223,.3208103179931641,matched (3),320548.81,.85648978,37633.586,70221.641
201004,722240,603,3347,104586,04,0,0,1,0,0,0,0,0,0,0,0,23384,-1.593045234680176,643462,-.2098588943481445,466296,-.19061279296875,39912,-1.552119255065918,177950,-1.045079231262207,1535469,-.0619001388549805,86591,-.8604326248168945,61445,-.5136985778808594,72047,-.6195135116577148,303832,-.7914609909057617,4856,-1.004687309265137,982962,-.2623090744018555,862110,.1674022674560547,213,66837,-.1671915054321289,51311,107865,18167,755810,-.0547361373901367,300694,-1.119994163513184,521829,-.1373538970947266,72784,-.8243045806884766,100474,95637,-1.015151023864746,1180454,.3389425277709961,2851851,.2971220016479492,824245,.3280315399169922,110600,-.5356369018554688,7912342,190523,339019,125018,-1.07773494720459,93808,-1.805790901184082,208728,26994,-.449833869934082,2367,-2.419099807739258,1733030,-.2017555236816406,217506,-.3268356323242188,178036,131880,-.2400331497192383,53751,-.4890117645263672,1725,-2.53249979019165,1112422,19960,.122258186340332,11707,33439,623295,3225678,-.2053041458129883,752842,-.3684091567993164,4279108,-.1006507873535156,matched (3),136050.47,.85648978,42226.859,72786.672
201005,722240,604,3347,134135,05,0,0,0,1,0,0,0,0,0,0,0,50866,.7771425247192383,560813,-.1374759674072266,713962,.4260091781616211,84044,.744664192199707,778064,1.475305557250977,2351767,.42633056640625,60184,-.3637886047363281,84990,.3243913650512695,72965,.0126609802246094,418723,.3207340240478516,4911,.0112628936767578,831522,-.1673126220703125,511920,-.521214485168457,9370,111673,.5133180618286133,170762,137506,52433,745598,-.0136032104492188,344023,.1346149444580078,841600,.4779644012451172,133621,.6075115203857422,201845,126767,.2817907333374023,693689,-.5316314697265625,3030203,.0606613159179688,541426,-.4202613830566406,68383,-.4807958602905273,7883386,243666,822722,127966,.0233068466186523,374158,1.383428573608398,215952,14525,-.6197433471679688,9593,1.399410247802734,1902671,.0933866500854492,260859,.1817531585693359,140756,53365,-.9047374725341797,269892,1.613659858703613,1643,-.0487031936645508,3382251,39862,.6916933059692383,51403,35127,1194196,3228290,.0008096694946289,401216,-.6293554306030273,4668784,.0871543884277344,matched (3),513818.41,.85648978,57862.695,82842.523
201006,722240,605,3347,28811,06,0,0,0,0,1,0,0,0,0,0,0,10638,-1.564762115478516,553018,-.0139970779418945,524967,-.3074941635131836,89716,.0653085708618164,576622,-.29962158203125,1432265,-.4959096908569336,89010,.3913421630859375,189901,.8039684295654297,183832,.9240427017211914,326503,-.2487697601318359,19883,1.398386955261231,987947,.1723718643188477,672942,.2734909057617188,2915,193312,.5487308502197266,111756,121754,15332,675969,-.0980396270751953,340627,-.0099201202392578,689486,-.1993579864501953,47924,-1.025391578674316,222334,49890,-.932530403137207,535130,-.2595138549804688,2347387,-.2553262710571289,490467,-.0988483428955078,111939,.4928302764892578,5620308,191627,224512,43959,-1.068507194519043,266826,-.3380813598632813,129165,34060,.8522520065307617,284615,3.390103340148926,1829433,-.0392522811889648,194020,-.2960186004638672,158378,55558,.0402717590332031,249248,-.0795736312866211,164,-2.304412841796875,5766380,26757,-.3986272811889648,48284,10535,936286,3882602,.1845531463623047,838066,.7365970611572266,7951729,.5324907302856445,matched (3),48988.512,.85648978,47860.688,76193.422
201007,722240,606,3347,10952,07,0,0,0,0,0,1,0,0,0,0,0,17435,.4940471649169922,1528924,1.016929626464844,220274,-.8684635162353516,69429,-.2563447952270508,733044,.2400188446044922,1145509,-.2234077453613281,137874,.437591552734375,132449,-.3603048324584961,86503,-.7538433074951172,425233,.2641983032226563,9768,-.7107534408569336,912528,-.0794105529785156,357550,-.6323843002319336,7205,164979,-.1584873199462891,86445,62076,9085,591545,-.1334095001220703,521632,.4261741638183594,688895,-.0008573532104492,30595,-.4487791061401367,224516,43254,-.142730712890625,455292,-.1615705490112305,4675983,.6891365051269531,489926,-.001103401184082,92616,-.1894922256469727,14255469,417694,139084,36274,-.1921558380126953,187727,-.3516082763671875,181194,18902,-.5888557434082031,27206,-2.347699165344238,1759882,-.0387592315673828,185205,-.0464973449707031,229364,79086,.3531084060668945,239530,-.0397701263427734,2026,2.513952255249023,3341020,70304,.9660329818725586,43949,25582,1047686,3563763,-.085688591003418,633607,-.279667854309082,7842492,-.0138330459594727,matched (3),358416.28,.85648978,77579.148,97638.703
201008,722240,607,3347,124661,08,0,0,0,0,0,0,1,0,0,0,0,24701,.3483638763427734,513007,-1.09203052520752,398737,.5934295654296875,86045,.2145662307739258,405505,-.5920724868774414,1525351,.2863750457763672,311491,.8150300979614258,143906,.0829629898071289,246804,1.048415184020996,459962,.0785064697265625,13361,.3132286071777344,1003353,.094883918762207,1052464,1.079614639282227,1100,104001,-.4614181518554688,77885,131613,13264,639626,.0781459808349609,470520,-.103123664855957,951245,.3226823806762695,128021,1.431357383728027,193217,185010,1.453320503234863,277029,-.4968166351318359,3405229,-.3171272277832031,563957,.1407232284545898,97556,.0519647598266602,11205220,281131,338624,7301,-1.603090286254883,472653,.9233722686767578,150865,31213,.5015668869018555,505,-3.986634731292725,2626879,.4005498886108398,325541,.5640249252319336,147288,82270,.0394706726074219,550061,.8313512802124023,3131,.4352889060974121,2128792,31487,-.8032541275024414,36522,15030,1214597,4896817,.3177680969238281,651594,.0279922485351563,6048862,-.2596864700317383,matched (3),-2271.2407,.85648978,52596.863,79254.156
201009,722240,608,3347,141928,09,0,0,0,0,0,0,0,1,0,0,0,22669,-.085845947265625,621933,.1925430297851563,328832,-.1927547454833984,68233,-.2319421768188477,637040,.4516992568969727,2061895,.3014011383056641,35542,-2.170655250549316,155437,.0770797729492188,207535,-.1732940673828125,648268,.3431596755981445,26360,.6795072555541992,1093789,.0862998962402344,1342853,.2436618804931641,4967,105522,.0145196914672852,157085,110240,35333,698834,.0885295867919922,448193,-.048614501953125,626329,-.4178953170776367,174829,.3116140365600586,201053,42467,-1.471682548522949,779275,1.034241676330566,3939372,.1457090377807617,464443,-.1941385269165039,81675,-.1776790618896484,8519455,345932,111413,34779,1.561002731323242,471382,-.0026922225952148,181306,32499,.040374755859375,7209,2.65852689743042,2242744,-.1580963134765625,201496,-.4797191619873047,187964,105864,.2521495819091797,820607,.4000148773193359,12031,1.346134185791016,2709089,132609,1.437829971313477,27168,34650,1395557,4911808,.0030574798583984,888214,.3097915649414063,6994104,.145197868347168,matched (3),258713.86,.85648978,44088.945,73882.523
201010,722240,609,3347,107640,10,0,0,0,0,0,0,0,0,1,0,0,22071,-.0267333984375,415451,-.403468132019043,193365,-.5309677124023438,28584,-.870081901550293,573470,-.1051273345947266,1845640,-.1107988357543945,90955,.9396495819091797,169000,.0836582183837891,122686,-.5256719589233398,551933,-.1608772277832031,22430,-.1614475250244141,1357663,.2161169052124023,1158106,-.14801025390625,12003,100420,-.0495586395263672,17149,116679,35215,602929,-.147613525390625,481350,.0713701248168945,422750,-.3930950164794922,36493,-1.56668758392334,208345,29692,-.3578500747680664,980262,.2294559478759766,3820573,-.0306205749511719,454471,-.0217046737670898,96709,.1689586639404297,5878696,474193,128797,9253,-1.324066162109375,181938,-.9520025253295898,234484,24469,-.2838020324707031,312,-3.140081882476807,2019629,-.1047868728637695,181883,-.1024055480957031,132725,56376,-.6301126480102539,1067043,.2626018524169922,4110,-1.074063301086426,1478196,77824,-.5329551696777344,18600,33033,1034791,2995721,-.4944572448730469,826733,-.0717306137084961,4442621,-.4538230895996094,matched (3),-44750.578,.85648978,43422.043,73486.5
