period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1058c428,growth1058c428,Y1383c344,Y1600c208,growth1600c208,Y1686c752,growth1686c752,Y1806c703,growth1806c703,Y1906c208,growth1906c208,Y1924c208,growth1924c208,Y1967c208,Y2073c124,growth2073c124,Y2093c268,growth2093c268,Y2361c752,growth2361c752,Y2364c752,growth2364c752,Y2380c484,growth2380c484,Y2404c554,Y2452c152,growth2452c152,Y2467c124,growth2467c124,Y2481c752,growth2481c752,Y2674c218,Y2764c484,growth2764c484,Y2795c208,growth2795c208,Y2816c344,Y2831c124,growth2831c124,Y2925c152,growth2925c152,Y2962c372,growth2962c372,Y3038c152,growth3038c152,Y3150c757,growth3150c757,Y3176c752,Y3238c484,growth3238c484,Y3291c372,growth3291c372,Y343c208,Y3465c32,Y3570c705,growth3570c705,Y3762c484,growth3762c484,Y3768c152,growth3768c152,Y3925c826,growth3925c826,Y3975c152,growth3975c152,Y4082c36,Y4163c32,Y4272c36,Y4391c428,growth4391c428,Y4514c348,growth4514c348,Y4584c376,Y4607c152,growth4607c152,Y4706c208,growth4706c208,Y4754c152,growth4754c152,Y4918c152,growth4918c152,Y4924c484,growth4924c484,Y573c757,growth573c757,Y664c124,growth664c124,Y873c124,growth873c124,_merge,x,r2,s,sf
201001,722300,600,3348,1351896,01,0,0,0,0,0,0,0,0,0,0,0,34815,,5255657,54111,,1998971,,371215,,717557,,409286,,153771,1601331,,103653,,238391,,394246,,87418,,36726,192802,,15385,,450783,,789,4299643,,835540,,4036902,11632757,,2356215,,26697,,129375,,232346,,255586,1256282,,517,,1239047,87474,29788,,588412,,212389,,1366523,,474815,,305906,166949,3520176,1241602,,34947940,,9277000,1979112,,336011,,525026,,46172,,3157240,,795981,,356482,,464737,,matched (3),,.87073952,,
201002,722300,601,3348,2103848,02,1,0,0,0,0,0,0,0,0,0,0,139959,1.391301155090332,4724410,100347,.6175966262817383,4465570,.8037643432617188,403837,.0842304229736328,669669,-.0690689086914063,840681,.7197980880737305,78288,1570717,-.0193023681640625,181198,.5585412979125977,270374,.1258945465087891,173982,-.818023681640625,16187,-1.686491966247559,155866,243626,.2339706420898438,30681,.6902503967285156,484547,.0722284317016602,1184,3875754,-.1037912368774414,837643,.0025138854980469,1774704,12825548,.0976142883300781,547578,-1.459306716918945,26371,-.0122861862182617,100618,-.2513837814331055,252149,.0817928314208984,588616,1412769,.1173954010009766,24893,3.874299049377441,1484445,167063,264200,2.182600975036621,796810,.3031883239746094,71530,-1.088301658630371,1525888,.1103067398071289,134565,-1.26087760925293,531091,395760,2684731,1882052,.4159603118896484,36734968,.0498695373535156,4242000,2089042,.0540580749511719,301397,-.1087160110473633,513623,-.0219573974609375,152174,1.192651748657227,2742045,-.1409940719604492,647214,-.2068986892700195,268746,-.2825174331665039,631140,.306056022644043,matched (3),2096219.8,.87073952,232406.61,331505.31
201003,722300,602,3348,1818709,03,0,1,0,0,0,0,0,0,0,0,0,1424,-4.587879657745361,4857075,18962,-1.666197776794434,6802988,.420964241027832,408267,.0109100341796875,538620,-.2177724838256836,660356,-.2414331436157227,235709,1729077,.0960550308227539,181115,-.000457763671875,309517,.1352062225341797,354210,.7109384536743164,14885,-.0838546752929688,62576,161218,-.412877082824707,17677,-.5513792037963867,631526,.2649240493774414,2483,5792099,.4017543792724609,1499862,.5825357437133789,1462098,10561056,-.1942653656005859,1994418,1.2926025390625,55620,.7462778091430664,247911,.901738166809082,245056,-.028533935546875,885789,2189503,.4381227493286133,6473,-1.346946716308594,2073048,262754,12904,-3.019168853759766,558970,-.3545198440551758,72586,.0146551132202148,1059302,-.3649663925170898,242067,.5871667861938477,330529,426117,3968709,1112577,-.5256834030151367,41866308,.1307525634765625,4959000,1817427,-.1392841339111328,380511,.2330875396728516,382053,-.2959308624267578,263041,.5472850799560547,3067514,.1121635437011719,1075854,.5081930160522461,194532,-.3231697082519531,559884,-.1197977066040039,matched (3),1583270.4,.87073952,199753.14,309490.34
201004,722300,603,3348,1132466,04,0,0,1,0,0,0,0,0,0,0,0,34276,3.180975437164307,5808194,127682,1.907106399536133,5060830,-.2958307266235352,264132,-.4354724884033203,666832,.2135276794433594,714845,.0792865753173828,114502,2263746,.2694330215454102,335032,.6150932312011719,263582,-.1606483459472656,326598,-.0811595916748047,25480,.5375394821166992,37480,251574,.4449796676635742,14925,-.1692266464233398,368953,-.5374698638916016,979,4588743,-.2328882217407227,753808,-.6879901885986328,999799,7319084,-.3666877746582031,1133273,-.5652427673339844,36209,-.4292354583740234,285474,.1410808563232422,236976,-.0335273742675781,628794,1753578,-.2220163345336914,21068,1.18011474609375,1484621,197815,31165,.8817577362060547,500557,-.1103744506835938,58626,-.2135944366455078,1524710,.3641948699951172,223516,-.0797319412231445,0,101682,0,1063781,-.0448493957519531,37571152,-.1082439422607422,4117000,2030533,.1108760833740234,247895,-.4285106658935547,493195,.255345344543457,252082,-.0425558090209961,2464913,-.2187118530273438,729114,-.3890399932861328,72698,-.984283447265625,403182,-.3283414840698242,matched (3),2201162.3,.87073952,150164.75,280057.84
201005,722300,604,3348,2286347,05,0,0,0,1,0,0,0,0,0,0,0,71228,.731440544128418,7687083,142254,.1080713272094727,4685839,-.0769853591918945,273091,.033355712890625,488814,-.3105564117431641,269801,-.9743814468383789,119020,1594977,-.3501615524291992,239455,-.3358602523803711,277085,.0499601364135742,114712,-1.046305656433106,28701,.1190385818481445,58522,169586,-.3943767547607422,97403,1.875819206237793,554998,.4082956314086914,2071,4722839,.028803825378418,960045,.2418422698974609,1621962,8722623,.1754350662231445,659756,-.5409946441650391,42147,.1518564224243164,242111,-.1647539138793945,194051,-.1998376846313477,459828,1576293,-.1065826416015625,50574,.8756828308105469,1695601,146217,9712,-1.165933609008789,667708,.2881288528442383,64926,.1020698547363281,2275906,.40057373046875,117855,-.6400270462036133,0,106165,0,1558877,.382136344909668,34093624,-.0971260070800781,4753000,2303136,.1259737014770508,311471,.2283010482788086,408187,-.1891794204711914,119662,-.7450828552246094,3220566,.2674007415771484,627630,-.1498794555664063,225198,1.130666732788086,402493,-.0017108917236328,matched (3),1830898.6,.87073952,151710.2,280889.53
201006,722300,605,3348,2604087,06,0,0,0,0,1,0,0,0,0,0,0,110482,.4389667510986328,8530072,16028,-2.183277130126953,6985440,.3992824554443359,297487,.0855655670166016,603153,.2101888656616211,491287,.5993442535400391,89539,2288139,.3608798980712891,222509,-.0733976364135742,278432,.0048494338989258,700834,1.809846878051758,43482,.4154148101806641,48943,204398,.1867084503173828,14567,-1.90009880065918,537308,-.0323934555053711,1939,4788540,.0138149261474609,1086957,.1241569519042969,2117488,10825269,.2159624099731445,2703218,1.410327911376953,130443,1.129772186279297,461052,.6441144943237305,285252,.3852519989013672,1353694,2049577,.2625579833984375,8961,-1.730555534362793,1276387,217038,22063,.8205404281616211,692750,.0368185043334961,207573,1.162235260009766,1437996,-.4591274261474609,25219,-1.541857719421387,0,1293611,0,3218074,.7248172760009766,39640568,.1507415771484375,5758000,1604781,-.3612842559814453,348635,.1127195358276367,345201,-.167597770690918,281810,.8565616607666016,2957453,-.0852279663085938,732283,.1542167663574219,71792,-1.143207550048828,505943,.2287464141845703,matched (3),1525740.6,.87073952,160621.42,285800.97
201007,722300,606,3348,2528182,07,0,0,0,0,0,1,0,0,0,0,0,75485,-.3809185028076172,5211122,14695,-.0868301391601563,6118419,-.1325244903564453,286449,-.0378093719482422,730325,.1913185119628906,205205,-.8730192184448242,214776,2034734,-.1173734664916992,204790,-.0829830169677734,134746,-.7257823944091797,119808,-1.76638126373291,43040,-.0102167129516602,20708,192557,-.0596771240234375,85169,1.765879631042481,260445,-.7241792678833008,5310,4603659,-.0393733978271484,929333,-.1566696166992188,2452057,9352113,-.1462802886962891,1612134,-.5168848037719727,84962,-.4287319183349609,457954,-.0067424774169922,140311,-.7095117568969727,368804,1855814,-.0993099212646484,23833,.9781894683837891,1216536,189580,25779,.1556577682495117,677241,-.0226421356201172,192809,-.0737829208374023,1521602,.0565128326416016,124842,1.599451065063477,132951,340017,3670738,4772690,.3941268920898438,42410692,.0675487518310547,4846000,2857181,.576848030090332,233240,-.4019575119018555,351836,.019038200378418,308162,.0893926620483398,2760442,-.0689382553100586,468944,-.445683479309082,107618,.4048147201538086,490947,-.0300874710083008,matched (3),1927816.4,.87073952,151522.56,280788.25
201008,722300,607,3348,2576871,08,0,0,0,0,0,0,1,0,0,0,0,13181,-1.745158195495606,6169005,182918,2.521531105041504,4735620,-.256190299987793,338868,.1680498123168945,944404,.2570648193359375,378442,.6120529174804688,61772,2079917,.0219621658325195,135742,-.411229133605957,290554,.7683982849121094,268743,.8078651428222656,45259,.0502710342407227,21563,223279,.1480302810668945,80007,-.0625238418579102,342581,.2741165161132813,32020,6798117,.3897933959960938,1104479,.1726617813110352,3223935,10137362,.0806255340576172,1211552,-.2856559753417969,30992,-1.008475303649902,580342,.2368488311767578,208297,.3951034545898438,2153065,2335493,.2298994064331055,47720,.6942787170410156,1360177,276406,29336,.1292552947998047,725541,.0688905715942383,74829,-.9464950561523438,2940810,.6589212417602539,335619,.9889278411865234,379959,518766,4050492,5036261,.0537538528442383,45970008,.0805873870849609,3489000,2698379,-.0571842193603516,241853,.0362625122070313,659178,.6278285980224609,321363,.0419454574584961,3849267,.3324918746948242,845429,.589360237121582,205215,.6454706192016602,550682,.1148214340209961,matched (3),2960027,.87073952,199953.66,309619.78
201009,722300,608,3348,2840766,09,0,0,0,0,0,0,0,1,0,0,0,185153,2.642406463623047,6334411,143653,-.2416372299194336,5777941,.1989345550537109,598485,.5687904357910156,770316,-.2037534713745117,566684,.4037389755249023,104478,2267935,.0865421295166016,321777,.863102912902832,392867,.3016815185546875,219669,-.2016334533691406,20125,-.8104381561279297,126524,179562,-.2179012298583984,52993,-.4119539260864258,401130,.1577768325805664,3929,4464127,-.4205713272094727,1573079,.3536605834960938,2349452,10709906,.0549411773681641,1559529,.2524814605712891,47952,.4364719390869141,364205,-.4659004211425781,331793,.4655466079711914,1039472,2397807,.026331901550293,25480,-.6274566650390625,1574149,455784,21519,-.3098793029785156,939291,.2582082748413086,311896,1.427464485168457,1377825,-.7581787109375,282004,-.1740550994873047,1593455,721760,3827859,6873293,.310978889465332,49412416,.0722122192382813,3079000,3525609,.2674016952514648,317405,.2718477249145508,527735,-.2223997116088867,300004,-.0687751770019531,2591206,-.3957586288452148,1057301,.2236309051513672,245074,.1775016784667969,410609,-.2935161590576172,matched (3),1933990.4,.87073952,208669.95,315319.03
201010,722300,609,3348,1474613,10,0,0,0,0,0,0,0,0,1,0,0,2060,-4.498476505279541,6052554,16774,-2.147570610046387,4758236,-.1941709518432617,367492,-.4876995086669922,647670,-.1734189987182617,473318,-.1800336837768555,144473,2504910,.0993833541870117,106315,-1.107452392578125,361350,-.0836238861083984,370772,.5234651565551758,75441,1.32138729095459,28042,57580,-1.137345314025879,47089,-.1181211471557617,453376,.1224365234375,1486,3986754,-.1130962371826172,1315170,-.1790685653686523,2560258,8096942,-.2796831130981445,699105,-.8023386001586914,13834,-1.243071556091309,324441,-.1156129837036133,169721,-.6703557968139648,1571403,2313298,-.0358810424804688,7577,-1.212776184082031,1360836,190250,21212,-.014369010925293,633026,-.3946142196655273,206529,-.4122285842895508,1791268,.2624177932739258,147202,-.650115966796875,56074,482665,3776989,5341512,-.2521343231201172,48355764,-.0216159820556641,5287000,2675295,-.2759933471679688,279802,-.1260957717895508,381204,-.3252601623535156,277338,-.0785589218139648,2434413,-.0624179840087891,859266,-.2073965072631836,133536,-.6071891784667969,782978,.6454629898071289,matched (3),2451148,.87073952,232479.36,331556.31
