period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1162c554,Y1359c203,Y1382c251,growth1382c251,Y1499c620,growth1499c620,Y1702c616,growth1702c616,Y1714c68,growth1714c68,Y1731c440,growth1731c440,Y1822c554,Y1847c757,growth1847c757,Y1913c222,growth1913c222,Y1944c372,Y2084c688,growth2084c688,Y2089c484,growth2089c484,Y2151c440,growth2151c440,Y2165c203,Y2584c705,growth2584c705,Y2623c642,Y2641c246,growth2641c246,Y2653c300,growth2653c300,Y2661c484,growth2661c484,Y2852c642,Y3069c484,growth3069c484,Y3178c484,growth3178c484,Y3311c807,growth3311c807,Y3385c484,growth3385c484,Y3392c826,growth3392c826,Y3413c246,growth3413c246,Y3422c586,growth3422c586,Y3429c372,growth3429c372,Y3475c600,growth3475c600,Y3531c642,Y3542c32,Y3572c807,growth3572c807,Y3709c642,Y3732c688,growth3732c688,Y382c442,Y3867c484,growth3867c484,Y3941c705,growth3941c705,Y3945c620,growth3945c620,Y4138c703,growth4138c703,Y415c757,growth415c757,Y4284c246,growth4284c246,Y4313c703,growth4313c703,Y4383c600,growth4383c600,Y4483c218,Y4980c440,Y4993c440,growth4993c440,Y667c246,growth667c246,Y841c152,growth841c152,Y975c484,growth975c484,_merge,x,r2,s,sf
201001,722850,600,3372,448901,01,0,0,0,0,0,0,0,0,0,0,0,72356,257,12420248,,377266,,479451,,30213,,1130242,,6731,71248,,25732,,24564,111441,,1735082,,35951,,1140214,314423,,421379,279089,,441393,,420468,,133964,898001,,1672057,,2232,,49489,,2746350,,233040,,22128,,3589799,,18483,,60924,23864,389109,,48695,199420,,166643,1012403,,1431306,,5824182,,203744,,40178,,1416720,,128414,,12242,,1654182,0,52501,,2129810,,423373504,,37580,,matched (3),,.87216765,,
201002,722850,601,3372,743795,02,1,0,0,0,0,0,0,0,0,0,0,41448,684,23353256,.63140869140625,336543,-.1142244338989258,313069,-.4262180328369141,68546,.8192329406738281,1703597,.4103097915649414,5058,83234,.1554899215698242,73371,1.047793388366699,15031,192108,.5445632934570313,1755656,.0117874145507813,32092,-.1135501861572266,1184390,395551,.2295398712158203,348665,206674,-.3003873825073242,562028,.2416162490844727,866468,.7230567932128906,361299,1382224,.4312772750854492,1948068,.1527833938598633,38649,2.851622581481934,131063,.9739274978637695,3716907,.3026189804077148,176254,-.2792835235595703,200095,2.201949119567871,4380169,.1989908218383789,16443,-.1169519424438477,78782,38989,552706,.3509674072265625,69133,235681,.1670656204223633,159573,1518361,.4053049087524414,902075,-.4616451263427734,528187,-2.400322914123535,849453,1.427727699279785,14693,-1.005949020385742,1275568,-.1049528121948242,37043,-1.243180274963379,85547,1.944192886352539,1647766,29896,93479,.576904296875,2887401,.3043231964111328,474729664,.1144905090332031,327529,2.165104866027832,matched (3),4213808,.87216765,438616.94,748562
201003,722850,602,3372,616310,03,0,1,0,0,0,0,0,0,0,0,0,74576,16026,19818840,-.1641044616699219,462650,.3182449340820313,337151,.0741071701049805,39249,-.5575790405273438,1660666,-.0255231857299805,8336,135015,.483729362487793,14814,-1.599956512451172,8251,161437,-.1739435195922852,2898711,.5014238357543945,18442,-.5539760589599609,1115681,318575,-.2164220809936523,467541,213961,.0346508026123047,383855,-.3812875747680664,826522,-.0471982955932617,204053,1777600,.2515707015991211,3130617,.4743919372558594,22914,-.5227727890014648,345013,.9679040908813477,3543059,-.0479021072387695,245713,.3322381973266602,17126,-2.458194732666016,4666628,.063349723815918,20300,.2107210159301758,47169,64845,408284,-.3028631210327148,79793,262691,.1084995269775391,155975,1786533,.1626453399658203,604663,-.4000263214111328,55760,-2.248394012451172,96426,-2.175816535949707,24009,.491058349609375,1355264,.0606050491333008,27375,-.3024492263793945,11137,-2.038792610168457,2748622,72410,90641,-.0308294296264648,3914954,.3044471740722656,117167080,-1.399145126342773,104253,-1.144756317138672,matched (3),-2458133,.87216765,554493,821841.06
201004,722850,603,3372,2272220,04,0,0,1,0,0,0,0,0,0,0,0,95383,295,15386288,-.2531566619873047,465561,.0062723159790039,637107,.6364068984985352,76737,.6704578399658203,1942812,.1569175720214844,8899,108421,-.2193641662597656,63551,1.456270217895508,21604,210406,.2649240493774414,1608237,-.5891275405883789,29343,.4644231796264648,1106336,466833,.3821144104003906,0,269481,.2307043075561523,431983,.1181221008300781,751324,-.0953893661499023,0,1986836,.1112794876098633,3640520,.1508970260620117,55946,.89263916015625,284446,-.1930379867553711,4095382,.1448698043823242,396720,.4790668487548828,44083,.9454765319824219,5086873,.0862264633178711,20101,-.0098514556884766,0,324183,899820,.7902317047119141,0,458075,.5560541152954102,174394,2196536,.2066049575805664,520873,-.149165153503418,1742040,3.441755294799805,556875,1.753564834594727,16025,-.4042787551879883,1337257,-.0133762359619141,37595,.3172407150268555,17564,.4555778503417969,628422,40475,102949,.1273269653320313,5301043,.3030996322631836,117723856,.0047416687011719,172443,.5032463073730469,matched (3),4291400,.87216765,321151.56,686366.19
201005,722850,604,3372,1470325,05,0,0,0,1,0,0,0,0,0,0,0,37869,7799,14039432,-.0916061401367188,399081,-.1540794372558594,284520,-.8061342239379883,106004,.3230924606323242,1915771,-.0140161514282227,9446,64724,-.5158891677856445,52610,-.1889362335205078,18917,100987,-.7340469360351563,1842152,.1357955932617188,27329,-.0711050033569336,677108,279810,-.5118608474731445,491765,246793,-.0879478454589844,319860,-.3005027770996094,676110,-.1054811477661133,157739,3543798,.5786552429199219,3434290,-.0583162307739258,108361,.6610813140869141,166557,-.5352058410644531,3216786,-.2414770126342773,303659,-.2673254013061523,43015,-.0245256423950195,4207871,-.1897068023681641,33517,.5112838745117188,73883,22296,602363,-.4013347625732422,124721,346658,-.2786941528320313,161745,1785740,-.2070484161376953,486285,-.0687112808227539,1667438,-.0437688827514648,153155,-1.290889739990234,15635,-.0246381759643555,1415038,.0565366744995117,195440,1.648383140563965,80941,1.52786922454834,1467541,97518,98239,-.0468311309814453,4483580,-.1674814224243164,371149728,1.148263931274414,103992,-.5057525634765625,matched (3),2973521.3,.87216765,367988.38,709489.69
201006,722850,605,3372,804557,06,0,0,0,0,1,0,0,0,0,0,0,1459,635,16169305,.1412448883056641,444688,.1082086563110352,537942,.6369476318359375,52009,-.7120599746704102,1688516,-.1262702941894531,8037,104903,.4829034805297852,37549,-.3372592926025391,51164,91308,-.1007537841796875,1548606,-.173579216003418,29494,.0762386322021484,1165094,211122,-.2816743850708008,393215,284206,.1411495208740234,283046,-.1222743988037109,545406,-.2148256301879883,94178,1570337,-.813908576965332,3185079,-.0753335952758789,3314,-3.487312316894531,162334,-.0256824493408203,3455659,.0716304779052734,133204,-.8240242004394531,10343,-1.425238609313965,3503216,-.1832752227783203,19799,-.5264215469360352,20862,36203,538856,-.1114120483398438,215406,542848,.448491096496582,175331,1045800,-.5350513458251953,349482,-.3303432464599609,700078,-.8678512573242188,200026,.2669963836669922,38372,.8978157043457031,1501156,.0590791702270508,1550,-4.83699893951416,19027,-1.447861671447754,1209279,32109,61345,-.4708890914916992,5400397,.1860504150390625,331456704,-.1131095886230469,219103,.7452278137207031,matched (3),3160395.3,.87216765,424977.25,740652.31
201007,722850,606,3372,1779843,07,0,0,0,0,0,1,0,0,0,0,0,69683,102,11149567,-.3717136383056641,478913,.0741462707519531,502797,-.0675640106201172,41234,-.2321538925170898,2473653,.3818464279174805,9443,124300,.1696624755859375,28530,-.2746906280517578,12423,122999,.297938346862793,1569277,.0132598876953125,28564,-.0320405960083008,1397335,237315,.1169519424438477,379781,505748,.5763387680053711,391550,.3245038986206055,444613,-.2043266296386719,151319,2609924,.508030891418457,3428802,.0737342834472656,19605,1.777628898620606,202705,.2220964431762695,5517295,.4678745269775391,136420,.0238571166992188,29977,1.064120292663574,4276690,.199498176574707,26224,.2810430526733398,30029,41233,552397,.0248184204101563,177272,203786,-.9797592163085938,185105,1859376,.5754594802856445,803783,.8328781127929688,1063878,.4184837341308594,56454,-1.265021324157715,23999,-.4693155288696289,1117901,-.2947826385498047,68734,3.791989326477051,100730,1.666584968566895,1018669,39055,109675,.5810079574584961,6279808,.1508674621582031,271719808,-.1987247467041016,235336,.07147216796875,matched (3),2385996,.87216765,370971.78,711041.69
201008,722850,607,3372,1734998,08,0,0,0,0,0,0,1,0,0,0,0,76578,1379,8776836,-.2392854690551758,401941,-.1752138137817383,332526,-.4134683609008789,108834,.9705610275268555,1705558,-.3718042373657227,8030,135229,.0842714309692383,66926,.852630615234375,15669,73338,-.5170974731445313,2826079,.5882749557495117,29015,.0156660079956055,1587013,212621,-.1098775863647461,221886,269890,-.6280241012573242,284496,-.3193941116333008,672114,.4132242202758789,136950,2572946,-.0142698287963867,4021331,.1594018936157227,6767,-1.063727378845215,246670,.1962995529174805,3568092,-.435856819152832,198309,.3740873336791992,28748,-.0418624877929688,3287214,-.2631387710571289,11291,-.8426685333251953,85400,43161,421235,-.2710762023925781,162860,680223,1.205349922180176,137233,1417636,-.2712507247924805,990538,.208918571472168,78441,-2.607328414916992,88081,.4448308944702148,24530,.0218839645385742,1052582,-.0602073669433594,179128,.9578561782836914,32733,-1.124059677124023,1444992,7880,51482,-.7562894821166992,4324912,-.3729476928710938,414425120,.4221210479736328,150454,-.447357177734375,matched (3),2752693.5,.87216765,317638.66,684729.5
201009,722850,608,3372,1539211,09,0,0,0,0,0,0,0,1,0,0,0,33065,271,21616220,.9013280868530273,441275,.0933628082275391,190948,-.5547170639038086,19170,-1.736476898193359,1667252,-.0227155685424805,6927,67998,-.6874914169311523,64298,-.0400590896606445,17269,77921,.0606164932250977,2712960,-.0408496856689453,35313,.1964387893676758,1421756,248491,.1558952331542969,420491,310934,.141566276550293,335272,.1642227172851563,407772,-.4997196197509766,208157,1503368,-.5373430252075195,4447382,.1007022857666016,20876,1.126543045043945,116304,-.7518444061279297,4133294,.1470432281494141,124781,-.4632654190063477,22457,-.2469654083251953,3717596,.1230363845825195,27260,.8814144134521484,43171,14498,692078,.4965076446533203,109158,420057,-.482029914855957,138729,1228011,-.1435947418212891,469773,-.7459983825683594,1500473,2.951188087463379,51446,-.537724494934082,15489,-.4597663879394531,1238400,.1625747680664063,68874,-.9558219909667969,30987,-.0548162460327148,2132058,4288,74146,.3648042678833008,3635575,-.1736249923706055,364482144,-.1284160614013672,100561,-.40289306640625,matched (3),2802550,.87216765,335279.34,693089.06
201010,722850,609,3372,1716778,10,0,0,0,0,0,0,0,0,1,0,0,82941,18247,11259502,-.6522312164306641,443819,.0057487487792969,734582,1.347300529479981,13471,-.3528079986572266,2501690,.4057903289794922,13124,75685,.1071014404296875,33006,-.6668386459350586,7422,162293,.733708381652832,2117098,-.2479944229125977,46935,.2845125198364258,1501557,326991,.2745265960693359,601865,393202,.2347431182861328,347647,.0362453460693359,522438,.247797966003418,200228,1311329,-.1366672515869141,4763164,.0685968399047852,36365,.5550060272216797,179323,.4329814910888672,3355709,-.2084112167358398,318408,.9367733001708984,6599,-1.224684715270996,3870592,.0403299331665039,9622,-1.04136848449707,110231,159677,631510,-.0915842056274414,179494,497828,.1698637008666992,193544,1520946,.2139368057250977,959174,.7138223648071289,1123568,-.2892704010009766,77142,.4051151275634766,42214,1.002621650695801,1533228,.2135543823242188,77045,.1121110916137695,57446,.6172780990600586,1473115,20590,52631,-.3427314758300781,2967413,-.2030763626098633,607299264,.5105457305908203,153924,.425694465637207,matched (3),4131089.8,.87216765,426412.53,741476.81
