period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1161c440,growth1161c440,Y1219c826,growth1219c826,Y1233c757,growth1233c757,Y1262c616,growth1262c616,Y1273c246,growth1273c246,Y1403c218,Y1549c792,growth1549c792,Y1602c642,Y1640c372,growth1640c372,Y1663c218,Y1772c246,growth1772c246,Y1854c484,growth1854c484,Y1896c484,growth1896c484,Y1906c826,growth1906c826,Y1925c124,growth1925c124,Y2051c352,growth2051c352,Y2148c268,growth2148c268,Y2228c616,growth2228c616,Y2320c300,growth2320c300,Y2422c300,growth2422c300,Y2582c752,growth2582c752,Y2885c191,growth2885c191,Y2916c208,growth2916c208,Y2947c440,growth2947c440,Y3037c807,Y3078c642,Y3157c826,growth3157c826,Y3166c826,growth3166c826,Y3257c705,growth3257c705,Y3287c124,growth3287c124,Y3345c484,growth3345c484,Y3417c608,Y3689c233,Y3693c268,growth3693c268,Y3717c586,growth3717c586,Y3773c222,growth3773c222,Y4272c68,growth4272c68,Y4379c124,growth4379c124,Y4496c372,growth4496c372,Y4510c428,growth4510c428,Y4837c222,growth4837c222,Y4953c616,growth4953c616,Y4970c792,growth4970c792,Y4992c484,growth4992c484,Y544c124,growth544c124,Y556c246,growth556c246,Y716c752,growth716c752,Y740c124,growth740c124,Y971c218,Y982c376,_merge,x,r2,s,sf
201001,722860,600,3373,291332,01,0,0,0,0,0,0,0,0,0,0,0,3866,,2280922,,149117,,380333,,577856,,336525,862634,,1066226,10226118,,3304317,1929334,,1859700,,240157,,8599023,,8547,,68607,,5631,,1615827,,77000,,7877,,593638,,1533,,7363,,1311,,65249,15437,2189399,,375110976,,815386,,367587,,1897835,,261601,2248,1717,,19921,,655201,,60389,,1516635,,450981,,45999,,90858,,5007230,,205736,,1231287,,106400,,35032,,220240,,417081,,182740,309000,matched (3),,.90138924,,
201002,722860,601,3373,162136,02,1,0,0,0,0,0,0,0,0,0,0,103521,3.287554740905762,2051205,-.1061515808105469,210965,.3469610214233398,831089,.7816896438598633,432930,-.2887487411499023,732327,518373,-.5092954635620117,1556275,6273931,-.4885416030883789,5015361,1521722,-.2373323440551758,1694947,-.0927639007568359,178876,-.2946004867553711,7186583,-.1794328689575195,11121,.2632551193237305,98106,.3576545715332031,1477,-1.338274478912354,1540647,-.0476446151733398,29052,-.9747180938720703,76632,2.275067329406738,1030332,.551365852355957,982,-.4453907012939453,2094,-1.257390975952148,12603,2.263144969940186,21234,3147,2359811,.0749549865722656,177351808,-.7490863800048828,1240060,.4192533493041992,254101,-.3692283630371094,2424572,.2449407577514648,113207,9545,6305,1.300764083862305,51678,.9532575607299805,709085,.0790328979492188,60310,-.0013084411621094,1280399,-.1693220138549805,116702,-1.351800918579102,47533,.0328044891357422,28528,-1.158411979675293,2049238,-.8934144973754883,203911,-.0089101791381836,1122736,-.0922908782958984,114186,.0706233978271484,28970,-.1900005340576172,377044,.5376443862915039,406955,-.0245771408081055,222188,113000,matched (3),28050.834,.90138924,145610.92,242159.86
201003,722860,602,3373,52226,03,0,1,0,0,0,0,0,0,0,0,0,2696,-3.648005485534668,2283534,.1072959899902344,270608,.2489795684814453,627013,-.2817697525024414,68507,-1.843640327453613,194586,379110,-.3128681182861328,1184925,9719416,.4377222061157227,4818731,1320399,-.1419086456298828,2146977,.2364101409912109,201332,.1182622909545898,6585751,-.0873079299926758,1829,-1.805065631866455,106920,.0860319137573242,10063,1.91885232925415,1881393,.1998100280761719,109869,1.330201148986816,3942,-2.967326164245606,737779,-.3339920043945313,138,-1.962337493896484,1903,-.095644474029541,3526,-1.273771286010742,31783,11804,2298568,-.0262956619262695,281380800,.4615726470947266,2407808,.6635570526123047,217495,-.1555557250976563,3166292,.26690673828125,152764,1885,4574,-.3209543228149414,5867,-2.175688743591309,571848,-.2151021957397461,40764,-.3916988372802734,1182954,-.0791568756103516,128903,.0994358062744141,29293,-.4840755462646484,23448,-.196101188659668,3686802,.5872907638549805,231765,.1280403137207031,1428147,.2406091690063477,353418,1.129822731018066,16841,-.542445182800293,299459,-.2303848266601563,500050,.2060050964355469,91357,51000,matched (3),-72461.281,.90138924,125078.93,230398.78
201004,722860,603,3373,144303,04,0,0,1,0,0,0,0,0,0,0,0,99278,3.606154441833496,2073501,-.0964851379394531,185943,-.3752307891845703,711855,.1269073486328125,439960,1.859747886657715,307062,1192718,1.146162986755371,0,8577585,-.1249732971191406,5389098,1743055,.277705192565918,1477420,-.3737640380859375,133156,-.4134340286254883,5792636,-.1283206939697266,3414,.6241154670715332,121297,.1261615753173828,12990,.255314826965332,1904886,.0124092102050781,79065,-.3290185928344727,18342,1.537505149841309,780395,.0561561584472656,980,1.960299015045166,3003,.4561800956726074,7460,.7493915557861328,34451,0,2248109,-.0221967697143555,313218592,.1071929931640625,2471107,.0259494781494141,446375,.7189836502075195,3172344,.0019092559814453,235420,1126,7566,.5032758712768555,49809,2.138853073120117,965745,.5240268707275391,62150,.4217510223388672,551695,-.7627744674682617,214557,.5095157623291016,53913,.6100234985351563,90830,1.354205131530762,5477421,.3958749771118164,179058,-.2580146789550781,1672238,.1577854156494141,320531,-.0976724624633789,72871,1.464875221252441,331304,.1010589599609375,411409,-.1951198577880859,227827,529000,matched (3),1153301,.90138924,260168.13,324231.88
201005,722860,604,3373,108523,05,0,0,0,1,0,0,0,0,0,0,0,3572,-3.324798583984375,1614735,-.2500677108764648,134412,-.3245306015014648,605133,-.1624259948730469,124621,-1.261406898498535,296224,796867,-.4033021926879883,1001966,7068452,-.1935100555419922,3681694,1677404,-.0383920669555664,2157961,.3788661956787109,271833,.7136669158935547,6301956,.0842723846435547,21490,1.839702606201172,87606,-.3253927230834961,741,-2.863934516906738,1531043,-.2184724807739258,56125,-.3426885604858398,653,-3.335371971130371,767719,-.0163764953613281,716,-.3138723373413086,3780,.2301120758056641,1884,-1.376158237457275,900,30681,1546315,-.3742141723632813,356371232,.1290721893310547,2274530,-.0828924179077148,285186,-.4480180740356445,3435089,.0795717239379883,26376,1017,3565,-.7524995803833008,11245,-1.488272666931152,729952,-.2799205780029297,22456,-1.017992973327637,967002,.5612049102783203,188661,-.1286239624023438,51298,-.0497198104858398,55166,-.4986429214477539,4900042,-.1113901138305664,345566,.6574745178222656,1678819,.0039272308349609,112523,-1.046821594238281,12471,-1.765285491943359,327659,-.0110626220703125,379861,-.0797824859619141,174844,411000,matched (3),525127.88,.90138924,124035.06,229833.77
201006,722860,605,3373,358374,06,0,0,0,0,1,0,0,0,0,0,0,3087,-.1459255218505859,2758597,.5355510711669922,113794,-.1665201187133789,731230,.1892795562744141,216493,.552281379699707,674719,577384,-.3221797943115234,955572,17981140,.9336814880371094,6931800,2512148,.4038906097412109,2742674,.2397699356079102,25311,-2.37394905090332,6706764,.0622568130493164,28660,.2879152297973633,122875,.33831787109375,118527,5.074894905090332,2036327,.2851982116699219,61121,.0852737426757813,34131,3.956384658813477,1021124,.2852354049682617,780,.0856137275695801,3210,-.1634531021118164,5813,1.126699924468994,22619,33374,2504775,.4823236465454102,446087136,.2245407104492188,2551025,.1147212982177734,570647,.693629264831543,3412307,-.0066537857055664,237340,2966,889,-1.388822555541992,57262,1.627714157104492,887384,.1952991485595703,148834,1.891274452209473,1082769,.1130762100219727,271199,.3629007339477539,103222,.6992301940917969,60169,.0868101119995117,8485460,.5491104125976563,286730,-.1866426467895508,2179380,.2609500885009766,316795,1.035097122192383,14697,.1642379760742188,262843,-.2204170227050781,636067,.515498161315918,100600,313000,matched (3),818284.81,.90138924,134250.34,235503.75
201007,722860,606,3373,237240,07,0,0,0,0,0,1,0,0,0,0,0,148004,3.870039939880371,1543415,-.5807247161865234,248980,.7829828262329102,844205,.1436672210693359,670766,1.130862236022949,123720,793830,.3183612823486328,728881,9379908,-.6507530212402344,5389598,2500093,-.0048103332519531,2175573,-.2316408157348633,301637,2.477985382080078,10536303,.4517107009887695,18999,-.4111166000366211,57676,-.7563257217407227,11411,-2.34056282043457,2126229,.0432024002075195,58128,-.0502080917358398,2773,-2.510276317596436,914204,-.1106052398681641,262,-1.090949535369873,38999,2.497264862060547,5371,-.0790834426879883,65915,49950,2284014,-.0922641754150391,199839424,-.8029994964599609,2470697,-.0319948196411133,429397,-.284388542175293,4066957,.175506591796875,221279,1380,12515,2.644585609436035,36740,-.4437713623046875,652183,-.307952880859375,40329,-1.305761337280273,1638181,.4140653610229492,347437,.2477312088012695,85841,-.1843852996826172,15872,-1.332600593566895,6942140,-.20074462890625,449393,.4493560791015625,1586747,-.3173542022705078,107205,-1.083511352539063,19346,.2748422622680664,327722,.2206087112426758,488487,-.2639913558959961,147044,420000,matched (3),187937.34,.90138924,155617.95,248305.88
201008,722860,607,3373,174141,08,0,0,0,0,0,0,1,0,0,0,0,137831,-.0712118148803711,2099080,.3075017929077148,233395,-.0646400451660156,528682,-.4680080413818359,845211,.231165885925293,426973,430933,-.6109161376953125,1037100,14753433,.4529056549072266,3946876,2784898,.1078834533691406,2012379,-.0779752731323242,117970,-.9387941360473633,9144669,-.1416568756103516,30022,.4575443267822266,196439,1.225510597229004,570,-2.996696472167969,1786392,-.1741523742675781,15688,-1.309751510620117,529,-1.656696796417236,457217,-.6928958892822266,13807,3.964586734771729,6548,-1.78437614440918,2071,-.9529819488525391,9476,44872,1846269,-.2127676010131836,441572608,.7928276062011719,1623274,-.4200553894042969,329794,-.2639141082763672,4044118,-.0056314468383789,200643,9268,4718,-.9755430221557617,28347,-.2593450546264648,577384,-.1218175888061523,66052,.4933719635009766,1381748,-.1702375411987305,158179,-.7868566513061523,89452,.0412054061889648,51723,1.181345939636231,6229202,-.1083612442016602,188486,-.8688735961914063,1761458,.1044559478759766,505879,1.551554679870606,143215,2.001861572265625,608875,.6194477081298828,468268,-.042271614074707,322,930000,matched (3),487836.78,.90138924,131930.97,234189.33
201009,722860,608,3373,121959,09,0,0,0,0,0,0,0,1,0,0,0,4463,-3.430206298828125,2238143,.0641469955444336,125147,-.6232433319091797,749240,.3486719131469727,443888,-.6440143585205078,163707,546844,.2382106781005859,1002257,12862113,-.1371898651123047,3669209,1890690,-.3872690200805664,2266419,.1188840866088867,93889,-.2283172607421875,8934127,-.0232925415039063,4588,-1.878486633300781,215996,.0949077606201172,10597,2.922689437866211,1820243,.0187721252441406,57776,1.303677558898926,23667,3.800848960876465,884527,.6598949432373047,9655,-.3577003479003906,32201,1.592838287353516,1473,-.3407306671142578,26513,23190,2358155,.2447128295898438,325867200,-.3038520812988281,1743269,.0713176727294922,342608,.0381183624267578,3764812,-.0715656280517578,85283,1547,4678,-.0085134506225586,40524,.3573732376098633,343949,-.5180139541625977,11643,-1.735737800598145,1038547,-.2855262756347656,196138,.2150917053222656,63042,-.3499011993408203,122039,.8584384918212891,6006710,-.0363712310791016,182034,-.0348300933837891,2031329,.142547607421875,227096,-.8009252548217773,13857,-2.335556983947754,142879,-1.449614524841309,464110,-.0089187622070313,258530,182000,matched (3),365693.69,.90138924,137606.14,237432.75
201010,722860,609,3373,274140,10,0,0,0,0,0,0,0,0,1,0,0,8788,.6775655746459961,2680134,.1802206039428711,183263,.3814325332641602,697296,-.0718488693237305,609842,.3176279067993164,705925,710385,.2616434097290039,1197602,15318113,.1747493743896484,6877880,2278872,.1867380142211914,2320689,.0236625671386719,128591,.3145236968994141,11301291,.2350387573242188,37949,2.112799644470215,413925,.6504249572753906,3777,-1.03164005279541,2133523,.1588048934936523,60188,.0408992767333984,60299,.9352331161499023,975278,.0976696014404297,19025,.6782779693603516,109217,1.221339225769043,2860,.6635203361511231,19051,24487,2323120,-.0149688720703125,519939520,.4672222137451172,2639559,.4148492813110352,343853,.0036277770996094,3743839,-.0055866241455078,133224,3738,21937,1.545303344726563,45547,.1168508529663086,811808,.8587703704833984,62420,1.679181098937988,2107766,.7078056335449219,317826,.4826850891113281,69370,.0956535339355469,142988,.1584196090698242,7944359,.2795848846435547,251207,.3220834732055664,2232130,.0942659378051758,247000,.0840158462524414,54657,1.372286796569824,479613,1.210981369018555,627990,.3024024963378906,71741,369000,matched (3),781560.63,.90138924,147199.13,243118.16
