period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1036c705,growth1036c705,Y1188c705,growth1188c705,Y1472c554,Y1485c300,growth1485c300,Y1596c705,growth1596c705,Y1672c705,growth1672c705,Y1685c688,growth1685c688,Y1711c348,Y1751c191,growth1751c191,Y1807c705,growth1807c705,Y1851c586,growth1851c586,Y1856c705,growth1856c705,Y1858c191,growth1858c191,Y2052c620,growth2052c620,Y2105c440,growth2105c440,Y2565c757,growth2565c757,Y2636c348,growth2636c348,Y2739c705,growth2739c705,Y2967c642,Y2987c251,growth2987c251,Y3029c352,growth3029c352,Y303c440,growth303c440,Y3072c642,Y3304c300,growth3304c300,Y3313c620,growth3313c620,Y342c440,growth342c440,Y3458c620,growth3458c620,Y3461c620,growth3461c620,Y3476c372,growth3476c372,Y3520c191,growth3520c191,Y3532c372,growth3532c372,Y3583c703,growth3583c703,Y3689c208,growth3689c208,Y3750c792,growth3750c792,Y3775c372,growth3775c372,Y3839c372,growth3839c372,Y3893c124,growth3893c124,Y38c208,Y3926c203,Y3968c705,growth3968c705,Y4223c344,Y4405c344,Y4506c616,growth4506c616,Y4564c124,growth4564c124,Y4620c616,growth4620c616,Y4649c757,growth4649c757,Y829c381,Y907c208,growth907c208,Y907c616,growth907c616,Y958c826,growth958c826,_merge,x,r2,s,sf
201001,730419,600,3386,1368788,01,0,0,0,0,0,0,0,0,0,0,0,222174,,315470,,206972,472116,,68554,,63190,,97510,,2697,581937,,146547,,28684,,1501189,,47413,,577098,,2144176,,46490,,1740573,,75697,,119949,3084803,,29920,,144477,,452853,57379,,304899,,28821,,9571,,639968,,960977,,1082,,396853,,1018750,,117555,,3272162,,165094,,1863146,,10595,,161691,122749,291506,,29857,62942040,10146,,2301051,,270327,,712439,,1021932,70364,,59933,,49404,,matched (3),,.80936474,,
201002,730419,601,3386,6832557,02,1,0,0,0,0,0,0,0,0,0,0,247391,.107508659362793,335352,.0611171722412109,416846,934405,.6826858520507813,112395,.4943981170654297,238356,1.327618598937988,366701,1.324591636657715,10879,902798,.4391365051269531,239472,.4910898208618164,69133,.8796930313110352,1349281,-.1066856384277344,59394,.2252960205078125,781141,.3027439117431641,1381513,-.4395761489868164,14430,-1.169927597045898,2105850,.1905040740966797,84647,.111750602722168,132484,4004314,.2608842849731445,32802,.0919628143310547,224963,.4428157806396484,738463,130452,.8213272094726563,611167,.6953897476196289,22587,-.2437295913696289,65081,1.916894912719727,889250,.3289604187011719,1141223,.171905517578125,26977,3.21617317199707,396749,-.0002622604370117,1188550,.1541576385498047,104726,-.1155586242675781,3839392,.1598634719848633,119805,-.3206491470336914,2709004,.3743152618408203,55443,1.654973030090332,394874,281253,338984,.1508922576904297,106866,53711616,63071,1.827181816101074,3708803,.4773435592651367,370201,.3144140243530273,593426,-.1827821731567383,1974179,31720,-.7967348098754883,9688,-1.822339057922363,88138,.5788717269897461,matched (3),4882696.5,.80936474,983022.88,1305417.5
201003,730419,602,3386,152764,03,0,1,0,0,0,0,0,0,0,0,0,228137,-.0810232162475586,373099,.106663703918457,359036,482306,-.6613311767578125,53605,-.7403774261474609,178532,-.288996696472168,337102,-.0841608047485352,5790,806530,-.112757682800293,182527,-.2715377807617188,16876,-1.410140037536621,1977535,.3822793960571289,67104,.1220512390136719,905827,.1480922698974609,1059391,-.2654848098754883,29438,.712977409362793,2379140,.1220207214355469,159842,.6356964111328125,101658,3799594,-.0524778366088867,36845,.1162300109863281,406218,.5909538269042969,463104,75765,-.5433692932128906,430161,-.3512105941772461,12718,-.5743570327758789,49139,-.280980110168457,902973,.0153141021728516,1446946,.2373552322387695,117329,1.469997406005859,499270,.2298431396484375,1251974,.0519866943359375,135015,.2540378570556641,4162035,.0806903839111328,164746,.3185396194458008,1976512,-.3152475357055664,265987,1.56809139251709,353870,232352,507177,.4029073715209961,19016,52500920,4309,-2.683554649353027,3305251,-.1151971817016602,1259830,1.224686622619629,1580564,.9796247482299805,1356392,86163,.9992942810058594,74759,2.043381690979004,3258,-3.297789573669434,matched (3),1658895.4,.80936474,969109,1294972.3
201004,730419,603,3386,786808,04,0,0,1,0,0,0,0,0,0,0,0,168957,-.3003025054931641,340087,-.0926427841186523,543290,766920,.4638032913208008,107544,.6962575912475586,298599,.5143327713012695,618797,.607391357421875,17671,1007892,.2228755950927734,123242,-.3927488327026367,55302,1.186917304992676,1681765,-.1620073318481445,68400,.0191287994384766,668511,-.3037948608398438,1647705,.4416885375976563,19559,-.4088506698608398,2580191,.0811243057250977,109262,-.380436897277832,0,2521921,-.4098730087280273,18278,-.7010211944580078,156520,-.9537057876586914,0,147994,.6695356369018555,808015,.6304206848144531,34474,.997187614440918,49442,.0061473846435547,1263405,.3358736038208008,1820882,.2298650741577148,130074,.1031217575073242,592998,.1720438003540039,1851375,.3912076950073242,157058,.1512298583984375,4546715,.0884008407592773,254189,.4336729049682617,1581787,-.2227783203125,29687,-2.192737579345703,75539,363443,452668,-.1137018203735352,180882,50985272,47946,2.409369468688965,2493176,-.2819547653198242,1377400,.0892200469970703,3258535,.7234954833984375,9305936,100906,.1579484939575195,23852,-1.142401695251465,55213,2.830084800720215,matched (3),6531602,.80936474,1149710.8,1435136.1
201005,730419,604,3386,267293,05,0,0,0,1,0,0,0,0,0,0,0,28839,-1.767915725708008,29,-9.369661331176758,364398,560474,-.3135995864868164,106020,-.0142717361450195,112635,-.9749488830566406,745791,.1866683959960938,138,803147,-.2270784378051758,182262,.3912954330444336,16576,-1.204853057861328,1643467,-.023036003112793,58464,-.1569614410400391,840211,.2285995483398438,1482807,-.1054458618164063,17349,-.1199007034301758,2048303,-.2308521270751953,31198,-1.253395080566406,130486,1632920,-.4346513748168945,21999,.1852989196777344,284089,.5961036682128906,930971,56213,-.9680242538452148,438017,-.6123228073120117,23562,-.3805704116821289,7343,-1.907052993774414,780381,-.4817838668823242,1236646,-.3869180679321289,49649,-.9631252288818359,282721,-.7407302856445313,1034619,-.5818958282470703,119723,-.2714347839355469,5170825,.128626823425293,81176,-1.141458511352539,1523194,-.0377464294433594,19518,-.41937255859375,92219,270780,422242,-.069580078125,78895,56086688,60533,.2331132888793945,2052863,-.1943216323852539,1306731,-.052668571472168,889578,-1.298285484313965,215974,27202,-1.310898780822754,107189,1.502725601196289,70606,.2459163665771484,matched (3),23104784,.80936474,4081442.8,4170846
201006,730419,605,3386,1430916,06,0,0,0,0,1,0,0,0,0,0,0,241257,2.124134063720703,361405,9.430458068847656,315060,714665,.2430315017700195,90129,-.1623859405517578,227071,.70111083984375,792436,.0606660842895508,146,1124346,.3364191055297852,253283,.3290624618530273,136357,2.107319831848145,1613043,-.0186853408813477,91762,.4507865905761719,737420,-.1304950714111328,1261789,-.1614065170288086,29676,.5368032455444336,2231067,.0854682922363281,39344,.231989860534668,164894,2775492,.5304584503173828,28442,.2568693161010742,310958,.0903701782226563,949187,198146,1.259856224060059,592186,.3015632629394531,124882,1.667734146118164,36516,1.604002952575684,658008,-.1705646514892578,1501853,.1942968368530273,105683,.7554655075073242,365943,.2580175399780273,1635080,.4576587677001953,124085,.0357856750488281,5452073,.0529632568359375,56341,-.3651971817016602,1572449,.031825065612793,35173,.5889415740966797,290138,123646,452633,.0695028305053711,96570,81233528,24402,-.9085235595703125,1887536,-.0839633941650391,840422,-.4413795471191406,1704918,.6505250930786133,788664,73963,1.000273704528809,92225,-.1503620147705078,40235,-.5623779296875,matched (3),-18666400,.80936474,4664996.5,4743413.5
201007,730419,606,3386,82970,07,0,0,0,0,0,1,0,0,0,0,0,193969,-.2181644439697266,456979,.2346382141113281,203037,489814,-.3777885437011719,84743,-.0616188049316406,290626,.2467737197875977,598103,-.2813482284545898,179,898102,-.2246732711791992,240057,-.0536308288574219,41729,-1.184080123901367,1616676,.0022497177124023,50921,-.5889225006103516,338189,-.7795524597167969,1327019,.0504045486450195,9989,-1.08885383605957,2670733,.1798734664916992,24999,-.4535083770751953,136254,3031539,.0882415771484375,26919,-.0550346374511719,174471,-.5778989791870117,928783,113598,-.5563383102416992,611253,.0316896438598633,26749,-1.540872573852539,12705,-1.055754661560059,673690,.0235528945922852,1129745,-.2847070693969727,50473,-.7390050888061523,442871,.190800666809082,1403724,-.1525630950927734,117457,-.0548944473266602,5020791,-.0824079513549805,101647,.5900840759277344,1396559,-.1186227798461914,43084,.2028732299804688,78637,290295,362244,-.2227630615234375,13109,58550592,6900,-1.263144493103027,2057100,.0860252380371094,274706,-1.118203163146973,1447124,-.1639385223388672,510745,11015,-1.904306411743164,5099,-2.895187377929688,38999,-.0312013626098633,matched (3),5740142.5,.80936474,1021170.3,1334379.9
201008,730419,607,3386,704535,08,0,0,0,0,0,0,1,0,0,0,0,210658,.0825376510620117,271600,-.5203065872192383,595050,402586,-.1961164474487305,90163,.0619955062866211,97992,-1.087150573730469,669234,.112370491027832,11679,670740,-.2919025421142578,305431,.2408475875854492,94469,.8170757293701172,1527022,-.0570535659790039,59634,.1579504013061523,507120,.4051427841186523,1384156,.0421552658081055,59355,1.782052040100098,1174927,-.8211469650268555,53425,.7594432830810547,122860,4444473,.3825912475585938,18852,-.3562126159667969,383122,.7865943908691406,1146052,136473,.1834611892700195,888050,.3735170364379883,73508,1.010897636413574,57165,1.503946304321289,866127,.2512617111206055,1351349,.1791114807128906,181266,1.278526306152344,314632,-.3418750762939453,1525074,.0829143524169922,127939,.0854816436767578,4862663,-.0320014953613281,177589,.5579652786254883,1712880,.2041645050048828,33605,-.2484769821166992,153695,391294,360704,-.0042610168457031,151302,76998952,11576,.5174131393432617,2197065,.0658245086669922,496533,.5919485092163086,2237849,.4359369277954102,834769,120037,2.388542175292969,46032,2.200292587280273,54218,.3294773101806641,matched (3),6270685,.80936474,648176.25,1076063.9
201009,730419,608,3386,33674,09,0,0,0,0,0,0,0,1,0,0,0,22205,-2.249917984008789,32,-9.046350479125977,251292,1000079,.9099254608154297,92358,.0240535736083984,240188,.8965358734130859,755349,.1210460662841797,14979,971572,.3705339431762695,288656,-.056488037109375,31022,-1.113574981689453,1892076,.21435546875,153673,.9466009140014648,488241,-.0379390716552734,1651579,.1766414642333984,28258,-.7421598434448242,2774560,.8592853546142578,17595,-1.110664367675781,121752,3064598,-.3717451095581055,15035,-.2262382507324219,107258,-1.273116111755371,952448,43892,-1.134394645690918,542355,-.4931068420410156,19200,-1.342484474182129,61655,.0756120681762695,1005813,.1495199203491211,1819984,.2977237701416016,65945,-1.011143684387207,482137,.4268245697021484,1232483,-.2130117416381836,174681,.3114080429077148,6085024,.2242450714111328,127218,-.3335695266723633,1545544,-.1027994155883789,39736,.1675825119018555,203014,255788,584704,.4830484390258789,20968,85544032,66348,1.745979309082031,2469915,.1170616149902344,275614,-.588648796081543,921521,-.8872451782226563,744316,57402,-.7377214431762695,72600,.4556283950805664,53290,-.0172643661499023,matched (3),23289266,.80936474,4009925.3,4100887.8
201010,730419,609,3386,1275987,10,0,0,0,0,0,0,0,0,1,0,0,338191,2.723293304443359,489714,9.635841369628906,416166,1149629,.1393594741821289,115778,.2260017395019531,293996,.202143669128418,533142,-.3483915328979492,3169,1124562,.1462335586547852,466449,.4799127578735352,141784,1.519607543945313,1914179,.0116138458251953,104466,-.3859653472900391,853975,.5590934753417969,1579757,-.0444612503051758,23276,-.1939544677734375,2670823,-.0381050109863281,18347,.0418519973754883,164249,2508283,-.2003173828125,27215,.5933876037597656,703159,1.880345344543457,1032450,68818,.449732780456543,2169555,1.386356353759766,58381,1.112080574035645,93545,.4168882369995117,802756,-.2255010604858398,1558022,-.1554107666015625,71898,.0864267349243164,632156,.2709083557128906,2624810,.7559776306152344,176756,.0118083953857422,5607166,-.0817861557006836,175596,.3222837448120117,1639116,.0587806701660156,91342,.8323535919189453,216321,363740,789563,.3003740310668945,95305,86769904,95486,.3640661239624023,2732843,.1011590957641602,311154,.1212873458862305,2112381,.8295450210571289,1454085,56172,-.0216608047485352,249173,1.233181953430176,63356,.1730213165283203,matched (3),-17780440,.80936474,4984687.5,5058150.5
