period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y10c642,Y1241c620,growth1241c620,Y1341c826,growth1341c826,Y1487c246,growth1487c246,Y1535c124,growth1535c124,Y1683c807,growth1683c807,Y1721c705,growth1721c705,Y1733c484,growth1733c484,Y1759c484,growth1759c484,Y1778c688,growth1778c688,Y1883c484,growth1883c484,Y1988c440,growth1988c440,Y1991c705,growth1991c705,Y2075c484,growth2075c484,Y2159c222,growth2159c222,Y232c642,Y2362c484,growth2362c484,Y2420c757,growth2420c757,Y2551c208,growth2551c208,Y2714c484,growth2714c484,Y2925c352,growth2925c352,Y2958c191,growth2958c191,Y3334c344,Y337c757,growth337c757,Y3414c484,growth3414c484,Y3436c484,growth3436c484,Y3475c484,growth3475c484,Y3517c246,growth3517c246,Y3596c222,growth3596c222,Y3812c233,Y3885c246,growth3885c246,Y3894c268,growth3894c268,Y4081c792,growth4081c792,Y4087c268,Y4112c705,growth4112c705,Y4493c208,growth4493c208,Y4590c554,Y4625c372,growth4625c372,Y4737c68,growth4737c68,Y4757c554,Y4789c620,growth4789c620,Y487c300,growth487c300,Y4944c807,growth4944c807,Y5020c124,growth5020c124,Y524c703,growth524c703,Y584c348,growth584c348,Y587c703,growth587c703,Y594c703,growth594c703,Y669c616,growth669c616,Y694c608,_merge,x,r2,s,sf
201001,730424,600,3389,6217,01,0,0,0,0,0,0,0,0,0,0,0,1743585,432,,3370804,,1198692,,201236,,20998,,71596,,6614315,,14125565,,1572933,,1337981,,436694,,177433,,616189,,9154,,289299,137596,,178343,,129641,,386339,,48324,,6763,,13023141,390393,,2209190,,509583,,2598840,,477425,,44217,,793922,31479,,33766,,483463,,8417,89921,,161777,,835420,2210737,,35455,,978649,435793,,86118,,34968,,162247,,6112883,,3739,,398242,,251263,,10156873,,24895948,matched (3),,.81371069,,
201002,730424,601,3389,92147,02,1,0,0,0,0,0,0,0,0,0,0,2488801,4057,2.239773273468018,6945851,.7229938507080078,1269999,.0577850341796875,88373,-.8229122161865234,74894,1.271646499633789,109830,.4278945922851563,7698680,.1518125534057617,14696360,.0396137237548828,2756207,.5609130859375,923618,-.3706188201904297,485771,.1065044403076172,236860,.2888755798339844,1409163,.8271970748901367,9700,.0579347610473633,564377,381386,1.019490242004395,162150,-.0951871871948242,282129,.7775945663452148,479731,.2165107727050781,50669,.0473861694335938,59183,2.169168472290039,4783511,532288,.3100309371948242,2575601,.1534576416015625,388360,-.2716598510742188,3194635,.2064075469970703,932982,.6699790954589844,114286,.9495944976806641,844748,2987378,4.552830696105957,5947,-1.736567497253418,194773,-.9091396331787109,70176,461063,1.634603500366211,152416,-.0596046447753906,1654309,2105913,-.0485763549804688,39116,.0982666015625,1483626,508413,.1541271209716797,2742580,3.460935592651367,397491,2.43073844909668,216357,.2878103256225586,5752141,-.060826301574707,1314,-1.045742511749268,451678,.1259098052978516,256526,.0207300186157227,13285950,.2685565948486328,40688040,matched (3),345960.91,.81371069,119061.86,224704.17
201003,730424,602,3389,4617,03,0,1,0,0,0,0,0,0,0,0,0,2513008,523,-2.048617362976074,4957605,-.3372220993041992,1109007,-.1355504989624023,348603,1.372367858886719,49829,-.4074764251708984,106237,-.0332612991333008,8822760,.1362857818603516,17408938,.1693840026855469,2533790,-.0841388702392578,1314781,.3531274795532227,564816,.1507625579833984,295064,.2197237014770508,1013697,-.3293914794921875,25741,.9759588241577148,640402,219604,-.5519857406616211,198307,.2012948989868164,148961,-.6386795043945313,740423,.433995246887207,78234,.4343900680541992,42866,-.3225555419921875,20120142,1236324,.84271240234375,3615850,.3392438888549805,455797,.1601152420043945,4126571,.2559738159179688,1011548,.0808506011962891,106521,-.0703620910644531,977970,10018,-5.69776725769043,1862,-1.161235809326172,361622,.6187648773193359,5649,251539,-.6059370040893555,92335,-.501190185546875,1371399,2269308,.0747261047363281,4389,-2.187429428100586,1409324,554448,.0866785049438477,59291,-3.834197044372559,270269,-.3857545852661133,294775,.3092823028564453,6813957,.1694011688232422,4051,1.125887393951416,614630,.3080501556396484,331442,.2562227249145508,16652376,.2258453369140625,23419348,matched (3),186908.77,.81371069,94788.602,212840.59
201004,730424,603,3389,8819,04,0,0,1,0,0,0,0,0,0,0,0,0,6450,2.512253761291504,5504196,.1045875549316406,1089416,-.0178232192993164,290867,-.1810674667358398,72533,.3754444122314453,111158,.0452795028686523,7998265,-.0981101989746094,16826956,-.0340023040771484,2697939,.0627717971801758,2189855,.5101652145385742,592155,.0472688674926758,350801,.1730270385742188,954271,-.0604124069213867,5677,-1.511661529541016,0,380255,.549015998840332,150015,-.2790813446044922,159900,.0708637237548828,927741,.2255315780639648,207506,.9754552841186523,60805,.3495931625366211,14262817,1763875,.3553705215454102,2628097,-.3190670013427734,292047,-.4451332092285156,3225175,-.2464590072631836,1076544,.0622739791870117,136535,.2482385635375977,1097380,483924,3.877544403076172,21070,2.426198959350586,812018,.8089227676391602,8694,361745,.3633413314819336,92808,.0051088333129883,2032026,3163495,.3322019577026367,5848,.2869977951049805,910427,464268,-.1775112152099609,106578,.5864200592041016,238959,-.1231250762939453,225102,-.269658088684082,5296766,-.2518768310546875,9452,.8472623825073242,608267,-.010406494140625,238362,-.3296623229980469,15635725,-.0629940032958984,45338944,matched (3),71664.836,.81371069,146560.3,240408.33
201005,730424,604,3389,53195,05,0,0,0,1,0,0,0,0,0,0,0,3495667,937,-1.929152011871338,9187880,.5123748779296875,1094663,.0048046112060547,426423,.3825654983520508,58722,-.2112274169921875,164999,.3949871063232422,9086492,.1275634765625,18915594,.11700439453125,2944929,.0875968933105469,1771048,-.2122640609741211,574467,-.0303258895874023,436024,.2174777984619141,1179869,.2122116088867188,34750,1.811756134033203,433078,192583,-.6803150177001953,103221,-.3738632202148438,206781,.2571115493774414,598552,-.4382390975952148,53532,-1.354880332946777,40594,-.4040517807006836,16061450,2168453,.2065010070800781,3807555,.3707275390625,302500,.0351667404174805,3457055,.0694293975830078,1149130,.0652494430541992,108642,-.2285223007202148,1220339,1174336,.8865299224853516,37035,.5640134811401367,1268999,.4464607238769531,17941,763761,.7473154067993164,116734,.229365348815918,3131178,2770745,-.1325607299804688,32809,1.724603652954102,1830543,1465633,1.149580955505371,2525361,3.165262222290039,368744,.4338102340698242,125260,-.5861625671386719,5836589,.097050666809082,3592,-.9675168991088867,524882,-.1474399566650391,249820,.0469503402709961,12291875,-.2406196594238281,22637848,matched (3),797374.94,.81371069,134031.55,232982.19
201006,730424,605,3389,57320,06,0,0,0,0,1,0,0,0,0,0,0,2606692,6628,1.956374645233154,3325190,-1.016358375549316,979022,-.1116476058959961,878973,.7233219146728516,79586,.3040237426757813,65016,-.9313058853149414,10732529,.1664905548095703,22573196,.1767768859863281,2994788,.0167884826660156,2488403,.3400697708129883,579726,.0091123580932617,348691,-.2235116958618164,1017209,-.148341178894043,39964,.1398000717163086,320388,206503,.0697879791259766,144415,.3358192443847656,144276,-.3599319458007813,894687,.4019603729248047,158605,1.086136817932129,20216,-.6971464157104492,16128935,1924737,-.1192245483398438,4717442,.2142791748046875,217546,-.3296709060668945,3993664,.1442928314208984,1204951,.0474338531494141,72060,-.4105596542358398,1271076,48596,-3.184916496276856,6781,-1.697739601135254,1065460,-.1748218536376953,5427,235034,-1.178524971008301,409414,1.254829406738281,2299430,4506357,.4863729476928711,7273,-1.506534576416016,1369224,435304,-1.213997840881348,25025,-4.614264488220215,431619,.1574411392211914,170763,.3098850250244141,6087388,.0420722961425781,8533,.8652315139770508,707694,.2988376617431641,258253,.033198356628418,13964385,.1275711059570313,18325612,matched (3),999657.63,.81371069,132986.69,232382.67
201007,730424,606,3389,97562,07,0,0,0,0,0,1,0,0,0,0,0,2322847,50928,2.03911018371582,7405721,.8007259368896484,1470528,.4068222045898438,166160,-1.665802955627441,106594,.2921886444091797,150818,.8414402008056641,8859312,-.1918096542358398,17448778,-.2574939727783203,4318609,.3660602569580078,1365838,-.5998735427856445,746696,.2531032562255859,353020,.0123386383056641,1291751,.2389364242553711,6849,-1.763876914978027,199544,347738,.5211343765258789,189379,.2710590362548828,150783,.0441141128540039,1233108,.3208189010620117,53210,-1.092169761657715,23447,.1482686996459961,14275309,968417,-.6868820190429688,2688154,-.5624122619628906,416508,.6494951248168945,3818787,-.0447769165039063,1367140,.12628173828125,129562,.5866603851318359,1276057,188108,1.353474617004395,14849,.783808708190918,1206874,.1246271133422852,4645,4208320,2.885088920593262,313628,-.2665195465087891,3221301,4091003,-.0966997146606445,37674,1.644801139831543,1617246,552004,.2375106811523438,5303,-1.551602363586426,286034,-.411433219909668,239312,.3374919891357422,6564264,.0754213333129883,62524,1.991609573364258,666383,-.0601463317871094,268585,.0392284393310547,14387678,.0298614501953125,46106028,matched (3),833744.63,.81371069,167228.58,253538.23
201008,730424,607,3389,45626,08,0,0,0,0,0,0,1,0,0,0,0,1567175,2722,-2.929046154022217,8626132,.1525430679321289,1115320,-.2764797210693359,67775,-.8967571258544922,53929,-.6813583374023438,77787,-.6620998382568359,9318091,.0504884719848633,16753906,-.0406379699707031,3829349,-.1202392578125,1563008,.1348447799682617,636484,-.1596994400024414,339604,-.0387439727783203,1069494,-.1888132095336914,39971,1.76405143737793,187803,352180,.0126924514770508,66449,-1.04731559753418,33528,-1.503460884094238,1131851,-.0856838226318359,58847,.1006946563720703,18701,-.226165771484375,10746336,836349,-.1466159820556641,2948428,.0924177169799805,312521,-.2872343063354492,4272851,.1123485565185547,1263253,-.0790300369262695,65354,-.6843404769897461,1286946,7915,-3.168256759643555,62818,1.44230842590332,504951,-.8713274002075195,3412,486172,-2.158256530761719,282652,-.1039915084838867,1944323,3901660,-.0473880767822266,1824,-3.027937889099121,1955009,379038,-.3759193420410156,60998,2.442568778991699,343700,.1836585998535156,192009,-.2202262878417969,6293346,-.0421476364135742,31131,-.6973457336425781,499756,-.287745475769043,221138,-.1943807601928711,11984146,-.1827869415283203,19239916,matched (3),394904.31,.81371069,109524.02,219799.34
201009,730424,608,3389,78205,09,0,0,0,0,0,0,0,1,0,0,0,2303782,38551,2.650615215301514,2870788,-1.10020923614502,1425378,.245295524597168,184829,1.003237724304199,64621,.1808710098266602,121554,.4463844299316406,7482007,-.219456672668457,18764770,.1133499145507813,3759292,-.0184640884399414,1403583,-.1075839996337891,673998,.0572681427001953,426149,.2270088195800781,1647289,.4319448471069336,95477,.8707313537597656,243014,259507,-.3053579330444336,148305,.8028364181518555,224722,1.902482986450195,1001447,-.1224079132080078,136168,.8389482498168945,1718,-2.387416362762451,12513840,612534,-.3114423751831055,2399164,-.2061519622802734,392157,.2269906997680664,3830998,-.1091556549072266,1783234,.3447380065917969,138109,.7482242584228516,1166638,12852,.4847402572631836,3404,-2.915289878845215,677985,.2946643829345703,21668,115086,-1.440882682800293,307815,.0852823257446289,2569152,2577991,-.4143915176391602,38581,3.051728248596191,1996243,527124,.3297996520996094,140572,.8348779678344727,176213,-.6680755615234375,290297,.4133625030517578,6875008,.0883998870849609,29043,-.0694265365600586,591588,.1686906814575195,318050,.3634214401245117,15407657,.2512798309326172,41865036,matched (3),483841.81,.81371069,89069.297,210355.84
201010,730424,609,3389,21394,10,0,0,0,0,0,0,0,0,1,0,0,1243531,1127,-3.532422542572022,1977752,-.3726253509521484,1109467,-.2505569458007813,174400,-.058079719543457,78089,.1893091201782227,101373,-.1815519332885742,7466456,-.0020809173583984,14928930,-.2286796569824219,3396274,-.1015510559082031,1631040,.1501893997192383,802002,.173884391784668,402772,-.0564184188842773,1017997,-.4812936782836914,2658,-3.581311225891113,66455,214569,-.1901531219482422,148122,-.0012350082397461,15759,-2.657452583312988,936907,-.0666170120239258,218876,.4746160507202148,1002,-.5391626358032227,12406414,404008,-.4161691665649414,2536960,.0558462142944336,383686,-.0218372344970703,3752263,-.0207662582397461,1518595,-.1606426239013672,66968,-.7238283157348633,979308,20026,.4435319900512695,18693,1.703197479248047,399629,-.5285892486572266,4267,277882,.8815174102783203,212082,-.3725252151489258,2386955,3168706,.2063131332397461,9171,-1.436714172363281,1367307,744768,.345637321472168,79810,-.566070556640625,311079,.5683536529541016,297641,.0249834060668945,6413994,-.0694103240966797,17177,-.5252065658569336,626046,.0566139221191406,262139,-.193333625793457,17488638,.1266860961914063,23086256,matched (3),135368.36,.81371069,136039.95,234143.36
