period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1198c642,Y1205c642,Y1246c428,growth1246c428,Y1288c152,growth1288c152,Y1402c752,growth1402c752,Y1480c208,growth1480c208,Y1489c344,Y1500c826,growth1500c826,Y1505c586,growth1505c586,Y1525c68,growth1525c68,Y1587c300,growth1587c300,Y1622c300,growth1622c300,Y1657c752,growth1657c752,Y1766c586,growth1766c586,Y1910c203,Y1969c484,growth1969c484,Y2004c152,growth2004c152,Y2104c152,growth2104c152,Y2157c428,growth2157c428,Y2375c191,growth2375c191,Y2545c152,growth2545c152,Y2646c32,Y2701c300,growth2701c300,Y2822c688,Y2935c208,growth2935c208,Y3142c300,growth3142c300,Y3348c807,Y3416c586,growth3416c586,Y3442c703,growth3442c703,Y3537c440,growth3537c440,Y3567c381,Y3597c642,Y3758c608,Y3937c246,growth3937c246,Y3976c600,growth3976c600,Y3977c428,growth3977c428,Y4264c218,Y4445c688,growth4445c688,Y4453c246,growth4453c246,Y4454c616,growth4454c616,Y4484c376,Y4635c152,growth4635c152,Y464c620,growth464c620,Y465c620,growth465c620,Y4660c757,growth4660c757,Y5009c32,Y660c152,growth660c152,Y870c300,growth870c300,Y978c792,growth978c792,Y982c757,growth982c757,_merge,x,r2,s,sf
201001,730630,600,3409,1052227,01,0,0,0,0,0,0,0,0,0,0,0,255580,3599,10279,,292443,,449028,,48731,,907071,63918236,,362521,,174943,,5244451,,391834,,2508017,,156784,,478909,903267,,313187,,607309,,53000,,103147,,10407,,66627,608379,,3140,15839,,1398,,23714,487868,,74617,,9167,,1821269,1003665,135755,10174,,170679,,16914,,101485,14440,,76886,,2847424,,516000,90612,,110657,,1048850,,193002,,13947,83789,,125902,,2775089,,839635,,matched (3),,.86724472,,
201002,730630,601,3409,341405,02,1,0,0,0,0,0,0,0,0,0,0,239280,81196,13849,.2981109619140625,130789,-.8046846389770508,424063,-.0572032928466797,33184,-.384246826171875,391684,52821840,-.1906814575195313,653424,.5891437530517578,87693,-.690617561340332,8272036,.4557104110717773,337140,-.1503400802612305,1956910,-.2481250762939453,130417,-.1841325759887695,466279,685726,-.2755403518676758,604996,.658421516418457,138028,-1.481581687927246,34999,-.4149723052978516,46676,-.7929248809814453,59947,1.750982284545898,147506,473709,-.2502040863037109,2192,75633,1.563417434692383,1437,.0275149345397949,3913,155321,-1.144551277160645,144698,.6622810363769531,7843,-.1559886932373047,1626516,1266676,134732,135406,2.588442802429199,126869,-.2966289520263672,27297,.4786348342895508,54103,243,-4.084696292877197,58966,-.2653627395629883,3190426,.1137399673461914,376000,64146,-.3454246520996094,53124,-.7338066101074219,606264,-.5481338500976563,11776,-2.796637535095215,31956,97941,.1560640335083008,80833,-.4431190490722656,2895593,.0425071716308594,928422,.1005191802978516,matched (3),4566114.5,.86724472,1029836.3,1996146.9
201003,730630,602,3409,2047947,03,0,1,0,0,0,0,0,0,0,0,0,356294,41523,23816,.5421438217163086,217529,.5087471008300781,526985,.2172908782958984,278200,2.126272201538086,784693,48520144,-.0849456787109375,389428,-.5175466537475586,214052,.8923768997192383,10069412,.1966218948364258,529608,.4516391754150391,2417471,.2113552093505859,259134,.6866083145141602,719293,966410,.3431100845336914,324276,-.623626708984375,641672,1.53662109375,61384,.5618295669555664,62718,.2954187393188477,112250,.6272678375244141,60915,542766,.1360845565795898,45161,29958,-.9260969161987305,2148,.4019794464111328,33424,583362,1.323314666748047,130992,-.099513053894043,34741,1.488299369812012,3038870,1375421,574640,30420,-1.49317741394043,246986,.6661758422851563,305825,2.416236877441406,172697,933,1.345343589782715,81963,.3293066024780273,3504036,.0937604904174805,594000,67983,.0580959320068359,79768,.4064931869506836,1100412,.5961236953735352,449544,3.642170906066895,27127,105303,.0724763870239258,166808,.7244586944580078,4795026,.504389762878418,1037547,.1111288070678711,matched (3),9956084,.86724472,1484184.8,2264253.5
201004,730630,603,3409,1626162,04,0,0,1,0,0,0,0,0,0,0,0,0,0,65687,1.014543533325195,67973,-1.163222312927246,273423,-.6561527252197266,54757,-1.625434875488281,699197,51369644,.0570697784423828,377667,-.0306663513183594,30843,-1.937309265136719,7368014,-.3123550415039063,401534,-.2768449783325195,2416738,-.0003032684326172,166573,-.4419116973876953,379103,869969,-.1051301956176758,438732,.3022937774658203,423152,-.416346549987793,42558,-.3662815093994141,115206,.6080732345581055,29702,-1.329514503479004,41791,226040,-.8759660720825195,6053,28049,-.0658435821533203,3231,.4082551002502441,1004,407235,-.3594179153442383,71905,-.5997905731201172,3154,-2.399249076843262,504840,0,88967,410383,2.60198974609375,168557,-.3820571899414063,328534,.0716266632080078,1632910,20308,3.08036470413208,75928,-.076481819152832,3131931,-.1122655868530273,628000,34709,-.6722593307495117,73821,-.077479362487793,852652,-.2550878524780273,245050,-.6067714691162109,25514,62315,-.5246400833129883,99029,-.5214309692382813,2640089,-.596766471862793,620772,-.5136508941650391,matched (3),4468329,.86724472,1021088.6,1991647.9
201005,730630,604,3409,1022469,05,0,0,0,1,0,0,0,0,0,0,0,248112,98574,62446,-.0505990982055664,145454,.7607498168945313,392714,.3620615005493164,50725,-.0764865875244141,468965,48741292,-.052520751953125,725022,.6521892547607422,240883,2.055401802062988,4420208,-.510960578918457,322736,-.2184572219848633,1615187,-.4029684066772461,171601,.0297384262084961,833038,1396315,.4731340408325195,819709,.62506103515625,828172,.6714897155761719,25196,-.5241823196411133,65211,-.5690937042236328,131596,1.488522529602051,23727,158567,-.3545351028442383,18368,8628,-1.178939819335938,2160,-.4026837348937988,32094,370167,-.0954360961914063,179704,.9159660339355469,74475,3.161791801452637,602019,2156660,208770,130913,-1.142557144165039,232222,.3204193115234375,155556,-.7476339340209961,1331096,8560,-.8639144897460938,56050,-.3035421371459961,3755282,.181513786315918,337000,106815,1.124099731445313,64243,-.1389703750610352,322927,-.9709253311157227,8665,-3.342170715332031,16168,86938,.3329935073852539,106474,.0724878311157227,2087755,-.2347240447998047,580409,-.0672311782836914,matched (3),7238699,.86724472,1053065.9,2008229.9
201006,730630,605,3409,710540,06,0,0,0,0,1,0,0,0,0,0,0,164002,23035,13975,-1.497032165527344,382280,.9662933349609375,257948,-.420323371887207,57019,.1169652938842773,537361,46115824,-.0553703308105469,512830,-.3462581634521484,77372,-1.135686874389648,6157090,.3314170837402344,326430,.0113801956176758,2713980,.5189657211303711,276270,.4762067794799805,818401,1035309,-.2991371154785156,570780,-.3619461059570313,532374,-.4418745040893555,41070,.4885931015014648,32922,-.6834869384765625,75829,-.5512561798095703,21498,307631,.662724494934082,1679,2734,-1.149247169494629,1379,-.4487495422363281,26351,397506,.0712556838989258,128675,-.3340215682983398,2580,-3.362674236297607,477224,2063000,76903,123719,-.0565204620361328,248252,.0667505264282227,120878,-.2522249221801758,165114,39643,1.532814025878906,47437,-.1668415069580078,3571285,-.0502376556396484,268000,82839,-.2541990280151367,76491,.1745004653930664,690532,.760035514831543,264304,3.417808532714844,50717,152561,.5623693466186523,96583,-.0974979400634766,932886,-.8055610656738281,660270,.1289157867431641,matched (3),7580125,.86724472,1050634,2006955.8
201007,730630,606,3409,1062474,07,0,0,0,0,0,1,0,0,0,0,0,237010,35229,48054,1.235055923461914,292962,-.2661104202270508,326930,.2369880676269531,33134,-.5428237915039063,497891,43849056,-.0504035949707031,894449,.5562639236450195,58792,-.2746191024780273,3670653,-.5172348022460938,247182,-.2780904769897461,1241875,-.7817935943603516,178512,-.4367227554321289,513236,969418,-.0657587051391602,641362,.1165904998779297,546825,.0267829895019531,30994,-.2814846038818359,68375,.7308664321899414,119381,.4538393020629883,25363,721892,.8529739379882813,12387,55943,3.01856803894043,2479,.5864963531494141,32612,906921,.8248453140258789,118531,-.0821151733398438,37543,2.677697658538818,804158,2472837,240300,264458,.759669303894043,282355,.1287212371826172,471515,1.361169815063477,318864,46667,.1631231307983398,72414,.4229974746704102,3630836,.0165376663208008,396000,200137,.8821029663085938,78885,.030817985534668,927719,.2952671051025391,815037,1.126132965087891,67015,170603,.1117744445800781,85831,-.1180229187011719,1273694,.3113937377929688,717342,.0829038619995117,matched (3),5750584,.86724472,888941.5,1927240.6
201008,730630,607,3409,1121355,08,0,0,0,0,0,0,1,0,0,0,0,224567,59091,46666,-.0293092727661133,177936,-.4986190795898438,387195,.1691827774047852,34959,.0536155700683594,803888,56198864,.2481441497802734,279003,-1.164985656738281,234841,1.384902954101563,2545906,-.3658828735351563,347879,.3417301177978516,2387197,.6534976959228516,1723649,2.267542839050293,610048,1404552,.3707771301269531,693514,.0781774520874023,366753,-.3994407653808594,51125,.5004796981811523,1654,-3.721810817718506,11610,-2.330452919006348,124283,1628147,.8133220672607422,11734,115384,.7239322662353516,1740,-.3539700508117676,36991,750307,-.1895732879638672,159328,.2957906723022461,22228,-.524134635925293,1221410,1682069,84282,448090,.5273122787475586,246718,-.1349191665649414,513765,.0858144760131836,363095,7082,-1.885480880737305,35269,-.719395637512207,3808463,.0477628707885742,701000,269382,.2971277236938477,82055,.0393991470336914,949253,.0229463577270508,1595380,.6716337203979492,84265,457104,.9855718612670898,148152,.5458593368530273,1658347,.2638998031616211,1002887,.3350858688354492,matched (3),15253568,.86724472,3987705,4338874.5
201009,730630,608,3409,684749,09,0,0,0,0,0,0,0,1,0,0,0,296780,6703,33857,-.3208703994750977,236457,.2843427658081055,391088,.0100040435791016,71362,.7135896682739258,726644,61658124,.0927066802978516,834633,1.095769882202148,118097,-.6874027252197266,4272989,.517827033996582,272623,-.2437648773193359,2937342,.2073850631713867,856372,-.699493408203125,394504,1272659,-.0986099243164063,611222,-.1263113021850586,698165,.6437673568725586,24144,-.7502374649047852,74579,3.808661937713623,56981,1.590850830078125,76244,1087631,-.4034404754638672,10907,24827,-1.536334037780762,529,-1.190651893615723,963,2058042,1.009028434753418,71337,-.8035507202148438,53943,.8865756988525391,1312637,1999796,91391,498570,.1067495346069336,351679,.3544731140136719,622277,.191619873046875,207757,5406,-.2700471878051758,62249,.5681381225585938,4983261,.2688579559326172,604000,180586,-.3999233245849609,81157,-.0110044479370117,1009912,.0619430541992188,414705,-1.347299575805664,113220,210386,-.7759666442871094,104285,-.3511114120483398,984571,-.5213708877563477,607749,-.5008764266967773,matched (3),4431389.5,.86724472,1956578.1,2598506.8
201010,730630,609,3409,652795,10,0,0,0,0,0,0,0,0,1,0,0,165902,12146,78293,.8383121490478516,223182,-.0577793121337891,422302,.0767879486083984,41510,-.5418310165405273,657770,48431268,-.2414588928222656,331581,-.9231204986572266,334278,1.040467262268066,2732136,-.447230339050293,527030,.6591672897338867,2686401,-.0893030166625977,707267,-.1912965774536133,651269,1394678,.0915555953979492,832867,.3094139099121094,912762,.2680196762084961,31105,.2533330917358398,57868,-.2536945343017578,115712,.7083864212036133,31405,748631,-.3735103607177734,347571,24097,-.0298442840576172,2849,1.683734893798828,28706,1848543,-.1073570251464844,45457,-.450648307800293,31560,-.5360374450683594,1898163,1658357,213531,57603,-2.158169746398926,195130,-.5890531539916992,74181,-2.126877784729004,388345,47957,2.182795524597168,70472,.1240730285644531,3909851,-.2425851821899414,372000,90913,-.6863040924072266,95456,.1622800827026367,261312,-1.351902961730957,67576,-1.814314842224121,181539,280891,.2890224456787109,145766,.3348751068115234,591484,-.5095710754394531,526823,-.1428976058959961,matched (3),3533102.5,.86724472,1721343,2426326.8
