period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1320c703,growth1320c703,Y1431c620,growth1431c620,Y1436c428,growth1436c428,Y1488c807,growth1488c807,Y1703c757,growth1703c757,Y1708c300,growth1708c300,Y1782c442,Y1787c703,growth1787c703,Y1973c372,growth1973c372,Y2057c608,Y2075c688,growth2075c688,Y2544c752,growth2544c752,Y2554c818,Y2647c705,growth2647c705,Y2731c124,growth2731c124,Y2758c600,Y2908c442,Y2952c616,growth2952c616,Y2962c440,growth2962c440,Y3146c152,growth3146c152,Y3478c484,growth3478c484,Y3490c757,growth3490c757,Y3553c620,growth3553c620,Y3606c32,Y3643c381,Y3697c440,growth3697c440,Y3721c381,Y3841c68,growth3841c68,Y3970c498,Y3973c352,growth3973c352,Y4086c372,growth4086c372,Y415c372,growth415c372,Y415c440,growth415c440,Y4187c222,growth4187c222,Y4206c376,Y4255c642,Y4279c484,growth4279c484,Y4292c703,growth4292c703,Y4299c608,Y4327c352,growth4327c352,Y4329c222,growth4329c222,Y4511c792,growth4511c792,Y4532c442,Y4541c251,growth4541c251,Y4612c218,Y4740c124,growth4740c124,Y4807c352,growth4807c352,Y4867c348,growth4867c348,Y621c752,growth621c752,Y948c484,growth948c484,_merge,x,r2,s,sf
201001,730640,600,3410,637273,01,0,0,0,0,0,0,0,0,0,0,0,10874,,1357896,,3214,,35247,,533873,,36488,,285025,163618,,176506,,3456140,659,,31493,,38529,96236,,684391,,0,29567,145167,,3852,,310348,,516810,,326391,,924225,,3299383,366363,104332,,497303,65513,,6244,435584,,180158,,84580,,47550,,7812,,24380000,516884,3245423,,262193,,348243,25140,,874856,,389511,,1229985,1147806,,129332,6104235,,11403,,9104,,809697,,406090,,matched (3),,.8257944,,
201002,730640,601,3410,460082,02,1,0,0,0,0,0,0,0,0,0,0,3531,-1.124794006347656,1509218,.1056556701660156,103124,3.468416213989258,68818,.6690845489501953,352136,-.4161405563354492,2573,-2.651910781860352,41819,114319,-.3585424423217773,117878,-.4037046432495117,5313622,34883,3.96903133392334,38070,.189661979675293,184382,87171,-.0989322662353516,1200689,.5621213912963867,3863,27150,84747,-.5382146835327148,4912,.2430887222290039,219968,-.344212532043457,490775,-.0516901016235352,491930,.4102401733398438,922338,-.0020437240600586,2947438,1257122,49658,-.7424182891845703,490308,4402,-2.700189590454102,5349,698287,.4719429016113281,40460,-1.49351978302002,21415,-1.373606681823731,12529,-1.333735466003418,20364,.9581079483032227,18494000,801807,628711,-1.641328811645508,281568,.0712928771972656,1372653,38684,.4309654235839844,920945,.0513410568237305,462958,.1727447509765625,1481271,1376668,.1818141937255859,143069,5248358,-.1510677337646484,7905,-.3663806915283203,31529,1.242193222045898,766759,-.0544872283935547,350399,-.1475028991699219,matched (3),-255960.48,.8257944,297212.66,564676.63
201003,730640,602,3410,372351,03,0,1,0,0,0,0,0,0,0,0,0,3575,.0123844146728516,2519953,.5126485824584961,120816,.1583366394042969,26082,-.970219612121582,736859,.7383794784545898,20674,2.083804130554199,454061,84872,-.2978477478027344,305722,.9530258178710938,1785138,10928,-1.160671234130859,17521,-.776026725769043,51558,88000,.009465217590332,986139,-.1968536376953125,18331,27715,44692,-.6398754119873047,21951,1.49713134765625,112836,-.667546272277832,379850,-.2562093734741211,283092,-.5525646209716797,906844,-.0169410705566406,4054317,646858,48918,-.0150136947631836,625124,40846,2.227749824523926,1234,58368,-2.48186206817627,25626,-.4567070007324219,33480,.4468564987182617,20102,.472773551940918,9185,-.7961969375610352,22888000,734481,1906204,1.109197616577148,368346,.2686491012573242,878905,36249,-.0650138854980469,1137826,.2114744186401367,467984,.0107975006103516,1665814,2311626,.518284797668457,243655,8130803,.437744140625,9697,.2043209075927734,10398,-1.109293937683106,1238340,.4793548583984375,338847,-.0335235595703125,matched (3),1531821,.8257944,372724.28,607822.13
201004,730640,603,3410,113462,04,0,0,1,0,0,0,0,0,0,0,0,1448,-.9037823677062988,2099372,-.1826019287109375,46723,-.9500322341918945,40918,.4503250122070313,339025,-.7763223648071289,49957,.8822860717773438,169004,2789,-3.415461540222168,79607,-1.345573425292969,2490103,4973,-.7873048782348633,47115,.9891910552978516,178687,100145,.1292829513549805,1214946,.2086572647094727,8176,19428,35691,-.2248964309692383,6796,-1.172478675842285,131578,.1536645889282227,201614,-.6334209442138672,269860,-.0478687286376953,607428,-.4007368087768555,3444173,909511,64724,.2799863815307617,538185,137407,1.213138580322266,37882,53961,-.0785064697265625,18625,-.3191022872924805,254462,2.028203964233398,2153,-2.233957767486572,3199,-1.054733276367188,21822000,0,1056840,-.5898303985595703,259010,-.3521566390991211,1731560,33003,-.0938129425048828,823188,-.3236894607543945,353934,-.2793235778808594,1233321,1264748,-.6030778884887695,147391,6365193,-.2448148727416992,791,-2.506274223327637,6838,-.4191179275512695,862343,-.3618745803833008,403182,.1738395690917969,matched (3),1545299.4,.8257944,423922.28,640495.5
201005,730640,604,3410,530220,05,0,0,0,1,0,0,0,0,0,0,0,5400,1.316215991973877,2190868,.0426597595214844,96174,.7219219207763672,21729,-.6329221725463867,437919,.2559595108032227,57469,.1400823593139648,24276,92684,3.503512382507324,203239,.9372797012329102,4335348,7208,.3711681365966797,19956,-.8590612411499023,608419,74911,-.290318489074707,534213,-.821660041809082,9968,12283,25432,-.3388900756835938,13032,.6510744094848633,222900,.5271234512329102,488346,.884669303894043,151851,-.5750026702880859,750788,.2118892669677734,3758623,1190260,229509,1.265810012817383,410484,22581,-1.805838584899902,56142,133148,.9031991958618164,25648,.3199605941772461,16308,-2.747495651245117,33842,2.75484037399292,5586,.5574245452880859,22806000,716969,1915078,.5944747924804688,302579,.1554765701293945,679659,66299,.697575569152832,806615,-.0203380584716797,437655,.2123203277587891,1621982,1663401,.273991584777832,199499,6491799,.0196952819824219,23840,3.405821800231934,53362,2.054603576660156,979147,.1270294189453125,272826,-.3905544281005859,matched (3),-315918.81,.8257944,454928.69,661426.06
201006,730640,605,3410,906555,06,0,0,0,0,1,0,0,0,0,0,0,6177,.1344337463378906,2460744,.1161651611328125,118627,.2098255157470703,44066,.7070407867431641,513778,.1597576141357422,40296,-.3549928665161133,194471,10046,-2.222021102905273,312337,.4297008514404297,7246759,18638,.9500112533569336,29822,.4017162322998047,187802,113998,.4198799133300781,683758,.2468090057373047,21797,13928,75672,1.090399742126465,17869,.3156595230102539,31329,-1.962179183959961,393071,-.2170343399047852,220865,.3746519088745117,812846,.0794191360473633,3461121,1501241,108057,-.7532835006713867,665031,50377,.8024253845214844,27972,410873,1.126823425292969,38765,.4130525588989258,642264,3.673343658447266,21876,-.4363126754760742,16781,1.099984169006348,27384000,534341,4534872,.8620386123657227,522366,.546025276184082,758319,46942,-.3452615737915039,1248948,.4372100830078125,377108,-.1488990783691406,1896849,1571261,-.0569858551025391,207383,14329578,.7917861938476563,11949,-.6907167434692383,24707,-.7700128555297852,997198,.0182676315307617,437569,.4724006652832031,matched (3),1391786.5,.8257944,391149.22,619291.56
201007,730640,606,3410,782775,07,0,0,0,0,0,1,0,0,0,0,0,12318,.6902284622192383,2739721,.1073932647705078,129048,.0841999053955078,37955,-.1492881774902344,374907,-.3151130676269531,9699,-1.424229621887207,168634,129009,2.552707672119141,142685,-.7834434509277344,6684288,12913,-.3669681549072266,40801,.3134603500366211,162915,89194,-.2453670501708984,542178,-.2320089340209961,5003,24981,100846,.2871866226196289,9834,-.5972223281860352,164699,1.659575462341309,254464,-.4348306655883789,275183,.219883918762207,687463,-.1675338745117188,4966207,821587,81713,-.2794456481933594,346570,41165,-.2019462585449219,22566,7406,-4.015994071960449,304723,2.061884880065918,48617,-2.581026077270508,4214,-1.646977424621582,20017,.1763343811035156,23854000,787853,679910,-1.897591590881348,397888,-.2721977233886719,667560,43890,-.0672264099121094,966010,-.2568826675415039,331434,-.1291036605834961,1884478,1981707,.2320795059204102,137581,11074135,-.2577133178710938,25779,.7689123153686523,18580,-.2850008010864258,1359230,.3097238540649414,355775,-.2069358825683594,matched (3),1118789.6,.8257944,323226.81,578791.75
201008,730640,607,3410,248224,08,0,0,0,0,0,0,1,0,0,0,0,2862,-1.459540843963623,2572551,-.0629587173461914,81399,-.4608211517333984,27286,-.3300266265869141,498695,.2853164672851563,71968,2.004199028015137,278592,69455,-.6192026138305664,119288,-.1790990829467773,6559209,4379,-1.081414222717285,16461,-.9077129364013672,126769,119332,.2910957336425781,425670,-.2419300079345703,15565,40915,57170,-.5675649642944336,9186,-.0681648254394531,80252,-.7189483642578125,170962,-.3977184295654297,103762,-.9753360748291016,491421,-.3357067108154297,3964057,598975,81434,-.0034198760986328,220764,22299,-.6130466461181641,598,49500,1.89968204498291,49439,-1.818663597106934,313328,1.863276481628418,22096,1.656984329223633,3344,-1.789414405822754,25738000,520342,1174129,.546320915222168,330296,-.1861810684204102,722736,36322,-.1892623901367188,1233006,.2440357208251953,497523,.4062137603759766,1620709,930908,-.7555532455444336,240169,9957470,-.1062889099121094,568,-3.81519365310669,13728,-.302647590637207,978461,-.3286924362182617,304097,-.156951904296875,matched (3),-402661.34,.8257944,398625.03,624040.25
201009,730640,608,3410,553291,09,0,0,0,0,0,0,0,1,0,0,0,7038,.899803638458252,3061785,.1740999221801758,96067,.1656827926635742,54000,.6826095581054688,504060,.0107002258300781,14734,-1.586064338684082,37563,84537,.1965103149414063,258538,.7735023498535156,8295673,33822,2.044290542602539,47901,1.068142890930176,673268,97804,-.198944091796875,459455,.0763759613037109,16136,36725,94295,.5003986358642578,14686,.4692144393920898,56386,-.3529510498046875,172664,.0099067687988281,251660,.8859786987304688,657448,.2910642623901367,4210164,1845019,184455,.8176126480102539,583029,54776,.8987112045288086,45903,7270,-1.918215751647949,56971,.1418027877807617,22692,-2.625237464904785,64287,1.067960739135742,15336,1.523036003112793,18704000,791380,1231976,.0480928421020508,356722,.0769672393798828,1303291,61729,.530329704284668,1055069,-.155848503112793,483420,-.0287561416625977,2487332,2094761,.8110342025756836,221609,10250614,.0290145874023438,3534,1.828064441680908,45491,1.198076248168945,867782,-.1200408935546875,337680,.1047515869140625,matched (3),-248389.38,.8257944,431709.84,645676.19
201010,730640,609,3410,1178463,10,0,0,0,0,0,0,0,0,1,0,0,13174,.6269207000732422,3442683,.117253303527832,31507,-1.114835739135742,64571,.1787815093994141,507125,.0060625076293945,118750,2.086862564086914,43484,43915,-.6549339294433594,177220,-.3776512145996094,8337249,32527,-.0390405654907227,82298,.5412101745605469,383506,115996,.1705904006958008,349781,-.2727336883544922,26928,50460,114636,.1953334808349609,13407,-.0911178588867188,159933,1.042534828186035,462019,.9842586517333984,376766,.4035453796386719,659710,.0034341812133789,4481082,953862,153192,-.1857137680053711,714306,19218,-1.047405242919922,33432,17145,.8579502105712891,84417,.3932266235351563,180644,2.074515342712402,68219,.0593662261962891,23683,.4345541000366211,26966000,870466,3253780,.9711980819702148,650060,.6001081466674805,1726000,51702,-.1772575378417969,911216,-.1465816497802734,421433,-.1372251510620117,2869077,2115985,.0100812911987305,286086,10414670,.0158767700195313,14073,1.381827354431152,14717,-1.128510475158691,789225,-.0948886871337891,413964,.2036809921264648,matched (3),1388724,.8257944,404983.94,628121.25
