period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1002c757,growth1002c757,Y1027c348,growth1027c348,Y1071c642,Y1141c300,growth1141c300,Y1376c442,Y1383c600,growth1383c600,Y1479c268,growth1479c268,Y1482c300,growth1482c300,Y1536c616,growth1536c616,Y1617c191,growth1617c191,Y1721c498,Y2017c381,Y2099c222,growth2099c222,Y2272c757,growth2272c757,Y2539c616,growth2539c616,Y2550c428,growth2550c428,Y2585c428,growth2585c428,Y2995c484,growth2995c484,Y3135c152,growth3135c152,Y3170c752,growth3170c752,Y3309c442,Y3440c620,growth3440c620,Y3528c246,growth3528c246,Y3537c440,growth3537c440,Y3596c208,growth3596c208,Y3681c32,Y3877c616,growth3877c616,Y3883c826,growth3883c826,Y3995c616,growth3995c616,Y4038c554,Y4189c124,growth4189c124,Y4214c124,growth4214c124,Y4219c208,growth4219c208,Y4292c152,growth4292c152,Y4306c381,Y4427c807,growth4427c807,Y4598c703,growth4598c703,Y4757c428,growth4757c428,Y491c620,growth491c620,Y4968c554,Y4993c428,growth4993c428,Y5027c792,growth5027c792,Y508c124,growth508c124,Y554c246,growth554c246,Y58c642,Y623c381,Y643c703,growth643c703,Y896c705,growth896c705,Y967c208,growth967c208,Y981c68,growth981c68,_merge,x,r2,s,sf
201001,730661,600,3412,131889,01,0,0,0,0,0,0,0,0,0,0,0,1559,,712477,,567408,329932,,1508989,456468,,192479,,6439718,,1527,,141443,,6870,224107,664153,,19124,,795770,,39611,,74821,,445642,,24271,,87617,,914309,286168,,126331,,9167,,131311,,66394,1819342,,428138,,599588,,911127,33783,,814612,,163646,,396275,,45342304,46408,,347741,,72738,,12827667,,294873,22008,,597103,,332562,,186264,,85670,577099,200605,,56543,,3439,,118493,,matched (3),,.68773323,,
201002,730661,601,3412,112399,02,1,0,0,0,0,0,0,0,0,0,0,786,-.6848430633544922,661773,-.0738258361816406,1022894,201228,-.4944486618041992,1315444,638169,.3350849151611328,527432,1.00803279876709,5906349,-.0864572525024414,11864,2.050203323364258,117529,-.1852121353149414,32896,220550,399341,-.508697509765625,31610,.5025291442871094,1120429,.3421564102172852,155155,1.365317344665527,43742,-.5367898941040039,233973,-.6443099975585938,29728,.2028074264526367,146997,.5174369812011719,711050,148562,-.6555767059326172,112280,-.1179103851318359,7843,-.1559886932373047,149296,.128361701965332,34526,1202535,-.4140424728393555,248444,-.5442285537719727,457836,-.2697315216064453,83225,23614,-.3581180572509766,304364,-.9844875335693359,64535,-.9304981231689453,151479,-.9616613388061523,33934108,31511,-.3871345520019531,98801,-1.258350372314453,115993,.4666662216186523,11881692,-.0766048431396484,218864,54943,.9148902893066406,1003356,.5190162658691406,165360,-.6987009048461914,85965,-.7732248306274414,89430,1031194,98787,-.7083721160888672,31236,-.5934305191040039,7759,.8136730194091797,21332,-1.714646339416504,matched (3),490129.38,.68773323,158052.59,240563.88
201003,730661,602,3412,130025,03,0,1,0,0,0,0,0,0,0,0,0,49483,4.142427444458008,771326,.1531887054443359,1440756,239909,.1758213043212891,1505190,631283,-.0108489990234375,704275,.2891483306884766,7126559,.187800407409668,43999,1.31065845489502,163211,.3283586502075195,129977,294756,213472,-.6263093948364258,34878,.0983829498291016,1102523,-.0161104202270508,34050,-1.516594886779785,58750,.29498291015625,156785,-.4003305435180664,42263,.3518228530883789,131699,-.1098928451538086,1519381,215411,.3715457916259766,199417,.5744028091430664,34741,1.488299369812012,98451,-.4163713455200195,118205,1860392,.4363546371459961,130741,-.6419992446899414,600793,.2717390060424805,226037,94295,1.384588241577148,11715759,3.650465965270996,123421,.6483936309814453,245486,.482792854309082,53077908,80162,.9337129592895508,564256,1.742400169372559,230302,.6858615875244141,10297210,-.14312744140625,249686,207015,1.326494216918945,1172616,.1558866500854492,208289,.2308015823364258,101061,.1617841720581055,339905,319141,392772,1.380263328552246,73794,.8597068786621094,24548,1.151777267456055,99545,1.540401458740234,matched (3),677675.69,.68773323,152710.58,237088.33
201004,730661,603,3412,53517,04,0,0,1,0,0,0,0,0,0,0,0,41055,-.1867160797119141,810214,.0491876602172852,0,5470,-3.780981063842773,1201933,301165,-.7400960922241211,732216,.0389070510864258,5306285,-.2949361801147461,12831,-1.232302665710449,133532,-.2007026672363281,41100,241553,635036,1.090175628662109,5938,-1.77048397064209,777419,-.3493766784667969,42237,.2154664993286133,60465,.028773307800293,229193,.3796892166137695,21681,-.667475700378418,141921,.0747509002685547,641036,102912,-.738673210144043,214496,.0728931427001953,3154,-2.399249076843262,56406,-.5569839477539063,42523,1799689,-.033172607421875,5149,-3.234416007995606,565845,-.0599298477172852,371409,28474,-1.197437286376953,1480054,-2.068856239318848,99405,-.2163982391357422,201119,-.1993436813354492,72555592,13826,-1.757498741149902,22324,-3.229846000671387,187735,-.2043600082397461,8653328,-.1739282608032227,262175,135414,-.4244537353515625,415721,-1.036977767944336,113560,-.6065959930419922,92701,-.0863447189331055,0,250711,307385,-.2451276779174805,43953,-.5181570053100586,25850,.0516796112060547,78595,-.2363014221191406,matched (3),308442.38,.68773323,163169.03,243955.91
201005,730661,604,3412,203389,05,0,0,0,1,0,0,0,0,0,0,0,1176,-3.552793979644775,1015668,.2260036468505859,649993,4546,-.1850309371948242,1013583,466712,.438054084777832,774318,.0559072494506836,6083885,.1367511749267578,88414,1.930166244506836,127146,-.0490055084228516,67388,97481,846554,.2874927520751953,35874,1.798640251159668,841101,.0787324905395508,154506,1.296936988830566,60570,.001734733581543,132997,-.5442380905151367,30229,.3323650360107422,318680,.8089170455932617,859009,122399,.1734113693237305,212018,-.0116205215454102,74475,3.161791801452637,113155,.6961832046508789,46192,1389656,-.2585582733154297,51679,2.306249618530273,575921,.0176506042480469,471562,38449,.3003416061401367,1300032,-.1296901702880859,110681,.1074495315551758,284668,.3474273681640625,62905812,208837,2.71500301361084,59566,.9814233779907227,112689,-.5103998184204102,12611413,.3766584396362305,406269,157479,.1509552001953125,957983,.8348150253295898,191308,.5215539932250977,21940,-1.441067695617676,80640,558641,407583,.2821435928344727,22933,-.6505441665649414,3228,-2.080447196960449,43236,-.5976343154907227,matched (3),-276878.25,.68773323,125748.45,220687.63
201006,730661,605,3412,330083,06,0,0,0,0,1,0,0,0,0,0,0,60563,3.941565036773682,1515719,.4003429412841797,685978,585367,4.857991218566895,909832,350316,-.2868766784667969,841798,.08355712890625,6153599,.0113935470581055,5042,-2.864227294921875,196438,.4350109100341797,75728,224647,1013240,.1797342300415039,37253,.0377197265625,691947,-.1952028274536133,77829,-.6857194900512695,79683,.274256706237793,396745,1.092967987060547,39373,.2642784118652344,321169,.0077800750732422,1373140,142497,.1520347595214844,152955,-.3265275955200195,2580,-3.362674236297607,217201,.652064323425293,77066,1391500,.0013265609741211,142555,1.014676094055176,933623,.4831018447875977,1464618,117351,1.115837097167969,1333963,.0257654190063477,154640,.3344478607177734,366909,.2537899017333984,129517768,16872,-2.515898704528809,21143,-1.035776138305664,77334,-.3764982223510742,12106853,-.0408306121826172,161765,138170,-.1308078765869141,1119732,.1560153961181641,268090,.337437629699707,94703,1.462433815002441,59546,644510,177015,-.834010124206543,96533,1.437308311462402,3711,.1394386291503906,116397,.9903335571289063,matched (3),64126.648,.68773323,123465.7,219394.92
201007,730661,606,3412,156215,07,0,0,0,0,0,1,0,0,0,0,0,4622,-2.572856903076172,25965,-4.066895484924316,560822,277555,-.7462196350097656,945536,524411,.4034395217895508,753823,-.110382080078125,2703599,-.8224525451660156,11526,.8268022537231445,158589,-.2140302658081055,20009,178575,746568,-.3054218292236328,113798,1.116692543029785,619564,-.1104936599731445,134558,.5474815368652344,70527,-.1220607757568359,155975,-.933598518371582,16584,-.8646421432495117,62997,-1.628880500793457,297298,429833,1.104076385498047,104475,-.3811960220336914,37543,2.677697658538818,159689,-.3075942993164063,32519,1013669,-.3168058395385742,95261,-.4031076431274414,505365,-.6137914657592773,178060,27791,-1.440457344055176,486313,-1.00905704498291,73705,-.7410297393798828,154388,-.8656444549560547,45877648,40837,.8839330673217773,665719,3.449558258056641,112170,.3718814849853516,15906448,.2729530334472656,118082,133161,-.0369253158569336,555926,-.7002096176147461,63110,-1.446443557739258,123693,.2670574188232422,57911,558395,154885,-.1335515975952148,9932,-2.274123191833496,2977,-.2203855514526367,67141,-.5502119064331055,matched (3),-52023.379,.68773323,130187.23,223246.66
201008,730661,607,3412,251800,08,0,0,0,0,0,0,1,0,0,0,0,4652,.0064697265625,53857,.7295827865600586,1322111,276362,-.004307746887207,1095585,736626,.3398046493530273,612734,-.2072267532348633,4295096,.4628896713256836,15881,.3205175399780273,94301,-.5198240280151367,212344,66348,982799,.2749176025390625,60757,-.6275424957275391,606799,-.020817756652832,134589,.0002307891845703,155801,.7925844192504883,489460,1.143607139587402,64398,1.356644630432129,157845,.9185266494750977,200423,19635,-3.08608341217041,185096,.5719270706176758,22228,-.524134635925293,174358,.0878820419311523,107917,1659884,.4931707382202148,313035,1.189694404602051,559439,.1016530990600586,250395,27306,-.0176057815551758,457330,-.0614471435546875,115306,.4475193023681641,298736,.660090446472168,49886196,11982,-1.22618293762207,69777,-2.255562782287598,114273,.0185747146606445,11562140,-.3189888000488281,233330,100200,-.2843914031982422,605606,.0855941772460938,206173,1.183836936950684,157330,.2405424118041992,66451,1049849,216021,.3326921463012695,142208,2.661529541015625,26039,2.168679237365723,203330,1.108035087585449,matched (3),231266.14,.68773323,158187.52,240652.55
201009,730661,608,3412,192952,09,0,0,0,0,0,0,0,1,0,0,0,9279,.6904573440551758,22391,-.8776731491088867,673366,56783,-1.582474708557129,741313,505897,-.3757467269897461,708335,.1449861526489258,5091246,.170048713684082,59142,1.314818382263184,198742,.7455148696899414,171640,205167,807953,-.1958999633789063,54200,-.114201545715332,581740,-.0421743392944336,228994,.5314693450927734,114399,-.3088874816894531,267947,-.602513313293457,17358,-1.311029434204102,154855,-.0191240310668945,1891966,242073,2.51192569732666,236697,.2459068298339844,53943,.8865756988525391,131858,-.2793846130371094,104122,1383574,-.1820774078369141,766114,.8950166702270508,758212,.3040285110473633,1077371,58529,.762415885925293,766254,.516108512878418,135570,.1618986129760742,182555,-.4925079345703125,88328432,64109,1.677179336547852,39200,-.5766277313232422,175771,.4305925369262695,14230189,.2076301574707031,201438,88644,-.1225395202636719,795632,.2729072570800781,321135,.443145751953125,99928,-.4538955688476563,65948,796562,203929,-.0576038360595703,65138,-.7807826995849609,7103,-1.299077987670898,140447,-.369999885559082,matched (3),380429.66,.68773323,115703.08,215122.19
201010,730661,609,3412,85826,10,0,0,0,0,0,0,0,0,1,0,0,4864,-.6458930969238281,42747,.6466398239135742,1417758,165263,1.068301200866699,1358251,709721,.3385391235351563,715757,.0104236602783203,5426514,.0637741088867188,27294,-.7732744216918945,135633,-.382054328918457,135482,105034,1404967,.5532646179199219,93109,.5410900115966797,773076,.2843532562255859,171028,-.2918682098388672,108611,-.0519199371337891,497235,.6182737350463867,9431,-.610051155090332,110036,-.3416824340820313,1143292,77302,-1.141519546508789,183315,-.2555751800537109,31560,-.5360374450683594,151255,.1372413635253906,158519,1140805,-.1929359436035156,71667,-2.369300842285156,533673,-.3511800765991211,522496,66578,.1288518905639648,2198548,1.054039001464844,98460,-.3198375701904297,172209,-.0583429336547852,61625776,7795,-2.107102394104004,2484158,4.149012565612793,170221,-.0320844650268555,11949738,-.1746559143066406,290168,59570,-.3974761962890625,771428,-.0308933258056641,83465,-1.347434043884277,70249,-.3524036407470703,83966,246783,176006,-.1472530364990234,36906,-.5681343078613281,3433,-.7270832061767578,94491,-.3963260650634766,matched (3),-179502.81,.68773323,103765.93,208944.31
