period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1004c484,growth1004c484,Y1611c32,Y1771c818,Y1811c484,growth1811c484,Y1855c586,growth1855c586,Y1909c124,growth1909c124,Y1911c381,Y1913c484,growth1913c484,Y2307c222,growth2307c222,Y2404c484,growth2404c484,Y2419c124,growth2419c124,Y2635c586,growth2635c586,Y2768c251,growth2768c251,Y2797c152,growth2797c152,Y2882c246,growth2882c246,Y2897c300,growth2897c300,Y2939c124,growth2939c124,Y2984c124,growth2984c124,Y3019c484,growth3019c484,Y3069c233,Y3127c586,growth3127c586,Y3235c586,growth3235c586,Y325c68,Y3260c124,growth3260c124,Y3343c484,growth3343c484,Y3495c586,growth3495c586,Y3541c124,growth3541c124,Y3623c484,growth3623c484,Y3754c124,growth3754c124,Y3762c484,growth3762c484,Y3771c826,growth3771c826,Y4093c484,growth4093c484,Y4153c752,growth4153c752,Y4231c222,Y4291c484,growth4291c484,Y451c792,growth451c792,Y4564c484,growth4564c484,Y4604c586,growth4604c586,Y4735c352,growth4735c352,Y4923c752,growth4923c752,Y4924c586,Y4933c124,growth4933c124,Y4943c124,growth4943c124,Y4954c586,growth4954c586,Y583c752,growth583c752,Y599c586,growth599c586,Y613c616,growth613c616,Y724c484,growth724c484,Y726c218,Y785c484,growth785c484,_merge,x,r2,s,sf
201001,731816,600,3463,9112559,01,0,0,0,0,0,0,0,0,0,0,0,709421,,2462253,190426,1570068,,113558,,25894448,,21924364,368716,,827052,,954679,,222011,,440703,,115470352,,11430,,618282,,490268,,7279549,,6192936,,1931254,,29815,55383,,29915328,,101617,91610,,1874234,,26546,,7104720,,2160637,,7475319,,588412,,2045318,,827398,,630269,,787,10022177,,7376579,,163664,,475170,,41,,5274889,,31712,27379236,,21472916,,1750110,,2676858,,44859,,52342,,95336,,277041,1388773,,matched (3),,.85882908,,
201002,731816,601,3463,7277349,02,1,0,0,0,0,0,0,0,0,0,0,642880,-.0984907150268555,1141315,198510,2061723,.2724237442016602,79237,-.3598699569702148,24306430,-.0632877349853516,15888772,518296,.3405189514160156,650262,-.2404918670654297,901979,-.0567846298217773,247304,.1078920364379883,335071,-.2740287780761719,91199784,-.2359600067138672,40917,1.275303840637207,213639,-1.062656402587891,374676,-.2688913345336914,6656347,-.0894975662231445,4921958,-.2297029495239258,1504489,-.2497167587280273,8671,16760,-1.195277214050293,8990889,-1.202159881591797,73983,143633,.4497213363647461,1377437,-.3079748153686523,1380,-2.95679521560669,7404915,.0413846969604492,2476749,.1365432739257813,7280653,-.0263862609863281,796810,.3031883239746094,1685995,-.1931972503662109,785178,-.0523757934570313,533017,-.1675930023193359,677306,12711915,.2377376556396484,8317876,.1200962066650391,293660,.5846071243286133,305695,-.4410848617553711,141090,8.143581390380859,4057299,-.2624397277832031,0,19891460,-.3194942474365234,21903436,.0198516845703125,1501048,-.1535148620605469,1119266,-.8719711303710938,129141,1.057380676269531,44419,-.1641321182250977,80464,-.1695976257324219,203267,1114747,-.2197933197021484,matched (3),17252294,.85882908,1624279.3,2264530.5
201003,731816,602,3463,8142663,03,0,1,0,0,0,0,0,0,0,0,0,949409,.3898811340332031,2726598,264115,1417281,-.3748025894165039,92025,.1496162414550781,26762456,.0962581634521484,13235400,699873,.3003530502319336,1054673,.4836101531982422,1722069,.6466913223266602,292611,.1682252883911133,356296,.0614194869995117,65872688,-.3253288269042969,121675,1.089808464050293,102012,-.7391977310180664,758576,.7053813934326172,6772942,.017364501953125,5010941,.0179176330566406,2482163,.5006771087646484,34926,15571,-.0735845565795898,7857133,-.1347904205322266,22824,304808,.7524204254150391,2191068,.4641637802124023,23033,2.814844608306885,8917751,.1858987808227539,2953778,.1761388778686523,8684559,.1763267517089844,558970,-.3545198440551758,1798819,.0647745132446289,300106,-.9617748260498047,307709,-.5493993759155273,81567,16318740,.2497749328613281,7681100,-.0796432495117188,316048,.0734720230102539,393419,.2522869110107422,10657,-2.58318042755127,5106550,.230006217956543,35210,22792932,.1361598968505859,21195206,-.0328693389892578,1175852,-.2441701889038086,2204733,.6779336929321289,244873,.6398344039916992,39622,-.1142826080322266,117820,.38134765625,321861,1576591,.3466377258300781,matched (3),16397960,.85882908,1786262.1,2383389.8
201004,731816,603,3463,9284690,04,0,0,1,0,0,0,0,0,0,0,0,628572,-.412388801574707,1943077,244401,1368808,-.0347995758056641,42065,-.7828435897827148,27697508,.0343418121337891,11849980,409878,-.5350399017333984,1055961,.001220703125,1225622,-.3400783538818359,263794,-.1036758422851563,478404,.2946939468383789,42117796,-.4472541809082031,66528,-.6037311553955078,51553,-.6824798583984375,400783,-.6380224227905273,6491173,-.0424919128417969,3910127,-.2480545043945313,2122894,-.1563501358032227,44205,25312,.4858684539794922,16069169,.7154808044433594,40490,141068,-.7704401016235352,2312057,.0537490844726563,16974,-.3052453994750977,8281720,-.0739917755126953,3054709,.0335988998413086,7759085,-.1126823425292969,500557,-.1103744506835938,1853507,.0299491882324219,639711,.7568807601928711,754384,.8967475891113281,0,13019062,-.2258987426757813,3901704,-.6773500442504883,456279,.3672103881835938,376777,-.0432214736938477,511,-3.03760290145874,3939437,-.259486198425293,52918,23232104,.0190849304199219,20029772,-.0565547943115234,2703342,.8324956893920898,3450646,.4479551315307617,43194,-1.735037803649902,49997,.2325782775878906,155015,.2743635177612305,336430,1377020,-.1353435516357422,matched (3),14503717,.85882908,1339415.1,2069745.8
201005,731816,604,3463,9857940,05,0,0,0,1,0,0,0,0,0,0,0,863686,.3177585601806641,851466,1967618,1926154,.3415851593017578,83262,.6827754974365234,34157292,.2096347808837891,17605264,424561,.0351963043212891,1271159,.1854782104492188,1388879,.1250486373901367,323014,.2025270462036133,587864,.2060403823852539,43429912,.0306777954101563,40428,-.4981002807617188,199283,1.352115631103516,283917,-.3447380065917969,8780915,.3021373748779297,8064980,.7239618301391602,1864208,-.12994384765625,60847,40001,.4576253890991211,40339364,.9204254150390625,93099,248987,.5681581497192383,2054825,-.1179475784301758,6897,-.9005966186523438,8408522,.0151948928833008,3107589,.0171632766723633,8373386,.0761938095092773,667708,.2881288528442383,1888379,.0186386108398438,928938,.3730258941650391,524656,-.3631591796875,37415,17526820,.2973175048828125,6863601,.5648193359375,441887,-.0320501327514648,336276,-.1137208938598633,23679,3.835974216461182,4444082,.1205358505249023,25874,28872700,.2173614501953125,27549818,.3187751770019531,2410822,-.1145210266113281,1301619,-.9749526977539063,221075,1.632800102233887,49482,-.0103540420532227,40459,-1.343232154846191,318386,1770230,.2511873245239258,matched (3),20129486,.85882908,1155151.3,1955553.4
201006,731816,605,3463,14500620,06,0,0,0,0,1,0,0,0,0,0,0,756514,-.1324882507324219,2045014,522851,1493020,-.2547245025634766,139689,.5174264907836914,40390024,.1676063537597656,18757944,586400,.3229465484619141,1420892,.1113557815551758,1453984,.0458106994628906,373163,.1443204879760742,980809,.5118818283081055,96786960,.8013648986816406,67300,.5096378326416016,546719,1.009208679199219,419802,.3911008834838867,10753572,.2026567459106445,6229500,-.258234977722168,1838478,-.0138978958129883,67871,27945,-.3586664199829102,16183468,-.9133377075195313,59179,49554,-1.614336967468262,2291806,.1091499328613281,38089,1.708839416503906,9824401,.1556234359741211,3613718,.1508893966674805,9328118,.1079750061035156,692750,.0368185043334961,2150391,.1299314498901367,840324,-.100255012512207,595133,.126042366027832,129341,14949161,-.1590766906738281,9064830,.2781696319580078,966858,.7829971313476563,149227,-.8124637603759766,32545,.3180351257324219,6153440,.3254375457763672,35647,31518214,.0876693725585938,24955006,-.0989208221435547,2284882,-.0536537170410156,1628195,.2238626480102539,104388,-.7503871917724609,30701,-.4773139953613281,75401,.6225309371948242,1034138,1820761,.0281457901000977,matched (3),22559306,.85882908,1388413.8,2101786.8
201007,731816,606,3463,15749073,07,0,0,0,0,0,1,0,0,0,0,0,976022,.2547645568847656,3676574,393816,1923109,.2531423568725586,43433,-1.168198585510254,40746216,.0087795257568359,26617452,738400,.2304840087890625,1001503,-.3497829437255859,1570819,.0772895812988281,272176,-.3155670166015625,858057,-.1337070465087891,129261752,.2893257141113281,7312,-2.219643592834473,1061485,.6634893417358398,900326,.7629737854003906,9717426,-.1013164520263672,4773013,-.2663183212280273,2142468,.153019905090332,78228,45153,.4798183441162109,19198980,.170867919921875,15213,654020,2.580074310302734,1636733,-.3366384506225586,29782,-.2460212707519531,8900291,-.098785400390625,3082368,-.1590385437011719,9862448,.0557003021240234,677241,-.0226421356201172,2085364,-.0307064056396484,636322,-.2780828475952148,605227,.0168190002441406,154601,12323066,-.1931838989257813,20429608,.8125839233398438,543172,-.5766258239746094,165003,.100494384765625,6274,-1.646209716796875,3528265,-.5562047958374023,0,29081652,-.0804595947265625,26978208,.0779552459716797,2060247,-.1034879684448242,1415837,-.1397504806518555,119605,.1360797882080078,32188,.0472984313964844,107898,.3583660125732422,226541,1945618,.0663251876831055,matched (3),20695736,.85882908,1535460.6,2201693.5
201008,731816,607,3463,17377522,08,0,0,0,0,0,0,1,0,0,0,0,868478,-.1167430877685547,1800101,687447,1608340,-.1787405014038086,103579,.869114875793457,33823432,-.1862087249755859,27434292,918290,.2180271148681641,1518409,.4161605834960938,1553407,-.0111465454101563,436322,.4719314575195313,837458,-.0242996215820313,128836176,-.0032978057861328,76344,2.345732688903809,802801,-.2793169021606445,686012,-.2718620300292969,9621572,-.0099143981933594,4226205,-.121673583984375,2295569,.0690221786499023,189775,22453,-.6986322402954102,41130132,.7618827819824219,26949,816072,.2213649749755859,1958153,.1793003082275391,31640,.0605182647705078,9021495,.0135269165039063,3818077,.2140483856201172,8772285,-.1171360015869141,725541,.0688905715942383,2094761,.0044956207275391,1017244,.4691476821899414,514838,-.1617517471313477,56013,14752509,.1799411773681641,8646236,-.8598623275756836,1561928,1.05625057220459,286261,.5509405136108398,13373,.7568235397338867,3796565,.0732908248901367,55817,31313558,.073944091796875,28331080,.0489292144775391,3309114,.4738540649414063,1513704,.066838264465332,198481,.5064983367919922,19671,-.4924478530883789,121052,.1150341033935547,256549,2371693,.198023796081543,matched (3),22052082,.85882908,1400802.9,2109991.5
201009,731816,608,3463,17526918,09,0,0,0,0,0,0,0,1,0,0,0,684320,-.238316535949707,2293986,523584,1377226,-.1551313400268555,119534,.1432657241821289,30911208,-.0900344848632813,22493414,765127,-.1824712753295898,271260,-1.72234058380127,1610441,.0360574722290039,324906,-.2948446273803711,839307,.0022058486938477,112604352,-.1346607208251953,18914,-1.395347595214844,482779,-.5085477828979492,643679,-.063694953918457,10196163,.0580043792724609,3922749,-.0745115280151367,1818871,-.2327642440795898,61798,30776,.3153114318847656,43112992,.0470829010009766,26978,1154405,.3468379974365234,2186029,.1100845336914063,21974,-.36456298828125,8553102,-.0533170700073242,3402293,-.1152973175048828,8621361,-.0173549652099609,939291,.2582082748413086,1885817,-.1050777435302734,512177,-.6861820220947266,893125,.5508747100830078,164923,14023182,-.0507011413574219,6567496,-.2749910354614258,1159296,-.2981081008911133,655649,.8287220001220703,7703,-.5516271591186523,3865981,.0181179046630859,27880,34281824,.0905647277832031,29178620,.0294780731201172,1842479,-.5855684280395508,1326610,-.1319332122802734,108770,-.6014575958251953,62545,1.156741142272949,167113,.3224496841430664,255193,2303892,-.0290040969848633,matched (3),21117420,.85882908,1425764.6,2126645.3
201010,731816,609,3463,16986842,10,0,0,0,0,0,0,0,0,1,0,0,682251,-.0030279159545898,974849,306795,1276873,-.0756568908691406,110836,-.0755491256713867,34094040,.0980033874511719,17106692,678397,-.1203088760375977,503593,.6186904907226563,1296692,-.2166919708251953,294079,-.0996875762939453,901601,.0715951919555664,95187248,-.1680335998535156,30134,.4657526016235352,135954,-1.267242431640625,643278,-.0006227493286133,8198525,-.2180566787719727,3762534,-.0417003631591797,1746930,-.0403566360473633,95069,5738,-1.679624557495117,12646361,-1.22645378112793,14361,353093,-1.184609413146973,2580815,.1660184860229492,57597,.9636106491088867,9253009,.0786542892456055,3396409,-.0017309188842773,7534038,-.1348114013671875,633026,-.3946142196655273,2231247,.1681995391845703,602414,.1622753143310547,607368,-.3855924606323242,13411,15329772,.0890846252441406,3451509,-.6433210372924805,1078258,-.0724658966064453,260254,-.9239673614501953,22,-5.858323097229004,3675882,-.0504217147827148,39021,30145214,-.1285896301269531,25462472,-.1362323760986328,1953730,.0586280822753906,1406140,.0582218170166016,76295,-.3546276092529297,61050,-.0241937637329102,91562,-.601654052734375,202873,1635135,-.3428745269775391,matched (3),17512922,.85882908,1310363.1,2051064.8
