period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1242c826,growth1242c826,Y1258c616,growth1258c616,Y1396c152,growth1396c152,Y1497c703,growth1497c703,Y1669c703,Y1755c124,growth1755c124,Y1778c484,growth1778c484,Y1787c826,growth1787c826,Y1926c642,Y199c428,growth199c428,Y2102c792,growth2102c792,Y2560c348,growth2560c348,Y2562c600,growth2562c600,Y2622c36,Y2635c352,growth2635c352,Y2696c792,growth2696c792,Y2728c752,growth2728c752,Y2755c208,growth2755c208,Y2999c826,growth2999c826,Y3022c124,growth3022c124,Y3093c498,Y3144c152,growth3144c152,Y3260c484,growth3260c484,Y3410c440,growth3410c440,Y3421c616,growth3421c616,Y3449c203,Y3633c376,Y3727c428,growth3727c428,Y3842c222,growth3842c222,Y3923c428,growth3923c428,Y4165c616,growth4165c616,Y4173c826,growth4173c826,Y4205c191,growth4205c191,Y4271c826,growth4271c826,Y4300c586,growth4300c586,Y4311c608,Y4312c372,growth4312c372,Y4359c484,growth4359c484,Y4380c300,growth4380c300,Y4506c246,growth4506c246,Y4584c376,Y4598c484,growth4598c484,Y460c792,growth460c792,Y4636c222,growth4636c222,Y4798c300,growth4798c300,Y4825c440,growth4825c440,Y748c826,growth748c826,Y776c440,growth776c440,Y780c616,growth780c616,Y983c348,growth983c348,_merge,x,r2,s,sf
201001,732020,600,3474,1214182,01,0,0,0,0,0,0,0,0,0,0,0,3940767,,70493,,66658,,28854,,40897,3522171,,9503334,,788765,,846,86983,,3283490,,771,,98145,,93931,10394,,81722,,1008233,,2262962,,7386845,,5353771,,6924,287677,,43769,,445113,,835040,,513427,119000,7083,,437251,,24194,,720482,,16068650,,51649,,20088262,,2484982,,3441475,67085,,60703,,1805800,,13913,,9277000,2417273,,197975,,14511,,178815,,122996,,1878055,,4249,,64285,,92611,,matched (3),,.87418604,,
201002,732020,601,3474,824544,02,1,0,0,0,0,0,0,0,0,0,0,2941240,-.2925443649291992,58815,-.181117057800293,54170,-.2074480056762695,12904,-.8047113418579102,18269,3523067,.0002546310424805,9024047,-.0517501831054688,428566,-.6100244522094727,0,62627,-.328516960144043,3136885,-.0456762313842773,12658,2.798356533050537,122537,.2219667434692383,44675,9223,-.1195287704467773,63791,-.2477102279663086,1328896,.2761497497558594,2098241,-.0755748748779297,9056948,.203831672668457,4808351,-.1074466705322266,58795,292810,.0176858901977539,840248,2.954771995544434,397945,-.1120147705078125,698105,-.1791095733642578,634883,174000,19497,1.01256275177002,422692,-.0338640213012695,817,-3.38822078704834,611209,-.1644811630249023,10135164,-.4608592987060547,130989,.9306421279907227,19121790,-.0493087768554688,1640716,-.4151325225830078,1057703,91860,.314305305480957,90430,.3985834121704102,1201345,-.407562255859375,27273,.6730737686157227,4242000,4307295,.5776700973510742,42687,-1.534246444702148,13708,-.0569276809692383,226160,.2348909378051758,93846,-.2704963684082031,1379812,-.3082895278930664,5680,.2902679443359375,149994,.8472690582275391,81736,-.124913215637207,matched (3),1915222.8,.87418604,165874.94,279401.28
201003,732020,602,3474,675334,03,0,1,0,0,0,0,0,0,0,0,0,6990040,.8656549453735352,29319,-.6961612701416016,191639,1.263485908508301,40221,1.136851310729981,40316,3519845,-.0009145736694336,13479402,.4012699127197266,340369,-.2304143905639648,108092,123583,.6797170639038086,3919905,.2228364944458008,680,-2.923952102661133,100276,-.2004871368408203,39822,24327,.9698867797851563,8434,-2.023341178894043,1349201,.0151634216308594,2119426,.0100460052490234,8926944,-.0144577026367188,7151491,.3969659805297852,18522,233661,-.2256526947021484,278068,-1.105832099914551,473260,.1733312606811523,522785,-.2891998291015625,507847,364000,17310,-.1189756393432617,379950,-.1066045761108398,7561,2.225119590759277,945787,.4365777969360352,12498052,.2095623016357422,86367,-.4165077209472656,24151424,.2335147857666016,1082306,-.4160385131835938,1909951,82420,-.1084384918212891,130692,.3682670593261719,1446334,.1855907440185547,8822,-1.12864875793457,4959000,3172372,-.3058309555053711,161483,1.33050537109375,13210,-.0370054244995117,231156,.0218505859375,173024,.6117753982543945,1522881,.0986566543579102,7337,.2559785842895508,112533,-.287348747253418,72421,-.1209983825683594,matched (3),1199216.3,.87418604,233242,323963.59
201004,732020,603,3474,930150,04,0,0,1,0,0,0,0,0,0,0,0,3371661,-.7290802001953125,139427,1.559306144714356,50532,-1.333005905151367,40867,.0159339904785156,25823,3445957,-.0212154388427734,12300095,-.0915565490722656,608602,.5811347961425781,0,205339,.5077486038208008,3430614,-.1333274841308594,1341,.6790781021118164,111073,.1022615432739258,0,10567,-.8338508605957031,110714,2.574679374694824,1813016,.2954797744750977,1664030,-.2419033050537109,9121218,.0215282440185547,6019350,-.1723413467407227,21246,343358,.3849020004272461,481735,.5495290756225586,768203,.4844093322753906,1169674,.8053102493286133,591494,403000,25064,.370147705078125,777340,.7158384323120117,8922,.1655168533325195,602220,-.4513940811157227,17336196,.3272228240966797,91530,.0580615997314453,24306432,.0063991546630859,3502761,1.174457550048828,2733286,188825,.8289928436279297,806261,1.819563865661621,1317588,-.0932292938232422,15164,.5416755676269531,4117000,6128884,.6585330963134766,197964,.2036857604980469,47240,1.274267196655273,272123,.1631612777709961,179993,.0394878387451172,1912582,.2278499603271484,11010,.4058742523193359,143811,.2452535629272461,92446,.2441282272338867,matched (3),1799214.8,.87418604,142019.33,265932.44
201005,732020,604,3474,870565,05,0,0,0,1,0,0,0,0,0,0,0,4105158,.19683837890625,48414,-1.05775260925293,140562,1.023041725158691,12772,-1.163067817687988,14857,3843665,.1092243194580078,11915793,-.0317420959472656,653032,.0704612731933594,128288,55884,-1.301383972167969,4347015,.2367496490478516,515,-.9570040702819824,75560,-.3852605819702148,0,10479,-.0083627700805664,128902,.1521015167236328,1408457,-.2524967193603516,2115907,.2402410507202148,8673823,-.05029296875,6523114,.0803728103637695,15920,226659,-.4153270721435547,1529638,1.155391693115234,358497,-.7621335983276367,1135491,-.0296602249145508,554760,215000,17926,-.3351802825927734,557383,-.3326253890991211,11891,.287261962890625,762143,.2355108261108398,10650302,-.4872074127197266,20906,-1.476631164550781,24293806,-.0005207061767578,2691733,-.26336669921875,2467165,70059,-.9914827346801758,94394,-2.144929885864258,1287578,-.0230398178100586,10487,-.3687877655029297,4753000,8070104,.2751541137695313,75826,-.9596443176269531,10552,-1.498926162719727,286316,.05084228515625,166761,-.0763568878173828,1770866,-.0769853591918945,11741,.0642824172973633,184928,.2514667510986328,51252,-.589869499206543,matched (3),1598863.6,.87418604,143202.44,266566.16
201006,732020,605,3474,1505931,06,0,0,0,0,1,0,0,0,0,0,0,5914071,.3650903701782227,65467,.3017568588256836,568321,1.397037506103516,62183,1.582826614379883,31091,4261263,.1031389236450195,18710128,.4512004852294922,586710,-.1070957183837891,82386,153732,1.011933326721191,3088726,-.3417301177978516,1465,1.045443534851074,117141,.4384517669677734,0,17723,.5254898071289063,93728,-.3186550140380859,1405501,-.002100944519043,2059069,-.0272293090820313,9378080,.0780658721923828,7870492,.1877689361572266,53174,329151,.3730707168579102,388322,-1.370951652526856,555577,.4380865097045898,675639,-.5191612243652344,504873,1261000,27632,.4327220916748047,375809,-.3941717147827148,61573,1.644441604614258,949407,.2197036743164063,13260731,.2192192077636719,44323,.7514677047729492,25242524,.0383090972900391,3588872,.2876529693603516,3093726,89094,.2403545379638672,131478,.3313617706298828,624100,-.724207878112793,19507,.6206369400024414,5758000,10485132,.2617912292480469,114129,.4088878631591797,58648,1.715238571166992,317702,.1040172576904297,1180044,1.956745147705078,1926720,.0843505859375,15944,.3059959411621094,128138,-.3668584823608398,82447,.4754009246826172,matched (3),3245500.5,.87418604,446622.19,500021.94
201007,732020,606,3474,1337820,07,0,0,0,0,0,1,0,0,0,0,0,5216866,-.1254377365112305,63073,-.0372533798217773,268941,-.748194694519043,46985,-.2802534103393555,16739,3809942,-.1119508743286133,16459912,-.1281375885009766,591158,.0075531005859375,67405,139559,-.0967235565185547,4633839,.4056262969970703,588,-.9128832817077637,96276,-.1961593627929688,111320,11193,-.4595746994018555,72353,-.2588405609130859,1986959,.3462114334106445,1896272,-.0823640823364258,8871150,-.0555715560913086,6790605,-.1475811004638672,21510,364437,.101837158203125,826754,.7556724548339844,516769,-.0724105834960938,695479,.0289421081542969,413324,129000,18107,-.4226751327514648,265688,-.3467578887939453,22405,-1.010939598083496,733890,-.2574787139892578,23809326,.5852699279785156,36413,-.1965780258178711,24910168,-.0132541656494141,286477,-2.527935028076172,1567189,42252,-.7460403442382813,106414,-.2115020751953125,802126,.2509555816650391,767,-3.236042022705078,4846000,9515366,-.0970497131347656,37947,-1.101139068603516,57468,-.0203256607055664,259551,-.2021608352661133,179634,-1.88238525390625,1676947,-.1388444900512695,31383,.6771841049194336,113867,-.118077278137207,78854,-.0445575714111328,matched (3),1250186.3,.87418604,207324,305832.97
201008,732020,607,3474,1426375,08,0,0,0,0,0,0,1,0,0,0,0,6747817,.2573223114013672,64595,.0238447189331055,815392,1.109177589416504,91897,.6708402633666992,45375,4603103,.1891164779663086,18220216,.1016044616699219,801215,.3040456771850586,9887,208717,.402491569519043,3600506,-.2523107528686523,1946,1.196804046630859,96467,.0019817352294922,140994,31125,1.022723197937012,59444,-.1965217590332031,2361635,.1727485656738281,2451186,.2566823959350586,8015027,-.1014862060546875,8395997,.2122154235839844,23277,417976,.1370697021484375,813926,-.0156373977661133,750525,.3731765747070313,930920,.2915725708007813,361504,63000,23470,.2594242095947266,222534,-.1772432327270508,39375,.563847541809082,613528,-.1791324615478516,24752132,.0388336181640625,74874,.720881462097168,22800700,-.0884838104248047,1714323,1.789114952087402,3502790,45719,.078862190246582,112588,.0563983917236328,641230,-.2238779067993164,17892,3.149621963500977,3489000,9615953,.0105152130126953,43344,.1329784393310547,70837,.2091531753540039,368323,.3500070571899414,189364,.0527496337890625,1950296,.1510066986083984,13593,-.8367118835449219,208364,.6042556762695313,90621,.1390876770019531,matched (3),2339828.8,.87418604,141777.13,265803.16
201009,732020,608,3474,896614,09,0,0,0,0,0,0,0,1,0,0,0,4202632,-.4735078811645508,45555,-.3492164611816406,309087,-.9700460433959961,20290,-1.510540008544922,31234,3298801,-.3331718444824219,15146118,-.1847877502441406,567302,-.3452377319335938,425,99497,-.7408514022827148,3441812,-.0450763702392578,915,-.7546072006225586,144948,.4071741104125977,100230,9716,-1.164237976074219,29980,-.684504508972168,2415054,.0223674774169922,2348616,-.0427465438842773,8122444,.0133132934570313,8166619,-.0277004241943359,18829,283945,-.3866434097290039,464610,-.5606708526611328,836563,.1085290908813477,942638,.0125083923339844,505157,135000,14377,-.4900932312011719,239834,.0748672485351563,23428,-.5191993713378906,676215,.097285270690918,16933634,-.3796100616455078,82984,.1028404235839844,29308984,.2511024475097656,1261561,-.3066682815551758,1909264,120366,.9680233001708984,88623,-.2393436431884766,652251,.0170412063598633,8933,-.6946010589599609,3079000,6376714,-.4107704162597656,145846,1.213382720947266,58291,-.1949338912963867,358784,-.0262393951416016,3972154,3.043393135070801,1466216,-.2852964401245117,6785,-.6948404312133789,267377,.2493734359741211,65355,-.3268518447875977,matched (3),6522129.5,.87418604,1731447.3,1745984
201010,732020,609,3474,1189821,10,0,0,0,0,0,0,0,0,1,0,0,6345481,.4120321273803711,64274,.3442344665527344,365240,.16693115234375,16954,-.1796245574951172,14300,3098262,-.0627174377441406,15847780,.0452861785888672,545930,-.0384006500244141,23819,435555,1.476492881774902,4704985,.3126239776611328,97,-2.244213104248047,111836,-.2593412399291992,66263,49004,1.618127822875977,153293,1.631820678710938,2218184,-.0850324630737305,2655925,.1229667663574219,8961800,.0983400344848633,8541793,.0449161529541016,47980,347437,.2018032073974609,604718,.2635631561279297,583967,-.3594579696655273,1339198,.3511438369750977,624601,272000,37176,.9500331878662109,438310,.6029796600341797,88909,1.333681106567383,852164,.2312679290771484,22384704,.2790775299072266,43429,-.6475200653076172,36098612,.2083606719970703,2161763,.53857421875,5339441,135528,.1186408996582031,171500,.660191535949707,803066,.2080078125,9464,.0577430725097656,5287000,7457572,.1565771102905273,166123,.1301774978637695,37641,-.4373531341552734,370897,.0332040786743164,312624,-2.542062759399414,1437992,-.0194368362426758,13366,.6779994964599609,182037,-.3844499588012695,126115,.6573600769042969,matched (3),1533866.4,.87418604,353228.22,418713.22
