period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1105c792,growth1105c792,Y1108c348,growth1108c348,Y1387c428,growth1387c428,Y1393c752,growth1393c752,Y1466c705,Y1672c752,growth1672c752,Y1677c757,growth1677c757,Y1848c372,growth1848c372,Y2002c826,growth2002c826,Y2364c616,growth2364c616,Y2425c233,Y2438c826,growth2438c826,Y2521c440,Y2631c251,growth2631c251,Y2774c152,growth2774c152,Y2955c792,growth2955c792,Y2981c608,Y3012c792,growth3012c792,Y3038c600,growth3038c600,Y3058c703,growth3058c703,Y3087c372,growth3087c372,Y3133c752,growth3133c752,Y3146c440,Y3275c440,growth3275c440,Y3391c703,growth3391c703,Y3393c703,growth3393c703,Y3410c348,growth3410c348,Y3487c484,growth3487c484,Y3598c757,growth3598c757,Y3691c348,growth3691c348,Y3736c554,Y3760c484,growth3760c484,Y3767c152,growth3767c152,Y3897c372,growth3897c372,Y4024c348,Y4270c208,growth4270c208,Y428c752,growth428c752,Y4371c203,Y4447c608,Y4882c32,Y4884c554,Y4952c36,Y4990c208,growth4990c208,Y5002c152,growth5002c152,Y5021c442,Y627c251,growth627c251,Y747c124,growth747c124,Y872c372,growth872c372,Y905c705,growth905c705,Y959c752,growth959c752,_merge,x,r2,s,sf
201001,760410,600,3576,669547,01,0,0,0,0,0,0,0,0,0,0,0,256909,,92026,,154225,,24887,,5351,459459,,510894,,328214,,3320921,,1267700,,5858,751255,,32,1338193,,253925,,19927,,87906,95952,,145565,,17637,,1755021,,126416,,280,2076883,,934629,,128785,,2159848,,22987,,245632,,37501,,19768,833369,,279394,,612196,,1834868,2458387,,2146663,,2588727,472235,22697,45198,2851699,263292,,78742,,104997,2135847,,48552,,139724,,133289,,126958,,matched (3),,.84045327,,
201002,760410,601,3576,502049,02,1,0,0,0,0,0,0,0,0,0,0,128278,-.6945219039916992,88100,-.0435991287231445,114093,-.3013992309570313,13356,-.622380256652832,4656,492211,.0688581466674805,803059,.4522666931152344,316900,-.0350790023803711,3116120,-.0636539459228516,1349559,.0625743865966797,4041,502053,-.4030389785766602,0,1235076,-.0801877975463867,261197,.0282354354858398,217349,2.389429092407227,148850,74857,-.2482681274414063,296757,.7122907638549805,3791,-1.537368774414063,1583187,-.1030416488647461,139539,.0987663269042969,0,1638123,-.2373170852661133,1072384,.1374902725219727,232784,.5919666290283203,2810769,.2634201049804688,10912,-.7450666427612305,147338,-.5111055374145508,70789,.6353359222412109,31816,1594736,.64898681640625,580181,.7307167053222656,551889,-.1037063598632813,104370,2387897,-.0290927886962891,763639,-1.033574104309082,694300,18932,11182,88303,2791578,361580,.3172197341918945,130656,.5063915252685547,69940,3417230,.4699668884277344,73775,.4183845520019531,191673,.3161211013793945,69094,-.6570520401000977,91274,-.3299903869628906,matched (3),-166136.69,.84045327,89882.023,116989.36
201003,760410,602,3576,416850,03,0,1,0,0,0,0,0,0,0,0,0,189835,.3919553756713867,48920,-.5882863998413086,176263,.4349641799926758,12967,-.0295572280883789,1161,904710,.6087074279785156,636292,-.2327709197998047,515166,.4859027862548828,2743276,-.1274356842041016,1840343,.3101739883422852,12473,601944,.1814584732055664,90530,1376251,.1082305908203125,337049,.2549533843994141,456983,.7431411743164063,88942,4656,-2.777422904968262,193828,-.4259424209594727,12967,1.229778289794922,1522420,-.0391378402709961,149383,.0681686401367188,0,1505212,-.0846176147460938,1324898,.2114505767822266,139270,-.5136966705322266,2679999,-.0476417541503906,32005,1.076029777526856,362915,.9014396667480469,47479,-.3994159698486328,11858,1283996,-.216731071472168,487037,-.1750001907348633,660375,.1794614791870117,3086,2793891,.1570224761962891,1032698,.3018350601196289,978871,153550,9175,171396,2657700,323884,-.1100978851318359,18557,-1.951720237731934,36333,3324016,-.0276565551757813,268944,1.293482780456543,150379,-.2426319122314453,58722,-.1626529693603516,137897,.4126405715942383,matched (3),-42130.566,.84045327,86322.203,114277.1
201004,760410,603,3576,937954,04,0,0,1,0,0,0,0,0,0,0,0,228497,.1853675842285156,16599,-1.080843925476074,173200,-.0175304412841797,17041,.2732143402099609,3203,544192,-.5083131790161133,579454,-.093571662902832,164357,-1.142448425292969,3149469,.1380815505981445,1284471,-.3596048355102539,13435,572589,-.0499963760375977,0,1301539,-.0558156967163086,124007,-.9998903274536133,241978,-.6357994079589844,135502,178295,3.645282745361328,313808,.4818105697631836,13059,.0070695877075195,1400926,-.0831680297851563,190322,.2422037124633789,41377,1745978,.148381233215332,1336278,.0085535049438477,2158036,2.74053955078125,2802156,.0445728302001953,69090,.7695178985595703,379710,.0452394485473633,62815,.2799062728881836,28781,1990986,.4386529922485352,369209,-.2769765853881836,587874,-.1162948608398438,34605,3762509,.2976503372192383,1258903,.1980657577514648,1964563,25045,58420,66105,0,404644,.2226219177246094,22493,.192357063293457,36040,3708784,.1095304489135742,553660,.7220478057861328,287032,.6464357376098633,108787,.6165771484375,189974,.3203802108764648,matched (3),-38467.051,.84045327,64145.582,98602.172
201005,760410,604,3576,663093,05,0,0,0,1,0,0,0,0,0,0,0,94963,-.8780355453491211,12044,-.320775032043457,143886,-.1854257583618164,3504,-1.581717491149902,541,485071,-.1150064468383789,493113,-.1613473892211914,155974,-.0523519515991211,2489795,-.2350339889526367,1052038,-.1996183395385742,3629,606201,.0570440292358398,18461,1388149,.0644245147705078,88964,-.3321056365966797,346196,.358159065246582,152646,241849,.3048734664916992,195144,-.4750442504882813,15611,.1784982681274414,935489,-.4038190841674805,102706,-.6168460845947266,54827,1406106,-.2164907455444336,1102198,-.1925821304321289,85299,-3.230791091918945,2407032,-.1519947052001953,21874,-1.150111198425293,219552,-.5478191375732422,29111,-.7690773010253906,10774,1759180,-.1237821578979492,190765,-.6603212356567383,564916,-.0398359298706055,17055,2994395,-.2283439636230469,1290316,.0246458053588867,353857,2242,72181,51433,0,326893,-.213374137878418,30550,.3061599731445313,54254,3185163,-.1522006988525391,484152,-.1341514587402344,161862,-.572850227355957,81768,-.2855052947998047,132860,-.3575906753540039,matched (3),-36161.918,.84045327,47696.832,88784.688
201006,760410,605,3576,815582,06,0,0,0,0,1,0,0,0,0,0,0,313562,1.194509506225586,50220,1.42784595489502,250980,.5563516616821289,34192,2.278086662292481,2386,525882,.0807819366455078,604226,.2032098770141602,274967,.5669622421264648,2902201,.1532688140869141,1954699,.6195068359375,1086,577945,-.0477333068847656,47420,1770091,.2430591583251953,259879,1.07198429107666,184447,-.629643440246582,173822,220586,-.0920257568359375,238759,.2017173767089844,16382,.0482072830200195,785887,-.1742563247680664,108716,.0568685531616211,71511,1865908,.282923698425293,1195307,.0810966491699219,676823,2.071247100830078,2894425,.184391975402832,10882,-.6981887817382813,205455,-.0663614273071289,42530,.3790931701660156,17927,2125945,.1893682479858398,529252,1.02042293548584,654243,.1468019485473633,3052,2857780,-.046696662902832,1359615,.0523147583007813,1859837,33100,323706,66740,0,539041,.5001583099365234,96755,1.152817726135254,117579,3253888,.0213470458984375,517439,.0664920806884766,139395,-.1494321823120117,116433,.3534297943115234,54065,-.89910888671875,matched (3),155850.38,.84045327,51267.059,90752.648
201007,760410,606,3576,546933,07,0,0,0,0,0,1,0,0,0,0,0,179290,-.5589923858642578,12446,-1.395013809204102,301752,.1842327117919922,2300,-2.699082374572754,944,293681,-.5825834274291992,448035,-.299077033996582,312929,.1293249130249023,3503246,.1882209777832031,2421661,.2142181396484375,1342,392815,-.3861398696899414,12900,1948100,.0958232879638672,294911,.1264572143554688,99769,-.6145048141479492,178705,103217,-.7594537734985352,165635,-.3656682968139648,9034,-.5951881408691406,857180,.0868349075317383,143359,.2766122817993164,41716,1508583,-.2125768661499023,3866811,1.174027442932129,132983,-1.627188682556152,3358775,.1487903594970703,27929,.9425554275512695,133022,-.4347124099731445,31064,-.3141593933105469,11650,1953535,-.0845756530761719,421860,-.2267913818359375,469642,-.3315086364746094,66293,2042237,-.3359994888305664,1038727,-.2692060470581055,801743,26981,49126,42813,3749567,304747,-.5703096389770508,60014,-.477604866027832,34322,3093526,-.0505390167236328,628955,.1951684951782227,168859,.1917524337768555,192337,.5019330978393555,126172,.8474588394165039,matched (3),-246465.38,.84045327,93502.141,119793.08
201008,760410,607,3576,741917,08,0,0,0,0,0,0,1,0,0,0,0,119419,-.4063663482666016,12775,.0260906219482422,317076,.0495357513427734,24892,2.381637573242188,0,585607,.690155029296875,775712,.5489101409912109,338586,.0788021087646484,3719067,.0597829818725586,1503843,-.4764299392700195,4834,979350,.9135503768920898,49241,1599865,-.196934700012207,500511,.5289554595947266,342705,1.234012603759766,249392,476553,1.529745101928711,238146,.3630971908569336,15907,.5657644271850586,1233302,.3638019561767578,220532,.4306907653808594,44492,2085243,.3237142562866211,1204627,-1.166260719299316,141333,.0608978271484375,2219439,-.4143218994140625,60545,.7737207412719727,468595,1.259223937988281,57092,.6086139678955078,41257,2537486,.2615327835083008,466770,.1011629104614258,488075,.0384988784790039,89641,2335300,.13409423828125,1435781,.3237133026123047,1240282,25997,505319,51704,3504843,420827,.3227396011352539,167568,1.026811599731445,56693,3151197,.0184707641601563,585978,-.0707778930664063,187557,.1050186157226563,93512,-.7211599349975586,93173,-.3031883239746094,matched (3),438182.28,.84045327,57804.941,94599.914
201009,760410,608,3576,720261,09,0,0,0,0,0,0,0,1,0,0,0,116735,-.0227317810058594,54798,1.456164360046387,215767,-.3849420547485352,21966,-.1250505447387695,5781,690833,.1652488708496094,475246,-.4899492263793945,314298,-.0744361877441406,3884647,.0435590744018555,1577887,.0480623245239258,9127,726746,-.2983121871948242,87037,1591332,-.0053482055664063,196364,-.9356594085693359,1087265,1.154550552368164,142301,256218,-.6205501556396484,211857,-.1169719696044922,13728,-.1473217010498047,1524270,.2118206024169922,172940,-.2430973052978516,32115,1948137,-.0680122375488281,1582682,.2729511260986328,1586988,2.418474197387695,3127556,.3429975509643555,20291,-1.093209266662598,243989,-.6526155471801758,76506,.2927055358886719,38316,1149817,-.7915706634521484,465144,-.0034894943237305,625512,.2481012344360352,61398,3134981,.2944831848144531,1417966,-.0124855041503906,1132040,17969,260090,14331,3603157,361220,-.1527347564697266,91387,-.6062860488891602,53831,2988505,-.053009033203125,452593,-.2582883834838867,261816,.3335590362548828,96569,.0321683883666992,119058,.2451534271240234,matched (3),163183.09,.84045327,71115.984,103272.53
201010,760410,609,3576,440011,10,0,0,0,0,0,0,0,0,1,0,0,184864,.4597139358520508,8463,-1.867950439453125,248658,.1418790817260742,67428,1.121563911437988,3588,675061,-.0230941772460938,397115,-.1796064376831055,270908,-.1485624313354492,3745103,-.0365829467773438,1631383,.0333414077758789,1959,652409,-.107905387878418,24471,1330193,-.1792469024658203,110868,-.571629524230957,94041,-2.447689056396484,532209,54016,-1.556748390197754,152681,-.3275613784790039,7046,-.6669778823852539,1143392,-.2875165939331055,192932,.1093931198120117,10291,2340075,.1833095550537109,1384489,-.1337900161743164,220768,-1.972480773925781,3557771,.1288814544677734,8818,-.8333826065063477,155848,-.4482421875,72723,-.0507116317749023,51326,1240545,.0759477615356445,335407,-.3270025253295898,561205,-.1084842681884766,1334,2998278,-.0445852279663086,1701396,.1822261810302734,1058298,42894,100645,75365,2869469,414575,.1377668380737305,75646,-.1890382766723633,46750,2877832,-.0377359390258789,389377,-.1504459381103516,217816,-.1839914321899414,67866,-.35272216796875,104102,-.1342401504516602,matched (3),-51726.895,.84045327,58350.773,94934.43
