period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1119c703,Y1144c251,growth1144c251,Y1480c792,growth1480c792,Y1493c484,growth1493c484,Y1660c616,growth1660c616,Y1727c152,growth1727c152,Y1754c218,Y1755c620,growth1755c620,Y1766c484,growth1766c484,Y1900c300,growth1900c300,Y1990c440,growth1990c440,Y2566c757,growth2566c757,Y25c246,growth25c246,Y2602c191,growth2602c191,Y2614c348,growth2614c348,Y2627c348,growth2627c348,Y2687c484,growth2687c484,Y2783c642,Y3034c124,growth3034c124,Y30c642,Y3417c616,growth3417c616,Y3511c703,growth3511c703,Y3520c376,Y3697c300,growth3697c300,Y3737c428,growth3737c428,Y3754c826,growth3754c826,Y3842c616,growth3842c616,Y392c348,growth392c348,Y3968c191,growth3968c191,Y400c348,growth400c348,Y4186c616,growth4186c616,Y4250c792,growth4250c792,Y4269c818,Y4293c705,growth4293c705,Y4354c428,growth4354c428,Y4384c246,growth4384c246,Y4415c642,Y4426c703,growth4426c703,Y4492c344,Y4679c246,growth4679c246,Y4826c124,growth4826c124,Y4981c484,growth4981c484,Y550c616,growth550c616,Y614c807,growth614c807,Y640c348,growth640c348,Y655c620,growth655c620,Y658c608,Y681c208,growth681c208,Y684c752,growth684c752,Y941c616,growth941c616,_merge,x,r2,s,sf
201001,760421,600,3577,47927116,01,0,0,0,0,0,0,0,0,0,0,0,771,1197336,,22809,,1348090,,503710,,393782,,885284,1244827,,4606243,,1729286,,8393,,417178,,2351520,,70408,,89657,,998001,,173358,,103082,2555370,,3472929,561688,,798010,,2141000,59976,,22282,,15052394,,14148806,,35261,,87786,,552370,,236137,,419830,,1110023,585471,,245451,,440423,,5450575,97063,,3360357,856,,1073206,,19059,,319116,,50175,,122435,,640864,,1385277,908644,,416022,,142741,,matched (3),,.86724746,,
201002,760421,601,3577,22558668,02,1,0,0,0,0,0,0,0,0,0,0,411,898716,-.2868871688842773,18032,-.2350072860717773,1122924,-.1827526092529297,899839,.5802154541015625,162891,-.882716178894043,717347,1058086,-.1625347137451172,4043677,-.1302585601806641,2052426,.1713142395019531,33018,1.369654655456543,401857,-.0374164581298828,1747417,-.2969226837158203,102455,.3751163482666016,62866,-.3549861907958984,668752,-.4003410339355469,343906,.6850090026855469,131060,2930261,.1368942260742188,2873163,454319,-.2121467590332031,563711,-.3475790023803711,2393000,123501,.7223052978515625,25765,.145237922668457,12898736,-.1544075012207031,12479315,-.1255588531494141,25809,-.3120536804199219,139613,.4639720916748047,410844,-.2960042953491211,188446,-.2256011962890625,661987,.4553956985473633,154711,555002,-.0534458160400391,258449,.0516014099121094,687869,.4458627700805664,2432719,96652,-.0042428970336914,3415471,4119,1.571095943450928,1587210,.3913278579711914,24624,.2561817169189453,248712,-.2492589950561523,31395,-.4688682556152344,80149,-.4236927032470703,587884,-.0862874984741211,1002469,782742,-.1491498947143555,421914,.0140628814697266,89290,-.469141960144043,matched (3),-864465.44,.86724746,385674.91,522374.66
201003,760421,602,3577,52058316,03,0,1,0,0,0,0,0,0,0,0,0,1767,1330634,.3924436569213867,27614,.4261751174926758,1681617,.4038190841674805,823236,-.0889730453491211,404704,.9100751876831055,937309,1172881,.103001594543457,4909405,.1939983367919922,3145790,.4270420074462891,13907,-.8646602630615234,771729,.6525373458862305,2889814,.5030527114868164,102178,-.0027074813842773,87985,.3361616134643555,582022,-.1389055252075195,295353,-.1521968841552734,223715,4177059,.3545160293579102,3345151,711994,.4492692947387695,828034,.3845119476318359,2525000,180116,.3773517608642578,26128,.0139904022216797,14278352,.1016139984130859,16457648,.2767181396484375,38861,.4092674255371094,99192,-.3418169021606445,880814,.7626323699951172,568592,1.104351997375488,392239,-.5233745574951172,323192,840999,.415618896484375,389985,.4114093780517578,613923,-.1137294769287109,2718628,73699,-.2711277008056641,5465496,6579,.4682722091674805,2250732,.3492774963378906,56103,.8234672546386719,234622,-.0583200454711914,52083,.506190299987793,224196,1.028633117675781,744062,.2355947494506836,853647,1291569,.5008096694946289,748939,.5738563537597656,268332,1.100335121154785,matched (3),1136412.5,.86724746,368374.69,509735.28
201004,760421,603,3577,89700624,04,0,0,1,0,0,0,0,0,0,0,0,6141,957618,-.3289613723754883,30526,.1002559661865234,2070437,.2080039978027344,714161,-.1421346664428711,413607,.0217599868774414,1194702,1007275,-.1522140502929688,4210063,-.1536750793457031,1903424,-.502410888671875,26807,.6562709808349609,770094,-.0021209716796875,3750871,.2607965469360352,172889,.5259332656860352,125201,.3527536392211914,881087,.4146480560302734,399560,.3021926879882813,0,3667927,-.1299810409545898,0,550748,-.2567920684814453,1032621,.2208013534545898,1984000,245267,.308746337890625,27865,.0643634796142578,17748416,.2175521850585938,13717163,-.1821422576904297,18503,-.7420578002929688,105454,.06121826171875,797570,-.0992765426635742,180830,-1.14560604095459,305733,-.2491588592529297,464886,640408,-.2724847793579102,264450,-.3884553909301758,686541,.1117973327636719,0,95557,.2597332000732422,6750481,18436,1.030422210693359,1344668,-.5151081085205078,58267,.037846565246582,339121,.3683805465698242,21194,-.8991203308105469,107624,-.7338771820068359,671226,-.1030178070068359,1772752,898182,-.3632402420043945,762630,.0181150436401367,141505,-.6398897171020508,matched (3),532464.13,.86724746,319821.69,475831.97
201005,760421,604,3577,66554288,05,0,0,0,1,0,0,0,0,0,0,0,1218,2590077,.9949941635131836,12196,-.9174709320068359,1709487,-.1915664672851563,609529,-.158421516418457,459438,.1050872802734375,1495228,1406218,.3336544036865234,5377605,.2447662353515625,1793095,-.0597105026245117,24369,-.0953512191772461,664710,-.1471614837646484,5265528,.3391933441162109,87162,-.6848812103271484,98913,-.2356796264648438,765785,-.1402549743652344,127413,-1.142930030822754,138800,4666271,.2407341003417969,3336672,714809,.2607383728027344,741823,-.330744743347168,1483000,120037,-.7145471572875977,98359,1.261252403259277,14663102,-.1909618377685547,13517526,-.0146598815917969,12609,-.3835220336914063,151128,.3598518371582031,461322,-.5474729537963867,227251,.2284984588623047,380092,.2177009582519531,830913,740010,.1445579528808594,239776,-.0979471206665039,617617,-.1057977676391602,2919469,75504,-.2355365753173828,4775831,3378,-1.697021484375,1360327,.0115776062011719,41822,-.3316125869750977,193230,-.5624752044677734,48570,.8292875289916992,98524,-.088343620300293,614986,-.0875062942504883,1071807,1005282,.1126508712768555,490647,-.4410476684570313,99780,-.3493671417236328,matched (3),367018,.86724746,361946.75,505109.47
201006,760421,605,3577,8591364,06,0,0,0,0,1,0,0,0,0,0,0,793,825981,-1.142871856689453,14988,.2061424255371094,2606202,.4217004776000977,582804,-.0448360443115234,416943,-.0970544815063477,857697,763572,-.6106510162353516,4632896,-.1490612030029297,1778269,-.0083026885986328,24310,-.0024242401123047,631426,-.0513706207275391,4068590,-.2578849792480469,51301,-.5300579071044922,47949,-.7241029739379883,722734,-.0578603744506836,62884,-.706141471862793,86573,3634544,-.2498769760131836,2572939,506180,-.345123291015625,95740,-2.047473907470703,1071000,149427,.2190074920654297,38599,-.9353971481323242,15090087,.0287036895751953,12069514,-.1133060455322266,183,-4.232680320739746,124202,-.1962175369262695,742973,.4765634536743164,161732,-.3401145935058594,268229,-.34857177734375,228722,701124,-.0539789199829102,244735,.0204706192016602,510281,-.1909074783325195,4061217,148414,.6758193969726563,4705929,15625,1.531588554382324,2310996,.5299530029296875,49680,.1721792221069336,261366,.3020401000976563,38890,-.2222681045532227,73328,-.2953577041625977,508649,-.1898422241210938,1035997,1044293,.0380716323852539,464126,-.0555686950683594,150367,.4101114273071289,matched (3),333486.63,.86724746,290977.72,456944.38
201007,760421,606,3577,43619880,07,0,0,0,0,0,1,0,0,0,0,0,0,842147,.019383430480957,24861,.5060501098632813,1506148,-.5483379364013672,636393,.0879650115966797,432969,.0377168655395508,1236482,1230974,.4775533676147461,4915361,.0591831207275391,2395504,.2979526519775391,9701,-.9186592102050781,809808,.2488164901733398,4388174,.0756168365478516,47274,-.0817499160766602,99759,.7326192855834961,704679,-.0252981185913086,85030,.3017120361328125,69079,3537963,-.0269327163696289,5634215,711759,.3408470153808594,454981,1.558619499206543,2155000,216028,.3685998916625977,54974,.3536338806152344,17460376,.1458969116210938,14151039,.1591053009033203,12203,4.199951171875,124735,.0042819976806641,614695,-.1895341873168945,455735,1.035970687866211,352738,.2738838195800781,422229,787269,.1158857345581055,406507,.5074253082275391,722824,.3482046127319336,2986048,92923,-.4682340621948242,5102297,18260,.1558408737182617,2161417,-.0669145584106445,56697,.1321191787719727,14239771,3.997873306274414,129034,1.199337959289551,83403,.1287422180175781,762100,.4043197631835938,1422882,1089802,.0426559448242188,860101,.6168937683105469,141135,-.0633621215820313,matched (3),1801470,.86724746,285853.31,453698.41
201008,760421,607,3577,28429872,08,0,0,0,0,0,0,1,0,0,0,0,129,794035,-.0588274002075195,19846,-.2252979278564453,1858702,.210322380065918,682261,.0695962905883789,246332,-.5639858245849609,1194803,689148,-.5801048278808594,4833018,-.0168943405151367,1860616,-.252685546875,18721,.6574172973632813,470396,-.5432224273681641,3251319,-.2998523712158203,29983,-.4553298950195313,98072,-.0170555114746094,421265,-.5144805908203125,25387,-1.208766937255859,63422,3160035,-.1129674911499023,4889044,722454,.0149145126342773,559826,.2073698043823242,2061000,110008,-.6748542785644531,48607,-.1230926513671875,16092097,-.0816059112548828,11898900,-.1733417510986328,12323,.0097856521606445,123574,-.0093517303466797,632903,.0291910171508789,377798,-.1875514984130859,414128,.1604499816894531,365569,716489,-.0942068099975586,451684,.1053810119628906,652535,-.1023006439208984,2018268,59606,-.4440155029296875,6398199,10532,-.5502948760986328,1518340,-.3531455993652344,37639,-.4096803665161133,11609687,-.2041988372802734,17550,-1.995021820068359,120024,.3640069961547852,719088,-.0580940246582031,1939887,1198104,.0947446823120117,499627,-.5431880950927734,93869,-.4078168869018555,matched (3),813756.19,.86724746,253691.98,434154.06
201009,760421,608,3577,32109096,09,0,0,0,0,0,0,0,1,0,0,0,15043,1951843,.8994016647338867,33076,.5108051300048828,1974471,.0604228973388672,880518,.2550983428955078,543173,.7907476425170898,1030162,1300919,.6353702545166016,5197569,.0727195739746094,1643036,-.1243619918823242,18938,.0115242004394531,655447,.3317432403564453,3189186,-.0192956924438477,42304,.3442506790161133,103769,.0564661026000977,780294,.6164083480834961,18499,-.3165206909179688,121610,3915623,.214390754699707,4088512,874589,.1911001205444336,285810,-.6722984313964844,2336000,168931,.4289369583129883,52790,.0825538635253906,19506198,.1924037933349609,14326278,.1856498718261719,14270,.1466922760009766,147867,.179473876953125,1045002,.5014572143554688,577950,.4251270294189453,915125,.7928857803344727,362824,859183,.1816186904907227,502673,.1069574356079102,665774,.020085334777832,3235863,73077,.2037582397460938,5352139,11241,.0651493072509766,1533780,.0101175308227539,57572,.4249954223632813,254667,-3.819639205932617,35067,.6922063827514648,103512,-.1480045318603516,992187,.3219280242919922,1012361,1628237,.3067569732666016,609867,.1993789672851563,71788,-.2681827545166016,matched (3),374300.09,.86724746,267620.97,442437.72
201010,760421,609,3577,3789502,10,0,0,0,0,0,0,0,0,1,0,0,1265,1179577,-.5036182403564453,19670,-.5197124481201172,1571526,-.2282533645629883,826760,-.0629959106445313,321158,-.5254945755004883,979739,1136067,-.1354990005493164,4529955,-.1374788284301758,1696977,.0323028564453125,13568,-.3334560394287109,548504,-.1781234741210938,3056979,-.0423383712768555,102528,.8852548599243164,114581,.0991144180297852,954057,.2010526657104492,126422,1.921909332275391,76906,3392802,-.1433181762695313,4098434,1224506,.3365392684936523,903833,1.151317596435547,2229000,159607,-.0567760467529297,34299,-.4312057495117188,18218884,-.0682735443115234,16262311,.1267547607421875,29184,.7154607772827148,329149,.800196647644043,1246088,.175990104675293,525640,-.0948705673217773,647247,-.3463325500488281,488053,1073722,.2229042053222656,334764,-.4065141677856445,638970,-.0410928726196289,2514746,245074,1.21004581451416,5555903,6935,-.4829864501953125,1338256,-.1363677978515625,45411,-.2372817993164063,2396593,2.241847038269043,34893,-.004974365234375,164818,.4651546478271484,497824,-.6896648406982422,2277471,1771103,.0841045379638672,565399,-.075709342956543,170891,.8673086166381836,matched (3),-326065.03,.86724746,346701.25,494299.41
201011,760421,610,3577,661412,11,0,0,0,0,0,0,0,0,0,1,0,10609,844393,-.3342924118041992,9904,-.6861562728881836,1475231,-.0632333755493164,740708,-.1099081039428711,197571,-.485835075378418,774698,1120018,-.0142278671264648,4439877,-.020085334777832,1155886,-.3839817047119141,9549,-.3512783050537109,417996,-.2717227935791016,3046842,-.003321647644043,80271,-.2447280883789063,144728,.2335739135742188,764738,-.2211894989013672,66053,-.6491680145263672,45275,3072314,-.0992250442504883,2714677,797479,-.428837776184082,319276,-1.040589332580566,3001000,32086,-1.604294776916504,31083,-.098454475402832,15515350,-.1606292724609375,14497597,-.1148662567138672,22392,-.2649164199829102,205186,-.4725933074951172,1110693,-.1150245666503906,325338,-.4797515869140625,490997,-.2762899398803711,250410,818612,-.2712764739990234,287288,-.1529407501220703,650758,.018280029296875,3503418,188816,-.2607870101928711,5363744,6499,-.0649328231811523,2504188,.6265964508056641,31941,-.3518638610839844,281619,-2.14124870300293,7786,-1.499958992004395,106471,-.4369688034057617,429414,-.1478252410888672,1477622,1198800,-.3902807235717773,404338,-.3352804183959961,127511,-.2928237915039063,matched (3),132408.45,.86724746,285273.06,453333.06
201012,760421,611,3577,2050641,12,0,0,0,0,0,0,0,0,0,0,1,30019,1181840,.3362092971801758,17288,.5570735931396484,1985878,.2972469329833984,657581,-.1190385818481445,489452,.9071884155273438,1255481,1194327,.0642385482788086,6748651,.4187164306640625,980284,-.1647796630859375,15016,.4526805877685547,352693,-.1698732376098633,4018847,.2768898010253906,136005,.5272836685180664,102932,-.3407878875732422,833070,.0855836868286133,60223,-.0924034118652344,61347,3194783,.039088249206543,5783953,959571,.1850309371948242,412576,.2563648223876953,2856000,253372,2.066438674926758,45250,.3755416870117188,16377047,.0540504455566406,10227153,-.34893798828125,2776,-2.087693214416504,218726,.0639028549194336,1691347,.4205408096313477,269763,-.187321662902832,646853,.2756805419921875,361829,837802,.0231723785400391,398907,.3282432556152344,659392,.0131807327270508,3242683,227054,.1844148635864258,6421678,9306,.3590106964111328,2611760,.0420598983764648,40745,.2434425354003906,1160558,1.416101455688477,122164,2.753037452697754,106819,.0032625198364258,548277,.244359016418457,1774445,1040653,-.1414728164672852,717527,.5735597610473633,182944,.3609781265258789,matched (3),467606.53,.86724746,280189.09,450151.16
201101,760421,612,3577,627941,01,0,0,0,0,0,0,0,0,0,0,0,2164,1073302,-.0963325500488281,2091,-2.112370014190674,1005185,-.6808891296386719,564772,-.1521453857421875,439796,-.1069755554199219,577325,767688,-.4419546127319336,5294910,-.2425966262817383,2255970,.8334922790527344,11982,-.2257108688354492,317350,-.1055927276611328,2050212,-.6730518341064453,50802,-.9847555160522461,92598,-.1058006286621094,490846,-.528986930847168,47112,-.2455263137817383,118255,2653772,-.1855373382568359,1904396,1218769,.239109992980957,662562,.47369384765625,2562000,135537,-.6256132125854492,117136,.9511327743530273,15526513,-.0533313751220703,13784406,.298492431640625,10635,1.3431396484375,114585,-.6465024948120117,1520341,-.1065902709960938,208791,-.2562093734741211,333178,-.6634416580200195,467452,716213,-.156804084777832,375528,-.0603952407836914,460706,-.3585586547851563,3097654,85210,-.9800691604614258,4338604,34749,1.31749153137207,1815834,-.3634796142578125,14472,-1.035117149353027,299751,-1.353704452514648,31250,-1.363345146179199,105557,-.0118846893310547,369635,-.3942642211914063,1421191,914398,-.129338264465332,528896,-.3050193786621094,128870,-.3503761291503906,matched (3),62559.695,.86724746,266162.22,441556.88
201102,760421,613,3577,948409,02,1,0,0,0,0,0,0,0,0,0,0,4559,1760612,.4949216842651367,10982,1.658615589141846,1438881,.3586940765380859,839690,.3966102600097656,552726,.2285518646240234,1031556,806779,.0496664047241211,9061622,.5373010635375977,2389012,.0573005676269531,24785,.7268333435058594,767599,.8832616806030273,3343746,.4891481399536133,89113,.5619688034057617,111635,.1869668960571289,1037529,.7484664916992188,259528,1.70633602142334,123503,3282352,.2125787734985352,1659530,1264342,.0367107391357422,660830,-.0026178359985352,3660000,51197,-.9735641479492188,51638,-.8190774917602539,19108986,.2076091766357422,16865804,.2017498016357422,11206,.0522985458374023,149271,.2644462585449219,2508195,.5006284713745117,340652,.489527702331543,785886,.8581342697143555,224738,831042,.1487026214599609,362400,-.0355844497680664,419243,-.0943088531494141,4320894,85484,.0032110214233398,3855628,8913,-1.360639572143555,2313673,.2422914505004883,60541,1.43110466003418,610504,.7113332748413086,186200,1.784802436828613,99256,-.0615482330322266,390764,.0555877685546875,3189871,990303,.0797452926635742,589241,.1080436706542969,259723,.7008113861083984,matched (3),380217.41,.86724746,419033.16,547465.94
201103,760421,614,3577,848571,03,0,1,0,0,0,0,0,0,0,0,0,686,1322975,-.2857789993286133,29091,.9741706848144531,1381533,-.0406723022460938,762315,-.0966730117797852,388032,-.3537750244140625,1967399,1189606,.3883275985717773,11075007,.2006435394287109,1973089,-.1912803649902344,31734,.2471494674682617,1100348,.3601140975952148,1952455,-.5380039215087891,91003,.0209875106811523,102123,-.0890560150146484,750360,-.3240442276000977,247474,-.0475587844848633,130833,4086287,.2190761566162109,2287948,1163990,-.082697868347168,681303,.0305109024047852,4034000,50718,-.0094003677368164,42827,-.1870899200439453,17320332,-.0982780456542969,15720186,-.070343017578125,11395,.0167255401611328,188468,.2331647872924805,3212239,.2474050521850586,325584,-.0452413558959961,673328,-.1545791625976563,344218,1127149,.3047657012939453,376212,.0374040603637695,605359,.36737060546875,3312021,60042,-.3532848358154297,6314869,8833,-.0090160369873047,3026714,.268641471862793,80399,.2836809158325195,17445832,3.352571487426758,26631,-1.944746017456055,197750,.689300537109375,575461,.3870677947998047,2012787,1179570,.1748943328857422,761238,.2561111450195313,212190,-.2021331787109375,matched (3),-673849.69,.86724746,457363.66,577331.5
201104,760421,615,3577,642755,04,0,0,1,0,0,0,0,0,0,0,0,0,1494574,.1219587326049805,20008,-.3742961883544922,1852906,.2935619354248047,757298,-.0066032409667969,325788,-.1748409271240234,1119833,1268100,.0638971328735352,8867537,-.2222938537597656,1271055,-.4397525787353516,22740,-.3332633972167969,671953,-.4931926727294922,3038915,.442413330078125,119816,.2750644683837891,174185,.5339393615722656,767780,.0229501724243164,35335,-1.946431159973145,127427,3670474,-.1073160171508789,2930569,796931,-.3788414001464844,599011,-.128727912902832,2045000,49319,-.0279712677001953,23620,-.5950746536254883,16197230,-.0670394897460938,14237895,-.0990371704101563,4867,-.8506965637207031,151139,-.220728874206543,3071929,-.0446624755859375,328097,.0076885223388672,598934,-.1170806884765625,87042,1033205,-.0870256423950195,388920,.0332212448120117,359230,-.5218582153320313,2630572,54605,-.0949192047119141,5033556,4982,-.5726633071899414,1849498,-.4925632476806641,63619,-.2340898513793945,231141,-4.32382869720459,46145,.549713134765625,191718,-.0309772491455078,574633,-.0014400482177734,840707,884572,-.2878007888793945,725089,-.0486516952514648,209389,-.0132884979248047,matched (3),-1450994.1,.86724746,353602.47,499164.16
201105,760421,616,3577,1084290,05,0,0,0,1,0,0,0,0,0,0,0,33889,1544458,.032832145690918,15322,-.2668428421020508,1877538,.0132055282592773,748806,-.0112762451171875,540266,.5058145523071289,1484014,1129286,-.1159334182739258,9248157,.0420265197753906,2021247,.4638671875,50077,.7894363403320313,1004632,.4021883010864258,4587663,.411870002746582,61566,-.6658468246459961,175731,.0088367462158203,778018,.0132465362548828,92382,.9610576629638672,162036,3386437,-.0805425643920898,3463677,1553278,.6673555374145508,73532,-2.097558975219727,3822000,42541,-.1478414535522461,58714,.9105844497680664,19076720,.1636276245117188,16681120,.1583690643310547,16772,1.23723316192627,142621,-.058009147644043,2526974,-.1952838897705078,279437,-.1605319976806641,600271,.0022296905517578,632710,1273543,.209136962890625,308257,-.2324399948120117,748548,.7341718673706055,3436384,250367,1.522802352905273,6732704,9383,.6330680847167969,2274114,.2066764831542969,54373,-.1570444107055664,613800,.9766407012939453,49299,.0661153793334961,158212,-.1920900344848633,586887,.0211009979248047,966575,1004239,.1268806457519531,748936,.0323591232299805,101304,-.7260684967041016,matched (3),803385.38,.86724746,286313.66,453988.59
201106,760421,617,3577,899743,06,0,0,0,0,1,0,0,0,0,0,0,2432,2181437,.3453102111816406,31228,.7120256423950195,2011855,.0690956115722656,861963,.1407318115234375,455960,-.1696567535400391,1423406,1096698,-.0292825698852539,9282181,.0036735534667969,2365646,.1573362350463867,21456,-.8475570678710938,713425,-.3422994613647461,6751209,.3863506317138672,58853,-.0450677871704102,97623,-.5878410339355469,530845,-.3822793960571289,64983,-.351806640625,149064,3578587,.0551900863647461,2870731,1303164,-.175572395324707,540126,1.994081497192383,2100000,152901,1.279322624206543,56987,-.0298547744750977,17309956,-.0971870422363281,15139514,-.0969696044921875,27855,.5073013305664063,144989,.0164670944213867,2341302,-.0763149261474609,603599,.7701330184936523,731393,.1975698471069336,228233,878053,-.3718509674072266,261801,-.1633491516113281,354851,-.7464370727539063,3033534,189317,-.2795047760009766,6471177,7352,-.243927001953125,2241495,-.0144472122192383,57632,.0582103729248047,24553420,3.688937187194824,89350,.5946569442749023,199547,.2321138381958008,728296,.2158746719360352,1191215,1771882,.5678129196166992,693415,-.0770254135131836,77658,-.2658109664916992,matched (3),833496.31,.86724746,223239.89,417092.53
201107,760421,618,3577,604531,07,0,0,0,0,0,1,0,0,0,0,0,300,995556,-.7844371795654297,8639,-1.285028457641602,1827680,-.0960092544555664,842130,-.0232772827148438,410023,-.1061916351318359,859888,1098769,.001887321472168,7220330,-.2511968612670898,2056427,-.140080451965332,15531,-.3231658935546875,1028615,.3658914566040039,5858168,-.1418848037719727,54429,-.0781450271606445,163052,.5129556655883789,880560,.5060882568359375,31323,-.7297725677490234,154000,3249392,-.0965003967285156,2644227,1100285,-.1692266464233398,1640,-5.79710578918457,3369000,28685,-1.673416137695313,73078,.2487039566040039,14196369,-.1982955932617188,16596510,.0918846130371094,13465,-.7269191741943359,136923,-.0572385787963867,2505286,.0676956176757813,283836,-.7545127868652344,661802,-.0999851226806641,629906,1219139,.3281936645507813,488027,.6227865219116211,362020,.0200014114379883,2416162,91846,-.7233095169067383,5358104,5335,-.320683479309082,1998328,-.114832878112793,35521,-.4839534759521484,17491852,-.3391151428222656,39421,-.8182621002197266,96068,-.7309932708740234,658889,-.1001520156860352,479343,1150406,-.4319276809692383,697025,.005192756652832,113085,.3758249282836914,matched (3),340648.09,.86724746,290258.03,456486.44
201108,760421,619,3577,819624,08,0,0,0,0,0,0,1,0,0,0,0,42412,1319929,.2820310592651367,12361,.3582592010498047,2158492,.1663618087768555,1046408,.2171840667724609,411562,.0037469863891602,1811475,1226551,.1100149154663086,9661794,.2912797927856445,2208334,.0712680816650391,22652,.3774099349975586,549683,-.6266269683837891,5556048,-.0529499053955078,55076,.0118169784545898,43904,-1.312063217163086,307930,-1.050685882568359,41701,.2861719131469727,65288,4341444,.289738655090332,3496387,1230903,.1121788024902344,672873,6.016860008239746,3575000,55665,.6629772186279297,114774,.4514379501342773,16096956,.1256446838378906,14964104,-.1035385131835938,35442,.967803955078125,324712,.8635196685791016,2925513,.1550674438476563,538712,.6407842636108398,791683,.1791954040527344,407147,1077904,-.1231269836425781,416519,-.1584386825561523,762976,.7455272674560547,3826229,57716,-.4645795822143555,5478992,24469,1.523118019104004,1802962,-.102879524230957,84700,.8689908981323242,5897217,-1.087254524230957,46423,.1634960174560547,125587,.2679424285888672,771506,.1577892303466797,753146,1252933,.0853719711303711,856664,.2062244415283203,203050,.5853128433227539,matched (3),955954.13,.86724746,310076.59,469337.44
201109,760421,620,3577,752479,09,0,0,0,0,0,0,0,1,0,0,0,289,938646,-.3408946990966797,9295,-.285069465637207,2508595,.1503133773803711,936175,-.1113166809082031,472252,.1375522613525391,1473127,993862,-.210362434387207,9156963,-.0536651611328125,1815464,-.195897102355957,17636,-.2503061294555664,465363,-.1665239334106445,5067209,-.0920963287353516,42723,-.2539768218994141,124495,1.042259216308594,728777,.8614950180053711,10211,-1.407058715820313,54966,3189492,-.308344841003418,2351771,1266215,.0282840728759766,488698,-.3198118209838867,3067000,42384,-.2725811004638672,80764,-.3514337539672852,15045530,-.0675487518310547,16286658,.0846920013427734,1776,-2.993533611297607,150600,-.7683115005493164,2518836,-.1496734619140625,527979,-.0201244354248047,634691,-.2210235595703125,217157,1231312,.1330623626708984,331896,-.2271108627319336,523632,-.3764371871948242,5069080,64110,.1050662994384766,6972162,10438,-.851954460144043,2229979,.2125616073608398,82804,-.0226383209228516,14494041,.899256706237793,40725,-.1309528350830078,99516,-.2326803207397461,549399,-.3395195007324219,477667,1179827,-.0601186752319336,557221,-.4300832748413086,251653,.2145986557006836,matched (3),892489.13,.86724746,257400.73,436331.63
201110,760421,621,3577,347530,10,0,0,0,0,0,0,0,0,1,0,0,49972,1196095,.2423791885375977,13452,.3696508407592773,1785235,-.3401727676391602,698896,-.2923002243041992,1764379,1.318041801452637,1080062,727739,-.3116559982299805,5836192,-.4504365921020508,1187145,-.4247903823852539,22407,.2394313812255859,596160,.2476911544799805,4643552,-.087310791015625,114728,.9878263473510742,176684,.35009765625,371501,-.6738157272338867,46648,1.519164085388184,30009,3327649,.0424041748046875,2218256,1087975,-.1517133712768555,10937,-3.799592971801758,1564000,30441,-.3309803009033203,33811,-.8707456588745117,16123065,.0691699981689453,17072318,.0471134185791016,44545,3.2221360206604,129307,-.1524372100830078,2182187,-.1434688568115234,423792,-.2198143005371094,407041,-.4442243576049805,178577,1079154,-.1319026947021484,337433,.016545295715332,714220,.3104019165039063,5023429,98875,.4332561492919922,7630362,6154,-.528350830078125,1764514,-.2341175079345703,70689,-.1581869125366211,267730,-3.991514205932617,57744,.349177360534668,50890,-.6706523895263672,529152,-.0375490188598633,680795,1204374,.0205917358398438,592867,.0620079040527344,92739,-.9982614517211914,matched (3),455199.63,.86724746,187750.58,399224.78
