period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1090c124,growth1090c124,Y1233c792,growth1233c792,Y1273c688,growth1273c688,Y1344c348,growth1344c348,Y1500c68,growth1500c68,Y1507c484,growth1507c484,Y1606c826,growth1606c826,Y1615c152,growth1615c152,Y1714c152,growth1714c152,Y1765c484,growth1765c484,Y1827c152,growth1827c152,Y1973c124,growth1973c124,Y1990c826,growth1990c826,Y2120c372,growth2120c372,Y2142c124,growth2142c124,Y2218c752,growth2218c752,Y2295c484,growth2295c484,Y230c376,Y2695c484,growth2695c484,Y2773c251,growth2773c251,Y2845c372,growth2845c372,Y2892c826,growth2892c826,Y2899c208,growth2899c208,Y2932c498,Y3064c208,growth3064c208,Y3088c152,growth3088c152,Y3120c208,growth3120c208,Y3440c124,growth3440c124,Y3474c124,growth3474c124,Y3727c616,growth3727c616,Y3926c32,Y403c124,growth403c124,Y4138c344,Y4197c484,growth4197c484,Y4215c124,growth4215c124,Y4259c152,growth4259c152,Y4328c124,growth4328c124,Y4392c191,growth4392c191,Y4459c620,growth4459c620,Y4466c124,growth4466c124,Y4477c124,growth4477c124,Y4580c68,growth4580c68,Y4752c484,growth4752c484,Y4918c152,growth4918c152,Y4930c152,growth4930c152,Y4989c616,growth4989c616,Y592c344,Y712c233,Y717c246,growth717c246,Y841c152,growth841c152,_merge,x,r2,s,sf
201001,760429,600,3578,9888405,01,0,0,0,0,0,0,0,0,0,0,0,961810,,62091,,371469,,6207,,1441222,,2691136,,388508,,672534,,804759,,5924669,,29832964,,1129238,,742257,,5462478,,2684595,,57950,,4759214,,340000,385465,,446288,,71085,,2999824,,5725586,,101911,559490,,792427,,780786,,408960,,9993546,,183181,,450116,1150239,,3398462,156165200,,25289508,,3892316,,424183,,384981,,20253,,35857204,,8124561,,4892485,,52543,,46172,,2889290,,2218355,,5346461,482985,1379248,,423373504,,matched (3),,.87647891,,
201002,760429,601,3578,9491330,02,1,0,0,0,0,0,0,0,0,0,0,1003713,.0426445007324219,167624,.9931230545043945,236956,-.4495916366577148,4078,-.4200706481933594,1840726,.2446689605712891,3275646,.1965513229370117,525328,.3017082214355469,357880,-.630854606628418,542545,-.3942718505859375,6412977,.0791988372802734,29565184,-.0090160369873047,1114342,-.0132789611816406,444497,-.5127525329589844,5353724,-.0201101303100586,2541902,-.0546169281005859,19486,-1.089883804321289,3834112,-.2161445617675781,311000,264021,-.3784217834472656,224395,-.687556266784668,65312,-.0847005844116211,2655553,-.1219005584716797,4959765,-.1435861587524414,44120,454852,-.2070541381835938,791195,-.0015554428100586,394039,-.6838512420654297,466780,.1322412490844727,10702277,.0685157775878906,142358,-.2521295547485352,47458,1114352,-.0316972732543945,421365,159967984,.0240592956542969,22058584,-.136688232421875,2436336,-.4685087203979492,519838,.2033519744873047,276304,-.3316926956176758,64987,1.165884017944336,33002074,-.0829753875732422,7618226,-.0643482208251953,4442052,-.096583366394043,11013,-1.562556266784668,152174,1.192651748657227,2322778,-.2182464599609375,1713179,-.2584152221679688,2255009,499912,1205505,-.1346397399902344,474729664,.1144905090332031,matched (3),-1113795.5,.87647891,297468.25,434393.44
201003,760429,602,3578,10151180,03,0,1,0,0,0,0,0,0,0,0,0,1376456,.3158054351806641,317466,.6386470794677734,350442,.3913211822509766,4526,.1042318344116211,1200219,-.4276561737060547,4128003,.2312784194946289,602413,.1369209289550781,452721,.2350778579711914,812057,.4032993316650391,7100971,.1019086837768555,32954570,.1085319519042969,1500494,.2975301742553711,581453,.2685871124267578,5937181,.1034412384033203,2577040,.013728141784668,24711,.2375516891479492,4455164,.1501255035400391,376000,178921,-.3890838623046875,402028,.5831136703491211,262682,1.391768455505371,2936718,.1006393432617188,5636131,.1278390884399414,183428,560464,.2087936401367188,1148696,.372838020324707,551302,.3358335494995117,995891,.7577791213989258,12341836,.1425380706787109,377969,.9764671325683594,226567,1256358,.1199445724487305,892260,200604896,.2263641357421875,24170744,.0914421081542969,2616901,.0714950561523438,458820,-.1248588562011719,1995501,1.97714900970459,25443,-.9377470016479492,42008448,.2413005828857422,9199666,.1886234283447266,5651777,.2408533096313477,131392,2.479108810424805,263041,.5472850799560547,2343733,.0089807510375977,1796629,.0475616455078125,2337584,912874,699584,-.5441675186157227,117167080,-1.399145126342773,matched (3),-1752272.4,.87647891,717987.06,784675.56
201004,760429,603,3578,11316395,04,0,0,1,0,0,0,0,0,0,0,0,1063525,-.2579231262207031,163032,-.6664247512817383,426170,.195643424987793,8500,.6302270889282227,1309623,.0872354507446289,3176778,-.2619256973266602,295063,-.7137546539306641,562804,.2176551818847656,481132,-.5234289169311523,7810160,.0951938629150391,36466000,.1012496948242188,1661529,.1019439697265625,638904,.0942239761352539,6101457,.0272932052612305,2673280,.0366649627685547,32970,.2883501052856445,3626317,-.205845832824707,443000,159216,-.1166830062866211,447509,.1071748733520508,96602,-1.000345230102539,2184463,-.2959222793579102,4336721,-.2620792388916016,88104,447308,-.2255182266235352,1476795,.2512474060058594,386128,-.356114387512207,1005752,.0098533630371094,12501731,.0128726959228516,176499,-.7614965438842773,66705,1141747,-.0956573486328125,1281793,159832208,-.2272129058837891,28798100,.1751651763916016,2875818,.0943470001220703,416030,-.097900390625,257533,-2.047502517700195,99150,1.360193252563477,42700316,.0163364410400391,8368421,-.0947017669677734,5860360,.0362405776977539,264547,.699833869934082,252082,-.0425558090209961,2793649,.1756038665771484,1831867,.0194234848022461,2927575,819170,2016706,1.058734893798828,117723856,.0047416687011719,matched (3),-526291.69,.87647891,350250.84,472108
201005,760429,604,3578,14799781,05,0,0,0,1,0,0,0,0,0,0,0,992644,-.0689716339111328,267357,.4946384429931641,233572,-.6013479232788086,21953,.9488382339477539,1781488,.3077096939086914,3233575,.0177202224731445,807016,1.006155014038086,580629,.0311813354492188,793311,.5000743865966797,7250379,-.0743722915649414,39990396,.0922603607177734,1788300,.0735273361206055,671745,.0501241683959961,6248119,.0237531661987305,2601451,-.0272369384765625,35529,.0747509002685547,5211122,.3625774383544922,525000,85720,-.6191749572753906,778219,.5533113479614258,108797,.1188850402832031,2478768,.1263914108276367,4426701,.0205364227294922,43849,349449,-.2468900680541992,1793948,.1945438385009766,521504,.3005485534667969,1166455,.1482334136962891,13836343,.1014328002929688,208275,.1655435562133789,203407,1211356,.0591802597045898,962071,162490656,.0164966583251953,31377660,.0857868194580078,2627074,-.0904664993286133,490396,.1644554138183594,1594959,1.823454856872559,105685,.0638294219970703,39342152,-.0819110870361328,8108978,-.0314931869506836,5532027,-.0576562881469727,35838,-1.99901008605957,119662,-.7450828552246094,3704423,.2821788787841797,1415038,-.2581787109375,2873604,1160697,1912429,-.0530920028686523,371149728,1.148263931274414,matched (3),-1371044.9,.87647891,528376.69,615948.25
201006,760429,605,3578,16618659,06,0,0,0,0,1,0,0,0,0,0,0,810129,-.2031784057617188,322957,.188934326171875,304790,.2661323547363281,10400,-.7470979690551758,1685822,-.0551958084106445,4366444,.3003606796264648,446206,-.5925626754760742,563149,-.0305681228637695,970270,.2013587951660156,8656662,.1772756576538086,43192624,.0770301818847656,1750259,-.0215015411376953,637443,-.0524139404296875,6595151,.0540542602539063,2990118,.1392440795898438,35816,.0080451965332031,5967793,.1355819702148438,732000,104601,.199066162109375,2168958,1.024993896484375,154474,.3505411148071289,2500515,.0087347030639648,5754757,.2623720169067383,117452,258559,-.3012332916259766,1606928,-.1100940704345703,446182,-.1559906005859375,1233742,.0560827255249023,15381095,.1058387756347656,333022,.4693489074707031,231576,1134281,-.0657415390014648,1688194,215060640,.2802982330322266,30549962,-.0267314910888672,3012749,.1369819641113281,561978,.1362495422363281,972823,-.4944009780883789,40900,-.9493331909179688,46546052,.1681461334228516,8094232,-.0018205642700195,6364711,.1402149200439453,1200,-3.396687030792236,281810,.8565616607666016,4605817,.2177925109863281,1617783,.1338996887207031,3317969,1710398,2032580,.0609321594238281,331456704,-.1131095886230469,matched (3),-875860.25,.87647891,444830.66,545971.25
201007,760429,606,3578,14441560,07,0,0,0,0,0,1,0,0,0,0,0,696483,-.1511507034301758,135947,-.8652534484863281,187422,-.4862604141235352,4140,-.9211101531982422,1284915,-.2715606689453125,3819027,-.1339530944824219,427341,-.0431985855102539,382564,-.3866481781005859,885987,-.0908718109130859,7591624,-.1312837600708008,62283096,.3660202026367188,1416359,-.211674690246582,691684,.0816640853881836,5899639,-.1114435195922852,2529706,-.167210578918457,69296,.6599922180175781,5049177,-.1671514511108398,653000,75256,-.3292570114135742,1377643,-.4538726806640625,106003,-.3765583038330078,2866304,.1365270614624023,4961762,-.1482658386230469,56971,86202,-1.098430633544922,1218379,-.2768030166625977,514003,.1415023803710938,1134196,-.0841274261474609,12488402,-.2083377838134766,175036,-.6432161331176758,274433,830452,-.3117837905883789,2053609,157840320,-.3093357086181641,21649896,-.3443641662597656,3833624,.2409572601318359,464358,-.1908063888549805,314356,-1.12967586517334,35222,-.1494588851928711,41499256,-.1147670745849609,8103699,.0011692047119141,9159885,.3640642166137695,15589,2.564243793487549,308162,.0893926620483398,4275485,-.0744228363037109,2015557,.2198390960693359,3426642,1633655,2092762,.0291786193847656,271719808,-.1987247467041016,matched (3),3449.4827,.87647891,295421.66,432994.53
201008,760429,607,3578,17441008,08,0,0,0,0,0,0,1,0,0,0,0,869345,.2216968536376953,147681,.082789421081543,405863,.7726526260375977,8611,.7323446273803711,1961875,.4232082366943359,4589031,.1836729049682617,364688,-.1585407257080078,418526,.0898427963256836,1239617,.3358554840087891,8569279,.1211385726928711,66067248,.0589828491210938,1571408,.1038827896118164,702821,.0159730911254883,6928749,.1607885360717773,3053962,.1883373260498047,88932,.2494850158691406,6104944,.1898736953735352,829000,180179,.8730554580688477,1503972,.0877361297607422,215927,.7114734649658203,2734083,-.0472278594970703,5638477,.1278533935546875,74407,175931,.7133989334106445,1345998,.099614143371582,438719,-.1583700180053711,1551963,.3135967254638672,14720913,.1644687652587891,195486,.1104965209960938,335914,1105692,.2862567901611328,2207963,182303536,.1440887451171875,36384528,.5191440582275391,2481874,-.4347963333129883,540940,.1526527404785156,530335,.5229825973510742,163375,1.534377098083496,45474468,.0914764404296875,7362913,-.0958652496337891,8083642,-.1249904632568359,99244,1.851016044616699,321363,.0419454574584961,6198631,.3714313507080078,1893436,-.0625019073486328,3224229,2157448,2959811,.3466405868530273,414425120,.4221210479736328,matched (3),-475836.41,.87647891,319747.97,449943.41
201009,760429,608,3578,4231002,09,0,0,0,0,0,0,0,1,0,0,0,661258,-.2735958099365234,325907,.7915573120117188,229892,-.5684061050415039,7348,-.1586122512817383,1567979,-.2241134643554688,5459007,.1735982894897461,292243,-.2214565277099609,405002,-.0328474044799805,1130398,-.0922327041625977,8315948,-.0300092697143555,63101180,-.0459327697753906,1376075,-.1327371597290039,701958,-.0012283325195313,7879504,.1285848617553711,2788912,-.0907888412475586,84704,-.0487089157104492,6061196,-.0071926116943359,477000,68151,-.9722251892089844,1215867,-.2126522064208984,223686,.0353031158447266,2750326,.0059242248535156,5578149,-.0107574462890625,93383,406247,.8368692398071289,1228021,-.0917320251464844,669589,.4228048324584961,1349919,-.1394767761230469,14826308,.0071334838867188,187017,-.0442886352539063,316385,1062354,-.0399847030639648,1571636,216583424,.1723041534423828,52777232,.3719348907470703,3537780,.3544855117797852,356955,-.4156990051269531,182511,-1.06669807434082,67979,-.8768491744995117,44955872,-.0114707946777344,8197545,.1073789596557617,9865580,.1992092132568359,122554,.2109699249267578,300004,-.0687751770019531,7790271,.2285470962524414,1753521,-.0767679214477539,2781977,1921937,3275295,.101283073425293,364482144,-.1284160614013672,matched (3),-781299.13,.87647891,286094.88,426685.59
201010,760429,609,3578,2953681,10,0,0,0,0,0,0,0,0,1,0,0,913484,.3231220245361328,96962,-1.212292671203613,524371,.824589729309082,6879,-.0659551620483398,1518836,-.0318431854248047,3927160,-.329350471496582,274327,-.0632648468017578,437766,.0777931213378906,816687,-.3250694274902344,7861082,-.0562505722045898,60610944,-.0402641296386719,1190068,-.1452245712280273,892368,.2400045394897461,7591539,-.0372304916381836,3128596,.1149330139160156,56144,-.4112434387207031,4473441,-.3037490844726563,654000,130095,.6465387344360352,1316491,.0795125961303711,187479,-.1765766143798828,2911936,.057098388671875,5910769,.0579185485839844,220013,267559,-.4176216125488281,1425913,.1494083404541016,640165,-.0449380874633789,1090055,-.2138156890869141,14287310,-.0370311737060547,190653,.0192556381225586,366095,1085641,.0216836929321289,1660134,203127216,-.0641441345214844,33991144,-.4399795532226563,3273178,-.0777378082275391,429508,.1850309371948242,477923,.9626388549804688,97654,.3622322082519531,42454668,-.0572433471679688,8953126,.0881681442260742,10388514,.0516490936279297,144917,.1676101684570313,277338,-.0785589218139648,5043620,-.4347515106201172,2141889,.2000627517700195,3503468,2494928,2319993,-.344843864440918,607299264,.5105457305908203,matched (3),-76286.375,.87647891,198870.61,373844.66
