period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1025c203,Y1386c68,growth1386c68,Y1474c222,growth1474c222,Y1486c688,growth1486c688,Y1531c381,Y1571c348,growth1571c348,Y1718c705,growth1718c705,Y1760c818,Y1798c826,growth1798c826,Y1810c300,growth1810c300,Y1820c807,growth1820c807,Y1823c233,Y2012c251,growth2012c251,Y2128c757,growth2128c757,Y2677c620,growth2677c620,Y2807c440,growth2807c440,Y2876c68,Y2900c352,growth2900c352,Y2946c807,growth2946c807,Y2963c233,Y3106c251,growth3106c251,Y3108c300,growth3108c300,Y3225c484,growth3225c484,Y323c352,growth323c352,Y3417c352,growth3417c352,Y3457c300,growth3457c300,Y3528c208,growth3528c208,Y3690c757,growth3690c757,Y3709c705,growth3709c705,Y3738c348,growth3738c348,Y3761c300,growth3761c300,Y3787c222,growth3787c222,Y4066c440,growth4066c440,Y4160c703,Y4175c705,growth4175c705,Y4181c428,growth4181c428,Y4319c300,growth4319c300,Y4325c222,growth4325c222,Y4396c703,growth4396c703,Y4613c688,Y4614c792,growth4614c792,Y4800c300,growth4800c300,Y4846c620,growth4846c620,Y4887c191,growth4887c191,Y5015c381,Y5019c352,growth5019c352,Y5031c203,Y619c222,growth619c222,Y625c300,growth625c300,Y744c484,growth744c484,_merge,x,r2,s,sf
201001,760611,600,3583,250818,01,0,0,0,0,0,0,0,0,0,0,0,23231,5705,,176312,,201439,,387653,42424,,151700,,741156,82682,,225962,,2061,,48305,586945,,871141,,261554,,2482,,2213,2065,,7259,,708979,259025,,617825,,132645,,30920,,2816,,249750,,40055,,1112017,,27037,,27213,,90085,,9998,,729,,31436,708373,,9296,,98205,,9310,,966879,,38286,31760396,,1750434,,13539,,22392,,57236,3932,,262607,17260,,230828,,4522,,matched (3),,.78285015,,
201002,760611,601,3583,745785,02,1,0,0,0,0,0,0,0,0,0,0,51713,72577,2.543305397033691,198464,.1183528900146484,304027,.4116306304931641,585784,87005,.7182512283325195,156311,.0299434661865234,932771,173111,.7389316558837891,238326,.0532722473144531,10767,1.653294086456299,31114,581104,-.0100011825561523,1068268,.2039899826049805,413986,.4591913223266602,5165,.7328405380249023,3186,1071,-.6565375328063965,4491,-.4801664352416992,767863,66424,-1.360865592956543,663935,.0719785690307617,513804,1.354165077209473,59468,.6540355682373047,27408,2.275516986846924,150993,-.5032272338867188,41532,.0362100601196289,1115280,.0029296875,25431,-.0612373352050781,59198,.7771930694580078,98363,.0879106521606445,24278,.8871860504150391,842,.144106388092041,118971,859042,.1928472518920898,12947,.3312797546386719,52602,-.624302864074707,22457,.8805131912231445,746903,-.2581386566162109,101274,42542544,.2922840118408203,2049580,.1577720642089844,47519,1.255555152893066,87634,1.36446475982666,104165,9319,.8629074096679688,537820,14742,-.1576919555664063,398336,.5456228256225586,23795,1.660520553588867,matched (3),22641592,.78285015,4722944,7109921
201003,760611,602,3583,498027,03,0,1,0,0,0,0,0,0,0,0,0,24331,46462,-.4460134506225586,197888,-.0029067993164063,270887,-.1154155731201172,434555,247005,1.043442726135254,355947,.8229341506958008,702886,165302,-.0461587905883789,175331,-.3069639205932617,25243,.8520631790161133,59239,348378,-.5116415023803711,1151272,.0748291015625,236943,-.5580120086669922,4665,-.1018171310424805,4170,2915,1.001276969909668,3076,-.3784456253051758,983401,339883,1.632542610168457,1076344,.4831418991088867,572822,.1087331771850586,52664,-.1215066909790039,14905,-.6091375350952148,522799,1.241963386535645,69322,.512298583984375,1068615,-.0427417755126953,32169,.2350339889526367,45318,-.2671833038330078,127186,.2569856643676758,739,-3.49202823638916,2303,1.006187438964844,21558,1274987,.3948736190795898,7621,-.5299568176269531,200654,1.338828086853027,21230,-.0561866760253906,853439,.1333389282226563,86734,52535920,.2109928131103516,2319822,.1238546371459961,17677,-.9888648986816406,97574,.1074419021606445,59305,10520,.1212224960327148,333127,24133,.4928798675537109,327636,-.1953926086425781,8606,-1.01701545715332,matched (3),3487436.8,.78285015,3594554.8,6416042.5
201004,760611,603,3583,287317,04,0,0,1,0,0,0,0,0,0,0,0,13984,36147,-.2510414123535156,182341,-.081822395324707,249919,-.0805644989013672,427156,101563,-.8887290954589844,263017,-.3025636672973633,1016059,170801,.0327243804931641,162461,-.076237678527832,13454,-.6292724609375,121943,319747,-.0857582092285156,950209,-.1919403076171875,504902,.7565441131591797,7420,.4640903472900391,7425,1723,-.5258026123046875,3250,.0550251007080078,880175,124611,-1.00340461730957,536134,-.6969413757324219,136285,-1.435827255249023,49469,-.0625858306884766,9948,-.4043254852294922,266840,-.6725473403930664,51968,-.2881345748901367,1049366,-.0181770324707031,28662,-.1154308319091797,60630,.2910852432250977,29457,-1.462718963623047,18269,3.207662582397461,1678,-.3166098594665527,9587,988779,-.2542209625244141,5026,-.4162826538085938,116567,-.5431156158447266,12351,-.5416784286499023,719189,-.1711492538452148,52964,49685144,-.0557918548583984,1965019,-.1659879684448242,17394,-.016139030456543,39280,-.9098949432373047,51365,1482,-1.959885120391846,273262,16128,-.4030227661132813,280167,-.1565170288085938,4548,-.6377725601196289,matched (3),-16121981,.78285015,3818591.8,6544189.5
201005,760611,604,3583,885453,05,0,0,0,1,0,0,0,0,0,0,0,158655,42249,.1559867858886719,241235,.2798929214477539,270642,.0796604156494141,844755,271396,.9828996658325195,343030,.265599250793457,6370311,82022,-.7335109710693359,163704,.0076227188110352,20716,.4316301345825195,108671,591293,.614781379699707,871451,-.0865230560302734,431416,-.1572914123535156,2733,-.9987788200378418,9153,2892,.5178813934326172,3561,.0913858413696289,1293104,295885,.8647737503051758,716718,.2902984619140625,591958,1.468688011169434,59147,.178680419921875,21222,.7576665878295898,469385,.5647735595703125,87447,.5204048156738281,1122087,.0670042037963867,10772,-.9786224365234375,32691,-.6176891326904297,168966,1.746766090393066,4070,-1.501562118530273,7430,1.487923622131348,17206,1081628,.089752197265625,10307,.7181987762451172,133914,.1387310028076172,18506,.40435791015625,681905,-.0532341003417969,55124,51947360,.044525146484375,2077728,.0557727813720703,9400,-.6154155731201172,45906,.1558799743652344,63422,5079,1.2317214012146,330912,27689,.5404777526855469,317386,.1247329711914063,43852,2.266133308410645,matched (3),7042911.5,.78285015,3797800.8,6532079.5
201006,760611,605,3583,881585,06,0,0,0,0,1,0,0,0,0,0,0,104847,5564,-2.027262687683106,159290,-.4150457382202148,179944,-.4081516265869141,583133,113282,-.8736991882324219,310217,-.1005458831787109,749338,88147,.0720176696777344,155665,-.05035400390625,11434,-.5943145751953125,85657,496719,-.1742868423461914,867279,-.0047988891601563,257490,-.5160913467407227,6104,.8035445213317871,2049,320,-2.201382637023926,2625,-.3049602508544922,1030670,118616,-.9140796661376953,345620,-.7293424606323242,560127,-.055272102355957,78960,.288914680480957,48086,.8179531097412109,239857,-.6713800430297852,98914,.1232185363769531,927743,-.1901912689208984,36921,1.231830596923828,14697,-.7994565963745117,29102,-1.758890151977539,261027,4.160980224609375,1829,-1.401756763458252,27527,820000,-.2769184112548828,13314,.2559928894042969,59021,-.8193044662475586,14452,-.2472620010375977,909649,.2881679534912109,90792,55877696,.0729351043701172,1598471,-.2622270584106445,8043,-.1559076309204102,27804,-.5014162063598633,74195,9332,.6083354949951172,229970,14029,-.6799087524414063,1724497,1.692571640014648,3049,-2.666007041931152,matched (3),29483192,.78285015,9482368,10870146
201007,760611,606,3583,920830,07,0,0,0,0,0,1,0,0,0,0,0,987959,74948,2.60047721862793,207703,.2653827667236328,260831,.3712272644042969,723272,122160,.0754518508911133,367049,.1682233810424805,1694264,133264,.4133262634277344,72964,-.7577400207519531,10134,-.1206960678100586,95210,396827,-.2245244979858398,1338090,.4336376190185547,564206,.7844381332397461,11356,.6208019256591797,4385,557,.5542440414428711,6367,.88604736328125,1087834,213306,.5868368148803711,458111,.2817707061767578,464284,-.1876668930053711,91332,.1455602645874023,7578,-1.847742080688477,357227,.3983287811279297,107835,.0863513946533203,1190378,.2492713928222656,30844,-.1798381805419922,71954,1.588383674621582,87863,1.104971885681152,748046,1.052841186523438,2747,.4067401885986328,106481,824766,.0057954788208008,7554,-.5667390823364258,70267,.1744098663330078,24795,.5398092269897461,855743,-.0610885620117188,46951,55566028,-.0055942535400391,1614257,.00982666015625,58315,1.981057167053223,34322,.210606575012207,73168,16594,.575592041015625,236333,31679,.8145275115966797,317398,-1.692534446716309,10033,1.191065788269043,matched (3),22566246,.78285015,3365084.3,6290355
201008,760611,607,3583,1284915,08,0,0,0,0,0,0,1,0,0,0,0,1492164,77326,.0312356948852539,206154,-.0074853897094727,364627,.3350019454956055,277612,172824,.3469419479370117,176594,-.7316417694091797,1238347,243645,.6033802032470703,232856,1.160453796386719,16826,.5070295333862305,40644,459189,.1459617614746094,732232,-.602900505065918,158150,-1.271875381469727,18862,.5074033737182617,5851,3572,1.858315467834473,760,-2.125565052032471,851914,226952,.0620107650756836,687946,.4065990447998047,369787,-.227569580078125,137216,.4070549011230469,10515,.3275537490844727,141397,-.9268007278442383,92696,-.1512775421142578,1402891,.1642646789550781,15208,-.7071208953857422,23912,-1.101646423339844,15791,-1.716339111328125,394811,-.6390571594238281,4074,.3941159248352051,6445,829937,.0062494277954102,7372,-.024388313293457,46097,-.4215545654296875,11882,-.7356176376342773,803716,-.0627241134643555,76884,46927240,-.1689739227294922,1260649,-.2472476959228516,23482,-.9096250534057617,53554,.4449043273925781,41443,1763,-2.242024898529053,354504,13441,-.8573436737060547,328736,.0350990295410156,16668,.5076112747192383,matched (3),-29240066,.78285015,5990617,8008262.5
201009,760611,608,3583,3762883,09,0,0,0,0,0,0,0,1,0,0,0,1142958,113004,.3793926239013672,277237,.2962493896484375,382999,.0491571426391602,520471,206881,.1798696517944336,339529,.6537055969238281,1833560,220313,-.1006622314453125,110369,-.7465906143188477,17280,.0266246795654297,45903,429038,-.0679159164428711,948555,.2588424682617188,330052,.7357063293457031,90024,1.562926292419434,7345,596,-1.790639877319336,19428,3.241152286529541,1326533,260661,.1384820938110352,797026,.1471767425537109,394110,.0637025833129883,33659,-1.405275344848633,3568,-1.08079719543457,205425,.3735103607177734,54321,-.5344142913818359,1477173,.0515947341918945,25378,.5120611190795898,28527,.1764698028564453,43725,1.01848030090332,418346,.0579013824462891,13348,1.186740875244141,13290,1020612,.2068080902099609,8768,.1734199523925781,77060,.5138359069824219,9440,-.2300691604614258,1364895,.5295867919921875,77707,61697568,.2736473083496094,1516244,.1846094131469727,4734,-1.60146427154541,98793,.6123361587524414,52426,14634,2.116330623626709,395277,20562,.4251346588134766,268679,-.2017383575439453,55563,1.20402717590332,matched (3),15518990,.78285015,6001345,8016290.5
201010,760611,609,3583,25986068,10,0,0,0,0,0,0,0,0,1,0,0,1470650,26743,-1.441150665283203,206782,-.293208122253418,227421,-.5212287902832031,511799,203549,-.0162363052368164,332263,-.021632194519043,1505914,143445,-.4290981292724609,103755,-.0617971420288086,25629,.3941745758056641,76281,429417,.0008821487426758,1328949,.3372039794921875,288903,-.1331596374511719,37973,-.8632001876831055,16396,12105,3.011133193969727,2689,-1.977546215057373,1464202,335863,.2534828186035156,1188207,.3993139266967773,678327,.542999267578125,58385,.5507783889770508,9827,1.013128280639648,312696,.4201498031616211,232886,1.455637931823731,1234882,-.1791543960571289,91609,1.283646583557129,46819,.4954385757446289,101615,.8432712554931641,545998,.2663068771362305,10504,-.2396106719970703,2613,1167858,.1347694396972656,27236,1.133430480957031,122808,.4660377502441406,20460,.7735157012939453,1363852,-.0007638931274414,63630,68994336,.1117801666259766,2661401,.5626163482666016,25370,1.678797721862793,112897,.1334495544433594,57964,6570,-.8008337020874023,663359,48333,.8546695709228516,301537,.1153755187988281,36462,-.4212474822998047,matched (3),-14898380,.78285015,4161796.5,6750209
