period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1270c616,growth1270c616,Y1344c586,growth1344c586,Y1485c752,growth1485c752,Y1576c792,growth1576c792,Y1656c600,growth1656c600,Y1757c484,growth1757c484,Y1860c208,growth1860c208,Y1916c372,growth1916c372,Y2002c203,Y2088c152,growth2088c152,Y2107c68,growth2107c68,Y2364c124,growth2364c124,Y2897c620,growth2897c620,Y2902c68,growth2902c68,Y290c268,growth290c268,Y3046c688,growth3046c688,Y3089c792,growth3089c792,Y3694c203,Y3726c428,growth3726c428,Y3841c152,growth3841c152,Y3887c757,growth3887c757,Y3927c705,growth3927c705,Y393c124,growth393c124,Y3955c703,growth3955c703,Y4192c372,growth4192c372,Y4230c251,growth4230c251,Y4256c792,growth4256c792,Y4264c792,growth4264c792,Y4272c268,growth4272c268,Y4277c586,growth4277c586,Y4316c586,growth4316c586,Y4325c688,growth4325c688,Y4437c372,growth4437c372,Y4476c792,growth4476c792,Y4579c68,growth4579c68,Y4580c705,growth4580c705,Y4686c344,Y4890c208,growth4890c208,Y4950c300,growth4950c300,Y5002c124,growth5002c124,Y5004c600,growth5004c600,Y507c484,growth507c484,Y560c757,growth560c757,Y585c124,Y597c203,Y653c251,growth653c251,Y677c703,growth677c703,Y6c124,Y785c608,Y939c36,_merge,x,r2,s,sf
201001,760612,600,3584,7797612,01,0,0,0,0,0,0,0,0,0,0,0,142969,,492285,,747566,,532847,,104978,,323586,,59876,,99669,,417877,245807,,104492,,690279,,992584,,2994,,27540,,344115,,9327566,,91526,118458,,160928,,5108854,,70745,,24986944,,358500,,26914976,,1489453,,1191847,,1530841,,12533,,501599,,152672,,8174,,207590,,1868696,,601085,,17252894,,7692955,15897,,397442,,76992,,3178,,6604,,166291,,119787,856616,244199,,613359,,34255,74816,473846,matched (3),,.92066038,,
201002,760612,601,3584,8528707,02,1,0,0,0,0,0,0,0,0,0,0,193222,.3012113571166992,187163,-.9670782089233398,1006330,.2972421646118164,569314,.0661983489990234,223824,.7571086883544922,549415,.529388427734375,198121,1.196601867675781,89030,-.1128816604614258,324947,196839,-.2221603393554688,7462,-2.639286994934082,1624959,.8561420440673828,947840,-.0461263656616211,6210,.7295503616333008,235984,2.148124694824219,4511,-4.334457397460938,10600511,.1279277801513672,123460,11807,-2.305866241455078,92147,-.5575723648071289,5444766,.0636796951293945,94744,.2920970916748047,19037928,-.2719192504882813,1042265,1.067222595214844,12971538,-.7299270629882813,2746808,.612030029296875,1403328,.1633424758911133,2069366,.3014249801635742,16116,.2514476776123047,878946,.5609226226806641,78747,-.6620521545410156,22091,.9942121505737305,283110,.3102703094482422,2985214,.4684305191040039,969235,.4777708053588867,19177248,.1057453155517578,3082793,20308,.2448844909667969,231497,-.5404815673828125,118312,.4296236038208008,3669,.1436662673950195,8001,.1918907165527344,171224,.0292329788208008,134727,824725,195029,-.2248353958129883,1401135,.8260869979858398,74153,5554,427127,matched (3),22171204,.92066038,8736313,14815126
201003,760612,602,3584,13073758,03,0,1,0,0,0,0,0,0,0,0,0,232406,.1846466064453125,222362,.1723270416259766,664896,-.4144344329833984,945789,.5075874328613281,67610,-1.197103500366211,556774,.0133056640625,168100,-.1643190383911133,109318,.2052879333496094,363086,146213,-.2973222732543945,96065,2.555201530456543,2213284,.308995246887207,1364985,.3647127151489258,14985,.8808889389038086,188385,-.225275993347168,9088,.7004356384277344,12065054,.1294116973876953,186790,385336,3.485423088073731,283713,1.124578475952148,9237305,.5285959243774414,178620,.6340818405151367,25016540,.2731037139892578,2655600,.9352741241455078,13031355,.0046024322509766,1855716,-.3921680450439453,1679924,.1799020767211914,2403207,.149561882019043,20161,.22393798828125,882713,.004277229309082,227016,1.058780670166016,27426,.2163209915161133,603642,.757145881652832,3363838,.1194114685058594,1471673,.4176473617553711,29334904,.4250526428222656,7390526,26438,.2637882232666016,413242,.5794658660888672,96296,-.2058982849121094,30912,2.1312255859375,18771,.8527469635009766,300783,.5634164810180664,169125,1108300,327133,.5172185897827148,97649,-2.663658142089844,95484,113140,142151,matched (3),32292628,.92066038,13384319,17952848
201004,760612,603,3584,12803802,04,0,0,1,0,0,0,0,0,0,0,0,191609,-.1930294036865234,801703,1.282431602478027,850692,.2464199066162109,913563,-.03466796875,123477,.6022987365722656,200475,-1.021470069885254,104272,-.4775562286376953,103158,-.0579996109008789,352059,153225,.0468435287475586,62127,-.4358444213867188,1893173,-.1562232971191406,1328332,-.0272188186645508,18745,.223876953125,69052,-1.003627777099609,16019,.5668210983276367,10474766,-.1413440704345703,113939,4393,-4.474102973937988,81059,-1.252785682678223,6165649,-.4042568206787109,123737,-.3671016693115234,21356328,-.1581897735595703,2907259,.0905399322509766,13932347,.0668544769287109,3833570,.7255258560180664,1555713,-.0768146514892578,2223112,-.0778961181640625,11304,-.5785942077636719,558586,-.4575920104980469,133506,-.5308742523193359,17255,-.4633893966674805,1309282,.7742528915405273,2515044,-.2907924652099609,2081749,.3468093872070313,23008960,-.2428932189941406,5242134,44353,.5173778533935547,313687,-.2756376266479492,193740,.6990900039672852,4567,-1.912287712097168,12962,-.3702917098999023,259913,-.1460418701171875,156655,1060442,264440,-.2127523422241211,169420,.5510015487670898,13766,77389,0,matched (3),62971020,.92066038,10700952,16052264
201005,760612,604,3584,9797637,05,0,0,0,1,0,0,0,0,0,0,0,165450,-.1467876434326172,320836,-.9158086776733398,402648,-.7479877471923828,580250,-.453892707824707,69372,-.5765714645385742,372965,.6207952499389648,78091,-.289128303527832,85306,-.1900167465209961,276319,85426,-.5842571258544922,41412,-.4056100845336914,1859389,-.0180063247680664,870828,-.4222354888916016,16675,-.1170158386230469,72120,.0434713363647461,157916,2.288287162780762,10022139,-.0441722869873047,88050,2475,-.5737719535827637,94458,.1529779434204102,5177646,-.1746435165405273,97325,-.2401027679443359,18630772,-.1365318298339844,1560996,-.6218862533569336,13441628,-.0358562469482422,2157426,-.5748815536499023,1592943,.0236492156982422,2619507,.1640777587890625,11909,.0521383285522461,420541,-.2838668823242188,125983,-.0579996109008789,13460,-.2483797073364258,937052,-.3344955444335938,2864492,.130101203918457,2788520,.292302131652832,19737880,-.1533451080322266,4914636,26273,-.5236387252807617,328551,.0462961196899414,143704,-.2987613677978516,916,-1.606595516204834,10653,-.1961803436279297,138492,-.6295347213745117,133102,868466,274460,.0371913909912109,175245,.0338039398193359,2518,76510,0,matched (3),27705464,.92066038,10550303,15952231
201006,760612,605,3584,13462579,06,0,0,0,0,1,0,0,0,0,0,0,169227,.0225725173950195,136578,-.854034423828125,353823,-.1292657852172852,931992,.4738645553588867,150454,.7741737365722656,396881,.0621519088745117,144068,.6124105453491211,127609,.4027261734008789,288002,64217,-.2853822708129883,102707,.9083099365234375,2408230,.2586441040039063,1031935,.1697463989257813,19969,.1802701950073242,60000,-.1839866638183594,320952,.709228515625,10366208,.0337543487548828,99598,2579,.041161060333252,105408,.1096830368041992,8559726,.5027179718017578,53436,-.5995712280273438,15675867,-.1726932525634766,1788462,.1360321044921875,8943098,-.4074745178222656,2982072,.3237028121948242,1626624,.0209236145019531,3094071,.1665010452270508,34239,1.056070327758789,368183,-.1329612731933594,159891,.2383451461791992,27556,.7164974212646484,796795,-.1621408462524414,3167050,.1004095077514648,3124131,.1136455535888672,21771706,.0980720520019531,4031377,58130,.7941398620605469,161781,-.7084484100341797,170249,.1695060729980469,13958,2.723791599273682,7577,-.340723991394043,290101,.7394170761108398,146646,923772,227699,-.1867809295654297,314357,.5843439102172852,92239,154562,0,matched (3),5660313.5,.92066038,8449620,14647897
201007,760612,606,3584,20745632,07,0,0,0,0,0,1,0,0,0,0,0,1046190,1.82166862487793,238718,.5583877563476563,1051365,1.089047431945801,920331,-.0125904083251953,236356,.4516820907592773,409614,.0315790176391602,115093,-.2245445251464844,95808,-.2866249084472656,343414,183680,1.05092716217041,63679,-.4780254364013672,2772713,.1409339904785156,1685755,.4907779693603516,25406,.2408037185668945,223276,1.314064025878906,406463,.236201286315918,12803572,.2111721038818359,125814,23859,2.224760055541992,389895,1.308038711547852,9130625,.0645666122436523,86086,.4768619537353516,17244448,.095367431640625,2337784,.2678470611572266,14390829,.4757080078125,4536810,.4196062088012695,1916828,.1641654968261719,3300959,.0647258758544922,15126,-.8169498443603516,346355,-.0611162185668945,141949,-.1190242767333984,31068,.1199588775634766,1818860,.8253669738769531,2611751,-.192779541015625,3943132,.232818603515625,25199076,.1461963653564453,6213347,22234,-.9610595703125,214687,.2829380035400391,295310,.5507640838623047,31821,.8240737915039063,14720,.6640892028808594,176929,-.494481086730957,139451,983206,265735,.1544742584228516,454444,.3685455322265625,53110,41723,503471,matched (3),9213965,.92066038,10425209,15869776
201008,760612,607,3584,9980239,08,0,0,0,0,0,0,1,0,0,0,0,2172118,.7305479049682617,171062,-.333256721496582,683073,-.4312429428100586,1264378,.3176021575927734,110814,-.7574863433837891,410164,.0013418197631836,126792,.0968074798583984,51107,-.6284246444702148,386692,139019,-.2785844802856445,104694,.4971866607666016,2560355,-.0796804428100586,1458305,-.1449384689331055,14909,-.53302001953125,190814,-.157109260559082,350171,-.1490707397460938,9087177,-.3428592681884766,172670,7863,-1.109993934631348,935014,.8746843338012695,4948032,-.612645149230957,46266,-.6209392547607422,19907732,.1436195373535156,1147070,-.7119922637939453,16753914,.1520404815673828,1445320,-1.143893241882324,1445005,-.2825593948364258,2803379,-.1633872985839844,44174,1.071721076965332,747537,.7693195343017578,139880,-.0146827697753906,34752,.1120586395263672,2388163,.2723150253295898,2699228,.0329446792602539,3310093,-.1749992370605469,17030338,-.3918113708496094,3918205,20419,-.0851564407348633,207023,-.036351203918457,298846,.0119028091430664,3534,-2.197695732116699,12466,-.1662015914916992,141066,-.2265205383300781,216238,800493,240062,-.1016016006469727,332113,-.3135995864868164,0,79430,378047,matched (3),51646940,.92066038,8668717,14775366
201009,760612,608,3584,9702524,09,0,0,0,0,0,0,0,1,0,0,0,123737,-2.865299224853516,234626,.3159666061401367,702976,.028721809387207,996438,-.2381486892700195,89928,-.2088432312011719,293065,-.3361625671386719,115461,-.0936155319213867,262644,1.63687801361084,289974,261601,.6322097778320313,93324,-.114964485168457,2811767,.0936670303344727,1365619,-.0656671524047852,12247,-.1966838836669922,98479,-.6614561080932617,355203,.0142679214477539,12774115,.3405570983886719,152702,25679,1.183506011962891,268422,-1.248001098632813,5986105,.1904516220092773,126581,1.006475448608398,21455876,.07489013671875,2644906,.8354244232177734,24882352,.3955268859863281,1479428,.0233240127563477,1664375,.1413373947143555,2579650,-.0831718444824219,14939,-1.084160804748535,436574,-.5378255844116211,158698,.1262178421020508,60579,.5557107925415039,2183236,-.0897159576416016,3127590,.1472969055175781,3201793,-.0332651138305664,16879434,-.0088996887207031,5371326,73128,1.275745391845703,268253,.2591009140014648,207956,-.3626022338867188,1407,-.9209709167480469,71637,1.748606681823731,295120,.738154411315918,121109,715261,251470,.0464258193969727,872835,.9662714004516602,69949,74696,413822,matched (3),24603678,.92066038,8175841,14491693
201010,760612,609,3584,5746893,10,0,0,0,0,0,0,0,0,1,0,0,96167,-.2520723342895508,166624,-.3422536849975586,546305,-.2521457672119141,980759,-.0158596038818359,35955,-.9167413711547852,439135,.4044122695922852,132925,.1408529281616211,177968,-.389195442199707,586537,153106,-.5356903076171875,81810,-.1316776275634766,2797349,-.0051403045654297,1529547,.1133642196655273,16104,.2737865447998047,314045,1.159692764282227,331100,-.0702695846557617,10518687,-.1942691802978516,92624,7912,-1.177292823791504,213922,-.2269487380981445,7588960,.2372531890869141,94754,-.2895984649658203,23400668,.0867652893066406,2524779,-.0464820861816406,24235960,-.0263214111328125,2523084,.5338268280029297,1481592,-.1163330078125,2282448,-.1224050521850586,34071,.8244714736938477,699349,.47119140625,217314,.3143405914306641,29623,-.7153968811035156,1428933,-.4238805770874023,3391412,.0809831619262695,2879928,-.1059455871582031,22398368,.2828922271728516,4798534,28767,-.9329824447631836,226118,-.1708736419677734,140323,-.3933801651000977,3967,1.036550521850586,11819,-1.80190372467041,208648,-.3467340469360352,179589,1088663,187804,-.2919244766235352,495887,-.5653982162475586,19043,59005,326845,matched (3),23256004,.92066038,7639839.5,14196195
