period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1086c616,Y1449c826,growth1449c826,Y1463c208,growth1463c208,Y1503c208,growth1503c208,Y1665c233,Y1712c428,growth1712c428,Y1722c208,growth1722c208,Y1778c484,growth1778c484,Y1779c124,growth1779c124,Y1846c222,Y1898c268,Y1973c428,growth1973c428,Y2059c208,growth2059c208,Y2139c233,Y2141c616,growth2141c616,Y2174c703,growth2174c703,Y2190c792,growth2190c792,Y2203c191,growth2203c191,Y2322c233,Y2420c348,growth2420c348,Y2632c484,growth2632c484,Y2635c484,growth2635c484,Y2683c616,growth2683c616,Y2887c36,Y2922c440,growth2922c440,Y2958c826,growth2958c826,Y2982c68,growth2982c68,Y3115c246,growth3115c246,Y3157c705,growth3157c705,Y3233c251,growth3233c251,Y3435c246,growth3435c246,Y3521c826,growth3521c826,Y3584c826,growth3584c826,Y3597c428,growth3597c428,Y3752c757,growth3752c757,Y3900c792,growth3900c792,Y419c428,growth419c428,Y4256c616,growth4256c616,Y4276c68,growth4276c68,Y4437c376,Y4468c348,growth4468c348,Y4480c757,growth4480c757,Y4626c826,growth4626c826,Y4753c757,growth4753c757,Y4980c440,Y5003c222,growth5003c222,Y5012c586,growth5012c586,Y850c233,Y948c757,growth948c757,Y991c344,_merge,x,r2,s,sf
201001,760692,600,3586,2127332,01,0,0,0,0,0,0,0,0,0,0,0,71848,12124035,,5480,,2358670,,63036,436883,,2694424,,9503334,,4166336,,49564,0,380300,,1498429,,49495,455435,,210422,,5840890,,33436,,40104,253232,,858334,,4603785,,396329,,300581,146918,,1234193,,7793,,1083363,,66364,,9660070,,1372213,,1008663,,62174976,,351553,,886005,,13903806,,617515,,1847968,,9318,,1503000,782442,,11897783,,2541502,,7913698,,0,272643,,213787,,61296,314165,,35183,matched (3),,.90899533,,
201002,760692,601,3586,1232696,02,1,0,0,0,0,0,0,0,0,0,0,0,11727743,-.0332317352294922,94340,2.845800399780273,2336197,-.0095739364624023,937,402515,-.0819330215454102,2022471,-.2868642807006836,9024047,-.0517501831054688,5152321,.2124099731445313,696,250,427666,.1173820495605469,1238511,-.1905069351196289,92257,472218,.0361881256103516,165375,-.2408990859985352,6626241,.126154899597168,68773,.7211780548095703,11806,176596,-.3604412078857422,1156879,.298487663269043,6459519,.3386764526367188,343736,-.1423711776733398,430006,403498,1.010296821594238,1048861,-.1627120971679688,2485,-1.142953395843506,790391,-.3152971267700195,140118,.7473297119140625,1658031,-1.762370109558106,1061094,-.2571239471435547,839657,-.1833868026733398,86651560,.3319416046142578,555300,.4571475982666016,999495,.1205272674560547,16264470,.1568202972412109,610311,-.0117349624633789,1776140,-.0396442413330078,7166,-.2626008987426758,821000,455838,-.5402822494506836,11582256,-.0268783569335938,1862946,-.3105964660644531,6719880,-.1635246276855469,29896,163140,-.513554573059082,410070,.6513471603393555,94215,293184,-.0691184997558594,17119,matched (3),789339.75,.90899533,470482.31,782372.13
201003,760692,602,3586,2040961,03,0,1,0,0,0,0,0,0,0,0,0,9515,13518333,.14208984375,11486,-2.105775833129883,2856199,.2009677886962891,4038,422248,.0478601455688477,2740608,.3038597106933594,13479402,.4012699127197266,8445025,.4941301345825195,6169,245,495417,.1470575332641602,1479065,.1774997711181641,92884,460572,-.0249719619750977,106974,-.4356298446655273,7804613,.1636772155761719,192737,1.030514717102051,80672,239311,.303898811340332,1340527,.1473369598388672,6763035,.0459165573120117,656414,.6469173431396484,543570,315841,-.2449321746826172,877019,-.1789312362670898,38898,2.750669956207275,953235,.1873331069946289,248551,.5731639862060547,5642914,1.224769592285156,2540715,.8731451034545898,1737419,.7271623611450195,81272472,-.0640869140625,671632,.1902027130126953,1003448,.0039472579956055,24374384,.4045486450195313,874944,.3601913452148438,1928885,.0825004577636719,22844,1.159340858459473,1443000,216639,-.7439050674438477,15159038,.2691230773925781,2694005,.3688697814941406,7102148,.0553264617919922,72410,328798,.7008342742919922,216761,-.6375322341918945,79168,388810,.2822904586791992,19384,matched (3),1606436.8,.90899533,454051.03,772602.69
201004,760692,603,3586,2982220,04,0,0,1,0,0,0,0,0,0,0,0,41390,13543721,.0018768310546875,190711,2.809629440307617,4222366,.3909034729003906,61112,543739,.2528762817382813,2245307,-.1993379592895508,12300095,-.0915565490722656,7722388,-.0894536972045898,177407,7112,579348,.1565036773681641,1369811,-.0767374038696289,118618,449654,-.0239906311035156,113724,.0611886978149414,10226773,.270294189453125,230660,.1796178817749023,151225,437507,.6033287048339844,1014124,-.2790374755859375,6263458,-.0767393112182617,494007,-.2842416763305664,0,922976,1.07236385345459,1184932,.3009119033813477,62928,.481048583984375,1206331,.2354774475097656,342037,.319270133972168,8385162,.3960638046264648,2538869,-.0007266998291016,2330915,.2938604354858398,90179104,.1039905548095703,617402,-.0841903686523438,929248,-.0768213272094727,22407394,-.0841407775878906,947178,.0793266296386719,2165518,.1157169342041016,26467,.1472101211547852,572000,376327,.5522260665893555,12155657,-.2208023071289063,2489931,-.0787744522094727,7410359,.0424823760986328,40475,422255,.2501659393310547,301441,.3297786712646484,74051,386406,-.0062017440795898,39307,matched (3),1761623.6,.90899533,340655.13,711897.81
201005,760692,604,3586,1228983,05,0,0,0,1,0,0,0,0,0,0,0,10512,10865484,-.2203330993652344,102932,-.6166906356811523,2694491,-.4491863250732422,56929,531241,-.0232534408569336,2464124,.0929946899414063,11915793,-.0317420959472656,9001872,.1533088684082031,69318,5876,542874,-.0650262832641602,1192383,-.1387186050415039,104401,351157,-.2472448348999023,100985,-.1188030242919922,8497582,-.1852283477783203,292530,.2376232147216797,32578,166479,-.9662237167358398,1301898,.2497978210449219,7394002,.1659364700317383,705867,.356877326965332,0,812244,-.1278018951416016,669108,-.5714950561523438,95293,.4149646759033203,1447954,.1825685501098633,246960,-.3256921768188477,5084732,-.5002222061157227,2192365,-.1467380523681641,1126148,-.7274580001831055,83203920,-.0805034637451172,522765,-.1663885116577148,907356,-.0238409042358398,19256348,-.15155029296875,879803,-.0737886428833008,2534429,.1573085784912109,26756,.0108604431152344,972000,558816,.3953619003295898,13151448,.0787372589111328,2339441,-.062342643737793,9521750,.2506999969482422,97518,415955,-.0150318145751953,200404,-.408238410949707,64301,284601,-.3058004379272461,17621,matched (3),1744455.8,.90899533,410567.22,747875.69
201006,760692,605,3586,9041439,06,0,0,0,0,1,0,0,0,0,0,0,55603,13848992,.2426223754882813,7361,-2.637872695922852,3523030,.2681121826171875,35633,665475,.225285530090332,2549941,.0342340469360352,18710128,.4512004852294922,6165523,-.3784599304199219,95677,10447,419051,-.2588844299316406,1418721,.1738014221191406,129920,493936,.3411722183227539,141773,.3392553329467773,10826449,.2422103881835938,579233,.6831369400024414,36182,192945,.1475362777709961,1476795,.1260519027709961,8434358,.1316452026367188,781267,.1014900207519531,0,1666686,.7187910079956055,1084442,.482874870300293,114437,.1830682754516602,1221796,-.1698293685913086,343567,.3301553726196289,6611426,.2625570297241211,2379237,.0817985534667969,2201074,.6701421737670898,78925184,-.0527935028076172,674064,.2541933059692383,1113572,.2047929763793945,23187264,.1857624053955078,580035,-.4166097640991211,2677603,.0549535751342773,43271,.4807233810424805,1322000,255470,-.7827157974243164,13760880,.0452976226806641,2937407,.2276153564453125,6801159,-.3364858627319336,32109,317739,-.2693471908569336,318322,.4627275466918945,44373,349193,.2045364379882813,37482,matched (3),5233861,.90899533,647907.19,900297.88
201007,760692,606,3586,9861424,07,0,0,0,0,0,1,0,0,0,0,0,56863,15006808,.080291748046875,104602,2.653966903686523,3774898,.0690517425537109,156367,849644,.2443161010742188,2133538,-.1782894134521484,16459912,-.1281375885009766,7172636,.1513004302978516,105730,2737,393954,-.0617589950561523,686752,-.7255373001098633,148214,404596,-.1995162963867188,373737,.969325065612793,12456725,.1402683258056641,403071,-.3625917434692383,0,194676,.0089311599731445,1630718,.0991458892822266,6708088,-.2290000915527344,740420,-.0536994934082031,399826,332479,-1.612015724182129,1163008,.0699443817138672,48695,-.8544473648071289,1106835,-.0988178253173828,286277,-.1824216842651367,2623083,-.9244489669799805,2209185,-.0741558074951172,1342299,-.4945611953735352,81682968,.0343437194824219,1240445,.6099004745483398,1355306,.1964540481567383,19842824,-.15576171875,902744,.4423503875732422,2802042,.0454263687133789,64424,.3980035781860352,2604000,566867,.7970199584960938,14413371,.0463275909423828,2806847,-.0454654693603516,8271564,.1957302093505859,39055,450198,.3484573364257813,245734,-.2588138580322266,58128,407406,.1541852951049805,41114,matched (3),5355987,.90899533,477593.41,786668.94
201008,760692,607,3586,2987656,08,0,0,0,0,0,0,1,0,0,0,0,58240,12127103,-.2130622863769531,8650,-2.492603302001953,5457094,.3685436248779297,269323,1214925,.3576202392578125,2102070,-.0148582458496094,18220216,.1016044616699219,7943015,.1020193099975586,92703,2124,531341,.2991695404052734,1753186,.9372167587280273,132142,405886,.0031833648681641,30937,-2.491599082946777,9735376,-.2464942932128906,240922,-.5146398544311523,35101,134526,-.3695783615112305,1376820,-.1692438125610352,7725083,.1411590576171875,325269,-.8225650787353516,383242,296613,-.1141481399536133,980975,-.1702184677124023,58180,.1779651641845703,1146052,.0348186492919922,144294,-.6851072311401367,3604044,.3177070617675781,3111958,.3426284790039063,1202229,-.1102066040039063,76411472,-.06671142578125,713021,-.5537147521972656,1331031,-.0180730819702148,14940154,-.2837886810302734,818202,-.0983295440673828,2908313,.0372247695922852,13222,-1.583603858947754,1844000,735899,.2609682083129883,13946461,-.0329303741455078,2669862,-.0500345230102539,7184685,-.1408720016479492,7880,295371,-.4214553833007813,244764,-.0039548873901367,126650,390614,-.0420904159545898,40318,matched (3),1554613.1,.90899533,460715.69,776538.19
201009,760692,608,3586,2854936,09,0,0,0,0,0,0,0,1,0,0,0,55352,15772036,.2627964019775391,51923,1.792202949523926,3113505,-.5611677169799805,399725,1372912,.1222515106201172,2557688,.1961803436279297,15146118,-.1847877502441406,7573480,-.0476398468017578,107422,437,526745,-.0086870193481445,1398553,-.2259969711303711,141023,362161,-.1139841079711914,40863,.2782716751098633,8698841,-.1125755310058594,96244,-.9175863265991211,3996,275111,.7154169082641602,1839501,.2897176742553711,6531218,-.1678791046142578,351849,.0785493850708008,195894,297404,.0026636123657227,798354,-.2059946060180664,36314,-.4713382720947266,1267417,.1006574630737305,474654,1.190732955932617,13978309,1.355450630187988,2049992,-.4174165725708008,1816015,.4124670028686523,83860248,.093017578125,665445,-.0690546035766602,1227889,-.0806570053100586,23705748,.4616641998291016,384761,-.7544870376586914,2292374,-.2379846572875977,31062,.8541030883789063,456000,937495,.2421188354492188,15024113,.0744304656982422,2541201,-.0493907928466797,7915802,.0969095230102539,4288,258816,-.1321144104003906,213141,-.1383399963378906,20483,315452,-.2137126922607422,37675,matched (3),1489131.3,.90899533,535245,822945.81
201010,760692,609,3586,2927910,10,0,0,0,0,0,0,0,0,1,0,0,931,15070546,-.0454959869384766,147294,1.042668342590332,3181774,.0216894149780273,328442,961406,-.356292724609375,3006324,.1616144180297852,15847780,.0452861785888672,8431602,.1073341369628906,11074,727,560498,.0621089935302734,1435185,.0258560180664063,150129,574127,.4607620239257813,64176,.4514045715332031,6265131,-.328190803527832,123180,.246760368347168,67859,546513,.6863832473754883,1939219,.052790641784668,7055265,.0771799087524414,419703,.1763458251953125,370552,600645,.7029123306274414,828178,.0366764068603516,61531,.5273370742797852,1122600,-.121333122253418,323263,-.384119987487793,3539344,-1.373566627502441,2569333,.2258110046386719,1238250,-.3829450607299805,77879008,-.0739936828613281,596490,-.1093940734863281,1280657,.0420761108398438,26082448,.0955448150634766,835097,.7749261856079102,3062357,.2895965576171875,15843,-.6732578277587891,1081000,697296,-.2960014343261719,15541766,.03387451171875,2796021,.0955610275268555,9010149,.129490852355957,20590,302179,.1549015045166016,373841,.5618762969970703,71139,316614,.0036764144897461,19071,matched (3),704382.94,.90899533,460649.41,776498.81
