period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1200c300,growth1200c300,Y1469c203,Y1524c36,Y1616c826,growth1616c826,Y1738c807,growth1738c807,Y1740c703,growth1740c703,Y1889c826,growth1889c826,Y2085c826,growth2085c826,Y2114c372,growth2114c372,Y2117c792,growth2117c792,Y2229c792,growth2229c792,Y2548c705,growth2548c705,Y2633c484,growth2633c484,Y2635c233,Y2652c616,growth2652c616,Y2742c124,growth2742c124,Y2758c703,growth2758c703,Y2793c124,growth2793c124,Y2798c752,growth2798c752,Y2808c222,growth2808c222,Y2829c440,growth2829c440,Y2845c703,growth2845c703,Y2883c222,growth2883c222,Y2884c300,growth2884c300,Y2934c152,growth2934c152,Y3089c152,growth3089c152,Y3129c68,growth3129c68,Y3152c826,growth3152c826,Y3285c233,Y3704c372,growth3704c372,Y4093c484,growth4093c484,Y414c705,Y4198c616,growth4198c616,Y425c616,growth425c616,Y4347c688,growth4347c688,Y4358c826,growth4358c826,Y4382c484,growth4382c484,Y4482c428,growth4482c428,Y4488c300,growth4488c300,Y4522c372,growth4522c372,Y4631c484,growth4631c484,Y4710c428,Y474c442,Y4847c705,growth4847c705,Y4889c246,growth4889c246,Y4943c152,growth4943c152,Y4961c124,growth4961c124,Y4977c152,growth4977c152,Y5028c222,growth5028c222,Y912c152,growth912c152,_merge,x,r2,s,sf
201001,760719,600,3588,805463,01,0,0,0,0,0,0,0,0,0,0,0,59106,,11716,315250,3790804,,22650,,224949,,349470,,1740452,,63997,,46211,,3120635,,169411,,973309,,94853,1117040,,4919819,,41283,,5080838,,609135,,8606,,30160,,5722,,2806,,244270,,204408,,1043150,,9817,,2044902,,121414,18103,,827398,,65790,20315016,,104826,,5659,,5525478,,603434,,1309285,,1916134,,4566192,,680791,,378,11316,1362,,8647,,2325611,,4835923,,2051916,,28825,,149196,,matched (3),,.88228881,,
201002,760719,601,3588,651442,02,1,0,0,0,0,0,0,0,0,0,0,37139,-.4646644592285156,6254,306667,2691826,-.3423585891723633,147041,1.870552062988281,295868,.2740392684936523,254037,-.3189373016357422,1467157,-.1708183288574219,89130,.3312597274780273,21591,-.7609415054321289,4640033,.3966846466064453,177270,.0453462600708008,931623,-.0437736511230469,178423,769195,-.3730936050415039,4793662,-.0259771347045898,57228,.3265924453735352,4157546,-.2005510330200195,418137,-.3762311935424805,4236,-.7088403701782227,16369,-.6111268997192383,4051,-.3453550338745117,1971,-.3532190322875977,216321,-.1215114593505859,244413,.178741455078125,1109556,.0617151260375977,48471,1.596850395202637,1506507,-.3055562973022461,219976,4702,-1.348090171813965,785178,-.0523757934570313,24906,15761919,-.2537631988525391,100511,-.0420341491699219,8400,.394984245300293,5091733,-.081751823425293,1119431,.6179389953613281,1555457,.1722888946533203,1432486,-.290898323059082,3992734,-.1342039108276367,616293,-.0995321273803711,442,3886,4076,1.096161365509033,15299,.5705747604370117,2680820,.1421394348144531,3864452,-.2242517471313477,2097941,.0221824645996094,26787,-.0733261108398438,433164,1.065855026245117,matched (3),1980796.1,.88228881,228250.39,378476.16
201003,760719,602,3588,458640,03,0,1,0,0,0,0,0,0,0,0,0,183201,1.595916748046875,9814,23253,2899243,.0742301940917969,40188,-1.29714298248291,195584,-.4139232635498047,306841,.1888494491577148,1355006,-.0795211791992188,68151,-.2683696746826172,83449,1.351959228515625,6167497,.284571647644043,159539,-.1053857803344727,602583,-.4357023239135742,71764,1390550,.5921106338500977,4417623,-.0816926956176758,33832,-.5256366729736328,4037137,-.0293893814086914,323966,-.2551708221435547,2664,-.4637904167175293,20475,.2238149642944336,4621,.1316471099853516,3332,.5250320434570313,479887,.7967872619628906,203467,-.1833553314208984,1667523,.407379150390625,29613,-.4927520751953125,2302464,.4241857528686523,308453,4320,-.0847320556640625,300106,-.9617748260498047,35954,15203405,-.0360774993896484,90445,-.105525016784668,17852,.7538843154907227,4697522,-.0805826187133789,1017763,-.0952138900756836,2019645,.2611522674560547,1087014,-.2759771347045898,5308103,.2847585678100586,1324940,.7653999328613281,338,8128,3489,-.1555004119873047,33506,.7839365005493164,3652291,.3092327117919922,4036083,.0434541702270508,2262531,.0755271911621094,43298,.480189323425293,8546,-3.925652503967285,matched (3),2904515.5,.88228881,280823,412319.66
201004,760719,603,3588,666529,04,0,0,1,0,0,0,0,0,0,0,0,72790,-.9230060577392578,8728,0,1976174,-.3832864761352539,32847,-.2017087936401367,204467,.0444164276123047,248378,-.2113780975341797,1045894,-.2589330673217773,69091,.0136985778808594,55647,-.405207633972168,7614451,.21075439453125,201077,.2313995361328125,629679,.0439844131469727,182680,1409619,.0136194229125977,3654795,-.1895618438720703,37904,.1136503219604492,3445617,-.1584329605102539,271412,-.1770000457763672,7584,1.04621171951294,87587,1.453428268432617,2628,-.564387321472168,1934,-.5439825057983398,179945,-.9808988571166992,150125,-.3040351867675781,1245524,-.291783332824707,43885,.3933591842651367,2476590,.0729026794433594,231269,8785,.7097902297973633,639711,.7568807601928711,34196,16018032,.0521965026855469,122305,.3017759323120117,4821,-1.309134483337402,6178241,.2739982604980469,1713878,.5211515426635742,1776603,-.1282186508178711,1616405,.3967704772949219,5458389,.027918815612793,743042,-.5783700942993164,4078,10203,25089,1.972814559936523,9828,-1.226489067077637,4542830,.2181949615478516,3820701,-.054840087890625,1672426,-.3022079467773438,46155,.063899040222168,42664,1.607892036437988,matched (3),1929441.8,.88228881,262701,400197.16
201005,760719,604,3588,970275,05,0,0,0,1,0,0,0,0,0,0,0,67993,-.0681734085083008,13111,0,1532538,-.2542381286621094,60343,.608184814453125,230806,.1211709976196289,343207,.3233823776245117,1138807,.085108757019043,60840,-.1271772384643555,29852,-.6227760314941406,8313740,.0878620147705078,196600,-.0225162506103516,667363,.0581235885620117,43592,1772750,.229212760925293,4072696,.1082658767700195,68973,.5986576080322266,4111099,.1765880584716797,463935,.5361061096191406,3642,-.7335081100463867,24322,-1.281251907348633,1721,-.4233179092407227,2923,.413020133972168,311081,.5474023818969727,101303,-.3933525085449219,1561564,.2261314392089844,51992,.1695165634155273,2549813,.0291376113891602,333034,1940,-1.510357856750488,928938,.3730258941650391,47921,13752037,-.1525287628173828,78932,-.4379310607910156,11533,.8722314834594727,4464992,-.3247661590576172,1884378,.0948390960693359,1689484,-.0502805709838867,995775,-.4844388961791992,3689676,-.3916149139404297,1411285,.6415033340454102,9707,4019,1602,-2.751176834106445,43177,1.480072975158691,3209666,-.3473834991455078,5424494,.3504905700683594,2115112,.2348318099975586,33648,-.3160514831542969,272412,1.853960037231445,matched (3),1565922.6,.88228881,221308.22,374330.44
201006,760719,605,3588,1052850,06,0,0,0,0,1,0,0,0,0,0,0,53357,-.2423992156982422,4614,0,2640408,.5440082550048828,41866,-.3655710220336914,117506,-.6750879287719727,477798,.3308544158935547,1401326,.2074375152587891,70508,.1474790573120117,26311,-.1262655258178711,8549294,.0279388427734375,197633,.0052404403686523,797910,.1786623001098633,208192,1236091,-.3605775833129883,5524017,.3048000335693359,40589,-.530217170715332,5944649,.3688011169433594,569547,.2050971984863281,1815,-.6964468955993652,26779,.0962371826171875,14185,2.109279632568359,4411,.4114913940429688,243129,-.2464618682861328,355117,1.254331588745117,1707473,.0893268585205078,86494,.5089855194091797,4199792,.4990148544311523,228785,4884,.9232769012451172,840324,-.100255012512207,23932,16185211,.1629123687744141,162940,.7247953414916992,15291,.2820510864257813,5076396,.1283340454101563,1891037,.0035276412963867,1890397,.1123638153076172,1572055,.4566173553466797,3928142,.0626277923583984,1621659,.1389493942260742,7310,7166,12497,2.054235458374023,43567,.0089921951293945,3581077,.1094970703125,8984547,.5045814514160156,2310796,.0884847640991211,40020,.1734256744384766,419374,.4314470291137695,matched (3),1984652.9,.88228881,249929.97,391932.31
201007,760719,606,3588,1793740,07,0,0,0,0,0,1,0,0,0,0,0,41925,-.2411231994628906,13839,6401,2724568,.031376838684082,66643,.4648761749267578,202892,.5461845397949219,361495,-.2789402008056641,1720304,.2050819396972656,118221,.5168294906616211,34105,.2594575881958008,6438962,-.2834806442260742,161166,-.2039766311645508,1290616,.4808788299560547,33147,1454415,.1626491546630859,5790990,.0471973419189453,56505,.3308315277099609,8418080,.3478899002075195,1131484,.6864433288574219,8560,1.551014423370361,27474,.0256214141845703,15449,.0853595733642578,3959,-.1081104278564453,202317,-.1837558746337891,847001,.8692541122436523,1533513,-.1074533462524414,74618,-.1476936340332031,3381993,-.2165699005126953,231963,1159,-1.438407421112061,636322,-.2780828475952148,37599,18517604,.1346225738525391,340680,.7375612258911133,3371,-1.512054443359375,5802274,.1336479187011719,2288257,.1906652450561523,2549404,.2990732192993164,1743496,.1035089492797852,4411978,.1161565780639648,2860435,.5675239562988281,3359,15666,22411,.5840635299682617,11117,-1.365824699401856,5094017,.3524026870727539,14786375,.498199462890625,3447637,.4000968933105469,88865,.7977390289306641,977912,.8466567993164063,matched (3),2563148,.88228881,298810.63,424774.94
201008,760719,607,3588,1413835,08,0,0,0,0,0,0,1,0,0,0,0,109209,.9573812484741211,1895,112422,2663275,-.0227537155151367,18719,-1.269810676574707,177156,-.1356430053710938,225263,-.4729795455932617,1860681,.0784416198730469,64354,-.6081571578979492,100903,1.084714889526367,5101030,-.2329254150390625,207465,.2525272369384766,1036393,-.2193727493286133,135983,1929478,.2826461791992188,5089126,-.1291971206665039,34212,-.5017528533935547,8948225,.0610733032226563,2140806,.6376523971557617,6284,-.3090934753417969,58274,.7519159317016602,20573,.2864351272583008,4620,.1544036865234375,142892,-.3477468490600586,784697,-.0764036178588867,2151293,.3385076522827148,56986,-.2695760726928711,2586860,-.2680206298828125,341472,8441,1.985543727874756,1017244,.4691476821899414,0,19678042,.0607814788818359,195318,-.5563144683837891,4669,.3257350921630859,5853248,.0087471008300781,1983844,-.1427536010742188,2183374,-.1549882888793945,2061155,.1673746109008789,3702370,-.175349235534668,4170649,.3770971298217773,6837,7038,7701,-1.068202018737793,32098,1.060317993164063,6303558,.213047981262207,14603928,-.0124149322509766,3438662,-.0026063919067383,46176,-.654658317565918,581935,-.5190610885620117,matched (3),3836922.5,.88228881,277995.34,410399.03
201009,760719,608,3588,1006195,09,0,0,0,0,0,0,0,1,0,0,0,25214,-1.465864181518555,3919,78842,5679985,.7573919296264648,5495,-1.225700378417969,239817,.3028450012207031,319133,.3483400344848633,1328608,-.3368101119995117,59416,-.0798349380493164,68696,-.3844680786132813,3569740,-.3569498062133789,172899,-.1822547912597656,992724,-.0430498123168945,50028,1433409,-.2971944808959961,4505659,-.1217718124389648,112432,1.189772605895996,7431723,-.1856975555419922,2312471,.0771350860595703,3511,-.5821056365966797,46011,-.2362747192382813,23628,.1384525299072266,1086,-1.447894096374512,133611,-.0671567916870117,601702,-.2655353546142578,2418722,.1171703338623047,159800,1.03111743927002,2684596,.0370855331420898,272649,7104,-.1724433898925781,512177,-.6861820220947266,96256,14164514,-.3287639617919922,104929,-.6213455200195313,3186,-.3821783065795898,9665088,.5015230178833008,3030494,.4236888885498047,2437706,.1101856231689453,1229892,-.5163402557373047,6159566,.509033203125,3824500,-.0866432189941406,3826,5723,1245,-1.822214603424072,12375,-.9531154632568359,5793338,-.0844058990478516,10569722,-.3232975006103516,2577230,-.2883672714233398,83707,.5948629379272461,666424,.1355676651000977,matched (3),2118212,.88228881,311165.5,433554.97
201010,760719,609,3588,1367433,10,0,0,0,0,0,0,0,0,1,0,0,95458,1.331287384033203,6379,307232,5143210,-.0992708206176758,108388,2.981878280639648,154896,-.4371223449707031,209025,-.4231548309326172,1444232,.0834455490112305,63318,.0636062622070313,68691,-.0000724792480469,4632058,.2605085372924805,253760,.3836812973022461,1042190,.0486268997192383,218002,978446,-.3818445205688477,3843126,-.1590480804443359,227716,.7057504653930664,7570037,.0184402465820313,2036897,-.1268892288208008,21549,1.814428329467773,30593,-.4081096649169922,21221,-.1074409484863281,3520,1.175959587097168,234762,.5636396408081055,593250,-.0141468048095703,2716592,.1161394119262695,128330,-.2193174362182617,2712403,.0103054046630859,473304,22225,1.140560150146484,602414,.1622753143310547,26770,16911844,.1772747039794922,88927,-.1654682159423828,4194,.2748889923095703,8668434,-.1088314056396484,1556547,-.6662559509277344,2575958,.0551643371582031,1344034,.0887489318847656,7331824,.1742172241210938,3637590,-.0501070022583008,410,13397,7864,1.843160152435303,29990,.8851861953735352,3355359,-.5461492538452148,7053683,-.4044437408447266,1890217,-.3100242614746094,154842,.6150827407836914,523345,-.2416849136352539,matched (3),3417199.5,.88228881,276386.53,409310.97
