period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1015c440,growth1015c440,Y1052c124,growth1052c124,Y1198c246,growth1198c246,Y1267c484,growth1267c484,Y1397c752,growth1397c752,Y1573c124,growth1573c124,Y1776c752,growth1776c752,Y1779c818,Y1944c203,Y1992c376,Y2017c300,Y2049c600,growth2049c600,Y2101c124,growth2101c124,Y2208c484,growth2208c484,Y2282c484,growth2282c484,Y2322c484,growth2322c484,Y2554c376,Y2901c600,growth2901c600,Y3088c152,growth3088c152,Y3118c208,growth3118c208,Y3262c600,growth3262c600,Y3263c600,growth3263c600,Y3275c484,growth3275c484,Y3340c36,Y3348c372,growth3348c372,Y3411c251,growth3411c251,Y3461c300,growth3461c300,Y3570c484,growth3570c484,Y3615c616,growth3615c616,Y361c152,growth361c152,Y3710c152,growth3710c152,Y3727c152,growth3727c152,Y3909c36,Y3974c344,Y4197c484,growth4197c484,Y4219c440,growth4219c440,Y4251c484,growth4251c484,Y4272c620,growth4272c620,Y4291c376,Y4412c792,growth4412c792,Y4420c352,growth4420c352,Y4506c246,growth4506c246,Y4728c191,growth4728c191,Y4929c428,growth4929c428,Y527c826,growth527c826,Y675c752,growth675c752,Y719c688,growth719c688,Y841c152,growth841c152,Y848c616,growth848c616,Y943c124,growth943c124,_merge,x,r2,s,sf
201001,760720,600,3589,391996,01,0,0,0,0,0,0,0,0,0,0,0,81798,,345560,,187049,,185946,,2916219,,565974,,289534,,4961821,243,856000,6678,1166756,,420625,,2160947,,23325,,2917635,,124000,1850,,792427,,467250,,1174432,,747034,,54124576,,778841,963842,,640357,,314107,,2516221,,5173687,,2665870,,2240378,,103283,,1052339,15170800,156165200,,6756,,4164341,,1483009,,1535000,2316308,,608654,,13913,,93082,,67827,,4573907,,15370572,,15529,,423373504,,12844090,,99731,,matched (3),,.92448646,,
201002,760720,601,3589,911604,02,1,0,0,0,0,0,0,0,0,0,0,146726,.5843143463134766,176373,-.6725645065307617,226215,.1901149749755859,299973,.478236198425293,3619183,.2159605026245117,1045344,.6135530471801758,272523,-.0605497360229492,5103577,2244,550000,74894,510627,-.8263435363769531,598461,.3526191711425781,2109863,-.0239229202270508,87042,1.316864967346191,4275549,.3821392059326172,164000,1002,-.6131877899169922,791195,-.0015554428100586,539490,.1437597274780273,1455815,.2147808074951172,1049018,.3394994735717773,41547880,-.2644424438476563,842246,1288028,.2899398803710938,795373,.2167854309082031,132820,-.8607387542724609,3235946,.2515630722045898,4631410,-.1107244491577148,4050702,.4183588027954102,2787090,.218353271484375,116064,.116668701171875,1157118,9025151,159967984,.0240592956542969,18938,1.030739784240723,1395125,-1.093573570251465,1313717,-.1212120056152344,997000,2998807,.25823974609375,632369,.0382232666015625,27273,.6730737686157227,24939,-1.317048072814941,101567,.4037580490112305,4760686,.0400238037109375,15223715,-.0096015930175781,60184,1.354698181152344,474729664,.1144905090332031,13165720,.0247325897216797,61741,-.4795284271240234,matched (3),1284460.9,.92448646,696577.5,846070.63
201003,760720,602,3589,876541,03,0,1,0,0,0,0,0,0,0,0,0,43392,-1.218292236328125,163498,-.075800895690918,222280,-.017547607421875,387079,.2549371719360352,3570953,-.0134162902832031,1359161,.2625217437744141,174828,-.4439201354980469,5165167,2515,1155000,158245,561834,.0955677032470703,646255,.0768327713012695,1812271,-.1520423889160156,65200,-.2889318466186523,3827661,-.1106586456298828,186000,551,-.5980186462402344,1148696,.372838020324707,582565,.0768165588378906,643722,-.8160543441772461,545472,-.6539583206176758,62562604,.4093227386474609,1088547,2098290,.4880104064941406,790070,-.0066900253295898,370561,1.026022911071777,5236711,.4813718795776367,8220669,.5737905502319336,2776646,-.3776464462280273,2219283,-.227813720703125,148210,.2444887161254883,633849,22150590,200604896,.2263641357421875,10753,-.5659856796264648,3622339,.9541358947753906,1572932,.1800804138183594,2007000,2626543,-.1325454711914063,808909,.2462129592895508,8822,-1.12864875793457,36756,.3878679275512695,239834,.8592281341552734,5123728,.073491096496582,13522054,-.1185321807861328,12135,-1.601313591003418,117167080,-1.399145126342773,15083124,.1359596252441406,191527,1.132080078125,matched (3),1669620,.92448646,656214,813161.81
201004,760720,603,3589,793862,04,0,0,1,0,0,0,0,0,0,0,0,104160,.8756532669067383,119091,-.3169126510620117,295385,.2843418121337891,232148,-.5112543106079102,2832068,-.2318248748779297,1049233,-.2588081359863281,564638,1.172382354736328,4587602,1193,580000,32085,818706,.3765182495117188,779166,.1870298385620117,1327348,-.3113975524902344,200127,1.121492385864258,4850865,.236903190612793,151000,2622,1.559957981109619,1476795,.2512474060058594,660597,.1257028579711914,842411,.2690010070800781,598981,.0935783386230469,51808496,-.1886138916015625,0,977891,-.7634792327880859,780704,-.0119256973266602,315952,-.1594276428222656,4071180,-.2517604827880859,5638260,-.3770761489868164,2009130,-.3235416412353516,2138436,-.037109375,29622,-1.610113143920898,0,17450488,159832208,-.2272129058837891,8093,-.2841854095458984,1121418,-1.172526359558106,1881626,.1791954040527344,1701000,1339712,-.6732139587402344,491992,-.4972238540649414,15164,.5416755676269531,24009,-.4258718490600586,138354,-.5501308441162109,3656736,-.3373117446899414,10081545,-.2936153411865234,8381,-.3701257705688477,117723856,.0047416687011719,17046040,.1223411560058594,86805,-.7913637161254883,matched (3),2531241.8,.92448646,391786.66,619767.75
201005,760720,604,3589,860079,05,0,0,0,1,0,0,0,0,0,0,0,57608,-.5922660827636719,227784,.6485099792480469,149513,-.6808967590332031,242237,.04254150390625,3320044,.158970832824707,1129797,.0739784240722656,521680,-.0791311264038086,2916574,1633,1001000,73469,677586,-.1891889572143555,645357,-.188420295715332,1309822,-.0132923126220703,57242,-1.251664161682129,5631847,.1492805480957031,103000,8799,1.210700988769531,1793948,.1945438385009766,390868,-.5247735977172852,842062,-.0004138946533203,513941,-.1531209945678711,52217848,.0078697204589844,0,786985,-.217188835144043,738194,-.0559892654418945,265543,-.1738128662109375,4367344,.0702219009399414,4741814,-.1731557846069336,4035048,.6973161697387695,2542607,.1731147766113281,94931,1.164633750915527,0,17520268,162490656,.0164966583251953,14363,.5736560821533203,1886083,.5199089050292969,1436872,-.2696676254272461,2159000,2064368,.4323692321777344,783113,.4648151397705078,10487,-.3687877655029297,46127,.6529693603515625,148555,.0711393356323242,5821506,.4649877548217773,7403601,-.3087396621704102,29858,1.270484924316406,371149728,1.148263931274414,11542592,-.3898735046386719,163021,.6302146911621094,matched (3),1368721.9,.92448646,525652.63,711987.31
201006,760720,605,3589,1142953,06,0,0,0,0,1,0,0,0,0,0,0,136243,.8607778549194336,224097,-.0163183212280273,261610,.5594720840454102,211816,-.1341981887817383,1763425,-.6327199935913086,849330,-.2853460311889648,188746,-1.01665210723877,6582312,1794,1081000,105848,1142342,.5222997665405273,954189,.3910579681396484,1447171,.0997200012207031,257937,1.505427360534668,5830618,.0346851348876953,300000,11269,.2474174499511719,1606928,-.1100940704345703,413381,.055999755859375,866155,.0282096862792969,517109,.0061445236206055,64553360,.2120685577392578,0,1046288,.2847938537597656,913640,.2132301330566406,187818,-.3463039398193359,4566703,.0446367263793945,15533413,1.18657398223877,4165498,.0318183898925781,1962175,-.2591361999511719,154596,.4876642227172852,0,10503386,215060640,.2802982330322266,45745,1.158427238464356,2890932,.4270763397216797,1739614,.1911945343017578,2278000,1299137,-.4631242752075195,564369,-.3275690078735352,19507,.6206369400024414,27473,-.5181951522827148,207750,.3353805541992188,6585376,.1232929229736328,17196800,.8427572250366211,22435,-.2858304977416992,331456704,-.1131095886230469,14930467,.2573604583740234,259567,.4651355743408203,matched (3),2010762.8,.92448646,493800.81,688806.56
201007,760720,606,3589,910218,07,0,0,0,0,0,1,0,0,0,0,0,128359,-.0596084594726563,189926,-.1654453277587891,162258,-.4776678085327148,152382,-.3293275833129883,1238029,-.3537378311157227,1245048,.382481575012207,84732,-.800908088684082,4539224,3348,1206000,28943,829419,-.3201103210449219,796490,-.1806468963623047,2193548,.4159097671508789,286374,.104583740234375,5787760,-.0073776245117188,83000,35197,1.138904571533203,1218379,-.2768030166625977,324426,-.2423124313354492,405863,-.7580480575561523,343312,-.4096136093139648,49486364,-.2657966613769531,1812692,1841304,.5652256011962891,1156695,.2358856201171875,261455,.3307886123657227,3787686,-.1870365142822266,3492678,-1.492324829101563,2172403,-.6510019302368164,2731118,.330657958984375,376514,.8901405334472656,992801,10638950,157840320,-.3093357086181641,33041,-.3253335952758789,3954680,.3133211135864258,1383032,-.2293853759765625,1674000,1243600,-.0436897277832031,533890,-.0555181503295898,767,-3.236042022705078,15549,-.5692071914672852,287847,.3260936737060547,4806750,-.3148307800292969,4074930,-1.43986988067627,39249,.5593042373657227,271719808,-.1987247467041016,14431699,-.0339775085449219,189052,-.3169927597045898,matched (3),3182038.8,.92448646,387011.34,616760.13
201008,760720,607,3589,1794954,08,0,0,0,0,0,0,1,0,0,0,0,105131,-.1996240615844727,223385,.1622629165649414,211960,.2672100067138672,246518,.4810447692871094,3994449,1.171385765075684,879333,-.3477649688720703,562559,1.893002510070801,6296770,6071,1394000,47244,919467,.1030683517456055,603920,-.2767724990844727,1675808,-.2692251205444336,652599,.823664665222168,5019924,-.1423301696777344,147000,4747,-2.003447532653809,1345998,.099614143371582,528837,.4886226654052734,1227655,1.106845855712891,1388446,1.397300720214844,58379276,.1652641296386719,734419,1783173,-.0320796966552734,1558757,.2983217239379883,129525,-.702387809753418,4631103,.2010402679443359,11820796,1.219192504882813,3200968,.3876190185546875,3798964,.33001708984375,233751,-.4766988754272461,1528335,11405857,182303536,.1440887451171875,55401,.5168485641479492,3171092,-.2208242416381836,1459391,.053741455078125,2575000,1868042,.4068803787231445,584832,.0911340713500977,17892,3.149621963500977,131543,2.135337829589844,264742,-.0836734771728516,5534334,.1409502029418945,10281388,.925480842590332,43818,.1101188659667969,414425120,.4221210479736328,23358348,.4815273284912109,87111,-.7748394012451172,matched (3),2639382.5,.92448646,463862.66,667670.44
201009,760720,608,3589,795960,09,0,0,0,0,0,0,0,1,0,0,0,104903,-.002171516418457,143970,-.4392919540405273,132374,-.4707660675048828,288270,.1564617156982422,2752259,-.3724842071533203,714667,-.2073469161987305,588894,.0457496643066406,4689938,90,326000,23538,467539,-.6763114929199219,501592,-.1856546401977539,1347891,-.2177543640136719,281747,-.8399534225463867,5282865,.0510540008544922,130000,2900,-.4928021430969238,1228021,-.0917320251464844,465815,-.1268911361694336,731940,-.5171623229980469,129784,-2.370068550109863,55317040,-.0538787841796875,999195,1424472,-.2245931625366211,687133,-.8191165924072266,296987,.8298139572143555,4529783,-.0221214294433594,5358455,-.7911853790283203,2996698,-.0659418106079102,3060335,-.2162036895751953,105112,-.7992305755615234,1024213,9467145,216583424,.1723041534423828,31076,-.5781612396240234,2276285,-.3315315246582031,1335185,-.0889492034912109,1238000,1305921,-.3579816818237305,466906,-.2251958847045898,8933,-.6946010589599609,60933,-.7695589065551758,211777,-.2232217788696289,6750498,.1986455917358398,8910176,-.1431407928466797,30087,-.3759517669677734,364482144,-.1284160614013672,15667596,-.3993606567382813,249407,1.05190372467041,matched (3),2001043.1,.92448646,338337.59,587441.56
201010,760720,609,3589,1097214,10,0,0,0,0,0,0,0,0,1,0,0,105308,.0038537979125977,276036,.6509265899658203,257831,.6666727066040039,155965,-.6142654418945313,5031423,.6032810211181641,1249886,.558990478515625,964702,.4935731887817383,4441805,89469,1686000,69263,1154246,.9037199020385742,599235,.1778669357299805,1570874,.1530904769897461,443415,.453495979309082,4089560,-.2560319900512695,196000,33849,2.457198619842529,1425913,.1494083404541016,420815,-.1015958786010742,1487705,.7092914581298828,976176,2.017770767211914,51592480,-.0697059631347656,600978,1563831,.0933380126953125,778357,.1246576309204102,446511,.40777587890625,10080773,.7999563217163086,10404948,.663604736328125,3130085,.043548583984375,3360992,.0937118530273438,193856,.6120891571044922,1188281,12262586,203127216,-.0641441345214844,19116,-.4859104156494141,3683724,.481379508972168,1396429,.0448474884033203,2548000,1460272,.1117134094238281,927320,.6861705780029297,9464,.0577430725097656,13435,-1.511912345886231,340623,.4752416610717773,7011481,.0379323959350586,13127745,.3875331878662109,50515,.5181770324707031,607299264,.5105457305908203,18196370,.149627685546875,151422,-.4990158081054688,matched (3),5529088.5,.92448646,752841.5,892964.5
