period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1168c703,Y1319c251,growth1319c251,Y1489c620,growth1489c620,Y1515c484,growth1515c484,Y1554c703,growth1554c703,Y1571c203,Y1610c688,growth1610c688,Y1705c554,Y1762c222,growth1762c222,Y1821c348,growth1821c348,Y1848c372,growth1848c372,Y2134c348,growth2134c348,Y2305c124,Y2633c152,growth2633c152,Y2643c807,growth2643c807,Y2742c703,growth2742c703,Y2854c703,growth2854c703,Y2911c440,growth2911c440,Y2967c208,growth2967c208,Y2c554,Y3028c792,growth3028c792,Y3063c233,Y3064c203,Y3066c586,growth3066c586,Y329c352,growth329c352,Y3362c752,growth3362c752,Y3415c688,growth3415c688,Y3486c442,Y3658c251,growth3658c251,Y3682c554,Y3686c616,growth3686c616,Y3741c222,growth3741c222,Y3824c752,growth3824c752,Y3938c807,growth3938c807,Y4159c124,growth4159c124,Y4532c268,growth4532c268,Y4740c32,Y4754c818,Y488c372,growth488c372,Y4892c68,growth4892c68,Y4956c203,Y4958c68,growth4958c68,Y4984c818,Y5016c36,Y558c757,growth558c757,Y875c826,growth875c826,Y974c300,growth974c300,Y977c32,Y991c616,growth991c616,Y992c826,growth992c826,_merge,x,r2,s,sf
201001,760820,600,3591,1197775,01,0,0,0,0,0,0,0,0,0,0,0,14099,1990466,,17585,,3884522,,82037,,457376,183023,,91129,60057,,302862,,328214,,373127,,135638,488021,,6677,,675061,,10817,,13160,,1998,,6894704,539455,,19369,20534,73516,,989,,1301691,,49683,,8077,49217,,65027,637832,,3261,,10204034,,17309,,2059311,,318722,,15360,516219,467991,,861,,68010,5981,,8503,311077,3904,,13886527,,81181,,146220,92582,,537640,,matched (3),,.8216542,,
201002,760820,601,3591,1020479,02,1,0,0,0,0,0,0,0,0,0,0,0,800983,-.9102849960327148,11727,-.4051523208618164,3393765,-.1350593566894531,8128,-2.311855316162109,439102,320908,.5615425109863281,55712,71555,.1751718521118164,321786,.0606088638305664,316900,-.0350790023803711,221248,-.5226345062255859,24578,243825,-.6939077377319336,500,-2.591815948486328,446984,-.4122810363769531,16941,.4486169815063477,5770,-.8245105743408203,88893,3.795286178588867,3428412,457629,-.1645002365112305,15687,40683,6728,-2.39122486114502,2472,.9160885810852051,980015,-.2838516235351563,145313,1.073226928710938,17749,148940,1.107304573059082,75346,332296,-.6520490646362305,4415,.302973747253418,9513202,-.0701026916503906,12058,-.3614978790283203,1108046,-.6197729110717773,130822,-.8904809951782227,61701,355420,924436,.6807346343994141,335,-.9439640045166016,22196,4347,-.3191022872924805,15082,194646,760,-1.636438846588135,10825526,-.2490119934082031,53916,-.4092540740966797,45444,52479,-.5676813125610352,350065,-.4290704727172852,matched (3),-25231.975,.8216542,52893.352,89825.086
201003,760820,602,3591,1259562,03,0,1,0,0,0,0,0,0,0,0,0,3181,1859373,.8421554565429688,156061,2.588353157043457,8090604,.8687629699707031,25581,1.14653491973877,387267,693343,.7703704833984375,131327,164921,.8350000381469727,296631,-.0813970565795898,515166,.4859027862548828,223748,.0112361907958984,47235,956712,1.367051124572754,2955,1.776645660400391,1302783,1.069735527038574,4703,-1.281536102294922,10872,.633519172668457,75643,-.1614084243774414,4499836,697414,.4213199615478516,17490,43768,6560,-.0252876281738281,2154,-.1377010345458984,1139780,.1510229110717773,92694,-.4495859146118164,8754,24725,-1.79572868347168,91297,489537,.3874340057373047,1661,-.9775881767272949,12052518,.2365932464599609,103593,2.150741577148438,2591261,.8495464324951172,163028,.2200841903686523,214214,212021,603619,-.4262409210205078,8824,3.271100521087647,7857,4376,.0066490173339844,114444,140168,10278,2.604442119598389,11994513,.1025409698486328,58910,.0885839462280273,11678,52644,.003138542175293,495923,.348301887512207,matched (3),148180.53,.8216542,76971.023,105808.21
201004,760820,603,3591,1583892,04,0,0,1,0,0,0,0,0,0,0,0,3057,877038,-.7514448165893555,9043,-2.84825611114502,3844222,-.7441320419311523,26869,.0491237640380859,359434,106482,-1.87354850769043,347520,78826,-.7382240295410156,284766,-.0408210754394531,164357,-1.142448425292969,184959,-.1903858184814453,10404,667678,-.3596963882446289,2483,-.1740312576293945,633956,-.7202787399291992,12965,1.014053344726563,7592,-.359095573425293,2708,-3.329814434051514,7043011,625312,-.1091279983520508,29939,56192,15016,.8281259536743164,1238,-.5538291931152344,2200807,.6579885482788086,51853,-.5808916091918945,4465,639628,3.253071784973145,129274,451008,-.081974983215332,1788,.0736780166625977,13590340,.1200847625732422,40051,-.9503164291381836,1522458,-.5318183898925781,45520,-1.27577018737793,101571,511956,742568,.2071714401245117,2618,-1.215065002441406,3486,8617,.6776018142700195,46526,0,5830,-.5669879913330078,11793547,-.0168952941894531,228561,1.355792045593262,86225,31146,-.5248661041259766,563070,.126983642578125,matched (3),31943.055,.8216542,45125.66,85481.953
201005,760820,604,3591,2125582,05,0,0,0,1,0,0,0,0,0,0,0,50,725974,-.1890354156494141,38072,1.437488555908203,4424005,.1404743194580078,31535,.1601247787475586,404883,195394,.6070423126220703,82637,99958,.2375078201293945,276809,-.0283403396606445,155974,-.0523519515991211,158856,-.1521358489990234,78253,406615,-.4959392547607422,662,-1.321957111358643,834620,.2749977111816406,6493,-.6915292739868164,3978,-.6463165283203125,113481,3.735425472259522,6867152,612852,-.0201272964477539,48527,22129,39435,.9655370712280273,1662,.2945246696472168,2733222,.2166566848754883,52557,.0134859085083008,5614,788354,.2090606689453125,93237,279559,-.478271484375,6625,1.309752941131592,11067103,-.2053813934326172,61486,.4286556243896484,1501734,-.0137062072753906,77251,.5289077758789063,51114,279001,1051653,.3480033874511719,10388,1.378240585327148,52320,41409,1.569761276245117,57107,0,1752,-1.202259063720703,15048067,.2436962127685547,143723,-.4639158248901367,35214,14179,-.7869243621826172,566126,.0054121017456055,matched (3),5877.6968,.8216542,79671.305,107788.48
201006,760820,605,3591,2246530,06,0,0,0,0,1,0,0,0,0,0,0,9692,1691636,.8459367752075195,73484,.657588005065918,7162208,.4817724227905273,64136,.7099075317382813,612418,151915,-.2516975402832031,76900,126061,.2320156097412109,300209,.081151008605957,274967,.5669622421264648,201222,.2364101409912109,153327,764056,.6307744979858398,9052,2.615475177764893,944659,.1238470077514648,6128,-.0578556060791016,3152,-.2327413558959961,115333,.0161876678466797,8849856,1084020,.570307731628418,58020,10754,44910,.1300067901611328,1763,.0589947700500488,1908604,-.3591089248657227,95410,.5962848663330078,19116,940301,.1762523651123047,94364,545181,.6679039001464844,8221,.2158412933349609,10622106,-.0410404205322266,50426,-.1983022689819336,2546677,.5281686782836914,183766,.8666038513183594,269749,177834,854329,-.2078018188476563,701,-2.695898532867432,3809,7228,-1.745535850524902,150973,0,11122,1.848166465759277,14044598,-.0690116882324219,82496,-.5551376342773438,78485,40857,1.058316230773926,645231,.1307916641235352,matched (3),70518.203,.8216542,70450.883,101164.05
201007,760820,606,3591,1620547,07,0,0,0,0,0,1,0,0,0,0,0,2402,1099999,-.4303865432739258,6917,-2.36308479309082,7555156,.0534124374389648,16407,-1.363297462463379,287893,127954,-.1716499328613281,138644,129806,.0292749404907227,150770,-.6887235641479492,312929,.1293249130249023,162960,-.2109041213989258,130064,698767,-.0893239974975586,1259,-1.972667694091797,653912,-.3678512573242188,12344,.7003011703491211,11885,1.327239990234375,98648,-.1562652587890625,1825520,819601,-.2796134948730469,11500,9226,109502,.8912820816040039,1614,-.0883011817932129,1615791,-.1665477752685547,87166,-.0903692245483398,11897,48327,-2.968209266662598,109868,456718,-.1770515441894531,5769,-.3541927337646484,8336344,-.2423124313354492,13053,-1.351489067077637,2143335,-.1724262237548828,165365,-.1055088043212891,98160,148467,484183,-.5678529739379883,1059,.4125723838806152,22528,7103,-.0174446105957031,327217,373839,1285,-2.15816593170166,11911225,-.1647567749023438,100424,.1966514587402344,52999,52800,.2564334869384766,430421,-.4048442840576172,matched (3),-25368.762,.8216542,43920.82,84852.094
201008,760820,607,3591,1954460,08,0,0,0,0,0,0,1,0,0,0,0,4280,1229351,.1111764907836914,101149,2.682612419128418,8970704,.1717329025268555,78916,1.570675849914551,340080,202951,.4612941741943359,240608,312745,.8793478012084961,278282,.612879753112793,338586,.0788021087646484,200307,.2063465118408203,163776,521821,-.2919921875,270,-1.539650917053223,971513,.3958816528320313,40812,1.195806503295898,20954,.567051887512207,188654,.6483564376831055,624665,1285869,.4503717422485352,25923,22494,33516,-1.183919906616211,1405,-.1386780738830566,2335467,.3683872222900391,89000,.0208225250244141,8443,445473,2.221146583557129,169353,393473,-.1490535736083984,13458,.8470745086669922,12437611,.4000997543334961,5157,-.9286632537841797,2542104,.1706295013427734,169581,.0251760482788086,71674,405257,902919,.6231698989868164,1894,.5813660621643066,29004,7911,.1077365875244141,147679,443497,4170,1.177157402038574,14563426,.2010326385498047,105200,.0464620590209961,101268,13896,-1.334910392761231,711058,.5019903182983398,matched (3),184737.09,.8216542,91463.852,116775.32
201009,760820,608,3591,1096480,09,0,0,0,0,0,0,0,1,0,0,0,3596,1334538,.0820989608764648,86571,-.1556301116943359,3955113,-.8189544677734375,71556,-.0979032516479492,440691,408061,.6984519958496094,82835,78224,-1.385811805725098,221332,-.2289714813232422,314298,-.0744361877441406,152238,-.2744054794311523,162806,468575,-.1076288223266602,265,-.0186920166015625,448090,-.773859977722168,67959,.5099277496337891,10248,-.7152471542358398,265946,.343379020690918,3251569,991643,-.25982666015625,18550,34985,31730,-.0547599792480469,1675,.1757755279541016,4081216,.5581836700439453,183858,.7255268096923828,9346,181577,-.8974571228027344,173320,558872,.3509082794189453,8475,-.4624528884887695,23061232,.6174278259277344,41906,2.095074653625488,1802437,-.3438529968261719,155289,-.088043212890625,66831,332993,749697,-.1859636306762695,1006,-.6327090263366699,32278,3379,-.8506746292114258,204903,458650,18210,1.474054336547852,14744810,.0123767852783203,3429,-3.423594474792481,115740,41830,1.102012634277344,659406,-.0754146575927734,matched (3),123243.28,.8216542,83432.234,110597.36
201010,760820,609,3591,560247,10,0,0,0,0,0,0,0,0,1,0,0,26168,1105353,-.188420295715332,34226,-.9279794692993164,3766125,-.0489625930786133,31213,-.829646110534668,528558,88684,-1.526337623596191,121898,170451,.7788715362548828,217085,-.0193748474121094,270908,-.1485624313354492,142750,-.0643510818481445,73656,439922,-.0630989074707031,18,-2.689358234405518,852414,.6430778503417969,10937,-1.826752662658691,10240,-.0007810592651367,105659,-.9230766296386719,1188605,897429,-.0998287200927734,130993,37647,11846,-.9852724075317383,1472,-.1291909217834473,2985340,-.3126811981201172,97370,-.6356449127197266,6865,53517,-1.221680641174316,27316,379583,-.3868474960327148,8131,-.0414371490478516,13091113,-.5662193298339844,44872,.0683841705322266,1372944,-.272181510925293,207760,.2910957336425781,42857,373858,708823,-.0560636520385742,5309,1.663421630859375,52531,9863,1.071210861206055,169164,402894,697,-3.262940406799316,12285434,-.1824760437011719,185247,3.989420890808106,53653,64162,.4277973175048828,555852,-.17083740234375,matched (3),103738.59,.8216542,44302.164,85050.109
