period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y107c124,growth107c124,Y1094c792,growth1094c792,Y1212c300,growth1212c300,Y1214c191,Y1344c372,growth1344c372,Y1626c608,Y1742c792,growth1742c792,Y1756c826,growth1756c826,Y2073c705,Y2162c381,Y2213c381,Y2266c428,Y2638c428,growth2638c428,Y2641c826,growth2641c826,Y2757c251,growth2757c251,Y2868c251,growth2868c251,Y2871c705,growth2871c705,Y2984c124,growth2984c124,Y2986c484,growth2986c484,Y3008c381,Y3012c620,growth3012c620,Y3019c246,growth3019c246,Y3057c68,growth3057c68,Y3127c752,growth3127c752,Y3147c586,growth3147c586,Y356c246,growth356c246,Y3735c826,growth3735c826,Y3790c792,growth3790c792,Y3826c600,growth3826c600,Y3833c620,growth3833c620,Y3879c807,Y3912c68,growth3912c68,Y4029c428,growth4029c428,Y4225c688,growth4225c688,Y4266c688,growth4266c688,Y4289c554,Y4365c251,growth4365c251,Y4378c251,growth4378c251,Y4395c218,Y4626c222,growth4626c222,Y4770c68,growth4770c68,Y4885c300,growth4885c300,Y4937c251,growth4937c251,Y4990c792,growth4990c792,Y4992c300,growth4992c300,Y544c300,growth544c300,Y560c703,growth560c703,Y933c124,Y965c586,growth965c586,Y992c68,growth992c68,_merge,x,r2,s,sf
201001,760900,600,3592,798738,01,0,0,0,0,0,0,0,0,0,0,0,4312608,,241344,,99089,,4528,2202070,,1293386,19688,,3345187,,198511,902579,419304,4976,34508,,1118327,,9936076,,998401,,5573,,6192936,,372083,,108336,8362,,57336,,3807,,55666,,8692,,1827,,1472755,,1034481,,118365,,668115,,13647,15125,,4434,,115546,,90387,,86561,402094,,583521,,222154,60269,,23103,,298110,,6019230,,276420,,239290,,223379,,4095,,154345,20360,,166429,,matched (3),,.92442697,,
201002,760900,601,3592,667043,02,1,0,0,0,0,0,0,0,0,0,0,3527739,-.2008857727050781,44717,-1.685869216918945,16804,-1.774401664733887,8957,992448,-.7969779968261719,494434,14427,-.310908317565918,2754443,-.1943073272705078,158721,1708704,165963,5617,45605,.2788267135620117,754443,-.3936090469360352,8540974,-.1512975692749023,568569,-.5630321502685547,27275,1.588037490844727,4921958,-.2297029495239258,311078,-.1790733337402344,166114,699,-2.481802463531494,38357,-.4019918441772461,34931,2.216533660888672,102769,.6131143569946289,2624,-1.197702884674072,629,-1.066298961639404,1257917,-.1576776504516602,171620,-1.796372413635254,79604,-.3967084884643555,1433217,.7632169723510742,130218,20653,.3115110397338867,6067,.3135623931884766,754879,1.876889228820801,29022,-1.136046409606934,926997,327082,-.2064743041992188,595828,.0208721160888672,198123,20802,-1.06376838684082,72302,1.140889167785645,212202,-.3399238586425781,7399512,.2064552307128906,278574,.0077629089355469,318256,.2851800918579102,133299,-.5162754058837891,2518,-.4863018989562988,112996,2082,-2.280243396759033,109668,-.4171104431152344,matched (3),1223401.1,.92442697,137122.19,229062.56
201003,760900,602,3592,856108,03,0,1,0,0,0,0,0,0,0,0,0,4699886,.2868804931640625,218774,1.587685585021973,180319,2.373110771179199,15666,1051925,.0582027435302734,754256,26987,.6262540817260742,3768982,.3135900497436523,197117,817296,384766,15127,15847,-1.057037353515625,920078,.1984786987304688,8289461,-.0298900604248047,538185,-.0549211502075195,44208,.4829349517822266,5010941,.0179176330566406,243928,-.2431697845458984,239094,8977,2.552770137786865,86272,.8105678558349609,7090,-1.59468936920166,92035,-.1103153228759766,6260,.8694806098937988,10358,2.801383495330811,2095414,.5102939605712891,304894,.5746822357177734,150470,.6366996765136719,1805250,.2307777404785156,11711,6931,-1.091856002807617,6170,.0168342590332031,783170,.0367918014526367,30307,.0433244705200195,57472,449725,.318425178527832,531158,-.1148929595947266,647967,26703,.2497272491455078,89210,.2101411819458008,180782,-.1602468490600586,11167762,.4116172790527344,287057,.0299968719482422,369963,.1505470275878906,214247,.4745349884033203,2501,-.0067744255065918,90290,73499,3.563942432403565,120836,.0969762802124023,matched (3),2327275,.92442697,232826.64,296437.88
201004,760900,603,3592,890556,04,0,0,1,0,0,0,0,0,0,0,0,3804254,-.2114181518554688,268014,.2030000686645508,17618,-2.325806617736816,7311,3978593,1.330306053161621,369902,58733,.7776460647583008,2663480,-.3471717834472656,224136,1494878,162461,8998,18165,.1365165710449219,1284699,.3338212966918945,5619918,-.3886680603027344,334898,-.4743757247924805,16210,-1.003277778625488,3910127,-.2480545043945313,222189,-.0933446884155273,245334,149,-4.098474502563477,71745,-.1843862533569336,11807,.5100069046020508,28196,-1.182988166809082,6934,.1022567749023438,4371,-.8627681732177734,1207578,-.5511341094970703,303171,-.0056676864624023,40980,-1.300680160522461,779178,-.840214729309082,9122,16978,.8959140777587891,4211,-.3819990158081055,1194991,.4225444793701172,19945,-.4183998107910156,79078,389829,-.1429281234741211,840850,.4593544006347656,226490,6268,-1.449318885803223,31184,-1.051088333129883,94390,-.6498565673828125,5041617,-.7953052520751953,234040,-.2041893005371094,372922,.0079660415649414,53859,-1.380760192871094,980049,5.970911979675293,79827,42508,-.5475788116455078,205857,.5327472686767578,matched (3),1255270,.92442697,140500.17,231100.55
201005,760900,604,3592,1082596,05,0,0,0,1,0,0,0,0,0,0,0,5353989,.3417224884033203,324452,.1910982131958008,305631,2.853457450866699,11841,4729271,.1728429794311523,2533744,52350,-.1150493621826172,2695131,.0118131637573242,264075,780831,505680,37946,3348,-1.691133499145508,1407578,.0913457870483398,6005166,.0663032531738281,432123,.2548837661743164,59993,1.308600425720215,8064980,.7239618301391602,403916,.5976781845092773,161067,15543,4.647418975830078,103899,.37030029296875,10920,-.0780963897705078,172005,1.808342933654785,3178,-.7801847457885742,8917,.7129678726196289,1358234,.1175680160522461,325694,.0716609954833984,66505,.4841928482055664,954211,.2026453018188477,37002,38830,.827275276184082,16900,1.389614105224609,102328,-2.457711219787598,78727,1.373007774353027,79646,405875,.0403366088867188,198806,-1.442084312438965,679732,69238,2.402091979980469,47105,.4124746322631836,186498,.6809854507446289,4653010,-.0802125930786133,409062,.558375358581543,381524,.0228042602539063,45890,-.1601228713989258,8339,-4.766658782958984,108639,66454,.4468173980712891,134995,-.4219436645507813,matched (3),1440100.8,.92442697,241247.02,303096.16
201006,760900,605,3592,816563,06,0,0,0,0,1,0,0,0,0,0,0,3919283,-.3119335174560547,96078,-1.216977119445801,79517,-1.346407890319824,3928,3004490,-.4536638259887695,234139,34307,-.422602653503418,2300867,-.1581602096557617,201464,673771,228456,5105,8691,.9539251327514648,781047,-.5889902114868164,10507298,.5594511032104492,1489010,1.237156867980957,47501,-.2334775924682617,6229500,-.258234977722168,181546,-.7996978759765625,149134,1726,-2.197803497314453,32532,-1.161194801330566,29961,1.009300231933594,87110,-.6803522109985352,1460,-.7778158187866211,6213,-.3613157272338867,1673777,.208897590637207,322833,-.0088224411010742,62036,-.0695619583129883,100717,-2.248570442199707,8020,33718,-.1411619186401367,9493,-.5767593383789063,663624,1.869532585144043,66046,-.1756353378295898,8810,379641,-.0668191909790039,161353,-.2087345123291016,449154,14635,-1.554133415222168,35929,-.2708349227905273,100709,-.616185188293457,4496095,-.0343046188354492,405357,-.009099006652832,311598,-.2024593353271484,96058,.7387056350708008,1477,-1.730930805206299,195239,6799,-2.279734611511231,125472,-.073155403137207,matched (3),1361089.3,.92442697,126852.95,223066.88
201007,760900,606,3592,979201,07,0,0,0,0,0,1,0,0,0,0,0,3839627,-.020533561706543,122656,.2442235946655273,107094,.2977361679077148,11158,2397494,-.2256832122802734,356281,100410,1.073912620544434,2642826,.1385622024536133,294560,1978104,487552,7487,19584,.8124246597290039,1703922,.7800521850585938,11504341,.0906543731689453,1132647,-.2735538482666016,20337,-.8483085632324219,4773013,-.2663183212280273,356876,.6758794784545898,50372,4009,.8427352905273438,37606,.1449394226074219,12298,-.8904600143432617,95108,.0878419876098633,26352,2.893107414245606,8408,.3025398254394531,2321058,.3269405364990234,385873,.1783723831176758,69465,.1131086349487305,156538,.440983772277832,20695,9376,-1.279878616333008,20032,.7467765808105469,774737,.1548080444335938,308060,1.539943695068359,445247,244664,-.4393396377563477,340603,.7471227645874023,254657,4728,-1.129913330078125,78564,.7823686599731445,159753,.4613933563232422,4581049,.0187187194824219,363175,-.1098833084106445,393211,.2326326370239258,62703,-.4265432357788086,2594,.5631880760192871,88787,60004,2.17763614654541,149641,.1761569976806641,matched (3),1972176.8,.92442697,219920.44,286412.56
201008,760900,607,3592,1178350,08,0,0,0,0,0,0,1,0,0,0,0,4759647,.2147979736328125,511720,1.428393363952637,580,-5.218433856964111,4660,4242517,.5707321166992188,671344,78474,-.2464942932128906,6618240,.9179811477661133,254247,653785,1560,772,24005,.2035493850708008,1079369,-.4565563201904297,16307705,.3489131927490234,1622475,.3593950271606445,43696,.7648143768310547,4226205,-.121673583984375,252421,-.3462905883789063,70022,12066,1.101849555969238,50892,.3025426864624023,61000,1.601437568664551,42230,-.8118820190429688,1454,-2.897225856781006,7373,-.1313591003417969,1679039,-.3238010406494141,478416,.2149724960327148,69391,-.0010662078857422,55583,-1.035421371459961,21813,54324,1.756813049316406,18522,-.0783720016479492,641404,-.1888637542724609,18182,-2.829862594604492,93614,495115,.7049036026000977,446105,.26983642578125,323371,33281,1.951483726501465,86244,.0932674407958984,111491,-.359684944152832,4893310,.0659408569335938,300411,-.1897335052490234,620502,.4561824798583984,155190,.9062404632568359,655526,5.532237052917481,264329,116333,.6620454788208008,199022,.2851762771606445,matched (3),1654678.9,.92442697,170922.03,250761.84
201009,760900,608,3592,926710,09,0,0,0,0,0,0,0,1,0,0,0,4085142,-.1528167724609375,108476,-1.551248550415039,143382,5.510240077972412,4486,4062025,-.0434741973876953,573123,33273,-.8580217361450195,2441467,-.9972305297851563,221990,2796693,397636,4000,24148,.0059394836425781,1137815,.0527334213256836,13475588,-.1907596588134766,1481942,-.0905990600585938,100708,.8349685668945313,3922749,-.0745115280151367,557968,.7932033538818359,59671,5194,-.8428869247436523,4886,-2.343332290649414,14330,-1.448518753051758,70950,.5188446044921875,32034,3.092479228973389,6729,-.0913972854614258,1808229,.0741262435913086,1063115,.7984781265258789,101150,.3768472671508789,338187,1.805722236633301,0,24280,-.8053131103515625,22616,.1996984481811523,284011,-.8146467208862305,213822,2.464712142944336,43635,384127,-.2538166046142578,236659,-.6339340209960938,467849,16227,-.7183094024658203,78333,-.0962114334106445,49152,-.8190269470214844,3876603,-.2329092025756836,314900,.0471038818359375,306706,-.7046394348144531,76789,-.7035884857177734,1598,-6.016685009002686,97096,35122,-1.197628974914551,155646,-.2458314895629883,matched (3),1681428,.92442697,181320.64,257961.89
201010,760900,609,3592,949152,10,0,0,0,0,0,0,0,0,1,0,0,4741800,.1490602493286133,129478,.1769819259643555,170252,.1717672348022461,7979,4172096,.0267362594604492,510570,49308,.3933401107788086,3381557,.3257369995117188,163498,1289183,93082,10464,60988,.9264755249023438,1554338,.3119401931762695,11268841,-.1788368225097656,693071,-.7599763870239258,27908,-1.28331184387207,3762534,-.0417003631591797,158017,-1.261598587036133,58103,31004,1.786611557006836,11340,.8419628143310547,29273,.7143106460571289,90706,.2456474304199219,57711,.5886507034301758,6087,-.1002712249755859,1937575,.0690889358520508,711455,-.401646614074707,43298,-.8484983444213867,48776,-1.936361312866211,33824,85702,1.261222839355469,17638,-.2486019134521484,66336,-1.454280853271484,59202,-1.284189224243164,141618,337475,-.129481315612793,383251,.4820699691772461,332240,31640,.6677455902099609,71576,-.0902090072631836,181703,1.307456016540527,3298300,-.1615524291992188,365341,.1485757827758789,294255,-.04144287109375,186581,.8878040313720703,421371,5.574760913848877,135379,88988,.9296731948852539,175853,.1220645904541016,matched (3),1148448.4,.92442697,123949.99,221428.91
