period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1755c124,growth1755c124,Y1771c818,Y1903c381,Y1909c251,growth1909c251,Y1911c251,growth1911c251,Y1911c381,Y1927c251,growth1927c251,Y2133c251,growth2133c251,Y2408c124,growth2408c124,Y2735c251,growth2735c251,Y2768c251,growth2768c251,Y2768c381,Y2771c124,growth2771c124,Y2771c208,growth2771c208,Y2771c381,Y2774c381,Y2775c251,growth2775c251,Y2805c381,Y2809c124,growth2809c124,Y2809c381,Y2813c381,Y2817c124,growth2817c124,Y2817c381,Y2830c251,growth2830c251,Y2843c208,growth2843c208,Y2854c251,growth2854c251,Y2858c251,growth2858c251,Y2882c124,growth2882c124,Y2882c246,growth2882c246,Y2882c381,Y2886c124,growth2886c124,Y2887c124,growth2887c124,Y2888c124,growth2888c124,Y2891c124,growth2891c124,Y2977c124,growth2977c124,Y2982c124,growth2982c124,Y2984c124,growth2984c124,Y2985c124,growth2985c124,Y3010c376,Y3011c251,growth3011c251,Y3235c586,growth3235c586,Y338c124,growth338c124,Y3495c586,growth3495c586,Y3603c124,growth3603c124,Y3984c600,growth3984c600,Y4638c826,growth4638c826,Y4918c124,growth4918c124,Y5014c348,growth5014c348,Y651c381,Y674c620,growth674c620,_merge,x,r2,s,sf
201001,830210,600,3750,15647370,01,0,0,0,0,0,0,0,0,0,0,0,3522171,,190426,74442592,43920432,,29428736,,21924364,2596219,,598318,,1634106,,20240256,,115470352,,95010184,10793903,,4483685,,30544550,8687397,2296710,,7438661,9928291,,37992360,14380220,8869996,,25886900,130156616,,1860026,,1704613,,61006364,,723909,,618282,,2523571,318258,,4966607,,3461240,,61999,,7561042,,6206620,,6192936,,14193104,,210000,5082860,,29915328,,11479347,,26546,,510837,,372260,,15910285,,3056411,,150447,,1188746,263439,,matched (3),,.92455167,,
201002,830210,601,3750,14198115,02,1,0,0,0,0,0,0,0,0,0,0,3523067,.0002546310424805,198510,74316016,43785872,-.0030689239501953,25812092,-.1311302185058594,15888772,1602637,-.4824056625366211,240255,-.9124221801757813,1654271,.0122642517089844,16488651,-.2050018310546875,91199784,-.2359600067138672,75711744,10790060,-.0003566741943359,4025387,-.1078243255615234,26891812,6162465,1257998,-.6019554138183594,4630589,7899522,-.2285861968994141,29600508,8710577,5752944,-.4329624176025391,22314960,120528368,-.0768547058105469,1885833,.0137796401977539,1277990,-.2880496978759766,58126788,-.0483512878417969,678925,-.0641555786132813,213639,-1.062656402587891,1261994,161063,-.6810674667358398,3742587,-.2829599380493164,2365144,-.3807878494262695,19230,-1.170646667480469,7672784,.0146713256835938,5382120,-.1425333023071289,4921958,-.2297029495239258,14033573,-.0113048553466797,219000,4003014,-.238825798034668,8990889,-1.202159881591797,12239023,.0640811920166016,1380,-2.95679521560669,720180,.3434505462646484,410543,.0978879928588867,11356667,-.3371601104736328,2193146,-.331904411315918,175159,.1520833969116211,1031824,183653,-.3607730865478516,matched (3),13667530,.92455167,909318.31,1616238.9
201003,830210,602,3750,13391594,03,0,1,0,0,0,0,0,0,0,0,0,3519845,-.0009145736694336,264115,65590152,47143648,.0738887786865234,17919776,-.3649368286132813,13235400,1453987,-.0973405838012695,819117,1.226526260375977,1523665,-.0822410583496094,19073816,.1456432342529297,65872688,-.3253288269042969,42491420,9182894,-.1612834930419922,3358922,-.1810007095336914,16032703,2394867,1461286,.1497945785522461,2301499,4620929,-.5362062454223633,13722980,4527410,2502289,-.8325061798095703,8638736,118800056,-.0144424438476563,1477176,-.2442378997802734,1161311,-.095738410949707,54006852,-.073516845703125,486593,-.3330821990966797,102012,-.7391977310180664,883125,148888,-.0786008834838867,4039216,.0762739181518555,1241300,-.6446800231933594,5248,-1.298624992370606,6927159,-.1022300720214844,5603264,.0402660369873047,5010941,.0179176330566406,12708163,-.0992069244384766,95000,4447607,.1053180694580078,7857133,-.1347904205322266,8905556,-.3179550170898438,23033,2.814844608306885,460969,-.4461698532104492,297589,-.3217668533325195,11844620,.0420684814453125,2205644,.0056829452514648,140996,-.2169618606567383,1365336,153999,-.1761026382446289,matched (3),16364615,.92455167,938076.25,1632591.6
201004,830210,603,3750,14339154,04,0,0,1,0,0,0,0,0,0,0,0,3445957,-.0212154388427734,244401,36439368,43003388,-.0919208526611328,11091091,-.4797630310058594,11849980,1810308,.2191877365112305,1168119,.3549232482910156,1221467,-.2210664749145508,16559301,-.1413669586181641,42117796,-.4472541809082031,25222914,6755502,-.3069839477539063,2382441,-.3434953689575195,11656292,2470476,852220,-.5392274856567383,2346817,3123228,-.3917293548583984,7286508,3929046,1799349,-.3297815322875977,4484902,86698168,-.3150100708007813,713544,-.7276430130004883,501193,-.8403139114379883,33646436,-.4732036590576172,334999,-.3733005523681641,51553,-.6824798583984375,726523,68123,-.7818794250488281,2597352,-.4415578842163086,746596,-.5083904266357422,6421,.2017269134521484,4366012,-.4615993499755859,4024031,-.3310642242431641,3910127,-.2480545043945313,9585494,-.2819938659667969,115000,2659766,-.5141277313232422,16069169,.7154808044433594,7357545,-.190948486328125,16974,-.3052453994750977,734411,.4657382965087891,369689,.2169485092163086,14350047,.1918792724609375,2349005,.0629720687866211,441167,1.140691757202148,1807371,315971,.7187042236328125,matched (3),16320171,.92455167,673400.06,1496274
201005,830210,604,3750,19470888,05,0,0,0,1,0,0,0,0,0,0,0,3843665,.1092243194580078,1967618,37394468,53595960,.2201938629150391,12991953,.1581878662109375,17605264,3043876,.5196342468261719,1780599,.4215555191040039,1999786,.4929876327514648,17153840,.0352725982666016,43429912,.0306777954101563,36009824,8195218,.1931934356689453,1912341,-.2197971343994141,14293434,4674360,2511672,1.080859184265137,3565443,4678547,.4041213989257813,14365270,9197337,2646650,.3858699798583984,14053109,75547824,-.1376667022705078,992999,.3304853439331055,1781566,1.268257141113281,33250416,-.0118389129638672,450777,.2968454360961914,199283,1.352115631103516,2061439,138085,.7065544128417969,2507256,-.035304069519043,1175817,.4541950225830078,8715,.3054714202880859,4380433,.0032968521118164,5744054,.3558807373046875,8064980,.7239618301391602,8980065,-.0652446746826172,93000,3050432,.1370449066162109,40339364,.9204254150390625,18877082,.9422225952148438,6897,-.9005966186523438,446095,-.4985370635986328,325897,-.1260805130004883,11864851,-.1901721954345703,2898845,.2103204727172852,387150,-.1306114196777344,1852184,392928,.2179765701293945,matched (3),19293858,.92455167,1899630.6,2322491
201006,830210,605,3750,21005470,06,0,0,0,0,1,0,0,0,0,0,0,4261263,.1031389236450195,522851,71162848,75378584,.3410491943359375,27531088,.7509860992431641,18757944,10739538,1.260799407958984,2436342,.3135471343994141,2139695,.0676231384277344,25242184,.3862953186035156,96786960,.8013648986816406,66991844,12183071,.3964958190917969,2674624,.3354806900024414,25773816,6980142,6047214,.8786497116088867,6964199,9649356,.723902702331543,30135558,21304284,7858375,1.088285446166992,31603780,113906016,.4106082916259766,1497665,.4109325408935547,2313404,.2612266540527344,49328440,.3944339752197266,951291,.7468471527099609,546719,1.009208679199219,6071787,940243,1.918269157409668,7293522,1.067797660827637,5195075,1.485747337341309,465952,3.979037284851074,5630037,.2509689331054688,17430566,1.110060691833496,6229500,-.258234977722168,15546105,.5488033294677734,230000,4196654,.3190040588378906,16183468,-.9133377075195313,22336220,.1682605743408203,38089,1.708839416503906,947454,.7532463073730469,553889,.5303831100463867,16444636,.3264179229736328,3637498,.2269840240478516,418887,.0787887573242188,2079724,615721,.4491672515869141,matched (3),22098374,.92455167,1068443.4,1710830.1
201007,830210,606,3750,20841460,07,0,0,0,0,0,1,0,0,0,0,0,3809942,-.1119508743286133,393816,68724216,57939732,-.2631187438964844,42326356,.4300937652587891,26617452,14711631,.3147068023681641,1259854,-.6595020294189453,1920424,-.1081171035766602,26495816,.0484695434570313,129261752,.2893257141113281,99999968,11193054,-.0847530364990234,4123448,.4328813552856445,34719632,10723389,6524217,.075922966003418,17438282,14043915,.3752975463867188,59330268,38879872,16189445,.7227802276611328,58314352,135710928,.1751537322998047,3501546,.8492975234985352,3681974,.4647293090820313,58708636,.1740856170654297,2075821,.7802915573120117,1061485,.6634893417358398,6520281,932917,-.0078220367431641,10076399,.3232088088989258,8024912,.4348392486572266,344069,-.3032407760620117,5131452,-.0927276611328125,33857648,.6639385223388672,4773013,-.2663183212280273,21594928,.3286495208740234,305000,3509660,-.1787681579589844,19198980,.170867919921875,13886054,-.4753246307373047,29782,-.2460212707519531,608739,-.4423885345458984,425750,-.2631120681762695,15668092,-.0483722686767578,3769667,.0356903076171875,293183,-.3568038940429688,2918796,578270,-.0627527236938477,matched (3),18245732,.92455167,738081.69,1526477.3
201008,830210,607,3750,21586284,08,0,0,0,0,0,0,1,0,0,0,0,4603103,.1891164779663086,687447,67079032,48801156,-.1716499328613281,42820008,.0115947723388672,27434292,13976981,-.0512256622314453,1334486,.0575504302978516,2270077,.1672677993774414,24267572,-.0878448486328125,128836176,-.0032978057861328,90811424,12908725,.142608642578125,5874620,.3539514541625977,28381620,12564842,6574309,.0076484680175781,15000314,20022664,.3546772003173828,76700400,44833544,21016712,.2609577178955078,75567328,114722472,-.1680107116699219,3685964,.0513277053833008,3281483,-.1151533126831055,53762412,-.0880126953125,2304549,.1045284271240234,802801,-.2793169021606445,4348180,516318,-.5915937423706055,11475558,.1300239562988281,10835885,.3003129959106445,683275,.6860551834106445,6326323,.2093305587768555,51979692,.4286880493164063,4226205,-.121673583984375,25401472,.1623477935791016,178000,5306441,.4134025573730469,41130132,.7618827819824219,12915848,-.0724296569824219,31640,.0605182647705078,571771,-.0626516342163086,188777,-.8132858276367188,14537451,-.0748977661132813,4181969,.1037960052490234,357302,.197784423828125,2103733,856564,.392888069152832,matched (3),25023002,.92455167,831733.06,1573895.9
201009,830210,608,3750,18134572,09,0,0,0,0,0,0,0,1,0,0,0,3298801,-.3331718444824219,523584,60235968,46257364,-.0535335540771484,44514544,.0388107299804688,22493414,11879526,-.1625957489013672,432918,-1.125752449035645,1788569,-.2383975982666016,20548440,-.1663570404052734,112604352,-.1346607208251953,84327304,11442580,-.1205615997314453,3598772,-.4900484085083008,23550416,8591959,3604985,-.6008520126342773,22669756,22621220,.1220226287841797,79571408,34783232,21362694,.0163288116455078,68453856,99794432,-.139404296875,3146273,-.1583137512207031,2918354,-.1172761917114258,47679056,-.1200828552246094,2802446,.1956081390380859,482779,-.5085477828979492,3838370,476258,-.0807628631591797,12346760,.0731754302978516,10448497,-.0364055633544922,754958,.0997648239135742,5834487,-.0809326171875,49874428,-.0413436889648438,3922749,-.0745115280151367,24618690,-.0313014984130859,98000,7974190,.4072885513305664,43112992,.0470829010009766,4227792,-1.116775512695313,21974,-.36456298828125,332505,-.542083740234375,239405,.2375898361206055,14536278,-.0000801086425781,3659513,-.1334524154663086,192985,-.6159687042236328,2199317,674576,-.2388448715209961,matched (3),21109998,.92455167,798660.06,1556671.5
201010,830210,609,3750,16589187,10,0,0,0,0,0,0,0,0,1,0,0,3098262,-.0627174377441406,306795,53474392,42720588,-.0795383453369141,29700544,-.4046497344970703,17106692,7567264,-.4509849548339844,489452,.1227378845214844,1878772,.0492019653320313,16587390,-.214141845703125,95187248,-.1680335998535156,60851476,10261516,-.1089401245117188,3148588,-.1336393356323242,16389760,4518290,3691752,.0237836837768555,11206833,16247645,-.3309402465820313,45812600,21405576,12071246,-.5708198547363281,34476804,79046328,-.2330780029296875,2674311,-.1625270843505859,2115846,-.3215646743774414,41541064,-.1378097534179688,1064291,-.9681844711303711,135954,-1.267242431640625,2067582,212536,-.8068485260009766,8269540,-.4008159637451172,5647805,-.6151905059814453,287726,-.9646530151367188,4963278,-.1617202758789063,33950016,-.3846187591552734,3762534,-.0417003631591797,21461176,-.1372604370117188,86000,3040733,-.964111328125,12646361,-1.22645378112793,6707269,.4615116119384766,57597,.9636106491088867,334483,.0059318542480469,203657,-.1617193222045898,12658485,-.1383209228515625,2887279,-.2370157241821289,89483,-.7685642242431641,1326107,169607,-1.380599975585938,matched (3),20464058,.92455167,619345.94,1472738.3
