period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1028c792,growth1028c792,Y1080c705,growth1080c705,Y1086c757,growth1086c757,Y1119c251,growth1119c251,Y1288c381,Y1303c300,growth1303c300,Y1520c620,growth1520c620,Y1561c620,growth1561c620,Y1706c484,growth1706c484,Y1708c372,growth1708c372,Y1783c124,growth1783c124,Y1783c826,growth1783c826,Y1811c600,growth1811c600,Y2075c757,growth2075c757,Y245c440,growth245c440,Y2566c344,Y2688c300,growth2688c300,Y2729c757,growth2729c757,Y272c440,growth272c440,Y2915c608,Y2920c484,growth2920c484,Y3047c268,growth3047c268,Y3150c32,Y3262c300,growth3262c300,Y3277c826,growth3277c826,Y3379c440,growth3379c440,Y3424c352,growth3424c352,Y3537c344,Y3568c208,growth3568c208,Y3668c616,Y3670c251,growth3670c251,Y3737c608,Y3894c826,growth3894c826,Y3927c608,Y3956c152,growth3956c152,Y4104c442,Y4304c36,Y4352c440,growth4352c440,Y4448c428,growth4448c428,Y4529c352,growth4529c352,Y4535c300,growth4535c300,Y4602c608,Y4741c484,growth4741c484,Y4793c381,Y4807c826,growth4807c826,Y4818c428,growth4818c428,Y531c440,growth531c440,Y708c757,growth708c757,Y727c586,growth727c586,Y803c251,growth803c251,_merge,x,r2,s,sf
201001,840290,600,3787,11748956,01,0,0,0,0,0,0,0,0,0,0,0,11624,,116244,,69334,,422001,,3714971,2128326,,70534,,80475,,578763,,67362,,8263251,,3818150,,36252,,190043,,256509,,226289,90813,,492414,,104,,165361,4501,,36396,,84307,860126,,1342750,,21276,,73596,,873770,46477,,22660,110063,,113172,3409071,,20038,11393655,,880333,4686901,342326,,49329,,65697,,461114,,104378,333085,,7127936,1088221,,9662,,8196,,905333,,107163,,254859,,matched (3),,.79859376,,
201002,840290,601,3787,1753416,02,1,0,0,0,0,0,0,0,0,0,0,14138,.1957941055297852,41839,-1.021862030029297,65858,-.0514345169067383,241692,-.5573434829711914,3399139,1302212,-.49127197265625,69140,-.0199613571166992,349873,1.469623565673828,512305,-.1219730377197266,17888,-1.325950622558594,6380649,-.2585487365722656,4503514,.1650924682617188,4824,-2.016891479492188,78902,-.8790435791015625,236944,-.0793399810791016,137828,104712,.1424112319946289,606090,.2077093124389648,972,2.234964847564697,65970,64,-4.253171920776367,12027,-1.107304573059082,348036,1615596,.6303806304931641,3195614,.8670597076416016,42832,.6997060775756836,62837,-.158045768737793,54616,33239,-.3352336883544922,438,323004,1.076611518859863,4437,2371004,-.3631258010864258,62007,13012038,.1328182220458984,740526,2215929,345559,.0093994140625,27655,-.5787057876586914,29375,-.8049097061157227,531526,.1421060562133789,81297,236615,-.3419637680053711,5697267,1091189,.0027236938476563,6012,-.4744434356689453,14456,.5674638748168945,2317986,.9401512145996094,43061,-.9117336273193359,149610,-.5326786041259766,matched (3),-12590176,.79859376,5391941.5,5997669
201003,840290,602,3787,2292439,03,0,1,0,0,0,0,0,0,0,0,0,33387,.8593006134033203,47421,.1252365112304688,103540,.4524574279785156,414629,.5397205352783203,3898045,4365128,1.209583282470703,59368,-.1523780822753906,215545,-.484400749206543,873243,.5332937240600586,46241,.9497365951538086,9036078,.3479547500610352,4041144,-.1083307266235352,42586,2.177922248840332,172304,.7810535430908203,334919,.3460655212402344,227589,131848,.2304363250732422,1041883,.5417566299438477,784,-.2149467468261719,78043,6626,4.639873504638672,34516,1.054268836975098,563874,5299469,1.187902450561523,3884233,.1951456069946289,16816,-.9349546432495117,154404,.8990278244018555,2125572,22740,-.3795986175537109,24915,190541,-.5277976989746094,24923,2581309,.0849828720092773,63918,33458288,.9444236755371094,1212881,2038109,280778,-.2075986862182617,37194,.2963409423828125,195815,1.897027015686035,734286,.3231468200683594,105875,427438,.5913753509521484,8622330,1241034,.1286764144897461,66288,2.400251388549805,19501,.2993555068969727,4114854,.5739049911499023,69273,.4754371643066406,1946746,2.565882682800293,matched (3),-1105998.8,.79859376,3410953,4305067
201004,840290,603,3787,173043,04,0,0,1,0,0,0,0,0,0,0,0,28461,-.1596317291259766,114392,.8805656433105469,77309,-.2921476364135742,394361,-.0501174926757813,2760525,1827979,-.8704366683959961,4611,-2.555310249328613,75288,-1.051848411560059,618057,-.3456325531005859,220512,1.562085151672363,8474321,-.0641841888427734,3979767,-.0153045654296875,3420,-2.521884918212891,206563,.1813449859619141,244557,-.3144407272338867,273327,42663,-1.128317832946777,390561,-.981201171875,373,-.742830753326416,123422,920,-1.974382877349854,102688,1.090271949768066,314464,3968719,-.2891635894775391,5174849,.2868852615356445,214994,2.54827880859375,118216,-.267059326171875,195048,32044,.3429851531982422,13957,325029,.5340471267700195,19605,1845865,-.3353490829467773,103478,28832208,-.1488056182861328,717138,0,255200,-.0955171585083008,41831,.1174898147583008,222317,.1269330978393555,234112,-1.143098831176758,364539,318099,-.2954463958740234,7009130,1343291,.0791778564453125,140866,.7538003921508789,19189,-.0161285400390625,1837531,-.8061809539794922,31100,-.800847053527832,350115,-1.715652465820313,matched (3),-10442129,.79859376,2675268.5,3749142
201005,840290,604,3787,159861,05,0,0,0,1,0,0,0,0,0,0,0,32957,.1466684341430664,54569,-.7401657104492188,62823,-.207489013671875,225054,-.5609264373779297,2257294,906105,-.7018108367919922,3972,-.149174690246582,89265,.1702880859375,658707,.0636978149414063,221989,.0066757202148438,9475355,.1116542816162109,5694160,.3582181930541992,26998,2.066122055053711,199578,-.0343999862670898,211919,-.143244743347168,216087,34650,-.208033561706543,316341,-.2107639312744141,272,-.3157763481140137,75690,43,-3.063173532485962,51360,-.692835807800293,194743,3038526,-.2670707702636719,3534360,-.3812780380249023,516696,.8768444061279297,62623,-.635380744934082,227497,22493,-.3539056777954102,13840,151359,-.7642593383789063,31159,1557065,-.1701450347900391,96737,30952110,.0709476470947266,546145,0,317889,.2196550369262695,27647,-.4141206741333008,2950,-4.322298526763916,300118,.2483758926391602,257577,317864,-.0007390975952148,6815158,1090870,-.2081470489501953,77942,-.5918436050415039,27320,.3532819747924805,1222376,-.4076261520385742,80966,.9568214416503906,79334,-1.48459529876709,matched (3),-11839370,.79859376,2428240,3577059.5
201006,840290,605,3787,227321,06,0,0,0,0,1,0,0,0,0,0,0,30045,-.0925073623657227,127669,.8499755859375,98495,.4496841430664063,394021,.560063362121582,3140215,3014934,1.202178001403809,159327,3.691688537597656,116877,.2695131301879883,855634,.2615642547607422,987554,1.492603302001953,8134608,-.1525669097900391,6476367,.128718376159668,6720,-1.390674591064453,374514,.6294240951538086,276917,.2675142288208008,465617,24695,-.3386974334716797,298281,-.0587844848632813,5105,2.932173252105713,56282,417,2.271886110305786,107539,.7389936447143555,399158,1759519,-.5463314056396484,3682040,.0409345626831055,387605,-.2874679565429688,177360,1.041049003601074,972192,27551,.2028341293334961,40943,250087,.5021543502807617,24815,3277228,.7441949844360352,125339,30369084,-.0190162658691406,1027105,0,427767,.2968769073486328,45825,.5053129196166992,198724,4.210111141204834,196559,-.423213005065918,387572,314864,-.0094833374023438,7213761,1137982,.0422811508178711,23781,-1.187078475952148,21279,-.2498979568481445,1807516,.3911571502685547,95677,.1669483184814453,196949,.9092788696289063,matched (3),-6423475.5,.79859376,2248671.8,3457676.8
201007,840290,606,3787,143354,07,0,0,0,0,0,1,0,0,0,0,0,55221,.608647346496582,75891,-.5201435089111328,127412,.257420539855957,375309,-.0486545562744141,2361015,829829,-1.29011344909668,3601,-3.78974723815918,79515,-.3851766586303711,753235,-.1274662017822266,100746,-2.282628059387207,9659996,.1718654632568359,7064057,.0868597030639648,39672,1.775557518005371,208237,-.5869522094726563,167455,-.5030031204223633,330719,65757,.979365348815918,419194,.3402976989746094,163,-3.444225311279297,22985,2083,1.60847806930542,439665,1.408160209655762,435889,381084,-1.529776573181152,2864208,-.2511749267578125,186625,-.7308855056762695,69453,-.9375314712524414,311428,39970,.3720903396606445,37376,249239,-.0033969879150391,36583,1219833,-.9882841110229492,40720,19529864,-.4414806365966797,576258,1056105,326926,-.2688455581665039,96903,.7488803863525391,44541,-1.495506286621094,1214006,1.820718765258789,179870,379373,.1863794326782227,7050231,1256889,.0993833541870117,10479,-.8195133209228516,20281,-.0480365753173828,1176726,-.4292173385620117,125832,.2739706039428711,345701,.5626287460327148,matched (3),828761.69,.79859376,1462848.8,3006481.5
201008,840290,607,3787,9887928,08,0,0,0,0,0,0,1,0,0,0,0,28200,-.6720218658447266,253796,1.207233428955078,117140,-.0840559005737305,514992,.3164024353027344,2157461,592864,-.3362550735473633,171498,3.863360404968262,505777,1.850150108337402,755340,.0027914047241211,466413,1.532468795776367,11272301,.1543560028076172,6566407,-.0730524063110352,3809,-2.343278884887695,285067,.3140468597412109,158918,-.0523262023925781,536936,48946,-.2952480316162109,547122,.2663383483886719,1417,2.162547111511231,111195,4036,.6614446640014648,250266,-.5634889602661133,460284,931745,.8940401077270508,5974535,.7352142333984375,744748,1.383945465087891,113548,.4915761947631836,270601,11537,-1.242569923400879,58562,324482,.2638177871704102,26973,1355640,.105560302734375,89622,21911978,.1150894165039063,638072,6801426,356057,.085357666015625,139096,.3614540100097656,69839,.4497823715209961,105780,-2.440320014953613,193398,450991,.1729269027709961,4593849,1305869,.0382289886474609,9167,-.133763313293457,21244,.0463905334472656,1718657,.3788070678710938,149397,.1716594696044922,2107149,1.807517051696777,matched (3),-19752170,.79859376,7423421.5,7874401
201009,840290,608,3787,1545309,09,0,0,0,0,0,0,0,1,0,0,0,230731,2.101930618286133,42783,-1.780389785766602,98763,-.1706466674804688,285991,-.588191032409668,6591479,449186,-.2775278091430664,56437,-1.111447334289551,229745,-.7891254425048828,898263,.1732950210571289,32045,-2.67793083190918,9918674,-.1279296875,7317414,.1082906723022461,97913,3.246712684631348,555111,.6664438247680664,154145,-.0304946899414063,296260,108590,.7968616485595703,468106,-.1559772491455078,608,-.8461222648620606,59773,1044,-1.352194309234619,71569,-1.251862525939941,344479,838482,-.1054668426513672,949921,-1.838882446289063,416643,-.5808162689208984,225763,.6872596740722656,235970,43506,1.327340126037598,14051,185483,-.5592670440673828,108622,1955298,.3662691116333008,188927,16812194,-.2649288177490234,1099156,12202327,350890,-.014617919921875,81448,-.5351991653442383,30505,-.8283023834228516,257606,.8900699615478516,130102,363691,-.2151422500610352,7682230,1646452,.2317543029785156,116501,2.542289733886719,23037,.0810270309448242,5534508,1.169459342956543,133570,-.1119823455810547,1146593,-.6085405349731445,matched (3),-8114622.5,.79859376,3820864.8,4636595
201010,840290,609,3787,197532,10,0,0,0,0,0,0,0,0,1,0,0,61122,-1.328380584716797,28333,-.412114143371582,85780,-.1409378051757813,228119,-.2260932922363281,2089247,2126477,1.554784774780273,160990,1.0482177734375,32259,-1.963172912597656,522336,-.5421524047851563,35286,.0963459014892578,11464129,.1448040008544922,5123615,-.3563976287841797,10446,-2.237860679626465,312113,-.5758028030395508,187083,.1936588287353516,320080,96028,-.1229400634765625,212713,-.7887506484985352,937,.4325084686279297,188616,46071,3.787124156951904,280799,1.366976737976074,542150,646725,-.2596712112426758,8729915,2.218132019042969,55480,-2.016207695007324,72987,-1.129204750061035,130320,24139,-.5890703201293945,65330,101198,-.6058835983276367,17561,1827122,-.0678005218505859,83934,48532480,1.060129165649414,857931,2201078,497100,.3483180999755859,59364,-.3162765502929688,26558,-.1385593414306641,217849,-.1676292419433594,142177,417129,.1370906829833984,7533022,1538356,-.0679092407226563,12202,-2.25629997253418,16884,-.3107357025146484,1495619,-1.308462142944336,120717,-.1011762619018555,3246895,1.040904045104981,matched (3),-6884738.5,.79859376,1493924.6,3021723.8
