period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1036c484,growth1036c484,Y1085c752,growth1085c752,Y1574c124,growth1574c124,Y1603c36,Y1625c620,Y1753c428,growth1753c428,Y1760c620,growth1760c620,Y1800c703,growth1800c703,Y1816c124,growth1816c124,Y1835c757,growth1835c757,Y1973c372,growth1973c372,Y2171c826,growth2171c826,Y2195c616,growth2195c616,Y2369c124,growth2369c124,Y2425c348,growth2425c348,Y2738c352,growth2738c352,Y2758c792,growth2758c792,Y2766c124,growth2766c124,Y2819c208,growth2819c208,Y2850c251,growth2850c251,Y2899c705,growth2899c705,Y2927c440,growth2927c440,Y3007c124,growth3007c124,Y3142c442,Y3419c32,Y3422c757,growth3422c757,Y3501c600,growth3501c600,Y3588c352,growth3588c352,Y3628c124,growth3628c124,Y3762c152,growth3762c152,Y3949c208,growth3949c208,Y4174c757,growth4174c757,Y4266c203,Y4286c300,growth4286c300,Y4288c203,Y4292c703,growth4292c703,Y4352c705,growth4352c705,Y4375c428,growth4375c428,Y4471c616,growth4471c616,Y4604c352,growth4604c352,Y4611c218,Y4680c752,growth4680c752,Y4763c218,Y4989c826,growth4989c826,Y5006c208,growth5006c208,Y5028c32,Y575c600,growth575c600,Y577c554,Y665c352,growth665c352,Y712c152,growth712c152,_merge,x,r2,s,sf
201001,840390,600,3789,672213,01,0,0,0,0,0,0,0,0,0,0,0,1580204,,106638,,4441074,,171409,316277,84949,,1824629,,330845,,540528,,506470,,176506,,48122,,237920,,327356,,113902,,38576,,52592,,702220,,1144823,,797767,,1210408,,993,,17641,,4210,106098,441983,,48125,,1319193,,835910,,71149,,3678241,,1423619,,708867,494563,,192528,262193,,1746133,,110992,,595550,,239162,,1506714,5235176,,459534,6502053,,479280,,299248,390630,,1091553,430082,,561232,,matched (3),,.79757988,,
201002,840390,601,3789,612112,02,1,0,0,0,0,0,0,0,0,0,0,1400343,-.1208372116088867,132587,.217799186706543,4196543,-.0566349029541016,44431,63279,208468,.8977336883544922,2002558,.0930490493774414,167824,-.6787338256835938,222904,-.8858060836791992,344322,-.3858880996704102,117878,-.4037046432495117,34055,-.3457632064819336,174639,-.3092136383056641,553800,.5257549285888672,46965,-.8859357833862305,64622,.5159244537353516,237991,1.509668350219727,512653,-.3146476745605469,917505,-.2213478088378906,340096,-.8525886535644531,1070632,-.1227083206176758,1276,.2507548332214356,242854,2.622235298156738,2887,355510,599494,.3048152923583984,29705,-.4824867248535156,1067821,-.2114009857177734,661312,-.2342948913574219,50452,-.3437538146972656,2386323,-.4326810836791992,1509834,.0587978363037109,673651,218894,-.8150873184204102,131410,281568,.0712928771972656,1958587,.1148195266723633,245105,.7922286987304688,550424,-.07879638671875,266039,.106501579284668,987832,5674633,.0806055068969727,556471,6048189,-.0723590850830078,463556,-.0333576202392578,292681,284714,-.3162755966186523,735737,207710,-.7278327941894531,264752,-.7513408660888672,matched (3),57040.188,.79757988,309723.47,492897
201003,840390,602,3789,668830,03,0,1,0,0,0,0,0,0,0,0,0,2127740,.4183435440063477,146175,.0975656509399414,4280990,.019923210144043,170719,125041,155525,-.2929782867431641,2624503,.2704658508300781,272165,.4834928512573242,377686,.5273227691650391,507181,.3872909545898438,305722,.9530258178710938,128624,1.328916549682617,429594,.9001197814941406,478411,-.1463336944580078,53460,.1295309066772461,72787,.1189823150634766,44615,-1.674161911010742,375699,-.3108100891113281,1076330,.1596546173095703,519033,.4227390289306641,1257151,.1605987548828125,19604,2.732003211975098,129297,-.6303491592407227,34145,302417,559200,-.0695791244506836,94190,1.153999328613281,1651845,.4362735748291016,925087,.3356618881225586,76422,.4152488708496094,2909428,.1982021331787109,1415825,-.0642871856689453,893673,228301,.0420770645141602,249451,368346,.2686491012573242,2287392,.1551885604858398,87652,-1.028312683105469,896174,.4874458312988281,302131,.1272182464599609,1815915,5901526,.0392045974731445,568645,5682499,-.0623683929443359,526509,.1273412704467773,424837,335268,.1634454727172852,1067914,518133,.9140892028808594,328789,.2166233062744141,matched (3),-324500.09,.79757988,254102.41,459985.72
201004,840390,603,3789,517809,04,0,0,1,0,0,0,0,0,0,0,0,1492157,-.3548374176025391,71825,-.7105722427368164,5363679,.2254657745361328,0,69357,192365,.2125873565673828,2273572,-.1435394287109375,214550,-.2378654479980469,548127,.3724431991577148,356039,-.3538274765014648,79607,-1.345573425292969,120562,-.0647287368774414,300534,-.3572797775268555,287751,-.5083742141723633,67923,.23944091796875,46486,-.4483861923217773,63865,.3587007522583008,143458,-.9627466201782227,838933,-.2491817474365234,313083,-.5054988861083984,1191305,-.0537986755371094,3836,-1.631302833557129,48437,-.9818477630615234,308,113160,601688,.0732316970825195,87554,-.07305908203125,1466260,-.1191778182983398,719427,-.2514333724975586,62194,-.2060127258300781,2146988,-.3038902282714844,1086199,-.2650279998779297,822147,267417,.1581449508666992,1242545,259010,-.3521566390991211,2134331,-.0692586898803711,53751,-.4890117645263672,610251,-.3842639923095703,254017,-.1734600067138672,1740420,5161750,-.1339349746704102,450583,5213691,-.0861024856567383,425989,-.2118549346923828,148604,300947,-.1079959869384766,1066169,288992,-.5838336944580078,443483,.2992429733276367,matched (3),1365018,.79757988,239831.42,452258.69
201005,840390,604,3789,833868,05,0,0,0,1,0,0,0,0,0,0,0,1584823,.0602493286132813,427778,1.784372329711914,4695645,-.1330146789550781,0,74774,202633,.052001953125,2791505,.2052288055419922,205638,-.0424261093139648,289735,-.6375398635864258,254146,-.3371315002441406,203239,.9372797012329102,46744,-.9474782943725586,261298,-.1399002075195313,203676,-.3455648422241211,24766,-1.008903503417969,72372,.4426689147949219,69103,.078826904296875,735159,1.634044647216797,805220,-.0410146713256836,786997,.9217567443847656,942247,-.2345371246337891,11613,1.107694625854492,77466,.4695749282836914,3429,222480,468510,-.2501811981201172,134666,.4305419921875,1605068,.0904502868652344,777607,.0777664184570313,86135,.325657844543457,3217590,.404566764831543,1362156,.226384162902832,824046,219151,-.1990489959716797,129431,302579,.1554765701293945,2409208,.1211452484130859,269892,1.613659858703613,439859,-.3274164199829102,320804,.2334299087524414,1347930,4923376,-.0472812652587891,587162,4862089,-.0698204040527344,429900,.0091390609741211,304151,298402,-.0084934234619141,844202,372106,.2527799606323242,512690,.1450119018554688,matched (3),-434003.78,.79757988,207027.44,435751.28
201006,840390,605,3789,1301193,06,0,0,0,0,1,0,0,0,0,0,0,1910000,.1866312026977539,256959,-.5096883773803711,6385801,.3074407577514648,0,122009,153415,-.2782497406005859,2501840,-.1095542907714844,172352,-.1765785217285156,396433,.3135404586791992,479793,.6354455947875977,312337,.4297008514404297,153663,1.190075874328613,294667,.1201848983764648,349562,.5401496887207031,31665,.2457408905029297,33015,-.7848577499389648,20652,-1.207785606384277,1156411,.4529895782470703,999481,.2161197662353516,1222675,.4405717849731445,1352700,.3615903854370117,14540,.2247781753540039,115550,.3998641967773438,5078,224576,564816,.1869421005249023,71052,-.6393852233886719,2287588,.3543319702148438,950095,.2003412246704102,159400,.6155004501342773,4372229,.306640625,1528657,.115321159362793,917071,548160,.9168062210083008,166310,522366,.546025276184082,2679136,.106196403503418,249248,-.0795736312866211,754008,.5389490127563477,408913,.2426719665527344,1995732,6708827,.3094301223754883,685090,5682222,.1558742523193359,638028,.3948297500610352,469086,762232,.937809944152832,1443437,443552,.1756362915039063,251724,-.7113380432128906,matched (3),-188044.22,.79757988,287350.94,479154.84
201007,840390,606,3789,1151002,07,0,0,0,0,0,1,0,0,0,0,0,1666175,-.1365728378295898,177719,-.3687124252319336,3850053,-.5059900283813477,160341,2363,123978,-.2130422592163086,2482777,-.0076494216918945,234352,.3072853088378906,328785,-.187103271484375,252662,-.6413021087646484,142685,-.7834434509277344,131513,-.1556558609008789,351528,.1764430999755859,333242,-.0478115081787109,54397,.5410966873168945,16870,-.6714248657226563,191362,2.226354598999023,3341380,1.061062812805176,1247152,.2213821411132813,2869306,.8530292510986328,1201457,-.1185674667358398,8556,-.5302705764770508,52096,-.7966146469116211,1227,588460,401701,-.3407917022705078,35307,-.6993312835693359,2163511,-.0557651519775391,1156643,.1967153549194336,53439,-1.092875480651856,3020409,-.3698806762695313,1206885,-.2363471984863281,775624,275996,-.6861801147460938,99466,397888,-.2721977233886719,2727619,.0179338455200195,239530,-.0397701263427734,607923,-.2153549194335938,305540,-.2914218902587891,1735358,5579844,-.1842632293701172,771879,6015031,.0569190979003906,482582,-.279231071472168,467571,295913,-.9461851119995117,1354259,619810,.3345985412597656,326319,.2595424652099609,matched (3),321701.59,.79757988,297586.56,485362.31
201008,840390,607,3789,2108931,08,0,0,0,0,0,0,1,0,0,0,0,2734826,.4955368041992188,127359,-.3331937789916992,5118026,.2846822738647461,158025,2818,188508,.4190359115600586,2648974,.0647954940795898,413131,.5669412612915039,1173676,1.272491455078125,365446,.3690662384033203,119288,-.1790990829467773,39355,-1.206482887268066,270367,-.2625083923339844,549623,.5003633499145508,58665,.0755348205566406,76675,1.5140380859375,89720,-.7574729919433594,3710516,.1047868728637695,979492,-.2415838241577148,2341694,-.2031965255737305,1258160,.0461158752441406,13095,.42559814453125,115526,.7964076995849609,4267,1196493,569964,.3498649597167969,80024,.8182458877563477,2819278,.2647485733032227,1368669,.1683168411254883,126699,.8632736206054688,3929287,.2630653381347656,1424355,.1656761169433594,876187,308395,.1109943389892578,277522,330296,-.1861810684204102,2191431,-.2188739776611328,550061,.8313512802124023,1216808,.6939382553100586,374892,.2045574188232422,1829011,5090975,-.0916919708251953,1077705,9379561,.4442710876464844,584228,.1911401748657227,564314,603167,.712127685546875,1497502,595436,-.0401191711425781,245442,-.2848148345947266,matched (3),902495.19,.79757988,338341.78,511364.81
201009,840390,608,3789,1632093,09,0,0,0,0,0,0,0,1,0,0,0,2623741,-.0414667129516602,79677,-.469029426574707,5473811,.0672063827514648,147042,16948,116703,-.4795074462890625,2639055,-.0037517547607422,496172,.1831579208374023,502103,-.849090576171875,407055,.1078290939331055,258538,.7735023498535156,295414,2.015754699707031,257167,-.0500545501708984,666344,.1925735473632813,90518,.4337053298950195,42113,-.5992193222045898,86741,-.0337677001953125,2738554,-.3037405014038086,1006086,.0267887115478516,1833739,-.2445173263549805,1314837,.0440616607666016,6080,-.7672262191772461,43992,-.9654884338378906,7025,835606,672516,.1654529571533203,47147,-.5290565490722656,2419906,-.1527519226074219,1341013,-.0204133987426758,145520,.1384992599487305,3285466,-.1789493560791016,1798798,.2333993911743164,796085,297940,-.0344886779785156,229182,356722,.0769672393798828,3236435,.3899173736572266,820607,.4000148773193359,620437,-.6735620498657227,350963,-.0659570693969727,1768293,6128372,.185460090637207,1164619,7466828,-.2280616760253906,642235,.0946626663208008,509236,203163,-1.08818531036377,2382043,531152,-.1142463684082031,388678,.4596900939941406,matched (3),-294328.47,.79757988,290015.66,480757.63
201010,840390,609,3789,1159018,10,0,0,0,0,0,0,0,0,1,0,0,1586615,-.5029983520507813,190222,.8702106475830078,3272766,-.5143394470214844,66349,55955,171667,.3859243392944336,2805654,.0612154006958008,514800,.0368556976318359,505253,.0062541961669922,336799,-.1894617080688477,177220,-.3776512145996094,94388,-1.140963554382324,361906,.3416585922241211,340076,-.6726369857788086,208900,.8363065719604492,19550,-.7673807144165039,299846,1.240342140197754,2194159,-.2216310501098633,1201896,.1778326034545898,1685748,-.0841474533081055,1156551,-.128270149230957,31031,1.629981994628906,38277,-.1391582489013672,6087,711453,526707,-.2443819046020508,86059,.6017627716064453,3155146,.2653055191040039,1541411,.1392726898193359,156669,.0738210678100586,3427195,.0422334671020508,1753333,-.025599479675293,816671,256191,-.1509695053100586,267753,650060,.6001081466674805,3251084,.0045166015625,1067043,.2626018524169922,1149588,.616734504699707,342888,-.0232772827148438,1900641,5808974,-.0535249710083008,1001886,7562956,.012791633605957,642000,-.0003652572631836,294106,351138,.5471706390380859,1338050,499440,-.0615606307983398,361538,-.0723838806152344,matched (3),218436.19,.79757988,232551.05,448440.41
