period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1104c752,growth1104c752,Y1438c484,growth1438c484,Y1483c376,Y1574c752,growth1574c752,Y1714c826,growth1714c826,Y1722c268,growth1722c268,Y1750c152,growth1750c152,Y1762c818,Y1846c826,growth1846c826,Y1982c352,growth1982c352,Y2078c300,growth2078c300,Y2219c124,Y2219c348,growth2219c348,Y2313c792,growth2313c792,Y2404c348,growth2404c348,Y2485c222,growth2485c222,Y2555c620,growth2555c620,Y2611c752,growth2611c752,Y271c757,growth271c757,Y2946c203,Y2950c300,growth2950c300,Y3102c36,Y3214c586,Y3431c246,growth3431c246,Y3534c792,growth3534c792,Y3582c152,Y3735c600,growth3735c600,Y3799c381,Y3816c757,growth3816c757,Y3990c826,growth3990c826,Y4018c616,growth4018c616,Y4022c428,growth4022c428,Y4112c620,Y4123c484,growth4123c484,Y4138c703,growth4138c703,Y4199c222,growth4199c222,Y4317c300,growth4317c300,Y4321c705,growth4321c705,Y4395c818,Y4438c428,growth4438c428,Y4466c68,growth4466c68,Y4472c705,growth4472c705,Y4484c807,growth4484c807,Y4694c792,growth4694c792,Y4697c152,growth4697c152,Y4777c376,Y4790c608,Y4796c352,growth4796c352,Y496c251,growth496c251,Y990c251,growth990c251,_merge,x,r2,s,sf
201001,840490,600,3792,2956322,01,0,0,0,0,0,0,0,0,0,0,0,60975,,286600,,3239000,152244,,4128975,,239259,,283834,,151090,606482,,129109,,226719,,38495,74902,,1100,,33677,,239723,,113037,,25600,,5273,,713233,952481,,102085,866688,475027,,1112303,,78137,42587,,36573,4922570,,5885221,,550215,,9026,,97791,106025,,203744,,151220,,534161,,86820,,393191,253692,,12995,,597848,,11,,12292,,6700,,829000,363760,87391,,14566969,,104155,,matched (3),,.83091044,,
201002,840490,601,3792,716113,02,1,0,0,0,0,0,0,0,0,0,0,330626,1.690524101257324,256647,-.1103858947753906,3290000,170534,.1134500503540039,4684920,.1263198852539063,38763,-1.820079803466797,158020,-.585667610168457,100931,321369,-.6350851058959961,223299,.5478544235229492,183698,-.210418701171875,18283,78302,.0443925857543945,10970,2.299853801727295,20020,-.5200834274291992,160150,-.4033737182617188,75860,-.3988256454467773,18378,-.3314380645751953,14159,.9877510070800781,742072,1083427,.1288137435913086,177025,558756,719520,.4152126312255859,520304,-.7597751617431641,19128,202175,1.557584762573242,1235596,4731454,-.0395975112915039,5799449,-.0146808624267578,303094,-.5962657928466797,1516,-1.78403377532959,144993,192896,.5984764099121094,849453,1.427727699279785,159146,.05108642578125,1597888,1.09574031829834,110589,.2419834136962891,325734,3425921,2.603004455566406,773,-2.822040557861328,327601,-.6015405654907227,112846,9.235883712768555,73603,1.789736747741699,227096,3.523264884948731,446000,144351,75801,-.1422805786132813,2646297,-1.705595016479492,86800,-.1822738647460938,matched (3),2445355.3,.83091044,535381,777376.88
201003,840490,602,3792,515294,03,0,1,0,0,0,0,0,0,0,0,0,232719,-.3511562347412109,432659,.5222482681274414,1232000,115578,-.3889894485473633,4033974,-.14959716796875,231710,1.788020133972168,209148,.2803201675415039,89043,526977,.4945669174194336,73504,-1.111171722412109,356031,.6617250442504883,64518,83336,.0623073577880859,1088,-2.3108229637146,153501,2.036975860595703,152451,-.0492668151855469,63045,-.1850404739379883,4635,-1.377517700195313,7303,-.6620645523071289,650746,1254923,.1469449996948242,33044,546976,668090,-.0741615295410156,590532,.1266107559204102,2160,49675,-1.403632164001465,502491,6661622,.3421306610107422,5730246,-.0120048522949219,188992,-.4723386764526367,39886,3.269949913024902,77221,139619,-.3232336044311523,96426,-2.175816535949707,81698,-.6667928695678711,1360103,-.1611223220825195,100237,-.0982828140258789,423594,2977850,-.1401681900024414,5808,2.016712188720703,310298,-.0542631149291992,108177,-.0422554016113281,32222,-.8260364532470703,34717,-1.878143310546875,805000,205119,74099,-.0227088928222656,14116690,1.674196243286133,83010,-.0446453094482422,matched (3),438423.56,.83091044,449074,720659
201004,840490,603,3792,622987,04,0,0,1,0,0,0,0,0,0,0,0,363845,.4468965530395508,584595,.300969123840332,3898000,160664,.3293695449829102,4631824,.1381988525390625,345441,.3993349075317383,270563,.2574634552001953,146349,839134,.4652128219604492,376156,1.632663726806641,415867,.1553478240966797,138927,53778,-.4380159378051758,1116,.0254096984863281,23437,-1.879391670227051,232812,.4233875274658203,44944,-.3384313583374023,10686,.8352975845336914,16580,.8199119567871094,492679,677317,-.6166896820068359,0,198378,819599,.2043924331665039,834826,.3461990356445313,11448,22219,-.8045539855957031,1924260,2721202,-.895289421081543,6948835,.1928157806396484,327429,.5495662689208984,1648,-3.186462879180908,563055,27553,-1.622806549072266,556875,1.753564834594727,353165,1.463906288146973,2355947,.549382209777832,107774,.0724983215332031,154076,2994113,.0054464340209961,9367,.4779567718505859,429061,.324066162109375,114882,.0601367950439453,57551,.580021858215332,36136,.0400600433349609,422000,216275,67968,-.0863656997680664,16616913,.1630630493164063,90448,.0858135223388672,matched (3),1448421.4,.83091044,467355.06,732190.38
201005,840490,604,3792,493290,05,0,0,0,1,0,0,0,0,0,0,0,197964,-.608642578125,242253,-.8809366226196289,1785000,119710,-.2942428588867188,4986886,.0738611221313477,163743,-.7465238571166992,451780,.5126895904541016,103798,761515,-.0970602035522461,203876,-.6124916076660156,350014,-.1723928451538086,28331,93500,.5530967712402344,8229,1.997913837432861,31598,.2987785339355469,179857,-.2580690383911133,16023,-1.031392097473145,11127,.040440559387207,3716,-1.495550155639648,570785,852830,.2304210662841797,0,1165011,725811,-.121525764465332,882960,.0560569763183594,10061,12203,-.5992660522460938,1182976,4191314,.4319400787353516,6067734,-.1355886459350586,371803,.1270933151245117,9055,1.703754901885986,110028,169243,1.815224647521973,153155,-1.290889739990234,80021,-1.484645843505859,1223378,-.6553268432617188,105226,-.02392578125,326854,3185449,.0619449615478516,7017,-.2888565063476563,749192,.5573959350585938,33104,-1.244251251220703,160337,1.024606704711914,19290,-.6277027130126953,633000,677632,288848,1.446864128112793,15376455,-.0775833129882813,31284,-1.061667442321777,matched (3),316971.38,.83091044,320700.5,648483.44
201006,840490,605,3792,411877,06,0,0,0,0,1,0,0,0,0,0,0,81043,-.8931055068969727,497821,.7202587127685547,2268000,67444,-.5737743377685547,5596553,.1153392791748047,277979,.5292482376098633,463709,.02606201171875,81671,627713,-.1932268142700195,140032,-.375640869140625,293349,-.176609992980957,13835,126343,.3010387420654297,34158,1.423332214355469,15955,-.6833219528198242,214174,.174626350402832,24837,.4383087158203125,12830,.1424112319946289,49001,2.579193115234375,301283,769060,-.1033916473388672,0,452991,850090,.1580524444580078,1336790,.4147462844848633,1146,38051,1.137245178222656,851103,2792758,-.4059848785400391,4856851,-.22259521484375,502225,.3006839752197266,3210,-1.037046432495117,100341,165170,-.0243606567382813,200026,.2669963836669922,103297,.2553186416625977,1395052,.1313161849975586,221327,.7435312271118164,630256,2023277,-.4538745880126953,12606,.5858364105224609,466457,-.4738292694091797,96845,1.073457717895508,88966,-.5890235900878906,23133,.1816730499267578,342000,611030,82968,-1.247446060180664,12191353,-.2321090698242188,84290,.9911556243896484,matched (3),518789.78,.83091044,361564.88,669635.06
201007,840490,606,3792,393252,07,0,0,0,0,0,1,0,0,0,0,0,65015,-.2203617095947266,358031,-.3296213150024414,2244000,92105,.3116312026977539,4531393,-.2111215591430664,136062,-.7144355773925781,218584,-.7520866394042969,409027,831937,.2816734313964844,46776,-1.096501350402832,231311,-.2375993728637695,29399,135449,.0695953369140625,160307,1.546093940734863,11960,-.2882041931152344,212439,-.0081338882446289,9153,-.9982528686523438,35357,1.013710021972656,9064,-1.687529563903809,270898,965342,.2273139953613281,94273,626469,775330,-.0920534133911133,352578,-1.332754135131836,23708,32477,-.1583948135375977,696041,5736579,.7198333740234375,1408490,-1.237872123718262,380088,-.2786455154418945,37825,2.466699600219727,148745,142963,-.1443891525268555,56454,-1.265021324157715,138127,.2905654907226563,1073420,-.2620820999145508,135865,-.4879798889160156,354623,820146,-.9029912948608398,9495,-.2834072113037109,453879,-.0273351669311523,75786,-.2451982498168945,36325,-.8957481384277344,6872,-1.213804244995117,668000,223717,99594,.1826467514038086,4906905,-.9100847244262695,26438,-1.159460067749023,matched (3),573459.56,.83091044,551185.88,788345
201008,840490,607,3792,3951450,08,0,0,0,0,0,0,1,0,0,0,0,324624,1.608049392700195,436453,.1980609893798828,1557000,191064,.729680061340332,5281846,.1532459259033203,179903,.2793073654174805,394701,.5909576416015625,103370,575269,-.3689184188842773,196532,1.435455322265625,200900,-.140955924987793,12024,11653,-2.453031539916992,18843,-2.140949249267578,18485,.4353914260864258,231732,.0869264602661133,22586,.9032487869262695,43042,.1966800689697266,21621,.869354248046875,317985,1078737,.1110630035400391,157365,1249380,845507,.0866479873657227,880938,.915715217590332,49249,46161,.3516025543212891,1269930,2652996,-.7711734771728516,630789,-.8033018112182617,501315,.2768316268920898,1917,-2.982208728790283,62713,168573,.1647825241088867,88081,.4448308944702148,150110,.0831947326660156,1238477,.1430330276489258,151471,.1087322235107422,424388,973569,.1714859008789063,16218,.5353565216064453,413577,-.092987060546875,540474,1.964532852172852,38097,.0476293563842773,80077,2.455533027648926,889000,116739,124351,.2220067977905273,13873534,1.039340019226074,96138,1.290982246398926,matched (3),599533.44,.83091044,330726.81,653499.94
201009,840490,608,3792,233967,09,0,0,0,0,0,0,0,1,0,0,0,287306,-.1221199035644531,380138,-.1381464004516602,3263000,130492,-.3812971115112305,4667776,-.1235923767089844,130354,-.3221635818481445,329362,-.1809701919555664,35717,449366,-.2470006942749023,382546,.6660232543945313,136241,-.3883819580078125,19517,17518,.4076652526855469,2516,-2.013471126556397,36223,.6727352142333984,120233,-.6561498641967773,34335,.4188346862792969,42629,-.0096416473388672,8816,-.8970966339111328,255775,749885,-.3636264801025391,3515,1095580,736131,-.1385288238525391,642723,-.3152732849121094,49075,19545,-.8594150543212891,1378920,2249373,-.1650371551513672,888381,.3424291610717773,225869,-.7972793579101563,14687,2.036201000213623,324744,83915,-.6975641250610352,51446,-.537724494934082,81431,-.6116123199462891,1230949,-.0060968399047852,141557,-.0676918029785156,389565,1126709,.146087646484375,3354,-1.575968742370606,239726,-.5453472137451172,79818,-1.912697792053223,58401,.4271974563598633,284758,1.268651008605957,553000,186192,65819,-.636199951171875,3711114,-1.31865119934082,79522,-.1897516250610352,matched (3),675776.69,.83091044,333925.03,655124.31
201010,840490,609,3792,295568,10,0,0,0,0,0,0,0,0,1,0,0,107160,-.9862251281738281,308085,-.2101583480834961,4140000,147836,.1247920989990234,4142404,-.1194067001342773,203489,.4453582763671875,390282,.1697120666503906,70419,579713,.2546958923339844,80069,-1.563960075378418,206315,.4149789810180664,50012,116512,1.89476490020752,736,-1.229195594787598,56686,.4478330612182617,209916,.557276725769043,6040,-1.737760543823242,23722,-.5861320495605469,10076,.1335878372192383,330957,1385350,.6137886047363281,70677,243172,950444,.2555217742919922,906572,.3439559936523438,16262,37069,.6400613784790039,3995749,2733937,.1950902938842773,865964,-.0255575180053711,319061,.3454275131225586,55758,1.334057807922363,0,369722,1.48294734954834,77142,.4051151275634766,81140,-.0035800933837891,1750438,.3520803451538086,129816,-.0865840911865234,402414,293608,-1.344810485839844,4576,.3106718063354492,433854,.5932111740112305,152415,.6468582153320313,68042,.1527919769287109,41730,-1.920419692993164,712000,249314,332715,1.620377540588379,2043151,-.5968389511108398,6073,-2.57218074798584,matched (3),-1421544.6,.83091044,421407.59,703751.63
