period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1450c688,growth1450c688,Y1617c807,growth1617c807,Y1698c372,growth1698c372,Y1789c152,Y1809c807,growth1809c807,Y2050c268,growth2050c268,Y2118c642,Y2125c703,growth2125c703,Y2577c792,growth2577c792,Y2742c348,growth2742c348,Y2750c251,growth2750c251,Y2821c554,Y2927c222,growth2927c222,Y2962c268,growth2962c268,Y3024c792,growth3024c792,Y3158c440,growth3158c440,Y3215c703,growth3215c703,Y327c440,growth327c440,Y3339c484,growth3339c484,Y3388c208,Y3511c208,growth3511c208,Y3583c807,growth3583c807,Y3730c222,growth3730c222,Y3980c600,growth3980c600,Y4039c620,growth4039c620,Y4040c440,growth4040c440,Y4140c620,growth4140c620,Y4146c484,growth4146c484,Y4198c348,growth4198c348,Y4431c428,growth4431c428,Y4445c688,growth4445c688,Y4484c792,growth4484c792,Y4539c826,growth4539c826,Y4681c484,growth4681c484,Y4701c191,growth4701c191,Y472c792,growth472c792,Y4736c616,growth4736c616,Y4761c124,growth4761c124,Y47c124,growth47c124,Y4887c440,growth4887c440,Y4974c705,growth4974c705,Y4975c218,Y581c688,growth581c688,Y614c484,growth614c484,Y651c428,growth651c428,Y675c484,growth675c484,Y694c792,growth694c792,Y712c348,growth712c348,Y712c688,growth712c688,Y729c703,growth729c703,_merge,x,r2,s,sf
201001,840721,600,3800,4370180,01,0,0,0,0,0,0,0,0,0,0,0,331033,,16733,,168924,,46317,2538,,450504,,165903,231841,,205311,,362110,,440009,,2813,10389,,234,,7435959,,48169,,979037,,48069,,488717,,64557,22161,,70783,,2259,,113311,,3766217,,511517,,110233,,458319,,13887526,,6540,,14440,,8099434,,530149,,36879,,2576,,223054,,365935,,9965251,,96442,,7725,,88563,,32253,192201,,591153,,108289,,2065239,,18396458,,1038171,,986995,,23188,,matched (3),,.82285452,,
201002,840721,601,3800,3077206,02,1,0,0,0,0,0,0,0,0,0,0,409501,.2127208709716797,36479,.7793540954589844,16960,-2.298590660095215,24148,2845,.1141862869262695,296749,-.41748046875,116703,370995,.4701366424560547,165257,-.2170238494873047,193072,-.6288852691650391,158040,-1.023947715759277,753,2917,-1.270191669464111,6124,3.264649391174316,8289678,.1086835861206055,28042,-.5410118103027344,2043299,.7357511520385742,86016,.5818958282470703,511518,.0455989837646484,0,2354,-2.242218017578125,36763,-.6551275253295898,1137,-.6865291595458984,64805,-.5587539672851563,3695741,-.0188894271850586,441065,-.148188591003418,18693,-1.774447441101074,821503,.5835704803466797,14051682,.0117511749267578,8265,.2340927124023438,243,-4.084696292877197,7013975,-.1438894271850586,650427,.2044715881347656,36066,-.0222921371459961,258,-2.30103349685669,395759,.5733909606933594,478732,.2686853408813477,8916286,-.1112251281738281,106924,.1031770706176758,12799,.5049047470092773,201259,.8208789825439453,34208,143851,-.2897634506225586,712098,.1861410140991211,147274,.3074913024902344,6677149,1.173445701599121,11907706,-.4349727630615234,899305,-.1435937881469727,1838088,.6218156814575195,22593,-.0259952545166016,matched (3),3152641.8,.82285452,1156582.9,1671281.4
201003,840721,602,3800,4325380,03,0,1,0,0,0,0,0,0,0,0,0,475861,.1501865386962891,55889,.426630973815918,49939,1.079944610595703,14017,5572,.6721911430358887,566864,.6472320556640625,196140,607290,.4928178787231445,354007,.761815071105957,222089,.1400156021118164,381843,.8821620941162109,6854,8692,1.091846942901611,2446,-.9177613258361816,8674527,.045379638671875,11187,-.9189510345458984,1832772,-.1087360382080078,154020,.5825490951538086,934937,.6030969619750977,0,2012,-.1569867134094238,46153,.2274703979492188,18748,2.802693843841553,152671,.856903076171875,4294680,.1501951217651367,626234,.3505325317382813,130364,1.942181587219238,1493034,.5974302291870117,23208672,.5017852783203125,29563,1.274494171142578,933,1.345343589782715,6857663,-.0225381851196289,392298,-.5056076049804688,37698,.0442562103271484,2883,2.413627147674561,349303,-.1248655319213867,779454,.487452507019043,13191873,.3917217254638672,77708,-.3191604614257813,6981,-.6061744689941406,181086,-.1056203842163086,120439,188687,.2713117599487305,766259,.0733041763305664,187763,.2428855895996094,8776714,.2734107971191406,163106,-4.29054069519043,2151015,.8720731735229492,2472121,.2963504791259766,29129,.254094123840332,matched (3),6162742.5,.82285452,1082376.8,1620813.6
201004,840721,603,3800,5765715,04,0,0,1,0,0,0,0,0,0,0,0,646076,.3057918548583984,33381,-.515380859375,98875,.6830539703369141,128788,2116,-.968226432800293,434567,-.2657690048217773,0,481538,-.2320213317871094,817390,.8367996215820313,437842,.6787796020507813,576035,.411158561706543,6768,1172,-2.00369119644165,19159,2.058318614959717,11429073,.2757692337036133,46402,1.422590255737305,1217285,-.4092063903808594,271861,.5682086944580078,683029,-.3139419555664063,0,2829,.3407940864562988,120558,.9601688385009766,1136,-2.803573608398438,173138,.1258029937744141,3323346,-.2564048767089844,523130,-.1798944473266602,30930,-1.438603401184082,1144489,-.2658519744873047,13901251,-.5125484466552734,5741,-1.638890266418457,20308,3.08036470413208,5325035,-.2529468536376953,539432,.3184947967529297,21412,-.5656557083129883,4334,.4076600074768066,616067,.5674161911010742,787863,.0107307434082031,10826081,-.1976432800292969,103248,.2841758728027344,3400,-.719416618347168,179885,-.0066547393798828,127440,136854,-.3211755752563477,832431,.0828304290771484,128427,-.3798198699951172,3949134,-.7986059188842773,36805,-1.488766670227051,4026909,.6270589828491211,3116215,.2315425872802734,66489,.8253021240234375,matched (3),7153928,.82285452,900950.44,1505725.4
201005,840721,604,3800,6226181,05,0,0,0,1,0,0,0,0,0,0,0,804676,.2195224761962891,32801,-.0175275802612305,219214,.7961921691894531,102342,6974,1.192661285400391,251174,-.5482044219970703,120602,608461,.23394775390625,1078906,.2775869369506836,401090,-.087672233581543,340444,-.5259180068969727,4307,6404,1.698211193084717,4022,-1.560993194580078,13603952,.1742000579833984,49672,.0680990219116211,1961044,.4768543243408203,677617,.9132909774780273,787090,.1418046951293945,53111,5174,.6037225723266602,114968,-.0474767684936523,3202,1.036262512207031,332906,.6537714004516602,3499005,.0515069961547852,434586,-.1854362487792969,249990,2.089694023132324,829654,-.3217048645019531,14519078,.0434856414794922,7022,.2014141082763672,8560,-.8639144897460938,3376304,-.4556379318237305,795613,.3885965347290039,42980,.6967840194702148,14100,1.179683685302734,352926,-.5570974349975586,390516,-.7018556594848633,9057831,-.1783275604248047,36749,-1.033022880554199,3398,-.0005884170532227,199178,.1018810272216797,135102,101841,-.295501708984375,587419,-.3486118316650391,150431,.1581439971923828,7961975,.7011804580688477,926688,3.225983619689941,5297277,.2741937637329102,3450174,.1018056869506836,3077,-3.073081016540527,matched (3),5485809,.82285452,1121379.9,1647115.8
201006,840721,605,3800,9142631,06,0,0,0,0,1,0,0,0,0,0,0,603875,-.2870721817016602,45697,.331573486328125,576829,.9674968719482422,121584,1774,-1.368951797485352,623471,.9091567993164063,256459,758598,.2205390930175781,945545,-.1319417953491211,492215,.2047300338745117,535672,.4532718658447266,4744,32742,1.631735801696777,6814,.5271997451782227,17018716,.2239532470703125,76500,.4318485260009766,1064593,-.6108846664428711,1316398,.6640729904174805,825177,.0472555160522461,637308,78272,2.716544151306152,147958,.2522745132446289,2568,-.2206487655639648,142791,-.8464775085449219,4159805,.1729898452758789,482636,.1048688888549805,266464,.0638179779052734,420961,-.6784687042236328,18958688,.2667980194091797,20690,1.080602645874023,39643,1.532814025878906,3790394,.1156883239746094,1053168,.2804450988769531,56275,.2695150375366211,5888,-.8732585906982422,515606,.379084587097168,432815,.1028413772583008,11793176,.2638912200927734,58777,.469639778137207,21330,1.83692741394043,387468,.6654348373413086,305495,128329,.2311849594116211,625349,.0625715255737305,163532,.0835037231445313,6005496,-.2820014953613281,14565723,2.75480842590332,9140384,.5455102920532227,4654464,.2994022369384766,77344,3.224308013916016,matched (3),9308349,.82285452,911050.25,1511790.3
201007,840721,606,3800,3563507,07,0,0,0,0,0,1,0,0,0,0,0,719136,.1746826171875,25434,-.5859460830688477,714956,.2146759033203125,36552,3033,.5363149642944336,590668,-.0540485382080078,78803,624483,-.1945476531982422,652802,-.3704872131347656,291445,-.5240650177001953,478071,-.1137628555297852,2456,16762,-.6695442199707031,2898,-.8549585342407227,13962951,-.197906494140625,94467,.2109603881835938,557104,-.6475963592529297,2819884,.7617959976196289,794175,-.0382938385009766,686534,41772,-.6279640197753906,122132,-.1918268203735352,2296,-.1119589805603027,139217,-.0253486633300781,2615777,-.4639072418212891,451996,-.0655889511108398,411418,.4343709945678711,626225,.3971691131591797,17603172,-.0741825103759766,8284,-.9153242111206055,46667,.1631231307983398,7395891,.6684541702270508,721547,-.3781604766845703,19079,-1.081662178039551,12677,.7668733596801758,327315,-.4544200897216797,407548,-.0601511001586914,9017148,-.2683925628662109,25462,-.8365640640258789,7164,-1.091046333312988,386826,-.0016584396362305,123964,172113,.293553352355957,724393,.1470241546630859,123306,-.2823390960693359,8417887,.3376836776733398,11580457,-.2293510437011719,8721684,-.0468902587890625,3416640,-.309168815612793,12433,-1.827909469604492,matched (3),9480073,.82285452,823694.44,1460811.4
201008,840721,607,3800,8461282,08,0,0,0,0,0,0,1,0,0,0,0,731822,.0174875259399414,61034,.8753442764282227,712119,-.0039758682250977,124110,5949,.673670768737793,260854,-.8172931671142578,244071,730549,.1568717956542969,837931,.2496614456176758,368465,.2344951629638672,499936,.0447206497192383,10322,34910,.7336587905883789,56274,2.966212272644043,13910200,-.0037841796875,150314,.4644756317138672,1887880,1.220458030700684,2155031,-.268890380859375,833720,.0485935211181641,0,541,-4.346561908721924,62455,-.6706552505493164,37769,2.800320148468018,249109,.5818567276000977,3257225,.2193145751953125,1043284,.8364553451538086,188868,-.7785615921020508,1513042,.8821678161621094,21989212,.22247314453125,30068,1.289134979248047,7082,-1.885480880737305,22080978,1.093791961669922,929825,.2535991668701172,76913,1.394086837768555,13020,.0266971588134766,511084,.4456110000610352,465841,.1336851119995117,9131759,.0126304626464844,50648,.6877126693725586,30079,1.434759140014648,391647,.0123863220214844,226398,71412,-.8796854019165039,757285,.0444049835205078,124345,.0083904266357422,9137666,.0820465087890625,21661380,.6262111663818359,12571377,.3656101226806641,2076797,-.4978313446044922,14360,.1440925598144531,matched (3),6563220,.82285452,1029199.7,1585796.1
201009,840721,608,3800,6891958,09,0,0,0,0,0,0,0,1,0,0,0,689362,-.0597715377807617,37975,-.4745025634765625,1153445,.4822626113891602,36832,5141,-.1459751129150391,735725,1.036895751953125,206765,670028,-.0864772796630859,343275,-.8924036026000977,337785,-.0869369506835938,272572,-.6065769195556641,29296,32059,-.0851955413818359,2855,-2.981161117553711,12616909,-.0975856781005859,67884,-.7949256896972656,1735204,-.0843296051025391,710937,-1.108976364135742,742151,-.1163444519042969,5779075,123569,5.431135654449463,70548,.1218461990356445,8369,-1.506954193115234,201341,-.212890625,4432225,.3080253601074219,971903,-.0708732604980469,303116,.4730672836303711,977408,-.4369726181030273,27608508,.2275714874267578,17136,-.5622797012329102,5406,-.2700471878051758,36554980,.5041007995605469,545105,-.5340185165405273,34922,-.7895574569702148,4391,-1.086930274963379,497061,-.0278205871582031,605085,.2615251541137695,10884448,.1755752563476563,28940,-.5596752166748047,49910,.5063943862915039,360750,-.0821762084960938,40548,117146,.4949550628662109,707668,-.0677642822265625,176326,.3492746353149414,7603426,-.1838064193725586,45671456,.7459430694580078,13009954,.0342922210693359,3241782,.4452962875366211,26155,.5995941162109375,matched (3),769175.5,.82285452,1040571.9,1593200.4
201010,840721,609,3800,6618254,10,0,0,0,0,0,0,0,0,1,0,0,680269,-.0132780075073242,34571,-.0939130783081055,226074,-1.629645347595215,250887,20642,1.390080451965332,322014,-.8262615203857422,3794,587482,-.1314735412597656,712634,.7304363250732422,418202,.2135553359985352,244796,-.107478141784668,7406,27090,-.1684131622314453,2272,-.2284111976623535,10968786,-.139984130859375,129403,.6451311111450195,983366,-.5678987503051758,124737,-1.740376472473145,607389,-.200383186340332,223908,54004,-.8277416229248047,87824,.2190418243408203,9633,.140660285949707,42165,-1.563409805297852,4093089,-.0796012878417969,1233961,.2387285232543945,383725,.2358102798461914,499768,-.6707601547241211,23841192,-.1467094421386719,24037,.3384132385253906,47957,2.182795524597168,23204200,-.4544830322265625,547889,.0050945281982422,23567,-.3932695388793945,1710,-.9430632591247559,415240,-.1798563003540039,571014,-.0579557418823242,10997769,.0103588104248047,112554,1.358208656311035,31857,-.4489641189575195,139468,-.9503498077392578,244093,152875,.266200065612793,1579074,.8026189804077148,156641,-.118377685546875,8341696,.0926675796508789,33574804,-.3076972961425781,8675369,-.4052267074584961,5242797,.4807319641113281,27586,.0532674789428711,matched (3),7534878,.82285452,821515,1459583.5
