period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1038c757,growth1038c757,Y1237c251,growth1237c251,Y1292c246,growth1292c246,Y1411c600,Y1453c826,growth1453c826,Y1516c246,growth1516c246,Y1596c152,growth1596c152,Y1627c68,growth1627c68,Y1738c757,growth1738c757,Y1741c752,growth1741c752,Y1901c68,growth1901c68,Y2047c792,growth2047c792,Y2426c344,Y2626c32,Y2659c208,growth2659c208,Y2723c440,growth2723c440,Y2774c484,growth2774c484,Y2789c428,growth2789c428,Y2901c428,growth2901c428,Y2947c752,growth2947c752,Y2953c344,Y3029c554,Y3042c608,Y3085c616,growth3085c616,Y3173c826,growth3173c826,Y3386c152,growth3386c152,Y3623c344,Y3709c68,growth3709c68,Y3841c372,growth3841c372,Y3882c586,growth3882c586,Y3917c68,growth3917c68,Y393c757,growth393c757,Y3966c372,growth3966c372,Y4006c554,Y4156c208,growth4156c208,Y4324c792,Y4326c152,growth4326c152,Y4450c586,growth4450c586,Y4545c344,Y4693c620,growth4693c620,Y46c32,Y4784c600,growth4784c600,Y4792c152,growth4792c152,Y4851c818,Y4931c608,Y518c348,growth518c348,Y586c792,growth586c792,Y646c818,Y6c152,Y920c826,growth920c826,_merge,x,r2,s,sf
201001,840890,600,3809,128953,01,0,0,0,0,0,0,0,0,0,0,0,2439026,,8844222,,129998,,0,469615,,55966,,264358,,9638,,8566546,,27755,,3748,,23706,,179663,73723,308128,,33418,,185910,,137136,,18838,,22589,,122579,297219,127868,280616,,458833,,494215,,1893237,116206,,47322,,790742,,16967,,4134506,,35386,,32384,132666,,282736,72909,,18536,,346273,645373,,0,33812,,543441,,452672,477852,720168,,2232052,,345960,0,1758885,,matched (3),,.93041915,,
201002,840890,601,3809,11688,02,1,0,0,0,0,0,0,0,0,0,0,2429683,-.0038385391235352,3770093,-.8526639938354492,93724,-.3271646499633789,608534,256927,-.6031208038330078,19391,-1.059935569763184,180515,-.3814907073974609,38459,1.383879661560059,7927869,-.0774803161621094,23592,-.1625089645385742,1575,-.866966724395752,265236,2.414892196655273,31010,5078,300206,-.0260457992553711,16001,-.7364435195922852,111113,-.514714241027832,233228,.5310430526733398,6817,-1.016456604003906,3585,-1.840703964233398,117247,347407,96383,219551,-.2454023361206055,343154,-.2905073165893555,318635,-.4389247894287109,1693081,134443,.1457767486572266,108504,.8298120498657227,283568,-1.025519371032715,10856,-.4465522766113281,4164119,.007136344909668,21431,-.5014781951904297,917,549014,1.420289039611816,1331,10882,-1.902101516723633,43023,.8420200347900391,301478,17193,-3.625326156616211,0,41773,.2114343643188477,367890,-.39013671875,488522,358056,710749,-.0131654739379883,1763678,-.2355203628540039,446796,0,1145771,-.4286022186279297,matched (3),2558520,.93041915,813566.75,1476092.4
201003,840890,602,3809,33807,03,0,1,0,0,0,0,0,0,0,0,0,2528676,.0399351119995117,5103763,.3028783798217773,210441,.8088512420654297,68587,393018,.4250631332397461,38263,.6796741485595703,238638,.2791337966918945,29888,-.25213623046875,9072185,.1348285675048828,79843,1.219155311584473,3598,.8261227607727051,80558,-1.191642761230469,41211,8017,358491,.177433967590332,14881,-.072566032409668,273653,.9013128280639648,122934,-.6403684616088867,883,-2.043849945068359,6864,.649531364440918,87020,326648,469897,345089,.4522171020507813,310230,-.100865364074707,1316114,1.418392181396484,1640440,323713,.8787164688110352,97259,-.1094093322753906,200155,-.3483600616455078,13123,.1896486282348633,4753705,.1324195861816406,29499,.3195180892944336,26791,242057,-.8189506530761719,54248,116053,2.366936683654785,68669,.4675636291503906,728614,703901,3.712135314941406,0,58604,.3385534286499023,232491,-.4589328765869141,403568,327485,1058959,.3987226486206055,2408152,.3114585876464844,420727,0,1046389,-.0907325744628906,matched (3),4694104,.93041915,777346.69,1456442.9
201004,840890,603,3809,97769,04,0,0,1,0,0,0,0,0,0,0,0,2608254,.0309858322143555,4751045,-.0716133117675781,329736,.4490871429443359,592157,687373,.5590219497680664,53671,.3383893966674805,183507,-.2626943588256836,33551,.1156101226806641,8340967,-.0840339660644531,69345,-.1409683227539063,10978,1.11551570892334,86159,.0672168731689453,176271,152,286000,-.2259111404418945,34759,.848353385925293,40129,-1.919761657714844,135397,.0965633392333984,3496,1.376049995422363,1917,-1.275528430938721,114712,231132,186314,466092,.3005809783935547,325003,.0465202331542969,463466,-1.043704986572266,1954244,107222,-1.104955673217773,50998,-.6455917358398438,253305,.2355022430419922,17921,.3116073608398438,2956473,-.4749269485473633,51791,.5628604888916016,8768,466789,.6567039489746094,207843,33637,-1.238420486450195,28327,-.8854827880859375,303850,36519,-2.958805084228516,0,28343,-.7264232635498047,321457,.3240127563476563,327191,727217,925024,-.1352224349975586,3001915,.2203903198242188,1017561,0,1127105,.0743064880371094,matched (3),-284812.34,.93041915,716526.69,1424910
201005,840890,604,3809,318303,05,0,0,0,1,0,0,0,0,0,0,0,2948031,.1224565505981445,11963149,.923466682434082,67001,-1.593585014343262,0,362811,-.6389951705932617,76445,.35369873046875,310220,.5250282287597656,28000,-.1808624267578125,9121069,.0894088745117188,76659,.1002731323242188,9372,-.1581668853759766,110416,.2480602264404297,112565,46533,168024,-.5318851470947266,12604,-1.014424324035645,302079,2.018589019775391,216325,.4685707092285156,6328,.5933647155761719,1256,-.4228296279907227,173163,485033,129560,283440,-.4973821640014648,212369,-.4255084991455078,1254611,.9958477020263672,2017117,297661,1.021053314208984,49725,-.0252780914306641,335962,.2824039459228516,42533,.8643064498901367,2988712,.0108451843261719,52796,.0192184448242188,30711,89481,-1.651850700378418,108424,201743,1.79136848449707,29371,.0361919403076172,203306,60955,.512303352355957,0,16501,-.540959358215332,379766,.166691780090332,1878576,380526,1015103,.092926025390625,2699766,-.1060848236083984,243341,0,1270586,.1198263168334961,matched (3),8188011.5,.93041915,2307296.5,2615449.3
201006,840890,605,3809,129546,06,0,0,0,0,1,0,0,0,0,0,0,1942520,-.4171514511108398,3166058,-1.329344749450684,57569,-.1517238616943359,122576,327700,-.1017837524414063,143446,.6293869018554688,124324,-.9143905639648438,26016,-.0734930038452148,7967038,-.1352748870849609,52600,-.3766517639160156,2385,-1.368527889251709,163837,.3946170806884766,48763,196331,262868,.447545051574707,58776,1.539719581604004,153315,-.6781940460205078,69399,-1.136909484863281,5924,-.0659723281860352,26013,3.030663967132568,238460,353381,224347,589127,.7316408157348633,340212,.4712429046630859,719454,-.5560884475708008,2365416,132302,-.8108673095703125,24862,-.6931676864624023,277588,-.1908597946166992,9974,-1.450298309326172,2012954,-.3952388763427734,32245,-.493072509765625,838,58631,-.4227628707885742,84556,60457,-1.205062866210938,89496,1.11418628692627,94186,23186,-.9665870666503906,0,11628,-.3500041961669922,234494,-.4821252822875977,548955,777339,875518,-.1479291915893555,2558054,-.0539188385009766,2778700,0,1208967,-.0497121810913086,matched (3),1118175.1,.93041915,1007387.3,1591159
201007,840890,606,3809,180267,07,0,0,0,0,0,1,0,0,0,0,0,2193393,.1214628219604492,12121017,1.342453956604004,53387,-.0754165649414063,39807,608549,.6189785003662109,120013,-.1783580780029297,169512,.310032844543457,46260,.575566291809082,9504155,.1764163970947266,17455,-1.103089332580566,5136,.7670760154724121,75650,-.7727546691894531,208039,502257,526168,.6939687728881836,76833,.2679004669189453,354773,.8389835357666016,964081,2.631302833557129,2714,-.7805886268615723,7092,-1.299628257751465,184175,499234,189404,299623,-.676116943359375,430344,.2350168228149414,1427304,.6850500106811523,2547396,322553,.8911800384521484,53585,.7679290771484375,243151,-.1324558258056641,16058,.4762258529663086,2723057,.3021516799926758,324050,2.307535171508789,43833,88003,.4061069488525391,99978,106188,.5632791519165039,71672,-.2220935821533203,143394,25356,.0894670486450195,0,77502,1.896886825561523,439078,.6272468566894531,554750,858291,918663,.0481033325195313,2952935,.1435527801513672,1064552,0,1497119,.2137765884399414,matched (3),4098156,.93041915,879531.13,1513450.8
201008,840890,607,3809,77153,08,0,0,0,0,0,0,1,0,0,0,0,3084064,.3407993316650391,2866663,-1.441792488098145,133366,.9155302047729492,260071,572201,-.0615863800048828,28089,-1.452221870422363,313725,.6155929565429688,9262,-1.608357429504395,10347232,.0849895477294922,25601,.3830051422119141,2524,-.7104301452636719,180003,.866856575012207,63939,310758,234557,-.80792236328125,73589,-.0431385040283203,495518,.3341255187988281,853273,-.122096061706543,2775,.0222272872924805,4911,-.3674898147583008,169544,476343,62859,378094,.2326183319091797,314440,-.3137922286987305,2034171,.3543004989624023,2146500,280772,-.1387243270874023,14452,-1.310436248779297,476719,.6732444763183594,38583,.8766040802001953,2049092,-.284358024597168,33385,-2.272790908813477,76995,695615,2.067425727844238,237390,132786,.2235279083251953,25340,-1.039715766906738,203556,22626,-.1139163970947266,0,54650,-.3493537902832031,1056524,.8780622482299805,429618,1818883,1012544,.0973014831542969,1849495,-.4678869247436523,1111401,0,1521233,.0159788131713867,matched (3),2617337.5,.93041915,836325.31,1488757.3
201009,840890,608,3809,69673,09,0,0,0,0,0,0,0,1,0,0,0,2081157,-.3933248519897461,8006493,1.027104377746582,120488,-.1015472412109375,163276,742743,.260859489440918,134745,1.568005561828613,212005,-.39190673828125,31879,1.236026763916016,11087262,.0690784454345703,31505,.207514762878418,8671,1.234139442443848,166723,-.0766401290893555,58873,134451,417359,.5762481689453125,99096,.2975931167602539,476324,-.0395050048828125,395612,-.7686452865600586,878,-1.150759696960449,51614,2.352314949035645,176772,640686,53828,495540,.2705049514770508,268576,-.1576595306396484,386272,-1.661301612854004,2039781,150833,-.6213703155517578,4498,-1.167200088500977,492032,.0316171646118164,41239,.0665731430053711,2320447,.1243629455566406,22584,-.3908653259277344,17663,176872,-1.369370460510254,75638,93290,-.3530263900756836,53321,.7439460754394531,138000,31712,.3375959396362305,0,48778,-.1136703491210938,193350,-1.698237419128418,373876,792478,1087528,.071441650390625,2656170,.3619728088378906,656816,0,1412823,-.0739316940307617,matched (3),1447219.5,.93041915,831595.69,1486105.5
201010,840890,609,3809,98425,10,0,0,0,0,0,0,0,0,1,0,0,2613333,.2277030944824219,8689044,.0818099975585938,43317,-1.023005485534668,0,544220,-.3109970092773438,48167,-1.028709411621094,333810,.4539623260498047,28559,-.1099748611450195,11339294,.0224761962890625,46180,.3824005126953125,10491,.1905336380004883,31239,-1.674666404724121,238291,39494,136274,-1.119278907775879,125355,.2350606918334961,666496,.3359355926513672,620555,.4501800537109375,3927,1.497984409332275,53114,.0286474227905273,178130,546703,81284,351094,-.3445940017700195,274660,.0224008560180664,350252,-.0978889465332031,2037173,214417,.3517494201660156,5885,.2687740325927734,808394,.4965057373046875,50981,.2120685577392578,3870164,.5115365982055664,55866,.9057140350341797,32204,349829,.6820182800292969,86113,45702,-.7135705947875977,124270,.8461265563964844,373386,27777,-.1324872970581055,0,16617,-1.076852798461914,179492,-.074371337890625,512091,666278,1235040,.1271963119506836,2254236,-.1640739440917969,899353,0,1682802,.174870491027832,matched (3),2572047.8,.93041915,916334.44,1535130.9
