period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1074c372,growth1074c372,Y1090c620,growth1090c620,Y1120c688,growth1120c688,Y1516c251,growth1516c251,Y1656c554,Y1665c608,Y1703c484,growth1703c484,Y1745c300,growth1745c300,Y1766c608,Y1794c826,growth1794c826,Y1844c616,growth1844c616,Y2053c300,growth2053c300,Y2125c203,Y2224c484,growth2224c484,Y2565c752,growth2565c752,Y2637c208,growth2637c208,Y2674c807,growth2674c807,Y2731c233,Y2902c616,growth2902c616,Y3022c208,growth3022c208,Y3032c703,growth3032c703,Y3263c757,growth3263c757,Y3416c752,growth3416c752,Y3495c826,growth3495c826,Y3498c608,Y3542c703,growth3542c703,Y3561c484,growth3561c484,Y3592c352,growth3592c352,Y3701c600,growth3701c600,Y3728c484,growth3728c484,Y3778c484,growth3778c484,Y3789c36,Y3849c600,growth3849c600,Y3917c586,growth3917c586,Y3970c222,growth3970c222,Y3981c484,growth3981c484,Y4004c757,growth4004c757,Y4156c372,growth4156c372,Y422c484,growth422c484,Y4338c826,growth4338c826,Y4375c428,growth4375c428,Y4377c608,Y4386c608,Y4611c218,Y4822c348,growth4822c348,Y4943c36,Y883c251,Y963c348,growth963c348,Y969c32,Y980c218,_merge,x,r2,s,sf
201001,840910,600,3810,5151,01,0,0,0,0,0,0,0,0,0,0,0,119204,,74991,,80267,,2287363,,333172,480738,980210,,158894,,1462136,2584822,,944432,,1227945,,1515210,389687,,9390,,1074116,,35286,,21264,361739,,111205,,186092,,2620394,,1015496,,3786876,,15572,1714088,,2995895,,16463,,58432,,519975,,2701188,,48162,254959,,87642,,36803,,913164,,98153,,60872,,525234,,2946295,,110992,,73895,131710,1506714,232098,,10447099,308256,6436,,15887,227889,matched (3),,.70522672,,
201002,840910,601,3810,35315,02,1,0,0,0,0,0,0,0,0,0,0,917083,2.040361404418945,135091,.5885801315307617,137334,.5370578765869141,2099568,-.085667610168457,217614,382227,910726,-.0735244750976563,380944,.874415397644043,1626521,2547318,-.0146160125732422,1049818,.1057882308959961,884594,-.3279685974121094,1555125,464477,.175567626953125,65945,1.949175834655762,1472937,.315760612487793,39154,.1040163040161133,30898,285454,-.236842155456543,157164,.3459138870239258,246482,.2810478210449219,2789928,.0626907348632813,1607604,.4593677520751953,3810150,.0061273574829102,273326,1947331,.1275777816772461,3360047,.1147127151489258,7447,-.793304443359375,33977,-.542180061340332,591420,.1287450790405273,2713333,.004486083984375,117757,94937,-.987889289855957,216036,.9021844863891602,25283,-.3754463195800781,1064322,.1531782150268555,116059,.1675710678100586,1669133,3.311286926269531,630285,.1823282241821289,3055229,.0363063812255859,245105,.7922286987304688,23158,200663,987832,310579,.2912788391113281,11490696,593639,16394,.9350080490112305,33142,1069629,matched (3),164842.52,.70522672,61776.094,85506.992
201003,840910,602,3810,32750,03,0,1,0,0,0,0,0,0,0,0,0,870749,-.051844596862793,107107,-.2321195602416992,129441,-.0591907501220703,2083610,-.00762939453125,679836,696506,996288,.0897941589355469,65149,-1.765974998474121,928979,3411530,.2921199798583984,981834,-.0669498443603516,1093932,.2124042510986328,1774908,339783,-.3126049041748047,22441,-1.07793140411377,1310231,-.1170549392700195,25368,-.4340143203735352,25304,436594,.4249229431152344,155649,-.0096864700317383,196277,-.2277612686157227,4377012,.4503507614135742,1390822,-.1448497772216797,3391333,-.1164455413818359,55798,2063710,.0580463409423828,5187670,.4343290328979492,3735,-.6900634765625,101694,1.096283912658691,478766,-.2113142013549805,3197325,.1641368865966797,101536,90451,-.048405647277832,99060,-.779719352722168,51510,.7116432189941406,938469,-.1258430480957031,456927,1.370425224304199,241576,-1.932875633239746,686142,.0849123001098633,3586324,.1602725982666016,87652,-1.028312683105469,3008,193763,1815915,240535,-.2555723190307617,10162486,518476,367,-3.799309253692627,74455,766232,matched (3),143918.67,.70522672,43958.133,73671.422
201004,840910,603,3810,9548,04,0,0,1,0,0,0,0,0,0,0,0,1107217,.2402515411376953,104650,-.0232076644897461,91782,-.3438091278076172,1516035,-.3180036544799805,434685,347425,811803,-.2047786712646484,45412,-.36090087890625,1475428,3128714,-.0865383148193359,622962,-.4549369812011719,1724163,.4549636840820313,1307814,537444,.4585180282592773,68849,1.121026039123535,1378043,.0504608154296875,9799,-.9512081146240234,27539,169648,-.9452781677246094,134332,-.1472892761230469,184155,-.0637493133544922,2455751,-.5779333114624023,1366526,-.0176239013671875,2862557,-.1695079803466797,34782,1327684,-.4410696029663086,3478219,-.3997640609741211,4785,.2477378845214844,42332,-.8764247894287109,446569,-.0696182250976563,2569482,-.2186098098754883,0,154932,.5381784439086914,90460,-.0908174514770508,51428,-.0015935897827148,790180,-.1719894409179688,168739,-.9961709976196289,208212,-.1486272811889648,654539,-.0471534729003906,3233455,-.10357666015625,53751,-.4890117645263672,9079,298453,1740420,264976,.0967731475830078,0,8313,8313,3.120213985443115,39806,73577,matched (3),172569.3,.70522672,54702.938,80545.461
201005,840910,604,3810,89422,05,0,0,0,1,0,0,0,0,0,0,0,953631,-.1493282318115234,79349,-.2767648696899414,200436,.7810783386230469,1482403,-.0224342346191406,725394,479033,912119,.1165132522583008,128502,1.040167808532715,1609030,2910941,-.0721454620361328,678627,.0855865478515625,2095009,.1948156356811523,1369123,183269,-1.075869560241699,70166,.0189476013183594,1475157,.0680999755859375,79772,2.096892356872559,12609,269135,.4614877700805664,140181,.0426206588745117,203427,.0995292663574219,2627295,.0675220489501953,1590773,.1519489288330078,3165119,.1004753112792969,59083,1656255,.2211227416992188,3755481,.0766963958740234,26066,1.695146560668945,52503,.215327262878418,638784,.3579730987548828,2677196,.0410652160644531,0,213769,.3219099044799805,69232,-.2674446105957031,84807,.5001955032348633,908832,.1398992538452148,10407,-2.785874366760254,541770,.9562845230102539,605883,-.0772438049316406,2635653,-.2044200897216797,269892,1.613659858703613,30399,190432,1347930,331628,.2243747711181641,0,338811,5162,-.476496696472168,51969,208537,matched (3),29266.828,.70522672,67527.008,89749.969
201006,840910,605,3810,97540,06,0,0,0,0,1,0,0,0,0,0,0,984212,.0315647125244141,111019,.3358449935913086,140914,-.3523454666137695,1664743,.1160058975219727,1260195,1011772,1740170,.6459674835205078,204982,.4669780731201172,1965056,3865342,.2835731506347656,701933,.0337667465209961,1556710,-.2969827651977539,1554843,181952,-.0072126388549805,94239,.2949705123901367,1739316,.1647272109985352,18006,-1.488468170166016,13928,437869,.4867067337036133,143165,.0210628509521484,210206,.032780647277832,3057276,.1515693664550781,1553109,-.023961067199707,3955137,.2228250503540039,84139,2079309,.2274770736694336,4730638,.2308435440063477,23485,-.1042699813842773,74686,.3524227142333984,709170,.1045284271240234,2681622,.0016517639160156,0,223822,.045954704284668,508694,1.994382858276367,28382,-1.094622611999512,1144350,.2304315567016602,232364,3.105826377868652,833137,.4303569793701172,782277,.2555217742919922,3566683,.3025054931640625,249248,-.0795736312866211,11732,2130841,1995732,254311,-.2654561996459961,0,906536,8020,.4406147003173828,146346,1984400,matched (3),423727.75,.70522672,75961.508,96256.484
201007,840910,606,3810,9812,07,0,0,0,0,0,1,0,0,0,0,0,112212,-2.171451568603516,119921,.0771322250366211,166178,.1649103164672852,1595205,-.042668342590332,2502781,473461,958721,-.5961380004882813,93255,-.7875843048095703,2074410,3547842,-.0857105255126953,749953,.0661725997924805,465829,-1.206511497497559,1583947,202472,.1068592071533203,39523,-.8689517974853516,1459577,-.1753454208374023,8875,-.7074661254882813,10772,299176,-.3808879852294922,173017,.18939208984375,198535,-.0571222305297852,2074796,-.3876619338989258,1415927,-.0924749374389648,3404279,-.1499824523925781,49328,1029629,-.7028369903564453,3469497,-.3100509643554688,10080,-.8458089828491211,66379,-.1179122924804688,684756,-.0350322723388672,2712214,.0113439559936523,33328,215041,-.0400228500366211,208456,-.8921184539794922,12779,-.7979516983032227,744764,-.4295244216918945,139535,-.5099897384643555,62073,-2.596887588500977,540814,-.3691339492797852,3134863,-.1290502548217773,239530,-.0397701263427734,23084,164773,1735358,227222,-.1126298904418945,13752586,465050,11245,.3379850387573242,15896,20266,matched (3),120819.45,.70522672,33938.539,68168.797
201008,840910,607,3810,12548,08,0,0,0,0,0,0,1,0,0,0,0,1075108,2.259786605834961,112425,-.0645465850830078,88959,-.6248836517333984,2202127,.3224220275878906,2210506,639937,762592,-.228877067565918,151477,.4850959777832031,2361403,3043612,-.153294563293457,791483,.0538978576660156,1111466,.8696165084838867,1234288,158682,-.2437000274658203,56280,.3534564971923828,2014479,.3222141265869141,31437,1.26474666595459,11743,513110,.5394582748413086,169653,-.0196342468261719,229556,.1451816558837891,3935534,.6401844024658203,2217222,.4484710693359375,3574770,.0488681793212891,42938,2688876,.9599246978759766,4772422,.3188447952270508,19682,.6691513061523438,72862,.0931863784790039,708957,.0347318649291992,4655157,.5402097702026367,450757,392622,.6020193099975586,202966,-.0266895294189453,28675,.8082218170166016,1036728,.3307580947875977,439198,1.146635055541992,424539,1.922693252563477,539937,-.0016231536865234,2745582,-.1325931549072266,550061,.8313512802124023,43809,299274,1829011,264592,.1522617340087891,14766019,9397,2694,-1.428896427154541,75490,174029,matched (3),-35431.465,.70522672,43660.805,73494.398
201009,840910,608,3810,10485,09,0,0,0,0,0,0,0,1,0,0,0,755930,-.3522281646728516,148012,.2750062942504883,143336,.477015495300293,1518345,-.3718032836914063,1510761,384167,494829,-.4325113296508789,137646,-.0957489013671875,2900980,3474932,.1325302124023438,1008393,.2422046661376953,643769,-.5460948944091797,2346721,139176,-.1311626434326172,37073,-.417449951171875,1435729,-.3386878967285156,46966,.4014387130737305,9707,424707,-.1890907287597656,141771,-.1795425415039063,214809,-.0663976669311523,4441460,.120936393737793,1747360,-.2381496429443359,3889403,.0843544006347656,64629,2108283,-.2432498931884766,3464312,-.3203401565551758,9299,-.7497978210449219,66562,-.0904331207275391,741139,.0443935394287109,2418570,-.6547994613647461,124166,194110,-.7044229507446289,120946,-.5176944732666016,27673,-.0355682373046875,779674,-.2849493026733398,201242,-.7804422378540039,582502,.3163290023803711,366392,-.3877477645874023,3415094,.2182121276855469,820607,.4000148773193359,32000,173585,1768293,253623,-.0423402786254883,13544035,68913,14644,1.693004131317139,14081,518013,matched (3),-63650.066,.70522672,38413.887,70503.805
201010,840910,609,3810,24115,10,0,0,0,0,0,0,0,0,1,0,0,995072,.274867057800293,152297,.0285396575927734,234640,.4928607940673828,2052490,.3014326095581055,1990681,643131,945165,.6471481323242188,229175,.509800910949707,2115052,2356806,-.3882675170898438,1038023,.0289592742919922,690167,.0695934295654297,1510368,227973,.4934883117675781,67998,.6065893173217773,1607522,.1130208969116211,71938,.4263811111450195,15954,734304,.5475234985351563,179410,.2354612350463867,218780,.0183172225952148,4644093,.0446128845214844,1912783,.0904531478881836,10019014,.9462289810180664,209161,1719087,-.2040805816650391,4779826,.3218898773193359,29047,1.139008522033691,58414,-.1305780410766602,903803,.1984233856201172,3094287,.2463817596435547,61620,410632,.7492733001708984,67798,-.5788116455078125,163450,1.776049613952637,1285303,.4998741149902344,284080,.3447484970092773,167574,-1.245907783508301,747704,.7133026123046875,2524807,-.3020401000976563,1067043,.2626018524169922,71449,134200,1900641,268476,.0569124221801758,13557884,480711,5378,-1.001714706420898,32008,1130324,matched (3),-69165.641,.70522672,57255.445,82300.344
