period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1101c381,Y1626c600,growth1626c600,Y1666c124,growth1666c124,Y1696c348,growth1696c348,Y1723c348,growth1723c348,Y1745c36,Y1890c620,growth1890c620,Y1956c826,growth1956c826,Y199c807,growth199c807,Y2057c757,growth2057c757,Y2100c251,growth2100c251,Y2118c348,growth2118c348,Y2120c442,Y2124c705,growth2124c705,Y2146c246,growth2146c246,Y2217c251,growth2217c251,Y2223c757,growth2223c757,Y2408c251,growth2408c251,Y2419c208,growth2419c208,Y2420c381,Y2563c703,growth2563c703,Y2754c705,growth2754c705,Y2864c208,growth2864c208,Y2c381,Y3015c826,growth3015c826,Y3157c757,growth3157c757,Y3158c251,growth3158c251,Y3208c381,Y3263c251,growth3263c251,Y3277c251,growth3277c251,Y3348c826,growth3348c826,Y3415c381,Y3474c300,growth3474c300,Y3550c757,growth3550c757,Y3577c642,Y3595c124,growth3595c124,Y3811c620,growth3811c620,Y3823c620,growth3823c620,Y3876c442,Y3902c586,growth3902c586,Y3903c484,growth3903c484,Y4190c124,growth4190c124,Y4466c381,Y4480c826,growth4480c826,Y4541c757,growth4541c757,Y4604c620,growth4604c620,Y4919c752,growth4919c752,Y539c381,Y661c792,growth661c792,Y976c246,growth976c246,_merge,x,r2,s,sf
201001,841191,600,3823,16202402,01,0,0,0,0,0,0,0,0,0,0,0,392576,52310,,282846,,2782939,,73033,,487635,2229234,,14972254,,196808,,2511419,,2430932,,571,,1007533,9860,,188233,,2549756,,58656,,3423439,,145224,,1191514,207212,,359501,,3082063,,5915974,2742268,,1353919,,7704707,,21254024,34163656,,6627266,,4372830,,2482917,136805,,1051370,,600068,29607,,7531132,,4723479,,490096,978246,,383492,,8004088,,26950428,36489948,,1021538,,14771767,,112945,,74611648,967035,,17081,,matched (3),,.86831218,,
201002,841191,601,3823,11911729,02,1,0,0,0,0,0,0,0,0,0,0,341040,26895,-.6652469635009766,650522,.8328723907470703,1999687,-.3305168151855469,66191,-.0983667373657227,597186,2497511,.1136369705200195,11675855,-.2486763000488281,93867,-.7403497695922852,2254929,-.1077299118041992,4547799,.626368522644043,1888,1.195884227752686,927604,7812,-.2328252792358398,164978,-.1318693161010742,1547147,-.4995841979980469,28241,-.7309150695800781,2531130,-.3019790649414063,69680,-.7343645095825195,1158828,124486,-.5095491409301758,360661,.0032215118408203,2376867,-.2598161697387695,5115876,2377806,-.1426076889038086,1095030,-.2122220993041992,7641696,-.0082120895385742,18598728,33946248,-.0063838958740234,4551904,-.3756465911865234,3991528,-.0912361145019531,4984438,217895,.4654569625854492,1491324,.3495702743530273,1309258,36004,.1956195831298828,7241961,-.0391530990600586,9196591,.6662874221801758,459970,349940,-1.027998924255371,539115,.3406105041503906,4207419,-.6431026458740234,20317052,33779612,-.0771808624267578,1267956,.2160968780517578,16919342,.1357402801513672,111377,-.0139799118041992,24259144,373687,-.9508161544799805,87060,1.628630638122559,matched (3),10950116,.86831218,1962356,2852758
201003,841191,602,3823,15510942,03,0,1,0,0,0,0,0,0,0,0,0,678570,55985,.7331438064575195,816826,.2276506423950195,3058539,.4249467849731445,125935,.6432209014892578,205709,2299958,-.0824041366577148,13233283,.1252117156982422,123089,.2710285186767578,2375362,.0520315170288086,3522835,-.2553768157958984,3833,.7081294059753418,1092329,16135,.7253303527832031,201116,.1980705261230469,2239925,.3700294494628906,57396,.7091999053955078,4528850,.5818014144897461,79000,.1255350112915039,1517070,296754,.8687095642089844,379494,.0509004592895508,2966327,.2215414047241211,4935419,2737747,.1409578323364258,1645580,.4073114395141602,11394894,.3995466232299805,18621412,34404964,.0134239196777344,4793104,.0516319274902344,5223238,.2689428329467773,2039203,335098,.4304094314575195,1170820,-.2419595718383789,1427399,239195,1.893649101257324,8199210,.1241455078125,14394047,.4479808807373047,775104,657118,.630101203918457,1034147,.6514034271240234,7650037,.5978603363037109,27550636,34716704,.0273647308349609,1319206,.0396242141723633,19719104,.1531295776367188,240154,.7683591842651367,42590712,1210691,1.175527572631836,181189,.7329435348510742,matched (3),16017718,.86831218,2350793,3132669
201004,841191,603,3823,13425728,04,0,0,1,0,0,0,0,0,0,0,0,473895,61420,.0926513671875,187145,-1.473542213439941,2728561,-.1141624450683594,109541,-.1394662857055664,0,2089420,-.0960044860839844,15343169,.1479358673095703,167325,.3070306777954102,2513611,.0565710067749023,2674783,-.2753982543945313,1944,-.6788997650146484,838075,10363,-.4427490234375,355170,.5687141418457031,2602461,.1500148773193359,94330,.4968242645263672,4396117,-.0297460556030273,66837,-.1671915054321289,1000670,199185,-.3986692428588867,373519,-.0158700942993164,2159793,-.3173122406005859,5363697,1746474,-.4495363235473633,1490134,-.0992269515991211,8573983,-.2844333648681641,16782566,31404908,-.0912380218505859,4457819,-.0725183486938477,4741016,-.0968656539916992,1647350,131570,-.9348840713500977,739923,-.4589138031005859,0,130565,-.60540771484375,6303118,-.2629928588867188,13017767,-.1004981994628906,661750,286466,-.8302431106567383,436821,-.8618087768554688,7426259,-.0296878814697266,26119500,34754088,.0010757446289063,1181747,-.1100358963012695,15585645,-.2352371215820313,217553,-.0988378524780273,46510668,616747,-.6744871139526367,51137,-1.265032768249512,matched (3),13849845,.86831218,1333593.4,2462896.3
201005,841191,604,3823,16787368,05,0,0,0,1,0,0,0,0,0,0,0,475526,24084,-.936187744140625,526234,1.033862113952637,2439396,-.1120243072509766,113846,.0385475158691406,0,2774736,.2836694717407227,13095299,-.158416748046875,210213,.2281827926635742,2515057,.000575065612793,2793617,.0434694290161133,50,-3.66048002243042,853308,3460,-1.096973419189453,314636,-.1211795806884766,1985320,-.2706775665283203,21076,-1.498663902282715,3351806,-.2712221145629883,111673,.5133180618286133,1136509,101412,-.6750421524047852,414101,.1031417846679688,2196685,.016937255859375,5205798,2140434,.2034091949462891,1492494,.0015830993652344,7962782,-.0739536285400391,16163163,36596232,.1529827117919922,2225043,-.6948833465576172,5098722,.0727386474609375,1887249,143221,.0848493576049805,1220937,.5008277893066406,1200659,59122,-.7922687530517578,6199963,-.0165014266967773,12435706,-.0457439422607422,534992,145017,-.6807689666748047,785721,.5870780944824219,11087984,.4008398056030273,27308470,35329664,.0164260864257813,1304586,.0988912582397461,14136708,-.0975761413574219,330636,.4185762405395508,58273248,810475,.2731618881225586,146511,1.052592277526856,matched (3),15420162,.86831218,1410937.6,2505620
201006,841191,605,3823,18089134,06,0,0,0,0,1,0,0,0,0,0,0,501236,61699,.9407196044921875,950710,.5914630889892578,2496779,.0232505798339844,104346,-.0871343612670898,0,2194751,-.2344875335693359,15734622,.1836109161376953,46288,-1.513238906860352,2623184,.0420932769775391,2400160,-.1518020629882813,2747,4.006241798400879,824052,25496,1.997252464294434,327590,.0403461456298828,1782188,-.1079378128051758,163981,2.051614761352539,3161944,-.0583124160766602,193312,.5487308502197266,1266169,200087,.679560661315918,503688,.1958465576171875,3386384,.4328136444091797,5753133,2494667,.1531467437744141,1661972,.1075553894042969,9582781,.1851882934570313,17713724,37627664,.0277938842773438,3261420,.3823862075805664,6510938,.2444934844970703,2356788,82032,-.5572786331176758,1088656,-.1146745681762695,1150080,89534,.4150152206420898,6860561,.1012458801269531,8140610,-.4237070083618164,797868,448886,1.129918098449707,269275,-1.070868492126465,11144772,.0051078796386719,31589264,38935204,.0971755981445313,1143882,-.1314573287963867,15373588,.0838775634765625,487173,.3876008987426758,58505248,965718,.1752510070800781,70655,-.7292909622192383,matched (3),16866262,.86831218,1555528.8,2589798.5
201007,841191,606,3823,18931600,07,0,0,0,0,0,1,0,0,0,0,0,824283,95919,.4412364959716797,637640,-.3994350433349609,3425427,.3162250518798828,175930,.522374153137207,436256,3302917,.4087381362915039,16416524,.0424232482910156,147013,1.155638694763184,2944624,.1155920028686523,3119759,.2622203826904297,3833,.3331379890441895,1008660,11935,-.7590456008911133,219095,-.4022579193115234,2072586,.1509552001953125,48514,-1.217897415161133,3281672,.037165641784668,164979,-.1584873199462891,1062265,201448,.0067787170410156,511971,.0163106918334961,4450059,.2731542587280273,4614131,2946321,.1664018630981445,1974570,.1723461151123047,7920516,-.1905107498168945,16261295,38822256,.0312538146972656,2766493,-.1645822525024414,5396886,-.1876621246337891,3678141,150054,.6038856506347656,1137482,.0438728332519531,1447284,159259,.5759134292602539,6310754,-.0835342407226563,11171297,.3164834976196289,937000,340664,-.2758722305297852,380920,.3468561172485352,12986194,.1529159545898438,28481228,42962008,.0984172821044922,1548992,.3031759262084961,15376395,.0001811981201172,258094,-.6352949142456055,65267888,1444552,.4026823043823242,89294,.2341251373291016,matched (3),17737766,.86831218,1569864.4,2598434.3
201008,841191,607,3823,16702455,08,0,0,0,0,0,0,1,0,0,0,0,84330,45303,-.7501306533813477,774971,.1950521469116211,2950362,-.1492986679077148,133766,-.2739944458007813,281847,939087,-1.25765323638916,12617448,-.2632064819335938,259742,.5691680908203125,2237659,-.2745504379272461,2246561,-.3283548355102539,1843,-.7322530746459961,902883,2313,-1.64093017578125,242279,.1005849838256836,2217970,.0677947998046875,33096,-.3824405670166016,2015304,-.4875831604003906,104001,-.4614181518554688,586174,152431,-.2788190841674805,436821,-.1587438583374023,4009853,-.1041622161865234,4945685,2391645,-.2085752487182617,1476550,-.2906417846679688,6115803,-.258580207824707,14707569,22043390,-.5659809112548828,1306746,-.7500400543212891,4922675,-.0919694900512695,1401066,61398,-.8936185836791992,763818,-.3982429504394531,987562,52619,-1.107454299926758,6114624,-.0315713882446289,5496714,-.709197998046875,579600,607680,.5787515640258789,280065,-.3075675964355469,13501907,.0389442443847656,21776890,38262472,-.1158466339111328,951562,-.4872541427612305,11801473,-.2646083831787109,164884,-.4480819702148438,39293412,1336935,-.0774192810058594,33722,-.9737834930419922,matched (3),13109943,.86831218,1682975,2668293.8
201009,841191,608,3823,18375050,09,0,0,0,0,0,0,0,1,0,0,0,890728,45978,.0147895812988281,780251,.0067901611328125,3141929,.0629091262817383,164781,.2085256576538086,759616,1976810,.7443313598632813,16260602,.2536640167236328,115085,-.8140182495117188,2965943,.281764030456543,3126125,.3303937911987305,5981,1.177193641662598,920118,11111,1.569390296936035,295504,.1985921859741211,1838328,-.1877355575561523,105871,1.162809371948242,4050394,.6980447769165039,105522,.0145196914672852,1096603,194622,.2443475723266602,562732,.2532796859741211,4540353,.1242494583129883,5393079,3222225,.2980899810791016,1598333,.0792522430419922,10444699,.5352191925048828,25633900,32796304,.3973026275634766,2094246,.4716529846191406,6704040,.3088579177856445,2500055,270226,1.481882095336914,1168068,.4247770309448242,1530166,124571,.8617982864379883,7647356,.2236766815185547,7667511,.3328418731689453,846435,812936,.2910041809082031,513453,.6061363220214844,11854432,-.1301288604736328,27646160,41514640,.0815773010253906,950728,-.0008773803710938,16526787,.3367576599121094,171509,.039393424987793,56989856,986457,-.3040151596069336,307763,2.211178779602051,matched (3),18752026,.86831218,1435757.8,2519680
201010,841191,609,3823,17654790,10,0,0,0,0,0,0,0,0,1,0,0,713402,104007,.8162956237792969,590297,-.2789907455444336,3201466,.0187721252441406,126518,-.2642326354980469,624885,2314297,.1576213836669922,14760768,-.0967731475830078,338282,1.078208923339844,3283994,.1018657684326172,4777802,.4241857528686523,5086,-.1620960235595703,951458,11217,.0094947814941406,293199,-.0078306198120117,2394384,.2642698287963867,97714,-.0801763534545898,4884851,.1873245239257813,100420,-.0495586395263672,1026419,164666,-.167140007019043,507025,-.104243278503418,4213084,-.0748100280761719,5426209,2850692,-.1225099563598633,1627977,.0183773040771484,8814686,-.1696758270263672,24853852,37458988,.1329307556152344,2878277,.3179988861083984,7416912,.1010522842407227,2048293,149198,-.5939846038818359,1121459,-.0407199859619141,1187860,43715,-1.047183990478516,7864783,.0280351638793945,7278213,-.0521068572998047,443898,293475,-1.01885986328125,444629,-.1439180374145508,12913883,.085601806640625,26825144,41132784,-.0092411041259766,1038170,.087986946105957,16864460,.0202255249023438,151297,-.1253910064697266,37853216,729240,-.3021173477172852,220559,-.3331642150878906,matched (3),17367694,.86831218,1346595.6,2469960.8
