period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1159c484,growth1159c484,Y1167c792,growth1167c792,Y1247c752,growth1247c752,Y1390c222,growth1390c222,Y1429c440,Y1436c440,growth1436c440,Y1540c222,growth1540c222,Y1594c440,growth1594c440,Y1619c586,growth1619c586,Y1653c152,growth1653c152,Y1663c600,growth1663c600,Y1702c586,growth1702c586,Y1821c752,growth1821c752,Y1887c152,Y2056c586,growth2056c586,Y2439c792,growth2439c792,Y2736c32,Y2881c124,growth2881c124,Y2909c826,growth2909c826,Y2939c268,growth2939c268,Y2984c32,Y3066c620,growth3066c620,Y3228c124,growth3228c124,Y3318c208,growth3318c208,Y3414c586,growth3414c586,Y3462c152,growth3462c152,Y3497c826,growth3497c826,Y3772c348,growth3772c348,Y379c428,growth379c428,Y3924c752,growth3924c752,Y3962c344,Y4002c554,Y4141c616,growth4141c616,Y4177c600,growth4177c600,Y4215c268,growth4215c268,Y4270c372,growth4270c372,Y4489c222,growth4489c222,Y4608c222,growth4608c222,Y4634c300,growth4634c300,Y4749c757,growth4749c757,Y4881c752,growth4881c752,Y488c428,growth488c428,Y5019c554,Y610c757,growth610c757,Y655c484,growth655c484,Y810c203,Y853c826,growth853c826,Y88c300,growth88c300,Y970c616,growth970c616,Y984c124,_merge,x,r2,s,sf
201001,841221,600,3826,1294822,01,0,0,0,0,0,0,0,0,0,0,0,19284648,,341703,,1667940,,55346,,3412,78248,,93724,,36118,,473209,,813114,,518205,,473394,,408744,,374296,76885,,8725608,,222354,4231051,,2575227,,930,,1433487,69403,,742610,,244356,,349824,,4207617,,969307,,284254,,52522,,648891,,4122622,45721,577285,,461151,,309434,,168068,,246232,,299659,,61389,,3674530,,7891,,403445,,354590,458362,,3812352,,2369,811967,,83835,,492508,,82223,matched (3),,.92950249,,
201002,841221,601,3826,1066853,02,1,0,0,0,0,0,0,0,0,0,0,19674596,.0200176239013672,639282,.62640380859375,600659,-1.021317481994629,65580,.1696662902832031,14702,139473,.5779876708984375,57719,-.4847679138183594,23486,-.4303874969482422,118047,-1.388454437255859,615754,-.2780237197875977,494357,-.0471124649047852,266673,-.5739049911499023,88483,-1.530278205871582,100601,17761,-1.465305328369141,6481732,-.2972736358642578,176082,3719327,-.1289081573486328,2673854,.0375833511352539,2081,.8054194450378418,601455,78987,.1293535232543945,791558,.0638322830200195,178799,-.3123636245727539,247549,-.3458213806152344,2960896,-.3514041900634766,479440,-.7039632797241211,332528,.156855583190918,6603,-2.073707580566406,586769,-.1006336212158203,1534492,10356,588931,.0199728012084961,439241,-.0486774444580078,333803,.0758066177368164,101620,-.5031280517578125,82018,-1.099334716796875,154710,-.6610927581787109,25070,-.8955593109130859,1474016,-.9134349822998047,15518,.6762771606445313,425789,.0539035797119141,195593,214123,-.7611083984375,3504701,-.084141731262207,24057,1471718,.5947256088256836,130945,.4459266662597656,282266,-.5566616058349609,53921,matched (3),714634.06,.92950249,1074300.3,1582504.5
201003,841221,602,3826,1990601,03,0,1,0,0,0,0,0,0,0,0,0,23347248,.1711521148681641,794208,.2170000076293945,1183902,.6785440444946289,72017,.0936307907104492,16245,204485,.3826236724853516,222922,1.351235389709473,59527,.9300260543823242,282134,.8712997436523438,1739672,1.038604736328125,558781,.1224994659423828,509016,.6464567184448242,313174,1.263948440551758,119243,84956,1.565128326416016,9508742,.3832235336303711,287235,2765850,-.2961950302124023,2710347,.0135555267333984,9024,1.467039108276367,1630502,110439,.3351802825927734,1121712,.3486080169677734,394104,.7903518676757813,241123,-.026301383972168,3354939,.1249408721923828,625128,.2653379440307617,407085,.2022981643676758,49272,2.009831428527832,510049,-.1401243209838867,679200,63605,3042704,1.642192840576172,464243,.0553598403930664,391149,.1585369110107422,185171,.6000394821166992,278370,1.222011566162109,469125,1.109316825866699,60147,.8751201629638672,3145793,.7580757141113281,18323,.1661567687988281,580801,.3104639053344727,433974,236246,.098322868347168,3486303,-.0052633285522461,109719,1216315,-.1906042098999023,168970,.25494384765625,1173164,1.424610137939453,62323,matched (3),4332363,.92950249,1170995.5,1649675.8
201004,841221,603,3826,1633889,04,0,0,1,0,0,0,0,0,0,0,0,17140268,-.3090496063232422,342388,-.8414011001586914,1111994,-.0626611709594727,60835,-.168736457824707,7875,249246,.1979465484619141,41595,-1.678841590881348,25452,-.8496360778808594,162550,-.551396369934082,769854,-.815251350402832,668392,.1791172027587891,371242,-.3156251907348633,85715,-1.295731544494629,98856,35586,-.8701810836791992,9669099,.0167236328125,146796,2023456,-.3125410079956055,1632320,-.5070743560791016,931,-2.271383762359619,475737,211915,.6517219543457031,993532,-.1213445663452148,926941,.8552751541137695,42947,-1.725340843200684,3455918,.0296545028686523,440604,-.3498096466064453,431782,.05889892578125,4982,-2.291523933410645,566489,.1049509048461914,7461542,83534,2183565,-.331787109375,440671,-.0521097183227539,405513,.0360651016235352,225753,.1981620788574219,60839,-1.520719528198242,341770,-.3167314529418945,63284,.0508403778076172,1633743,-.6551923751831055,3432,-1.675013542175293,479958,-.190709114074707,247105,178326,-.2812604904174805,2563757,-.3073673248291016,30596,788292,-.4337120056152344,90207,-.6276140213012695,812909,-.3668403625488281,105168,matched (3),989245.13,.92950249,1412446,1828989.8
201005,841221,604,3826,1820979,05,0,0,0,1,0,0,0,0,0,0,0,10680780,-.4729843139648438,532492,.4416227340698242,1094638,-.0157308578491211,81436,.291651725769043,19515,391536,.4516363143920898,221111,1.670684814453125,50601,.6871776580810547,90407,-.5866641998291016,1075495,.3343353271484375,392601,-.5320806503295898,345587,-.0716104507446289,89029,.0379343032836914,59969,40596,.1317167282104492,10016309,.0352783203125,35431,2254442,.1080961227416992,1605517,-.0165557861328125,3295,1.263902187347412,537462,160372,-.2786893844604492,1634928,.4980869293212891,1004968,.0808210372924805,82152,.6486043930053711,4209498,.1972560882568359,338158,-.2646331787109375,420381,-.0267601013183594,9247,.6184673309326172,429863,-.2759914398193359,962521,90397,1559564,-.336552619934082,232686,-.6386089324951172,754556,.620976448059082,159366,-.3482379913330078,220487,1.287607192993164,494633,.3696784973144531,57507,-.0957260131835938,4430278,.997589111328125,11089,1.172810554504395,308201,-.4429464340209961,371328,251937,.3455657958984375,2838737,.1018848419189453,166618,1036767,.2739934921264648,27893,-1.173731803894043,1282404,.4558725357055664,82980,matched (3),4393704,.92950249,1156153.9,1639173.9
201006,841221,605,3826,2558151,06,0,0,0,0,1,0,0,0,0,0,0,7622637,-.3373231887817383,670619,.2306337356567383,1198652,.0907735824584961,50591,-.476043701171875,6797,168553,-.8428268432617188,49556,-1.495561599731445,52261,.0322790145874023,422494,1.541853904724121,697827,-.4325647354125977,600953,.4257221221923828,371746,.0729665756225586,74024,-.1845722198486328,363493,67680,.5111217498779297,15519846,.4379062652587891,135235,3082875,.3129596710205078,1564560,-.0258417129516602,1642,-.6964912414550781,1115057,88639,-.5929241180419922,1360041,-.1840839385986328,402444,-.9151544570922852,264367,1.168766975402832,3945060,-.0648794174194336,473611,.3368730545043945,460281,.0906763076782227,8040,-.1398696899414063,297792,-.3670711517333984,1788211,7155,2002172,.2498254776000977,256216,.0963315963745117,567396,-.2850723266601563,145083,-.093897819519043,237575,.0746450424194336,446406,-.1025867462158203,70484,.2034797668457031,2327539,-.643651008605957,40735,1.30113410949707,473071,.428492546081543,345856,514386,.7137947082519531,3226491,.1280364990234375,257814,1562533,.4102010726928711,37720,.3018150329589844,803703,-.4672622680664063,63855,matched (3),5515219.5,.92950249,704155.63,1358688.6
201007,841221,606,3826,2717110,07,0,0,0,0,0,1,0,0,0,0,0,12653331,.5067987442016602,758854,.1236085891723633,317640,-1.328034400939941,48538,-.0414266586303711,3816,338707,.6978855133056641,120687,.8900966644287109,54029,.0332698822021484,128756,-1.18825626373291,1333945,.6479244232177734,647243,.0742053985595703,560886,.4113073348999023,68683,-.0748882293701172,355916,61160,-.1012973785400391,15631122,.0071430206298828,762839,3423541,.1048126220703125,1740787,.1067333221435547,1983,.1886959075927734,1497035,304787,1.235041618347168,916641,-.3945541381835938,265557,-.4157266616821289,923709,1.251059532165527,4491084,.1296300888061523,326330,-.3724775314331055,493584,.0698556900024414,4995,-.4759922027587891,531586,.5794696807861328,2050282,121567,2489934,.2180242538452148,588924,.8322763442993164,655626,.1445331573486328,191242,.2762336730957031,352412,.394317626953125,425570,-.0478000640869141,88975,.2329692840576172,8620059,1.309280395507813,19512,-.736058235168457,294875,-.4726934432983398,320644,305279,-.5217475891113281,3290191,.0195503234863281,312606,1591359,.018280029296875,223427,1.778894424438477,1044401,.2619695663452148,96431,matched (3),7637351.5,.92950249,933583.56,1490562.9
201008,841221,607,3826,3766600,08,0,0,0,0,0,0,1,0,0,0,0,16374872,.2578277587890625,641258,-.1683778762817383,336303,.0570945739746094,58686,.189854621887207,28966,399337,.1646699905395508,152855,.2362899780273438,51123,-.0552864074707031,90963,-.3474664688110352,888640,-.4062032699584961,557194,-.1498079299926758,603985,.0740318298339844,105252,.4268560409545898,193981,63338,.0349922180175781,11250798,-.3288230895996094,249686,3461780,.0111083984375,1677132,-.0372524261474609,2032,.0244097709655762,1153605,268632,-.1262712478637695,1438546,.4506731033325195,325217,.2026634216308594,2240455,.8860368728637695,5503785,.2033414840698242,677079,.7298784255981445,762092,.4343738555908203,6451,.25579833984375,765392,.3645229339599609,1696472,152682,1986815,-.2257232666015625,471285,-.222834587097168,686303,.0457286834716797,200208,.0458173751831055,222256,-.4609708786010742,475312,.1105422973632813,52400,-.5294485092163086,9890290,.1374607086181641,61759,1.152210235595703,587685,.6896390914916992,416005,516531,.525909423828125,3561707,.0792942047119141,232379,1616430,.0156316757202148,33477,-1.898225784301758,466485,-.8059730529785156,85897,matched (3),3391125.5,.92950249,888672.81,1462853
201009,841221,608,3826,2415496,09,0,0,0,0,0,0,0,1,0,0,0,16373493,-.0000858306884766,1231152,.6522741317749023,1332592,1.37686824798584,52746,-.1067132949829102,9201,202379,-.6796636581420898,72846,-.7411422729492188,58780,.1395673751831055,195421,.7647037506103516,889553,.0010261535644531,391114,-.3539142608642578,350487,-.5442256927490234,138742,.2762584686279297,173129,143525,.818023681640625,8018904,-.3386383056640625,119419,3154429,-.0929756164550781,2019467,.1857481002807617,2035,.0014753341674805,2034865,154195,-.5551242828369141,1018349,-.3454504013061523,1087193,1.20686149597168,330209,-1.914708137512207,3939556,-.3343677520751953,149557,-1.510109901428223,430159,-.5719118118286133,42910,1.894869804382324,411790,-.6198749542236328,5839344,49575,2795920,.3416280746459961,419430,-.1165666580200195,835908,.1971988677978516,96622,-.728550910949707,127491,-.5557842254638672,603086,.2380886077880859,50028,-.0463237762451172,7959386,-.2172012329101563,6510,-2.249900817871094,504676,-.1522741317749023,342814,351580,-.3846988677978516,4000917,.1162834167480469,281853,1558551,-.036463737487793,64066,.6490545272827148,391062,-.1763601303100586,68574,matched (3),8038250,.92950249,1169415.9,1648554.8
201010,841221,609,3826,2119519,10,0,0,0,0,0,0,0,0,1,0,0,16965972,.0355472564697266,790022,-.4436454772949219,531088,-.9199533462524414,59857,.1264705657958984,1983,181732,-.1076087951660156,157694,.772308349609375,30682,-.6501255035400391,185716,-.0509376525878906,710635,-.2245597839355469,576325,.3876724243164063,400402,.1331453323364258,111426,-.2192554473876953,397251,48939,-1.075934410095215,7569731,-.0576438903808594,104496,2329269,-.303253173828125,1999737,-.0098180770874023,3045,.4030051231384277,2111920,115126,-.2921905517578125,804507,-.2357082366943359,496095,-.7845869064331055,728088,.7906961441040039,4089037,.0372409820556641,335043,.8065814971923828,185344,-.8419418334960938,35754,-.1824436187744141,268754,-.4267168045043945,3680768,74074,1810390,-.4346189498901367,426852,.0175409317016602,640792,-.265812873840332,75871,-.2417716979980469,85141,-.4037370681762695,561093,-.0721731185913086,33297,-.4071159362792969,5226485,-.4206123352050781,17107,.9661483764648438,518769,.0275421142578125,208036,248077,-.3486976623535156,3717466,-.073481559753418,10131,1390617,-.114008903503418,9686,-1.889231681823731,406348,.0383443832397461,107115,matched (3),2748117,.92950249,856277.38,1443402.4
