period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1115c757,growth1115c757,Y1146c372,growth1146c372,Y1253c376,Y1357c484,growth1357c484,Y1432c36,Y1436c191,growth1436c191,Y1471c484,growth1471c484,Y1507c152,growth1507c152,Y1507c752,growth1507c752,Y1614c705,growth1614c705,Y1725c124,growth1725c124,Y1806c703,growth1806c703,Y1816c372,growth1816c372,Y1872c616,growth1872c616,Y1980c381,Y1c484,Y1c826,Y2021c440,growth2021c440,Y2051c352,growth2051c352,Y2285c124,growth2285c124,Y2745c36,Y285c440,growth285c440,Y3209c208,growth3209c208,Y3211c616,growth3211c616,Y3232c344,Y3302c376,Y3377c124,growth3377c124,Y3421c222,growth3421c222,Y3470c251,growth3470c251,Y3475c36,Y3501c124,growth3501c124,Y3528c703,growth3528c703,Y3553c124,growth3553c124,Y3578c124,growth3578c124,Y3727c616,growth3727c616,Y3732c757,growth3732c757,Y3800c36,Y4043c32,Y4194c222,growth4194c222,Y4636c826,growth4636c826,Y472c246,growth472c246,Y4748c32,Y4760c208,growth4760c208,Y4922c68,Y4958c124,growth4958c124,Y514c484,growth514c484,Y560c348,growth560c348,Y611c752,growth611c752,Y821c752,growth821c752,Y855c222,growth855c222,_merge,x,r2,s,sf
201001,841229,600,3827,1124101,01,0,0,0,0,0,0,0,0,0,0,0,114317,,166322,,1207000,3202648,,205038,342500,,36351040,,566005,,1076742,,77940,,6516785,,371215,,46036,,2553538,,4023584,0,17801568,175769,,68607,,1673909,,254649,145056,,1534974,,4069633,,1432422,107000,3387462,,8943,,33934,,1559714,6079472,,159708,,3858132,,13161804,,183181,,630614,,8740237,12081182,665022,,1910356,,148877,,1340800,703701,,7167,2382828,,537219,,16268,,1480848,,627415,,145666,,matched (3),,.85074556,,
201002,841229,601,3827,883270,02,1,0,0,0,0,0,0,0,0,0,0,101627,-.1176662445068359,113134,-.3853521347045898,679000,2788696,-.1384038925170898,316773,322082,-.0614652633666992,35369512,-.0273723602294922,600650,.0594100952148438,1472280,.3128728866577148,80489,.0321807861328125,7454818,.1344795227050781,403837,.0842304229736328,41102,-.1133670806884766,1801155,-.3490524291992188,2316985,0,5075502,190042,.0780744552612305,98106,.3576545715332031,1392836,-.1838197708129883,253641,99594,-.3760185241699219,1053978,-.3759422302246094,3200060,-.2403841018676758,933691,226000,2914489,-.150385856628418,2194,-1.405144691467285,20294,-.5140924453735352,1293417,4575020,-.284306526184082,97815,-.4902687072753906,3977575,.0304899215698242,13122017,-.0030269622802734,142358,-.2521295547485352,746203,.1683034896850586,8368911,12608620,679491,.0215234756469727,1337276,-.3566551208496094,203376,.3119363784790039,545731,666234,-.0547122955322266,7,1833430,-.2620992660522461,362561,-.3932132720947266,6719,-.8842611312866211,1064091,-.3304939270019531,378302,-.505915641784668,85397,-.5340051651000977,matched (3),1638796.4,.85074556,298373.69,597539.63
201003,841229,602,3827,1046338,03,0,1,0,0,0,0,0,0,0,0,0,258061,.9318866729736328,83430,-.3045654296875,317000,3637797,.2658042907714844,472163,325835,.0115842819213867,43343372,.2033042907714844,402468,-.4003973007202148,1769621,.1839532852172852,93392,.1486854553222656,10767953,.3677139282226563,408267,.0109100341796875,72419,.5664119720458984,2202355,.2010993957519531,4457068,0,6809206,152581,-.2195501327514648,106920,.0860319137573242,1984363,.3539562225341797,138634,126368,.2380971908569336,1220167,.1464166641235352,8002589,.9165964126586914,760399,126000,4014824,.3202991485595703,9648,1.481024742126465,55403,1.004308700561523,1595921,6191214,.3025197982788086,116258,.172734260559082,3463307,-.1384487152099609,16361923,.2206649780273438,377969,.9764671325683594,1425129,.6470203399658203,15819929,12755217,565438,-.1837434768676758,1582592,.1684293746948242,131223,-.4381580352783203,2027737,1067971,.4718751907348633,24,1250936,-.3822965621948242,455305,.2277746200561523,7857,.1564655303955078,1942600,.6019067764282227,571868,.4132156372070313,106532,.2211341857910156,matched (3),2094003.4,.85074556,337511.19,618013.38
201004,841229,603,3827,1085771,04,0,0,1,0,0,0,0,0,0,0,0,71079,-1.289403915405273,35308,-.859898567199707,571000,4527799,.2188577651977539,0,427129,.2706947326660156,39923888,-.0821800231933594,516143,.2487688064575195,1862410,.0511054992675781,96850,.0363578796386719,10932822,.0151939392089844,264132,-.4354724884033203,100236,.3250589370727539,2408023,.0892791748046875,2280207,0,86237144,249174,.4904565811157227,121297,.1261615753173828,1301617,-.4216909408569336,0,121520,-.0391197204589844,851603,-.3596229553222656,4322321,-.6159725189208984,1622343,101000,4154793,.0342683792114258,17251,.5811195373535156,77429,.3347272872924805,0,7241540,.156702995300293,155167,.2886896133422852,3655224,.0539331436157227,13041984,-.2267837524414063,176499,-.7614965438842773,736222,-.6604862213134766,0,11818711,352116,-.4736394882202148,1908573,.1872920989990234,175534,.2909345626831055,1898344,705178,-.4150657653808594,27377,1717134,.3167638778686523,510086,.113612174987793,18677,.8658876419067383,1668722,-.1519689559936523,266384,-.7639694213867188,121424,.1308431625366211,matched (3),1564875.6,.85074556,694988.31,866623.06
201005,841229,604,3827,1329458,05,0,0,0,1,0,0,0,0,0,0,0,147201,.7280073165893555,72535,.7199602127075195,833000,3581246,-.2345247268676758,0,621777,.3754959106445313,42256216,.0567760467529297,700778,.3058071136474609,1602792,-.1501245498657227,87150,-.1055326461791992,12441862,.1292972564697266,273091,.033355712890625,24679,-1.401575088500977,2350191,-.0243101119995117,3286625,4000,18890420,270034,.0803956985473633,87606,-.3253927230834961,1575415,.1909112930297852,0,127669,.0493621826171875,1229934,.3675956726074219,4722674,.0885820388793945,2098075,153000,4343722,.044468879699707,18968,.0948829650878906,49620,-.4449672698974609,0,5412946,-.2910404205322266,48188,-1.169391632080078,4219608,.143585205078125,14945223,.1362190246582031,208275,.1655435562133789,935259,.2392921447753906,0,13579139,493591,.3377466201782227,1274794,-.4035711288452148,198266,.1217765808105469,1989445,960610,.3091182708740234,3791,1649964,-.0399026870727539,587764,.1417455673217773,39598,.7514858245849609,2024767,.1933965682983398,721302,.996119499206543,154078,.2381706237792969,matched (3),4671994,.85074556,682333.25,856507.69
201006,841229,605,3827,1441768,06,0,0,0,0,1,0,0,0,0,0,0,260191,.5696172714233398,103542,.3559074401855469,627000,3889225,.0824985504150391,0,451720,-.31951904296875,49572268,.1596813201904297,516235,-.3056297302246094,1647080,.027256965637207,122387,.3395576477050781,11577621,-.071990966796875,297487,.0855655670166016,358787,2.676776885986328,2732755,.1508140563964844,4164086,0,18514948,345699,.2470207214355469,122875,.33831787109375,2094762,.2849216461181641,0,129250,.0123071670532227,1304268,.0586814880371094,10337656,.7834186553955078,2668260,108000,3921518,-.1022520065307617,24686,.2634830474853516,47754,-.0383310317993164,0,6182530,.1329345703125,159132,1.194623947143555,4400962,.0420808792114258,14712175,-.015716552734375,333022,.4693489074707031,849535,-.0961341857910156,0,19100752,760633,.4324436187744141,1913353,.4060726165771484,152100,-.265070915222168,1765239,1068146,.1061115264892578,22371,2352396,.3546810150146484,368276,-.4674921035766602,18860,-.7417354583740234,2129480,.0504226684570313,766679,.0610103607177734,225460,.3806838989257813,matched (3),3473707,.85074556,607126.31,797890.38
201007,841229,606,3827,818578,07,0,0,0,0,0,1,0,0,0,0,0,62559,-1.42530632019043,3685,-3.33570671081543,625000,2095270,-.6185274124145508,458881,645142,.3564081192016602,42574584,-.1521739959716797,701267,.3063268661499023,1077253,-.4245891571044922,106530,-.1387615203857422,11981182,.0342617034912109,286449,-.0378093719482422,19898,-2.892109870910645,2237833,-.1998023986816406,3739131,3800,46984328,298320,-.1474018096923828,57676,-.7563257217407227,1949000,-.0721235275268555,299522,111459,-.1480913162231445,1192257,-.0897941589355469,8060348,-.2488365173339844,1556899,129000,3335072,-.1619844436645508,20556,-.1830835342407227,39216,-.1969776153564453,2025843,5279136,-.1579656600952148,52276,-1.11319637298584,3444779,-.2449636459350586,13155145,-.1118621826171875,175036,-.6432161331176758,815026,-.0414695739746094,15109575,14087413,374171,-.7094383239746094,1556896,-.2061634063720703,505518,1.201045036315918,2266221,801832,-.2867813110351563,14235,2147027,-.0913505554199219,416200,.1223325729370117,17148,-.0951614379882813,1979701,-.072932243347168,450930,-.5307559967041016,78609,-1.053656578063965,matched (3),3568655.3,.85074556,327264.69,612477.69
201008,841229,607,3827,1468421,08,0,0,0,0,0,0,1,0,0,0,0,169113,.9944572448730469,24000,1.873783111572266,870000,2507461,.1795883178710938,348683,525197,-.2056970596313477,51803908,.1962070465087891,680520,-.0300312042236328,1449935,.2971038818359375,78959,-.2994985580444336,9894932,-.191314697265625,338868,.1680498123168945,23463,.1648054122924805,2473242,.1000223159790039,878378,700,12219245,302316,.0133066177368164,196439,1.225510597229004,2408670,.2117576599121094,306611,167056,.4046716690063477,1315370,.0982694625854492,9232531,.1357765197753906,1961968,166000,3816130,.1347417831420898,27637,.2960023880004883,60212,.4287862777709961,1605598,5654513,.0686912536621094,157858,1.105157852172852,3550778,.0303068161010742,14919201,.1258354187011719,195486,.1104965209960938,813204,-.0022382736206055,12033934,18024588,488900,.2674455642700195,1960570,.2305412292480469,185418,-1.002970695495606,1674692,1061103,.2801656723022461,860,2302462,.0698947906494141,329982,-.2321271896362305,16655,-.0291709899902344,2193980,.1027717590332031,710169,.4541902542114258,146228,.6206808090209961,matched (3),4272966,.85074556,419684.81,666454.88
201009,841229,608,3827,1685755,09,0,0,0,0,0,0,0,1,0,0,0,181740,.0720100402832031,36460,.4181623458862305,1286000,2818473,.1169242858886719,414849,622031,.1692161560058594,43828464,-.1671810150146484,431673,-.4551887512207031,1483296,.0227479934692383,129956,.4982671737670898,11278902,.1309127807617188,598485,.5687904357910156,26383,.1172952651977539,2611416,.0543622970581055,3052868,4000,2838639,148594,-.7102556228637695,215996,.0949077606201172,1521554,-.4593420028686523,268067,100209,-.5110702514648438,1472248,.1126728057861328,7322183,-.2318248748779297,2143103,29000,3573760,-.0656185150146484,27759,.0044050216674805,54450,-.1005887985229492,1818935,5964715,.0534076690673828,217026,.3183212280273438,4645788,.2687950134277344,11985351,-.218963623046875,187017,-.0442886352539063,1041893,.2478132247924805,15318138,22237272,779890,.4669942855834961,1661573,-.1654701232910156,198425,.0677986145019531,2701393,1095469,.0318737030029297,8528,3062897,.2853822708129883,502549,.420654296875,28076,.5222043991088867,1790014,-.2034940719604492,763020,.0717811584472656,170725,.1548871994018555,matched (3),2995953.8,.85074556,233971.08,568127.81
201010,841229,609,3827,1716778,10,0,0,0,0,0,0,0,0,1,0,0,309108,.5311136245727539,79264,.7765684127807617,1766000,3212982,.1310043334960938,382068,494388,-.2296686172485352,46619828,.0617408752441406,813229,.6333446502685547,2481601,.5146379470825195,141186,.0828828811645508,11382177,.0091133117675781,367492,-.4876995086669922,184510,1.94498348236084,3298814,.2336702346801758,4928224,0,86136512,122899,-.189854621887207,413925,.6504249572753906,2306825,.4161396026611328,443164,149370,.3991680145263672,1573543,.0665397644042969,9437884,.2538223266601563,2613319,199000,3600689,.00750732421875,26018,-.0647716522216797,125949,.8385944366455078,1915840,7087309,.1724443435668945,491259,.8169546127319336,3521245,-.2771463394165039,12658888,.0546741485595703,190653,.0192556381225586,695406,-.4042987823486328,13948524,16945998,982525,.2309732437133789,1853776,.1094598770141602,186359,-.0627365112304688,2542430,1696476,.4373703002929688,10635,2927274,-.0452890396118164,556335,.1016778945922852,38064,.3043537139892578,1338114,-.2909622192382813,643987,-.1696052551269531,202712,.1717319488525391,matched (3),2909301.3,.85074556,301472.5,599093
201011,841229,610,3827,1278589,11,0,0,0,0,0,0,0,0,0,1,0,118898,-.9554252624511719,44587,-.5753421783447266,1235000,3531525,.0945301055908203,332456,481277,-.0268783569335938,45002412,-.035308837890625,351373,-.8391647338867188,1790943,-.3261623382568359,75412,-.6271123886108398,8565521,-.2843027114868164,423603,.142094612121582,103048,-.5825080871582031,3135317,-.0508327484130859,2644934,0,166176288,93299,-.2755537033081055,76306,-1.690933227539063,2026447,-.1295881271362305,260485,142585,-.0464878082275391,1412765,-.1077814102172852,7116693,-.28228759765625,1915046,135000,3535054,-.0183963775634766,14023,-.6180896759033203,45589,-1.016210556030273,1715842,6529438,-.0819845199584961,226745,-.7731456756591797,4237082,.1850595474243164,12029794,-.0509738922119141,175927,-.0803861618041992,574158,-.1915912628173828,13684287,15173735,684371,-.3616256713867188,1539826,-.1855554580688477,156989,-.1714992523193359,1648932,1292436,-.2720241546630859,6865,2140908,-.3128423690795898,419730,-.2817592620849609,32386,-.1615419387817383,1532548,.1356706619262695,538908,-.1781339645385742,212428,.0468168258666992,matched (3),1741757.4,.85074556,272752.31,585167.13
