period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1107c381,Y1222c586,Y1288c124,growth1288c124,Y1312c208,growth1312c208,Y1445c792,growth1445c792,Y1449c68,growth1449c68,Y1472c586,growth1472c586,Y1653c484,growth1653c484,Y1715c554,Y2000c246,growth2000c246,Y2052c705,growth2052c705,Y2266c152,growth2266c152,Y2284c688,growth2284c688,Y2298c251,Y2485c792,growth2485c792,Y2632c246,growth2632c246,Y2764c372,growth2764c372,Y2788c352,growth2788c352,Y2939c792,growth2939c792,Y3020c752,growth3020c752,Y3252c807,growth3252c807,Y327c124,growth327c124,Y3346c616,growth3346c616,Y3427c218,Y3434c124,growth3434c124,Y3467c68,growth3467c68,Y3476c586,growth3476c586,Y3591c222,growth3591c222,Y3701c191,growth3701c191,Y3708c484,growth3708c484,Y4240c348,growth4240c348,Y4291c792,growth4291c792,Y4422c757,growth4422c757,Y4515c616,growth4515c616,Y4528c372,growth4528c372,Y458c757,growth458c757,Y4654c620,growth4654c620,Y4700c251,growth4700c251,Y4801c484,growth4801c484,Y4818c616,growth4818c616,Y4819c208,growth4819c208,Y4894c208,growth4894c208,Y4929c344,Y496c826,growth496c826,Y4986c484,growth4986c484,Y561c208,growth561c208,Y648c792,Y723c484,growth723c484,Y862c600,growth862c600,Y864c124,growth864c124,_merge,x,r2,s,sf
201001,841231,600,3828,771098,01,0,0,0,0,0,0,0,0,0,0,0,896943,59313,2410580,,85633,,1240015,,584439,,2603045,,14949814,,161850,285567,,81559,,20106,,15175,,48303,55792,,488127,,2112742,,25686,,579953,,148420,,2154873,,3055177,,644981,,52455,8108387,,3166,,49856,,1099,,39260,,628886,,3996,,6528740,,5079045,,705941,,2075886,,164510,,233871,,1498,,641709,,803532,,3628639,,114686,,1978473,14044059,,28432,,1376008,,604607,42671,,67383,,83116,,matched (3),,.87895769,,
201002,841231,601,3828,850613,02,1,0,0,0,0,0,0,0,0,0,0,1169734,34560,1312406,-.6080055236816406,60977,-.339573860168457,497758,-.9127645492553711,438278,-.2877998352050781,2095327,-.2169713973999023,16773517,.1151008605957031,144360,432821,.4158477783203125,117962,.3690357208251953,30878,.4290256500244141,19226,.2366142272949219,38248,128216,.8320856094360352,106300,-1.524310111999512,2873239,.3074531555175781,95786,1.316169738769531,154971,-1.319708824157715,68257,-.7767667770385742,440988,-1.586469650268555,3251016,.0621299743652344,772889,.1809148788452148,34730,9787891,.1882476806640625,647,-1.587878227233887,75674,.4172954559326172,32403,3.383850574493408,67693,.5447759628295898,699520,.1064443588256836,3777,-.0563631057739258,7827754,.1814613342285156,5454269,.0712757110595703,763256,.0780620574951172,2343721,.1213521957397461,165842,.0080642700195313,371555,.4629268646240234,1601,.0664973258972168,945769,.3878631591796875,1328691,.5029325485229492,4773481,.2742185592651367,110761,-.0348224639892578,911215,17206954,.2031135559082031,26838,-.0576972961425781,1744447,.2372512817382813,812709,59076,.3253049850463867,349593,1.646376609802246,106709,.2498683929443359,matched (3),2009103.5,.87895769,152938.23,253288.42
201003,841231,602,3828,1342682,03,0,1,0,0,0,0,0,0,0,0,0,1692265,3822,1672880,.2426843643188477,74868,.2052297592163086,1175425,.8592710494995117,794993,.5954799652099609,2590814,.2122621536254883,17612660,.0488166809082031,191763,334174,-.2586631774902344,191816,.4861736297607422,51293,.5075101852416992,3397,-1.733370780944824,25840,155260,.1913843154907227,561782,1.664848327636719,2808605,-.0227518081665039,84084,-.1302995681762695,370326,.8711452484130859,92389,.3027286529541016,1200574,1.001537322998047,4731147,.3752002716064453,1732173,.8069963455200195,140927,7320602,-.2904539108276367,17701,3.309030532836914,25688,-1.080410957336426,4489,-1.976620674133301,122620,.5941076278686523,675477,-.0349750518798828,26859,1.961670875549316,8067803,.0302057266235352,9373222,.5414581298828125,1230647,.4777011871337891,3615352,.4334487915039063,229026,.3227996826171875,240075,-.4367456436157227,7326,1.520801544189453,965051,.0201826095581055,1568083,.1656599044799805,5564892,.1534013748168945,235369,.753779411315918,2261867,6207252,-1.019595146179199,92086,1.232904434204102,1748144,.0021171569824219,885279,63944,.0791826248168945,654924,.6277503967285156,105941,-.0072231292724609,matched (3),2009975.9,.87895769,150065.13,251564.03
201004,841231,603,3828,1445519,04,0,0,1,0,0,0,0,0,0,0,0,1886638,22332,1529043,-.08990478515625,120321,.4744367599487305,1084050,-.0809259414672852,299606,-.9758644104003906,2936250,.1251611709594727,15368179,-.1363182067871094,207667,309262,-.0774726867675781,158382,-.1915264129638672,25190,-.7111072540283203,549,-1.822549343109131,29899,137430,-.1219863891601563,724968,.2550144195556641,2696153,-.0408620834350586,89059,.0574827194213867,306006,-.1907787322998047,103668,.1151847839355469,2396399,.6911678314208984,8879798,.6296110153198242,1743873,.0067319869995117,43197,7040315,-.0390396118164063,7522,-.8557891845703125,48051,.6262388229370117,31794,1.957647323608398,45669,-.9876708984375,692114,.0243310928344727,21184,-.2373552322387695,8645499,.069157600402832,6966453,-.2967510223388672,1056017,-.1530351638793945,1980632,-.6017732620239258,132597,-.5465211868286133,63492,-1.330037117004395,24362,1.201594352722168,1011629,.0471363067626953,2623659,.5147161483764648,5896948,.057957649230957,102690,-.8294401168823242,2457699,8158545,.2733478546142578,34993,-.9675750732421875,1463598,-.1776571273803711,668724,75416,.1650123596191406,916382,.3359136581420898,62461,-.5283403396606445,matched (3),2405070.5,.87895769,156876.78,255685.83
201005,841231,604,3828,1500735,05,0,0,0,1,0,0,0,0,0,0,0,3031958,121904,1544115,.0098094940185547,279534,.8429603576660156,1628836,.4071617126464844,324478,.0797491073608398,2139602,-.3165140151977539,19430224,.2345314025878906,195407,340092,.0950279235839844,150100,-.0537080764770508,31617,.2272481918334961,3308,1.796000957489014,68860,13191,-2.343579292297363,598515,-.191676139831543,2506170,-.0730705261230469,105878,.1729879379272461,270144,-.1246500015258789,241481,.8455982208251953,2655010,.1024808883666992,16010351,.5894556045532227,892918,-.6693687438964844,133593,7548793,.0697345733642578,1589,-1.554727554321289,80959,.5216798782348633,73007,.8312778472900391,60690,.2843599319458008,1273617,.6098651885986328,66524,1.144316673278809,8711966,.0076589584350586,9768242,.3380298614501953,1033087,-.0219535827636719,1661044,-.175969123840332,155416,.1587905883789063,48292,-.2736482620239258,22166,-.0944643020629883,1043093,.0306291580200195,1894545,-.3255910873413086,5110565,-.1431255340576172,178787,.5544805526733398,2016971,11307290,.326380729675293,52256,.4010066986083984,1600431,.0893754959106445,400209,92665,.2059707641601563,482375,-.6417112350463867,79178,.237156867980957,matched (3),2175417.3,.87895769,127255.58,238660.64
201006,841231,605,3828,1638650,06,0,0,0,0,1,0,0,0,0,0,0,2258777,54394,2185009,.3471689224243164,294875,.0534276962280273,1651170,.0136184692382813,431088,.2840948104858398,1887534,-.1253480911254883,17557240,-.1013641357421875,149539,427407,.228520393371582,105850,-.349278450012207,100096,1.152434349060059,6757,.7142353057861328,113355,94155,1.965407371520996,740068,.2122907638549805,3227196,.2528581619262695,124034,.1582679748535156,223632,-.1889533996582031,312502,.2578191757202148,3215701,.1915969848632813,18613556,.1506557464599609,1173163,.2729635238647461,540,9003076,.1761789321899414,13463,2.1368408203125,6186,-2.571653366088867,118,-6.427626132965088,67498,.106318473815918,1303122,.0229024887084961,107618,.4810247421264648,10497919,.1864786148071289,7464456,-.2689828872680664,762883,-.3032016754150391,2685481,.4804134368896484,156865,.0092802047729492,176939,1.298539161682129,30396,.3157510757446289,895938,-.1520748138427734,1353169,-.3365297317504883,6156968,.186274528503418,132935,-.2963342666625977,1960834,20563604,.5980758666992188,93849,.5855331420898438,1464998,-.0884189605712891,553881,73237,-.2352895736694336,494314,.024449348449707,187508,.8621225357055664,matched (3),1640808.6,.87895769,175189.98,267313.41
201007,841231,606,3828,1618094,07,0,0,0,0,0,1,0,0,0,0,0,2038008,77541,1169904,-.6246986389160156,93575,-1.147788047790527,1346401,-.2040491104125977,227182,-.6405611038208008,2746448,.3750371932983398,21110232,.1842918395996094,181608,402104,-.0610265731811523,100357,-.0532894134521484,47298,-.7496614456176758,23,-5.682840347290039,18464,234061,.910639762878418,106915,-1.934708595275879,4330559,.2940826416015625,22017,-1.728740692138672,234794,.0487070083618164,351618,.1179351806640625,838176,-1.344572067260742,17707918,-.0498790740966797,908990,-.2551250457763672,187375,7639680,-.164210319519043,1197,-2.420127391815186,59329,2.260808944702148,1241,2.352988243103027,88589,.2719097137451172,1230924,-.0569982528686523,5571,-2.961012840270996,8426854,-.2197532653808594,6913599,-.0766630172729492,832525,.0873584747314453,2270290,-.1679525375366211,190087,.1920967102050781,128162,-.322509765625,2006,-2.718168258666992,867256,-.0325374603271484,1235013,-.0913677215576172,4102582,-.4059677124023438,83429,-.4658651351928711,2588974,11978987,-.5403690338134766,79577,-.1649627685546875,1282688,-.1328964233398438,494886,64065,-.1338024139404297,320629,-.432887077331543,208210,.1047258377075195,matched (3),2425398,.87895769,162189.41,258979.39
201008,841231,607,3828,1917932,08,0,0,0,0,0,0,1,0,0,0,0,2338522,50267,1896848,.483271598815918,185380,.6836442947387695,1573395,.1558008193969727,533100,.8529577255249023,2753005,.0023841857910156,23343896,.1005783081054688,139766,480342,.1777877807617188,158733,.4584894180297852,51647,.0879640579223633,3983,5.154295921325684,33077,314993,.2969684600830078,1725781,2.781400680541992,3229539,-.2933568954467773,139339,1.845095634460449,509947,.7755985260009766,377965,.0722560882568359,2417056,1.059077262878418,8663022,-.7149477005004883,1540014,.5272130966186523,202131,6962239,-.0928544998168945,10992,2.217349529266357,78209,.2762870788574219,65843,3.971354961395264,56295,-.4534015655517578,1717589,.3331565856933594,88404,2.764342308044434,8491833,.0076818466186523,10727467,.4393177032470703,563745,-.3898611068725586,2277505,.0031728744506836,115877,-.4949522018432617,416057,1.17752742767334,10467,1.652084350585938,970729,.1127138137817383,1923574,.4431028366088867,4414347,.0732431411743164,93985,.1191396713256836,2854597,19413476,.4828147888183594,107644,.3021049499511719,1594361,.2175149917602539,386523,78738,.2062273025512695,295470,-.0817165374755859,310462,.3995141983032227,matched (3),2100120.3,.87895769,197591.36,282501.81
201009,841231,608,3828,1763128,09,0,0,0,0,0,0,0,1,0,0,0,2924787,6175,504844,-1.323698997497559,146785,-.2334394454956055,1061486,-.3935661315917969,143651,-1.311322212219238,1965160,-.3371191024780273,21989460,-.0597724914550781,249387,267067,-.5869989395141602,209069,.2754411697387695,40196,-.2506647109985352,25565,1.859189033508301,38917,160108,-.6767024993896484,529494,-1.181512832641602,3873493,.1818170547485352,40889,-1.226049423217773,289892,-.5647983551025391,248080,-.4210500717163086,1269318,-.6440706253051758,3277664,-.9719324111938477,1486853,-.0351295471191406,120006,6452534,-.0760288238525391,3367,-1.183145523071289,47124,-.5066022872924805,8025,-2.104710578918457,71437,.2382097244262695,1435031,-.1797351837158203,39742,-.7995080947875977,7606028,-.110163688659668,6846249,-.4491071701049805,820422,.3752164840698242,3032677,.2863655090332031,106852,-.081085205078125,91116,-1.518689155578613,23899,.8256092071533203,772634,-.2282419204711914,981142,-.673222541809082,5095461,.1434907913208008,117176,.2205419540405273,2262302,18049484,-.0728511810302734,46921,-.8303642272949219,1663145,.0422372817993164,531415,63418,-.2163782119750977,265668,-.1063203811645508,91867,-1.217720031738281,matched (3),2285320.3,.87895769,148366.86,250554.67
201010,841231,609,3828,1961909,10,0,0,0,0,0,0,0,0,1,0,0,2035785,36953,1609658,1.159527778625488,124364,-.1657552719116211,1383316,.2648134231567383,481417,1.209346771240234,2445066,.2184982299804688,19001392,-.1460514068603516,267950,335543,.2282505035400391,154496,-.3024959564208984,170677,1.446005821228027,81554,1.160041809082031,107313,110861,-.3675708770751953,580241,.091522216796875,3587461,-.0767116546630859,46348,.1253175735473633,372914,.2518396377563477,273979,.099299430847168,2631863,.7292118072509766,3072618,-.064600944519043,1306624,-.1292152404785156,87140,7590881,.1624746322631836,11663,1.242399215698242,99809,.7504758834838867,5211,-.4317903518676758,78192,.0903520584106445,1675173,.1547298431396484,35618,-.10955810546875,9967493,.2703876495361328,8148054,.1740789413452148,985005,.1828279495239258,3941474,.2621088027954102,175571,.4965991973876953,124500,.3121728897094727,5503,-1.46854305267334,1229914,.4648942947387695,1280442,.2662429809570313,6261418,.2060565948486328,144668,.2107639312744141,3138094,12336548,-.3805503845214844,67188,.3590288162231445,1582966,-.0494098663330078,590536,84797,.2905130386352539,401702,.4134635925292969,104980,.1334285736083984,matched (3),2031976.9,.87895769,166937.55,261979.13
