period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1203c792,growth1203c792,Y1269c68,growth1269c68,Y1288c152,growth1288c152,Y1292c124,growth1292c124,Y1380c705,growth1380c705,Y1577c246,growth1577c246,Y1617c807,growth1617c807,Y1659c752,growth1659c752,Y1850c251,growth1850c251,Y2175c792,growth2175c792,Y2212c124,growth2212c124,Y232c300,growth232c300,Y2618c251,growth2618c251,Y2660c484,growth2660c484,Y3133c440,growth3133c440,Y3214c688,growth3214c688,Y3238c300,growth3238c300,Y3339c191,growth3339c191,Y3453c807,Y3464c68,growth3464c68,Y3582c440,growth3582c440,Y3692c554,Y3732c348,growth3732c348,Y3893c251,Y3907c348,growth3907c348,Y3946c251,growth3946c251,Y4006c616,growth4006c616,Y4013c620,growth4013c620,Y4030c218,Y4089c68,Y4140c757,growth4140c757,Y4170c688,growth4170c688,Y422c152,growth422c152,Y4256c218,Y4276c344,Y4470c32,Y4514c705,growth4514c705,Y467c246,growth467c246,Y4737c703,growth4737c703,Y4764c484,growth4764c484,Y4765c152,growth4765c152,Y4793c484,growth4793c484,Y4851c203,Y579c498,Y605c208,growth605c208,Y647c620,growth647c620,Y668c352,growth668c352,Y897c124,growth897c124,Y954c620,growth954c620,Y966c124,growth966c124,_merge,x,r2,s,sf
201001,841239,600,3829,307798,01,0,0,0,0,0,0,0,0,0,0,0,169619,,21924,,292443,,928057,,1204532,,1320798,,16733,,3691212,,5023412,,270844,,116787,,82280,,170510,,112112,,23757,,829274,,21362,,10149,,6858,21337,,1696,,186185,948285,,5908,352279,,9825271,,282528,,400351,,28238,7987,384245,,74644,,655021,,232710,238500,1991464,4822180,,199221,,49459,,87072,,914834,,2674910,,163532,82800,15497,,1464891,,47132,,196091,,48888,,1243096,,matched (3),,.89989918,,
201002,841239,601,3829,322305,02,1,0,0,0,0,0,0,0,0,0,0,244690,.3664369583129883,105002,1.566397666931152,130789,-.8046846389770508,1173171,.2343721389770508,1306772,.0814695358276367,1143118,-.1444759368896484,36479,.7793540954589844,2117208,-.5558567047119141,3344525,-.4067850112915039,311212,.1389312744140625,80285,-.3747692108154297,76194,-.0768451690673828,251777,.3897504806518555,123422,.0961112976074219,58071,.8937892913818359,958024,.144322395324707,81818,1.342884063720703,7533,-.2980813980102539,11661,31503,.3896398544311523,2929,.5463881492614746,225018,396763,-.8713159561157227,22784,781332,.7965764999389648,7534206,-.2655038833618164,506483,.5837135314941406,1136076,1.042993545532227,158189,9122,664140,.5472126007080078,32252,-.8391504287719727,946654,.3682661056518555,289100,569231,2095153,4257701,-.1244964599609375,310907,.4450788497924805,56407,.1314496994018555,244289,1.0316162109375,433088,-.7478017807006836,2739611,.023900032043457,178402,104476,20882,.2982416152954102,1442150,-.0156459808349609,57034,.1906948089599609,87189,-.8105001449584961,59076,.1892929077148438,1294401,.0404434204101563,matched (3),374514.03,.89989918,128508.52,211658.22
201003,841239,602,3829,326759,03,0,1,0,0,0,0,0,0,0,0,0,530976,.7747249603271484,100370,-.0451164245605469,217529,.5087471008300781,2659525,.8184375762939453,2473405,.638035774230957,1605871,.3399066925048828,55889,.426630973815918,2479154,.1578187942504883,5589427,.5135526657104492,340621,.0902957916259766,94894,.1671781539916992,415961,1.697308540344238,247480,-.0172138214111328,129881,.0510091781616211,42699,-.307490348815918,1260092,.2740678787231445,43755,-.6258916854858398,8862,.1624794006347656,8340,102772,1.182430267333984,11505,1.368121147155762,259595,360027,-.0971603393554688,29944,2461756,1.14763069152832,9400819,.2213430404663086,79843,-1.847428321838379,655998,-.5491771697998047,61148,20382,529384,-.2267789840698242,74871,.8421869277954102,1241005,.2707433700561523,468797,711883,2954198,6120057,.3628416061401367,587228,.6359195709228516,75303,.2889270782470703,86154,-1.042215347290039,961783,.7978487014770508,4128965,.4102115631103516,230952,114861,3996,-1.653594017028809,1844006,.2458057403564453,79589,.3332281112670898,67340,-.2583236694335938,99305,.5193710327148438,2106812,.4871273040771484,matched (3),1101756.4,.89989918,97729.977,194514.55
201004,841239,603,3829,799574,04,0,0,1,0,0,0,0,0,0,0,0,272373,-.6675443649291992,576712,1.748479843139648,67973,-1.163222312927246,1703958,-.4451942443847656,1452685,-.5321826934814453,5364635,1.206161499023438,33381,-.515380859375,4395889,.5727529525756836,4967606,-.1179389953613281,221384,-.4308710098266602,111150,.1581201553344727,51445,-2.090078353881836,373659,.412013053894043,151255,.152348518371582,21963,-.6648168563842773,1637868,.2622098922729492,42771,-.0227460861206055,8169,-.0814266204833984,82,134094,.2660284042358398,1576,-1.987892150878906,300580,1128741,1.142679214477539,45921,1734836,-.3499622344970703,8498417,-.1009159088134766,324694,1.402820587158203,1083046,.5013751983642578,45457,12025,688675,.2630558013916016,52196,-.3607606887817383,1491452,.1838283538818359,722683,973530,1904542,4134340,-.3922433853149414,89014,-1.886619567871094,89161,.1689233779907227,126315,.3826427459716797,952863,-.0093183517456055,2029131,-.7104196548461914,217044,77342,15808,1.375222206115723,818590,-.8121128082275391,48156,-.5024299621582031,126338,.629206657409668,67529,-.3856382369995117,1302166,-.4811468124389648,matched (3),802165.44,.89989918,177053.08,244197.78
201005,841239,604,3829,609930,05,0,0,0,1,0,0,0,0,0,0,0,518659,.6440744400024414,208956,-1.015219688415527,145454,.7607498168945313,865735,-.6771297454833984,1481138,.0193977355957031,2334329,-.8321037292480469,32801,-.0175275802612305,4156460,-.0560064315795898,3898892,-.2422456741333008,120855,-.6053075790405273,205791,.6159801483154297,22995,-.80523681640625,189324,-.6798830032348633,116315,-.262664794921875,14703,-.4013071060180664,210655,-2.050929069519043,72540,.5282783508300781,9236,.1227626800537109,80428,17234,-2.051656723022461,452,-1.248962879180908,261368,837647,-.2982606887817383,151421,1497310,-.147242546081543,7185844,-.1677675247192383,121092,-.986332893371582,911583,-.1723508834838867,50924,10319,333970,-.7237186431884766,50660,-.0298700332641602,991172,-.4086170196533203,583408,393181,1158785,8576435,.7296905517578125,269675,1.108423233032227,68445,-.2644128799438477,42134,-1.09792423248291,982961,.0310983657836914,1774908,-.1338586807250977,183283,80868,11378,-.3288345336914063,1398731,.5357379913330078,96322,.6932516098022461,122702,-.0292024612426758,36500,-.6152448654174805,2142314,.4978580474853516,matched (3),930025.13,.89989918,147450.84,223666.08
201006,841239,605,3829,908871,06,0,0,0,0,1,0,0,0,0,0,0,1076085,.7298374176025391,146600,-.3544158935546875,382280,.9662933349609375,1815122,.7403287887573242,1850472,.2226295471191406,3787643,.4840202331542969,45697,.331573486328125,4184557,.0067367553710938,4110399,.0528278350830078,127436,.0530223846435547,97248,-.7495965957641602,14710,-.4467487335205078,379006,.694091796875,163429,.3400764465332031,10629,-.3244657516479492,522639,.9086694717407227,52149,-.3300333023071289,15277,.503239631652832,0,67788,1.369501113891602,6665,2.690943241119385,388999,910369,.0832529067993164,135120,2168042,.3701543807983398,7424370,.0326547622680664,970709,2.081476211547852,749850,-.1953086853027344,108308,18663,817677,.895416259765625,112119,.7944250106811523,1388650,.3371992111206055,347918,547879,1950754,6740086,-.2409458160400391,314931,.1551361083984375,70630,.0314245223999023,308314,1.990263938903809,991893,.0090456008911133,3084181,.5525369644165039,169410,89546,15308,.2966947555541992,1999540,.3573513031005859,94406,-.0200929641723633,129847,.0565977096557617,75179,.7225589752197266,2347201,.0913372039794922,matched (3),1201745.1,.89989918,93019.969,192191.25
201007,841239,606,3829,639157,07,0,0,0,0,0,1,0,0,0,0,0,796349,-.3010473251342773,64951,-.8140745162963867,292962,-.2661104202270508,1405970,-.2554254531860352,1443516,-.2483587265014648,6846176,.5919456481933594,25434,-.5859460830688477,1333303,-1.143741607666016,3843683,-.0670890808105469,227310,.5787010192871094,48760,-.6903543472290039,3961,-1.312030792236328,144803,-.9621782302856445,159340,-.0253381729125977,45232,1.44821834564209,1713958,1.18766975402832,41235,-.2348175048828125,2344,-1.874489784240723,3649,93555,.3221635818481445,57972,2.163089752197266,350589,1016263,.1100378036499023,25045,2148233,-.0091791152954102,11785768,.4621257781982422,229241,-1.443252563476563,1053189,.3397045135498047,29116,17961,529676,-.4342021942138672,98247,-.1320762634277344,1334486,-.0397863388061523,515212,453693,1174874,9168862,.3077411651611328,409541,.2626838684082031,65156,-.0806713104248047,80405,-1.344042778015137,802183,-.2122783660888672,2472751,-.2209548950195313,224602,151365,7475,-.7168121337890625,1919557,-.0408229827880859,84145,-.1150627136230469,89359,-.3736944198608398,82353,.0911436080932617,1190060,-.6792201995849609,matched (3),523675.28,.89989918,164559.83,235297.05
201008,841239,607,3829,501911,08,0,0,0,0,0,0,1,0,0,0,0,679047,-.1593465805053711,48039,-.3016204833984375,177936,-.4986190795898438,518119,-.9982776641845703,1429785,-.0095577239990234,3673976,-.6224155426025391,61034,.8753442764282227,3979689,1.093544960021973,3347251,-.1382913589477539,174991,-.2615804672241211,58212,.1771812438964844,40631,2.328034400939941,83364,-.5521574020385742,132661,-.1832437515258789,68565,.4159774780273438,934899,-.6061220169067383,21231,-.6638250350952148,875,-.9853901863098145,7591,102179,.0881767272949219,4925,-2.465635299682617,288013,848975,-.1798582077026367,4911,970533,-.7945556640625,10473754,-.1180210113525391,163259,-.3394365310668945,426600,-.9037313461303711,30661,13470,1468570,1.019779205322266,38211,-.944361686706543,978820,-.3099536895751953,521188,287273,926395,8751413,-.0465984344482422,505337,.2101879119873047,119341,.6052007675170898,73844,-.0851211547851563,1489444,.6188220977783203,2716604,.0940513610839844,124369,112311,5955,-.2273330688476563,2308623,.1845569610595703,69242,-.1949338912963867,148070,.5050230026245117,30923,-.9795150756835938,1761172,.3919754028320313,matched (3),854294.13,.89989918,121918.28,207722.97
201009,841239,608,3829,588818,09,0,0,0,0,0,0,0,1,0,0,0,512976,-.280461311340332,386222,2.084399223327637,236457,.2843427658081055,5681984,2.394850730895996,1875589,.2713985443115234,5016287,.3114156723022461,37975,-.4745025634765625,4073056,.0231895446777344,4958614,.3929862976074219,29906,-1.766674995422363,150615,.9506359100341797,36094,-.1184043884277344,466395,1.721816062927246,164396,.2144813537597656,12633,-1.691469192504883,745664,-.2261629104614258,17428,-.1973838806152344,4041,1.53002405166626,16394,55674,-.6072120666503906,3164,-.4424877166748047,382144,1088843,.2488412857055664,136357,4080158,1.436045646667481,8559204,-.2018651962280273,447433,1.008189201354981,867031,.7092275619506836,53352,26240,1438469,-.0207099914550781,43532,.1303730010986328,1072804,.0916833877563477,440530,743852,3916102,14028562,.4718799591064453,397391,-.2403039932250977,63834,-.6256990432739258,120465,.4894046783447266,1405458,-.058039665222168,3585445,.2775001525878906,282240,122648,16049,.9914159774780273,2089126,-.0999050140380859,56077,-.2108821868896484,221469,.4025974273681641,42199,.3108968734741211,2514680,.3561668395996094,matched (3),1077064.6,.89989918,100118.45,195725.48
201010,841239,609,3829,525141,10,0,0,0,0,0,0,0,0,1,0,0,277353,-.6149377822875977,207523,-.6211700439453125,223182,-.0577793121337891,2713724,-.738978385925293,984019,-.6450328826904297,3967663,-.2345132827758789,34571,-.0939130783081055,3212861,-.2372312545776367,3586816,-.3238611221313477,179063,1.789678573608398,97382,-.4360857009887695,19220,-.6301755905151367,285222,-.491765022277832,164071,-.001978874206543,30555,.8832159042358398,641976,-.1497249603271484,74947,1.45870304107666,4939,.2006702423095703,15789,107288,.6560029983520508,10942,1.240771293640137,299305,962993,-.1228246688842773,77948,2244741,-.5975456237792969,6751135,-.2372961044311523,183010,-.8939857482910156,773404,-.1142730712890625,160968,1356,730720,-.6773042678833008,91048,.7378902435302734,1111515,.0354480743408203,446113,911911,1384739,16241959,.1465034484863281,306206,-.2606630325317383,93110,.3774957656860352,92851,-.2603635787963867,830364,-.5262546539306641,2863148,-.2249603271484375,177784,192644,13438,-.1775598526000977,2961007,.3487834930419922,77882,.3284692764282227,103961,-.7562665939331055,17243,-.8949909210205078,1840493,-.3121128082275391,matched (3),653293.69,.89989918,114369.39,203384.17
