period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1180c440,Y1203c348,growth1203c348,Y1210c752,growth1210c752,Y1280c642,Y1366c620,growth1366c620,Y1390c498,Y1397c218,Y1528c203,Y1588c218,Y1726c586,growth1726c586,Y2011c688,growth2011c688,Y2038c372,growth2038c372,Y2098c703,Y2119c620,growth2119c620,Y2319c688,growth2319c688,Y2358c757,growth2358c757,Y2367c792,growth2367c792,Y2415c246,growth2415c246,Y2428c616,growth2428c616,Y2946c124,growth2946c124,Y3145c233,Y3235c792,growth3235c792,Y3716c300,growth3716c300,Y3727c440,growth3727c440,Y3798c372,growth3798c372,Y390c208,growth390c208,Y3927c554,Y3970c792,growth3970c792,Y4017c792,growth4017c792,Y4030c608,Y4166c251,growth4166c251,Y4183c484,growth4183c484,Y4214c68,Y4254c218,Y4301c586,growth4301c586,Y4411c620,growth4411c620,Y4467c807,Y4600c688,growth4600c688,Y4626c208,growth4626c208,Y4634c792,growth4634c792,Y4748c792,growth4748c792,Y4814c752,growth4814c752,Y4865c484,growth4865c484,Y492c554,Y4940c344,Y5018c703,growth5018c703,Y686c616,growth686c616,Y694c246,growth694c246,Y853c620,growth853c620,Y88c300,growth88c300,_merge,x,r2,s,sf
201001,841280,600,3830,415379,01,0,0,0,0,0,0,0,0,0,0,0,314,94923,,369645,,0,24757,,41181,4172923,40969,9527360,115411,,8534,,56738,,7035,90843,,20645,,13410,,744210,,144139,,384000,,191629,,15601,6206,,90228,,16792,,355973,,1082450,,289788,1366885,,17611,,447321,1442192,,476009,,120185,630107,17236048,,701568,,0,60375,,1069992,,682628,,1928867,,944447,,238321,,945407,1794030,53797,,1536230,,5628095,,33286,,83835,,matched (3),,.89358217,,
201002,841280,601,3830,273938,02,1,0,0,0,0,0,0,0,0,0,0,301,5118,-2.920302391052246,469960,.2401046752929688,33817,66647,.9903020858764648,33874,8713111,42681,7547660,46238,-.9146976470947266,16753,.6745195388793945,13355,-1.446553230285645,465,33728,-.9908046722412109,23420,.1261177062988281,36834,1.010420799255371,1093683,.3849830627441406,212257,.3870201110839844,368436,-.0413751602172852,186613,-.026524543762207,12986,27492,1.488378524780273,68846,-.2704677581787109,36158,.7669954299926758,113155,-1.146096229553223,967507,-.1122589111328125,280471,3086713,.8145723342895508,913336,3.948579788208008,186532,901029,-.4703826904296875,26008,-2.907032012939453,76948,407820,36767276,.7576045989990234,212467,-1.194530487060547,3783,37545,-.4750347137451172,776009,-.3212423324584961,476079,-.3603658676147461,2858493,.3933610916137695,832306,-.1263999938964844,380187,.4670448303222656,773305,1376525,43543,-.2114686965942383,1265387,-.1939525604248047,3519328,-.4695005416870117,70243,.7468233108520508,130945,.4459266662597656,matched (3),1667238.9,.89358217,890144.31,908641.06
201003,841280,602,3830,480200,03,0,1,0,0,0,0,0,0,0,0,0,2742,27525,1.682331085205078,500711,.0633811950683594,103734,298810,1.500397682189941,87522,23002412,62784,8018363,232119,1.613448143005371,7980,-.7416391372680664,16818,.2305583953857422,1685,64558,.649235725402832,28215,.1862630844116211,48100,.2668609619140625,1422476,.262847900390625,184343,-.1409997940063477,386111,.0468578338623047,305533,.4930210113525391,15881,52226,.6416854858398438,166550,.8834238052368164,97764,.9946584701538086,461231,1.40514087677002,1626912,.5197162628173828,328267,4461994,.3684892654418945,2010049,.7888107299804688,375319,505060,-.5788593292236328,277253,2.366525650024414,140376,457688,68671488,.6247272491455078,341075,.4733152389526367,996,76910,.7170953750610352,1036341,.2892875671386719,636976,.2911481857299805,4454810,.443690299987793,850652,.0218029022216797,186233,-.7136640548706055,874901,1534225,27362,-.4645938873291016,2448625,.6601486206054688,7057591,.6958332061767578,11062,-1.848444938659668,168970,.25494384765625,matched (3),1065529.6,.89358217,422583.44,460269.97
201004,841280,603,3830,427980,04,0,0,1,0,0,0,0,0,0,0,0,835,6315,-1.472167015075684,282755,-.5714483261108398,0,325579,.0857973098754883,27978,2131811,72630,8459242,182669,-.2395744323730469,17678,.7953824996948242,14244,-.1661138534545898,8769,44570,-.3705034255981445,21234,-.2842502593994141,16722,-1.056556701660156,1814811,.2435827255249023,103414,-.5780582427978516,254559,-.4165925979614258,274838,-.1058759689331055,19039,38126,-.3146839141845703,55924,-1.091301918029785,11419,-2.14727783203125,339813,-.3055038452148438,1364944,-.1755704879760742,445519,1700114,-.9649009704589844,683213,-1.079108238220215,298425,427746,-.1661481857299805,184755,-.4058990478515625,416309,727309,39613260,-.5501708984375,177798,-.651453971862793,75,125435,.4891519546508789,1344739,.2605037689208984,401558,-.4613800048828125,1504910,-1.085250854492188,734340,-.1470308303833008,267902,.3636226654052734,761422,1523802,24053,-.1288957595825195,1012000,-.8835983276367188,3343518,-.7470798492431641,61232,1.711154937744141,90207,-.6276140213012695,matched (3),1256639.4,.89358217,627255.63,653239.06
201005,841280,604,3830,589021,05,0,0,0,1,0,0,0,0,0,0,0,21623,25469,1.394534111022949,644417,.823765754699707,33909,34581,-2.242300987243652,24839,17530204,88113,6566882,184108,.0078468322753906,7794,-.8189668655395508,34378,.8810815811157227,9394,32237,-.3239459991455078,13888,-.4245786666870117,14280,-.1578655242919922,2234376,.2079801559448242,120163,.1501092910766602,456224,.5834512710571289,227136,-.1906328201293945,24929,101208,.9762811660766602,59541,.0626707077026367,22173,.6635971069335938,316227,-.071934700012207,2090111,.4261035919189453,199090,3115378,.6056556701660156,857891,.2276706695556641,122285,1041464,.8898534774780273,303487,.496307373046875,707487,382698,1169472,-3.522611618041992,536148,1.103761672973633,7180,67345,-.6219587326049805,813974,-.5020265579223633,733028,.6018314361572266,3498447,.8435859680175781,1132892,.4335565567016602,502899,.6297674179077148,1025857,1789766,24904,.0347690582275391,1771645,.5599794387817383,8690137,.955164909362793,73367,.1808042526245117,27893,-1.173731803894043,matched (3),1779910.4,.89358217,1202191.5,1215950.6
201006,841280,605,3830,361298,06,0,0,0,0,1,0,0,0,0,0,0,2978,9204,-1.017823219299316,260329,-.9063997268676758,19226,25133,-.319122314453125,49639,6929031,14612,7709044,174633,-.0528354644775391,10179,.266972541809082,6818,-1.617851257324219,1355,44221,.3160848617553711,15007,.0774917602539063,41654,1.070537567138672,1227085,-.5993204116821289,151270,.2302169799804688,309303,-.3886623382568359,176674,-.2512426376342773,14636,31523,-1.166460037231445,74085,.2185487747192383,23975,.0781364440917969,212378,-.3980932235717773,1575351,-.2827386856079102,410851,2402981,-.2596406936645508,386554,-.797205924987793,179017,596134,-.557917594909668,272636,-.1072006225585938,547127,652768,15342466,2.574071884155273,473676,-.1238861083984375,29,70237,.0420465469360352,992340,.1981372833251953,524794,-.3341779708862305,3302962,-.057499885559082,730827,-.4383516311645508,193528,-.9549665451049805,825410,1740027,16712,-.3989009857177734,1600802,-.1014032363891602,4549806,-.6471042633056641,68501,-.0686264038085938,37720,.3018150329589844,matched (3),1255314.6,.89358217,426055.03,463459.34
201007,841280,606,3830,547422,07,0,0,0,0,0,1,0,0,0,0,0,5378,31243,1.222156524658203,110570,-.856297492980957,32469,19681,-.2445278167724609,40471,10531947,64402,9487516,100036,-.5571565628051758,14751,.3709840774536133,21191,1.134010314941406,3578,44487,.0059976577758789,34865,.8429670333862305,19080,-.780756950378418,1362006,.1043167114257813,159612,.0536794662475586,428594,.3261890411376953,197329,.1105661392211914,25531,68425,.7750205993652344,80055,.0775003433227539,65487,1.004839897155762,315494,.3957719802856445,1121747,-.3395910263061523,541671,2884534,.1826534271240234,2714793,1.949199676513672,601797,1424258,.870941162109375,52019,-1.656528472900391,865718,994180,9360498,-.4941253662109375,507247,.0684738159179688,3275,90688,.255549430847168,920005,-.0756864547729492,632852,.1872310638427734,3832486,.1486940383911133,693562,-.0523366928100586,448866,.8413019180297852,1099172,1301168,33875,.7065496444702148,1688064,.0530776977539063,8601939,.6369028091430664,41015,-.5129108428955078,223427,1.778894424438477,matched (3),2118968.8,.89358217,1047374.5,1063139.3
201008,841280,607,3830,540325,08,0,0,0,0,0,0,1,0,0,0,0,4013,8946,-1.250588417053223,415812,1.324584007263184,580,11346,-.5507888793945313,79101,9657388,103,7046397,73985,-.3016681671142578,7545,-.6704254150390625,8595,-.9023952484130859,735,39092,-.1292791366577148,12812,-1.001101493835449,31475,.5005531311035156,819606,-.5078897476196289,149931,-.0625705718994141,303097,-.3464574813842773,281914,.3567295074462891,26490,39362,-.5529375076293945,23074,-1.244007110595703,31528,-.7309761047363281,249754,-.2336635589599609,948155,-.1681251525878906,503906,4677626,.4834270477294922,1081385,-.9204730987548828,509770,878082,-.4836664199829102,245322,1.550962448120117,224212,1306280,5626509,-.5090103149414063,116968,-1.467097282409668,1245,35848,-.9281368255615234,751548,-.202244758605957,436628,-.3711557388305664,2908046,-.2760324478149414,744329,.070643424987793,258385,-.5522737503051758,1235470,1545118,31659,-.0676546096801758,1401608,-.1859626770019531,4730670,-.5979204177856445,41408,.0095367431640625,33477,-1.898225784301758,matched (3),1685054.9,.89358217,579533.5,607561.31
201009,841280,608,3830,643529,09,0,0,0,0,0,0,0,1,0,0,0,615,38685,1.464245796203613,381832,-.0852518081665039,12800,323633,3.35074520111084,93663,2191473,41031,7203897,48513,-.4220304489135742,8152,.0773782730102539,19798,.8344001770019531,3506,64206,.4961786270141602,58929,1.525951385498047,124187,1.372594833374023,1608430,.6741905212402344,220468,.3855772018432617,395935,.2671976089477539,346240,.2055301666259766,10351,366742,2.231858253479004,87372,1.331467628479004,61692,.6712779998779297,392140,.4511432647705078,1025009,.0779390335083008,496695,7761548,.5063915252685547,124694,-2.160135269165039,296242,1086239,.2127361297607422,8866,-3.320347785949707,366713,1229086,5627671,.0002069473266602,403664,1.238682746887207,6814,221293,1.820199966430664,1032589,.3176898956298828,533767,.2008781433105469,3077202,.0565395355224609,780410,.0473356246948242,215998,-.1791810989379883,827987,1349650,158748,1.612295150756836,2216255,.4581985473632813,10157496,.7641448974609375,64406,.4417324066162109,64066,.6490545272827148,matched (3),2046992.1,.89358217,479511.88,513033.44
201010,841280,609,3830,573924,10,0,0,0,0,0,0,0,0,1,0,0,3378,12090,-1.163073539733887,172281,-.7958545684814453,31449,13853,-3.151108741760254,28183,585852,13091,8014952,89511,.6125297546386719,20181,.9064779281616211,16236,-.1983499526977539,8227,52524,-.2008266448974609,11913,-1.598703384399414,81238,-.4244050979614258,1566624,-.0263357162475586,174032,-.2365131378173828,348787,-.1267890930175781,290183,-.1766204833984375,3655,30454,-2.488441467285156,92735,.0595712661743164,18203,-1.22056770324707,106967,-1.299098968505859,2650881,.950190544128418,446709,3226772,-.8776998519897461,381617,1.118555068969727,187684,763056,-.353144645690918,1476360,5.115111351013184,259497,1009083,3301360,-.5333614349365234,304261,-.2826976776123047,54,65207,-1.221920967102051,825218,-.224177360534668,301094,-.5725364685058594,3327240,.0781221389770508,703411,-.1038780212402344,147594,-.3808040618896484,833822,1333080,17079,-2.22946834564209,1413784,-.4495487213134766,6134692,-.5042514801025391,72426,.1173591613769531,9686,-1.889231681823731,matched (3),1288199.9,.89358217,336316.84,382597.31
