period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1112c757,growth1112c757,Y1232c484,growth1232c484,Y1439c826,growth1439c826,Y1447c440,growth1447c440,Y1627c428,growth1627c428,Y1651c372,growth1651c372,Y1680c616,growth1680c616,Y1682c484,growth1682c484,Y1725c440,growth1725c440,Y1756c251,growth1756c251,Y191c642,Y1956c208,growth1956c208,Y1998c752,growth1998c752,Y2081c124,growth2081c124,Y2105c300,growth2105c300,Y2128c191,growth2128c191,Y2206c191,growth2206c191,Y2337c36,Y2361c152,growth2361c152,Y2425c484,growth2425c484,Y2560c586,growth2560c586,Y2636c807,growth2636c807,Y2925c222,growth2925c222,Y3117c703,growth3117c703,Y3131c191,growth3131c191,Y3176c251,growth3176c251,Y3218c381,Y3312c208,growth3312c208,Y3546c372,growth3546c372,Y3574c381,Y3752c428,growth3752c428,Y3754c124,growth3754c124,Y3828c554,Y3833c620,growth3833c620,Y4022c826,growth4022c826,Y4027c688,growth4027c688,Y4039c218,Y4138c68,growth4138c68,Y4318c203,Y4447c381,Y4614c36,Y4992c376,Y5014c348,growth5014c348,Y57c484,Y665c705,growth665c705,Y666c381,Y711c344,Y752c348,growth752c348,Y767c233,Y885c300,growth885c300,_merge,x,r2,s,sf
201001,841290,600,3831,9037133,01,0,0,0,0,0,0,0,0,0,0,0,623824,,186788,,238378,,515799,,44556,,6182619,,23336702,,17411522,,399218,,2100315,,827519,1000242,,1502681,,638794,,4089753,,145388,,19544,,17817,164603,,50539,,4568,,189903,,81031,,785053,,407289,,5629322,,14603585,1517408,,71115,,433031,13698,,7475319,,123256,668115,,2143755,,41247,,1872350,7906,,1142355,9133357,50733696,345000,150447,,14184977,1839333,,15381717,1495975,276235,,54813,43765,,matched (3),,.90652418,,
201002,841290,601,3831,8536805,02,1,0,0,0,0,0,0,0,0,0,0,664944,.0638351440429688,65364,-1.050003051757813,230745,-.0325441360473633,626015,.1936569213867188,28663,-.4411401748657227,4577422,-.3006067276000977,23597112,.0110969543457031,15473157,-.1180267333984375,391797,-.018763542175293,1906825,-.0966482162475586,1049317,1048231,.0468616485595703,960679,-.4473657608032227,898728,.3413982391357422,3450592,-.1699390411376953,212201,.3781280517578125,1082,-2.893857002258301,12731,298671,.5958061218261719,19104,-.9728479385375977,289,-2.760403633117676,143422,-.2807216644287109,59803,-.303776741027832,694478,-.1225910186767578,596947,.3823051452636719,4280887,-.273829460144043,11130372,200803,-2.022435188293457,54446,-.2670888900756836,325016,21894,.4689626693725586,7280653,-.0263862609863281,107730,1433217,.7632169723510742,1118440,-.6506242752075195,45367,.0952062606811523,1393908,3090,-.9394502639770508,950867,8690447,43884040,116000,175159,.1520833969116211,13108088,2751298,.4026699066162109,14585726,2937460,304147,.0962591171264648,40346,13602,-1.168617248535156,matched (3),48792412,.90652418,9421112,11925668
201003,841290,602,3831,10934421,03,0,1,0,0,0,0,0,0,0,0,0,6234,-4.669684410095215,156841,.8752613067626953,162575,-.3501739501953125,811569,.2595949172973633,68303,.86834716796875,3808443,-.1839151382446289,30629892,.2608528137207031,20776212,.2947025299072266,561169,.359278678894043,3229806,.526982307434082,1305079,1385969,.2792959213256836,1211753,.2321834564208984,1017579,.124201774597168,5163937,.4031534194946289,388075,.6036643981933594,29097,3.291823387145996,26245,357572,.1799945831298828,133484,1.944084167480469,2005,1.936972618103027,178743,.2201576232910156,74351,.2177419662475586,700603,.0087814331054688,756436,.2367897033691406,6879745,.474421501159668,14347778,1069289,1.672425270080566,43336,-.2282257080078125,344015,29662,.3036537170410156,8684559,.1763267517089844,167937,1805250,.2307777404785156,1598921,.3573942184448242,279723,1.819015502929688,1848696,13007,1.437315940856934,1023142,12261857,53313640,474000,140996,-.2169618606567383,16668917,3051012,.1034002304077148,20497016,3197580,519781,.5358963012695313,93767,16637,.2014122009277344,matched (3),60440024,.90652418,12122527,14156972
201004,841290,603,3831,12774432,04,0,0,1,0,0,0,0,0,0,0,0,596417,4.560921669006348,139632,-.1162223815917969,289057,.5754842758178711,1290108,.4635114669799805,134426,.6770601272583008,4672539,.2044820785522461,32536492,.0603847503662109,18788812,-.1005477905273438,1203141,.7626686096191406,2075056,-.4424333572387695,0,1436380,.0357255935668945,1548603,.2452850341796875,1429335,.33978271484375,3489367,-.3919782638549805,428861,.0999345779418945,97151,1.205632209777832,0,400968,.1145448684692383,93008,-.3612957000732422,9614,1.567576408386231,255304,.35650634765625,44126,-.5217485427856445,986042,.3417577743530273,770044,.0178298950195313,8143998,.1687002182006836,20494474,262013,-1.406354904174805,61696,.3532352447509766,477931,49769,.5175256729125977,7759085,-.1126823425292969,212297,779178,-.840214729309082,2630363,.4977931976318359,23183,-2.490381240844727,869620,5599,-.8428993225097656,1238040,12367772,0,163000,441167,1.140691757202148,16185290,4147943,.3071393966674805,18767684,6112164,623297,.1816158294677734,210273,14319,-.1500415802001953,matched (3),94556528,.90652418,11238467,13407734
201005,841290,604,3831,15967713,05,0,0,0,1,0,0,0,0,0,0,0,1490803,.9161300659179688,213221,.4233188629150391,324632,.1160688400268555,1475803,.1344766616821289,157137,.1561040878295898,4709740,.007929801940918,25565812,-.2411060333251953,17554028,-.0679779052734375,1373971,.1327695846557617,2262581,.0865182876586914,1174901,1250279,-.138758659362793,2152252,.3291616439819336,525759,-1.0001220703125,4425910,.2377548217773438,420757,-.0190773010253906,157261,.4816398620605469,0,426645,.0620708465576172,89065,-.0433197021484375,9212,-.0427131652832031,429886,.5210647583007813,47953,.0831727981567383,1251459,.2383661270141602,1116550,.371551513671875,5230200,-.4428319931030273,24964596,1589341,1.802680015563965,68280,.1013984680175781,288601,49691,-.0015678405761719,8373386,.0761938095092773,278205,954211,.2026453018188477,3356917,.2439002990722656,247564,2.368249893188477,1462066,6829,.1985902786254883,1254612,14452416,0,240000,387150,-.1306114196777344,15847496,3949120,-.0491199493408203,20003932,5774744,589736,-.0553483963012695,331025,35416,.9055767059326172,matched (3),93615008,.90652418,10201899,12551611
201006,841290,605,3831,15219722,06,0,0,0,0,1,0,0,0,0,0,0,1287502,-.146611213684082,223271,.0460567474365234,370730,.132781982421875,1432958,-.0294618606567383,122312,-.2505426406860352,3005981,-.4490280151367188,33760604,.2780380249023438,19472308,.1037101745605469,1460715,.0612211227416992,3030706,.2922887802124023,854448,1250044,-.000187873840332,1606039,-.2927436828613281,1074782,.7150306701660156,2778067,-.4657201766967773,565058,.2948722839355469,251378,.4690513610839844,0,412151,-.0345630645751953,222439,.9152870178222656,1524,-1.799168586730957,419379,-.024744987487793,119265,.9111261367797852,1125617,-.1059789657592773,992688,-.1175832748413086,7769856,.3958015441894531,20044704,1001507,-.4618129730224609,40829,-.5142250061035156,255385,181861,1.297418594360352,9328118,.1079750061035156,204621,100717,-2.248570442199707,2509841,-.2908029556274414,82482,-1.099088668823242,2181247,11,-6.43103837966919,1210908,11289859,0,211000,418887,.0787887573242188,15500250,3812849,-.0351161956787109,24278920,3786003,451345,-.2674427032470703,331691,34192,-.0351724624633789,matched (3),59745216,.90652418,11343735,13496093
201007,841290,606,3831,11876283,07,0,0,0,0,0,1,0,0,0,0,0,1025020,-.227992057800293,148203,-.4098024368286133,276035,-.2949466705322266,1202915,-.174992561340332,121031,-.010528564453125,4542981,.4129791259765625,28830660,-.1578540802001953,17810422,-.0892105102539063,1412974,-.0332298278808594,2532256,-.1796846389770508,837394,976382,-.2470808029174805,2490676,.4387826919555664,1131408,.0513448715209961,3738326,.2968826293945313,660027,.1553525924682617,179078,-.339137077331543,14447,438713,.0624561309814453,125869,-.5694112777709961,18750,2.509855270385742,389464,-.0740032196044922,164392,.3209056854248047,755677,-.398472785949707,885088,-.1147289276123047,5684369,-.3125314712524414,12645422,151153,-1.890968322753906,72059,.5680932998657227,601955,33667,-1.686724662780762,9862448,.0557003021240234,201503,156538,.440983772277832,4441357,.5707406997680664,94915,.1404018402099609,1732988,7633,6.542340755462647,1150817,13418835,55071920,313000,293183,-.3568038940429688,19827504,4792861,.2287511825561523,25420172,2752113,530845,.1622381210327148,445831,25786,-.2821598052978516,matched (3),74059328,.90652418,7712074.5,10627337
201008,841290,607,3831,11544481,08,0,0,0,0,0,0,1,0,0,0,0,56846,-2.892121315002441,105402,-.3408021926879883,196311,-.3408279418945313,1376221,.1345930099487305,128217,.0576772689819336,5864629,.2553558349609375,24466888,-.1641197204589844,24341104,.3123836517333984,1469662,.0393362045288086,2459617,-.0291051864624023,1042966,1322318,.303288459777832,2291626,-.0832920074462891,1694528,.4039411544799805,3051025,-.203160285949707,450127,-.3827505111694336,159130,-.1180992126464844,26578,364826,-.1844253540039063,182487,.3714370727539063,8800,-.7564420700073242,336559,-.1459980010986328,191469,.1524724960327148,948065,.2268095016479492,533033,-.5071039199829102,4850733,-.1585903167724609,9713686,124897,-.1908035278320313,140968,.6710472106933594,392918,25817,-.2654848098754883,8772285,-.1171360015869141,284750,55583,-1.035421371459961,3274071,-.3049259185791016,267421,1.035841941833496,1766065,14372,.6328010559082031,1266089,8327340,54620792,267000,357302,.197784423828125,18777566,4243011,-.1218538284301758,20113164,3633910,488386,-.0833635330200195,408645,6664,-1.35311222076416,matched (3),49475368,.90652418,6394437.5,9713549
201009,841290,608,3831,11068453,09,0,0,0,0,0,0,0,1,0,0,0,1061887,2.927456855773926,304604,1.06123161315918,408168,.7319793701171875,961477,-.3586254119873047,109255,-.1600399017333984,4391489,-.2892704010009766,23704370,-.0316600799560547,20758020,-.1592330932617188,1755354,.177638053894043,1723512,-.3556413650512695,1105743,1297929,-.0186166763305664,4144006,.5924005508422852,847550,-.6928091049194336,2725176,-.1129446029663086,425912,-.0552968978881836,184087,.1456871032714844,7567,583059,.4688682556152344,119788,-.4209556579589844,5436,-.4817085266113281,264717,-.2401123046875,102117,-.6286067962646484,1046536,.0988178253173828,440433,-.1908245086669922,5896663,.1952571868896484,15725243,156079,.2228727340698242,106483,-.2805471420288086,437610,26736,.034977912902832,8621361,-.0173549652099609,292096,338187,1.805722236633301,4941135,.4115610122680664,118065,-.8175888061523438,2184553,19057,.2821521759033203,1251097,15234227,56299184,299000,192985,-.6159687042236328,18682306,2756746,-.4312229156494141,17494852,3622861,581443,.1744070053100586,364327,43892,1.885012626647949,matched (3),66118200,.90652418,5645080.5,9237485
201010,841290,609,3831,9772495,10,0,0,0,0,0,0,0,0,1,0,0,784597,-.3026323318481445,121574,-.9184894561767578,286487,-.3539857864379883,836039,-.1397953033447266,128565,.162750244140625,4762849,.0811767578125,26509084,.1118278503417969,20595444,-.0078639984130859,1097914,-.4692592620849609,2131619,.2125177383422852,1098586,1406224,.0801382064819336,2027433,-.7148923873901367,1093655,.2549304962158203,3378194,.214808464050293,538008,.2336406707763672,24624,-2.011687278747559,8056,192462,-1.108389854431152,13519,-2.18162727355957,378,-2.665904521942139,210105,-.2310543060302734,78019,-.2691669464111328,1095806,.0460042953491211,360355,-.2006692886352539,7458548,.2349739074707031,11735655,93513,-.5122613906860352,74621,-.3555631637573242,317546,51020,.6462068557739258,7534038,-.1348114013671875,326748,48776,-1.936361312866211,2144404,-.8347339630126953,49997,-.8592720031738281,2208964,11654,-.4917850494384766,1136427,11881393,54516056,204000,89483,-.7685642242431641,18186818,2413629,-.1329193115234375,15337716,4097468,395773,-.3846721649169922,327441,28572,-.4293050765991211,matched (3),20070738,.90652418,3467381,8092399
