period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1029c428,growth1029c428,Y1128c826,growth1128c826,Y1155c616,growth1155c616,Y1156c484,growth1156c484,Y1161c705,growth1161c705,Y1321c620,growth1321c620,Y1365c152,Y1498c586,growth1498c586,Y1525c600,growth1525c600,Y1770c586,growth1770c586,Y1781c124,growth1781c124,Y1851c440,growth1851c440,Y1901c703,growth1901c703,Y2046c428,growth2046c428,Y2116c757,growth2116c757,Y2308c344,Y2375c703,growth2375c703,Y2381c372,Y2504c124,growth2504c124,Y2509c348,growth2509c348,Y2554c208,growth2554c208,Y2638c352,growth2638c352,Y2669c807,Y2854c703,growth2854c703,Y3092c440,growth3092c440,Y3133c124,growth3133c124,Y3426c36,Y3775c600,growth3775c600,Y3886c484,growth3886c484,Y3987c600,growth3987c600,Y399c124,growth399c124,Y4022c68,growth4022c68,Y4041c616,growth4041c616,Y4254c152,growth4254c152,Y428c152,growth428c152,Y4405c372,growth4405c372,Y4457c600,growth4457c600,Y4470c586,growth4470c586,Y4489c36,Y4638c586,growth4638c586,Y4641c68,Y4839c68,growth4839c68,Y4886c246,growth4886c246,Y4961c376,Y4989c440,growth4989c440,Y4998c36,Y581c124,growth581c124,Y612c600,growth612c600,Y612c826,growth612c826,Y741c208,growth741c208,_merge,x,r2,s,sf
201001,841319,600,3833,599458,01,0,0,0,0,0,0,0,0,0,0,0,25820,,116857,,72020,,459734,,36028,,17847,,413,1699875,,193515,,11174,,6089816,,202312,,104826,,69548,,41393,,925924,49630,,7218,74974,,166015,,655683,,141007,,4671,10817,,53268,,186013,,4302787,133570,,1842215,,2354107,,402762,,21280,,630197,,776102,,302454,,1398868,,4270,,56800,,688954,47366,,294021,2001,,332401,,877000,197726,,132814,10543244,,196505,,5955300,,72476,,matched (3),,.87494093,,
201002,841319,601,3833,533508,02,1,0,0,0,0,0,0,0,0,0,0,1520,-2.832439422607422,209992,.5861186981201172,38220,-.6335849761962891,372143,-.2113704681396484,30096,-.1799049377441406,2774,-1.861545085906982,4912,1769774,.0402965545654297,240944,.2192096710205078,4073,-1.009210586547852,5458586,-.1094284057617188,291345,.3646965026855469,50673,-.7269077301025391,12198,-1.740745544433594,7033,-1.77249813079834,268457,5186,-2.258633613586426,2887,35834,-.7382440567016602,36387,-1.517867088317871,298003,-.78857421875,99448,-.3491744995117188,0,16941,.4486169815063477,25589,-.7331733703613281,102776,-.5932645797729492,1005395,79503,-.5188302993774414,3113152,.5246667861938477,2510921,.064488410949707,301388,-.289947509765625,52188,.8970851898193359,711953,.1219797134399414,714598,-.0825643539428711,241540,-.2248935699462891,1048826,-.2879915237426758,3060,-.3331995010375977,609680,2.373397827148438,514078,51538,.0844144821166992,140527,1390,-.3643431663513184,193469,-.541224479675293,107000,168383,-.1606407165527344,136565,7758097,-.3067483901977539,62105,-1.151861190795898,7450013,.2239341735839844,14314,-1.622016906738281,matched (3),735442.44,.87494093,174232.42,271181.81
201003,841319,602,3833,557067,03,0,1,0,0,0,0,0,0,0,0,0,20176,2.585783004760742,243482,.1479740142822266,116679,1.116067886352539,836245,.8096437454223633,32816,.0865240097045898,8975,1.174152851104736,414,2508929,.3490047454833984,426789,.5717248916625977,67144,2.802459716796875,6020842,.0980377197265625,174623,-.5118780136108398,47669,-.0611124038696289,93094,2.03233814239502,13674,.6648826599121094,945323,175494,3.521642684936523,0,44156,.208831787109375,177737,1.586093902587891,507018,.5314435958862305,54810,-.5957622528076172,12826,4703,-1.281536102294922,45309,.5713434219360352,295712,1.056834220886231,1552653,105138,.2794790267944336,3558510,.1337060928344727,3794890,.4130058288574219,666902,.7942447662353516,68726,.2752752304077148,1039562,.3785429000854492,865957,.1921157836914063,339717,.3410778045654297,733212,-.3579921722412109,3082,.0071640014648438,21090,-3.364134788513184,426548,44091,-.1560640335083008,414578,6659,1.566665172576904,126656,-.4236421585083008,114000,204860,.1960859298706055,125570,9708397,.2242536544799805,202884,1.183807373046875,6978038,-.0654487609863281,49763,1.246033668518066,matched (3),3189.626,.87494093,182690.83,276692.22
201004,841319,603,3833,893366,04,0,0,1,0,0,0,0,0,0,0,0,17924,-.1183528900146484,185804,-.2703514099121094,354071,1.110071182250977,882929,.0543231964111328,36681,.1113433837890625,7692,-.1542625427246094,89,3087617,.2075433731079102,197571,-.7701911926269531,179615,.9839763641357422,6470475,.0720224380493164,453706,.9548196792602539,52880,.1037435531616211,48037,-.6616382598876953,20236,.3919668197631836,983895,87566,-.6952123641967773,7421,60513,.315129280090332,348198,.6724662780761719,382200,-.2826023101806641,40341,-.3065042495727539,32356,12965,1.014053344726563,52319,.1438541412353516,233521,-.2361135482788086,0,299818,1.047901153564453,3452994,-.0300998687744141,2124806,-.5799751281738281,734770,.0969142913818359,237627,1.240573883056641,836051,-.217864990234375,923588,.0644302368164063,407918,.182952880859375,942598,.2512054443359375,2441,-.2331705093383789,155890,2.000351905822754,0,35482,-.2172298431396484,655565,5893,-.1222038269042969,210206,.5066127777099609,108000,215234,.0493984222412109,0,10321288,.06121826171875,190110,-.0650310516357422,9420746,.3001461029052734,58900,.1685695648193359,matched (3),534956.56,.87494093,145526.48,253693.89
201005,841319,604,3833,1102386,05,0,0,0,1,0,0,0,0,0,0,0,16919,-.0577030181884766,125751,-.3903884887695313,175547,-.7015914916992188,489476,-.589909553527832,32665,-.1159553527832031,8681,.1209564208984375,3275,2338273,-.2779874801635742,116293,-.5299854278564453,302838,.5223827362060547,6604156,.0204496383666992,282142,-.4750385284423828,112615,.7559499740600586,149060,1.132377624511719,11350,-.5782451629638672,1199779,121632,.3286075592041016,14441,68285,.1208314895629883,662263,.6428909301757813,538546,.3429288864135742,152452,1.32948112487793,31821,6493,-.6915292739868164,5858,-2.18955135345459,80528,-1.064667701721191,0,123382,-.8878898620605469,4412082,.2451047897338867,3004394,.3463954925537109,688742,-.0646905899047852,65233,-1.292736053466797,1048798,.226710319519043,8163603,2.17917537689209,722368,.5714683532714844,1150298,.1991367340087891,6126,.9201335906982422,234141,.4067726135253906,0,51408,.3707685470581055,704883,3110,-.6391420364379883,190366,-.0991392135620117,48000,215330,.0004463195800781,0,10347534,.0025386810302734,191250,.0059785842895508,5618192,-.5169038772583008,83277,.3463306427001953,matched (3),3921076.8,.87494093,568014.63,604833.25
201006,841319,605,3833,838074,06,0,0,0,0,1,0,0,0,0,0,0,1194,-2.65112829208374,189003,.4074592590332031,21961,-2.078638076782227,632802,.2568225860595703,25801,-.2358903884887695,8453,-.026616096496582,1637,2115782,-.0999879837036133,93625,-.2168149948120117,343245,.1252460479736328,5761522,-.1364974975585938,337127,.1780490875244141,112220,-.0035133361816406,140813,-.0569162368774414,52548,1.532508850097656,865997,123316,.0137500762939453,2975,58219,-.1594781875610352,496487,-.2881050109863281,447280,-.1856880187988281,106093,-.3625335693359375,46858,6128,-.0578556060791016,22489,1.345217704772949,125971,.4474468231201172,0,175417,.3518810272216797,4950311,.1151037216186523,2532063,-.1710414886474609,708203,.0278635025024414,49421,-.2775907516479492,487576,-.7659540176391602,1102914,-2.001729965209961,522603,-.3237123489379883,1038010,-.1027164459228516,11503,.63006591796875,143987,-.4862003326416016,0,42518,-.1898670196533203,37281,1385,-.8089232444763184,132545,-.3620262145996094,32000,170743,-.2320127487182617,0,9922340,-.0419578552246094,125597,-.4205036163330078,8601294,.4259033203125,64283,-.2588768005371094,matched (3),1335843.6,.87494093,202554.98,290191.59
201007,841319,606,3833,827103,07,0,0,0,0,0,1,0,0,0,0,0,26869,3.113664150238037,111426,-.5284023284912109,47394,.7692270278930664,534093,-.1695880889892578,29632,.1384410858154297,3065,-1.014473915100098,0,1703011,-.2170267105102539,211646,.815617561340332,117895,-1.068650245666504,5481925,-.0497455596923828,193890,-.5531692504882813,96309,-.1528997421264648,42475,-1.198517799377441,9368,-1.724427223205566,593849,47330,-.957606315612793,7005,32292,-.5893917083740234,359131,-.3238697052001953,386119,-.1470394134521484,50188,-.748539924621582,29678,12344,.7003011703491211,65814,1.073806762695313,175249,.3301563262939453,3174340,59413,-1.082653045654297,5252718,.059295654296875,2051529,-.21044921875,683042,-.0361738204956055,27870,-.5728244781494141,687902,.3442001342773438,1185071,.0718469619750977,201209,-.9544782638549805,860361,-.1877079010009766,2964,-1.356067657470703,7792,-2.9166259765625,689006,30551,-.3305301666259766,135629,2128,.4294824600219727,258426,.6676864624023438,67000,206746,.1913318634033203,81324,9721060,-.0204944610595703,138054,.0945672988891602,8155584,-.0532102584838867,53911,-.1759605407714844,matched (3),132802.42,.87494093,124294.23,242139.83
201008,841319,607,3833,1036203,08,0,0,0,0,0,0,1,0,0,0,0,19857,-.3024168014526367,126947,.1304092407226563,106257,.8073654174804688,671627,.2291336059570313,7962,-1.314174652099609,4972,.4837751388549805,0,1929310,.1247653961181641,213380,.0081596374511719,1339521,2.430273056030273,5861906,.0670185089111328,301957,.4429941177368164,161261,.5154628753662109,80687,.64166259765625,4285,-.7821788787841797,645173,73348,.4380712509155273,17674,64443,.6909608840942383,447110,.2191171646118164,526426,.3099651336669922,89308,.5763149261474609,39318,40812,1.195806503295898,31032,-.7518138885498047,122674,-.3566770553588867,6399398,210524,1.265086174011231,6682057,.2406797409057617,2755083,.2948627471923828,945614,.3252782821655273,39982,.3608789443969727,1938488,1.036017417907715,1298119,.0911130905151367,5908040,3.379725456237793,1073279,.2211208343505859,2830,-.0462632179260254,165579,3.056350708007813,841256,46546,.4210443496704102,205280,24019,2.423662662506104,499395,.6587886810302734,211000,210090,.0160446166992188,100102,13180091,.304412841796875,164143,.1730928421020508,6606407,-.210662841796875,21669,-.9114522933959961,matched (3),1225814.8,.87494093,114861.09,237435.69
201009,841319,608,3833,1119662,09,0,0,0,0,0,0,0,1,0,0,0,29284,.3884849548339844,339629,.9840841293334961,120849,.1286811828613281,540579,-.2170619964599609,17362,.7796039581298828,609,-2.099759101867676,0,2482390,.2520589828491211,136695,-.4453229904174805,266615,-1.614261627197266,5910023,.0081748962402344,236753,-.2432670593261719,190948,.1689767837524414,85556,.0585927963256836,17174,1.388276100158691,897770,141178,.6548061370849609,20122,105800,.4957695007324219,476424,.0635032653808594,610241,.1477432250976563,41281,-.7716884613037109,27055,67959,.5099277496337891,26358,-.1632471084594727,340761,1.021650314331055,2101740,194142,-.0810098648071289,6344732,-.0518007278442383,6804805,.9041814804077148,1016674,.0724573135375977,77581,.6628932952880859,2714580,.3367290496826172,1145687,-.1249113082885742,3470625,-.5319795608520508,1319417,.2064723968505859,5807,.7187876701354981,66215,-.9165410995483398,1326376,29438,-.4581546783447266,382285,8037,-1.094789505004883,591730,.1696529388427734,193000,299962,.3561201095581055,60202,9352158,-.3431015014648438,251319,.4259853363037109,6725580,.017878532409668,96344,1.492042541503906,matched (3),683926.19,.87494093,145932.03,253926.75
201010,841319,609,3833,767596,10,0,0,0,0,0,0,0,0,1,0,0,51478,.564112663269043,96014,-1.263360023498535,49557,-.89141845703125,360991,-.4037885665893555,34614,.6899747848510742,10025,2.801018714904785,5203,1622257,-.4254035949707031,233310,.5346164703369141,102495,-.9559917449951172,5013515,-.1645126342773438,329148,.3294897079467773,105562,-.5927028656005859,114842,.2943868637084961,22823,.2843723297119141,826140,42817,-1.193085670471191,0,157473,.3977041244506836,150338,-1.153422355651856,792560,.26141357421875,59866,.3717060089111328,21360,10937,-1.826752662658691,51614,.6720209121704102,189217,-.5882863998413086,959295,281778,.3725299835205078,4897004,-.2590017318725586,4628949,-.3852996826171875,1117148,.0942420959472656,35252,-.7888002395629883,798383,-1.223804473876953,909146,-.2312545776367188,2512958,-.3228740692138672,2346360,.5756750106811523,2900,-.6943535804748535,35877,-.6128101348876953,800577,31535,.0688114166259766,96925,3939,-.7131290435791016,465550,-.2398309707641602,235000,275923,-.0835342407226563,65012,10845582,.1481513977050781,201214,-.2223548889160156,6329722,-.0606622695922852,71611,-.2966766357421875,matched (3),386953.97,.87494093,117806.52,238874.47
