period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1150c616,growth1150c616,Y1454c152,growth1454c152,Y1525c600,growth1525c600,Y1605c440,growth1605c440,Y1783c348,growth1783c348,Y1791c348,growth1791c348,Y1811c233,Y1836c124,growth1836c124,Y2010c208,growth2010c208,Y2012c688,growth2012c688,Y2110c124,growth2110c124,Y2137c68,growth2137c68,Y2219c440,growth2219c440,Y2393c826,growth2393c826,Y2627c124,growth2627c124,Y2687c440,Y2690c208,growth2690c208,Y2754c208,growth2754c208,Y2764c752,growth2764c752,Y2859c124,growth2859c124,Y3031c152,growth3031c152,Y3092c440,growth3092c440,Y3129c484,growth3129c484,Y3149c428,growth3149c428,Y3279c124,growth3279c124,Y3299c792,growth3299c792,Y3316c300,growth3316c300,Y3732c688,growth3732c688,Y3839c600,growth3839c600,Y3872c152,growth3872c152,Y4112c36,Y4164c586,growth4164c586,Y4175c32,Y4339c152,growth4339c152,Y4381c152,growth4381c152,Y4426c484,growth4426c484,Y4489c36,Y4679c124,growth4679c124,Y4733c608,Y4765c152,growth4765c152,Y4770c218,Y4824c600,growth4824c600,Y4988c484,growth4988c484,Y4990c36,Y519c484,growth519c484,Y583c826,growth583c826,Y590c300,growth590c300,Y623c616,growth623c616,Y721c124,Y749c233,_merge,x,r2,s,sf
201001,841360,600,3838,6935124,01,0,0,0,0,0,0,0,0,0,0,0,78127,,334944,,193515,,354956,,4736375,,955577,,5586,1309978,,170367,,1540,,2028692,,3123,,7038,,640775,,908031,,120373,88944,,2983458,,6620616,,3373969,,52068,,53268,,801994,,25993,,6909178,,253356,,8276,,199420,,517050,,1398304,,1286616,98451,,3115303,1778501,,1033014,,612841,,688954,78035,,6072,914834,,229409,200528,,20382,,702751,6861351,,18034122,,13927,,112146,,19151,209660,matched (3),,.82843125,,
201002,841360,601,3838,8176866,02,1,0,0,0,0,0,0,0,0,0,0,66341,-.1635274887084961,200206,-.5146169662475586,240944,.2192096710205078,593222,.5135746002197266,7615354,.4748945236206055,1008081,.0534877777099609,10680,845347,-.4380178451538086,205702,.1884737014770508,9265,1.794461250305176,1275607,-.4639692306518555,13509,1.464561462402344,11299,.4733905792236328,1118953,.5574703216552734,786981,-.1430749893188477,6759,103727,.1537551879882813,3646168,.2005939483642578,6305301,-.048797607421875,3095819,-.0860366821289063,16788,-1.13188648223877,25589,-.7331733703613281,870485,.0819492340087891,9203,-1.038297653198242,8165279,.1670398712158203,399864,.456329345703125,14300,.5468997955322266,235681,.1670656204223633,280970,-.6098918914794922,1807318,.2565841674804688,1982633,89232,-.0983190536499023,3663342,2289631,.252619743347168,1197557,.1478033065795898,751596,.2040929794311523,514078,35572,-.7855987548828125,62552,433088,-.7478017807006836,131417,819861,1.408181190490723,9170,-.7987146377563477,623364,8417627,.2044239044189453,14381400,-.2263317108154297,51275,1.303373336791992,157260,.3380985260009766,46852,59655,matched (3),9487654,.82843125,1383409.8,2343925.8
201003,841360,602,3838,9803961,03,0,1,0,0,0,0,0,0,0,0,0,101306,.4233369827270508,320711,.4711942672729492,426789,.5717248916625977,624092,.0507297515869141,8432808,.1019630432128906,1322832,.2717266082763672,12521,1464310,.5493917465209961,213784,.0385370254516602,22626,.8928556442260742,1983450,.4414157867431641,4884,-1.017391204833984,15167,.2944068908691406,1063539,-.0507917404174805,845313,.071502685546875,3546,228872,.7914009094238281,4206094,.142857551574707,8038297,.2428264617919922,3389632,.0906686782836914,13288,-.2338027954101563,45309,.5713434219360352,814416,-.0665788650512695,2365,-1.358751773834229,12737847,.4446868896484375,661794,.5038299560546875,71348,1.607309341430664,262691,.1084995269775391,922725,1.189083099365234,1296566,-.3321247100830078,2115590,57159,-.4454030990600586,3414115,2870007,.2259244918823242,1632313,.3097143173217773,1158564,.4327383041381836,426548,51678,.3734731674194336,79655,961783,.7978487014770508,168505,292297,-1.031364440917969,13154,.3607883453369141,761563,9851819,.1573276519775391,17383230,.1895713806152344,76091,.3947267532348633,292662,.6211185455322266,347174,573826,matched (3),15645588,.82843125,1921168.6,2696489.3
201004,841360,603,3838,10252681,04,0,0,1,0,0,0,0,0,0,0,0,79709,-.2397632598876953,485650,.414947509765625,197571,-.7701911926269531,501026,-.219639778137207,6815764,-.2128915786743164,1119985,-.1664600372314453,33814,1257728,-.1520767211914063,156602,-.3112583160400391,47278,.7369461059570313,2508078,.2346792221069336,14614,1.096014976501465,18362,.191162109375,1678161,.4560966491699219,1103408,.2664518356323242,151,21144,-2.381807327270508,2649630,-.4621143341064453,6882843,-.1551856994628906,2869135,-.1667108535766602,19679,.3926906585693359,52319,.1438541412353516,1204271,.3911581039428711,28920,2.50375509262085,7158996,-.5762081146240234,778951,.1629934310913086,724,-4.590533256530762,458075,.5560541152954102,328459,-1.032918930053711,1565963,.18878173828125,0,36039,-.4612350463867188,3144410,2059895,-.331660270690918,1039142,-.4516029357910156,1523878,.2740764617919922,0,54731,.057398796081543,17904,952863,-.0093183517456055,125431,244430,-.1788415908813477,16404,.220799446105957,0,8140488,-.1908054351806641,17310548,-.0041904449462891,394843,1.64655876159668,145782,-.6969060897827148,285463,601805,matched (3),5434248.5,.82843125,2503467,3138074.5
201005,841360,604,3838,11202740,05,0,0,0,1,0,0,0,0,0,0,0,141500,.5739173889160156,278501,-.5560665130615234,116293,-.5299854278564453,522616,.0421886444091797,9690018,.3518581390380859,1006688,-.1066493988037109,22141,1338748,.0624275207519531,461498,1.080770492553711,12693,-1.314994812011719,1504086,-.5113315582275391,1149,-2.543087959289551,6970,-.9686679840087891,1107686,-.4154253005981445,997391,-.1010160446166992,1221,42687,.7025384902954102,2490121,-.0620880126953125,6033348,-.1317291259765625,3032813,.0554800033569336,19551,-.0065250396728516,5858,-2.18955135345459,695498,-.5490016937255859,37248,.2530651092529297,15956409,.8014907836914063,206384,-1.32820987701416,23171,3.465865135192871,346658,-.2786941528320313,402838,.2041225433349609,2909173,.6193675994873047,0,62977,.5581674575805664,3697822,1854574,-.1049995422363281,1064890,.0244760513305664,1482569,-.0274820327758789,0,32364,-.5253839492797852,20810,982961,.0310983657836914,192470,174691,-.3359098434448242,12825,-.246129035949707,0,9460890,.1503162384033203,14811208,-.1559314727783203,600599,.4194393157958984,112200,-.2618293762207031,254470,2215310,matched (3),9326164,.82843125,1343919,2320836.8
201006,841360,605,3838,12737824,06,0,0,0,0,1,0,0,0,0,0,0,17432,-2.093992233276367,339311,.1974954605102539,93625,-.2168149948120117,537127,.0273876190185547,7440032,-.26422119140625,927508,-.0819196701049805,18884,1124649,-.1742639541625977,181117,-.9353351593017578,7008,-.5939979553222656,3274195,.7778863906860352,4410,1.344983100891113,5247,-.2839593887329102,1267549,.1348123550415039,1197116,.1825284957885742,245,16870,-.9283571243286133,2947563,.1686468124389648,7928926,.2732152938842773,2463031,-.2080974578857422,23505,.1841859817504883,22489,1.345217704772949,810593,.1531381607055664,41551,.1093235015869141,8172290,-.6691112518310547,939674,1.51579475402832,1440,-2.778257846832275,542848,.448491096496582,156361,-.9463672637939453,2942450,.0113744735717773,0,107333,.5331668853759766,4424879,2224511,.1818819046020508,1280840,.1846446990966797,723706,-.7171459197998047,0,55820,.5450859069824219,45522,991893,.0090456008911133,449522,225308,.2544498443603516,11944,-.0711669921875,0,7456139,-.238128662109375,17836184,.1858444213867188,486624,-.2104358673095703,183766,.4933805465698242,362126,2042724,matched (3),9914351,.82843125,1619713,2490709.8
201007,841360,606,3838,14471375,07,0,0,0,0,0,1,0,0,0,0,0,82036,1.548851013183594,455247,.2939224243164063,211646,.815617561340332,531524,-.0104856491088867,11077332,.3980255126953125,960614,.0350713729858398,35983,933038,-.1867799758911133,217178,.1815738677978516,18899,.9920568466186523,2153465,-.4189929962158203,26308,1.785998344421387,3086,-.5307807922363281,1294227,.0208282470703125,970967,-.2093782424926758,3210,28687,.5309066772460938,2855621,-.0316896438598633,8598502,.0810699462890625,3083093,.2245397567749023,160743,1.92259407043457,65814,1.073806762695313,1113318,.3173341751098633,16544,-.9208984375,14246815,.5557842254638672,304750,-1.126041412353516,28610,2.989113330841065,203786,-.9797592163085938,715734,1.521141052246094,3282618,.1093988418579102,1602537,67267,-.4672660827636719,4198246,2644216,.1728372573852539,1998389,.4448251724243164,1320498,.6013784408569336,689006,45394,-.2067527770996094,145811,802183,-.2122783660888672,171520,1522058,1.910349845886231,16843,.3437061309814453,889622,10355724,.3285007476806641,17472348,-.0206089019775391,619487,.2413997650146484,172225,-.0648622512817383,341993,2473681,matched (3),10407052,.82843125,1746784.6,2575154.8
201008,841360,607,3838,15779478,08,0,0,0,0,0,0,1,0,0,0,0,95158,.1483802795410156,715255,.4517993927001953,213380,.0081596374511719,755547,.3516931533813477,7541555,-.3844718933105469,1394518,.3727321624755859,35204,1699058,.5993833541870117,741351,1.227757453918457,19875,.0503530502319336,2491007,.1456089019775391,7479,-1.257774353027344,5031,.4887428283691406,1740553,.2962894439697266,1166230,.1832389831542969,9722,23487,-.1999969482421875,3297519,.1438817977905273,9913967,.1423568725585938,3478661,.1207141876220703,48167,-1.205132484436035,31032,-.7518138885498047,1082766,-.0278263092041016,23306,.3426876068115234,16159909,.1259994506835938,395917,.2617130279541016,12491,-.8287477493286133,680223,1.205349922180176,638051,-.1148900985717773,4899673,.4005270004272461,565687,94531,.3402576446533203,4696164,2805740,.0592927932739258,1768449,-.1222381591796875,677399,-.6675033569335938,841256,43942,-.0325088500976563,89183,1489444,.6188220977783203,252652,386461,-1.370787620544434,16527,-.0189399719238281,1011633,9248014,-.1131305694580078,17602346,.0074119567871094,500413,-.2134580612182617,238425,.3252534866333008,115225,2260264,matched (3),11665916,.82843125,1490774.4,2408853.3
201009,841360,608,3838,12882122,09,0,0,0,0,0,0,0,1,0,0,0,46883,-.7078838348388672,307209,-.8451108932495117,136695,-.4453229904174805,704580,-.0698404312133789,10740048,.3535499572753906,1199135,-.1509485244750977,53032,1155110,-.3858785629272461,260777,-1.044808387756348,36860,.6176643371582031,1157629,-.7663135528564453,863,-2.159439563751221,2604,-.6585698127746582,1656494,-.04949951171875,979045,-.1749544143676758,7347,46303,.6787595748901367,2934481,-.1166400909423828,8396395,-.166142463684082,3362312,-.0340185165405273,31790,-.415522575378418,26358,-.1632471084594727,827545,-.2688102722167969,17992,-.2587833404541016,12805318,-.2326717376708984,189767,-.735407829284668,7696,-.4843082427978516,420057,-.482029914855957,292710,-.77923583984375,3146325,-.4429340362548828,704378,24965,-1.331453323364258,4529529,4102951,.3800392150878906,2034945,.1403656005859375,2571326,1.333916664123535,1326376,23732,-.6160469055175781,58518,1405458,-.058039665222168,168751,297865,-.2603902816772461,12586,-.2724103927612305,796630,7906300,-.1567487716674805,15361883,-.1361427307128906,210027,-.8681974411010742,145367,-.4947929382324219,146356,2159962,matched (3),7709539,.82843125,1782599.8,2599582
201010,841360,609,3838,14821806,10,0,0,0,0,0,0,0,0,1,0,0,57117,.1974468231201172,617969,.6989097595214844,233310,.5346164703369141,727787,.0324068069458008,9853557,-.0861454010009766,1159413,-.033686637878418,64343,1160383,.0045547485351563,335890,.253117561340332,13181,-1.028350830078125,2963288,.9399251937866211,5187,1.793496608734131,30642,2.465322971343994,1238278,-.2909822463989258,1060567,.079981803894043,119044,97237,.7419443130493164,3421775,.1536283493041992,8808794,.0479488372802734,3609176,.0708513259887695,36891,.1488161087036133,51614,.6720209121704102,1681951,.7092466354370117,32966,.6055488586425781,13536500,.0555286407470703,629571,1.199241638183594,7490,-.0271320343017578,497828,.1698637008666992,843178,1.057995796203613,4551261,.3691692352294922,3164627,176963,1.958466529846191,3737693,3173299,-.2569341659545898,1488586,-.3126420974731445,7228437,1.033600807189941,800577,59256,.9150428771972656,109044,830364,-.5262546539306641,172340,359676,.188563346862793,14298,.1275348663330078,952061,9317797,.1642675399780273,16335951,.0614795684814453,105159,-.6917629241943359,106076,-.3151063919067383,125816,2826691,matched (3),12306382,.82843125,1683889.9,2532913.5
