period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1231c124,growth1231c124,Y1463c208,growth1463c208,Y1587c807,growth1587c807,Y1727c826,growth1727c826,Y1755c752,growth1755c752,Y2054c826,growth2054c826,Y2073c152,growth2073c152,Y229c246,growth229c246,Y231c124,growth231c124,Y245c124,growth245c124,Y2709c36,Y2842c208,growth2842c208,Y284c124,growth284c124,Y2857c792,growth2857c792,Y2857c826,growth2857c826,Y2863c826,growth2863c826,Y2871c807,growth2871c807,Y2881c124,growth2881c124,Y2917c554,Y2919c152,growth2919c152,Y2943c300,growth2943c300,Y2943c381,Y2953c381,Y2955c826,growth2955c826,Y2973c826,growth2973c826,Y3008c124,growth3008c124,Y3284c703,growth3284c703,Y336c124,growth336c124,Y3571c586,growth3571c586,Y3769c586,growth3769c586,Y3848c586,growth3848c586,Y3946c818,Y4073c344,Y4175c826,growth4175c826,Y4329c381,Y4635c620,growth4635c620,Y4637c440,growth4637c440,Y4919c208,growth4919c208,Y4922c208,growth4922c208,Y4924c191,growth4924c191,Y4924c208,growth4924c208,Y4924c757,growth4924c757,Y4942c826,growth4942c826,Y4966c124,growth4966c124,Y4969c124,growth4969c124,Y4978c191,growth4978c191,Y4982c251,growth4982c251,Y661c372,growth661c372,Y717c300,growth717c300,Y754c752,growth754c752,_merge,x,r2,s,sf
201001,841370,600,3839,21879680,01,0,0,0,0,0,0,0,0,0,0,0,1298099,,5480,,85773,,1846510,,1019977,,2984704,,244575,,72805,,3247498,,1148834,,2378817,2547859,,367268,,1292989,,13715050,,40974728,,17519,,4231051,,95113,1791130,,76957,,555652,1826520,5598610,,2705717,,478889,,1246524,,22553548,,6817881,,116331,,338421,,1518594,6312736,17611258,,23986208,467043,,1162793,,169682,,3504292,,886863,,4831041,,6770910,,2486686,,3018428,,2430049,,222079,,3766499,,4485742,,999257,,287950,,matched (3),,.92074353,,
201002,841370,601,3839,21530470,02,1,0,0,0,0,0,0,0,0,0,0,1000867,-.2600336074829102,94340,2.845800399780273,317998,1.310340881347656,886792,-.7334423065185547,1016306,-.003605842590332,3327979,.1088647842407227,156084,-.449127197265625,412855,1.735312461853027,8546061,.967585563659668,1173763,.0214672088623047,2219995,2083229,-.2013339996337891,277019,-.2820062637329102,1662060,.2511014938354492,21757086,.4614467620849609,37813616,-.0802860260009766,26012,.3952722549438477,3719327,-.1289081573486328,68771,1865387,.0406217575073242,186325,.8842458724975586,884841,2340344,9465695,.5251560211181641,4775731,.5681800842285156,478433,-.0009527206420898,1404105,.1190414428710938,24287148,.0740566253662109,5762497,-.1681785583496094,87312,-.286952018737793,266778,-.2378740310668945,1949674,4016691,15573412,-.1229743957519531,22993032,345910,-.3002424240112305,1316730,.1243267059326172,92437,-.6073989868164063,3401958,-.029637336730957,907872,.0234127044677734,7672664,.4626016616821289,9144829,.3005542755126953,3280162,.276942253112793,2291701,-.2754421234130859,2021785,-.1839303970336914,333087,.4053707122802734,5154068,.3136396408081055,4672804,.0408554077148438,674568,-.392939567565918,181290,-.4626893997192383,matched (3),32926298,.92074353,1465301.5,2591956.3
201003,841370,602,3839,20185820,03,0,1,0,0,0,0,0,0,0,0,0,1051286,.0491466522216797,11486,-2.105775833129883,774642,.890355110168457,2824186,1.158365249633789,889975,-.1327362060546875,3402001,.021998405456543,84864,-.609344482421875,103698,-1.381613731384277,3106086,-1.012107849121094,973317,-.1872596740722656,1180764,1800353,-.1459369659423828,234108,-.1683034896850586,1512228,-.0944738388061523,21267292,-.0227699279785156,43682524,.1442794799804688,21792,-.1770153045654297,2765850,-.2961950302124023,215154,1991552,.0654458999633789,133031,-.3369102478027344,445103,1955486,12292813,.2613410949707031,5885758,.2089881896972656,613225,.2482156753540039,1289231,-.0853548049926758,42529588,.5602512359619141,4481126,-.2514963150024414,66034,-.2793178558349609,456546,.5372724533081055,1455243,6239054,25542216,.4947681427001953,25945636,496383,.3611688613891602,1903448,.3685159683227539,166102,.5860748291015625,3766183,.1017112731933594,1166650,.250788688659668,7659634,-.0016994476318359,12102559,.2802276611328125,4075151,.2170143127441406,4080966,.5770397186279297,2913493,.3653717041015625,659487,.6830587387084961,5510358,.0668439865112305,5709981,.2004556655883789,732668,.0826206207275391,231455,.2442874908447266,matched (3),31308844,.92074353,1182063.3,2443031.3
201004,841370,603,3839,16119010,04,0,0,1,0,0,0,0,0,0,0,0,931053,-.1214532852172852,190711,2.809629440307617,746253,-.0373363494873047,2541430,-.1054935455322266,751046,-.1697263717651367,4359514,.2479972839355469,88565,.0426864624023438,1133138,2.391263008117676,3944359,.2389230728149414,1001620,.0286636352539063,0,956532,-.6324234008789063,347900,.3961324691772461,1231267,-.205540657043457,19526640,-.0853900909423828,35066900,-.2196903228759766,30628,.3403720855712891,2023456,-.3125410079956055,112457,1907065,-.0433492660522461,104004,-.2461528778076172,380081,1598399,11676149,-.0514678955078125,5918588,.0055627822875977,789414,.252558708190918,1044031,-.2109565734863281,31957012,-.2858085632324219,4783658,.0653314590454102,58570,-.1199474334716797,1523032,1.204769134521484,769724,5553900,21719320,-.1621303558349609,17064100,409468,-.1924886703491211,1177570,-.4802141189575195,383527,.8368082046508789,3712217,-.0144329071044922,1482613,.2396688461303711,7573098,-.0113620758056641,11635606,-.0393466949462891,3917019,-.039576530456543,3536457,-.1432085037231445,2791112,-.042912483215332,989994,.4062366485595703,4135002,-.2871417999267578,4592389,-.2178153991699219,746353,.0185060501098633,157192,-.3869171142578125,matched (3),30945256,.92074353,1446575.8,2581416.3
201005,841370,604,3839,16935894,05,0,0,0,1,0,0,0,0,0,0,0,767419,-.1932830810546875,102932,-.6166906356811523,494175,-.4121742248535156,1534899,-.5042629241943359,936610,.220799446105957,3095254,-.3424911499023438,241415,1.002780914306641,151409,-2.012761116027832,4538623,.1403379440307617,816246,-.2046585083007813,0,657554,-.3747873306274414,592941,.5331802368164063,1093205,-.1189298629760742,17811592,-.0919303894042969,36000744,.0262813568115234,47590,.4407081604003906,2254442,.1080961227416992,104619,4277452,.8077926635742188,64226,-.4820213317871094,459213,1314065,12503391,.0684528350830078,5190891,-.1311931610107422,447264,-.5681419372558594,1233764,.1669807434082031,38992292,.1989727020263672,3527917,-.3044977188110352,95074,.4844331741333008,777303,-.6726284027099609,2012337,5843837,20655872,-.0502033233642578,18492042,450428,.0953397750854492,940796,-.224482536315918,327270,-.1586246490478516,3361589,-.0992155075073242,1678090,.1238508224487305,8278296,.0890350341796875,9944021,-.1570987701416016,4068021,.0378255844116211,4023013,.1289052963256836,3025008,.0804738998413086,1008636,.0186548233032227,3307887,-.2231788635253906,4675327,.0178995132446289,1042029,.3337259292602539,233807,.3970279693603516,matched (3),37123292,.92074353,1701982.3,2732740.8
201006,841370,605,3839,17980680,06,0,0,0,0,1,0,0,0,0,0,0,1580066,.7221889495849609,7361,-2.637872695922852,500695,.0131072998046875,1676548,.0882730484008789,966277,.031184196472168,3640182,.1621637344360352,198536,-.1955471038818359,26294,-1.750643730163574,3451733,-.273747444152832,687304,-.1719388961791992,0,1069903,.4867963790893555,574457,-.0316696166992188,1039979,-.0499124526977539,15209729,-.1579151153564453,33927728,-.0593070983886719,33138,-.3619422912597656,3082875,.3129596710205078,76176,5863599,.3154058456420898,110401,.5417108535766602,464895,973797,14158564,.1243190765380859,3567855,-.3749408721923828,222545,-.6980199813842773,1330952,.0758247375488281,25335078,-.4311733245849609,6240264,.5703144073486328,239684,.9246654510498047,1112973,.3589601516723633,1094486,10194107,21115256,.0219974517822266,24705486,356345,-.2342996597290039,436797,-.7672576904296875,424893,.261052131652832,2973161,-.1227884292602539,1006162,-.5115137100219727,6762392,-.2022600173950195,8964541,-.1036949157714844,4547535,.1114292144775391,3274550,-.2058506011962891,1819124,-.5085582733154297,686910,-.384150505065918,3611422,.0877923965454102,4859524,.0386409759521484,487576,-.7594785690307617,268190,.1371994018554688,matched (3),26736532,.92074353,1435102.5,2575004.5
201007,841370,606,3839,17155516,07,0,0,0,0,0,1,0,0,0,0,0,1352796,-.1552925109863281,104602,2.653966903686523,354429,-.345489501953125,1199988,-.3344259262084961,635856,-.4184789657592773,3797770,.0423803329467773,90274,-.788121223449707,33811,.2514448165893555,3156529,-.0894031524658203,466300,-.3879470825195313,401164,2310899,.7700681686401367,294887,-.6668329238891602,609085,-.534998893737793,10505942,-.3699932098388672,34337696,.0120124816894531,17238,-.653564453125,3423541,.1048126220703125,104112,6945623,.1693477630615234,35498,-1.134642601013184,436094,980267,15409909,.0846920013427734,2319026,-.430816650390625,183744,-.1915855407714844,919149,-.3702020645141602,23112772,-.0918045043945313,5088265,-.2040853500366211,78352,-1.118109703063965,500465,-.7992525100708008,516186,7351406,18134042,-.1522064208984375,19913024,341085,-.043766975402832,369711,-.1667470932006836,150859,-1.035491943359375,2279695,-.2655839920043945,771547,-.2655000686645508,4536299,-.3992652893066406,7417908,-.1893796920776367,4898267,.0742959976196289,2108302,-.4402971267700195,1659075,-.0920953750610352,607331,-.1231288909912109,3073132,-.1614046096801758,4016830,-.1904478073120117,721841,.3923587799072266,165976,-.4798526763916016,matched (3),21934388,.92074353,1208402.5,2455883.8
201008,841370,607,3839,15864101,08,0,0,0,0,0,0,1,0,0,0,0,757154,-.5803623199462891,8650,-2.492603302001953,96256,-1.303496360778809,973447,-.2092227935791016,430868,-.3891696929931641,2868365,-.2806711196899414,196679,.7787237167358398,1959,-2.848351955413818,2766664,-.131831169128418,187906,-.9088878631591797,370340,1509090,-.4261293411254883,683395,.8404808044433594,342515,-.5756416320800781,5698548,-.611729621887207,32380362,-.0586929321289063,29358,.5324487686157227,3461780,.0111083984375,57027,3652590,-.6426753997802734,90582,.9367790222167969,257928,480098,7860237,-.6731948852539063,669873,-1.241814613342285,95286,-.6566610336303711,900705,-.0202703475952148,19393332,-.1754570007324219,4383556,-.1490764617919922,151536,.659611701965332,209584,-.8704128265380859,547814,9460426,18370008,.0129299163818359,14599056,177904,-.6508874893188477,352926,-.0464630126953125,149840,-.0067777633666992,1345869,-.5270013809204102,179715,-1.457025527954102,3166911,-.3593549728393555,4026707,-.6109476089477539,3194909,-.4273233413696289,1332596,-.4587545394897461,1618646,-.0246696472167969,289971,-.739293098449707,1829382,-.5187187194824219,3715360,-.0780172348022461,290335,-.9107694625854492,135635,-.2018756866455078,matched (3),25232696,.92074353,1448486.9,2582487.8
201009,841370,608,3839,16488843,09,0,0,0,0,0,0,0,1,0,0,0,782478,.0328989028930664,51923,1.792202949523926,161058,.5147533416748047,1545635,.462346076965332,1479299,1.233521461486816,2201005,-.2648286819458008,263645,.2930307388305664,104581,3.977528095245361,3042609,.0950727462768555,209724,.1098508834838867,206110,1588057,.0510044097900391,345733,-.6814069747924805,397867,.1498022079467773,5782298,.0145893096923828,23715030,-.3114433288574219,30966,.0533246994018555,3154429,-.0929756164550781,39101,1864230,-.6725883483886719,53651,-.5237560272216797,647379,660927,4077065,-.6564388275146484,248054,-.9934415817260742,83556,-.1313657760620117,1013949,.1184301376342773,19750682,.0182590484619141,4420268,.0083398818969727,197789,.2663774490356445,338814,.4803266525268555,817515,4626795,18644628,.0148372650146484,19796894,411960,.8396816253662109,464328,.2743330001831055,174732,.1536855697631836,1686812,.2258005142211914,289027,.4751472473144531,3681994,.1506977081298828,3603492,-.1110458374023438,2494125,-.2476205825805664,815142,-.4915218353271484,1087384,-.3978157043457031,395031,.3091831207275391,2543238,.3294601440429688,5111996,.3191146850585938,519053,.5809707641601563,242498,.5810260772705078,matched (3),26420394,.92074353,1132205.9,2419301.3
201010,841370,609,3839,19819884,10,0,0,0,0,0,0,0,0,1,0,0,1354102,.5484285354614258,147294,1.042668342590332,236655,.3848390579223633,1295812,-.1762971878051758,1404445,-.0519266128540039,4004546,.5985164642333984,364025,.3226184844970703,12104,-2.156426429748535,3272854,.0729475021362305,465653,.7976484298706055,166505,1336864,-.172184944152832,577804,.5135679244995117,529064,.2849912643432617,5996861,.0364351272583008,22769720,-.0406761169433594,33483,.0781478881835938,2329269,-.303253173828125,50336,694237,-.9877891540527344,47083,-.1305875778198242,652353,994344,3114554,-.269291877746582,411393,.5059022903442383,24809,-1.214310646057129,1324537,.2672109603881836,14536808,-.3065032958984375,5415531,.2030706405639648,87849,-.8115806579589844,362286,.0669822692871094,935473,4661580,16286395,-.1352272033691406,26873602,467724,.1269521713256836,539591,.1502199172973633,234317,.293421745300293,1830388,.0816869735717773,335923,.1503620147705078,4598976,.2223787307739258,4463658,.2140655517578125,2568054,.0292110443115234,953435,.1567087173461914,774351,-.3395051956176758,538277,.3094091415405273,2895801,.1298236846923828,4596951,-.106196403503418,563454,.0820798873901367,187095,-.2593765258789063,matched (3),22487814,.92074353,1373198.1,2541023.8
