period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1026c348,growth1026c348,Y1168c208,growth1168c208,Y1385c218,Y1487c620,growth1487c620,Y1499c826,growth1499c826,Y1538c428,Y1958c251,Y2017c251,growth2017c251,Y2049c222,growth2049c222,Y2094c792,growth2094c792,Y2136c251,growth2136c251,Y2307c705,growth2307c705,Y2361c705,growth2361c705,Y2452c152,growth2452c152,Y2455c251,growth2455c251,Y2970c372,growth2970c372,Y2995c484,growth2995c484,Y3013c826,growth3013c826,Y3020c124,growth3020c124,Y303c705,Y3070c642,Y3085c372,growth3085c372,Y3384c752,growth3384c752,Y3418c586,growth3418c586,Y3604c152,growth3604c152,Y362c152,growth362c152,Y3788c246,growth3788c246,Y3806c705,growth3806c705,Y3812c208,growth3812c208,Y3949c68,growth3949c68,Y3974c792,growth3974c792,Y4002c124,growth4002c124,Y4160c484,growth4160c484,Y4208c826,growth4208c826,Y423c124,growth423c124,Y4359c705,growth4359c705,Y4456c246,growth4456c246,Y4467c152,growth4467c152,Y4889c440,growth4889c440,Y488c428,growth488c428,Y4890c381,Y4890c688,growth4890c688,Y497c372,growth497c372,Y541c208,growth541c208,Y631c348,growth631c348,Y633c752,growth633c752,Y680c344,Y694c246,growth694c246,Y776c218,Y917c586,growth917c586,_merge,x,r2,s,sf
201001,841381,600,3840,8373272,01,0,0,0,0,0,0,0,0,0,0,0,395416,,125360,,334727,1359166,,2295076,,56898,20120,586660,,438427,,2665569,,1817744,,13059,,215717,,192802,,1955005,,24254,,445642,,839184,,8671749,,39681,143069,14555,,520862,,16214,,110780,,550639,,458874,,16354,,18470600,,19052,,4659068,,544891,,444077,,10283991,,593668,,2671,,337181,,98293,,1623,,403445,,484174,17494,,655378,,9004,,325166,,454836,,87055,5628095,,89014,470077,,matched (3),,.89838207,,
201002,841381,601,3840,6347291,02,1,0,0,0,0,0,0,0,0,0,0,453949,.1380462646484375,33321,-1.32500171661377,292778,1576066,.1480598449707031,2653282,.1450309753417969,43876,6692,412404,-.3524417877197266,622832,.3510837554931641,1983231,-.2956905364990234,1941022,.0656185150146484,9373,-.3316440582275391,129241,-.5122890472412109,243626,.2339706420898438,782222,-.9160099029541016,67583,1.024775505065918,233973,-.6443099975585938,807668,-.0382785797119141,5411582,-.4715290069580078,70045,180966,32681,.8088598251342773,489515,-.0620698928833008,22677,.3354759216308594,69901,-.4604654312133789,563484,.0230588912963867,693958,.4136362075805664,41114,.9218759536743164,19557218,.0571632385253906,66387,1.248329162597656,3836908,-.1941490173339844,1291528,.8629961013793945,2973514,1.901501655578613,7670380,-.2932224273681641,760495,.2476491928100586,3262,.1998872756958008,259933,-.2601966857910156,89579,-.0928325653076172,1015,-.4693880081176758,425789,.0539035797119141,490514,12989,-.297755241394043,486407,-.2981662750244141,13397,.3973617553710938,226270,-.3626070022583008,456850,.0044183731079102,67654,3519328,-.4695005416870117,127809,137621,-1.228392601013184,matched (3),9524780,.89838207,494221.19,993791.56
201003,841381,602,3840,5545481,03,0,1,0,0,0,0,0,0,0,0,0,366973,-.2126960754394531,124236,1.315995216369629,253041,3176003,.7006921768188477,2692977,.0148506164550781,23449,33927,588165,.3550033569335938,648387,.0402107238769531,2457961,.2146053314208984,2125638,.0908575057983398,8989,-.0418319702148438,184272,.3547344207763672,161218,-.412877082824707,390556,-.6945667266845703,34062,-.6851739883422852,156785,-.4003305435180664,726464,-.1059627532958984,9675194,.5810232162475586,82568,91918,16364,-.6917104721069336,574967,.1608972549438477,23436,.0329227447509766,45872,-.4212255477905273,594294,.0532360076904297,213689,-1.177889823913574,14053,-1.073512077331543,24563772,.2279281616210938,367305,1.710691452026367,4765213,.2166757583618164,503241,-.9425125122070313,591794,-1.614341735839844,16960138,.7934989929199219,670201,-.1263923645019531,681,-1.566533088684082,327826,.2320594787597656,236886,.9724588394165039,820,-.2133393287658691,580801,.3104639053344727,424551,3104,-1.431410789489746,642033,.2775936126708984,9977,-.2947483062744141,175630,-.2533493041992188,676177,.3921003341674805,107674,7057591,.6958332061767578,124538,198890,.3682479858398438,matched (3),2780832.8,.89838207,597942.75,1049239
201004,841381,603,3840,6184045,04,0,0,1,0,0,0,0,0,0,0,0,204990,-.5823268890380859,74440,-.5121898651123047,501233,1883353,-.5225696563720703,2674769,-.0067844390869141,45479,60804,329172,-.5804271697998047,733217,.1229534149169922,3049886,.2157716751098633,1816515,-.1571521759033203,6701,-.2937450408935547,134549,-.3144845962524414,251574,.4449796676635742,468532,.182032585144043,103033,1.106866836547852,229193,.3796892166137695,432881,-.517725944519043,9879590,.0209064483642578,56721,0,33155,.7061100006103516,424273,-.3039350509643555,386291,2.802317619323731,111251,.8859338760375977,698143,.1610498428344727,197603,-.0782613754272461,26511,.6347236633300781,21277604,-.1436176300048828,125018,-1.07773494720459,5692144,.1777448654174805,635821,.2338485717773438,293400,-.7016210556030273,8428509,-.6992454528808594,609536,-.094879150390625,2113,1.132301807403565,325566,-.0069179534912109,216371,-.0905847549438477,1161,.3477325439453125,479958,-.190709114074707,485748,28970,2.233569145202637,700339,.0869255065917969,13220,.2814483642578125,196383,.1116876602172852,507280,-.2873926162719727,36790,3343518,-.7470798492431641,182940,299869,.4105939865112305,matched (3),6606035.5,.89838207,396174.81,948852.75
201005,841381,604,3840,10375507,05,0,0,0,1,0,0,0,0,0,0,0,838187,1.408279418945313,127145,.535334587097168,292791,2330207,.2129030227661133,1910269,-.3366193771362305,52015,69626,553705,.5200519561767578,591322,-.2150802612304688,3454876,.1246824264526367,1870081,.0290613174438477,20064,1.096670150756836,151718,.1200952529907227,169586,-.3943767547607422,790639,.5232372283935547,150125,.3764190673828125,132997,-.5442380905151367,1249952,1.060398101806641,8671274,-.1304559707641602,166633,371163,57357,.5481014251708984,548405,.2566366195678711,46359,-2.120175361633301,116813,.0487852096557617,650837,-.070164680480957,311245,.454319953918457,37277,.3408164978027344,21812248,.0248165130615234,127966,.0233068466186523,8072594,.3493871688842773,680708,.0682163238525391,1658541,1.732156753540039,9332896,.1019248962402344,635999,.0424985885620117,5433,.9443821907043457,339678,.0424327850341797,232116,.0702428817749023,2524,.7765631675720215,308201,-.4429464340209961,514685,32991,.1299734115600586,602157,-.1510467529296875,8377,-.4562406539916992,271823,.3250837326049805,724078,.3558368682861328,72929,8690137,.955164909362793,108894,535472,.5798025131225586,matched (3),8473362,.89838207,473316.97,983562.94
201006,841381,605,3840,7883252,06,0,0,0,0,1,0,0,0,0,0,0,324440,-.9491405487060547,143702,.1224136352539063,262537,2155843,-.0777750015258789,1646921,-.1483364105224609,43403,60852,720451,.2632455825805664,546767,-.078338623046875,3785039,.0912694931030273,1454439,-.2513608932495117,16661,-.1858558654785156,118322,-.2486143112182617,204398,.1867084503173828,403823,-.6718645095825195,82107,-.6034450531005859,396745,1.092967987060547,1022454,-.2009000778198242,11147515,.2512006759643555,50668,129945,46857,-.2021942138671875,412746,-.2841815948486328,213176,1.525702476501465,101864,-.1369352340698242,612684,-.0604104995727539,227748,-.3123407363891602,27990,-.2865285873413086,21748012,-.0029487609863281,43959,-1.068507194519043,7095640,-.1289939880371094,431058,-.4568910598754883,466843,-1.267701148986816,10514390,.1191997528076172,440825,-.3665485382080078,3463,-.4503555297851563,218947,-.4391679763793945,81405,-1.047801017761231,2683,.0610909461975098,473071,.428492546081543,343447,31837,-.0356054306030273,581587,-.0347576141357422,11572,.3230981826782227,236403,-.139613151550293,635770,-.1300630569458008,73326,4549806,-.6471042633056641,295335,641682,.1809444427490234,matched (3),9690887,.89838207,597712.44,1049107.9
201007,841381,606,3840,7696174,07,0,0,0,0,0,1,0,0,0,0,0,24905,-2.567031860351563,96233,-.4009695053100586,544526,2541286,.1644878387451172,1908590,.1474571228027344,45472,29863,579172,-.2182779312133789,729254,.2880001068115234,3658841,-.033909797668457,1431197,-.0161094665527344,3481,-1.565751075744629,106627,-.1040725708007813,192557,-.0596771240234375,452169,.1130790710449219,67948,-.1892805099487305,155975,-.933598518371582,1006615,-.0156126022338867,8243516,-.3017892837524414,66734,238952,30493,-.4296035766601563,415918,.0076560974121094,24804,-2.151113510131836,47247,-.76824951171875,530953,-.1431760787963867,344347,.4134101867675781,6706,-1.428845405578613,20830908,-.0430850982666016,36274,-.1921558380126953,6557957,-.078801155090332,420914,-.0238142013549805,1259824,.9927349090576172,8878204,-.1691446304321289,545343,.2127666473388672,605,-1.744662284851074,200579,-.0876216888427734,177071,.7771139144897461,6194,.8366456031799316,294875,-.4726934432983398,548428,891,-3.576039791107178,607128,.0429792404174805,26119,.8140754699707031,416940,.5674047470092773,770615,.192352294921875,44366,8601939,.6369028091430664,167464,405669,-.4585552215576172,matched (3),11011427,.89838207,430277.59,963590.13
201008,841381,607,3840,8627300,08,0,0,0,0,0,0,1,0,0,0,0,249021,2.302469253540039,107185,.1077842712402344,189408,2767783,.0853767395019531,1949033,.0209693908691406,11494,12272,272185,-.7551174163818359,574134,-.2391595840454102,1947656,-.6305198669433594,1681953,.1614446640014648,11617,1.205149650573731,102598,-.0385189056396484,223279,.1480302810668945,168338,-.9880819320678711,109714,.4791336059570313,489460,1.143607139587402,974362,-.0325651168823242,11238854,.3099508285522461,64158,136086,255703,2.126519203186035,333802,-.219940185546875,46714,.6330394744873047,99435,.744114875793457,845207,.4649085998535156,527819,.4271039962768555,25989,1.354671478271484,20222220,-.0296554565429688,7301,-1.603090286254883,6373958,-.0284585952758789,655860,.4435186386108398,1316653,.0441207885742188,11074276,.2210245132446289,604149,.1024055480957031,2373,1.366681575775147,304734,.4182310104370117,167115,-.0578680038452148,606,-2.324456691741943,587685,.6896390914916992,72948,31113,3.553036212921143,627187,.0325050354003906,245,-4.66916036605835,222298,-.6289234161376953,494883,-.4428672790527344,117679,4730670,-.5979204177856445,113297,310929,-.2659730911254883,matched (3),7466733,.89838207,635429.06,1071044.9
201009,841381,608,3840,8922858,09,0,0,0,0,0,0,0,1,0,0,0,535772,.7661714553833008,156363,.3776235580444336,386897,2544264,-.0842056274414063,1940370,-.00445556640625,39417,38904,829897,1.114819526672363,690155,.1840534210205078,2701130,.3270444869995117,1810240,.0735034942626953,15016,.2566471099853516,183315,.580388069152832,179562,-.2179012298583984,740965,1.481979370117188,42552,-.9471492767333984,267947,-.602513313293457,1552621,.465916633605957,9431484,-.175323486328125,130597,610499,100902,-.9298667907714844,1339707,1.389657974243164,147201,1.147754669189453,135252,.3076353073120117,637240,-.282435417175293,685870,.2619342803955078,19905,-.2667026519775391,24678100,.1991348266601563,34779,1.561002731323242,6486100,.0174407958984375,715933,.0876398086547852,2090334,.4622306823730469,6647566,-.5103731155395508,641390,.0598173141479492,1261,-.6322498321533203,255401,-.1766042709350586,282019,.5232915878295898,4919,2.093980312347412,504676,-.1522741317749023,567161,56030,.588261604309082,798842,.2419185638427734,12530,3.934622287750244,249871,.1169261932373047,1134515,.8296394348144531,107528,10157496,.7641448974609375,313889,321570,.0336503982543945,matched (3),11638145,.89838207,660208.06,1085929
201010,841381,609,3840,5311610,10,0,0,0,0,0,0,0,0,1,0,0,316157,-.527470588684082,109550,-.3557987213134766,322027,2533490,-.0042428970336914,2036272,.0482425689697266,81726,98377,773632,-.0702056884765625,689823,-.0004816055297852,4801847,.5753297805786133,2160400,.1768341064453125,7308,-.7201471328735352,175012,-.046351432800293,57580,-1.137345314025879,635732,-.1531763076782227,87333,.7190008163452148,497235,.6182737350463867,926833,-.5159263610839844,9351436,-.0085239410400391,162044,525765,74457,-.3039274215698242,367965,-1.292218208312988,77050,-.6473445892333984,124655,-.0815896987915039,646670,.0146894454956055,194766,-1.258889198303223,14213,-.3368139266967773,23542948,-.0470905303955078,9253,-1.324066162109375,6613014,.0193777084350586,692798,-.0328483581542969,527236,-1.37743091583252,7717060,.1491823196411133,530744,-.1893577575683594,2482,.6771597862243652,213124,-.1809606552124023,89487,-1.147880554199219,3645,-.299748420715332,518769,.0275421142578125,559646,27005,-.7298650741577148,801362,.0031499862670898,15106,.1869668960571289,214667,-.1518573760986328,920912,-.2085962295532227,173313,6134692,-.5042514801025391,132769,121498,-.9733171463012695,matched (3),8128079.5,.89838207,594274.13,1047152.7
