period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1258c757,growth1258c757,Y1273c152,growth1273c152,Y1280c752,growth1280c752,Y1363c32,Y1436c191,growth1436c191,Y1511c152,growth1511c152,Y1540c222,growth1540c222,Y1623c484,growth1623c484,Y1652c376,Y1769c124,growth1769c124,Y1771c484,growth1771c484,Y1916c586,growth1916c586,Y1967c124,Y1968c124,growth1968c124,Y1992c124,growth1992c124,Y2015c703,growth2015c703,Y2056c586,growth2056c586,Y2132c752,growth2132c752,Y2419c124,growth2419c124,Y2509c484,growth2509c484,Y2690c826,growth2690c826,Y2855c792,growth2855c792,Y2934c251,growth2934c251,Y3008c484,growth3008c484,Y3114c124,growth3114c124,Y3136c586,growth3136c586,Y3276c616,growth3276c616,Y3333c300,growth3333c300,Y3584c124,growth3584c124,Y3677c218,Y3734c124,Y3771c484,growth3771c484,Y4237c440,Y4276c68,growth4276c68,Y4285c484,growth4285c484,Y4512c348,growth4512c348,Y4634c792,growth4634c792,Y476c208,growth476c208,Y4797c818,Y4849c344,Y4935c620,growth4935c620,Y4936c348,growth4936c348,Y4951c124,growth4951c124,Y4952c752,growth4952c752,Y561c124,growth561c124,Y583c68,growth583c68,Y583c826,growth583c826,Y829c268,growth829c268,Y842c251,growth842c251,Y89c251,_merge,x,r2,s,sf
201001,841391,600,3842,33456618,01,0,0,0,0,0,0,0,0,0,0,0,495674,,1722105,,182297,,2132477,342500,,409059,,93724,,3410863,,1463000,3477437,,2365913,,28418,,1528677,21772400,,7588453,,614,,76885,,1415978,,222011,,1419442,,492584,,15255555,,1170709,,21296,,4174250,,446655,,180142,,101672,,83877344,,224546,132374,1717541,,58473,9318,,19659268,,9318593,,682628,,111147,,1498399,93255,1169529,,103670,,1537122,,3073344,,1150002,,8898,,18034122,,1973501,,145602544,,4499696,matched (3),,.90353292,,
201002,841391,601,3842,32063766,02,1,0,0,0,0,0,0,0,0,0,0,597548,.186915397644043,1283746,-.2937650680541992,108913,-.5150880813598633,2009784,322082,-.0614652633666992,377534,-.0801982879638672,57719,-.4847679138183594,4543988,.286839485168457,723000,3346701,-.0383205413818359,2825042,.1773586273193359,774,-3.603206157684326,1689948,19225604,-.1244010925292969,8253340,.0839900970458984,2668,1.469089508056641,17761,-1.465305328369141,1103406,-.2494182586669922,247304,.1078920364379883,1404820,-.0103549957275391,455217,-.0788908004760742,12194750,-.22393798828125,1609506,.3183183670043945,122239,1.747459411621094,4329948,.03662109375,498819,.1104574203491211,1205382,1.900806427001953,193277,.6423721313476563,92126776,.09381103515625,107042,30493,1621364,-.0576257705688477,16647,7166,-.2626008987426758,20082524,.02130126953125,8767859,-.0609188079833984,476079,-.3603658676147461,69325,-.4720478057861328,609022,127957,1054924,-.1031322479248047,109255,.0524711608886719,1316023,-.1552972793579102,2501080,-.2060441970825195,954959,-.1858510971069336,2279,-1.362090110778809,14381400,-.2263317108154297,1888114,-.0442304611206055,171118096,.1614742279052734,2738721,matched (3),30039078,.90353292,4080418,6102443.5
201003,841391,602,3842,35276360,03,0,1,0,0,0,0,0,0,0,0,0,462277,-.2566699981689453,1416753,.0985851287841797,251776,.8379907608032227,2256130,325835,.0115842819213867,410779,.0843944549560547,222922,1.351235389709473,7532654,.5054426193237305,1096000,3135652,-.0651378631591797,2885710,.0212478637695313,16042,3.031393527984619,2029106,23788132,.2129440307617188,9883857,.1802845001220703,5192,.6657900810241699,84956,1.565128326416016,1879517,.5326128005981445,292611,.1682252883911133,1938804,.3221626281738281,564372,.214940071105957,16261106,.2877693176269531,1624887,.0095109939575195,80350,-.419586181640625,4964886,.1368350982666016,495363,-.006953239440918,1409090,.1561479568481445,192186,-.0056610107421875,95800640,.0391025543212891,235055,159333,2122898,.2695140838623047,76061,22844,1.159340858459473,25481276,.2380943298339844,10784736,.2070388793945313,636976,.2911481857299805,129130,.622014045715332,612597,189493,1382976,.2707691192626953,38576,-1.041053771972656,1723634,.2698202133178711,3666101,.3824062347412109,995233,.0413084030151367,16824,1.999069213867188,17383230,.1895713806152344,1914982,.014129638671875,181950896,.0613822937011719,3022097,matched (3),38621368,.90353292,3857044.3,5955400.5
201004,841391,603,3842,36744256,04,0,0,1,0,0,0,0,0,0,0,0,479291,.0361433029174805,2288198,.4793968200683594,177397,-.3501501083374023,2890676,427129,.2706947326660156,883353,.7656698226928711,41595,-1.678841590881348,2574012,-1.07378101348877,873000,4755188,.4163990020751953,3040753,.0523347854614258,2334,-1.927626609802246,2140935,21248808,-.1128864288330078,8681954,-.1296558380126953,1086,-1.564618110656738,35586,-.8701810836791992,2023128,.0736293792724609,263794,-.1036758422851563,1129761,-.5400657653808594,537877,-.0480842590332031,17652878,.082122802734375,2180776,.2942419052124023,66964,-.1822366714477539,5206674,.047551155090332,599704,.1911458969116211,1665491,.16717529296875,552639,1.056241035461426,100791336,.0507831573486328,145237,35313,1836174,-.1450977325439453,1352,26467,.1472101211547852,22737922,-.1139106750488281,9727166,-.1032085418701172,401558,-.4613800048828125,105331,-.2037115097045898,735248,80292,1420788,.0269737243652344,41644,.0765266418457031,1850389,.0709609985351563,3085822,-.1723108291625977,1080758,.0824413299560547,21572,.2485904693603516,17310548,-.0041904449462891,2524074,.2761659622192383,191649472,.0519313812255859,4456612,matched (3),51274104,.90353292,3433762.3,5690406.5
201005,841391,604,3842,40346608,05,0,0,0,1,0,0,0,0,0,0,0,260205,-.6108379364013672,1196657,-.6482324600219727,200187,.1208620071411133,2861687,621777,.3754959106445313,461045,-.6502294540405273,221111,1.670684814453125,4986021,.6611719131469727,666000,4470774,-.0616741180419922,3818170,.227665901184082,37083,2.765575408935547,2710846,25520812,.1831932067871094,8838770,.0179014205932617,13802,2.542312622070313,40596,.1317167282104492,1641259,-.2091808319091797,323014,.2025270462036133,1705701,.4119701385498047,370698,-.3722419738769531,12195193,-.3698558807373047,2589876,.1719293594360352,40389,-.5055980682373047,5860466,.1182870864868164,875796,.3786964416503906,1277104,-.2655248641967773,295684,-.6254129409790039,104350568,.0347042083740234,245650,45839,2064968,.1174306869506836,39208,26756,.0108604431152344,24743442,.0845260620117188,8161462,-.1754989624023438,733028,.6018314361572266,179603,.5336408615112305,439169,59229,1530277,.0742368698120117,82687,.6859054565429688,2060068,.1073436737060547,3094765,.002894401550293,849809,-.2404060363769531,9213,-.8507804870605469,14811208,-.1559314727783203,1528419,-.5016403198242188,104507712,-.6064071655273438,4563391,matched (3),40363940,.90353292,4424293,6337537
201006,841391,605,3842,48326140,06,0,0,0,0,1,0,0,0,0,0,0,728279,1.029214859008789,2570502,.7645692825317383,305043,.4212007522583008,3661357,451720,-.31951904296875,523865,.1277379989624023,49556,-1.495561599731445,3606065,-.3240213394165039,1555000,4650268,.039362907409668,5859197,.4282407760620117,16575,-.8052635192871094,2766774,27385312,.0705127716064453,10170876,.1403799057006836,9009,-.4265899658203125,67680,.5111217498779297,1908788,.1510047912597656,373163,.1443204879760742,2012034,.1651706695556641,273756,-.3031501770019531,13722827,.1180171966552734,2242481,-.1440267562866211,50748,.2283143997192383,6289877,.0707130432128906,1312015,.4041862487792969,1620163,.2379322052001953,152003,-.6653909683227539,102285896,-.0199832916259766,230726,127082,2077413,.0060081481933594,406636,43271,.4807233810424805,24635916,-.0043544769287109,8456749,.0355415344238281,524794,-.3341779708862305,221583,.2100486755371094,988133,63847,2090835,.3121147155761719,96937,.1589984893798828,1711104,-.1856002807617188,3357807,.0815753936767578,1065832,.2264995574951172,46035,1.608785629272461,17836184,.1858444213867188,1829257,.1796760559082031,152721632,.3793563842773438,4783096,matched (3),59703672,.90353292,5224246,6919736.5
201007,841391,606,3842,48478104,07,0,0,0,0,0,1,0,0,0,0,0,608093,-.1803569793701172,2362329,-.0844535827636719,95900,-1.157146453857422,4230694,645142,.3564081192016602,517466,-.0122900009155273,120687,.8900966644287109,6178987,.5385379791259766,1632000,4787672,.0291194915771484,4670056,-.2268409729003906,19404,.1575841903686523,2236123,24897800,-.0952262878417969,10126226,-.0043983459472656,5009,-.5869874954223633,61160,-.1012973785400391,2458423,.2530517578125,272176,-.3155670166015625,2042430,.0149936676025391,567148,.7283830642700195,17807232,.2605457305908203,2638136,.1624898910522461,75574,.3982400894165039,4884260,-.2529239654541016,368584,-1.269650459289551,1197560,-.3022403717041016,114199,-.2859582901000977,100185632,-.0207481384277344,240485,17873,1843411,-.1195058822631836,14646,64424,.3980035781860352,24797688,.0065441131591797,9005986,.0629234313964844,632852,.1872310638427734,104078,-.7556571960449219,1629138,92592,1331026,-.4516134262084961,49720,-.6676540374755859,1687161,-.0140914916992188,2399209,-.3361482620239258,1103756,.0349626541137695,15608,-1.081618309020996,17472348,-.0206089019775391,2547020,.3310146331787109,165559904,.0807151794433594,4422573,matched (3),56938848,.90353292,4351704.5,6287077
201008,841391,607,3842,49652124,08,0,0,0,0,0,0,1,0,0,0,0,271185,-.8075265884399414,2866132,.1933155059814453,103744,.0786199569702148,3431446,525197,-.2056970596313477,580971,.1157569885253906,152855,.2362899780273438,6619689,.0688934326171875,1600000,4828044,.008397102355957,4415938,-.0559511184692383,28031,.3678312301635742,2961400,23172968,-.0717945098876953,10299089,.0169258117675781,17183,1.232684135437012,63338,.0349922180175781,2551359,.0371065139770508,436322,.4719314575195313,2680609,.2719039916992188,461058,-.207097053527832,20459856,.1388587951660156,2032770,-.2606735229492188,80216,.0596113204956055,4765045,-.0247106552124023,426212,.145268440246582,1300855,.0827350616455078,176936,.4378461837768555,107535944,.07080078125,423723,104297,2446825,.2831735610961914,0,13222,-1.583603858947754,27349582,.0979518890380859,10980136,.1981983184814453,436628,-.3711557388305664,164587,.4582986831665039,1743039,155790,1115855,-.1763286590576172,192444,1.353398323059082,1790717,.0595684051513672,3228915,.2970066070556641,1301708,.1649580001831055,18393,.1641864776611328,17602346,.0074119567871094,907711,-1.031753540039063,225598960,.3094272613525391,4640500,matched (3),56596588,.90353292,4108414.8,6121199
201009,841391,608,3842,49495964,09,0,0,0,0,0,0,0,1,0,0,0,753135,1.021443367004395,2940462,.0256032943725586,276774,.9812746047973633,2605141,622031,.1692161560058594,383844,-.4144649505615234,72846,-.7411422729492188,5283285,-.2255001068115234,1335000,4506567,-.0689058303833008,3420240,-.2555093765258789,23821,-.1627435684204102,1244611,23759008,.0249767303466797,9824068,-.0472202301025391,8237,-.7352838516235352,143525,.818023681640625,2198672,-.148773193359375,324906,-.2948446273803711,1897605,-.3454513549804688,863193,.6271142959594727,20461432,.0000782012939453,1690087,-.1846189498901367,68616,-.1561975479125977,4107833,-.148411750793457,349515,-.1983909606933594,1206934,-.0749387741088867,210968,.1759176254272461,104258232,-.0309543609619141,251716,59035,1793646,-.3105401992797852,232236,31062,.8541030883789063,25097660,-.0859279632568359,10118012,-.0817699432373047,533767,.2008781433105469,143846,-.1346960067749023,817932,48466,890527,-.2255630493164063,185857,-.0348281860351563,1707049,-.0478496551513672,5345190,.5040512084960938,1263034,-.0301599502563477,11663,-.4555482864379883,15361883,-.1361427307128906,1680049,.6156520843505859,141053280,-.4696216583251953,5023016,matched (3),64264632,.90353292,3880899,5970877.5
201010,841391,609,3842,46671704,10,0,0,0,0,0,0,0,0,1,0,0,425685,-.5705442428588867,1198168,-.8977727890014648,228217,-.1929044723510742,2775745,494388,-.2296686172485352,556996,.3723220825195313,157694,.772308349609375,4153882,-.2405052185058594,789000,4486834,-.0043878555297852,2976935,-.1388168334960938,7967,-1.095258712768555,1730514,23080334,-.0289821624755859,9345900,-.0498981475830078,20304,.9021816253662109,48939,-1.075934410095215,1467732,-.4041347503662109,294079,-.0996875762939453,1513042,-.226470947265625,762584,-.1239252090454102,18418788,-.1051712036132813,1552601,-.0848484039306641,51443,-.2880516052246094,4559976,.1044216156005859,510632,.3791027069091797,1070152,-.1202821731567383,129228,-.4901275634765625,102607080,-.0159645080566406,155631,22760,1807171,.007512092590332,22278,15843,-.6732578277587891,27437556,.0891399383544922,6706623,-.4112215042114258,301094,-.5725364685058594,66900,-.7655439376831055,1198389,101426,951126,.0658330917358398,53212,-1.250693321228027,1696176,-.0063896179199219,4151868,-.2526388168334961,1457330,.1430892944335938,3162,-1.305216789245606,16335951,.0614795684814453,1657660,-.0134162902832031,140702704,-.0024890899658203,2314101,matched (3),50106660,.90353292,3750908.3,5887216.5
