period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1412c222,growth1412c222,Y1417c600,Y1528c372,growth1528c372,Y1781c348,growth1781c348,Y2012c705,growth2012c705,Y22c124,growth22c124,Y253c246,growth253c246,Y253c428,growth253c428,Y2561c826,growth2561c826,Y259c246,growth259c246,Y262c246,growth262c246,Y272c246,growth272c246,Y2731c428,growth2731c428,Y2778c620,growth2778c620,Y2848c752,growth2848c752,Y2848c807,growth2848c807,Y2857c348,growth2857c348,Y2955c826,growth2955c826,Y2960c208,growth2960c208,Y2973c792,growth2973c792,Y3003c442,Y3063c372,growth3063c372,Y319c124,growth319c124,Y330c124,growth330c124,Y3348c233,Y3423c32,Y3848c300,growth3848c300,Y3848c376,Y3848c586,growth3848c586,Y3858c124,growth3858c124,Y3954c124,growth3954c124,Y3956c600,growth3956c600,Y4522c484,growth4522c484,Y4912c251,growth4912c251,Y4924c300,growth4924c300,Y4924c705,growth4924c705,Y4924c752,growth4924c752,Y4942c124,growth4942c124,Y4942c826,growth4942c826,Y4972c268,Y5016c124,growth5016c124,Y660c208,growth660c208,Y660c233,Y660c246,growth660c246,Y660c300,growth660c300,Y660c381,Y660c428,growth660c428,Y660c484,growth660c484,Y660c705,growth660c705,Y763c616,growth763c616,_merge,x,r2,s,sf
201001,841430,600,3846,7225120,01,0,0,0,0,0,0,0,0,0,0,0,24212,,377254,90976,,314235,,5196,,824509,,82608,,20250,,6435,,26542,,94966,,179371,,28855,,235133,,473543,,4884,,176689,,5598610,,141143,,282315,,69023,482679,,2964519,,12478383,,109491,524493,182254,,111000,338421,,25369574,,2636750,,592645,,1763783,,1538927,,2169980,,305630,,6231236,,1487633,,2486686,,209,808224,,4775189,,125235,1921814,,835540,,6159887,242666,,1340257,,191706,,61731,,matched (3),,.91327876,,
201002,841430,601,3846,7931344,02,1,0,0,0,0,0,0,0,0,0,0,99727,1.41558837890625,84675,145537,.4698343276977539,246454,-.2429656982421875,6418,.2112178802490234,1016979,.209803581237793,90535,.0916299819946289,104609,1.642075538635254,50393,2.058099746704102,34471,.2613906860351563,106505,.1146726608276367,123159,-.3759803771972656,17439,-.5035743713378906,281851,.1812276840209961,620022,.2695121765136719,6459,.2795095443725586,218990,.214634895324707,9465695,.5251560211181641,163801,.1488790512084961,804040,1.046626091003418,95037,646304,.2919187545776367,2927172,-.0126781463623047,13043963,.0443286895751953,49179,527818,177472,-.0265884399414063,726000,266778,-.2378740310668945,28654568,.1217632293701172,1946474,-.30352783203125,151883,-1.361484527587891,1278553,-.3217325210571289,3095922,.699000358581543,1722073,-.2311887741088867,578595,.6382274627685547,6577277,.0540456771850586,1504030,.0109615325927734,3280162,.276942253112793,1930,907670,.1160421371459961,5871495,.2066755294799805,112630,3892335,.7057390213012695,1956992,.8510856628417969,9050071,433495,.5801935195922852,1930321,.3648252487182617,238508,.218440055847168,155741,.9254083633422852,matched (3),17873432,.91327876,1096645.9,3076674.5
201003,841430,602,3846,9777639,03,0,1,0,0,0,0,0,0,0,0,0,309470,1.132424354553223,1857855,228305,.4502525329589844,357893,.3730592727661133,29967,1.540989875793457,2139904,.7439241409301758,125365,.3254928588867188,265110,.9299144744873047,172810,1.232340812683106,191832,1.716501235961914,131753,.2127370834350586,187931,.4225988388061523,29751,.534153938293457,430195,.4228591918945313,997208,.4752044677734375,7054,.0881204605102539,575633,.9664440155029297,12292813,.2613410949707031,348827,.7559232711791992,1398710,.5536565780639648,243661,538928,-.1816883087158203,6492029,.7965383529663086,14434603,.1013011932373047,41143,64089,1424668,2.082881927490234,899000,456546,.5372724533081055,36256128,.2352943420410156,8020091,1.415929794311523,275209,.5944194793701172,2199703,.5425939559936523,3467037,.1132144927978516,3530379,.7178764343261719,1297465,.8075647354125977,9503185,.3680057525634766,1832476,.1975202560424805,4075151,.2170143127441406,1130,903263,-.0048675537109375,8272647,.3428449630737305,183717,4740215,.1970739364624023,4161891,.7545604705810547,16051868,619512,.3570518493652344,3736720,.6605215072631836,1297705,1.693949699401856,330042,.7510251998901367,matched (3),17963572,.91327876,2668061.8,3921969.8
201004,841430,603,3846,12111807,04,0,0,1,0,0,0,0,0,0,0,0,386570,.2224521636962891,2799129,324162,.350560188293457,353709,-.0117597579956055,28536,-.0489301681518555,3143082,.3844432830810547,231176,.6119499206542969,242135,-.0906486511230469,362142,.7398433685302734,861217,1.501726150512695,209938,.4658832550048828,240038,.2447223663330078,29124,-.0213003158569336,609057,.3476734161376953,1093411,.0920982360839844,9523,.3001155853271484,618336,.0715618133544922,11676149,-.0514678955078125,491285,.3424482345581055,3358925,.8760700225830078,320364,626211,.1501054763793945,8072945,.2179431915283203,19588900,.3053359985351563,163788,529939,870951,-.4921083450317383,2731000,1523032,1.204769134521484,40167204,.1024436950683594,9202877,.1375665664672852,838938,1.114605903625488,1584170,-.3282623291015625,2497224,-.3281211853027344,4006140,.1264228820800781,1209409,-.0702810287475586,10403745,.0905399322509766,2760338,.4096851348876953,3917019,-.039576530456543,2248,1090009,.18792724609375,8869301,.0696420669555664,318393,4726214,-.0029582977294922,4502681,.0787038803100586,16739192,939281,.4161825180053711,5368928,.3624200820922852,2247614,.5492715835571289,287166,-.1391592025756836,matched (3),23189856,.91327876,2931982.5,4106070.8
201005,841430,604,3846,13521994,05,0,0,0,1,0,0,0,0,0,0,0,722614,.6255617141723633,7253533,404849,.2222709655761719,297166,-.1741838455200195,41956,.3854551315307617,3251833,.0340147018432617,446654,.658604621887207,222107,-.0863361358642578,2084824,1.75040340423584,916378,.0620822906494141,314447,.4040040969848633,668166,1.023738861083984,18551,-.4510393142700195,606835,-.0036544799804688,723337,-.413182258605957,24899,.9611177444458008,437712,-.3454713821411133,12503391,.0684528350830078,383734,-.2470741271972656,1309377,-.9420690536499023,178486,700732,.1124382019042969,8619168,.0654706954956055,23393508,.1774959564208984,118656,740873,1112145,.2444601058959961,3321000,777303,-.6726284027099609,47538520,.1684894561767578,13122882,.3548412322998047,220881,-1.334512710571289,1598659,.0091047286987305,2725184,.0873565673828125,3602215,-.1062793731689453,875915,-.3226175308227539,10670898,.0253543853759766,1945987,-.349583625793457,4068021,.0378255844116211,12857,861875,-.2348308563232422,8283408,-.0683422088623047,613183,5444114,.1414108276367188,9263886,.7214498519897461,15596950,1122769,.1784391403198242,6003484,.1117115020751953,2731201,.1948728561401367,208011,-.3224697113037109,matched (3),21022514,.91327876,2779977.8,3998946.3
201006,841430,605,3846,19432380,06,0,0,0,0,1,0,0,0,0,0,0,526695,-.316253662109375,10784385,569130,.3405952453613281,398037,.2922544479370117,61959,.3898515701293945,1797738,-.5926895141601563,789824,.5700254440307617,275577,.2157077789306641,3265863,.4488401412963867,227430,-1.393586158752441,554508,.567265510559082,1111432,.5088682174682617,10345,-.584019660949707,514517,-.1650285720825195,696220,-.0382099151611328,25163,.0105466842651367,469876,.0709085464477539,14158564,.1243190765380859,418765,.0873603820800781,670084,-.6699037551879883,193116,834707,.1749553680419922,9102341,.0545425415039063,20555170,-.1293468475341797,71412,286894,1482699,.2875728607177734,3238000,1112973,.3589601516723633,65277764,.3171100616455078,14565578,.1043033599853516,1714460,2.049229621887207,2503102,.4483661651611328,3447956,.2352457046508789,3567293,-.0097417831420898,884001,.0091886520385742,11398465,.0659580230712891,2709545,.3310108184814453,4547535,.1114292144775391,21138,1048735,.1962299346923828,12675023,.425379753112793,599222,6344628,.1530733108520508,7708979,-.1837377548217773,18485102,1152825,.0264177322387695,4989000,-.1851043701171875,2876488,.0518283843994141,226466,.0850038528442383,matched (3),24618310,.91327876,2941143.3,4112616.8
201007,841430,606,3846,19100704,07,0,0,0,0,0,1,0,0,0,0,0,237142,-.7979621887207031,16077983,634436,.1086273193359375,355745,-.1123313903808594,32551,-.6436653137207031,1462082,-.2066679000854492,251041,-1.146193504333496,211024,-.2668952941894531,1609159,-.7078123092651367,55598,-1.408695220947266,408251,-.3061990737915039,372114,-1.094203948974609,26800,.9518985748291016,378622,-.3066902160644531,704015,.011134147644043,23095,-.0857582092285156,127194,-1.306756019592285,15409909,.0846920013427734,308402,-.3059062957763672,306148,-.7833347320556641,112180,1048010,.2275676727294922,6587317,-.3233852386474609,16540348,-.2173099517822266,31856,344388,374606,-1.375743865966797,1356000,500465,-.7992525100708008,43134944,-.4143180847167969,8401935,-.5501985549926758,1196859,-.3593969345092773,1723235,-.3733282089233398,2724696,-.2354249954223633,2103445,-.5282306671142578,341020,-.9525165557861328,7616651,-.403141975402832,1169174,-.8404827117919922,4898267,.0742959976196289,3215,1175708,.1142854690551758,15841045,.2229709625244141,1069612,5191617,-.2005634307861328,6700351,-.1402254104614258,15165896,2104511,.60186767578125,3548025,-.3408441543579102,3221255,.1132011413574219,245661,.0813579559326172,matched (3),22021244,.91327876,1805168.5,3394396.5
201008,841430,607,3846,14240673,08,0,0,0,0,0,0,1,0,0,0,0,160772,-.388671875,14803842,623936,-.016688346862793,277341,-.2489662170410156,30988,-.0492076873779297,1110444,-.2751007080078125,232353,-.0773582458496094,70151,-1.101322174072266,999885,-.4758272171020508,57982,.0419855117797852,364959,-.1120977401733398,135210,-1.012371063232422,26295,-.0190229415893555,243644,-.4408302307128906,1094979,.4416913986206055,16134,-.3586874008178711,91910,-.3249034881591797,7860237,-.6731948852539063,82100,-1.323466300964356,200913,-.4211959838867188,124549,902531,-.1494455337524414,4697282,-.3381624221801758,13098066,-.23333740234375,146399,456493,105033,-1.271600723266602,775000,209584,-.8704128265380859,40838180,-.0547161102294922,5261915,-.4679670333862305,629668,-.6422634124755859,2720527,.4566230773925781,2184634,-.2209081649780273,1064351,-.6812114715576172,200710,-.5300798416137695,3790687,-.697789192199707,909202,-.2514858245849609,3194909,-.4273233413696289,1604,991596,-.1703100204467773,8854282,-.5817041397094727,735873,3880161,-.291168212890625,4019225,-.5110712051391602,14070606,1585430,-.2832279205322266,4257310,.182246208190918,1351009,-.8689193725585938,208299,-.16497802734375,matched (3),20415846,.91327876,1087080.3,3073278
201009,841430,608,3846,8905200,09,0,0,0,0,0,0,0,1,0,0,0,137346,-.1574840545654297,9523838,590699,-.0547418594360352,462927,.5123214721679688,23472,-.2777919769287109,940207,-.1664152145385742,133830,-.5516872406005859,71895,.0245571136474609,80334,-2.52144718170166,53780,-.075230598449707,169718,-.7656459808349609,225315,.5106697082519531,16028,-.4950418472290039,149246,-.4901123046875,999034,-.0917024612426758,2266,-1.962913036346436,77859,-.1659107208251953,4077065,-.6564388275146484,151361,.611729621887207,16449,-2.502607345581055,16487,586864,-.4304103851318359,3527482,-.2863998413085938,14019772,.0680027008056641,51111,355723,62958,-.5118064880371094,47000,338814,.4803266525268555,36087884,-.1236591339111328,3986563,-.2775659561157227,587294,-.0696678161621094,1877045,-.3711271286010742,2516542,.1414375305175781,858604,-.2148122787475586,103524,-.6620578765869141,2634349,-.3639116287231445,807185,-.1190147399902344,2494125,-.2476205825805664,200,960937,-.0314064025878906,7456323,-.1718387603759766,155280,2654355,-.3796758651733398,1940886,-.7279443740844727,11507645,575288,-1.013740539550781,2724264,-.4464387893676758,657644,-.7199440002441406,206456,-.0088872909545898,matched (3),18659714,.91327876,822664.88,2989995.3
201010,841430,609,3846,11947960,10,0,0,0,0,0,0,0,0,1,0,0,90888,-.4128751754760742,2764663,723526,.2028303146362305,508505,.0939064025878906,8955,-.9635963439941406,767382,-.2031154632568359,149949,.1137247085571289,15401,-1.540774345397949,44276,-.5957498550415039,89983,.5147190093994141,138928,-.2001829147338867,223283,-.009058952331543,32249,.6991500854492188,238799,.4700260162353516,1165639,.15423583984375,6895,1.112780094146729,102490,.2748661041259766,3114554,-.269291877746582,43164,-1.254660606384277,34888,.7518777847290039,190111,961283,.4934759140014648,3239641,-.0851211547851563,11710170,-.1800098419189453,78087,609995,170044,.9935894012451172,206000,362286,.0669822692871094,36147844,.0016593933105469,3018789,-.2780733108520508,719378,.2028617858886719,1349726,-.3297977447509766,2905585,.1437482833862305,1321744,.4313993453979492,129703,.2254438400268555,5978740,.8195743560791016,886811,.0940790176391602,2568054,.0292110443115234,326,880460,-.0874643325805664,8247675,.1008691787719727,159524,1952334,-.3071756362915039,545221,-1.269708633422852,7935534,244407,-.8560352325439453,2368730,-.1398448944091797,67196,-2.281049728393555,204772,-.0081901550292969,matched (3),16328883,.91327876,693077.13,2956966.3
