period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1450c428,growth1450c428,Y1589c752,growth1589c752,Y1845c428,growth1845c428,Y1935c124,growth1935c124,Y2014c246,growth2014c246,Y2015c703,growth2015c703,Y2195c344,Y2196c703,growth2196c703,Y22c124,growth22c124,Y230c124,growth230c124,Y230c208,Y230c352,growth230c352,Y234c300,growth234c300,Y242c191,Y245c428,growth245c428,Y259c246,growth259c246,Y264c191,Y264c442,Y264c757,growth264c757,Y2726c484,growth2726c484,Y2741c705,growth2741c705,Y2763c300,growth2763c300,Y2780c203,Y2780c703,growth2780c703,Y2832c246,growth2832c246,Y2846c620,growth2846c620,Y2848c752,growth2848c752,Y2857c428,growth2857c428,Y2857c705,growth2857c705,Y2857c792,growth2857c792,Y2865c620,growth2865c620,Y2889c246,growth2889c246,Y2889c428,Y2973c372,growth2973c372,Y2983c642,Y3223c752,growth3223c752,Y336c442,Y338c440,growth338c440,Y3848c124,growth3848c124,Y3954c124,growth3954c124,Y3980c428,Y3983c752,growth3983c752,Y3992c124,growth3992c124,Y4069c372,growth4069c372,Y4291c484,growth4291c484,Y449c124,growth449c124,Y4942c124,growth4942c124,Y4966c300,growth4966c300,Y4992c703,growth4992c703,Y86c124,growth86c124,_merge,x,r2,s,sf
201001,841459,600,3849,21415172,01,0,0,0,0,0,0,0,0,0,0,0,343760,,740731,,423,,438121,,14912,,614,,573298,111404,,824509,,5301355,,7831652,63031,,312223,,611876,26436,,26542,,453356,211635,4793875,,809142,,439442,,19695464,,618225,750506,,177916,,2976227,,473543,,56204,,138921,,1292989,,198676,,20035,,2561,77067,,6293135,5352559,,221895,103066,,3323026,,2636750,,0,187448,,14518313,,7293,,10022177,,587062,,1487633,,269771,,329276,,44782,,matched (3),,.91805059,,
201002,841459,601,3849,22592008,02,1,0,0,0,0,0,0,0,0,0,0,539387,.4504899978637695,1042538,.3417758941650391,1820,1.459219455718994,470587,.0714855194091797,1574,-2.248546123504639,2668,1.469089508056641,1399268,225859,.7067480087280273,1016979,.209803581237793,8428948,.463709831237793,8790575,18520,-1.224775314331055,325878,.0428056716918945,575784,55102,.7344598770141602,34471,.2613906860351563,382442,220221,5079235,.0578212738037109,734644,-.096588134765625,601023,.3131275177001953,24561812,.2208042144775391,1034957,719685,-.0419340133666992,281089,.4573602676391602,4603934,.4362545013427734,620022,.2695121765136719,157718,1.031821250915527,221968,.4686279296875,1662060,.2511014938354492,459103,.8375997543334961,67888,1.220377922058106,12058,156550,.7087001800537109,9685375,9266160,.5487947463989258,246249,72600,-.3504047393798828,6196553,.6231174468994141,1946474,-.30352783203125,274376,1685331,2.196216583251953,15928431,.0926952362060547,15555,.7574672698974609,12711915,.2377376556396484,682807,.1510820388793945,1504030,.0109615325927734,257621,-.0460844039916992,290832,-.1241512298583984,20712,-.771092414855957,matched (3),11528809,.91805059,4265970.5,6024041.5
201003,841459,602,3849,26123386,03,0,1,0,0,0,0,0,0,0,0,0,772401,.3590707778930664,11142982,2.369151115417481,3440,.6366348266601563,1205234,.9404478073120117,108890,4.236717700958252,5192,.6657900810241699,3294292,871204,1.34996509552002,2139904,.7439241409301758,21815456,.9509458541870117,16711463,153867,2.117237091064453,600779,.6117038726806641,1050641,83239,.4125299453735352,191832,1.716501235961914,681296,361305,7499936,.3897342681884766,1345463,.605107307434082,694236,.1441783905029297,33017908,.2958583831787109,2081326,933377,.2599964141845703,350254,.2199869155883789,5734426,.2195768356323242,997208,.4752044677734375,172443,.0892581939697266,589507,.9767532348632813,1512228,-.0944738388061523,724849,.4566888809204102,96603,.3527507781982422,9575,684845,1.47581672668457,13402030,9281068,.0016078948974609,600847,68850,-.053034782409668,8445385,.3096275329589844,8020091,1.415929794311523,423765,1226053,-.3181619644165039,21637552,.3063240051269531,16921,.0841732025146484,16318740,.2497749328613281,1259763,.6124668121337891,1832476,.1975202560424805,714780,1.020484924316406,465859,.4711380004882813,3789629,5.209309577941895,matched (3),17757312,.91805059,5771482.5,7169420
201004,841459,603,3849,30113144,04,0,0,1,0,0,0,0,0,0,0,0,849675,.0953493118286133,11930118,.0682563781738281,14376,1.430088996887207,1733620,.3635387420654297,106202,-.0249948501586914,1086,-1.564618110656738,6595220,566583,-.4302520751953125,3143082,.3844432830810547,25125912,.1412811279296875,19505268,190113,.2115297317504883,295895,-.7082223892211914,1695442,33433,-.9121732711791992,861217,1.501726150512695,748964,436032,8000317,.0645866394042969,519202,-.9521999359130859,388050,-.5816774368286133,17579278,-.6303291320800781,2089469,2039378,.781590461730957,313754,-.1100492477416992,4155632,-.3220233917236328,1093411,.0920982360839844,159587,-.0774774551391602,445013,-.2811832427978516,1231267,-.205540657043457,599978,-.1890707015991211,199305,.7242269515991211,16404,578002,-.1696147918701172,0,11791442,.2393970489501953,1235144,180249,.9624090194702148,9307737,.0972251892089844,9202877,.1375665664672852,115605,1412970,.1418933868408203,25089762,.1480293273925781,32877,.6642179489135742,13019062,-.2258987426757813,899349,-.3370075225830078,2760338,.4096851348876953,912568,.244288444519043,604687,.2608280181884766,5904712,.4434823989868164,matched (3),6766432.5,.91805059,3781093.3,5690978.5
201005,841459,604,3849,31993456,05,0,0,0,1,0,0,0,0,0,0,0,973491,.1360349655151367,5740188,-.7315740585327148,4022,-1.273780822753906,1394757,-.2174921035766602,106712,.0047903060913086,13802,2.542312622070313,6107190,1113953,.6760463714599609,3251833,.0340147018432617,19726948,-.241912841796875,14248134,77680,-.8950204849243164,195515,-.41436767578125,2233637,38965,.1531209945678711,916378,.0620822906494141,900271,304563,6645519,-.1855382919311523,557054,.070368766784668,293404,-.2795839309692383,12252780,-.3609676361083984,2056843,1363007,-.4029512405395508,428155,.3108758926391602,3288853,-.2339258193969727,723337,-.413182258605957,115151,-.3263454437255859,354050,-.2286653518676758,1093205,-.1189298629760742,761679,.2386322021484375,114235,-.5565786361694336,20345,861167,.3987102508544922,3605996,10964372,-.072723388671875,1483797,232055,.2526350021362305,11706466,.2292957305908203,13122882,.3548412322998047,219456,820919,-.543025016784668,27673936,.0980319976806641,67328,.7168025970458984,17526820,.2973175048828125,568136,-.4593105316162109,1945987,-.349583625793457,806200,-.1239309310913086,430302,-.3402242660522461,6158087,.0420160293579102,matched (3),21975988,.91805059,2298123.5,4834454
201006,841459,605,3849,31213088,06,0,0,0,0,1,0,0,0,0,0,0,839611,-.1479501724243164,3368049,-.5331583023071289,5044,.2264194488525391,850326,-.4948558807373047,69153,-.433812141418457,9009,-.4265899658203125,6086122,597806,-.6224040985107422,1797738,-.5926895141601563,8450507,-.8477602005004883,9039943,113437,.3786497116088867,182069,-.0712518692016602,992263,37484,-.0387496948242188,227430,-1.393586158752441,645146,256190,6052380,-.0934915542602539,299454,-.6207008361816406,414351,.3451623916625977,10904163,-.1166095733642578,1306062,679984,-.6953792572021484,159156,-.9896001815795898,2792505,-.163599967956543,696220,-.0382099151611328,89657,-.2502527236938477,165014,-.7634077072143555,1039979,-.0499124526977539,534584,-.3540363311767578,34998,-1.182967185974121,18730,677355,-.2400922775268555,2872892,7607135,-.3655643463134766,1020037,245479,.0562372207641602,9817575,-.1759681701660156,14565578,.1043033599853516,59048,566361,-.3711919784545898,27349832,-.01177978515625,78682,.1558380126953125,14949161,-.1590766906738281,309746,-.6066083908081055,2709545,.3310108184814453,352480,-.8273382186889648,543997,.2344570159912109,8226942,.2896480560302734,matched (3),22468910,.91805059,2541027.3,4954532.5
201007,841459,606,3849,32313166,07,0,0,0,0,0,1,0,0,0,0,0,915170,.0861711502075195,3626837,.0740270614624023,7344,.3756847381591797,1122943,.2780885696411133,9073,-2.031018257141113,5009,-.5869874954223633,6179074,401568,-.3978891372680664,1462082,-.2066679000854492,6120515,-.3225793838500977,8509451,21813,-1.648741722106934,164021,-.1043910980224609,838549,20099,-.6232442855834961,55598,-1.408695220947266,422982,282424,6086374,.0056009292602539,726637,.8864660263061523,363842,-.1299934387207031,15304591,.3390083312988281,1060003,384752,-.5694704055786133,95006,-.5159444808959961,2793131,.0002241134643555,704015,.011134147644043,98625,.0953330993652344,139446,-.1683530807495117,609085,-.534998893737793,298734,-.5819358825683594,10338,-1.219464302062988,452,198714,-1.226328849792481,4466594,5224929,-.3756446838378906,685499,682205,1.02211856842041,6357028,-.4346122741699219,8401935,-.5501985549926758,148296,423610,-.2904186248779297,28487634,.0407581329345703,10628,-2.001922607421875,12323066,-.1931838989257813,204296,-.4161825180053711,1169174,-.8404827117919922,272661,-.2567644119262695,435660,-.2220821380615234,6753229,-.1973934173583984,matched (3),14432046,.91805059,2825095,5106048.5
201008,841459,607,3849,34693628,08,0,0,0,0,0,0,1,0,0,0,0,1141586,.221064567565918,5230077,.3660650253295898,25339,1.238460540771484,593574,-.6375465393066406,11266,.216486930847168,17183,1.232684135437012,2995060,1062998,.9734716415405273,1110444,-.2751007080078125,5840116,-.0468959808349609,10604143,95687,1.47857666015625,213932,.2656641006469727,697392,49247,.8961782455444336,57982,.0419855117797852,435878,178702,4950318,-.2066001892089844,749505,.0309858322143555,429575,.16607666015625,14849108,-.03021240234375,430623,129757,-1.086935997009277,278128,1.074141502380371,2342289,-.1760339736938477,1094979,.4416913986206055,58905,-.5153980255126953,155014,.1058387756347656,342515,-.5756416320800781,309768,.0362701416015625,13574,.2723293304443359,1015,95626,-.7314224243164063,6045434,11510868,.7898502349853516,484944,184729,-1.306440353393555,7434626,.1565876007080078,5261915,-.4679670333862305,75078,304205,-.3311119079589844,30255084,.0601940155029297,14546,.3138246536254883,14752509,.1799411773681641,386324,.6371059417724609,909202,-.2514858245849609,299165,.0927658081054688,672142,.4336080551147461,9268742,.3166265487670898,matched (3),17250786,.91805059,2138295.8,4760554.5
201009,841459,608,3849,27914848,09,0,0,0,0,0,0,0,1,0,0,0,1038817,-.0943365097045898,3800072,-.3194055557250977,10682,-.8637838363647461,202387,-1.075980186462402,97904,2.162198066711426,8237,-.7352838516235352,1298116,492601,-.7691488265991211,940207,-.1664152145385742,5309100,-.0953283309936523,11861066,138682,.3711013793945313,289020,.300837516784668,399886,10055,-1.588778495788574,53780,-.075230598449707,1140211,201042,5548804,.1141300201416016,803855,.0700063705444336,415372,-.0336217880249023,13944484,-.0628566741943359,624601,30074,-1.462001800537109,108938,-.9373025894165039,2238086,-.0455074310302734,999034,-.0917024612426758,108399,.6098928451538086,166601,.0720863342285156,397867,.1498022079467773,242740,-.2438325881958008,1598,-2.139402866363525,560,181605,.6413898468017578,5656163,11889104,.0323295593261719,250619,265026,.3609380722045898,4716266,-.4551315307617188,3986563,-.2775659561157227,95311,352017,.1459779739379883,23195868,-.2656898498535156,16630,.1338920593261719,14023182,-.0507011413574219,253462,-.4214620590209961,807185,-.1190147399902344,155396,-.6550188064575195,618169,-.0837078094482422,5991429,-.4363174438476563,matched (3),21680568,.91805059,2587364.8,4978456.5
201010,841459,609,3849,25073728,10,0,0,0,0,0,0,0,0,1,0,0,849797,-.2008399963378906,1774341,-.7615909576416016,5957,-.5839929580688477,301980,.4001798629760742,52016,-.6324367523193359,20304,.9021816253662109,1129752,355749,-.325474739074707,767382,-.2031154632568359,5172238,-.0261173248291016,10777221,38757,-1.274872779846191,280678,-.0292873382568359,179595,4540,-.7951431274414063,89983,.5147190093994141,487653,182287,4370353,-.2387380599975586,875389,.0852489471435547,266151,-.4451103210449219,12320121,-.1238498687744141,612649,21096,-.3545780181884766,80116,-.3073034286499023,1553286,-.3652486801147461,1165639,.15423583984375,96774,-.1134405136108398,160327,-.038386344909668,529064,.2849912643432617,158298,-.4275112152099609,2613,.4917459487915039,0,181195,-.0022602081298828,3568708,11368163,-.0448055267333984,193446,426432,.4756250381469727,3002948,-.4514226913452148,3018789,-.2780733108520508,204948,211665,-.5086746215820313,16740523,-.326141357421875,42510,.9385309219360352,15329772,.0890846252441406,151005,-.5179014205932617,886811,.0940790176391602,117471,-.27978515625,374010,-.5024795532226563,4526603,-.2803583145141602,matched (3),23041950,.91805059,1919597.6,4666415
