period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1462c826,growth1462c826,Y1774c124,growth1774c124,Y1827c352,growth1827c352,Y1853c752,growth1853c752,Y1859c826,growth1859c826,Y1887c620,growth1887c620,Y1969c246,growth1969c246,Y2022c705,growth2022c705,Y2049c616,growth2049c616,Y2072c616,growth2072c616,Y2106c757,growth2106c757,Y2271c381,Y2397c757,growth2397c757,Y2550c348,growth2550c348,Y2637c757,growth2637c757,Y2644c826,growth2644c826,Y2661c348,growth2661c348,Y2675c381,Y2787c203,Y2979c826,growth2979c826,Y3029c826,growth3029c826,Y3102c826,growth3102c826,Y3129c620,growth3129c620,Y3141c752,growth3141c752,Y3262c703,growth3262c703,Y3355c826,growth3355c826,Y3410c440,growth3410c440,Y3419c348,growth3419c348,Y3451c616,growth3451c616,Y3463c752,growth3463c752,Y3502c348,growth3502c348,Y3583c752,growth3583c752,Y3592c642,Y3744c826,growth3744c826,Y3754c616,growth3754c616,Y4174c703,growth4174c703,Y4316c124,growth4316c124,Y4380c484,growth4380c484,Y4434c826,growth4434c826,Y4455c348,growth4455c348,Y4485c208,growth4485c208,Y4601c752,growth4601c752,Y4607c826,growth4607c826,Y4609c208,growth4609c208,Y4797c348,growth4797c348,Y4928c608,Y613c757,growth613c757,Y638c352,growth638c352,Y658c208,growth658c208,Y966c620,growth966c620,_merge,x,r2,s,sf
201001,841480,600,3851,21318032,01,0,0,0,0,0,0,0,0,0,0,0,26439890,,3152170,,25567,,236365,,20523764,,7768423,,1994176,,8103,,5844325,,13131313,,1042143,,3333097,5522349,,468463,,1689421,,2067740,,711735,,2467177,1017936,13876034,,3795591,,185275,,405081,,758354,,2130453,,1953353,,445113,,157924,,545592,,4715727,,32591368,,3648973,,956036,10061332,,19056720,,213576,,2822494,,3448567,,28614952,,1299151,,4056019,,7229851,,44709148,,4265828,,347941,,237565,55945,,9403,,2144494,,104823,,matched (3),,.92735356,,
201002,841480,601,3851,18512244,02,1,0,0,0,0,0,0,0,0,0,0,26049792,-.0148639678955078,3301785,.0463714599609375,151056,1.776348114013672,239886,.0147867202758789,19714244,-.0402412414550781,8236420,.0584983825683594,1739028,-.1369037628173828,5706,-.3507156372070313,6359751,.0845184326171875,13840848,.0526237487792969,996668,-.04461669921875,2978757,5298840,-.0413150787353516,464527,-.0084381103515625,2087724,.2116889953613281,1936469,-.0655899047851563,529268,-.2962112426757813,2111734,678905,11694940,-.1710052490234375,3353110,-.1239519119262695,90656,-.7147693634033203,589338,.374913215637207,871033,.1385297775268555,2318640,.0846462249755859,1764554,-.101649284362793,397945,-.1120147705078125,223601,.3477487564086914,195699,-1.025294303894043,3996048,-.1655979156494141,29474804,-.1005115509033203,3388493,-.0740604400634766,1174569,8915322,-.1209278106689453,20516104,.07379150390625,285523,.2903299331665039,2662060,-.0585203170776367,2944911,-.1578807830810547,26489384,-.0771846771240234,1250266,-.0383548736572266,3837639,-.0553445816040039,6789028,-.0629100799560547,42731644,-.0452384948730469,4752941,.1081275939941406,225818,-.4323034286499023,244575,52070,-.0717802047729492,129,-4.288971424102783,1454408,-.3883047103881836,133304,.2403593063354492,matched (3),34135220,.92735356,1647441.3,2406654.8
201003,841480,602,3851,22380004,03,0,1,0,0,0,0,0,0,0,0,0,26607284,.0211753845214844,3922278,.1722097396850586,66517,-.8201923370361328,340236,.3494749069213867,20576932,.0428295135498047,9533937,.1462917327880859,2247033,.2562837600708008,17089,1.096916198730469,6745137,.058833122253418,14574706,.0516643524169922,1141900,.1360311508178711,3531086,7227052,.3103427886962891,682444,.3846607208251953,1719057,-.1942987442016602,1938902,.001255989074707,601174,.1273899078369141,2186954,840485,11552531,-.0122528076171875,3566503,.0616970062255859,299159,1.193902969360352,635783,.0758571624755859,951061,.0878982543945313,2728674,.1628351211547852,3007882,.5333385467529297,473260,.1733312606811523,232175,.037628173828125,70043,-1.027468681335449,5410738,.3030796051025391,34456492,.1561603546142578,4116138,.1945295333862305,1490187,9467685,.0601119995117188,22083992,.0736427307128906,406405,.3530282974243164,3064896,.1409130096435547,7988822,.9979648590087891,24790254,-.0662937164306641,1503858,.1846771240234375,4534179,.1667861938476563,8833613,.2632560729980469,44863388,.0486831665039063,5740671,.188812255859375,231,-6.885067462921143,90269,49794,-.0446939468383789,1955,2.718333244323731,1525946,.0480155944824219,119758,-.1071586608886719,matched (3),43934412,.92735356,2151291.8,2775964.8
201004,841480,603,3851,26375008,04,0,0,1,0,0,0,0,0,0,0,0,24051362,-.1009922027587891,2793295,-.3394508361816406,281087,1.441205978393555,315269,-.0762128829956055,21719736,.0540504455566406,11552121,.1920108795166016,2270849,.0105428695678711,20662,.1898612976074219,8337578,.2119503021240234,15092780,.0349292755126953,646852,-.5683307647705078,3522980,5940993,-.1959543228149414,1021948,.4037857055664063,2253317,.2706270217895508,2248243,.1480274200439453,507146,-.1700859069824219,2801593,895755,9880443,-.1563472747802734,3653035,.0239725112915039,57961,-1.641204833984375,714142,.1162242889404297,695229,-.3133363723754883,3602796,.2778940200805664,2472460,-.1960229873657227,768203,.4844093322753906,143154,-.4835700988769531,73729,.0512876510620117,4355237,-.217005729675293,32306900,-.0644168853759766,4031816,-.0206985473632813,0,10407982,.0946884155273438,19526036,-.1231040954589844,424769,.0441951751708984,2748200,-.1090669631958008,11452583,.3601713180541992,23048640,-.0728435516357422,1177290,-.2448186874389648,3727166,-.1959953308105469,7598948,-.1505546569824219,45800624,.0206756591796875,5418534,-.0577507019042969,88719,5.950811862945557,398362,86697,.5545244216918945,7852,1.390378475189209,1334361,-.1341619491577148,206115,.5429611206054688,matched (3),34463416,.92735356,2424388.8,2992588.3
201005,841480,604,3851,24204852,05,0,0,0,1,0,0,0,0,0,0,0,22894944,-.0492763519287109,2369771,-.1644287109375,135003,-.7333669662475586,230479,-.3132667541503906,20702114,-.0479850769042969,11258767,-.0257205963134766,1925138,-.1651554107666016,3623,-1.740993499755859,6057386,-.3194942474365234,14455832,-.0431194305419922,1061712,.4955196380615234,3470926,5916572,-.004119873046875,565071,-.5925140380859375,1735486,-.2611150741577148,2052874,-.0909090042114258,391194,-.2595949172973633,2368112,549761,10548525,.0654296875,3396741,-.0727415084838867,80150,.3241300582885742,833241,.1542415618896484,491087,-.3476200103759766,2644218,-.3093347549438477,2257042,-.0911588668823242,358497,-.7621335983276367,204721,.35772705078125,90737,.2075691223144531,4284698,-.0163297653198242,29390632,-.0946044921875,3562040,-.1238832473754883,1157620,8671161,-.1825695037841797,19147410,-.0195827484130859,315954,-.2959489822387695,2468862,-.1071891784667969,5414421,-.7491483688354492,21916450,-.0503692626953125,1174022,-.0027790069580078,3555848,-.0470542907714844,5729475,-.2823858261108398,45381312,-.0091972351074219,5589206,.0310115814208984,641679,1.97861385345459,139408,36383,-.8683176040649414,492,-2.770045280456543,1235485,-.0769891738891602,189760,-.0826740264892578,matched (3),32115568,.92735356,1607708.9,2379632.8
201006,841480,605,3851,30875404,06,0,0,0,0,1,0,0,0,0,0,0,29112798,.2402629852294922,2711303,.1346359252929688,120695,-.112030029296875,301735,.2693901062011719,22781084,.0956935882568359,11376523,.0104045867919922,1995727,.0360107421875,4316,.1750268936157227,5256512,-.141810417175293,13554507,-.0643787384033203,877623,-.1904201507568359,4296216,5921015,.0007505416870117,825102,.3785552978515625,2461847,.3496236801147461,2634512,.2494573593139648,469339,.1821222305297852,2756668,677128,13474453,.2448081970214844,3963755,.1543750762939453,250758,1.14058780670166,925014,.1044855117797852,832280,.5275478363037109,4464014,.5236730575561523,2953410,.2689056396484375,555577,.4380865097045898,245412,.1812906265258789,103589,.1324653625488281,4986149,.1516141891479492,30877824,.0493621826171875,4276062,.1826992034912109,1196491,10139828,.1564674377441406,20059366,.0465297698974609,320034,.0128307342529297,4144481,.5180206298828125,5419219,.0008859634399414,24422318,.1082592010498047,1258625,.0695838928222656,4390992,.2109613418579102,6028257,.0508337020874023,48021828,.0565547943115234,5352362,-.0432987213134766,1000836,.4445028305053711,220764,29183,-.220515251159668,6638,2.602087020874023,1199641,-.0294408798217773,94913,-.6927995681762695,matched (3),36540140,.92735356,1509118.6,2314165.8
201007,841480,606,3851,25535256,07,0,0,0,0,0,1,0,0,0,0,0,28190958,-.0321769714355469,2457956,-.0980987548828125,106434,-.1257419586181641,221919,-.3072366714477539,21704068,-.0484294891357422,8153638,-.3330879211425781,1586158,-.2296943664550781,3396,-.2397308349609375,6779563,.2544450759887695,16031875,.1678600311279297,685749,-.2467060089111328,4151382,4907049,-.1878347396850586,582149,-.348780632019043,2106450,-.1559076309204102,1966271,-.2925586700439453,672989,.3604030609130859,2475291,320643,12107511,-.1069698333740234,3907714,-.0142393112182617,239987,-.0439033508300781,667744,-.3259038925170898,484958,-.5401067733764648,1988428,-.8087034225463867,1916551,-.4324331283569336,516769,-.0724105834960938,179138,-.3147821426391602,130095,.2278337478637695,3461717,-.3648996353149414,30222194,-.0214614868164063,2456302,-.5543756484985352,1009695,9374036,-.0785274505615234,17597958,-.1309127807617188,215785,-.3941450119018555,3591237,-.1432809829711914,2888444,-.6292343139648438,21541438,-.125518798828125,1209648,-.0396900177001953,3657236,-.1828479766845703,3376384,-.5796518325805664,42157468,-.1302433013916016,4702863,-.1293668746948242,618733,-.4809169769287109,355420,37480,.2502212524414063,4437,-.40283203125,1503445,.2257366180419922,82053,-.1455955505371094,matched (3),30759830,.92735356,1685958.6,2433183.3
201008,841480,607,3851,28219558,08,0,0,0,0,0,0,1,0,0,0,0,28704480,.0180511474609375,2704007,.0954046249389648,128627,.18939208984375,416805,.630305290222168,20760066,-.0444698333740234,4344332,-.6295919418334961,1777485,.1138849258422852,2581,-.2744216918945313,5141106,-.2766447067260742,16441470,.0252285003662109,764202,.1083202362060547,2458237,5024989,.0237503051757813,558782,-.0409669876098633,1215635,-.5497369766235352,2026286,.0300655364990234,345172,-.6676864624023438,946389,825798,12308177,.0164394378662109,3364808,-.1495819091796875,248917,.0365352630615234,811971,.1955595016479492,478589,-.0132207870483398,2240451,.1193323135375977,2073453,.0786876678466797,750525,.3731765747070313,189827,.0579566955566406,129679,-.0032024383544922,5994284,.549041748046875,28839004,-.0468482971191406,3997233,.4869451522827148,1177982,8058752,-.15118408203125,16586632,-.0591869354248047,237071,.0940771102905273,3653210,.0171089172363281,4687666,.4842166900634766,25760408,.1788616180419922,1037371,-.1536397933959961,4480592,.2030477523803711,4384351,.2612361907958984,38630356,-.0873737335205078,5886312,.2244586944580078,815446,.2760610580444336,226240,16448,-.823603630065918,5630,.2381305694580078,1701662,.1238460540771484,95320,.1498746871948242,matched (3),37034476,.92735356,1393412.9,2240429.3
201009,841480,608,3851,33280848,09,0,0,0,0,0,0,0,1,0,0,0,27262304,-.0515480041503906,2880282,.0631532669067383,822114,1.854962348937988,419035,.0053367614746094,25908740,.2215499877929688,7424911,.5359687805175781,1959461,.0974702835083008,9370,1.289336204528809,6043771,.1617603302001953,18591312,.1228866577148438,1004045,.2729606628417969,5140423,6073555,.1895208358764648,868246,.4407157897949219,1804097,.3947935104370117,1993892,-.0161161422729492,645574,.6260976791381836,2447229,1043842,13949537,.1251811981201172,4197695,.2211647033691406,364546,.3815326690673828,844974,.0398416519165039,812417,.5291719436645508,2901494,.2585487365722656,2445901,.1651983261108398,836563,.1085290908813477,237535,.2242012023925781,760120,1.768413543701172,6154617,.0263967514038086,33035450,.1358528137207031,4852189,.1938276290893555,1198864,10554011,.2697467803955078,21520882,.2604274749755859,412138,.5529985427856445,3465678,-.0526971817016602,6371327,.3068733215332031,34925016,.3043632507324219,1209680,.1536655426025391,4577349,.0213651657104492,5729446,.2675771713256836,50763440,.2731380462646484,5991680,.0177421569824219,1115836,.313624382019043,238008,109091,1.891978263854981,6937,.2087602615356445,2156520,.2368907928466797,100062,.0485496520996094,matched (3),45294048,.92735356,1800800.4,2514121.3
201010,841480,609,3851,36153328,10,0,0,0,0,0,0,0,0,1,0,0,34525012,.2361793518066406,4006493,.3300285339355469,645722,-.2415103912353516,458921,.0909233093261719,27472436,.0586032867431641,9627422,.2597742080688477,1965731,.0031948089599609,9664,.0308942794799805,6499738,.0727329254150391,16757447,-.103851318359375,1476164,.3854093551635742,5320953,6664700,.0928812026977539,841991,-.0307064056396484,2000883,.1035280227661133,2482101,.2190170288085938,720546,.1098690032958984,2976390,1181203,15959134,.1345863342285156,3510188,-.1788654327392578,270727,-.297541618347168,1815022,.7645463943481445,970108,.177393913269043,3666181,.2339248657226563,2664791,.0857124328613281,583967,-.3594579696655273,244754,.0299386978149414,1024918,.2988920211791992,6988829,.127110481262207,33192692,.0047492980957031,4882322,.0061912536621094,1249771,12085165,.1354732513427734,23131918,.0721893310546875,491704,.176518440246582,3208204,-.0771970748901367,9834362,.4340744018554688,36575640,.0461788177490234,1436783,.1720514297485352,5468428,.1778707504272461,7189710,.2270317077636719,52980812,.0427532196044922,6216517,.0368375778198242,1092332,-.0212888717651367,553087,117908,.0777225494384766,5231,-.2822666168212891,2381070,.0990543365478516,193002,.6569108963012695,matched (3),44153888,.92735356,1892993.9,2580959.3
