period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1058c218,Y1146c616,Y1271c152,Y1310c705,growth1310c705,Y1769c124,growth1769c124,Y1826c218,Y1850c484,growth1850c484,Y1898c344,Y206c246,growth206c246,Y2079c428,growth2079c428,Y2089c203,Y2307c222,growth2307c222,Y266c246,growth266c246,Y2738c826,growth2738c826,Y2813c381,Y2872c344,Y2888c124,growth2888c124,Y2c757,growth2c757,Y3013c300,Y3017c752,growth3017c752,Y3087c124,growth3087c124,Y3235c586,growth3235c586,Y3347c703,growth3347c703,Y3391c440,growth3391c440,Y3532c705,growth3532c705,Y3541c124,growth3541c124,Y3564c124,growth3564c124,Y3578c124,growth3578c124,Y3773c124,growth3773c124,Y3906c32,Y3925c826,growth3925c826,Y4163c32,Y4429c376,Y4761c352,growth4761c352,Y4950c600,growth4950c600,Y4951c124,growth4951c124,Y4952c752,growth4952c752,Y4974c705,growth4974c705,Y5014c208,growth5014c208,Y5026c484,growth5026c484,Y561c428,growth561c428,Y570c757,growth570c757,Y583c826,growth583c826,Y588c752,growth588c752,Y636c124,growth636c124,Y656c484,growth656c484,Y663c246,growth663c246,Y768c348,growth768c348,Y916c616,growth916c616,Y920c124,growth920c124,_merge,x,r2,s,sf
201001,841490,600,3852,14849367,01,0,0,0,0,0,0,0,0,0,0,0,237702,33277,878095,2817156,,3477437,,5282059,1015860,,1276011,70735,,24890,,576514,827052,,1020762,,34198296,,14380220,158781,3461240,,6830125,,2269,585633,,9583649,,29915328,,157282,,339994,,28869,,7104720,,1053899,,13161804,,18592644,,1906355,1366523,,166949,299000,48264,,6047,,1537122,,3073344,,88563,,372256,,396460,,68147,,15238435,,18034122,,287108,,807356,,669791,,443120,,171266,,516538,,649410,,matched (3),,.91219002,,
201002,841490,601,3852,13484386,02,1,0,0,0,0,0,0,0,0,0,0,142691,49359,1346676,1818809,-.4375457763671875,3346701,-.0383205413818359,5224574,786506,-.2558908462524414,924120,111294,.4532346725463867,15935,-.4459476470947266,543075,650262,-.2404918670654297,1009149,-.0114412307739258,28686440,-.175750732421875,8710577,105489,2365144,-.3807878494262695,3227062,-.7497711181640625,821,216937,-.9930868148803711,9493475,-.0094547271728516,8990889,-1.202159881591797,134394,-.1572647094726563,26465,-2.553104400634766,16934,-.5334453582763672,7404915,.0413846969604492,880461,-.1798057556152344,13122017,-.0030269622802734,18745760,.0082015991210938,3383223,1525888,.1103067398071289,395760,83000,37204,-.2602691650390625,1362,-1.490607738494873,1316023,-.1552972793579102,2501080,-.2060441970825195,201259,.8208789825439453,218484,-.5328693389892578,551250,.3296136856079102,94824,.3303556442260742,12784776,-.1755657196044922,14381400,-.2263317108154297,385583,.2948980331420898,743610,-.0822477340698242,653142,-.0251703262329102,487161,.0947542190551758,36619,-1.54265022277832,480223,-.0728988647460938,453611,-.3588247299194336,matched (3),12660026,.91219002,1084656.8,2149610.8
201003,841490,602,3852,13383909,03,0,1,0,0,0,0,0,0,0,0,0,122483,42314,705901,2462354,.3029356002807617,3135652,-.0651378631591797,5084627,662544,-.171513557434082,878132,52332,-.7545671463012695,7239,-.7890348434448242,432816,1054673,.4836101531982422,1259382,.2215137481689453,31507136,.0937881469726563,4527410,54763,1241300,-.6446800231933594,6028066,.6248540878295898,18255,332978,.4284696578979492,10724936,.1219673156738281,7857133,-.1347904205322266,227948,.5283422470092773,45368,.5389833450317383,21218,.2255268096923828,8917751,.1858987808227539,974719,.1017036437988281,16361923,.2206649780273438,20324332,.0808506011962891,2897299,1059302,-.3649663925170898,426117,148000,52833,.3507194519042969,1178,-.1451363563537598,1723634,.2698202133178711,3666101,.3824062347412109,181086,-.1056203842163086,278621,.2431402206420898,546237,-.0091361999511719,72667,-.2661352157592773,12006020,-.0628471374511719,17383230,.1895713806152344,341691,-.120849609375,455116,-.4909639358520508,836118,.2469749450683594,305303,-.467289924621582,136497,1.31573486328125,451818,-.0609703063964844,1316262,1.065311431884766,matched (3),14726356,.91219002,1015568.9,2115591.3
201004,841490,603,3852,16256847,04,0,0,1,0,0,0,0,0,0,0,0,156985,737,1012452,1255400,-.6736631393432617,4755188,.4163990020751953,5618825,763442,.1417503356933594,1614094,105023,.6965713500976563,19384,.9849643707275391,562359,1055961,.001220703125,1032245,-.1988859176635742,33065280,.0482692718505859,3929046,71814,746596,-.5083904266357422,5089073,-.1693305969238281,41390,602381,.5928134918212891,10952168,.020965576171875,16069169,.7154808044433594,264789,.149815559387207,78698,.5508108139038086,15020,-.3454675674438477,8281720,-.0739917755126953,1963193,.7001781463623047,13041984,-.2267837524414063,19859160,-.0231533050537109,1645461,1524710,.3641948699951172,101682,193000,67407,.2436132431030273,7133,1.800913810729981,1850389,.0709609985351563,3085822,-.1723108291625977,179885,-.0066547393798828,324627,.1528244018554688,439714,-.2169284820556641,61262,-.1707277297973633,12141805,.0112457275390625,17310548,-.0041904449462891,69854,-1.587499618530273,496229,.0864849090576172,970755,.1493043899536133,657916,.7677726745605469,85447,-.4684057235717773,488644,.0783538818359375,428499,-1.122262954711914,matched (3),13456817,.91219002,1152277.3,2184511.3
201005,841490,604,3852,16817106,05,0,0,0,1,0,0,0,0,0,0,0,5212,816,762565,4642670,1.307835578918457,4470774,-.0616741180419922,5222224,935367,.2031021118164063,1303677,110957,.0549631118774414,6028,-1.168032646179199,689717,1271159,.1854782104492188,1222386,.1690692901611328,31595304,-.0454750061035156,9197337,68522,1175817,.4541950225830078,4777086,-.0632648468017578,10675,1223014,.7081832885742188,10618604,-.0309295654296875,40339364,.9204254150390625,44785,-1.777060508728027,126357,.4734935760498047,55077,1.299349784851074,8408522,.0151948928833008,740957,-.9743852615356445,14945223,.1362190246582031,22884068,.1417751312255859,4842284,2275906,.40057373046875,106165,258000,32539,-.7283096313476563,859,-2.116718292236328,2060068,.1073436737060547,3094765,.002894401550293,199178,.1018810272216797,381009,.1601457595825195,485437,.0989255905151367,111282,.5969076156616211,12359148,.0177421569824219,14811208,-.1559314727783203,38505,-.5956192016601563,764500,.4321842193603516,670108,-.3706350326538086,703142,.0664815902709961,108835,.2419366836547852,593202,.1939010620117188,705333,.4983816146850586,matched (3),21669678,.91219002,1330562.1,2283580.8
201006,841490,605,3852,19241892,06,0,0,0,0,1,0,0,0,0,0,0,247350,63599,799339,2145332,-.7719955444335938,4650268,.039362907409668,6171009,352146,-.976893424987793,1838687,90430,-.2045660018920898,17444,1.062581062316895,591800,1420892,.1113557815551758,1620016,.2816314697265625,29982688,-.0523872375488281,21304284,98766,5195075,1.485747337341309,4861073,.0174283981323242,28198,995648,-.2056798934936523,13727559,.2567977905273438,16183468,-.9133377075195313,192482,1.4581298828125,35037,-1.282706260681152,280081,1.626346588134766,9824401,.1556234359741211,1999595,.9927577972412109,14712175,-.015716552734375,21502552,-.0622692108154297,1771538,1437996,-.4591274261474609,1293611,188000,66516,.7150030136108398,2852,1.20000696182251,1711104,-.1856002807617188,3357807,.0815753936767578,387468,.6654348373413086,627372,.4987163543701172,547320,.1199836730957031,43823,-.9319086074829102,14126571,.1336612701416016,17836184,.1858444213867188,49646,.2541303634643555,694151,-.096531867980957,654351,-.0237951278686523,1238996,.566497802734375,58081,-.6279945373535156,582498,-.0182094573974609,452902,-.4429941177368164,matched (3),13377638,.91219002,1706544.4,2521237.8
201007,841490,606,3852,20550906,07,0,0,0,0,0,1,0,0,0,0,0,82869,71443,1753669,2539905,.1688318252563477,4787672,.0291194915771484,7314386,694115,.6785917282104492,1648547,166615,.611109733581543,11720,-.3976993560791016,233062,1001503,-.3497829437255859,694853,-.846491813659668,39276760,.2700119018554688,38879872,139448,8024912,.4348392486572266,4870247,.0018854141235352,11641,973430,-.0225677490234375,11477166,-.1790447235107422,19198980,.170867919921875,464424,.8807954788208008,160032,1.518969535827637,55896,-1.611586570739746,8900291,-.098785400390625,9163,-5.385526657104492,13155145,-.1118621826171875,23495054,.0886173248291016,4240142,1521602,.0565128326416016,340017,326000,30489,-.7800769805908203,13989,1.590250492095947,1687161,-.0140914916992188,2399209,-.3361482620239258,386826,-.0016584396362305,591848,-.0582895278930664,652762,.1761789321899414,116639,.9789247512817383,14779789,.0452041625976563,17472348,-.0206089019775391,83276,.517242431640625,1014914,.3798694610595703,748435,.1343402862548828,740420,-.5148391723632813,155166,.9826564788818359,606965,.0411453247070313,1097377,.8850021362304688,matched (3),15681739,.91219002,1204705.1,2212614
201008,841490,607,3852,21119580,08,0,0,0,0,0,0,1,0,0,0,0,137734,1972,1044606,1044325,-.8887557983398438,4828044,.008397102355957,7930212,1089570,.4509010314941406,2343786,84511,-.6788043975830078,29487,.9226531982421875,298237,1518409,.4161605834960938,456392,-.4203481674194336,32279132,-.1962108612060547,44833544,218423,10835885,.3003129959106445,3146864,-.4367380142211914,15224,1183138,.1950998306274414,11773869,.0255222320556641,41130132,.7618827819824219,383805,-.1906633377075195,81966,-.6690692901611328,136350,.8917322158813477,9021495,.0135269165039063,1189229,4.865886688232422,14919201,.1258354187011719,26965534,.1377696990966797,7058128,2940810,.6589212417602539,518766,315000,31026,.0174598693847656,2923,-1.56566047668457,1790717,.0595684051513672,3228915,.2970066070556641,391647,.0123863220214844,382967,-.4353008270263672,702203,.0730104446411133,146569,.2284126281738281,15270498,.0326614379882813,17602346,.0074119567871094,84433,.0137977600097656,749870,-.3026590347290039,602586,-.2167539596557617,1041096,.3408117294311523,149634,-.0363025665283203,683060,.1181116104125977,984133,-.1089162826538086,matched (3),18587806,.91219002,1319792.4,2277322.5
201009,841490,608,3852,18000090,09,0,0,0,0,0,0,0,1,0,0,0,198693,13973,163968,2072265,.685272216796875,4506567,-.0689058303833008,9426701,769132,-.3482761383056641,2583615,108642,.2511768341064453,6183,-1.562146186828613,669332,271260,-1.72234058380127,505814,.1028175354003906,25245054,-.2457923889160156,34783232,244889,10448497,-.0364055633544922,6489379,.7237606048583984,45646,1142984,-.0345277786254883,10601504,-.1048870086669922,43112992,.0470829010009766,160037,-.874730110168457,19861,-1.417547225952148,37332,-1.295373916625977,8553102,-.0533170700073242,548866,-.7732057571411133,11985351,-.218963623046875,23885536,-.1212863922119141,7120276,1377825,-.7581787109375,721760,275000,22626,-.3157262802124023,1914,-.4234151840209961,1707049,-.0478496551513672,5345190,.5040512084960938,360750,-.0821762084960938,353267,-.0807247161865234,615059,-.1325044631958008,102213,-.3604373931884766,16603954,.0837173461914063,15361883,-.1361427307128906,59812,-.344752311706543,887799,.1688451766967773,574930,-.0469818115234375,700785,-.3958282470703125,139141,-.0727052688598633,570087,-.1807937622070313,783055,-.2285585403442383,matched (3),17961142,.91219002,1335477.9,2286448.5
201010,841490,609,3852,17944964,10,0,0,0,0,0,0,0,0,1,0,0,78699,63343,1945727,991494,-.7371854782104492,4486834,-.0043878555297852,9661516,852677,.103118896484375,1610874,138775,.2447957992553711,7903,.2454385757446289,837808,503593,.6186904907226563,764224,.4126920700073242,26193484,.0368804931640625,21405576,252962,5647805,-.6151905059814453,1787351,-1.289432525634766,7824,611426,-.6256036758422852,11154286,.0508289337158203,12646361,-1.22645378112793,315601,.6790742874145508,74400,1.320697784423828,25112,-.3965053558349609,9253009,.0786542892456055,340683,-.4769020080566406,12658888,.0546741485595703,22777902,-.0474815368652344,4274030,1791268,.2624177932739258,482665,293000,56411,.9135646820068359,2329,.1962437629699707,1696176,-.0063896179199219,4151868,-.2526388168334961,139468,-.9503498077392578,349496,-.0107326507568359,792180,.2530708312988281,34043,-1.099433898925781,16127816,-.0290946960449219,16335951,.0614795684814453,117263,.673213005065918,1004884,.1238822937011719,889283,.4361667633056641,387824,-.591649055480957,157147,.1216945648193359,633675,.1057472229003906,720619,-.0830926895141602,matched (3),12232704,.91219002,1347347,2293401.5
