period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1829c826,growth1829c826,Y1855c792,growth1855c792,Y22c124,growth22c124,Y251c191,Y253c428,growth253c428,Y264c757,growth264c757,Y2728c757,growth2728c757,Y2735c251,growth2735c251,Y2738c752,growth2738c752,Y2738c792,growth2738c792,Y2739c752,growth2739c752,Y2741c251,growth2741c251,Y2763c705,growth2763c705,Y2778c251,growth2778c251,Y2780c620,growth2780c620,Y2780c757,growth2780c757,Y2846c251,growth2846c251,Y2846c757,growth2846c757,Y2857c792,growth2857c792,Y2865c620,growth2865c620,Y2955c251,growth2955c251,Y2955c826,growth2955c826,Y2973c203,Y2973c757,growth2973c757,Y2975c246,growth2975c246,Y2975c752,growth2975c752,Y2975c757,growth2975c757,Y2975c807,growth2975c807,Y328c757,growth328c757,Y336c442,Y3800c752,growth3800c752,Y3848c376,Y3977c251,growth3977c251,Y3982c703,growth3982c703,Y3992c440,growth3992c440,Y4620c703,growth4620c703,Y4632c792,growth4632c792,Y4644c208,growth4644c208,Y4691c124,growth4691c124,Y4691c826,growth4691c826,Y4743c705,growth4743c705,Y4924c792,growth4924c792,Y4942c251,growth4942c251,Y4966c251,growth4966c251,Y4992c246,growth4992c246,Y660c208,growth660c208,Y660c300,growth660c300,Y660c705,growth660c705,Y660c752,growth660c752,Y917c586,growth917c586,_merge,x,r2,s,sf
201001,841590,600,3858,14282611,01,0,0,0,0,0,0,0,0,0,0,0,3802751,,49726,,824509,,58224,20250,,4793875,,2900683,,20240256,,4527508,,2841757,,695724,,15942863,,4845429,,3481631,,902912,,5649841,,33550340,,4166646,,1292989,,198676,,1926566,,5598610,,390393,154187,,5388947,,10370263,,10753486,,218083,,480422,,221895,2251104,,111000,9242407,,305088,,335299,,106966,,484324,,1350537,,12726985,,13851440,,30052,,1834789,,2097061,,2301134,,669568,,4775189,,835540,,191706,,3778315,,470077,,matched (3),,.90805501,,
201002,841590,601,3858,14351717,02,1,0,0,0,0,0,0,0,0,0,0,4648663,.2008543014526367,81866,.4985561370849609,1016979,.209803581237793,61263,104609,1.642075538635254,5079235,.0578212738037109,3059883,.0534305572509766,16488651,-.2050018310546875,4254873,-.0621070861816406,3009306,.0572872161865234,548959,-.2369289398193359,15265822,-.04339599609375,5766860,.1740922927856445,4179404,.1826677322387695,2202532,.8917369842529297,8284849,.3828010559082031,40174776,.1801910400390625,6647125,.4670724868774414,1662060,.2511014938354492,459103,.8375997543334961,5157435,.9847002029418945,9465695,.5251560211181641,719397,240484,.4444866180419922,5586889,.0360727310180664,9748367,-.0618438720703125,14093281,.2704677581787109,238793,.0907211303710938,577168,.1834678649902344,246249,4503968,.693537712097168,726000,10931046,.1678047180175781,1003867,1.191014289855957,680466,.7077550888061523,187885,.563319206237793,448682,-.0764398574829102,1657388,.2047405242919922,11724965,-.0820045471191406,15423753,.1075210571289063,36752,.201263427734375,1979162,.07574462890625,3312996,.4573163986206055,4264219,.6168575286865234,726130,.0810966491699219,5871495,.2066755294799805,1956992,.8510856628417969,238508,.218440055847168,5605158,.3944091796875,137621,-1.228392601013184,matched (3),31110990,.90805501,2716088,6804472
201003,841590,602,3858,20250480,03,0,1,0,0,0,0,0,0,0,0,0,5840211,.2281875610351563,22706,-1.282455444335938,2139904,.7439241409301758,82593,265110,.9299144744873047,7499936,.3897342681884766,4015679,.2718296051025391,19073816,.1456432342529297,4636137,.0858163833618164,4937172,.4950828552246094,782839,.3549032211303711,16485364,.0768566131591797,7156346,.2158718109130859,4777731,.1337976455688477,3365556,.423985481262207,10101917,.1982955932617188,42497780,.05621337890625,8071885,.1942024230957031,1512228,-.0944738388061523,724849,.4566888809204102,9130775,.5712108612060547,12292813,.2613410949707031,700563,860090,1.274383544921875,5652578,.0116891860961914,9755477,.0007305145263672,13851220,-.0173244476318359,636069,.9797096252441406,1827110,1.152358055114746,600847,7697856,.5359830856323242,899000,13951241,.2439613342285156,2257812,.8105363845825195,1131465,.5084905624389648,350336,.6230630874633789,737806,.4973669052124023,2126372,.2491750717163086,13654048,.1523151397705078,19291168,.2237377166748047,29623,-.2156410217285156,4495410,.8203830718994141,4115676,.216949462890625,7571989,.5741968154907227,1045094,.3641328811645508,8272647,.3428449630737305,4161891,.7545604705810547,1297705,1.693949699401856,7725245,.3208065032958984,198890,.3682479858398438,matched (3),36566976,.90805501,3097327,6965425
201004,841590,603,3858,18435556,04,0,0,1,0,0,0,0,0,0,0,0,3762898,-.4395771026611328,110300,1.580574989318848,3143082,.3844432830810547,71102,242135,-.0906486511230469,8000317,.0645866394042969,2974591,-.3001003265380859,16559301,-.1413669586181641,2837257,-.4910440444946289,4643904,-.0612373352050781,540464,-.3704996109008789,14230021,-.1471176147460938,5672841,-.2323093414306641,3537528,-.3005380630493164,2808148,-.1810674667358398,8329055,-.1929740905761719,38747288,-.0923919677734375,5591870,-.3670730590820313,1231267,-.205540657043457,599978,-.1890707015991211,8842418,-.0320901870727539,11676149,-.0514678955078125,415411,869436,.010807991027832,4555816,-.2157077789306641,6893086,-.3473100662231445,7863890,-.5660915374755859,503152,-.2344141006469727,2267897,.2161169052124023,1235144,9807330,.2421884536743164,2731000,9080405,-.4294490814208984,2600852,.1414432525634766,850311,-.2856664657592773,333222,-.050084114074707,230097,-1.165180206298828,1972782,-.0749731063842773,13237358,-.0309925079345703,15371700,-.2271194458007813,55872,.6345119476318359,5300839,.1648082733154297,5560508,.3008871078491211,7469805,-.0135869979858398,725222,-.3653841018676758,8869301,.0696420669555664,4502681,.0787038803100586,2247614,.5492715835571289,7415035,-.0409841537475586,299869,.4105939865112305,matched (3),37570560,.90805501,4075575.5,7452115.5
201005,841590,604,3858,22824840,05,0,0,0,1,0,0,0,0,0,0,0,4579679,.1964387893676758,122095,.1015958786010742,3251833,.0340147018432617,68277,222107,-.0863361358642578,6645519,-.1855382919311523,3024746,.0167207717895508,17153840,.0352725982666016,2337067,-.1939401626586914,5177195,.108708381652832,458220,-.1650781631469727,12717016,-.1124134063720703,5103282,-.1058063507080078,3751351,.0586881637573242,2524252,-.1065807342529297,6884467,-.1904821395874023,37403496,-.0352954864501953,4623152,-.1902370452880859,1093205,-.1189298629760742,761679,.2386322021484375,10639828,.1850442886352539,12503391,.0684528350830078,588468,552879,-.4527053833007813,2796041,-.4882001876831055,7180996,.0409183502197266,7889333,.003230094909668,580030,.1421871185302734,5563346,.8973474502563477,1483797,7489415,-.2696390151977539,3321000,7003176,-.2597551345825195,2842207,.0887413024902344,1486899,.5588455200195313,300532,-.1032543182373047,622804,.9957313537597656,2106199,.0654401779174805,14299740,.0771980285644531,18194724,.1686038970947266,63756,.1319999694824219,5987751,.1218509674072266,5991552,.0746603012084961,8468487,.1254825592041016,1095492,.4124813079833984,8283408,-.0683422088623047,9263886,.7214498519897461,2731201,.1948728561401367,8507093,.13739013671875,535472,.5798025131225586,matched (3),44085344,.90805501,3026241.8,6934107.5
201006,841590,605,3858,26462532,06,0,0,0,0,1,0,0,0,0,0,0,3434492,-.2877597808837891,133803,.0915689468383789,1797738,-.5926895141601563,60315,275577,.2157077789306641,6052380,-.0934915542602539,3649787,.1878414154052734,25242184,.3862953186035156,2362794,.0109472274780273,3749584,-.3226184844970703,410769,-.109318733215332,14548397,.1345386505126953,4750009,-.0717372894287109,4273010,.1302022933959961,2358920,-.0677404403686523,7125113,.0343570709228516,30115978,-.2167091369628906,4514555,-.0237703323364258,1039979,-.0499124526977539,534584,-.3540363311767578,11568144,.0836505889892578,14158564,.1243190765380859,409744,255053,-.7736682891845703,3216742,.1401653289794922,6245458,-.1395835876464844,8695669,.0973129272460938,345388,-.5184116363525391,8718957,.4492998123168945,1020037,6037021,-.2155799865722656,3238000,8150522,.1517181396484375,1962670,-.370274543762207,2057756,.3249235153198242,408059,.3058576583862305,679779,.0875358581542969,2495571,.1696329116821289,12485826,-.1356468200683594,16177288,-.117523193359375,39109,-.4887104034423828,5884333,-.0174226760864258,7227299,.1875152587890625,9600371,.1254501342773438,783488,-.3352031707763672,12675023,.425379753112793,7708979,-.1837377548217773,2876488,.0518283843994141,10255722,.1869363784790039,641682,.1809444427490234,matched (3),46176184,.90805501,2962594,6906567
201007,841590,606,3858,28292684,07,0,0,0,0,0,1,0,0,0,0,0,3846979,.1134195327758789,175475,.2711277008056641,1462082,-.2066679000854492,54922,211024,-.2668952941894531,6086374,.0056009292602539,4120394,.1212806701660156,26495816,.0484695434570313,2552522,.0772371292114258,2397641,-.4471597671508789,438049,.0642995834350586,15264020,.0480194091796875,4690509,-.0126056671142578,4655558,.0857429504394531,1428087,-.5018682479858398,5856965,-.1959934234619141,24558664,-.2039909362792969,3333229,-.3033647537231445,609085,-.534998893737793,298734,-.5819358825683594,14249239,.2084484100341797,15409909,.0846920013427734,104015,195089,-.2680149078369141,4586160,.3546733856201172,8644082,.3250207901000977,10308017,.1700963973999023,303988,-.1276798248291016,11843943,.3063163757324219,685499,4733531,-.2432394027709961,1356000,8193510,.0052604675292969,946890,-.7288780212402344,2101385,.0209808349609375,445512,.0878114700317383,690939,.0162830352783203,1692958,-.3880405426025391,11950875,-.0437908172607422,13595161,-.1738948822021484,29730,-.2741966247558594,3427184,-.5405540466308594,6535449,-.1006240844726563,8884951,-.0774431228637695,750604,-.0428781509399414,15841045,.2229709625244141,6700351,-.1402254104614258,3221255,.1132011413574219,10064455,-.0188255310058594,405669,-.4585552215576172,matched (3),38619768,.90805501,2863443.3,6864620.5
201008,841590,607,3858,26787436,08,0,0,0,0,0,0,1,0,0,0,0,2677287,-.3624839782714844,165398,-.0591411590576172,1110444,-.2751007080078125,49172,70151,-1.101322174072266,4950318,-.2066001892089844,3525411,-.1559524536132813,24267572,-.0878448486328125,2330801,-.0908699035644531,2804607,.1567783355712891,374511,-.1567087173461914,11761087,-.2607021331787109,5025431,.0689706802368164,2713136,-.5399560928344727,873459,-.4916296005249023,2592306,-.8150835037231445,17739476,-.3252716064453125,2793511,-.1766424179077148,342515,-.5756416320800781,309768,.0362701416015625,4084374,-1.249534606933594,7860237,-.6731948852539063,73889,56503,-1.239162445068359,3624669,-.2352800369262695,7693419,-.1165094375610352,10075303,-.0228347778320313,316440,.0401458740234375,5769464,-.7192373275756836,484944,3141310,-.4100313186645508,775000,6891805,-.173008918762207,777277,-.1973867416381836,1475355,-.3536977767944336,890586,.6926555633544922,291832,-.861872673034668,1568722,-.0762157440185547,9002614,-.2832889556884766,7531462,-.5906248092651367,27943,-.0619897842407227,2549569,-.2958145141601563,4332995,-.4109821319580078,6123899,-.3721599578857422,632722,-.1708469390869141,8854282,-.5817041397094727,4019225,-.5110712051391602,1351009,-.8689193725585938,8158474,-.2099533081054688,310929,-.2659730911254883,matched (3),34319088,.90805501,2480830.8,6714032
201009,841590,608,3858,22346784,09,0,0,0,0,0,0,0,1,0,0,0,2913765,.0846414566040039,139967,-.1669483184814453,940207,-.1664152145385742,32448,71895,.0245571136474609,5548804,.1141300201416016,3126407,-.120112419128418,20548440,-.1663570404052734,2022896,-.1416816711425781,1820493,-.4321565628051758,347054,-.076141357421875,8402699,-.3362445831298828,4948706,-.015385627746582,1372501,-.6814708709716797,665629,-.2717294692993164,1538429,-.5217866897583008,11167630,-.4627723693847656,2395519,-.1536989212036133,397867,.1498022079467773,242740,-.2438325881958008,1545299,-.9719514846801758,4077065,-.6564388275146484,12994,44634,-.2357978820800781,2564430,-.3460264205932617,5250135,-.3821115493774414,5865693,-.5409660339355469,227220,-.3312149047851563,1963123,-1.078042030334473,250619,1292927,-.8877315521240234,47000,7033227,.0203123092651367,342890,-.8183870315551758,862623,-.5366764068603516,123311,-1.977169990539551,435704,.4007844924926758,2051088,.2681093215942383,7748485,-.1500177383422852,8047718,.0662994384765625,32864,.1622114181518555,1734171,-.3853950500488281,1984959,-.7806606292724609,2895074,-.7491884231567383,604827,-.0450887680053711,7456323,-.1718387603759766,1940886,-.7279443740844727,657644,-.7199440002441406,5093759,-.4710416793823242,321570,.0336503982543945,matched (3),23164436,.90805501,1755226,6481090
201010,841590,609,3858,21441238,10,0,0,0,0,0,0,0,0,1,0,0,2242378,-.2619085311889648,87121,-.4741086959838867,767382,-.2031154632568359,14335,15401,-1.540774345397949,4370353,-.2387380599975586,2530243,-.2115688323974609,16587390,-.214141845703125,1933795,-.0450458526611328,1668685,-.087071418762207,329317,-.052459716796875,8105870,-.0359640121459961,3879781,-.24334716796875,1257637,-.0873994827270508,231435,-1.056432723999023,1013662,-.4171924591064453,10680192,-.0446300506591797,2037076,-.1620845794677734,529064,.2849912643432617,158298,-.4275112152099609,1478154,-.0444231033325195,3114554,-.269291877746582,7379,30459,-.3821144104003906,1981504,-.2578802108764648,2957949,-.5737581253051758,4483294,-.2687625885009766,196365,-.1459436416625977,796212,-.9024267196655273,193446,1856709,.3618965148925781,206000,7645726,.083500862121582,163345,-.7415447235107422,694887,-.2162284851074219,299105,.8860855102539063,215336,-.7047634124755859,2034674,-.0080347061157227,6759317,-.1365747451782227,7712779,-.0425100326538086,9051,-1.289502143859863,1897808,.0901699066162109,1526558,-.2625827789306641,2139374,-.3024969100952148,446580,-.3033237457275391,8247675,.1008691787719727,545221,-1.269708633422852,67196,-2.281049728393555,4319674,-.1648359298706055,121498,-.9733171463012695,matched (3),23090212,.90805501,2093568,6580785.5
