period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1461c191,growth1461c191,Y1466c344,Y1485c268,growth1485c268,Y1618c300,growth1618c300,Y1707c705,growth1707c705,Y1806c348,growth1806c348,Y1814c191,growth1814c191,Y1991c381,Y1999c757,growth1999c757,Y2000c616,growth2000c616,Y2074c826,growth2074c826,Y2093c191,growth2093c191,Y2139c757,growth2139c757,Y2269c484,growth2269c484,Y2324c251,growth2324c251,Y2398c642,Y2939c300,growth2939c300,Y3024c757,growth3024c757,Y3025c757,growth3025c757,Y3087c620,growth3087c620,Y3159c352,growth3159c352,Y3385c381,Y3420c620,growth3420c620,Y3424c757,growth3424c757,Y3461c191,growth3461c191,Y3517c688,growth3517c688,Y3533c703,Y3606c807,growth3606c807,Y3717c688,growth3717c688,Y3746c191,growth3746c191,Y3754c428,growth3754c428,Y3758c191,growth3758c191,Y3808c792,growth3808c792,Y3850c616,growth3850c616,Y3878c620,growth3878c620,Y399c348,Y4243c757,growth4243c757,Y4398c688,growth4398c688,Y4533c705,growth4533c705,Y4577c484,growth4577c484,Y4608c620,growth4608c620,Y4610c222,growth4610c222,Y4614c191,growth4614c191,Y4741c251,growth4741c251,Y4773c620,growth4773c620,Y4818c300,growth4818c300,Y4932c703,growth4932c703,Y4959c620,growth4959c620,Y5000c818,Y514c348,growth514c348,_merge,x,r2,s,sf
201001,841620,600,3860,760723,01,0,0,0,0,0,0,0,0,0,0,0,1114693,,285272,4981,,10872560,,46942,,1257583,,30012,,1440551,10535635,,410842,,334035,,1346775,,1619941,,39479,,858828,,692270,1034047,,6485211,,1519195,,1419988,,44627,,384571,462185,,3067018,,242060,,27401,,2355,149176,,15672,,272176,,290266,,366822,,85699296,,1825607,,5387734,,3325,18645650,,136877,,5412815,,304234,,3547312,,29571,,1274836,,716187,,1020075,,125788,,981420,,1634266,,170895,54125,,matched (3),,.77454299,,
201002,841620,601,3860,915817,02,1,0,0,0,0,0,0,0,0,0,0,1439721,.2558708190917969,770543,18283,1.300341606140137,15111203,.329193115234375,63486,.3019065856933594,1352269,.0725917816162109,39850,.2835245132446289,1562692,12180620,.1450824737548828,579475,.3439130783081055,415257,.2176523208618164,1588985,.1653833389282227,1727608,.0643482208251953,56419,.3570375442504883,1037530,.1890287399291992,1056044,1703777,.4993677139282227,7583322,.1564273834228516,1691651,.1075239181518555,1778443,.2250900268554688,30412,-.3835020065307617,649690,389766,-.1704187393188477,3574618,.1531524658203125,221416,-.0891427993774414,159595,1.762059211730957,10414,152214,.0201606750488281,24316,.4392595291137695,359521,.2783241271972656,417297,.3629999160766602,674575,.6092061996459961,126153664,.3866558074951172,1516371,-.1855926513671875,4330612,-.2184162139892578,75140,23992762,.2521400451660156,163390,.1770572662353516,6368505,.1625947952270508,408676,.2951259613037109,4200857,.1690988540649414,45004,.4199581146240234,1679304,.2755622863769531,1155913,.4787054061889648,1136846,.1083822250366211,796577,1.845726013183594,1284504,.2691278457641602,1178573,-.3268899917602539,263219,30256,-.5816020965576172,matched (3),1171835,.77454299,319680.38,410541.5
201003,841620,602,3860,622950,03,0,1,0,0,0,0,0,0,0,0,0,1656162,.1400527954101563,563925,14772,-.2132387161254883,18501812,.2024326324462891,35326,-.5861997604370117,1380288,.0205087661743164,118917,1.093303680419922,2241202,16839062,.3238544464111328,716371,.2120761871337891,365538,-.1275272369384766,2237489,.3422584533691406,2083026,.1870841979980469,129187,.8284549713134766,818954,-.2365703582763672,1188387,2048840,.1844263076782227,10520487,.3273725509643555,1680616,-.0065441131591797,1660840,-.0684146881103516,47323,.4421586990356445,457405,461852,.1696987152099609,3532876,-.0117464065551758,251478,.1273126602172852,82104,-.6646528244018555,18241,450556,1.085195541381836,23039,-.0539464950561523,565474,.4528913497924805,439979,.0529289245605469,335483,-.6985111236572266,162389440,.2524967193603516,1863926,.206364631652832,5888768,.307337760925293,28721,34837208,.3729324340820313,212948,.2649087905883789,7134396,.1135635375976563,878693,.7655124664306641,4531735,.0758161544799805,27579,-.4896974563598633,1807901,.073786735534668,975554,-.1696405410766602,563231,-.7023229598999023,202258,-1.370779991149902,1165525,-.0972013473510742,2702198,.8297615051269531,235601,62934,.7323923110961914,matched (3),1482696.3,.77454299,422109.66,494495.03
201004,841620,603,3860,301861,04,0,0,1,0,0,0,0,0,0,0,0,1483513,-.1100893020629883,162995,87115,1.774496078491211,15600275,-.1705799102783203,120485,1.226905822753906,1115507,-.2129831314086914,56543,-.7434244155883789,2948822,14047038,-.1812896728515625,459254,-.4445953369140625,323327,-.122706413269043,2100485,-.0631856918334961,1846742,-.1203994750976563,94280,-.3149919509887695,772123,-.0588836669921875,0,1209415,-.5271368026733398,9389763,-.1137046813964844,1952916,.1501636505126953,1363381,-.1973562240600586,47836,.0107822418212891,323085,429858,-.0717897415161133,4846899,.3162269592285156,252510,.0040950775146484,17888,-1.523856163024902,17215,256684,-.5626373291015625,15000,-.42913818359375,568151,.0047225952148438,291157,-.4128637313842773,247089,-.3058223724365234,145862528,-.1073322296142578,1567239,-.1733694076538086,4365806,-.2992439270019531,11678,28779482,-.1910228729248047,104422,-.7126083374023438,6474200,-.0971031188964844,693695,-.2364025115966797,4394974,-.0306434631347656,18450,-.4019899368286133,1684180,-.070887565612793,828247,-.1636943817138672,238571,-.8590230941772461,192575,-.0490589141845703,1104620,-.0536699295043945,1926705,-.3382539749145508,437233,86332,.3161134719848633,matched (3),383735.91,.77454299,363041.03,445137.69
201005,841620,604,3860,95231,05,0,0,0,1,0,0,0,0,0,0,0,1448906,-.0236043930053711,698815,13413,-1.871005058288574,13300749,-.1594676971435547,34274,-1.257138252258301,1302373,.1548786163330078,90329,.4684572219848633,2533135,15394111,.0915737152099609,331263,-.326690673828125,213788,-.4136791229248047,1835739,-.1347217559814453,1520762,-.1942110061645508,50294,-.6283836364746094,931637,.1877994537353516,998487,1082594,-.1107769012451172,9280947,-.0116558074951172,1665548,-.1591701507568359,1264321,-.0754318237304688,14293,-1.208008766174316,234850,477538,.1051883697509766,3746750,-.2574501037597656,221898,-.1292333602905273,53193,1.089797019958496,5790,233199,-.0959529876708984,16268,.0811500549316406,434785,-.2675352096557617,457213,.4512863159179688,313170,.2369976043701172,145545024,-.0021800994873047,1712191,.0884590148925781,4093055,-.0645112991333008,754,27073084,-.0611228942871094,75679,-.3219394683837891,6855944,.0572910308837891,543709,-.2436189651489258,4095427,-.0705900192260742,12066,-.4246730804443359,1920811,.1314687728881836,731600,-.1240777969360352,813829,1.227083206176758,135610,-.3507022857666016,946029,-.1549835205078125,1049703,-.607304573059082,452435,36998,-.8473358154296875,matched (3),1080483.4,.77454299,291676.19,389132.06
201006,841620,605,3860,1921495,06,0,0,0,0,1,0,0,0,0,0,0,1801722,.2179336547851563,495529,22231,.5052633285522461,15049987,.1235561370849609,62809,.6057109832763672,812468,-.4718666076660156,63867,-.3466558456420898,3242987,17781590,.1441783905029297,802983,.8854207992553711,345217,.4791879653930664,1837337,.0008707046508789,1855536,.1989622116088867,34289,-.3830604553222656,1112372,.17730712890625,1166193,1497103,.3241720199584961,10658730,.1384162902832031,2182933,.2705154418945313,1297426,.0258464813232422,15656,.0910844802856445,184071,459028,-.0395326614379883,4366505,.1530742645263672,271547,.2019176483154297,204516,1.346718788146973,13953,286640,.2063350677490234,32039,.6777534484863281,429816,-.0114946365356445,323983,-.3444585800170898,261308,-.1810464859008789,157915664,.0815753936767578,2281483,.2870512008666992,2850817,-.3616857528686523,17420,33426620,.2108135223388672,138273,.6027297973632813,7000174,.0208196640014648,836457,.4307613372802734,4228049,.0318689346313477,40350,1.207200050354004,1960339,.0203704833984375,1024810,.3370285034179688,1078838,.2818899154663086,157581,.1501569747924805,2177808,.8338003158569336,1407776,.2935037612915039,626591,58301,.4547548294067383,matched (3),1290498.3,.77454299,291185.63,388764.5
201007,841620,606,3860,1840787,07,0,0,0,0,0,1,0,0,0,0,0,1640482,-.0937519073486328,20165,62243,1.029558181762695,12953939,-.1499767303466797,84560,.29736328125,1373056,.5247173309326172,55919,-.1328983306884766,4317997,17680340,-.0057106018066406,669948,-.1811332702636719,215083,-.473149299621582,1916002,.0419235229492188,1665400,-.1081085205078125,36683,.0674886703491211,914919,-.1954145431518555,1019394,977008,-.426793098449707,10516413,-.0134429931640625,1960058,-.1076955795288086,2139894,.5003747940063477,82366,1.660318374633789,326739,444211,-.032811164855957,5524015,.2351417541503906,267727,-.0141677856445313,23751,-2.153020858764648,10964,264156,-.0816879272460938,23221,-.3218965530395508,495548,.1423072814941406,495180,.4242305755615234,298818,.1341342926025391,137605056,-.1376724243164063,2541955,.1081075668334961,3350326,.1614522933959961,1789,29824572,-.1140193939208984,125856,-.0940923690795898,8699615,.2173433303833008,465187,-.586735725402832,5174408,.2019844055175781,40372,.0005455017089844,2110530,.0738210678100586,888098,-.1431798934936523,895803,-.1859197616577148,127066,-.2152328491210938,1479946,-.3863134384155273,1645998,.1563358306884766,335021,50653,-.140620231628418,matched (3),1775013.3,.77454299,296230.5,392557.34
201008,841620,607,3860,1075899,08,0,0,0,0,0,0,1,0,0,0,0,1373627,-.1775360107421875,781657,20907,-1.090961456298828,10235949,-.2354946136474609,105563,.2218465805053711,1115527,-.2077121734619141,44828,-.2210712432861328,1996341,15719933,-.117523193359375,558472,-.1819953918457031,425570,.6824054718017578,1053227,-.5983819961547852,1502382,-.1030130386352539,27587,-.2849693298339844,404494,-.8161993026733398,594347,605175,-.4789772033691406,7669526,-.3156824111938477,1432319,-.3136787414550781,1457927,-.3837413787841797,15211,-1.689153671264648,133843,522536,.1623945236206055,4772833,-.1461648941040039,178959,-.4028110504150391,50321,.7507972717285156,24299,260444,-.0141515731811523,10332,-.8098115921020508,336155,-.388092041015625,496590,.0028438568115234,226301,-.2779684066772461,111474352,-.2105941772460938,1627709,-.4457597732543945,2168644,-.4349555969238281,15636,24066180,-.2145252227783203,119049,-.05560302734375,6234531,-.3331756591796875,467081,.004063606262207,3748394,-.3223972320556641,22468,-.5860452651977539,1662185,-.2388057708740234,829446,-.068324089050293,948831,.0575103759765625,82461,-.4323816299438477,1732355,.1574764251708984,1293338,-.2411203384399414,126932,77692,.4277534484863281,matched (3),901722.19,.77454299,187610.94,318663.84
201009,841620,608,3860,310014,09,0,0,0,0,0,0,0,1,0,0,0,1849561,.2974939346313477,630779,8466,-.9040260314941406,12206406,.1760540008544922,78222,-.2997570037841797,1269067,.1289558410644531,47992,.0682010650634766,4274265,21694158,.322113037109375,552465,-.0108146667480469,403875,-.0523233413696289,1700912,.4793052673339844,1680787,.1122102737426758,22571,-.200678825378418,877244,.7741489410400391,1097660,1136719,.6303844451904297,11191283,.3778810501098633,2345428,.4931726455688477,938998,-.4399576187133789,13517,-.1180706024169922,683627,647608,.2145910263061523,5271789,.0994300842285156,230446,.2528600692749023,25991,-.6606721878051758,425,443496,.5323009490966797,19044,.611506462097168,377407,.1157522201538086,475637,-.0431098937988281,190949,-.1698598861694336,158356944,.3510570526123047,2446687,.4075613021850586,2027863,-.0671195983886719,3545,29021042,.1872119903564453,166794,.3372249603271484,8751060,.3390712738037109,654070,.3367109298706055,4980597,.2842226028442383,62281,1.019564628601074,1684032,.0130577087402344,795066,-.042332649230957,2275025,.8745155334472656,98433,.1770505905151367,1556965,-.1067428588867188,3364191,.9559612274169922,240845,66013,-.1629009246826172,matched (3),1476847.6,.77454299,323204.06,413291.22
201010,841620,609,3860,644170,10,0,0,0,0,0,0,0,0,1,0,0,1793844,-.0305871963500977,301651,74550,2.175411224365234,13457327,.0975627899169922,25095,-1.136882781982422,940688,-.2994260787963867,60644,.2339868545532227,4673186,25172084,.1486930847167969,887073,.4735374450683594,480753,.1742477416992188,1828527,.0723466873168945,1733130,.0306663513183594,78345,1.244456291198731,1241516,.3473033905029297,1044485,1237250,.0847444534301758,11720507,.04620361328125,2068831,-.1254844665527344,1262000,.2956399917602539,21900,.4825382232666016,1127825,556926,-.150853157043457,5583864,.0575113296508789,390665,.5278339385986328,84936,1.184147834777832,12744,466161,.0498418807983398,20574,.0772762298583984,389664,.0319604873657227,519790,.0887699127197266,303220,.4624528884887695,183624480,.1480426788330078,2406585,-.0165262222290039,2634383,.2616662979125977,35701,29038640,.0006065368652344,167217,.002532958984375,7479061,-.1570672988891602,758589,.1482458114624023,5043619,.0125741958618164,28593,-.7784938812255859,1913769,.1278839111328125,1151005,.3699655532836914,1751087,-.261754035949707,195892,.6881875991821289,911921,-.5349407196044922,4790616,.3534717559814453,40581,62509,-.0545406341552734,matched (3),1542113.8,.77454299,275398.72,377085.19
201011,841620,610,3860,1002720,11,0,0,0,0,0,0,0,0,0,1,0,1937424,.0769977569580078,830101,24709,-1.104302406311035,14989700,.1078395843505859,75762,1.104928970336914,1169813,.2179880142211914,40536,-.4028310775756836,5207265,25557188,.0151824951171875,361657,-.8972311019897461,729471,.416966438293457,2158211,.1657686233520508,1962491,.1242856979370117,18920,-1.420902252197266,1134560,-.0900888442993164,1057307,1136280,-.0851306915283203,11018851,-.0617313385009766,1901098,-.0845518112182617,1183988,-.0638093948364258,39692,.5946636199951172,1318856,500840,-.1061458587646484,5920274,.0585012435913086,236554,-.501673698425293,15005,-1.733514785766602,40933,420672,-.1026773452758789,24404,.1707181930541992,526173,.3003454208374023,712613,.3155136108398438,470094,.4384737014770508,158337392,-.1481647491455078,3928660,.4900903701782227,2251260,-.1571588516235352,31949,33585648,.1454715728759766,146612,-.1315031051635742,10838192,.3709697723388672,963003,.2385969161987305,5224779,.0352878570556641,21676,-.2769565582275391,1932531,.0097560882568359,1565180,.3073654174804688,675894,-.9519557952880859,176882,-.102081298828125,1567761,.5418500900268555,5868678,.2029705047607422,267424,81362,.2635974884033203,matched (3),1379313.5,.77454299,300769.72,395993.94
201012,841620,611,3860,1939666,12,0,0,0,0,0,0,0,0,0,0,1,1568155,-.2114591598510742,34889,100803,1.406001091003418,13388490,-.1129665374755859,169223,.8036203384399414,722655,-.4816675186157227,61013,.4088973999023438,5479108,17815960,-.3608245849609375,477637,.2781553268432617,418564,-.5554904937744141,1957308,-.0977096557617188,2185436,.1076011657714844,99387,1.658802032470703,1083930,-.0456514358520508,849262,1449871,.2437143325805664,7593493,-.3723163604736328,1567233,-.193120002746582,1262947,.0645599365234375,4809,-2.110660552978516,1283358,542618,.0801191329956055,4640901,-.243474006652832,162469,-.3756895065307617,225674,2.710708618164063,10099,432657,.0280914306640625,13840,-.5671834945678711,390555,-.2980613708496094,621641,-.1365756988525391,646445,.3185558319091797,191664096,.1910152435302734,2734035,-.3625202178955078,2760113,.2037811279296875,34672,29430604,-.1320629119873047,205586,.3380746841430664,7233964,-.4042892456054688,1886686,.672520637512207,4669779,-.112299919128418,58202,.9877138137817383,2121155,.0931301116943359,1290734,-.1927900314331055,799438,.167872428894043,252592,.356292724609375,923748,-.5289640426635742,3859079,-.4192008972167969,176207,68591,-.1707468032836914,matched (3),1277634.5,.77454299,220152.02,338844.63
201101,841620,612,3860,1177580,01,0,0,0,0,0,0,0,0,0,0,0,1388518,-.1216630935668945,807997,15639,-1.863400459289551,10602189,-.2333354949951172,105371,-.4737300872802734,851045,.1635332107543945,34554,-.5685644149780273,1757294,12914211,-.3217658996582031,594873,.2194967269897461,405787,-.031001091003418,1694962,-.1439094543457031,1686870,-.2589406967163086,206822,.7328367233276367,936322,-.1463890075683594,699061,1042107,-.3302297592163086,6334860,-.1812238693237305,1062819,-.3883867263793945,907581,-.3304204940795898,42870,2.18768310546875,815521,535779,-.0126838684082031,4910049,.0563755035400391,201023,.2129325866699219,10600,-3.058238029479981,34001,231302,-.626220703125,11238,-.2082624435424805,324983,-.1837959289550781,657257,.0557117462158203,292752,-.7921628952026367,162301760,-.1662864685058594,1634194,-.5146284103393555,2617621,-.0530052185058594,94,22602676,-.2639675140380859,102473,-.6962652206420898,7916952,.0902185440063477,382313,-1.59633731842041,5522277,.1676778793334961,31153,-.6250095367431641,1341658,-.4580545425415039,941065,-.3159542083740234,534786,-.4020423889160156,214989,-.1611881256103516,1373608,.3967571258544922,627613,-1.81626033782959,163127,77916,.1274700164794922,matched (3),371073.63,.77454299,211411.81,333232.25
201102,841620,613,3860,417178,02,1,0,0,0,0,0,0,0,0,0,0,1316486,-.0532703399658203,724866,11332,-.3221368789672852,12106622,.1326923370361328,74714,-.3438196182250977,1035632,.1963014602661133,43058,.2200250625610352,2346727,20972620,.4848899841308594,448693,-.2820091247558594,381740,-.0610885620117188,1396770,-.1934976577758789,2133661,.2349643707275391,76661,-.9924650192260742,869987,-.073481559753418,787790,1401575,.296351432800293,8980706,.3490114212036133,1747595,.4973154067993164,1424149,.4505462646484375,38979,-.0951499938964844,464721,492965,-.0832834243774414,4210290,-.153752326965332,269819,.2943315505981445,53203,1.613261222839356,191,381518,.5004339218139648,20052,.5790281295776367,509979,.450596809387207,646171,-.0170106887817383,294196,.0049209594726563,168804272,.0392818450927734,1906576,.1541585922241211,2101557,-.2195873260498047,100470,37793004,.5140552520751953,102467,-.0000581741333008,8359445,.0543861389160156,835878,.7822427749633789,6248927,.1236200332641602,26940,-.1452980041503906,1500781,.1120796203613281,906266,-.0376796722412109,1270072,.8649625778198242,74196,-1.063877105712891,1304271,-.0517969131469727,1103534,.5643491744995117,135379,23381,-1.203707695007324,matched (3),542221.81,.77454299,188273.88,319054.59
201103,841620,614,3860,595146,03,0,1,0,0,0,0,0,0,0,0,0,1972175,.4041709899902344,456451,50254,1.489459037780762,12290240,.0150527954101563,84804,.1266746520996094,1788638,.546442985534668,62621,.3745527267456055,3051880,25459944,.1938877105712891,567363,.2346601486206055,411034,.0739364624023438,1987846,.3528890609741211,2421828,.126683235168457,254733,1.200822830200195,1665839,.6496057510375977,984876,1912697,.310917854309082,10704455,.1755809783935547,2204778,.232386589050293,1435182,.0077180862426758,34896,-.1106500625610352,997037,426886,-.1439208984375,6326236,.4071741104125977,382988,.3502521514892578,97937,.6102094650268555,60476,262490,-.3739452362060547,32624,.4867191314697266,761338,.4007072448730469,629550,-.0260591506958008,1251368,1.447746276855469,215150448,.2425975799560547,2791123,.3811349868774414,3173954,.4122991561889648,0,42057184,.1069068908691406,224847,.7858791351318359,9871903,.1663007736206055,760644,-.0943174362182617,6986732,.111602783203125,39912,.3930644989013672,1803189,.1835708618164063,1142654,.231776237487793,3043930,.8740758895874023,298753,1.39290714263916,1059416,-.2079267501831055,4996354,1.510190963745117,226396,140172,1.790946960449219,matched (3),1949072.6,.77454299,325552.97,415130.72
